job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据挖掘工程师实习生,科大讯飞,80-100元/天,合肥-包河区,合肥,本科,,90天前更新,liepin,"I. 岗位描述

A. 职责概述

作为我们团队的一员，你将负责维护和提升我们公司的数据质量。这包括识别、清理和处理各种来源的数据，确保数据的一致性、准确性和可用性。你需要有能力处理大量数据，并且能够使用数据清洗工具和技术来提高数据处理的效率和效果。

B. 具体职责

1.数据清洗：你将负责识别数据集中的不准确、不完整或不一致的数据，并采取适当的措施进行纠正或删除。例如，你可能需要编写脚本来自动化识别重复记录或修复格式错误的数据。

2.数据验证：你需要确保数据的准确性，通过建立验证规则和流程来检查数据是否符合预定的质量标准。比如，你可能会创建一个程序来验证客户信息的有效性，确保电话号码和电子邮件2.地址的格式正确。

3.数据一致性检查：你将负责确保不同数据源之间的数据一致性，解决数据冲突和不匹配问题。例如，如果销售数据库和财务系统中的客户信息不一致，你需要调查原因并协调更新以确保数据同步。

4.数据治理：你将参与制定和维护数据治理策略，包括数据分类、数据访问权限设置和数据安全措施。例如，你可能需要帮助建立一个系统来监控敏感数据的访问和使用情况，以保护公司和客户的隐私。

5.报告编制：你将定期编制数据质量报告，向管理层展示数据清洗和治理的进展和成效。这可能包括创建仪表板来可视化数据质量问题的趋势和模式。

6.团队协作：你将与数据专家、分析师和IT支持团队合作，共同解决数据相关问题。例如，你可能会被要求协助分析团队理解数据异常的原因，或者与IT团队合作改善数据收集过程。

C. 技能要求

1.教育背景：优先考虑计算机科学、统计学、数据分析或相关领域的2025届或2026届在读学生。

2.技术技能：熟悉至少一种编程语言（如Python、SQL），了解数据库管理系统，具备使用数据清洗工具（如OpenRefine、Trifacta）的经验。

3.分析能力：能够分析复杂数据集，识别数据质量问题，并提出解决方案。

4.注意细节：对数据的准确性和完整性有高度的关注，能够在处理大量数据时保持细致和准确。

5.沟通能力：良好的书面和口头沟通技巧，能够清晰地向非技术团队成员解释技术问题和解决方案。

6.团队合作：能够在多学科团队中有效合作，愿意学习新技能并与同事分享知识。

7.问题解决：面对挑战时能够独立思考，提出创造性的解决方案，并能够适应快速变化的技术环境。




II. 工作条件

A. 实习期限

我们的实习期通常为3~6个月，具体时长将根据实习生的表现和项目需求灵活调整。我们鼓励实习生在实习期间全身心投入，以便获得最丰富的实践经验。

B. 工作时间

实习生将被要求遵循全职工作时间，即每周工作40小时，时间安排为周一至周五，每天8小时。实习地点位于安徽省合肥市包河区。

C. 发展机会

实习生将有机会参与到真实的项目中，与经验丰富的数据工程师一起工作，从而获得宝贵的行业经验。我们鼓励实习生积极参与团队会议，提出自己的想法，并在实践中不断学习和成长。优秀的实习生还有机会参与高级培训课程，以及与业界专家的交流活动。

招聘人数：2人",Python SQL 数据治理 数据分析 培训 Trifacta II,https://www.liepin.com/lptjob/68870453
gis数据处理工程师,网波软件,200元/天,上海-杨浦区,上海,本科,,90天前更新,liepin,"职位描述
1. 地理信息系统、计算机科学与技术类相关专业；
2. 熟练使用ARCGIS、CAD、office、sqlserver\oracle\mysql等软件；
3. 责任心强，具有良好的沟通能力和团队意识。
另：了解主流的关系型数据库，熟悉的基础上转数据库管理员角色。
根据实习情况，给予转正机会，转正职位：GIS数据工程师、GIS开发工程师、数据库管理员
任职要求
专业：地理信息系统/测绘/遥感/计算机专业  本科及以上

招聘人数：1人",SQL Oracle MySQL CAD,https://www.liepin.com/lptjob/46066789
高级数据挖掘工程师,美的集团中央研究院,1-2k,佛山-顺德区,佛山,博士,应届,7月28日更新,liepin,"任职资格:
1、博士或硕士，统计学、数学分析或相关专业背景。
2、熟悉工业领域数据分析，如制冷系统或能源暖通系统的数据分析等。
3、精通AI数据分析与挖掘的主流工具及方法，具有数据清洗、数据管理、特征提取等研究项目经验。
4、了解制冷系统或能源系统与AI交叉的前沿技术，如物理机理与机器学习的融合技术，或数字孪生技术等。
5、热衷与技术研究工作，具有科学专研精神
 

截止日期：2027年07月28日
招聘人数：2人",机器学习 数据分析,https://www.liepin.com/lptjob/84441491
高级数据挖掘工程师,美的集团中央研究院,1-2k,上海-青浦区,上海,博士,应届,7月28日更新,liepin,"任职资格:
1、博士或硕士，统计学、数学分析或相关专业背景。
2、熟悉工业领域数据分析，如制冷系统或能源暖通系统的数据分析等。
3、精通AI数据分析与挖掘的主流工具及方法，具有数据清洗、数据管理、特征提取等研究项目经验。
4、了解制冷系统或能源系统与AI交叉的前沿技术，如物理机理与机器学习的融合技术，或数字孪生技术等。
5、热衷与技术研究工作，具有科学专研精神
 

截止日期：2027年07月28日
招聘人数：2人",机器学习 数据分析,https://www.liepin.com/lptjob/84441489
制冷系统数据挖掘工程师,美的集团中央研究院,4-5k,佛山-顺德区,佛山,博士,应届,7月25日更新,liepin,"岗位职责:
负责空调、热泵等产业制冷系统数据分析与挖掘等核心技术攻关

任职资格:
1、应届博士，统计学与数学分析等相关专业背景。
2、熟悉工业领域数据，如制冷系统或能源暖通系统的数据分析等。
3、精通AI数据分析与挖掘的主流工具及方法，具有数据清洗、数据管理、数据挖掘等研究项目经验。
3、对制冷系统、能源系统与AI交叉的前沿技术，如物理机理与机器学习的融合技术，或数字孪生技术等有丰富项目经验和深刻的理解。

工作地点
上海/广东佛山
 

截止日期：2027年07月25日
招聘人数：1人",机器学习 数据分析,https://www.liepin.com/lptjob/84405681
数据分析工程师,北京智造易科技有限公司,15-20k,武汉-洪山区,武汉,硕士,应届,5月24日更新,liepin,"职位名称：数据分析工程师
工作地点：[武汉光谷.北辰光谷里]

1. 数据挖掘与AI建模：基于业务需求，利用机器学习（XGBoost/LightGBM）、聚类分析（K-Means/GMM）、时序预测（Prophet/Transformer）等算法，对业务指标数据进行建模与特征工程，输出高精度预测及分群结果。
2. 特征工程与模型优化：结合数学背景（Lasso正则化、互信息法、SHAP解释性分析），自动化筛选高价值特征，解决多重共线性及过拟合问题，持续提升模型效果与训练效率。
3. 多模态数据分析：融合结构化数据与非结构化文本（如公告、评论），应用BERT/GPT等预训练模型进行文本向量化与语义特征提取，构建多源信息融合模型（如风险预警）。
4. 数据全流程处理：熟练使用Python（Pandas/NumPy）及SQL进行数据清洗、聚合与复杂查询；开发自动化数据分析流水线（AutoML风格）。
5. 业务落地与可解释性：将模型结果转化为业务策略（如供应链风险预测），通过可视化（Tableau/Power BI）及SHAP等工具输出可解释的分析报告，推动业务指标增长（如库存结构优化、预测准确率）。

学历专业

· 硕士及以上学历，应用数学、计算数学等相关专业（优秀者可放宽至本科）。

必备技能

· 编程能力：精通Python数据分析栈（Pandas、NumPy、Scikit-learn），熟练使用SQL（窗口函数、复杂查询）。
· AI/ML能力：熟练应用XGBoost/LightGBM处理表格数据；掌握至少一种时序预测模型；熟悉聚类、分类等经典算法及其数学原理。
· 数学基础：具备扎实的统计学（假设检验、贝叶斯推断）、线性代数与优化理论基础，能够从数学本质出发设计特征与评估指标。
· 工程思维：有AutoML或数据处理流水线开发经验者优先；了解模型部署基础（如Flask/Docker）是加分项。

· 有数据分析/机器学习项目/竞赛经验。
· 有时序预测、风险建模项目经验者优先。
· 在数学建模竞赛（如研赛）中获奖项。

软素质

· 对将前沿AI技术应用于实际业务有强烈热情，不止于调包，乐于探究模型背后的数学逻辑与业务解释性。
· 良好的逻辑表达与跨部门协作能力，能向非技术团队清晰传达数据洞察。

【加分项】

· 有GitHub开源项目（如数据处理/自动化建模工具）或技术博客（知乎/掘金等）且内容与AI+数据分析相关。

截止日期：2027年05月24日
招聘人数：1人",机器学习 XGBoost LightGBM Transformer BERT GPT Python SQL Scikit-learn Flask Docker Git,https://www.liepin.com/lptjob/82807799
数据挖掘工程师【2027届转正实习】,阳光数智科技有限责任公司,200-250元/天,北京-通州区,北京,硕士,,7月20日更新,liepin,"职责描述：
1、业务场景挖掘：深入保险核心业务（如销售、承保、核保、理赔、客户经营等），分析复杂业务场景，参与AI解决方案（如智能体建设、知识库建设、智能问答、智能问数等）的架构设计与开发实现；
2、算法建模与落地：主导从数据探查、特征工程到模型训练的全流程，负责机器学习、深度学习（NLP/CV/多模态）算法的实际应用与落地，确保技术创造可衡量的业务价值；
3、工程化体系建设：参与算法工程化工作，包括模型部署、性能优化（量化/蒸馏）、效果监控及迭代机制，提升算法服务的稳定性与效率；
4、技术前沿探索：跟踪人工智能前沿技术，结合业务需求进行技术预研与创新应用。
任职要求：
1、2027届（2026.9-2027.8毕业）硕士及以上学历，人工智能、计算机、数据科学等相关专业；
2、至少在一个领域有技术基础：大模型应用（LLM）、智能体（Agent）、检索增强生成（RAG）、自然语言处理（NLP）、计算机视觉（CV）、智能语音（TTS/ASR）、机器学习（ML）、模型训练等；
3、具备较好的技术判断力，在模型、框架与工具选型上，能判断技术趋势与实用价值的平衡；
4、学习能力强，对AI有热情、对前沿技术与产品好奇，对未知开放，能举一反三；
5、动手能力强，积极主动体验市场中先进的模型和产品，独立阅读论文/技术报告等并快速复现，快速主动尝试落地AI应用项目。

截止日期：2027年04月30日
招聘人数：10人",机器学习 深度学习 大模型 LLM RAG 自然语言处理 计算机视觉 知识库,https://www.liepin.com/lptjob/82236291
量化数据工程师（校招）(A66368),基金/证券/期货不需要融资50-99人,17-22k,深圳-福田区,深圳,本科,应届,今日更新,liepin,"职位描述：
1、参与公司量化研究数据平台的设计与开发，负责各类数据的采集、清洗、存储与质量监控；
2、构建和维护高性能数据管道（ETL），支持大规模因子计算、回测数据准备及实盘数据流，保障数据的准确性、及时性与完整性；
3、负责数据库系统的模型设计、查询优化及日常运维，提升数据存取效率；
4、与量化团队紧密协作，配合因子挖掘、模型训练及回测分析的数据需求，提供高效、可靠的数据接口；
5、参与数据标准化、元数据管理及数据字典建设，持续优化数据基建架构。

职位要求：
1、计算机、软件工程、电子信息、数据科学等相关专业，本科及以上学历，应届毕业生优先；
2、精通Python，熟练使用Pandas、NumPy等数据分析库，具备良好的代码习惯；了解C++者优先；
3、熟悉SQL，至少掌握一种关系型数据库（如MySQL、PostgreSQL）；了解列式存储数据库（如ClickHouse）或时序数据库者优先；
4、有数据处理、ETL开发、爬虫或数据清洗相关项目/实习经验者优先；
5、对量化投资行业有浓厚兴趣，具备良好的逻辑思维、学习能力和团队协作精神，工作认真负责、细致严谨；
6、高度责任心和纪律性，抗压力强，认同公司的文化价值体系和运作机制流程。

截止日期：2027年04月29日
招聘人数：1人",Python C++ SQL MySQL PostgreSQL ClickHouse 数据分析,https://www.liepin.com/lptjob/82178435
26届校招—数据挖掘工程师—北京/太原,思特奇信息技术,14-20k·13薪,北京-海淀区,北京,硕士,应届,90天前更新,liepin,"加入思特奇你将：
1.定期学习和掌握运营商/智慧城市/AI/云/大数据等行业动态、政策、规范，能够在日常需求中结合动态、政策、规范进行相关挖掘工作；
2.针对挖掘问题能够进行相关解决问题思路设计；
3.将算法应用到海量数据中，解决核心机器学习问题，包括但不限于用户画像、个性化推荐等；
4.根据运营商等行业业务特点，进行数据挖掘标准化流程实施（数据整理、清洗、数据探索、模型构建、调优等）工作；
5.应用机器学习及深度学习算法解决涉及各行业内问题；
6.针对构建模型不同需求中固化，并负责对模型监控及优化；
7.精通数据挖掘方法，独立完成分析与可视化设计，精准直观展现数据价值。

如果你是：
1. 国家正规院校研究生学历，计算机类（计算机科学与技术、软件工程、大数据技术与工程等）、数学类（统计学、计算数学、应用数学等）或系统科学类相关专业；
2. 熟悉至少一种关系型数据库（Oracle、MySQL 等），熟练运用 SQL；
3. 熟悉至少一种非结构化数据库（如 Redis），理解原理、数据类型并熟练操作；
4. 精通 Office 办公软件，掌握 Python 者优先；
5. 理解决策树、逻辑回归、SVM、GBDT、XGBoost、Neural Network 等常用数据挖掘算法及统计分析；
6. 熟悉数据挖掘全流程，并能清晰阐述每一步；
7. 学习力强，乐于分享，善于协作，主动担责，富有好奇心，勇于迎接挑战；
8. 具备良好业务理解与洞察能力；
9. 具备商业思维者优先。
10.具备AI思维与实践能力，既能熟练使用AI工具提升研发效率，也能理解AI技术边界，参与AI相关需求的落地与迭代

欢迎大家投递思特奇，招聘信息认准官方渠道（官网及公众号信息），不要随意下载付费APP，谨防诈骗

截止日期：2027年03月17日
招聘人数：5人",机器学习 深度学习 Oracle MySQL SQL Redis Python XGBoost,https://www.liepin.com/lptjob/81011779
数据挖掘工程师（2026届校招） (MJ000697),上海集成电路装备材料产业创新中心有限公司,15-25k·15薪,上海-嘉定区,上海,硕士,应届,7月27日更新,liepin,"岗位职责：
1. 深入挖掘海量的制程数据、测试数据及缺陷数据，构建良率分析与预测的高质量特征工程。
2. 运用统计过程控制、假设检验、相关性分析等方法，定位影响良率的关键制程步骤与参数。
3. 开发并优化机器学习算法，包括分类与回归模型、缺陷分类与根因分析模型、异常检测算法、良率预测模型等。
4. 协助开发数据可视化图表与看板，将复杂分析结果清晰直观地呈现给工程和管理团队。

任职要求：
1. 硕士及以上学历，计算机科学、软件工程、统计学、应用数学、电子工程、工业工程等相关专业。
2. 具备扎实编程基础，熟练掌握 Python，熟悉Pandas、NumPy、Scikit-learn等数据科学库。
3. 理解机器学习经典算法（如线性模型、树模型、聚类、SVM等）的原理与应用。
4. 具备良好的数理统计基础，熟悉概率分布、统计推断、回归分析等概念，对统计过程控制、可靠性分析、实验设计等工业统计方法有基本了解。
5. 具备使用SQL进行数据查询与处理的实践经验。
6. 逻辑思维能力强，善于将模糊业务问题转化为清晰的数学或算法问题。
7. 具备良好的沟通与跨部门协作能力，学习能力优秀，有较强的深入理解半导体制造复杂工艺流程的意愿。
8. 具备较强的责任心与耐心，能够应对半导体制造数据复杂、噪声大的挑战，持续探索并实现迭代。
9. 具备结果导向意识，保证模型高精度的同时，更关注算法在真实产线的应用及实际价值。

截止日期：2026年09月29日
招聘人数：1人",机器学习 Python Scikit-learn SQL 跨部门协作 NumPy Scikit-,https://www.liepin.com/lptjob/77568997
