job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大数据分析与工业智能,云南昆船设计研究院有限公司,10-12k,昆明-盘龙区,昆明,硕士,应届,90天前更新,liepin,"2022届全日制优秀院校硕士以上毕业生
一、岗位描述
1.信息系统项目管理；
2.数据分析、数据管理、数据治理和数据基础平台设计；
3.大数据应用系统的研发设计与项目实施。
二、专业
人工智能、数据分析等相关专业
三、岗位要求
1.掌握主流大数据平台关键技术，熟悉高级数据分析技术，掌握主要大数据算法，熟悉主流数据库，具备数据仓库建模能力；
2.CET-4级及以上。
四、拟从事岗位
数据架构师、数据分析师、数据分析系统研发工程师、信息系统项目管理工程师
首年及次年薪酬：博士15-20万/年；硕士12-16万/年
福利待遇：五险一金，安家费：10-30万、企业年金、各种补贴、单身公寓、节日福利、定期体检、周末双休、带薪年假、朝九晚五

招聘人数：1人",项目管理 数据分析 数据治理 CET-,https://www.liepin.com/lptjob/43676703
DataAgent 业务线-DataQ&A数问电商版研发部- FDE Delta 实习生,数花智算,300-400元/天,上海-浦东新区,上海,本科,,6月18日更新,liepin,"岗位定位
偏 开发 + 架构师，是方案落地的「技术引擎」与「系统集成专家」。

核心职责
基于 DataQ&A 产品底座，快速搭建电商预测类 AI 应用原型，验证技术可行性。

参与预测模型的工程化落地，包括数据 pipeline、特征工程、模型服务化及前后端开发。

对接客户现有业务系统（ERP、OMS、WMS、电商平台等），完成数据接入与系统打通。

根据客户场景设计可扩展的技术架构，支持私有化部署

解决现场交付中的技术难题，保障系统稳定性与性能

任职要求
计算机、软件工程、人工智能等相关专业本科及以上在读

扎实的编程基础，熟练掌握 Python / Java / Go 中至少一门语言

了解机器学习基础概念，有实际项目或竞赛经验者优先

熟悉 Linux 环境，了解数据库、API 开发、Git 协作等基本技能

每周至少到岗 4 天，实习周期 3 个月以上

你将获得
参与真实企业级 AI 项目交付，接触数据 pipeline、模型工程化与系统集成的全流程

世界500强企业前AI架构师担当导师的直接指导，快速建立 AI 工程化实战能力

表现优异者有优先转正为正式 FDE（Delta 方向）的机会

截止日期：2027年06月18日
招聘人数：1人",Python Java Go 机器学习 Linux Git,https://www.liepin.com/lptjob/83551583
智能化实习生,中化扬州锂电科技有限公司,100-120元/天,扬州-邗江区,扬州,硕士,,7月9日更新,liepin,"岗位职责：
1、专项负责AI服务平台的搭建及维护，LLM垂直模型的部署及微调的工作；
2、完成智能化功能与业务系统对接开发，偏向应用型开发，快速落地AI业务场景，推进项目迭代优化。

任职要求：
1、在读统招硕士，人工智能相关专业，包括不限于计算机、软件、信息、数据统计等；
2、具备AI项目应用经验，具备编程开发能力等，积极好学，善于沟通。

截止日期：2027年06月01日
招聘人数：2人",LLM,https://www.liepin.com/lptjob/83025663
Data Intern (MJ101336),麦当劳中国,150元/天,上海-徐汇区,上海,本科,,90天前更新,liepin,"1. 统计、数学、商业分析、计算机等相关专业优先，有相关实习经历优先
2. 精通SQL，能够熟练使用Excel进行数据处理
3. 熟练使用Word/Excel/PPT 等办公软件
4. 有算法和数据分析背景，具有优秀的数据处理和分析能力，对数据敏感
5. 工作仔细有耐心，有责任心，积极性高且好学，善于发现问题并独立解决问题


* 该岗位分为以下子方向，如有意向投递方向，请在简历中注明，将优先考虑

Data BP- To C Intern
1）数据获取与整理：充分使用公司数据库获取所在业务域的多维度数据，按需求整理各项业务关键指标。
2）业务与数据分析：追踪营销活动和特定产品的业务指标趋势，分析其对原有生意的影响，洞察不同细分人群的消费者行为。
3）数据产品搭建：负责麦当劳数据洞察业务相关的看板等数据产品搭建，能够快速理解业务痛点，提供数据产品解决方案赋能业务发展和决策。
4）报告编写：参与专题报告的编写与讨论，对数据分析结果进行归因，提出insight。
5）模型建模：可以独立建立回归/分类模型，并且对现有模型进行各项指标分析。

Data Development Intern
1）协助架构团队进行大数据项目管理，能够提供大数据平台建设.数据管理平台建设，以及基于平台上的大数据分析解决方案
2）协助项目用户需求分析、挖掘、细化出项目需求   
3）协助项目相关产出物、文档、汇报材料的统筹和质量把控    
4）参与项目团队管理，可以带领项目成员按时完成设计及开发工作    
5）参与项目开发进程管理，能够组织项目组技术选型攻关，组织技术团队完成技术工作   

Data Product Management Intern
1）根据项目需求，发挥主观能动性，撰写各类汇报材料，包括但不限于产品需求文档、详细设计文档、产品原型图等
2）协助数据中台产品的相关用户运营，产品文件、用户问题整理分类、需求跟进及后期的追踪维护等     
3）与项目负责人共同与BP团队、平台研发等部门深入沟通，保证产品从概念到落地的顺利改变，共同应对各种挑战
4）除核心职责外，协助数据架构师，深入探索数据领域最前沿的技术，如数据湖、流批一体、数据治理等  
5）日常办公室常规事务和工作的协助 

Data BP- DMP Intern
1）MTA weekly 日常数据整理，模型配置，跑数，数据校验，模型结果整理等
2）MOMA 媒体效果数据库日常更新
3）其他 DMP Domain 的数据整理分析等工作

AI COE Intern
1）支持大模型应用项目的测评、跑批工作等工作
2）实验工坊 Gradio 相关的开发工作
3）日常办公室常规事务和工作的协助

招聘人数：1人",SQL 大模型 数据分析 项目管理 需求分析 团队管理 数据治理,https://www.liepin.com/lptjob/73507539
数据架构师,北京华成航泰科技发展有限公司,15-25k,北京-海淀区,北京,学历不限,经验不限,7月28日更新,liepin,主导民航企业级数据架构的顶层设计，可进行民航业通用企业级数据模型，如客户、航班、飞机、机组、财务、航线、机场等核心业务数据模型和各业数域的分析型数仓建模（ODS、DWD、DWS、ADS），梳理和设计数据分布矩阵或数据流图，明确各业务系统对核心数据实体的CRUD 权限，设计跨业务领域、跨组织的数据集成、共享与交换机制，熟悉数据治理、数据标准、元数据管理、主数据管理等；,数据治理 ODS DWD DWS ADS,https://www.liepin.com/job/1984164253.shtml
数据架构师,新意互动,25-30k,北京-西城区,北京,学生可投,经验不限,90天前更新,liepin,"工作职责：
1、负责数据平台的模型设计与可视化设计工作；
2、参与数据产品线的整体架构规划、设计和性能调优；
3、参与产品前期的可行性分析、产品需求评审、需求分析、架构设计、技术决策以及详细设计； 
4、负责产品的技术选型，设计开发关键功能模块。 

任职要求：
1、	本科及以上学历，具备5年以上数据架构师工作经验，3年以上大数据相关领域工作经验； 
2、	必须具备互联网数据仓库平台、用户画像系统建设经验; 
3、	熟悉大数据产品生态圈包括但不限于Hive、HBase、Spark等， 善于容量规划、架构设计和性能优化并有丰富实战经验； 
4、	具备一定的算法设计与优化能力；熟练使用常见的概率统计、数据挖掘、机器学习算法，包括聚类、回归、关联规则、决策树、朴素贝叶斯等常用算法到适用场景；
5、	具备优秀的沟通技巧，能有效地在压力下工作； 
6、	学习能力强，喜欢钻研新技术，有团队观念，具备独立归纳问题，分析问题，解决问题能力。",Hive HBase Spark 机器学习 需求分析,https://www.liepin.com/job/1931053385.shtml
德勤数字化 - 数据架构师 - 广州/重庆,德勤Deloitte,20-30k,广州-天河区,广州,学生可投,经验不限,7月2日更新,liepin,"职位概述：
我们正在寻找一位精通AWS云平台和Databricks的数据工程专家。您将作为顾问，直接参与关键客户项目，负责设计、构建并优化大规模数据平台与管道。本职位不仅要求深厚的技术功底，更需要出色的沟通与解决问题能力，以将复杂的业务需求转化为可靠、高效的技术解决方案。

主要职责：
1、方案设计与开发： 基于AWS生态系统，利用Databricks Lakehouse平台，为客户设计并实施可扩展的数据湖、数据仓库及实时/批处理数据管道；
2、数据处理与建模： 使用PySpark和Python进行大规模数据ETL/ELT开发，构建高效的数据模型，支持数据分析、机器学习与商业智能应用；
3、平台架构与优化： 评估并优化现有数据架构的性能与成本，确保其安全性、可靠性；
4、客户协作与交付： 深入理解客户业务需求，编写清晰的技术文档，向技术与非技术干系人阐述方案，并确保项目高质量交付；
5、技术前瞻： 跟踪AWS、Databricks及数据工程领域的最新技术动态，为团队和客户引入创新实践。

任职要求：
1、熟悉AWS DataSync数据同步工具使用，能够开发脚本实现复杂条件的数据同步；
2、熟练应用DBT工具，具备复杂逻辑数据转换；
3、熟悉Airflow工具，能够应用Python动态生成DAG实现作业调度；
4、熟悉AWS CDK工具使用；
5、熟悉Python/Scala大数据开发，良好的开发习惯，熟练使用GitHub进行代码版本控制；
6、熟悉Databricks企业级数据湖仓架构设计和搭建，熟悉Delta Lake组件部署、数据分区和版本控制。",AWS Spark Python 机器学习 Airflow Scala Git 方案设计 数据分析 技术文档,https://www.liepin.com/job/1981733959.shtml
大数据架构师 (MJ000138),北京轩宇空间科技有限公司,20-30k,北京-海淀区,北京,学历不限,经验不限,7月22日更新,liepin,"（一）岗位职责：
1.  负责梳理需求，并对数据治理和数据应用平台各模块架构梳理，提出合理的技术路线，设计架构方案；
2.  主导并参与核心模块的研发工作；
3.  分析并给出系统的优化方向，负责持续推动平台并发性能和可用性等的提升；
4.  对复杂业务进行合理的逻辑拆分和分层设计；
5.  指导研发工程师的平台开发和技术研究工作，解决各类技术疑难问题，形成良好的研发氛围，提升团队整体技术水平；
6. 参与大数据平台、数据编织等数据治理类项目方案编写。
（二）任职要求：
1.  5年以上Java开发经验、3年以上数据治理项目经验，985/211大学计算机相关专业全日制本科以上学历；
2.  精通Java、具有扎实的Java编程基础；熟悉常用的设计模式，精通并发编程、多线程、JVM调优等，具有系统设计与架构能力；
3.  熟悉高性能、高可用性分布式系统设计，熟悉RPC、缓存、消息队列、负载均衡、分布式事务等，并能进行系统调优和优化；
4.  熟悉掌握SpringBoot框架，具有Spring Cloud微服务框架开发经验，深刻微服务原理及运行机制，并对服务拆分、服务间调用、服务治理有独特见解。
5.  熟悉关系型数据库、时序数据库、列式数据库、文件/对象存储服务等，有分布式数据库调优经验。
6.  熟悉Hadoop生态，有数据处理相关平台开发经验者优先。
7.  对数据库的基本理论和内部实现机制有深刻的理解，有实际大数据量的数据库设计经验；
8.  有实际的分布式、高可用性系统设计和稳定性架构实战经验；
9.  逻辑思维清晰，熟悉业务抽象和数据模型设计，具有很强的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
10.思路开阔，创新能力强，对新技术敏感并愿意致力于新技术的探索和研究。",Java 高可用 分布式 Spring Spring Cloud 微服务 Hadoop 数据治理,https://www.liepin.com/job/1984306915.shtml
数据架构师,首创证券,23-40k·18薪,北京,北京,学生可投,经验不限,7月16日更新,liepin,"岗位职责：
1.负责组织对证券业务进行数据分析和价值挖掘工作，组织数据治理相关工作；
2.进行前沿技术研究，利用数据挖掘技术、人工智能，降低数据开发和分析的复杂度，提升开发效率，并研发创新性的数据应用，；
3.开展数字化运营服务，并根据内部客户要求提供相关整体解决方案，数据分析增值服务。
职位要求：
1.计算机相关专业，研究生以上学历；
2. 具备全栈开发能力，有丰富的大数据平台和大数据处理计算的相关项目经验，熟悉大数据、人工智能、数据挖掘等技术；
3. 带领过数据开发团队，精通项目管理，善于沟通，有良好的协调、协作能力；
4.具有互联网、金融等行业信息化建设或运营管理相关工作经验。",数据分析 数据治理 项目管理,https://www.liepin.com/job/1958456467.shtml
EDA 工具链数据架构师 (MJ000325),墨芯人工智能,薪资面议,深圳-南山区,深圳,学历不限,经验不限,5月22日更新,liepin,"岗位职责：
 - 编写自动化脚本批量生成 Verilog/SystemVerilog 代码对，覆盖组合逻辑、时序逻辑、状态机、总线协议、IP 核集成等完整设计层级 
- 构建基于主流 EDA 工具的反馈闭环，将编译错误、综合报告和时序分析结果转化为带专家推理链的微调语料
 - 设计评分标准和奖励信号，评估模型生成 HDL 代码的功能正确性、时序收敛性和面积功耗优化质量
 - 构造包含时序违例、亚稳态、CDC 错误等典型问题的负面样本库，训练模型的芯片设计 Debug 能力 
- 与算法团队协作，将训练数据质量指标与模型能力提升直接关联，持续迭代数据质量


职位要求
- 精通 Verilog/SystemVerilog/VHDL，3 年以上芯片设计前端开发经验 - 熟练使用至少一款主流 EDA 工具链。 
- 具备 EDA 自动化脚本开发能力（TCL/Python），能构建批量仿真和综合流程 - 理解芯片设计全流程：RTL 编码 → 功能仿真 → 逻辑综合 → 时序分析 
- 良好的文档能力，能清晰标注设计决策的权衡逻辑 
- 有 SoC 集成或 ASIC/FPGA 量产项目经验优先",Verilog VHDL Python FPGA SystemVerilog IP EDA HDL,https://www.liepin.com/job/1982380973.shtml
