job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据标注项目助理,砺英数智(北京)数据技术有限公司沈阳分公司,100-120元/天,沈阳-浑南区,沈阳,本科,,90天前更新,liepin,"  - 岗位的主要工作是做AI大模型较高阶（如价值观，思维链等，非2D3D），垂直类（代码，物化生等）数据标注
  - 岗位职责： 
    - 根据客户的需求，对数据进行标注，同时确保数据标注质量。 
    - 持续关注标注数据的情况，异常数据进行及时反馈。 
    - 积极参与团队的数据标注规范制定和优化。 
    - 能够适应数据标注的日常任务安排，确保工作进度。
    - 协助项目经理进行质量管理、项目管理
    - 优秀者可成为“准”项目经理
  - 任职要求： 
    - 25届、26届毕业生，专业不限。
    - 对数据标注、分析和处理有基本的理解，对工作有热情。 
    - 熟练掌握Excel或其他相关数据处理软件。 
    - 具备良好的沟通能力和团队协作精神。 
    - 有相关数据处理、数据标注实习经验者优先。 
    - 能做高中及以上物化生者优先，熟练使用python者优先。
    - 本岗位不会涉及到代码编写开发（但会涉及代码标注），想做纯开发的同学就不用投递简历啦

招聘人数：4人",大模型 Python 项目管理,https://www.liepin.com/lptjob/73270059
数据标注师（管培生）,维谷数据科技(安宁)有限公司,150-300元/天,昆明,昆明,本科,,90天前更新,liepin,"【数据标注员·招聘】 
数据标注员简单说就是给AI“做训练素材”
一、工作内容：
按照项目标注规范，对图像、文本、语音等类型的数据进行精准标注，如图像目标框绘制、文本关键词提取、语音情感分类等，任务类型简单易懂，上手快；
（福利：1、免费培训，零基础可学，无任何押金、会费。不管是实习生还是小白都有人带。
        2、接受实习生，可以处理三方协议及就业协议。
        3、接受小白，想学习ai模型方向的人。） 欢迎大家积极来试岗。
二、上班时间：9:00-18:00，每周单休（可以调休）12:00-13:00午休。
三、薪资模式
1、实习期（1个月）：底薪2500+绩效奖金（注：实习期存在考核机制，考核三次不合格就淘汰，无法转正。）
2、转正后：保底工资（4000）+绩效奖金（计件提成，多劳多得上不封顶。）产量提成
综合月薪：4000～6000元 
四、岗位要求：
1、服从工作安排，按时完成每日标注任务
2、保证标注准确率，态度认真、不摸鱼
3、能长期稳定做，不混日子
4、责任心要强，做数据标注是ai第一岗要严格把控数据准确性，不可以乱来。
五、工作地点
1、翰文九万里小区10栋301室。（安宁地区）；2、海源中路1669号汇金大厦11楼1102号（昆明地区）；3、瑞鼎城一期3栋2108（昆明地区）

截止日期：2027年02月01日
招聘人数：10人",培训,https://www.liepin.com/lptjob/78615871
数据标注师,维谷数据科技(安宁)有限公司,3-5k,昆明,昆明,大专,应届,90天前更新,liepin,"【数据标注员·招聘】 
数据标注员简单说就是给AI“做训练素材”
一、工作内容：
按照项目标注规范，对图像、文本、语音等类型的数据进行精准标注，如图像目标框绘制、文本关键词提取、语音情感分类等，任务类型简单易懂，上手快；
（福利：1、免费培训，零基础可学，无任何押金、会费。不管是实习生还是小白都有人带。
        2、接受实习生，可以处理三方协议及就业协议。
        3、接受小白，想学习ai模型方向的人。） 欢迎大家积极来试岗。
二、上班时间：9:00-18:00，每周单休（可以调休）12:00-13:00午休。
三、薪资模式
1、实习期（1个月）：底薪2500+绩效奖金（注：实习期存在考核机制，考核三次不合格就淘汰，无法转正。）
2、转正后：保底工资（4000）+绩效奖金（计件提成，多劳多得上不封顶。）产量提成
综合月薪：4000～6000元 
四、岗位要求：
1、服从工作安排，按时完成每日标注任务
2、保证标注准确率，态度认真、不摸鱼
3、能长期稳定做，不混日子
4、责任心要强，做数据标注是ai第一岗要严格把控数据准确性，不可以乱来。
五、工作地点
1、翰文九万里小区10栋301室。（安宁地区）；2、海源中路1669号汇金大厦11楼1102号（昆明地区）；3、瑞鼎城一期3栋2108（昆明地区）

截止日期：2026年11月20日
招聘人数：6人",培训,https://www.liepin.com/lptjob/78615741
数据标注实习生,乐木骆,200-250元/天,深圳-龙岗区,深圳,本科,,90天前更新,liepin,"职责描述: 
  数据标注实习生的主要工作包括使用标注工具对图片、视频、三维扫描数据等进行打标签、标注和分类。这些标注的结果将被用于提升人工智能技术的训练算法模型，提高识别准确率，促进智能化水平的提升。

1. 结合模型迭代需求试用标注工具对多模态数据进行标注； 
2. 对公司项目的图像数据进行审核、质检、修正、对标注后的数据进行分类与管理, 版本控制。
3. 按计划完成数据标注任务，做好任务自我管理，保证标注效率和标注质量。
4. 参与规划数据采集方案、制定标注计划以及研究各类标注工具与方法，以提高标注效率和质量。
5. 参与其他数据链路开发以及数据可视化相关工作。

任职要求：
1. 学历背景：计算机科学、AI、数据科学、统计学、信息技术或相关专业的本科生或研究生。
2. 技术技能：
- 了解 Python 编程语言，具备基本的爬虫开发经验；
- 具备基本的数据处理能力，能够使用 SQL 或 Python 进行数据清洗和处理；
- 了解模型训练优化基本流程；
- 有 Cursor 等 AI 工具应用经验是加分项。
3. 沟通能力：具备良好的沟通能力，能够与团队内外部有效协作，并具备良好的团队合作精神。
4. 学习能力：对 AI、数据有浓厚兴趣，具备快速学习新技术的能力。
5. 责任心：工作认真细致有耐心，有较强的学习能力和理解能力，能很好理解业务模式和需求。
6. 富有爱心，喜欢宠物。

招聘人数：1人",Python SQL 数据采集 AI Cursor,https://www.liepin.com/lptjob/77581331
数据标注,联合服务(香港)有限公司,150-180元/天,丽水-莲都区,,大专,,90天前更新,liepin,"数据标注与处理：

根据既定的标注规则和规范，对文本、图像、音频、视频等各类数据进行精准的标注、分类、框选、打点、分割等操作。

确保标注数据的准确性、一致性和完整性，满足项目要求的质量标准。

处理和分析大量原始数据，并从中提取有效信息。

质量保证：

对已完成标注的数据进行自检和交叉复核，及时发现并修正错误。

参与标注质量的评估和反馈，协助优化标注规范和流程。

协作与沟通：

与项目经理、算法工程师等团队成员保持有效沟通，理解标注需求和数据用途。

反馈标注过程中遇到的疑难问题，并提出改进建议。

工具与效率：

熟练使用内部或第三方数据标注工具和平台。

按时完成分配的标注任务，保证项目进度。

数据安全：

严格遵守公司的保密协议，确保所有经手的数据的安全与保密。
 

招聘人数：1人",质量保证,https://www.liepin.com/lptjob/77828929
数据标注/AI训练师（实习生）,珞奇机器人,200元/天,上海,上海,大专,,7月21日更新,liepin,"【工作内容】
- 负责对图像数据进行采集、分类、标注，支持AI模型训练；
- 协助完成数据质量检查与标准化处理，确保数据准确性和一致性；
- 参与数据标注流程优化，提升工作效率与标注质量；
- 配合项目团队完成相关数据支持工作，及时反馈问题并提出改进建议。

【任职要求】
- 大专及以上学历，计算机、人工智能、统计学、数学等相关专业优先；
- 对AI技术有一定兴趣，具备良好的逻辑思维和学习能力；
- 工作认真细致，责任心强，能适应高强度的数据标注任务；
- 具备良好的沟通能力和团队协作精神，不限工作经验。

截止日期：2027年06月26日
招聘人数：5人",流程优化,https://www.liepin.com/lptjob/84143867
AI数据标注实习,江西鹏聚科技有限公司,80-100元/天,南昌-南昌县,南昌,大专,,90天前更新,liepin,"1. 参与ＡＩ项目的数据标注工作，数据质量和准确性

ＡＩ项目的数据标注工作，是一个接触AI的机会，想要学习一下AI的可以来 ，我们会一起做优化
要求：细心仔细
项目：AI视觉检测

需要在南昌本地啊！
起码最开始的时候可以来，因为要教，培训你才会标注

后面也有其他ＡＩ项目，看你想参与多少，
目前这个项目是AI数据标注，需要细心仔细，感兴趣联系我

招聘人数：1人",培训,https://www.liepin.com/lptjob/80237281
数据标注员,山西凯森硕科技有限责任公司,100元/天,太原,太原,大专,,90天前更新,liepin,"1、招聘要求：大专及以上学历，工作认真扎实，具有较强的沟通协调能力和团队协作意识，有责任心
2、招聘岗位：数据标注员。
4、主要职责：对文本、图片、语音、视频等数据进行归类、整理、编辑、纠错和批注；接受项目标注规则的培训学习，根据项目标注规则和要求，利用标注工具和标注平合完成数据标注任务。
5、工资待遇：4K-6K（底薪+全勤+项目提成+补助）

招聘人数：1人",培训,https://www.liepin.com/lptjob/47544317
AI数据标注,山西凯森硕科技有限责任公司,3-5k,太原,太原,大专,应届,90天前更新,liepin,"1、招聘要求：大专及以上学历，工作认真扎实，具有较强的沟通协调能力和团队协作意识，有责任心
2、招聘岗位：数据标注员。
4、主要职责：对文本、图片、语音、视频等数据进行归类、整理、编辑、纠错和批注；接受项目标注规则的培训学习，根据项目标注规则和要求，利用标注工具和标注平合完成数据标注任务。
5、工资待遇：4K-6K（底薪+全勤+项目提成+补助）

招聘人数：1人",培训,https://www.liepin.com/lptjob/47543865
AI数据标注员,西部创源智行科技(重庆)有限公司,100元/天,重庆-九龙坡区,重庆,学历不限,,7月28日更新,liepin,"岗位职责：
数据标注与处理： 根据既定的标注规范和指南，对图像、视频、文本、音频等数据进行分类、拉框、描点、分割、转写等操作。
质量保证： 确保个人标注结果的准确性和一致性，达到项目要求的质量标准。
数据质检与清洗： 参与对已标注数据的交叉检验与复核，识别并修正错误标注，协助进行原始数据的清洗和整理工作。
问题反馈： 在标注过程中，主动发现并反馈数据本身的问题、标注规则的歧义或系统工具的缺陷，协助团队持续优化流程。
协作沟通： 与项目经理、算法工程师及其他标注团队成员保持良好沟通，确保标注任务按时按质完成。
职位要求：
对计算机科学、人工智能、数学、统计学、电子信息、或对AI有浓厚兴趣的其他理工科专业背景优先。 对重复性工作有高度的耐心，对细节有追求，能保证长时间工作的准确性。 深刻理解数据质量对AI模型的重要性，对自己的工作产出负责。 能够快速学习并掌握新的标注工具和复杂的标注规则。                      
薪资月结，实习结束公司提供实习证明！

招聘人数：20人",质量保证,https://www.liepin.com/lptjob/78248309
