job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
26届校招—数据治理工程师—太原,思特奇信息技术,14-20k·13薪,太原-万柏林区,太原,硕士,应届,90天前更新,liepin,"加入思特奇，你将：
1.参与制定公司级数据治理运营指标，并持续推动指标落地与达成；
2.参与数据治理平台与工具的建设运营，为一线高效赋能；
3.参与公司数据治理流程、制度、规范与标准体系的设计与编写；
4.参与数据治理相关专业课件与课程的开发；
5.参与公司级重点项目和专题，体会实战乐趣，一展才能；
6.研究数字化时代数据技术的发展趋势和行业实践，不断优化和改进公司的数据治理体系。

如果你是：
1.国家正规院校研究生学历，人工智能、数据科学与大数据技术等相关专业；
2. 熟悉数据治理框架、标准、规范及度量模型等；
3. 至少精通一种关系型数据库（Oracle、MySQL 等），熟练运用 SQL；熟悉 HBase、Hive 等大数据技术者优先；
4. 熟悉大数据与AI等技术生态；
5. 具备制度、流程类专业文档与报告撰写能力者优先；
6. 熟悉数据资源指标体系构建者优先；
7. 精通 Office 办公软件，掌握 Python 者优先；
8. 逻辑清晰、沟通顺畅、善于总结归纳与表达；
9. 正直诚信，学习力、执行力与分析解决问题能力突出；乐于分享，善于协作，勇于迎接挑战。
10. 在 EI 或 SCI 发表过数据治理相关论文者优先；
11. 具备大数据项目设计与实施经者优先验。
12.具备AI思维与实践能力，既能熟练使用AI工具提升研发效率，也能理解AI技术边界，参与AI相关需求的落地与迭代

欢迎大家投递思特奇，招聘信息认准官方渠道（官网及公众号信息），不要随意下载付费APP，谨防诈骗

截止日期：2027年03月17日
招聘人数：5人",Oracle MySQL SQL HBase Hive Python 数据治理,https://www.liepin.com/lptjob/81011707
数据治理工程师（校招）,联通(广东)产业互联网有限公司,9-18k·18薪,广州-海珠区,广州,本科,应届,90天前更新,liepin,"岗位职责：
1、负责数据治理项目的实施工作，构建并完善项目数据治理框架及体系，具体包括数据采集、清洗、结构化，主题数据设计、模型构建，样本数据标注、构造等环节；
2、负责数据仓库设计、建模、数据etl，对内及对外提供高质量的数据服务；
3、负责数据质量管理，元数据管理等相关领域的规划及建设，支持数据治理项目进行业务数据梳理及优化，提出数据质量改进计划，提升数据质量，发掘数据价值。
4、负责数据治理相关的用户交流、沟通，完成业务梳理，牵头完成技术方案的制定并实现。


任职要求：
一、学历要求：
2026届普通高等院校本科及以上学历，并具有相应学位；
二、专业要求：
计算机、数学相关专业优先，专业成绩排名前30%；
三、专业技能：
1、熟悉数据仓库方法论、理解维度建模，了解多项大数据处理/分析相关的工具/框架，如Hadoop、 MapReduce、Hive、Storm、Spark、kafka及HBase等
2、熟悉主流数据库技术，如Oracle、Sql Server、MySQL及PostageSQL等
3、了解ETL架构，了解日常作业的部署和调度，熟悉ETL开发工具，如Datastage、Cognos及Kettle等

截止日期：2026年09月18日
招聘人数：1人",Hadoop Hive Spark Kafka HBase Oracle SQL Server MySQL SQL 数据治理 数据采集 技术方案,https://www.liepin.com/lptjob/77342729
数据治理算法开发实习生,太保科技,100-200元/天,上海-徐汇区,上海,本科,,90天前更新,liepin,"探索和实践基于NLP算法，构建前沿数据治理工具；
基于前沿深度学习的算法落地并应用到集团数据治理工作中；
接触大规模实际保险业务数据和架构，应用到算法实践中；
为数据治理应用提供技术支持；
岗位要求：
金融学/计算机/统计学/数据等相关专业本科以上学历，计算机、统计学和数学专业优先  熟练掌握python语言
 拥有扎实的数学和算法基础，精通数据结构和算法设计，且具有较强的技术文献收集能力，具有探索精神
熟练机器学习算法、深度学习算法（包括CNN、RNN等），能熟练使用tensorflow、keras，拥有神经网络、自然语言应用开发经营者优先。

截止日期：2027年03月23日
招聘人数：1人",深度学习 Python 机器学习 TensorFlow Keras 数据治理 技术支持,https://www.liepin.com/lptjob/81155291
数据治理,重庆市信息通信咨询设计院有限公司,80-150元/天,重庆,重庆,本科,,90天前更新,liepin,"岗位职责：
1.负责日常数据提取及报表统计，跟踪关键业务指标，形成完整数据闭环；
2.根据业务数据分析需要，提出业务系统优化需求，完善数据可视化体系；
3.负责数据治理类项目实施，梳理数据资产，提高业务系统的数据质量；
4.跟踪同业动态，不断创新完善数据治理解决方案，保证业务可持续发展。
职位要求：
1.数学、统计、计算机、经济学、管理学等相关专业；
2.具备数据治理、数据仓库、数据建模等数据应用类项目经验；
3.具备扎实的金融统计、数据分析应用基础，具有数据产品开发经验优先；
4.熟练掌握SAS、Python等数据分析工具及SQL等数据查询工具；
5.具备较好的团队合作精神，有较强的沟通能力和逻辑分析能力，工作主动积极，有较好的学习能力、自我驱动和钻研精神。

招聘人数：5人",Python SQL 数据分析 数据治理,https://www.liepin.com/lptjob/70924091
数据分析治理实习生,广规科技,80-100元/天,广州-海珠区,广州,本科,,7月15日更新,liepin,"广东省城乡规划设计研究院科技集团股份有限公司实习生招聘公告
【实习岗位】数据分析治理实习生（2-3名）
【工作内容】
1、负责地理空间数据（如遥感影像、矢量地图、地形数据等）的收集、整理、清洗与格式转换；
2、协助处理规划相关的经济社会数据，进行数据整合、治理与可视化；
3、运用ArcGIS等软件进行地理信息空间分析、数据治理与专题地图制图；
4、支持规划项目的数据工作，包括数据统计、分析及成果输出；
5、协助院内大数据平台的数据上架、更新与运维工作；
6、配合团队完成其他相关的数据处理与支持任务。
【岗位要求】
1、本科或研究生在读，地理信息科学、测绘工程、遥感科学与技术、城乡规划、土地资源管理、计算机、统计学等相关专业优先；
2、熟悉地理空间数据基本概念，掌握ArcGIS或QGIS等常用GIS软件操作者优先；
3、具备良好的数据处理能力，熟练使用Excel；有Python、SQL或R等工具的数据清洗与分析经验者优先；
4、每周到岗≥4天，实习期≥2个月（长期实习者优先）；
5、工作细致耐心，具备优秀的学习能力、沟通能力和团队协作精神。
【工作待遇】
实习补贴：80-120元/日（根据数据处理复杂度分级核定）；
实践价值：深度参与院内大数据平台运维及实际规划项目，积累地理数据与多源数据融合的实战经验；
专业指导：由资深规划师与GIS工程师进行一对一指导，提升数据分析与治理能力；
附加福利：提供免费工作早午餐。
【工作地点】
广州市海珠区南洲大厦
 

截止日期：2027年06月08日
招聘人数：3人",Python SQL 数据分析 数据治理,https://www.liepin.com/lptjob/83258751
数据治理实习生,清华四川能源互联网研究院,100-200元/天,成都-双流区,成都,硕士,,90天前更新,liepin,"岗位职责：
1、参与团队所承担的国内龙头工业能源企业数据资源管理、数据治理、数据分析、数据挖掘等项目，开展包括项目需求调研、业务梳理、数据处理、规则建模等工作；
2、参与业务交流，提炼业务需求，定义数据特征，开展数据预处理等建模准备工作；开展面向实际业务需求的简单数据分析及挖掘工作；
3、按需完成相关分析报告、ppt等材料的部分内容；
4、根据部门领导安排的其他工作任务。

岗位要求：
1、大学本科及以上，计算机、软件、信息管理及相关专业（硕士生优先）；
2、了解数据管理、数据挖掘、数据分析原理和技术，具备一定的软件开发能力，熟悉数据库、python、javascript、vue、tomcat、spring、excel 或类似相关技术中的一项或多项；
3、有较强的数据敏感度，认真踏实、积极主动，具备良好的沟通协调能力，能承受一定的工作压力；
4、有使用Kimi、豆包、chatgpt、文心一言、deepseek等主流大模型经验的加分
5、有独立撰写科技论文经验优先。

 数据治理/数据分析岗实习要求：
1、会前端
2、有科技论文撰写经验
3、能接受驻场办公，通常地点在成都市主城区市区内；
4、需要保证实习4个月，接受办公地点，能尽快到岗者优先。
 

截止日期：2027年04月15日
招聘人数：1人",Python JavaScript Vue Tomcat Spring GPT 大模型 数据治理 数据分析,https://www.liepin.com/lptjob/81786541
数据治理实习生,高斯全球,150-200元/天,广州-天河区,广州,本科,,7月22日更新,liepin,"岗位职责】

1.负责全球雇佣相关法律法规数据的收集、整理与结构化录入，支撑系统合规数据基础建设。

2.开展数据有效性验证工作，包括但不限于交叉核对、异常识别与问题记录。

3.协助新用户在系统上线前完成基础配置，如账号开通、权限分配、流程模板设置等。

4.支持日常运营中的数据整理、任务跟踪及上级交办的其他数据治理类工作。

【任职要求】

1.本科以上，能够快速学习新工具、新流程。

2.熟悉常用办公软件，尤其是Excel（如VLOOKUP、数据透视表等基础数据处理功能）。

3.逻辑清晰，能够准确描述问题，并具备良好的沟通与协作能力。

4.工作细致、责任心强，能按照既定流程记录和跟踪任务进度。

截止日期：2027年07月22日
招聘人数：1人",合规 数据治理,https://www.liepin.com/lptjob/84325431
【2027金融科技研发中心（筹）-数据管理团队】数据治理岗(J10709),长城证券股份,薪资面议,深圳-福田区,深圳,本科,应届,5月8日更新,liepin,"职责描述：
1、负责公司各业务线的数据需求交付：包括不限于模型、报表、接口等数据开发、数据质量等核查相关工作
2、负责公司数据治理工作常态化运作：元数据、数据标准、数据质量、数据安全相关工作流程落地执行工作
3、负责公司数据分析挖掘工作：利用AI相关技术提升经营分析决策效率和客户服务体验
任职要求：
1.教育背景：本科及以上学历，计算机、人工智能、软件工程、应用数学等相关专业优先
2.专业能力：具有python开发工作基础，有一定SQL 开发能力
3.综合素质：具有较强的文字表达能力、逻辑思维能力、数据分析能力；对大模型在数据分析领域有一定的研究

截止日期：2027年05月08日
招聘人数：1人",Python SQL 大模型 数据治理 数据分析 客户服务,https://www.liepin.com/lptjob/82353809
数据治理实习生,上海云赛智联信息科技有限公司,120-200元/天,上海-浦东新区,上海,本科,,90天前更新,liepin,"职责描述：
1.参与企业数据治理工作，包括数据采集、数据汇聚、数据清洗、数据脱敏、主数据管理、数据标签、数据安全等工作。



任职要求：
1.本科或研究生在读，理工科专业均可（包括切不限于计算机、软件工程、电子通信、大数据专业）；

2.平均每周到岗3天及以上，可全勤实习者优先；

3.2023年、2024年毕业生优先。

*实习项目地点临港

招聘人数：5人",数据治理 数据采集,https://www.liepin.com/lptjob/52162201
数据治理,西安数驱智信息科技有限公司,0-50元/天,咸阳-秦都区,,大专,,90天前更新,liepin,"工作内容：
1.完成智能驾驶算法设计底层数据库相关数据治理；
2.按公司要求完成相关文件及数据采集、处理；
3.负责系统检查工作；
任职要求：
1.具备较强的逻辑思维能力，能够系统性分析和归纳需求；
2.沟通能力良好，善于与客户及团队成员进行有效交流；
3.熟悉计算机操作；
4.专科及以上学历，理工、管理、信息、财会等相关专业优先。
5.需自带电脑。
工资薪酬：面议
福利待遇：员工培训+双休+年假+企业关怀

截止日期：2027年03月23日
招聘人数：6人",数据治理 数据采集 培训,https://www.liepin.com/lptjob/81151545
