job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据通信工程师,江苏同润科技有限公司,5-9k·13薪,南京-江宁区,南京,学生可投,1-3年,90天前更新,liepin,"岗位职责：
1、完成项目的交付实施工作，负责客户现场设备的集成安装、网络配置、调试测试、演示培训、应用指导等。
2、负责项目实施前设备的组网部署及安装工作。
3、按照流程及时处理客户需求、解决设备故障，并提交相关工作总结文件。
4、负责售后技术支持工作，维护公司产品稳定运行，提高客户满意度和用户体验。

岗位要求：
1、统招大专及以上学历，熟悉主流操作系统，熟悉常用语句和基本操作命令，熟悉计算机软硬件、网络、通信等相关知识。
2、熟悉tcp/ip、stp、ospf、bgp等网络协议，能基础配置华为、思科、锐捷等厂商的网络设备。
3、具有较好的口头和文字表达能力，较强的组织协调与沟通能力。
4、能适应江苏省内短期出差。
5、有通信网络中级职称、相关证书以及党员优先。",TCP/IP 培训 技术支持,https://www.liepin.com/job/1974074301.shtml
数据通信工程师,华苏科技,10-15k,张家口,,学生可投,经验不限,90天前更新,liepin,"岗位职责：

1、负责中国移动客户数据中心网络安全日常维护管理工作;

2、按照日常维护作业计划要求完成网络安全设备的巡检工作，保证系统高效稳定可靠运行;
3、定期开展网络架构的安全评估、测试、加固工作，对全网设备流量、监控、会话分发进行分析，及时调整安全设备的策略 ;

4、负责网络安全设备的策略维护，提出优化建议;根据客户要求进行策略变更和撰写网络安全项目实施方案;
5、负责客户日常各类网络安全事件故障的诊断、分析、定位、解决及总结;
6、领导交办的其他事务 ;
岗位要求：
1、通信、计算机、网络安全等相关专业，大专或以上学历，1年以上网络系统与IT系统维护或网络安全项目工作经验；中兴通讯优先录取

2、熟悉网络设备（路由器、交换机等）的配置和维护；

3、熟悉各类常见的网络安全设备，如：防火墙、IPS、日志审计、WAF、堡垒机、威胁流量检测等，能进行调试配置和维护；

4、了解各种网络协议及网络安全知识，可熟练对网络或安全故障进行处理；

5、工作主动性强，耐心细致，有责任心，具备团队合作精神。

熟悉不同设备厂商的交换机，路由器，防火墙的实施配置;
熟练掌握IPV 4的基本应用以及了解IPV 6网络;精通交换机接口类型解决交换机的VLAN划分隔离;掌握............-.

.........

DHCP基于接口、全局和中继的地址下放;能够熟练解决聚合链路中遇到的各种问题(MANUAL,L ACP);熟练运用VRRP+NSTP解决汇聚层备份问题;熟练掌握H3C设备，.........
框式交换机，盒式交换机堆叠卡和业务口堆叠;掌握OSPF、|S-|S、BGP、MPLSVPN等大网协议;路由策略解决各种选路问........-.

题、策略路由解决限流和流量重定向;熟悉防火墙的安

----------.

全策略、防患措施以及VPN的实施与搭建;熟练使用L2TP OVER IPSEC VPN和GRE VPN,SSL VPN解决各种

..-......

私有网络通信问题;熟练使用热备份技术对防火墙进行备份;熟练使用BFD对重要骨干链路进行探测;熟练使用健康检查，|

P-LINK对运营商链路进行探测;熟练掌握DDOS，单包.

-----------.

攻击，AV病毒防护，URL。IPS 等工作原理。

工作地点张家口移动
石家庄中兴办事处",防火墙 IPS 审计 WAF MANUAL ACP BGP OVER,https://www.liepin.com/job/1946106383.shtml
数据通信工程师,上海喜英网络科技有限公司,7-11k,上海-静安区,上海,学生可投,经验不限,90天前更新,liepin,负责维护电信5G基站项目，基站巡检，机房跳纤工作,5G,https://www.liepin.com/job/1952774013.shtml
数据通信工程师,北京清芝融金软件有限公司,15-25k·13薪,北京,北京,学生可投,经验不限,90天前更新,liepin,"职位信息
岗位职责：
1. 负责Android应用程序的设计、开发工作；
2. 负责移动应用新技术的研究、测试及引进；
3. 编写和维护相关开发和设计文档；
4. 协助项目组进行产品功能测试，解决测试发现的问题；
6. 负责基于Flutter的移动app开发；
7. 对现有代码进行性能优化，提升用户体验；
8. 开发和维护统一的软件开发架构，发现和解决存在的技术和业务问题。

任职要求：
1、本科以上学历， 全日制本科及以上学历，电子信息、计算机类、通信、软件等相关专业，具有复合专业背景优先；2年以上Android开发经验，计算机软件、通讯相关专业优先；
2、有良好的Java面向对象开发基础；3年以上JAVA工作经验，精通Java开发；
3、至少4年以上Android平台开发经验；精通Android系统架构及相关技术；熟悉Android主流开源框架和SDK；
4、有蓝牙，NFC，RFID、GPRS、NB、4G等外围设备与Android应用集成开发经验优先；
5、熟悉Android下网络通信机制，熟悉C/S应用结构；熟悉XML、WebService、Json等；了解主流数据库编程；
6、熟悉Android平台UI设计，具备实际Android平台开发经验；
7、具备较强的项目管理能力，能够自主推动项目进展，主导或参与过政府、企业的合作项目优先；
8、具备良好的团队合作精神，内驱力强，富有责任感，充满热情，能承受较大的工作压力，
1. 三年以上嵌入式Linux/android驱动开发经验，能独立进行软件架构设计。
2.对LCD，Camera，USB，SDIO/MMC, BT/WIFI/GPS, Audio、Video、NFC、Touch Panel、传感器驱动等掌握三项驱动开发或者以上经验者为佳。
4. 能读懂硬件电路原理图，基本的硬件焊接动手能力，有软硬件调试能力。
5. 学习能力强，对业务和新知识能够快速理解和交流；具有扎实的文字功底，文笔流畅，思维敏捷，擅长撰写各种应用解决方案及标书等；
6. 善于分析和总结，具备开拓精神，以及独立解决问题的能力；具有较强的人际交往与沟通协调的能力。",Flutter Java 4G 嵌入式Linux WiFi GPS 功能测试 项目管理,https://www.liepin.com/job/1930831879.shtml
政企网-数据通信讲师,河南智信教育,8-16k,郑州-金水区,郑州,学生可投,3年以上,今日更新,liepin,"一．岗位职责：

1、负责针对电子、通信、计算机、网络工程、物联网等相关理工科专业的实习生、初级工程师或者欲从事数据通信相关岗位人员的专业技术培训，能够适应行业内基本的工作岗位需求；

2、负责数据通信专业的从0-1的系统培训课程架构的构思、系统培训教材的编制、线下培训的面授、线上视频课程的录制；

3、负责市场主流数通设备厂家（Cisco、Huawei、H3C、Juniper、HP、ZTE、Ruijie、TP-Link、D-Link、Lenovo）的实际操作的课程的编撰、实操课程的录制；

3、负责数通产品的技术培训，配合客户经理做好客户的售前技术支持、业务协调工作；

4、为数通项目的招投标工作提供技术支持，包括整体解决方案的拟订、技术评审、工程勘察、工程设计、项目预算等。

二．岗位要求：

1、项目经验：具备从事数通项目实施3年以上实际经验，有社会主流数通产品（Cisco、Huawei、H3C、Juniper、HP、ZTE、Ruijie、TP-Link、D-Link、Lenovo）经验，有中大型网络（4/5G移动通信网、4/5移动核心网、政企网、物联网等）的规划、网络搭建、组网、设备调测、设备开通实际工作工作经验；

2、知识技能：熟悉通信系统原理、数据通信原理；掌握TCP/IP协议、以太网技术、VLAN技术、基本路由协议（静态、RIP、OSPF、IS-IS）等网络基础知识和基本应用；掌握oracle/mysql/sybase/postgreSQL数据库优化及增删改查指令；熟悉数通主流产品或部分产品的组网方案、网络设备搭建、硬件设备的安装、设备开通与调试、组网应用、升级与割接、替换或扩容、故障的定位与分析等内容；

3、工作能力：能够独立完成数通全系列高端产品（路由器、交换机）、防火墙、BAS产品的新建的开局、升级、业务割接工作（含割接方案制作）；承担过主流设备厂家（Cisco、Huawei、H3C、Juniper、HP、ZTE、Ruijie、TP-Link、D-Link、Lenovo）数据通信网络建设工程规划，核心网调试工作，具备工程实施和设备调测能力；

4、个人职业素养：逻辑思维思路清晰、普通话标准、语言表达能力优秀；品行端正、形象良好，具备良好的职业操守，负责任、懂规矩、能够长期合作；

5、本科以上学历，通信工程、网络工程、计算机科学与技术等相关专业，5-10年以上实际相关项目工作经验；

二．薪资待遇：

月综合月收入：8000-16000元/月；年薪：10-30W/年；双休；国家法定节假日；缴纳社保（六险）；缴纳大病医疗保险；定期团建；

真诚欢迎优秀的技术工程师加盟智信教育，共筑美好未来！",5G TCP/IP Oracle MySQL PostgreSQL 防火墙 培训 技术支持 招投标,https://www.liepin.com/job/1980938791.shtml
数据通信工程师,通信设备10000人以上,20-40k·15薪,上海-浦东新区,上海,本科,1-3年,90天前更新,liepin,"【招聘职位】
数据通信工程师（od）
岗位职责:
1、产品交付
a) 设计处理用户数字信号的基带高性能运算方案，使用并行运算技术完成针对不同的通讯算法方案的业务代码落地；
b) 参与算法工程化，在基带产品中实现算法商用创造价值；
c) 建设团队软件工程能力，支持可信高质量产品交付。
2、技术研究：
a) 软件领域，并行计算方案、编译器指示、编程模型等软件关键技术研究，提供有竞争力的软件基带解决方案，支撑产品的商业成功；
b) 芯片领域，众核计算、调度、并行化等关键芯片技术研究，提供持续领先的基带芯片解决方案，支撑产品的竞争力持续领先。
c) 探索软硬件深度协同技术，自研AI芯片，探索利用AI技术增强无线通信领域产品的竞争力。
3、芯片交付：
a) 负责多模软SOC芯片软件设计、开发和验证工作；
b) 芯片验证技术探索，打通全流程工具链，实现软硬件协同仿真加速。

岗位要求:
1、计算机、软件、电子、通信、自动化、机械、数学等相关专业本科及以上学历；
2、熟练掌握一门编程语言，例如C/C++/Java/python；
3、精通线性代数，矩阵论等数学知识的优先；
4、了解DSP、操作系统、Linux驱动的优先；
5、有无线通信领域相关数字信号处理经验的优先。",C++ Java Python DSP Linux,https://www.liepin.com/job/1957522069.shtml
数据通信工程师,永胜智联(北京)信息技术有限公司,5-7k,西安-高新区,西安,本科,1-3年,7月15日更新,liepin,"1.具备路由器、三层交换机、AC 控制器、Fit AP完整组网实操经验，独立完成过有线 + 无线融合项目部署调测，熟悉瘦 AP CAPWAP 隧道机制。 
2.精通数据通信设备 CLI 命令行操作，熟练配置：VLAN、三层路由、POE、ARP 策略、Web-auth 免认证（IP/IPv6/MAC/ 网段）、URL 黑白名单、认证端口放行、用户下线清理。 
3.掌握 WLAN 基础技术：SSID、射频信道、功率、802.11kv 漫游、终端 SNR 采集、AR 卡扫描、负载均衡退避、粘连终端引导等调度功能调优。 
4.熟悉 IPv4/IPv6 双栈组网，可独立完成双栈终端认证、直通网段配置与连通性验证；了解 Portal、RADIUS 服务器对接流程。 
5.具备网络故障排查能力，能通过show/debug类命令、ping、curl、抓包定位认证不通、AP 掉线、终端无法上网、漫游卡顿等问题。 
6.了解基础网络安全策略：ACL、黑白名单、直通 ARP、目的 IP / 端口拦截等业务逻辑优先 
7.有RCNA/RCNP、CCNA/CCNP/CCIE、HCIA/HCIP/HCIE等相关认证优先 
8.有Python/Robot Framework/Pytest语言编程经验的优先",Python 故障排查 AC Fit AP CAPWAP CLI VLAN,https://www.liepin.com/job/1984135705.shtml
数据通信工程师（26届),某专业技术服务公司,6-8k,西安,西安,本科,经验不限,6月26日更新,liepin,"1.岗位职责：
主要负责路由器、BRAS、交换机、防火墙、SIG及相关产品的集成设计、集成测试与验证、集成实施、业务与数据迁移、集成验收、工程期商用保障等，以及与之相关的数据分析，方案设计、脚本制作、方案实施、培训赋能、疑难问题处理等工作，适用于数据网络新建、扩容、搬迁、改造、合并等场景。
2.岗位要求：
1、专业要求:统招本科毕业，理工科专业背景均可(通信、电子信息、计算机、网络工程等)；
2、语言要求:英语可作为日常工作语言；
3、素质要求:具备良好的沟通表达能力和团队协作精神，愿意在通信服务领域长期发展；
4、持有HCIA/HCIP/HCIE等相关认证；",防火墙 数据分析 方案设计 培训 BRAS HCIP,https://www.liepin.com/a/76675641.shtml
数据通信工程师,陕西凌硕信息技术有限公司,4-9k,西安-雁塔区,西安,大专,3-5年,90天前更新,liepin,"1、服从公司整体调配；适应中短期出差；

2、精通H3C路由器，华为交换机，防火墙、AC\AP等产品协议配置

3、从事华为数据产品交付3年以上，熟悉华为数据通信设备，具备中级工程师认证，设备开局，网络调测，变更，故障定位。

4、良好的职业道德，有技术开发的潜力；

5、责任心强，态度端正，提供良好的薪资待遇",防火墙 AC,https://www.liepin.com/job/1956503709.shtml
光伏数据通信工程师,合肥智光晧晨新能源科技有限公司,5-8k,合肥-肥西县,合肥,大专,1-3年,90天前更新,liepin,"‌岗位职责‌
1、负责光伏电站电气设备数据采集（通过数采设备、交换机）、无线传输至监控平台，确保数据实时性与稳定性。
2、对接平台间通讯协议（如Modbus TCP/IP、IEC 104），完成协议配置与数据解析。
3、解析设备故障代码，参与现场调试及运维，配合试验检测工作。
4、维护数据采集设备及网络系统，处理常见通讯故障。
‌任职要求‌
1、电气工程、自动化等相关专业大专及以上学历。
2、有电气试验调试、光伏运维经验者优先。
3、能适应电站现场工作，持有高压电工证或高压作业证加分。
该岗位融合数据通讯与运维职能，适合新能源领域技术复合型人才。",Modbus TCP/IP 数据采集 TCP IP IEC,https://www.liepin.com/job/1976634547.shtml
