job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据采集员【石家庄实习+双休】,自变量机器人科技(深圳)有限公司,150-180元/天,石家庄-裕华区,石家庄,学历不限,,7月21日更新,liepin,"工作时间：8点半 - 19点半之间（中间有休息时间1.5H，具体上班时间得看入户家庭提供的准确时间为准），工作时长是8个小时，周末和法定节假日正常休假
工作内容：入户社区家庭进行数据采集（石家庄的采集是会具体入户到社区的家庭内，在家庭小区场景操作设备进行采集）
【职位描述】
1、数据采集执行：根据项目需求，熟练操作任务数据采集设备。在指定场景下，精准、高效地完成机器人动作数据的采集任务。
2、数据安全和质量保障：严格按照操作SOP进行采集，确保数据采集过程的安全、规范和数据质量的可靠性。
3、数据标注：对采集到的有效数据，按照指引进行标注。
4、数据入库：配合研发工程师记录数据，完成数据的入库工作。
【职位要求】
1、中专/高中及以上学历，具备计算机操作基础。
2、较好的工作责任心与耐心： 工作细致严谨踏实，对数据质量有高度敏感性，能长时间专注于重复性任务并保持高精度。
3、执行力与沟通能力： 能清晰理解任务要求，高效执行，并能与团队成员进行有效沟通。
4、有AI、机器人行业的数据采集/标注经验者优先考虑。

截止日期：2027年07月15日
招聘人数：150人",数据采集,https://www.liepin.com/lptjob/84299251
数据采集员【石家庄实习生】,自变量机器人科技(深圳)有限公司,150元/天,石家庄-裕华区,石家庄,学历不限,,7月16日更新,liepin,"工作时间：8点半 - 19点半之间（中间有休息时间1.5H，具体上班时间得看入户家庭提供的准确时间为准），工作时长是8个小时，周末和法定节假日正常休假
工作内容：入户社区家庭进行数据采集（石家庄的采集是会具体入户到社区的家庭内，在家庭小区场景操作设备进行采集）
【职位描述】
1、数据采集执行：根据项目需求，熟练操作任务数据采集设备。在指定场景下，精准、高效地完成机器人动作数据的采集任务。
2、数据安全和质量保障：严格按照操作SOP进行采集，确保数据采集过程的安全、规范和数据质量的可靠性。
3、数据标注：对采集到的有效数据，按照指引进行标注。
4、数据入库：配合研发工程师记录数据，完成数据的入库工作。
【职位要求】
1、中专/高中及以上学历，具备计算机操作基础。
2、较好的工作责任心与耐心： 工作细致严谨踏实，对数据质量有高度敏感性，能长时间专注于重复性任务并保持高精度。
3、执行力与沟通能力： 能清晰理解任务要求，高效执行，并能与团队成员进行有效沟通。
4、有AI、机器人行业的数据采集/标注经验者优先考虑。

截止日期：2027年07月15日
招聘人数：150人",数据采集,https://www.liepin.com/lptjob/84197033
机器人多模态数据采集实习生,苏州乐享智能科技,200-400元/天,上海-徐汇区,上海,本科,,7月24日更新,liepin,"机器人多模态数据采集实习生
 岗位职责
- 硬件操作与环境搭建： 协助搭建数据采集场景，操作机器人本体及相关传感器（如 RGB-D 相机、激光雷达、触觉传感器、麦克风阵列等）。
- 多模态数据采集： 按照研发团队的需求，通过 VR 设备或各类动捕设备（如惯性动捕服、光学动捕系统等）进行遥操作及动作捕捉，完成高质量的机器人演示数据及多模态传感器数据的采集。
- 数据清洗与标注： 对采集到的或开源的多模态数据（特别是一人称视角的 Ego 数据）、本体运动学数据进行初步的整理、清洗、对齐与人工标注。
- 流程优化： 配合算法工程师，编写或优化自动化数据采集与处理脚本，提升数据采集效率。

 任职要求
核心基础要求
1. 学历背景： 本科及以上学历，计算机、自动化、机器人、机械电子、人工智能等相关专业在读或应届生。
2. 编程基础： 熟悉 Linux 操作系统，熟练掌握 Python，能编写基础的数据处理和自动化脚本。能编写基础的数据处理和自动化脚本，具备较强的工程动手能力，能够基于各类硬件设备（或传感器）的 SDK 进行快速二次开发与集成。
3. 算法基础：熟悉 OpenVLA、π系列等主流 VLA算法；具备一定的机器人学基础，了解逆运动学（IK）的求解方法。
4. 工作特质：
  - 技术热情： 对机器人技术有强烈热情，渴望参与前沿具身智能及人形机器人技术的落地。
  - 耐心与细致： 动捕与遥操采集具有一定的重复性，需要高度的责任心，确保数据格式规范、动作无偏差。
  - 沟通协作： 具备良好的沟通能力，能精准理解算法工程师对数据分布和边界情况的需求。
5. 实习时间： 每周至少出勤 4-5 天，连续实习 3 个月以上（时间充裕者优先）。
加分项
- 动作重定向经验：有动作重定向经验，熟悉将人体动捕数据映射并解算到机器人本体者优先。
- 机器人通讯： 熟悉机器人系统或跨平台通讯协议，有 DDS、WebSocket 等实际开发或调试经验者优先。
- ROS 经验： 熟悉机器人操作系统（ROS/ROS2），能熟练抓取和回放 Bag 数据。
- 仿真平台经验： 熟悉 Isaac Sim、MuJoCo、PyBullet 等主流机器人物理仿真平台，有相关开发或 Sim-to-Rea 经验者优先。

截止日期：2027年07月24日
招聘人数：1人",Go Linux Python WebSocket ROS 数据采集 流程优化,https://www.liepin.com/lptjob/84375463
机器人数据采集实习生（遥操作/具身智能方向）,上海穹彻智能科技有限公司,200-400元/天,上海-闵行区,上海,本科,,7月20日更新,liepin,"职位描述
实习时长：不少于6个月，每周至少到岗4天（含周末可协商），能长期实习者优先
【岗位职责】
使用力反馈主手等遥操作设备，实时操控机器人完成多样化灵巧操作任务，为具身智能模型训练提供高质量示教数据。
遵循操作规范，确保数据采集的稳定性与多样性；按照研发人员需求，对采集的视频、图像、关节状态等多模态数据进行筛选、同步校验、标注与清洗，保障数据质量。
协助研发人员进行机器人本体、末端执行器、传感器、相机等组件的安装、走线、固定与基础调试；参与测试环境搭建与改造。
负责数据采集平台的设备归位、线缆整理、常见故障排查及耗材管理，维持作业区整洁与安全。
详细记录实验日志，及时反馈遥操作过程中的软硬件异常，配合迭代数据采集流程，提升操作体验与采集效率。
职位要求
【任职要求】
熟练使用内六角、螺丝刀、万用表等常见工具；有机械装配、电路连接、机器人搭建等实操经历者优先。
对重复性精细操作有足够耐心，善于观察操作细节，能持续保持高度专注；具备严谨的实验记录习惯。
有游戏手柄、飞行摇杆、VR设备、航模/无人机操控或真实机器人操作经验者优先；对遥操作有浓厚兴趣。
熟悉常用办公软件；了解Linux基本命令行操作，或能用Python编写简单脚本者加分。
本科及以上在读，机械工程、自动化、机器人工程、电子信息、计算机等相关专业；大二、大三或研一同学优先。
能保证稳定出勤，实习期不少于6个月，每周可到岗4天及以上（周末时间可协商），能长期实习者优先考虑。

【加分项】
了解机器人学基础（坐标系、运动学），有ROS、MoveIt、Gazebo等使用经验。
接触过遥操作系统、模仿学习、机器人数据采集流程等。
会使用SolidWorks等CAD软件进行简单设计，或有3D打印、焊接等制作能力。

【我们提供】
前沿项目参与机会，深度介入具身智能真机遥操作数据闭环，了解模仿学习、强化学习所需数据的生产全流程。
跨领域协作环境：与具身算法、机器人控制等方向的资深工程师共同工作，快速积累机器人系统实操经验。
实习证明与发展空间：出具正式实习证明，表现优异者可获得转正机会或行业推荐。

截止日期：2027年07月16日
招聘人数：1人",Linux Python ROS 数据采集 故障排查 MoveIt,https://www.liepin.com/lptjob/84177749
数据采集实习生 (MJ000210),盈峰环境科技集团股份有限公司,100-150元/天,佛山-顺德区,佛山,本科,,7月7日更新,liepin,"工作职责：
1. 参与户外/工业现场感知数据采集工作，使用专业设备采集、记录数据； 
2. 协助部署和维护数据采集设备，确保设备正常运行； 
3. 按照规范录入、校验和整理现场采集的结构化/非结构化数据（如图像、视频等）； 
4. 配合团队完成数据清洗、标注、标注验收或进行简单数据分析任务；
 5. 编写数据采集日志，反馈现场问题并提出优化建议。 

任职要求：
任职要求必备技能 
- 能适应户外工作（如工业园区、城市道路等），具备较强的动手能力和耐心。
 - 熟练使用办公软件进行数据统计、录入和初步清洗。
 - 对域控制器、感知传感器、数据存储设备有一定了解。 
- 具备基本安全意识，能遵守现场操作规范。 加分项 - 理工科背景（自动化、计算机、软件工程等专业优先）。
 - 对数据采集、数据预处理、模型训练有一定了解。
 - 善于沟通，有较强的学习能力。
 - 会使用Python/Matlab进行简单数据处理。 其他要求 - 能接受短期出差或跨区域外勤（根据项目需求）。 
- 学历本科以上，技能优秀者可放宽到大专。 - 每周到岗≥3天，实习期≥2个月。 

截止日期：2027年07月07日
招聘人数：3人",Python MATLAB 数据采集 数据分析,https://www.liepin.com/lptjob/83948533
数据采集实习生,深圳市格瑞产业服务有限公司,180-200元/天,深圳-南山区,深圳,大专,,7月7日更新,liepin,"岗位职责：
1.负责根据机器⼈的应用场景和功能需求，完成机器⼈的数据采集任务；
2.按照操作要求，使⽤各类数据采集设备，按照标准要求进⾏采集，确保数据采集质量，按时完成数据上传与校验；
3.维护和管理数据采集设备，确保其能够正常运行，配合⼯程团队反馈机器⼈运⾏异常、数据质量问题；
4.提供⽤户体验、操作流程和任务说明的详细反馈，以提⾼产品的可⽤性，参与周期性培训，持续提升标注精度和效率；
5.使用数据软件，对采集到的数据进⾏初步的筛选、整理和标注，为后续的数据分析做准备。
任职要求：
1.专业不限，电⼦、计算机、机械、自动化优先；
2.熟练使⽤ office 等办公软件，掌握系统基础界⾯操作；
3.具有端正的工作态度，有责任⼼，学习能⼒强，抗压⼒及执⾏⼒强，能迅速胜任工作岗位；
4.沟通能⼒强，能够清晰地表达任务操作中遇到的问题、阻碍因素和建议；
5.动⼿能⼒强，肢体协调，⾝体健康，擅⻓ VR、体感游戏优先；
6.可以接受轮班（含夜班）工作安排（早班8:00-17:00，晚班17:00-2:00）。

说明：此岗位为采集动手操作岗，能接受联系试岗。

说明：

截止日期：2027年06月25日
招聘人数：30人",数据采集 培训 数据分析 VR,https://www.liepin.com/lptjob/83700791
数据采集实习生,钢研国际新材料创新中心(深圳)有限公司,200-300元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"【岗位职责】
1、设计并实现大规模网页数据和公众号数据的抓取、清洗及结构化、存储流程，保障数据质量与时效性。
2、熟悉反爬机制及应对策略，开发高可用的数据采集与清洗方案。
3、协同数据团队完成数据交付，驱动下游分析与应用。

【任职要求】
1、硕士及以上学历，计算机、通信、软件工程、自动化或相关专业；
2、熟练掌握至少一门编程语言（如Python/Java）；
3、熟悉常用数据采集软件，如火车采集、八爪鱼采集；
4、熟悉常用数据库（如MySQL、Oracle等）的使用；
5、具备3个月以上的数据采集项目经验；
6、责任心强、学习能力佳，具备良好的沟通与团队协作精神。

【实习时间】
即日起，每周至少4天及以上，至少连续3个月及以上。可长期实习者优先。
每天工作时间：8：30~17：30。

【待遇和福利】
200-300元/天，表现突出者还可上浮20%。
满足实习要求的学生，实习结束后可开具实习报告，表现突出者在实习报告中予以体现。

【实习地点】
北京市海淀区学院南路76号，中国钢研科技集团院内。


招聘人数：1人",高可用 Python Java MySQL Oracle 数据采集,https://www.liepin.com/lptjob/79791509
机器人数据采集员,艾利特机器人,180-200元/天,上海-闵行区,上海,大专,,7月30日更新,liepin,"工作内容：
1. 根据算法研发需求与标准化采集脚本，操作主从臂、VR手柄、数据手套、遥操作控制台等设备，远程/手动示教机械臂、灵巧手，完成抓取、放置、装配、分拣、推拉、开合等标准化作业动作。

2. 记录采集过程中的设备问题、动作难点、数据异常，向研发团队反馈优化建议，协助迭代采集流程与机器人动作逻辑。

3. 配合完成算法测试、模型落地验证、新功能试采等辅助工作。

任职要求：
1. 细心耐心、责任心强，能够重复性完成精细化机械臂示教与数据采集工作，对数据精度敏感。

2. 具备基本电脑操作能力，可熟练按照流程执行标准化任务，简单看懂操作脚本与任务需求。

3. 具备良好的执行力与配合度，服从项目安排，按时保质完成量化任务指标。

4. 无技术门槛，无需深厚编程基础，有机器人、机械臂、数据采集、标注相关经验者优先录用。

截止日期：2027年07月30日
招聘人数：1人",数据采集,https://www.liepin.com/lptjob/84521937
数据采集和分析研发工程师,北京月佳科技有限公司,150-250元/天,北京-海淀区,北京,本科,,7月1日更新,liepin,"岗位职责：
- 协助研发工程师完成网页、接口、小程序等多渠道公开数据的爬虫开发、调试与迭代，编写稳定高效的自动化采集脚本。
- 负责采集数据的清洗、去重、格式标准化、异常数据筛查，处理脏数据、缺失数据，输出规范的结构化数据。
- 跟进站点反爬机制更新，协助优化请求策略、代理池、请求频率、指纹模拟等，解决采集过程中的拦截、封禁、数据缺失等问题，保障采集任务稳定性。
- 参与数据采集工具、采集调度平台的日常迭代与功能优化，整理测试数据、优化采集规则，提升整体采集效率与数据准确率。
- 配合团队完成项目落地、需求对接、技术文档编写、日志整理，同步采集进度与问题，输出阶段性数据成果报告。
- 跟进行业主流采集技术，协助调研新的采集方案、适配新型站点与接口数据抓取需求。
任职要求：
- 本科及以上在校生，计算机、软件工程、数据科学、统计学、人工智能等相关专业，27/28届均可。
- 必备基础：熟练掌握Python基础语法，熟悉常用数据结构，能独立编写基础爬虫脚本。
- 技术加分：熟悉Requests、BeautifulSoup、XPath、正则表达式；了解Selenium、Playwright等自动化采集工具；了解接口抓包、AJAX动态数据抓取。
- 了解HTTP/HTTPS协议、请求头、Cookie、Token、接口签名等基础网络知识，能理解基础反爬原理。
- 熟悉MySQL、Redis等基础数据库操作，掌握基础SQL语句，可完成数据入库、查询、更新等操作优先。
- 具备良好的逻辑思维、问题排查能力，能独立定位脚本报错、数据异常等问题，学习能力强，愿意深耕数据采集研发方向。
- 工作认真负责、主动高效，有良好的团队协作能力，能按时保质完成分配的研发任务，有爬虫、数据处理相关项目经验者优先。


截止日期：2027年07月01日
招聘人数：1人",Python MySQL Redis SQL 数据采集 技术文档,https://www.liepin.com/lptjob/83828799
机器人数据采集员（双休不加班,武汉麻小袋科技有限公司,150-180元/天,苏州-吴中区,苏州,大专,,90天前更新,liepin,"

岗位职责（早九晚六，双休，不加班）
1.动作示教与数据采集，使用VR设备
2.按照规范执行场景任务，包括：开门等
3.对数据进行基本检查
4.及时反馈采集数据中出现的问题和控制团队协作。

任职要求:
1.大专及以上，年龄20-35岁
2.吃苦耐劳，听从安排，具备良好执行力
3.工作细致认真，对新工具/新系统学习速度快
4.具备很强的责任心和安全意识

加分项
1.具备数据采集经验，或ros相关经验
2.稳定在岗3个月优先;
3.如有临时安排，能够灵活响应

工作时间、地点及薪资待遇：
1.工作地点：苏州市吴中区城南街道南湖路56号融新产业园二期
2.工作班制：仅白班 9：00-18：00  间休1小时，双休
3.薪资待遇：试岗期一周，每日固定薪资128元（需做满试岗期）；试岗过后，150元/天+10元/天（全勤），正常出勤160元/天；后期看个人能力，效率高薪资越高，多劳多得。
4.考勤方式：飞书打卡

招聘人数：100人",ROS 数据采集,https://www.liepin.com/lptjob/79972811
