job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
2026校招-无线网络工程师-广州,通信设备10000人以上,10-11k·14薪,广州-天河区,广州,硕士,应届,7月27日更新,liepin,"5G RAN Integration Engineer

 
About this opportunity

The work area is at the forefront of 5G RAN technology, providing customer with fast deployment，technical support and service delivery for 5G network. As a support engineer, the candidate needs to have extensive expertise in communication and IT, master the software and hardware knowledge of related products, and knowledge of data communication network. The candidate should also have strong learning ability and can adapt to the rapid development of communication technology quickly and flexibly. The support engineering daily contact is mainly the technical staff of the operator, as well as the service manager and service engineer within the company's service delivery department. Candidate also needs to agree with sales, R&D, third-party service providers and local government. Can adapt to frequent and urgent domestic and international business trips. The candidate should have strong communication skills, be able to communicate and collaborate smoothly with colleagues, customers and third-party suppliers.

What you will do

•	Support customer to fast deploy 5G RAN solution

•	Handle customer questions and provide technical report

•	Telecom network failure analysis and processing

•	Assist Ericsson R&D for problem tracking, analysis and resolution

•	Emergency fast recovery

•	Software upgrade management

•	Customer communication and training

•	Develop trouble shooting algorithm and integrate in Ericsson AI/ML platform

You will bring

•	Education: Bachelor degree or above in Telecommunication, Computer Science, Computer Networking etc...

•	Good knowledge on telecommunication theory. Familiar with wireless related theoretical knowledge, have a certain understanding of 4G LTE and 5G SA/NSA network architecture, interfaces, and protocols

•	Skilled in using the Linux operating system. Good understanding on TCP/IP, have solving capabilities

•	Mastering the use of scripting languages such as Shell, Python, and SQL is preferred

•	Basic knowledge on Machine Learning and Artificial Intelligence (ML & AI) technologies

•	Basic knowledge on data analytics concept and technology

•	Basic knowledge on RedCap.

•	Strong communication, presentation, and negotiation skills as well as organizational and planning skills

•	Strong learning, passion for applying new technologies, good at thinking and summarizing, proactive work attitude

•	Can independently provide technical services to customer and meet customer expectation

•	Proficiency in English listening, speaking, reading, and writing

 
Why join Ericsson?

At Ericsson, you´ll have an outstanding opportunity. The chance to use your skills and imagination to push the boundaries of what´s possible. To build never seen before solutions to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone. You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.

截止日期：2026年08月31日
招聘人数：2人",5G Gin CAN Go IPS 4G LTE Linux TCP/IP Shell Python SQL,https://www.liepin.com/lptjob/83669585
无线通信工程师,北京通广龙电子科技有限公司,15-20k·14薪,北京-海淀区,北京,硕士,应届,7月6日更新,liepin,"专业要求：
1、通信工程类、电子信息类、计算机类专业；
2、本科及以上学历

岗位工作内容：
1、FPGA开发岗、
2、嵌入式软件开发岗
3、通信协议设计岗
 

截止日期：2027年04月28日
招聘人数：10人",FPGA,https://www.liepin.com/lptjob/82144475
无线通信工程师,江苏恒知教育科技有限公司,3-6k,徐州,徐州,大专,应届,90天前更新,liepin,"岗位职责：
5G无线网络测试与优化：通过专业测试软件与设备进行网络测试及性能分析移动通信网络优化方案确定与实施网络优化
1.新建站点进行勘察，业务验证测试，单站点优化工作
2.新建网络以簇/网格为单位，针对测试KPI指标进行射频优化调整从而提升网络质量
3.负责制订移动网络规划、优化方案和计划并实施
4.根据现网各类数据的统计分析制定中、短期网络优化方案
5.对话务统计数据和路测进行分析,找出网络中存在的问题并提出解决方案
6.熟练使用网管进行基本无线参数的修改;定期对各类优化数据库进行核查,使数据库中的数据与现网保持一致
任职要求：
计算机、通信、电子信息等相关专业；
能适应常年驻外
吃苦耐劳，动手能力强
有较强的沟通与协调能力


招聘人数：20人",5G,https://www.liepin.com/lptjob/44368647
无线射频工程师,广州维德科技有限公司,150-300元/天,广州-白云区,广州,本科,,5月27日更新,liepin,"天线，滤波器，LNA，混频器，射频功放，信号源等等方向

截止日期：2027年05月27日
招聘人数：2人",LNA,https://www.liepin.com/lptjob/82902379
无线网优工程师,中国联合网络通信有限公司金华市分公司,7-12k·14薪,金华,金华,本科,应届,90天前更新,liepin,"职责说明：
1、日常网络指标性能监控和分析，并配合开展小区参数的数据核查和优化调整；
2、参与并完成各类专项优化工作，如重大活动保障、网络簇优化、VIP客户投诉处理；
3、配合参与移网三年滚动计划，负责移网待建库的收集和整理，并配合开展电联共建共享及站点联合规划落地事宜；
4、参与移网科创课题研究。

任职要求：
1、2025届（未就业）或2026届普通高等院校毕业，本科及以上学历，通信工程、电子信息工程、计算机科学等相关专业；
2、深入理解移动通信网络原理，对LTE/NR网络制式有一定的了解；
3、具备良好的数据分析能力，能熟练使用Excel进行高级数据处理，会使用SQL或Python进行数据分析者优先；
4、具备良好的团队协作精神和自学能力，能够快速适应新技术的发展；
5、具备一定的报告撰写能力和PPT制作能力。

截止日期：2026年09月09日
招聘人数：1人",LTE SQL Python 合规 数据分析,https://www.liepin.com/lptjob/77095723
无线通信IC技术工程师（应届生）,电子/半导体/集成电路50-99人,12-22k,上海-浦东新区,上海,本科,应届,7月30日更新,liepin,"岗位方向：
嵌入式软件、测试、数字IC设计、FPGA等。 

岗位描述： 
根据毕业生特长匹配岗位及定位职责。 

任职要求： 
1、2026届本科及以上，微电子、通信、电子工程、自动化、计算机等相关专业； 
2、具备扎实的专业基础（模电/数电/信号与系统/通信原理等）； 
3、有芯片相关课题、竞赛或实习经历者优先； 
4、学习能力强，逻辑清晰，对无线通信技术有浓厚兴趣，有团队合作精神。
 

截止日期：2027年07月13日
招聘人数：5人",FPGA,https://www.liepin.com/lptjob/84087631
无线通信IC技术工程师（应届生）,电子/半导体/集成电路50-99人,12-22k,深圳-南山区,深圳,本科,应届,7月30日更新,liepin,"岗位方向：
嵌入式软件、测试、数字IC设计、FPGA等。 

岗位描述： 
根据毕业生特长匹配岗位及定位职责。 

任职要求： 
1、2026届本科及以上，微电子、通信、电子工程、自动化、计算机等相关专业； 
2、具备扎实的专业基础（模电/数电/信号与系统/通信原理等）； 
3、有芯片相关课题、竞赛或实习经历者优先； 
4、学习能力强，逻辑清晰，对无线通信技术有浓厚兴趣，有团队合作精神。
 

截止日期：2027年07月13日
招聘人数：5人",FPGA,https://www.liepin.com/lptjob/84087629
（无线充）软件工程师,珠海智融科技股份有限公司,15-20k,珠海-香洲区,珠海,硕士,应届,90天前更新,liepin,"岗位职责：
1、负责无线充标案程序开发、维护及更新完善；
2、负责无线充新协议、新技术、新应用的预研及方案落地；
3、协助无线充应用程序及客户定制案开发；
4、与无线充设计团队配合制定无线充芯片规格，参与芯片设计实现。
岗位要求：
1、电子、计算机、通信相关类专业硕士或以上；
2、熟悉C语言和汇编语言, 有良好的设计、编码习惯；
3、熟悉无线充电基本原理、无线充协议及无线充应用优先；
4、具备独立开发无线充软件的经验及能力优先考虑；
5、工作负责，具有良好的沟通和协调能力。
 

截止日期：2026年12月17日
招聘人数：1人",C语言 汇编,https://www.liepin.com/lptjob/79204863
2026校招-网络优化工程师-济南,通信设备10000人以上,9-11k·14薪,济南-历下区,济南,硕士,应届,7月27日更新,liepin,"Network Engineer


About this opportunity

We are looking for a Network Engineer that will be responsible for performing planning, design and optimization of a network to meet customer requirements.

Hereby, you should be able to keep time, performance and quality according to Ericsson requirements and customer contracts.

What you will do

•	Deliver Network Design and Optimization service, which including:

1.	Coverage, capacity, quality, interference analysis and improvement

2.	Network KPI improvement

3.	End-user perceived quality optimization

4.	Including 2/3/4/5G technology

•	Develop optimization algorithm and integrate in Ericsson AI/ML platform.

•	Understand customer requirements, develop solution, and implement solution with approved scope and cost within time plan.

•	Share knowledge within Ericsson and with customers

截止日期：2026年08月31日
招聘人数：2人",Gin RAG 5G Go Network About We Hereby,https://www.liepin.com/lptjob/84298115
2027-通信算法工程师-成都(J10329),恒玄科技(上海)股份有限公司,20-30k·15薪,成都-高新区,成都,硕士,应届,7月10日更新,liepin,"职责描述：
1、对蓝牙、wifi或者其他无线蜂窝网、物联网等通信系统进行算法研究与数学仿真
2、对通信目标、干扰、杂波和信道模拟进行算法研究与数学仿真
3、为系统实现提供理论依据，并能将理论计算转换为物理实现
4、配合芯片设计工程师完成算法设计与调试以及方案编写工作
任职要求：
1. 电子信息、通信、计算机通信、应用数学或相关专业硕士及以上学历
2. 熟练掌握通信和信号处理专业的基础知识
3. 熟悉matlab/c/c++等物理层仿真工具
4. 掌握数字基带通信算法、调制、解调、同步、均衡、信道解码等算法者优先
5. 熟悉蓝牙、wifi、无线蜂窝网等若干标准数字通信协议之一者优先

截止日期：2027年07月10日
招聘人数：5人",WiFi MATLAB C++,https://www.liepin.com/lptjob/84053143
