job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
博士后研究员,深圳市志奋领科技有限公司,30-40k,深圳-宝安区,深圳,博士,应届,6月16日更新,liepin,"一、研发平台
- 智能传感研究院：公司内设专业研究院，支撑前沿技术攻关
- 一个中心：广东省精密智能工业传感器工程技术研究中心和五大专业实验室：精密光学实验室、AI视觉实验室、EMC实验室、可靠性实验室、环境实验室
- 核心专利220+项，发明专利占比近50%
- 核心团队：来自西门子、华为、英特尔、霍尼韦尔、基恩士等知名企业，20年工业传感领域积累
公司已完成B+轮融资（顺为资本，深创投等），深圳市博士后创新实践基地已获批设立，现面向全球招收博士后研究人员。
 二、研究方向（任选其一）
方向一：高精度位移传感器
方向二：多模态智能传感器系统
方向三：微型化智能视觉传感器
方向四：工业传感器无线化
方向五：新型光电检测技术应用
 三、岗位职责
1. 主导前沿技术研究：承担选定方向的课题攻关，制定技术路线图，按计划完成开题、中期、期满考核；
2. 推动技术成果转化：将研究成果转化为公司产品原型，参与工程化开发与测试验证，实现从实验室到产线的技术落地；
3. 构建知识产权壁垒：围绕核心技术创新申请发明专利（公司设有高额专利奖励机制），形成公司技术护城河；
4. 争取科研资源支持：协助公司申报国家自然科学基金、博士后科学基金、广东省/深圳市科技计划等项目；
5. 跟踪行业技术动态：关注光电传感、精密测量、AI视觉等领域的前沿进展，为公司技术战略决策提供参考。
四、应聘条件

1. 已获得或即将获得光学工程、精密仪器、电子科学与技术、微电子、自动化、计算机等相关专业博士学位；
2. 具备以下至少两项技能：
  - 光学系统设计（Zemax/Code V/LightTools等）
  - 激光原理与激光测量技术
  - 硬件电路设计（高速信号采集、模拟前端、嵌入式系统）
  - 机器学习/深度学习算法（PyTorch/TensorFlow）
  - 半导体器件与光电集成芯片
3. 年龄原则上不超过35周岁；
4. 近三年以第一作者发表SCI论文≥2篇，或具有突出的工程项目经验；
5. 具备良好的英文读写能力和团队协作精神。
额外资助：
-海外博士后专项 符合广东省海外博士后人才支持项目条件， 60万元
-出站留深补贴 出站后6个月内留深全职工作，签订3年以上合同，36万元
-优秀博士后资助，获博士后创新人才支持计划或中国博士后科学基金特别资助，可达 30万元
-创新创业奖励获全国/广东省博士后创新创业大赛金、银、铜奖可达 20万元
备注：
- 本岗位依托志奋领深圳市博士后创新实践基地，与高校博士后流动站联合培养；
- 进站后签订工作协议，聘期2年；
- 出站后优秀者可优先入职公司智能传感研究院或核心研发部门，享有股权激励；
- 协助办理深圳市落户、子女入学等事宜。

截止日期：2027年03月20日
招聘人数：1人",机器学习 深度学习 PyTorch TensorFlow 专利 知识产权,https://www.liepin.com/lptjob/81106959
硬件校招生应届,北京易点淘网络技术有限公司,15-20k·14薪,北京-海淀区,北京,本科,应届,90天前更新,liepin,"【易点云是中国的办公IT综合解决方案供应商】
立足北京、上海、深圳、成都、广州、苏州、 杭州、合肥、武汉九大城市，业务覆盖全国。
累计拥有超50,000+企业客户及超140万台在订阅设备，
在中国办公1综合解决方案行业市场份额为19.6%，超出第2-5名的总和。
2023年5月，于港交所主板挂牌上市。

【易点云自研部门】
目前易点云X部门，主要负责自主研发笔记本电脑、一体式电脑、高性能定制电脑及相关周边数码科技产品；产品理念是为企业客户提供“性价比更高，设计更好，质量更优”的电脑；目前以易点云强大的租赁平台为主要销售渠道，并结合办公IT托管服务，提供办公IT综合解决方案，助力企业实现办公IT设备轻资产化。

【挑战和机遇】
随着远程办公，AI计算，游戏娱乐等需求增长，未来混合办公需求增强，硬件工程师主要负责公司整机产品的硬件开发，对接业届大佬和成熟供应商，技术成长氛围好，技术成长快。

岗位职责：
前期工作：
1.可靠性测试支持​，参与硬件加速老化测试（高温/高湿/振动环境），协助记录失效数据并分析根本原因，执行整机功能测试（如电源切换、散热性能、接口兼容性），输出测试日志及问题追踪清单；
2.​测试流程优化​：协助建立硬件测试工艺标准化流程，优化测试用例库(覆盖EMC/ESD、能效认证等场景)，提升测试覆盖率；
3.​研发协同与文档管理​：在导师指导下完成测试报告编写，参与技术评审会议并整理问题闭环清单。

后期工作：
1. 负责笔记本/台式/一体机电脑的硬件架构、开发、测试和维护；
2. 负责产品硬件性能指标的调试，确保产品的各项指标能够符合要求；
3. 根据产品需求，优化产品硬件方案,解决研发和生产阶段出现的硬件问题。


任职要求​
1.专业背景​：校电子工程、自动化、计算机硬件等相关专业本科在读，2026届毕业生优先。
2.熟悉消费电子产品（如笔记本电脑、平板电脑）的硬件架构及市场主流方案。
3.熟练使用示波器、万用表、电子负载仪等测试仪器，具备PCB焊接及简单故障排查能力。
4.逻辑清晰，具备快速学习能力，可适应高强度测试任务并承受工作压力。

​加分项​
1.有电子设计竞赛（如全国大学生电子设计竞赛）、开源硬件项目经验者优先。
2.参与过消费电子类课题研究或课程设计（如电池管理系统、智能传感器）者优先。
3.熟悉Python/Matlab基础编程，能编写简单测试脚本者优先。

截止日期：2026年09月15日
招聘人数：1人",Python MATLAB 功能测试 流程优化 测试用例 故障排查,https://www.liepin.com/lptjob/77219905
硬件校招生,北京易点淘网络技术有限公司,300-400元/天,北京-海淀区,北京,本科,,90天前更新,liepin,"【易点云是中国办公IT综合解决方案供应商】
立足北京、上海、深圳、成都、广州、苏州、 杭州、合肥、武汉九大城市，业务覆盖全国。
累计拥有超50,000+企业客户及超140万台在订阅设备，
在中国办公1综合解决方案行业市场份额为19.6%，超出第2-5名的总和。
2023年5月，于港交所主板挂牌上市。

【易点云自研部门】
目前易点云X部门，主要负责自主研发笔记本电脑、一体式电脑、高性能定制电脑及相关周边数码科技产品；产品理念是为企业客户提供“性价比更高，设计更好，质量更优”的电脑；目前以易点云强大的租赁平台为主要销售渠道，并结合办公IT托管服务，提供办公IT综合解决方案，助力企业实现办公IT设备轻资产化。

【挑战和机遇】
随着远程办公，AI计算，游戏娱乐等需求增长，未来混合办公需求增强，硬件工程师主要负责公司整机产品的硬件开发，对接业届大佬和成熟供应商，技术成长氛围好，技术成长快。

岗位职责：
前期工作：
1.可靠性测试支持​，参与硬件加速老化测试（高温/高湿/振动环境），协助记录失效数据并分析根本原因，执行整机功能测试（如电源切换、散热性能、接口兼容性），输出测试日志及问题追踪清单；
2.​测试流程优化​：协助建立硬件测试工艺标准化流程，优化测试用例库(覆盖EMC/ESD、能效认证等场景)，提升测试覆盖率；
3.​研发协同与文档管理​：在导师指导下完成测试报告编写，参与技术评审会议并整理问题闭环清单。

后期工作：
1. 负责笔记本/台式/一体机电脑的硬件架构、开发、测试和维护；
2. 负责产品硬件性能指标的调试，确保产品的各项指标能够符合要求；
3. 根据产品需求，优化产品硬件方案,解决研发和生产阶段出现的硬件问题。


任职要求​
1.专业背景​：电子工程、自动化、计算机硬件等相关专业本科在读，2026届毕业生优先。
2.熟悉消费电子产品（如笔记本电脑、平板电脑）的硬件架构及市场主流方案。
3.熟练使用示波器、万用表、电子负载仪等测试仪器，具备PCB焊接及简单故障排查能力。
4.逻辑清晰，具备快速学习能力，可适应高强度测试任务并承受工作压力。

​加分项​
1.有电子设计竞赛（如全国大学生电子设计竞赛）、开源硬件项目经验者优先。
2.参与过消费电子类课题研究或课程设计（如电池管理系统、智能传感器）者优先。
3.熟悉Python/Matlab基础编程，能编写简单测试脚本者优先。

招聘人数：1人",Python MATLAB 功能测试 流程优化 测试用例 故障排查,https://www.liepin.com/lptjob/77219641
智能传感系统博士后,嘉善复旦研究院,30-35k,嘉兴-嘉善县,嘉兴,学生可投,经验不限,7月30日更新,liepin,"主要工作内容
-负责压阻/电容式柔性触觉传感器的原理性设计与结构创新，包括敏感层材料选型、电极图案布局、阵列化结构设计；
-建立传感机理的理论模型，进行有限元仿真分析，指导器件结构优化；
-负责传感器基本性能测试与验证工作；
-熟悉Pytorch技术，实现智能感知或数据处理等

任职资格
-材料、微电子相关专业博士毕业；
-具备良好的团队意识，能够与团队成员良好沟通；
 ",PyTorch 性能测试,https://www.liepin.com/job/1980593375.shtml
智能医疗传感系统开发,安徽通灵仿生科技有限公司,50-55k,合肥-高新区,合肥,学生可投,经验不限,7月6日更新,liepin,"核心研究：心血管重症监测智能传感、生理信号采集与传感算法开发；多参数医疗传感数据融合、边缘计算与智能预警模型构建；穿戴式、介入式智能医疗传感器硬件集成、信号降噪及临床适配验证。

专业要求：电子信息、微电子、传感器工程、自动化、生物医学工程、信号与信息处理等相关专业博士；有医疗级传感开发、生理信号算法、嵌入式软硬件开发经验者优先。

招聘基本条件
1. 品学兼优、身心健康，具有良好的政治素质和道德修养水平，遵纪守法，无不良经历；

2. 应届博士毕业生，或近三年内在国内外获得博士学位，年龄一般不超过35周岁；

3. 具有较强的科研能力和敬业精神，能够独立承担课题研究工作；

4. 目前已取得显著科研成果的申请者予以优先考虑。

福利待遇
基本福利：五险一金、带薪休假、定期健康体检、生日福利、节假日福利、法定节假日、定期科研培训交流沙龙等；

薪酬补贴：提供具有市场竞争力的薪酬福利待遇，年收入60-80万元；

科研经费：择优提供科研项目启动经费100-200万元（2年）；

人才计划：重点推荐申请国家、安徽省、合肥市各类人才计划；

住房保障：在站期间，提供人才安居保障，协助申请高层次人才租房补贴、购房补贴；

工作条件：提供良好的办公设施、工作场所及研究环境，由优秀高校、院所优秀教授、博导带队，科研力量雄厚、学术氛围浓厚。",培训,https://www.liepin.com/job/1982944369.shtml
电子设计工程师,东海实验室,20-40k,舟山-定海区,,学生可投,经验不限,7月20日更新,liepin,"岗位职责：
（1）设计和开发海洋相关设备的电子硬件系统，包括控制器系统、智能传感系统、电源系统等相关专业，以满足相关项目需求和性能指标 
（2）负责选择和采购适合海洋环境的高品质电子元件和器件，并与供应商合作确保供应链稳定 
（3）进行电路设计、仿真和优化，确保电子系统在高振动、潮湿、高盐度等相关专业恶劣条件下具备稳定性和可靠性 
（4）独立进行电路板布局和调试，确保符合海洋环境的物理限制和电磁兼容标准 
（5）配合团队进行硬件和软件的集成测试，并解决测试过程中出现的电子相关问题 
（6）编写相关的技术文档、测试报告和用户手册，为产品交付和维护提供支持 
（7）跟踪电子技术领域的最新发展和趋势，不断改进产品性能和技术应用
岗位要求：
（1）电子工程、通信工程、控制工程或相关专业硕士及以上学历，博士优先 
（2）扎实的电子电路基础知识，熟练掌握模拟和数字电路设计 
（3）优秀的电子硬件设计能力，熟悉常用EDA工具，如Cadence、AD等相关专业 
（4）熟悉嵌入式系统设计，熟练使用C/C++等相关专业编程语言者优先考虑 
（5）具备FPGA开发经验，熟悉Verilog/VHDL编程，熟悉相关开发工具链（如Vivado、Quartus等相关专业）者优先 
（6）对海洋科学和海洋工程感兴趣，并了解相关行业发展趋势 
 ",C++ FPGA Verilog VHDL UART 采购 供应链 技术文档,https://www.liepin.com/job/1982148413.shtml
硬件开发工程师 （硕士）,青岛杰瑞工控技术有限公司,10-15k,青岛-黄岛区,青岛,学生可投,经验不限,90天前更新,liepin,"1、负责产品的器件选型，电路原理图设计工作；
2、负责配合其他设计部门工程师完成产品的设计工作；
3、负责解决产品测试过程中遇到问题的分析和解决；
4、负责项目文档撰写和归档；
5、负责项目设计，量产，维护等方面技术支持。
6、有智能传感器与智能系统装备产品研制经验者优先；
7、熟悉工业设备、工业软件、具备一定硬件设计能力和软件编程经验；
8、熟悉51、Cortex M0、Cortex M3、ARM等嵌入式产品的开发； 
9、模电、数电或者元器件基础知识扎实；
10、专业要求：电子信息、控制科学与工程、电气工程、自动化、计算机、海洋科学、船舶与海洋工程等。",ARM 技术支持 Cortex M0 M3,https://www.liepin.com/job/1956501145.shtml
博士后科研人员（进站）-电芯/零碳/智能传感/双向充电/光储充算/电池安全/电池AI,四川新能源汽车创新中心,20-30k,重庆-渝北区,重庆,学生可投,1-3年,7月23日更新,liepin,"一、平台与联合培养模式
四川新能源汽车创新中心有限公司是欧阳明高院士工作站的实体运营单位，已设立博士后科研工作站。中心构建了“基础研究-中试验证-产业应用”的全链条研发体系，聚焦下一代电池、智能换电等前沿方向，拥有大型电池实验室与多个创新平台。
现与清华大学车辆与运载学院的欧阳明高院士新能源动力系统团队联合招收博士后，实行 “双基地培养、双导师指导” 的创新模式，旨在培养兼具学术创新能力与产业转化能力的高层次人才。常规培养周期为2年。

二、招聘研究方向
BSH001 电芯寿命与安全智能评估技术开发：无损精准检测与电芯寿命/安全评估。
BSH002 零碳园区微电网与AI能源电力交易技术开发：AI赋能的微电网运行调控与电力市场交易。
BSH003 电池单体管理与系统调控技术开发：智能传感与系统调控。
BSH004 双向充电模块开发：车网协同。
BSH005 光储充算一体化：算电协同。
BSH006 动力及储能电池的安全分级认证：电池安全性。
BSH007 锂离子电池AI诊断模型研究：电池AI。

三、主要职责
独立承担或参与上述方向的科研和产业化项目。
撰写高水平学术论文，参与专利申报、技术标准制定及科研成果转化。
协助导师指导研究生与工程师，参与实验室建设与学术交流。

四、任职要求
遵守法律法规，具有良好的学术道德和职业素养，无学术不端记录。
近3年内已获得博士学位，或即将获得博士学位（可提供答辩决议书）。
年龄一般不超过35周岁，身体健康，可全职从事博士后研究工作。
具备较强的独立科研能力，博士期间有较高水平学术成果；英文读写能力良好。

五、支持保障与职业发展
资深团队指导：配备清华大学学术导师与中心产业导师，共同制定个性化研究计划。
高水平平台资源：可共享使用清华大学车辆与运载学院实验室、中心专业检测平台及合作企业中试基地。
全面项目支持：支持申报博士后创新人才支持计划、国家自然科学基金等各类科研项目。
薪酬与福利：提供具有竞争力的薪酬待遇，享受地方人才公寓等多项政策福利。入选各级博士后人才计划者待遇可获相应提升。
畅通发展路径：出站后表现优异者可优先获荐至中心及生态企业担任核心研发或技术管理职务；具备产业化前景的成果，将获创业孵化与融资支持。

六、申请方式
本职位通过本招聘平台接收简历申请。滚动招聘，常年有效。
欢迎符合条件的候选人通过平台投递简历。通过初步筛选后，我们将通过电话邀请您进入后续流程，并告知详细的申请材料清单与面试安排。

注：博士后培养期间常驻宜宾。",专利 BSH001 BSH002 BSH003 BSH004 BSH005 BSH006 BSH007,https://www.liepin.com/job/1984367241.shtml
博士后科研人员（进站）-电芯/零碳/智能传感/双向充电/光储充算/电池安全/电池AI,四川新能源汽车创新中心,20-30k,成都-高新区,成都,学生可投,1-3年,7月23日更新,liepin,"一、平台与联合培养模式
四川新能源汽车创新中心有限公司是欧阳明高院士工作站的实体运营单位，已设立博士后科研工作站。中心构建了“基础研究-中试验证-产业应用”的全链条研发体系，聚焦下一代电池、智能换电等前沿方向，拥有大型电池实验室与多个创新平台。
现与清华大学车辆与运载学院的欧阳明高院士新能源动力系统团队联合招收博士后，实行 “双基地培养、双导师指导” 的创新模式，旨在培养兼具学术创新能力与产业转化能力的高层次人才。常规培养周期为2年。

二、招聘研究方向
BSH001 电芯寿命与安全智能评估技术开发：无损精准检测与电芯寿命/安全评估。
BSH002 零碳园区微电网与AI能源电力交易技术开发：AI赋能的微电网运行调控与电力市场交易。
BSH003 电池单体管理与系统调控技术开发：智能传感与系统调控。
BSH004 双向充电模块开发：车网协同。
BSH005 光储充算一体化：算电协同。
BSH006 动力及储能电池的安全分级认证：电池安全性。
BSH007 锂离子电池AI诊断模型研究：电池AI。

三、主要职责
独立承担或参与上述方向的科研和产业化项目。
撰写高水平学术论文，参与专利申报、技术标准制定及科研成果转化。
协助导师指导研究生与工程师，参与实验室建设与学术交流。

四、任职要求
遵守法律法规，具有良好的学术道德和职业素养，无学术不端记录。
近3年内已获得博士学位，或即将获得博士学位（可提供答辩决议书）。
年龄一般不超过35周岁，身体健康，可全职从事博士后研究工作。
具备较强的独立科研能力，博士期间有较高水平学术成果；英文读写能力良好。

五、支持保障与职业发展
资深团队指导：配备清华大学学术导师与中心产业导师，共同制定个性化研究计划。
高水平平台资源：可共享使用清华大学车辆与运载学院实验室、中心专业检测平台及合作企业中试基地。
全面项目支持：支持申报博士后创新人才支持计划、国家自然科学基金等各类科研项目。
薪酬与福利：提供具有竞争力的薪酬待遇，享受地方人才公寓等多项政策福利。入选各级博士后人才计划者待遇可获相应提升。
畅通发展路径：出站后表现优异者可优先获荐至中心及生态企业担任核心研发或技术管理职务；具备产业化前景的成果，将获创业孵化与融资支持。

六、申请方式
本职位通过本招聘平台接收简历申请。滚动招聘，常年有效。
欢迎符合条件的候选人通过平台投递简历。通过初步筛选后，我们将通过电话邀请您进入后续流程，并告知详细的申请材料清单与面试安排。

注：博士后培养期间常驻宜宾。",专利 BSH001 BSH002 BSH003 BSH004 BSH005 BSH006 BSH007,https://www.liepin.com/job/1984367107.shtml
博士后科研人员（进站）-电芯/零碳/智能传感/双向充电/光储充算/电池安全/电池AI,四川新能源汽车创新中心,20-30k,宜宾-翠屏区,,学生可投,1-3年,7月23日更新,liepin,"一、平台与联合培养模式
四川新能源汽车创新中心有限公司是欧阳明高院士工作站的实体运营单位，已设立博士后科研工作站。中心构建了“基础研究-中试验证-产业应用”的全链条研发体系，聚焦下一代电池、智能换电等前沿方向，拥有大型电池实验室与多个创新平台。
现与清华大学车辆与运载学院的欧阳明高院士新能源动力系统团队联合招收博士后，实行 “双基地培养、双导师指导” 的创新模式，旨在培养兼具学术创新能力与产业转化能力的高层次人才。常规培养周期为2年。

二、招聘研究方向
BSH001 电芯寿命与安全智能评估技术开发：无损精准检测与电芯寿命/安全评估。
BSH002 零碳园区微电网与AI能源电力交易技术开发：AI赋能的微电网运行调控与电力市场交易。
BSH003 电池单体管理与系统调控技术开发：智能传感与系统调控。
BSH004 双向充电模块开发：车网协同。
BSH005 光储充算一体化：算电协同。
BSH006 动力及储能电池的安全分级认证：电池安全性。
BSH007 锂离子电池AI诊断模型研究：电池AI。

三、主要职责
独立承担或参与上述方向的科研和产业化项目。
撰写高水平学术论文，参与专利申报、技术标准制定及科研成果转化。
协助导师指导研究生与工程师，参与实验室建设与学术交流。

四、任职要求
遵守法律法规，具有良好的学术道德和职业素养，无学术不端记录。
近3年内已获得博士学位，或即将获得博士学位（可提供答辩决议书）。
年龄一般不超过35周岁，身体健康，可全职从事博士后研究工作。
具备较强的独立科研能力，博士期间有较高水平学术成果；英文读写能力良好。

五、支持保障与职业发展
资深团队指导：配备清华大学学术导师与中心产业导师，共同制定个性化研究计划。
高水平平台资源：可共享使用清华大学车辆与运载学院实验室、中心专业检测平台及合作企业中试基地。
全面项目支持：支持申报博士后创新人才支持计划、国家自然科学基金等各类科研项目。
薪酬与福利：提供具有竞争力的薪酬待遇，享受地方人才公寓等多项政策福利。入选各级博士后人才计划者待遇可获相应提升。
畅通发展路径：出站后表现优异者可优先获荐至中心及生态企业担任核心研发或技术管理职务；具备产业化前景的成果，将获创业孵化与融资支持。

六、申请方式
本职位通过本招聘平台接收简历申请。滚动招聘，常年有效。
欢迎符合条件的候选人通过平台投递简历。通过初步筛选后，我们将通过电话邀请您进入后续流程，并告知详细的申请材料清单与面试安排。

注：博士后培养期间常驻宜宾。",专利 BSH001 BSH002 BSH003 BSH004 BSH005 BSH006 BSH007,https://www.liepin.com/job/1984367239.shtml
