job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
ATE测试开发工程师,基合半导体(宁波)有限公司,8-16k,上海-浦东新区,上海,统招本科,1-3年,7月28日更新,liepin,"岗位职责：

1、负责公司产品的ATE测试软硬件开发工作。

2、负责公司已量产产品在Fab、封测厂的测试维护工作，包括低良Lot问题分析处理，指导测试厂对损坏的测试硬件修复，确保公司产品顺利生产。

3、负责公司产品的测试平台、测试方案制定工作，选择合适的、性价比高的测试平台和测试方案。

4、优化测试程序，提高已量产的产品测试良率，降低产品的测试时间。

5、对RMA进行测试追溯和FA分析，和DFT、IP owner一起分析RMA的原因，完善测试程序的覆盖率。


任职要求 ：
1、拥有集成电路、微电子、电子信息类本科及以上学位，有1-2年测试经验，有完善的ATE测试相关背景知识；

2、熟练使用93K，UltraFlex，J750，Chroma3380P等主流测试平台的一种或多种；

3、Debug 思路清晰，能够和DFT/IP owner有效沟通问题的表现并找出问题的根因 ；

4、抗压，思维活跃，理解能力，沟通能力。",IP UltraFlex J750 Debug,https://www.liepin.com/job/1984394057.shtml
存储芯片测试工程师,深圳市宏祺芯科技有限责任公司,15-45k,上海-浦东新区,上海,硕士,3-5年,今日更新,liepin,"工作职责：
1. 负责先进存储产品用户手册的验证和产品的测试功能验证，定义测试验证的流程，负责测试程序的开发。包括使用泰瑞达、爱德万等ATE厂家的机台，如MagnumV，T5832等进行基于C/C++语言的程序开发 
2. 通过电失效分析，设计电路分析，物理失效分析，数据分析，固件（FW）设计分析等手段定位产品失效的原因，并协同memory研发团队、FW研发团队、系统级验证团队等找到产品失效的根本原因和解决方案 
3. 直接主管或管理团队安排的其它工作任务，包括但不限于emerge memory产品测试开发验证开发、数据处理脚本的开发等 
4.负责开发测试程序，通过FPGA测试平台根据规格分析芯片性能。 
5.测试代码开发和调试，新平台的代码移植。 
6.负责数据分析，问题解决，测试改进。 
7.具有ONFI/Toggle协议领域知识和相关经验者优先。 

任职要求： 
1. 硕士学历，3年经验；本科学历，5年经验
2. 有C/C++/Python等编程经验，有MagnumV，T5832等ATE测试机台相关经验优先； 
3. 熟悉半导体测试产品的原理和测试机理 
4. 熟悉存储产品的功能、性能和可靠性指标； 
5. 有存储器件设计验证背景的优先，包括NAND flash memory、变相存储器、DRAM等 
6. 有较强的沟通能力和团队合作精神，有较强的逻辑分析能力和处理问题能力
",C++ FPGA Python 数据分析 FW,https://www.liepin.com/job/1975181679.shtml
机器人仿真,家电沪深A股上市10000人以上,15-25k,佛山-顺德区,佛山,统招本科,3-5年,7月30日更新,liepin,"岗位职责：
(1)参与移动机器人通用仿真平台搭建工作；
(2)构建公司移动机器人仿真平台；
(3)模拟仿真工具、可视化调试工具、数据编辑工具、模型训练工具等测试开发相关工具研发；
(4)配合定位/控制/规划等功能模块完成软件算法的迭代。
任职要求：
(1)全日制本科及以上学历，电子、软件等相关领域；
(2)会使用可视化和建模工具，具有ROS/ROS2或其他机器人操作系统中间件的专业知识；
(3)熟悉Gazebo、Webots、IssacSim等至少一种仿真环境的使用；
(4)具备摄像头、激光雷达、IMU、超声波等传感器的建模和仿真能力；
(5)能够熟练使用Python、C++等语言；
(6)善于分析和解决问题, 具备较好的沟通表达能力和团队合作精神。",ROS Python C++ Webots IMU,https://www.liepin.com/job/1980726415.shtml
ATE测试开发工程师,某深圳电子/半导体/集成电路公司,20-40k,上海,上海,本科,经验不限,7月22日更新,liepin,"职位描述
1、与研发紧密合作，制定CP/FT test plan，确定测试方案；
2、协助硬件vendor设计制作硬件（probe card / load board / socket / change kit）；
3、开发调试测试程序，将测试程序导入到量产，并根据实际量产情况，升级更新量产测试程序；
4、协助char测试和可靠性测试。
职位要求
1、电子信息相关专业，本科及以上学历，8年以上ATE从业经验；
2、有CP/FT测试开发经验；
3、使用过93K/UltraFlex其中一种机台，熟悉示波器等仪表仪器；
4、高速IP(SERDES/DDR)测试开发经验，有GPU/NPU/CPU等大芯片测试开发经验优先。",FT test plan SERDES DDR NPU,https://www.liepin.com/a/78079729.shtml
IC测试工程师（系统级测试开发,某成都电子/半导体/集成电路上市公司,25-40k·15薪,成都-双流区,成都,统招本科,10年以上,6月18日更新,liepin,"工作内容：
1.负责FPGA、ADC/DAC系统级测试硬件开发；
2.负责各类集成电路ATE测试程序开发；
3.负责FPGA、ADC/DAC系统级测试FPGA、嵌入式、上位机、驱动软件开发；
4.负责测试算法开发和移植，测试模型建模和重要链路仿真；
5.负责产品失效测试分析；
6.负责编写测试总体方案，主导测试开发；
工作技能：
1.具备硬件原理图设计能力，有使用Cadence软件经验，可以进行硬件初步调试
2.有ATE测试程序开发经验，如93K、UltraFlex、J750、T55833、ETS88等
3.有FPGA、嵌入式、上位机、驱动等软件开发经验中一种或以上
4.2~4点具备至少一种能力即可。
",FPGA ADC UltraFlex J750 T55833,https://www.liepin.com/a/75381355.shtml
软件测试开发工程师,某国内电子/半导体/集成电路上市公司,20-40k,珠海,珠海,本科,3-5年,7月22日更新,liepin,"测试框架与平台建设（核心）
主导现有自动化测试框架的持续迭代与架构演进，提升框架的可扩展性、稳定性和易用性
制定框架的技术演进路线，识别与行业实践的差距，推动框架能力补齐
参与自研测试工具/平台的功能设计与开发迭代

全流程自动化打通（首要优先级）
梳理各事业部现有自动化测试成果，整合为统一的全流程自动化测试方案
打通 Android AOSP / Linux 系统方案的编译、部署、测试、报告全链路
推动测试左移，将质量门禁嵌入 CI/CD 流水线，保障提交流水线的质量

CI/CD 与测试效能提升
优化现有 Jenkins 流水线，推进测试并行化、用例智能筛选、失败自动归因
分析测试链路瓶颈，通过工具化、平台化手段降低测试执行和问题定位耗时

性能测试体系建设
设计性能/压力测试平台的技术方案，制定性能基线和验收标准
指导初级工程师完成性能测试执行及数据分析工作

团队赋能
在技术方案设计、代码评审、框架使用等方面指导团队其他测试开发人员
持续关注业界测试技术趋势，定期向团队输出可落地的改进建议

任职要求
必须项
经验 本科及以上学历，5 年以上测试开发经验
语言 Python 精通，具备中大型项目开发经验，有良好的代码设计能力（抽象、解耦、可测试性）
前端 熟悉 Vue.js，能够独立完成测试平台前端页面开发
自动化 主导过自动化测试框架的设计或重构，不是""搭过""而是""改过/重构过""
CI/CD 深入理解 CI/CD 理念，有 Jenkins 流水线设计与优化实战经验
系统基础 了解 Linux 系统基础，了解 Android AOSP 编译流程（make/soong 体系）
架构思维 具备从业务痛点出发抽象通用解决方案的能力，能独立完成技术方案设计

加分项
有嵌入式、Android 系统、IoT 产品测试开发经验
有跨部门/跨产品线测试体系打通的项目经验
有性能测试平台或测试数据工厂的从 0 到 1 设计经验
有小型技术团队指导或技术管理经验
熟悉 Docker/K8s 等容器化技术，有测试环境管理平台经验",Linux CI/CD Jenkins Python Vue Docker K8s 容器化 自动化测试 性能测试 技术方案 数据分析,https://www.liepin.com/a/78147041.shtml
ATE测试开发工程师,计算机软件战略融资2000-5000人,15-30k,深圳-福田区,深圳,本科,5年以上,6月6日更新,liepin,"负责服务器单板、部件及整机生产测试方案的设计、开发和导入。
负责产线测试装备、测试工装、自动化测试系统的开发、调试和维护。
根据产品测试需求，制定测试策略、测试流程、测试覆盖率和测试规范。
负责ICT、FCT、老化测试、整机功能测试、性能测试等测试环节的方案设计。
对接研发、制造、质量、供应链等团队，推动测试问题定位、闭环和效率提升。
负责测试脚本、测试软件、测试数据分析工具的开发或优化。
支持新产品导入，解决试产、量产过程中的测试良率、效率和稳定性问题。

  本科及以上学历，电子、通信、自动化、计算机、测控等相关专业优先。

 5年以上硬件测试、生产测试、测试装备或自动化测试开发经验。

熟悉服务器、PCBA、通信设备或复杂电子产品的制造测试流程。

熟悉至少一种测试场景：ICT、FCT、ATE、BMC测试、BIOS测试、整机功能测试、老化测试、压力测试等。

熟悉Python、C/C++、Shell、LabVIEW、TestStand等一种或多种开发工具者优先。

具备硬件基础，能够看懂原理图，理解常见接口如PCIe、I2C、SPI、UART、USB、网口、电源等。
有服务器、存储、交换机、通信基站、整机制造测试经验者优先。
能适应郑州、东莞、深圳其中一个工作地点。
 ",Python C++ Shell PCIe I2C SPI UART 自动化测试 功能测试 性能测试 方案设计 供应链,https://www.liepin.com/job/1982898955.shtml
高级测试开发工程师,成都极米科技股份有限公司,18-25k,深圳-南山区,深圳,本科,1-3年,7月8日更新,liepin,"岗位职责：
1、参与部门自动化测试体系规划和建设。
2、负责业务方自动化需求挖掘、和技术规划工作。
3、负责自动化测试系统、框架、工具的开发推广落地工作。
4、主导部门自动化测试技术能力建设和提升。
5、主导测试部门整体测试效能提升。 

任职资格：
1、计算机相关专业毕业，全日制本科及以上学历，1年以上测试开发相关工作经验；
2、熟练掌握Python或java测试开发

加分项
1、熟练掌握安卓自动化测试开发，有较强的源码分析能力，有智能硬件产品的自动化测开经验者；
3、至少主导过一个大型自动化测试框架/自动化平台系统的开发，优先考虑：熟悉白盒测试开发，精准测试开发，中间件测试开发；
4、具备以下自动化测试开发经验者优先：（图像识别，性能自动化，稳定性，MTBF&Monkey，可靠性，语音识别，UI自动化)
5、有较强的自动化思维，具备复杂技术分析和创新能力，抗压能力强
6、熟悉CI/CD流程者优先考虑",Python Java 语音识别 CI/CD 自动化测试 MTBF Monkey,https://www.liepin.com/job/1983936195.shtml
测试开发,固胜智能科技,30-60k,深圳-南山区,深圳,本科,5年以上,7月22日更新,liepin,"岗位职责
1. 负责 Web 应用（桌面 Web 前端 + C++ 底层）的白盒测试、单元测试和集成测试，基于 C/C++ 开发测试框架与测试用例（要求熟练掌握 C++）；
2. 规划并实施 Web 应用的自动化测试体系，涵盖桌面 Web 前端与 C++ 底层的单元测试、集成测试及系统验证，保障产品质量的可验证性与可追溯性；
3. 规划并主导测试平台与 CI/CD 流程建设，推动测试环境自动化、测试过程可视化与质量评估标准化；
4. 设计并主导性能测试和稳定性测试，有性能分析经验；
5. 带领测试开发团队开展技术攻关与项目交付，建立测试规范与质量指标体系，持续优化测试流程与研发协作。

任职要求
1. 本科及以上学历，计算机、软件工程、电子信息、自动化等相关专业；5 年以上软件测试/开发经验；具备较强的英语阅读能力与良好的沟通、写作能力；
2. 熟悉 AI 工具的使用，能够运用 AI、Agent 创建测试用例，提升测试开发效率；
3. 精通 C/C++，熟练运用 C++ 进行测试工具、测试框架（如 gtest）及测试用例开发，熟悉 Python/Shell 等脚本语言，具有良好的编程习惯，可独立开发测试框架与工具；掌握白盒测试原理，能够编写单元测试与集成测试；
4. 具备桌面 Web 应用或 C++ 底层模块的测试经验，熟悉桌面 Web 前端与 C++ 底层的交互机制（如进程间通信、JS/C++ 绑定、Native 接口等）；了解设备通信接口（USB/UART/CAN 等）者优先；
5. 熟练使用 Linux/Windows 开发环境，掌握 Git、Jenkins、CMake、GCC 等工具或平台，具备 CI/CD 流程搭建经验；
6. 了解 Web 测试开发相关技术（如 WebdriverIO 等），能够进行桌面 Web 或跨平台测试工具的开发；
7. 理解完整的软件测试流程，能够编写测试计划、测试报告和缺陷分析文档，并推动问题闭环；",C++ CI/CD Python Shell UART CAN Linux Git Jenkins CMake 测试用例 自动化测试,https://www.liepin.com/job/1984306743.shtml
嵌入式测试组长,深圳市智能派科技有限公司,15-30k·15薪,深圳-南山区,深圳,统招本科,5年以上,7月30日更新,liepin,"岗位职责
1.团队管理与培养
a.负责嵌入式测试团队的日常管理与工作分配
b.负责测试人员的能力培养和提升
2.测试方案设计与评审
a.根据产品需求与设计文档，制定嵌入式软件/硬件一体化测试策略与计划。
b.主导测试方案评审，确保测试覆盖功能、性能、可靠性、安全性等方面。
3.测试用例开发与执行
a.设计和维护系统级、模块级测试用例。
b.执行功能、接口、异常、稳定性、回归测试，定位并复现问题。
c.输出高质量测试报告，推动问题闭环。
4.自动化与工具开发
a.负责搭建和优化嵌入式测试平台与自动化测试框架。
b.使用 Python/C/C++ 等开发测试脚本和工具。
c.推动 CI/CD 流水线测试，提升效率与覆盖率。
5.质量体系与流程优化
a.建立测试规范、流程、方法论，并持续优化。
b.参与需求、设计阶段的质量把控，提前识别潜在风险。
c.总结测试经验，沉淀可复用的测试用例与脚本。
6.跨团队与指导
a.与研发、硬件、需求、项目团队紧密合作，确保测试与开发协同。
b.指导中初级测试工程师，提升团队整体测试能力。
c.在关键项目中承担测试负责人角色。
任职要求：
1.本科及以上学历，电子、计算机、通信、自动化等相关专业。
2.5 年以上嵌入式产品测试经验，具备独立负责复杂项目测试的能力。
3.熟悉嵌入式系统（RTOS、Linux）、常见 MCU/SoC、外设接口与通信协议（包括但不限于UART、SPI、I2C、CAN、Ethernet、BLE、Wi-Fi、MIPI、RGB)。
4.精通软件测试方法和流程，掌握功能、性能、压力、稳定性等测试技术。
5.能熟练使用调试与测试工具（示波器、逻辑分析仪、协议分析仪、串口工具）。
6.至少掌握一种脚本语言（Python 优先），有自动化测试框架经验。
7.良好的组织沟通能力，良好的团队领导力。v",Python C++ CI/CD RTOS Linux MCU UART SPI I2C CAN 团队管理 方案设计,https://www.liepin.com/job/1980438233.shtml
