job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI for Drug Discovery Scientist (AIDD),上海伏曦量子科技有限公司,35-65k·15薪,上海-浦东新区,上海,学生可投,经验不限,7月28日更新,liepin,"岗位职责
1.	根据公司生物医药方向的研发规划和项目目标，负责AI与计算药物研发相关项目的具体实施。 
2.	开展AI/ML、计算化学、分子模拟及相关计算方法在药物研发领域的研究和应用。 
3.	负责药物研发相关数据的收集、处理、分析及数据集建设，为模型开发和技术验证提供数据基础。 
4.	根据具体科学问题，开展技术调研并建立Classical及AI Baseline，复现和比较领域内现有主流技术方法。 
5.	设计、开发和优化机器学习及深度学习模型，并探索其在分子性质预测、分子设计、蛋白质-配体相互作用及其他药物研发问题中的应用。 
6.	参与经典计算、人工智能及量子计算相关技术Prototype和PoC的开发与验证。 
7.	建立Benchmark及Evaluation Framework，对不同技术方法的准确性、计算效率、可扩展性及实际应用价值进行系统评价。 
8.	使用Python及相关科学计算和机器学习工具开发、优化和自动化Computational Workflow。 
9.	与公司量子算法团队合作，参与AI、经典计算与量子计算Hybrid Workflow的开发和验证。 
10.	对计算结果进行分析、可视化和总结，撰写技术报告及项目文档。 
11.	跟踪AI for Drug Discovery、Computational Science及Quantum Computing领域的最新技术发展，根据项目需求快速学习、复现和应用新的计算方法。 
任职要求
1.	人工智能、计算机科学、计算化学、理论化学、化学信息学、计算生物学、生物信息学、数学、物理或相关专业硕士及以上学历，博士优先。 
2.	熟练掌握Python，具有良好的编程和Software Engineering能力，能够独立完成数据处理、模型开发、科学计算和结果分析。 
3.	熟悉机器学习和深度学习基本方法，熟悉PyTorch、JAX或其他主流机器学习框架。 
4.	具有以下至少一个或多个方向的研究经验： 
•	AI/ML for Drug Discovery 
•	Molecular Modeling 
•	Molecular Dynamics 
•	Quantum Chemistry / DFT 
•	Protein Structure and Design 
•	Molecular Property Prediction 
•	Generative Models 
•	Foundation Models for Science 
6.	熟悉以下一种或多种工具或技术框架者优先： 
•	RDKit 
•	PyTorch 
•	JAX 
•	Hugging Face 
•	OpenMM 
•	GROMACS 
•	AMBER 
•	Gaussian 
•	ORCA 
•	Schrödinger 
7.	具有较强的技术执行能力，能够根据项目目标独立完成文献调研、方法复现、代码开发、模型训练、计算分析及结果总结。 
8.	具有较强的学习能力，能够快速理解新的科学问题和技术方法。 
9.	具有良好的英文文献阅读和沟通能力。 
10.	对AI for Science、Computational Drug Discovery及Quantum Computing等前沿技术具有浓厚兴趣。 
优先考虑
具有以下经验者优先：
•	AI/ML在药物研发领域的研究或项目经验； 
•	大规模机器学习模型训练经验； 
•	Molecular Foundation Model相关经验； 
•	分子生成、蛋白质设计或分子性质预测经验； 
•	Computational Chemistry或Molecular Simulation经验； 
•	Benchmark及Evaluation Framework开发经验； 
•	Scientific Software或Computational Workflow开发经验； 
•	HPC、GPU或Cloud Computing经验； 
•	复现顶刊AI/ML论文并开发Prototype的经验； 
•	NeurIPS、ICLR、ICML、AAAI、KDD或相关领域高水平论文发表经历； 
•	开源项目或公开AI/Scientific Computing项目经验。
 ",机器学习 深度学习 Python Gin PyTorch IPS,https://www.liepin.com/job/1984251275.shtml
深度学习框架C++开发实习生,深圳市商汤科技有限公司,400元/天,北京-海淀区,北京,深圳市商汤科技有限公司,,90天前更新,liepin,"职责描述：
1、参与商汤科技自研深度学习框架SenseParrots的开发工作；
2、在深度学习框架SenseParrots中添加/更新算子；
3、参与框架中一些基础模块的扩展和重构；
4、总结深度学习框架工程实践中的经验，撰写技术文档。



任职要求：
1、具有良好的编程习惯，对C++11的语法特性有理解和认识；
2、熟悉Linux/Unix开发环境，具有良好的编程习惯，有一定的debug能力；
3、有深度学习领域知识背景，了解基本的深度学习原理，熟悉任一深度学习框架；
4、阅读过深度学习框架源代码者优先；
5、较强的自驱动力，对先进技术有浓厚兴趣；
6、有较强的团队精神和沟通交流能力；

招聘人数：1人",深度学习 C++ Linux Unix 技术文档,https://www.liepin.com/lptjob/35781585
3D深度学习工程师,沄视科技WolkenVision,250-500元/天,上海-徐汇区,上海,本科,,90天前更新,liepin,"3D深度学习工程师

（可全职可兼职，兼职可线上）
实习和直接就业均可
实习薪水：7000-25000【具体哪一档看实习面试结果】
全职劳动合同薪水面谈 

合同签约单位:上海沄樟科技有限责任公司, 为沄视科技在中国的母公司。

办公形式: 线上或线下，线下办公室地址为海市徐汇区龙台路199号模速空间B区沄视科技。

岗位职责
3D深度学习算法工程师岗位的主要工作内容包括但不限于以下方面：
●   基于三维点云数据，研发和优化深度学习算法
●   开发点云处理相关的应用，包括但不限于点云语义分割、点云补全、实例分割、信息提取和三维重建
●   分析和处理海量点云数据，设计和实现高效的数据预处理与后处理管道
●   跟踪最新的三维点云相关深度学习研究成果，改进现有算法性能并提出创新方案
●   与软件开发团队协作，将算法成果集成到实际产品中，提升产品竞争力
●   协助技术文档的编写和维护，确保项目进展有据可依

岗位要求
技术能力：
●     熟悉深度学习框架（如PyTorch、TensorFlow等）
●     熟悉常见的三维点云处理工具（如PCL、Open3D、CloudCompare等）
●     有点云深度学习相关项目经验优先

编程能力：熟练使用Python和C++，具备良好的代码规范和工程化能力
软技能：良好的沟通能力和团队协作精神，有责任心，能够独立完成任务

加分项：
● 发表过相关领域的论文（如CVPR、ICCV、SIGGRAPH等）


保密性要求
沄视的业务涉及建筑和基础设施的数据信息处理，保密等级较高；所有客户信息和相关业务数据均须严格保密，包括未明确标示保密的信息。

关于沄视
       在沄视，你会发现这里是一支充满活力、创造力的年轻团队。我们的创始团队来自于瑞士苏黎世联邦理工和电子科技大学，大家既有严谨的学术背景，也有创业的热情。作为一家快速成长的国际化公司，我们的视野横跨欧洲和中国，你会在沄视接触到不一样的文化和市场，拓展自己的国际化视野。
        我们特别注重员工的工作与生活平衡，保证双休，健康和幸福感才是效率的源泉。日常工作中，团队氛围轻松有趣，大家相互支持、相互学习，我们相信好的idea一定来自开放和坦诚的讨论。这里没有复杂的层级，只有一起为共同目标努力的小伙伴。如果您希望在一个既能学到东西、又能轻松相处的环境中工作，同时参与改变建筑和基础设施行业未来的创新项目，那我们一定非常适合你！期待你的加入！


招聘人数：5人",深度学习 PyTorch TensorFlow Python C++ 技术文档,https://www.liepin.com/lptjob/79318421
深度学习实习生,合肥芯明智能科技有限公司,200-300元/天,上海-浦东新区,上海,硕士,,90天前更新,liepin,"公司简介：
芯明是一家专注空间计算及人工智能芯片及产品设计的高科技企业，其自研系列芯片拥有3D视觉感知处理引擎，且是目前全球单芯片集成芯片化实时3D立体视觉感知、AI（人工智能）、SLAM（实时定位建图）的系统级芯片，公司致力于成为空间智能时代和生态构建者。 目前，芯明的芯片及产品解决方案已在全球范围内应用在泛机器人、XR、消费电子、物流无人机、3D扫描等多个前沿应用领域的龙头企业产品中。未来，芯明将努力持续创新，让空间智能无处不在！

岗位职责：
1.项目需求，制定深度学习算法研究和测试方案；
2.研发深度学习方法，解决基于图像的目标检测、分类、识别、分割、追踪等问题；
3.优化深度学习算法，实现移动端、嵌入深度学习模型开发。

任职要求：
1.硕士在校，模式识别、图像处理、计算机视觉、计算机科学、数学、运筹优化等相关专业，本科学历经验丰富者亦可；
2.熟悉机器学习、深度学习常用算法，熟练掌握CNN、RNN、深度增强学习等至少一种算法原理；
3.熟练掌握C++或Python及常用数据结构算法，动手能力强，有较强的算法分析及编程能力，熟练掌握Linux下的开发；
4.有目标检测或跟踪的相关经验，熟悉 Yolo 等模型。

工作地点：
芯明上海前滩office （6，8，11号线东方体育中心站直达）

招聘人数：1人",SLAM 深度学习 计算机视觉 机器学习 C++ Python Linux 产品设计,https://www.liepin.com/lptjob/73257235
量化投资实习生（深度学习方向）,敦和资产管理,400-800元/天,上海-浦东新区,上海,硕士,,90天前更新,liepin,"量化实习生（深度学习岗）职责简介
职位描述
你将在股票量化交易领域中，利用深度学习技术，开发和优化端到端（end-to-end）投资模型。该角色涉及特征工程、模型构建以及策略测试，旨在提升股票投资组合的收益和稳定性。
主要职责
1.	数据收集与处理：
•	收集和整理各类股票市场数据，包括各种频率的量价数据、Level2数据、财务报表数据及另类数据。
•	进行数据清洗、数据预处理工作，提升数据质量。
2.	端到端模型开发与优化：
•	设计和构建基于特征工程的端到端深度学习模型，应用于股票市场选股策略和风险管理等方面。
•	优化模型结构和参数，提升模型的预测准确性和鲁棒性。
3.	算法研究与实现：
•	研究前沿的深度学习算法和技术，熟悉各种基础模型的结构和原理，包括但不限于GRU、Transformer、ViT、图神经网络等。
•	将研究成果应用于股票量化交易策略的开发和改进。
4.	策略测试与评估：
•	进行回测，评估端到端投资模型的绩效和风险。
•	分析策略表现，提出改进方案，不断优化模型和策略。
职位要求
1.     教育背景：
•	计算机科学、统计学、金融工程、应用数学、人工智能或相关领域的硕士或博士学位。
2.     技术技能：
•	熟练掌握深度学习框架（PyTorch优先）。
•	精通Python，具备数据分析和处理技能。 
3.     专业知识：
•	深入理解机器学习和深度学习算法，具备大模型，多模态领域模型的开发和应用经验。
•	有实际股票量化研究或金融科技项目经验者优先。
4.     软技能：
•	具备良好的分析能力和解决问题的能力。
•	具有团队协作精神和良好的沟通能力。
•	具备创新思维和持续学习的意愿。

招聘人数：1人",深度学习 Transformer PyTorch Python 机器学习 大模型 风险管理 数据分析,https://www.liepin.com/lptjob/71113791
深度学习算法工程师,广州易戚科技有限公司,10-14k,西安,西安,本科,应届,7月17日更新,liepin,"仅限27级应届毕业生投递
岗位职责：
1、参与深度学习算法（尤其是目标检测方向）的研究、开发与优化工作；
2、负责应用YOLO系列算法解决实际业务场景中的视觉问题，并进行模型调优；
3、协助完成从数据处理、模型训练到部署上线的全流程开发任务；
4、跟踪前沿的深度学习技术与目标检测算法，探索其在公司业务中的应用可能；
5、与团队成员协作，完成相关技术文档的撰写与项目支持工作。

岗位要求：
1、本科学历，计算机、人工智能、自动化等相关专业；
2、掌握深度学习基础知识，熟悉主流深度学习框架（如PyTorch、TensorFlow等）；
3、熟练掌握YOLO系列目标检测算法，具备相关项目开发或实践经验者优先；
4、具备良好的编程能力，熟悉Python，有扎实的数据结构与算法基础；
5、具备较强的学习能力、沟通能力和团队协作精神，对技术有热情，能承受一定的工作压力。

截止日期：2027年07月16日
招聘人数：5人",深度学习 PyTorch TensorFlow Python 部署上线 技术文档,https://www.liepin.com/lptjob/84197853
深度学习算法工程师,重庆亲笔签数字科技有限公司,15-25k·13薪,重庆-渝北区,重庆,硕士,应届,90天前更新,liepin,"您将从事以下工作：
1.算法研究与产品落地：负责手写体文字识别和笔迹鉴别的深度学习算法研究，并实现相关技术的产品化和实际应用。
2.前沿技术跟踪与优化：持续关注深度学习领域的最新进展，不断提升系统的性能和效果。
3.技术文档撰写：协助完成与公司产品相关的专利申请、学术论文发表和技术文档的编写工作。
4.临时任务支持：根据需要，参与并完成其他临时性的相关工作任务。

需具备以下资格和能力：
1.教育背景：硕士及以上学历，计算机科学、电子信息工程或相关专业。
2.编程能力：具备扎实的编程能力，熟练使用Python编程语言，并熟悉至少一种主流的深度学习框架（如TensorFlow、PyTorch等）。
3.算法基础：拥有坚实的算法基础，能够独立进行算法的设计、实现和测试。在文字或语音识别技术方面有深入理解和实践经验者优先。
4.创新精神：对技术创新充满热情，具有较强的学习能力和解决问题的能力。
5.研究成果：在文字识别、语音识别等相关领域有发表过高质量学术论文者优先。

请特别注意：
1.简历必须包含： 个人代表性学术论文、期刊发表、专利授权等完整链接或内容摘要。
2.对深度学习基础扎实、研究经验丰富、能力特别突出的候选人，薪酬可面议。

截止日期：2027年04月01日
招聘人数：1人",深度学习 Python TensorFlow PyTorch 语音识别 技术文档 专利,https://www.liepin.com/lptjob/81411115
深度学习工程师,合肥芯明智能科技有限公司,18-24k·13薪,上海-浦东新区,上海,硕士,应届,90天前更新,liepin,"岗位职责：

研究与开发： 参与机器人视觉感知核心算法的研究、设计、实现与优化，主要方向包括：

1. 3D视觉 (3D Vision): 研究并实现立体视觉深度估计 (Stereo Vision Depth Estimation)、单目深度估计 (Monocular Depth Estimation)、3D场景重建等相关算法；

2. 2D感知 (2D Perception): 从事目标检测与识别 (Object Detection and Recognition)、语义分割 (Semantic Segmentation)、可行驶区域分割 (Drivable Area Segmentation) 等任务模型的开发；

3. 模型优化 (Model Optimization): 负责将深度学习模型进行剪枝 (Pruning)、量化 (Quantization)、蒸馏 (Distillation) 等，以适配边缘计算 (Edge Computing) 平台（如NVIDIA Jetson, Huawei Atlas等），实现模型的轻量化和部署；

4. 工程落地： 将算法模型部署到真实的机器人或车辆平台上，完成性能测试、精度调优和瓶颈分析，解决实际应用中的问题；

5. 技术跟踪： 持续跟踪业界最新技术动态（如BEV感知、Occupancy Networks、NeRF），并评估其在产品中应用的可行性。

 

任职要求:

1. 计算机科学，电子工程，自动化，人工智能，机器人学，应用数学等相关专业硕士学历及以上，有一定深度学习项目开发经验；

2. 扎实的机器学习与深度学习理论基础，熟悉常见的CNN、RNN、Transformer等网络架构；

3. 熟练掌握Python编程语言，熟悉PyTorch或TensorFlow等至少一种主流深度学习框架；

4. 具备良好的软件工程能力，熟悉Linux开发环境，掌握C++/Shell者优先；

5. 项目经验：在以下一个或多个领域有实际项目或研究经验：计算机视觉 (Computer Vision)、图像处理 (Image Processing)、点云处理 (Point Cloud Processing)。有目标检测（YOLO, Faster R-CNN）、语义分割（UNet, DeepLab）、深度估计、模型压缩与加速等相关项目经验者优先；

6. 在相关领域的会议（如CVPR, ICCV, ECCV, ICLR, NeurIPS, ICRA, IROS）或期刊上发表过论文；

7. 工具与平台：有Docker容器化、Git版本控制工具使用经验。 对边缘计算设备（如NVIDIA Jetson, RK3588l）有了解或使用经验者优先；

8. 个人素质：具备强烈的求知欲、出色的分析问题和解决问题的能力。拥有良好的团队协作精神和沟通能力，能快速学习并适应新技术；

9. 对机器人技术和人工智能充满热情，有志于将技术应用于改变世界的产品中。

 

上班地点：

上海

截止日期：2027年03月23日
招聘人数：1人",深度学习 机器学习 Transformer Python PyTorch TensorFlow Linux C++ Shell 计算机视觉 IPS ROS,https://www.liepin.com/lptjob/81157537
深度学习架构师 实习生,NVIDIA,400-800元/天,上海-浦东新区,上海,硕士,,90天前更新,liepin,"职责描述：
岗位职责：
- 分析前沿深度学习网络（如大语言模型等），识别并原型化性能优化机会，为英伟达当前及下一代推理产品的软件与架构团队提供决策影响。
- 为先进的深度学习网络与算法开发分析模型，推动处理器与系统架构在性能与能效方面的创新设计。
- 明确硬件/软件配置与评估指标，用于分析现有及未来单处理器与多处理器配置下的性能、功耗与精度表现。
- 跨部门协作，与架构、软件及产品团队共同指引下一代深度学习硬件/软件的研发方向。

任职要求：
- 2027届及以后毕业生，计算机科学、电子工程、计算机工程、数学或相关技术领域硕士及以上学历。
- 熟练掌握 C、C++、Python 编程。
- 具备扎实的计算机体系结构背景。
- 拥有性能建模、架构仿真、性能剖析与分析相关经验。
- 具备大语言模型或生成式AI算法相关经验。
- 需要实习3-6个月

优先考虑条件：
- 具备GPU计算及CUDA、OpenCL等并行编程模型经验。
- 拥有其他深度学习加速器的架构分析或工作负载分析经验。
- 熟悉主流框架（如 PyTorch, TensorRT-LLM, vLLM 等）中的深度神经网络训练、推理及优化。
- 了解开源AI编译器（如 OpenAI Triton, MLIR, TVM, XLA 等）。

招聘人数：1人",深度学习 C++ Python PyTorch LLM 跨部门协作,https://www.liepin.com/lptjob/79872427
深度学习系统研发实习生,理想汽车,300-400元/天,杭州-余杭区,杭州,硕士,,90天前更新,liepin,"职位描述
参与大规模深度学习系统的优化相关技术研究和开发，结合底层硬件架构特点，利用稀疏、量化等相关技术，为自动驾驶、大语言模型等算法提供训练/推理优化的前沿解决方案。
研究深度学习性能加速的最新发展趋势，将前沿的算法和优化技术应用到实际生产中。
与硬件团队协作，将前沿成果与底层硬件特性相结合。
职位要求
计算机科学、人工智能、机器人学、电子/电气工程等相关专业，硕士及以上学历；
深入理解深度学习、机器学习理论，熟悉掌握pytorch等主流深度学习框架；
扎实的编程能力，熟练掌握C/C++/Python编程语言
优先：熟悉GPU基本结构及其工作原理，熟悉CUDA编程语言，有算子编写经验；
优先：有模型训练/推理性能优化经验，熟悉稀疏、量化等常用优化手段；

招聘人数：1人",深度学习 机器学习 PyTorch C++ Python,https://www.liepin.com/lptjob/78047937
