job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
27届校招-爬虫工程师(J14414),合合信息,13-19k·16薪,苏州-工业园区,苏州,本科,应届,7月28日更新,liepin,"职责描述：
1. 根据数据质量目标和要求，负责各个目标数据维度的采集开发、结构化及可能的信息抽取工作；
2. 充分理解数据质量量化指标的含义和落地方法，积极保持和算法、清洗、数据产品团队的沟通、协调，共同推进数据质量的进步；
3. 和mentor/TL一起负责相应前沿技术的探索和攻克，并推进落地。
任职要求：
1. 扎实的网络基础：精通HTTP/HTTPS协议栈，深入理解Headers/Cookies/Session机制、状态码语义、重定向策略等。熟悉TCP/IP协议族，并具备使用Wireshark/tcpdump进行抓包与异常分析的能力；
2. 掌握Web前端基础，熟悉浏览器渲染原理，熟练使用浏览器 DevTools 进行全方位调试，包括但不限于：网络请求分析、定位关键参数生成逻辑、断点调试、调用栈追踪、DOM/事件监听审查、JS注入等；
3. 掌握python/C/C++/c#/java语言中的一种或多种开发，python优先；
4. 熟悉linux运行环境，熟悉基本的shell命令、进程监控、日志分析等，了解Docker/K8s容器化部署；
5. 具有一定的网页解析、pdf/文档解析经验；
6. 对AI与传统爬虫技术的结合有实践探索或深入思考，对AI Agent驱动的新型爬虫框架有浓厚兴趣或实践；
7. 责任感强，有较好的沟通能力和合作能力；

加分项：
8. 具备Android/iOS APP逆向经验者优先，如熟练使用Frida/Xposed等工具；
9. 具备AST代码还原经验者优先；
10. 使用主流AI工具（如 Codex, Claude Code等），有能力和经验“指导 AI”辅助解决复杂技术难题如逆向、算法还原者优先。

截止日期：2026年10月31日
招聘人数：1人",TCP/IP Python C++ C# Java Linux Shell Docker K8s 容器化 日志分析,https://www.liepin.com/lptjob/84449145
26届校招—AI爬虫工程师—合肥/太原,思特奇信息技术,10-15k·13薪,合肥-包河区,合肥,硕士,应届,90天前更新,liepin,"加入思特奇你将：
1、负责AI大模型训练所需的各类数据的网络采集、解析与清洗工作；
2、设计并实现高效、可扩展的分布式爬虫框架与数据采集系统；
3、针对不同网站/平台的数据结构，开发定制化爬取与反爬策略；
4、优化数据抓取的速度与稳定性，确保数据采集的质量与完整性；
5、与数据清洗、标注、建模等团队紧密协作，确保数据格式与需求一致；
6、关注数据合规与版权问题，确保采集行为符合相关法律法规。

如果你是：
1、国家正规院校研究生学历，计算机科学与技术、软件工程、数据科学等相关专业；
2、精通 Python，熟悉 Scrapy、Selenium/Playwright‌、PySpider‌等爬虫框架；
3、熟悉 HTTP/HTTPS 协议、HTML、XPath、CSS Selector、正则表达式等解析技术；
具备应对反爬机制（如验证码、IP封锁、动态加载等）的经验；
4、熟悉常用数据库（MySQL、MongoDB、Redis等）存储与查询优化；
5、有海量数据采集与分布式爬虫系统设计经验者优先；
6、具备良好的学习能力、沟通协作能力与数据安全意识。
7.具备AI思维与实践能力，既能熟练使用AI工具提升研发效率，也能理解AI技术边界，参与AI相关需求的落地与迭代

欢迎大家投递思特奇，招聘信息认准官方渠道（官网及公众号信息），不要随意下载付费APP，谨防诈骗

截止日期：2027年03月17日
招聘人数：5人",大模型 分布式 Python SPI MySQL MongoDB Redis 数据采集 合规,https://www.liepin.com/lptjob/81011303
Python爬虫工程师,上海宝衢自动化系统工程有限公司,150-180元/天,上海-宝山区,上海,本科,,90天前更新,liepin,"岗位职责：
1.负责公司产品的服务端研发；
2.深入发掘和分析业务需求，撰写技术方案和系统设计；
3.根据产品需求，进行系统设计和编码；
4.持续对系统架构进行改造和优化；
职位要求：
1.三年以上开发经验，一年以上的Python开发经验；
2.具备良好的基本功，熟练使用基本的数据结构和算法，深入理解
多线程、Socket等相关技术；
3.具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；
4.熟练掌握Django,Tornado，Sqlalchemy，Celery等主流框架，深入理解框架实现原理及特性；熟练使用python的常用库
5.熟悉Python的高级特性，深入理解各种设计模式和应用场景。
6.有大规模分布式系统的开发和高可用相关的实践经验，具备设计复杂系统的能力；
7.熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；
8.熟练掌握一种以上非关系型数据库，如Redis,Cassandra，理解其使用场景及限制；
9.熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理；
10.熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；
11.有以下经验者优先：
①具有golang实际工作经验；
②具有大规模分布式系统的调优经验；
③熟悉大规模分布式系统架构设计，熟悉CAP、Quorum、ConsistentHashing等原理和算法；

招聘人数：1人",Python Django Tornado SQL 分布式 高可用 MySQL Redis Cassandra TCP/IP Golang 技术方案,https://www.liepin.com/lptjob/78845333
爬虫工程师实习生,达势科技,180-250元/天,上海-长宁区,上海,本科,,90天前更新,liepin,"About us
Dashmote is an AI technology start-up headquartered in Amsterdam, Netherlands. We connect the offline and online worlds by decoding the digital footprint of locations, allowing our enterprise clients to understand the market and make smarter and data-driven decisions.
With a little over 65 employees, Dashmote has ambitious plans for the upcoming years and we're growing really fast. Want to grow your career and be at the forefront of innovations to unlock the potential of AI? Then we're looking for you!

岗位职责
1. 收集和处理原始数据（包括编写脚本，Web抓取， API抓取， SQL查询）；
2. 将非结构化数据处理为适合分析的形式；
3. 监控性能并建议任何必要的基础架构更改；
4. 测试数据，以保证机器学习模型中使用的数据转换和数据验证的准确性；
5. 为数据挖掘，数据建模和数据生产开发一套流程；
6. 与队友紧密合作，确保一致性并最大程度地利用数据。﻿
﻿ ﻿
Role Description
1. Gather and process raw data at scale (including writing scripts, web scraping, calling APIs, writing SQL queries, etc.).
2. Process unstructured data into a form suitable for analysis.
3. Monitor performance and advise any necessary infrastructure changes.
4. Do Testing and validation in order to support the accuracy of data transformations and data verification used in machine learning models
5. Develop set processes for data mining.
6. Collaborate closely with teammates to ensure consistency and maximize the use of data
Besides the role description above, we offer the opportunity to develop your area of interest and we’ll assign work to support your personal development within that area.﻿ 

岗位要求
1. 计算机科学，工程或相关学科本科及以上学历；
2. 熟悉Python；具有SQL和NoSQL技术的经验优先；
3. 熟悉网络抓取原理、HTTP协议，了解常见的反爬虫原理；
4. 熟练使用requests,BS4, xpath, regex等工具进行数据抓取；
5. 熟悉数据清洗，能够利用Pandas进行数据处理；
6. 了解版本控制工具(例如git), 数据库管理系统(Mysql, Postgre)；
7. 能够使用Scrapy开发网络爬虫优先；
8. 了解软件/ ETL开发环境中的工作内容优先；
9. 英文熟练者优先；
10. 愿意学习和在短时间内掌握新的技能和方法；擅长团队合作。
 
Job Requirements
1. Bachelor's Degree or above in Computer Science, Engineering or a related field;
2. Familiar with Python; Experience with SQL and NoSQL is preferred;
3. Familiar with web crawling, HTTP, and  commonly used anti-crawling methods;
4. Familiar with data scraping with requests, BS4, xpath, and regex;
5. Familiar with data cleaning; Experience with data processing with Pandas;
6. Solid understanding of version control tools (e.g. git) and database management systems (e.g. Mysql, Postgre);
7. Experience with building web spiders with Scrapy is a plus;
8. Familiarity with the development environment of software and ETL is a plus;
9. Proficient English user is highly preferred
10. Fast learner and open-minded to new technologies and methodologies and team-oriented.
 
我们的优势﻿
每日实习工资180-250元人民币；
如果实习期表现出色，你将有转正机会；
工作地址在上海市区，静安寺附近，交通生活便利；
你的能力及贡献将会收获团队小伙伴们的真诚认可；
我们会为你提供一个充分发挥才华，施展抱负的舞台；
你的工作你做主，你的任何想法都会得到尊重；
灵活弹性的办公制度，根据实际情况可适度远程办公；
轻松的工作氛围和丰富的团队活动；
我们不加班，我们鼓励员工下班后有属于自己的丰富生活。
What’s in it for you
An internship salary of 180-250 yuan per day (depending on your background, skill set, and interview performance);
Promised full-time transition if the whole team can recognize your ability after your internship;
Office located at the center of Shanghai (near Jiang’an Temple, convenient transportation;
Working within an international team that truly values your contribution;
An awesome culture of responsibility and the freedom to turn your ambition into reality - regardless of your role and level;
You'll have the freedom to really own your role and implement your own ideas;
Flexibility to work from home and work on-site;
Exciting work atmosphere with no shortage of fun team events, gatherings, and snacks at the office;
We don’t work overtime. We encourage our employees to have their own life after work.
If this sounds like a match, we would love to hear from you!



招聘人数：1人",UART Git SQL 机器学习 Python MySQL Gin SPI CAN RAG,https://www.liepin.com/lptjob/54819713
爬虫开发工程师（实习）,寰讯智能技术(广州)有限公司,150-250元/天,广州-南沙区,广州,本科,,6月29日更新,liepin,"一、岗位职责
1、依据业务需求，完成指定站点（含动态页面）的数据爬取任务，涵盖HTML文本、JSON接口及多媒体元信息；
2、参与爬虫调度系统的维护与优化，包括请求队列管理、去重策略调整及代理IP池的接入测试；
3、执行数据清洗与标准化工作，包括字段抽取、格式统一、异常值过滤及简单的质量校验；
4、编写结构化的技术文档，记录爬取逻辑、字段映射关系、异常处理方案及数据统计报表；
5、配合模型研发与标注团队，按时交付符合数据协议（如JSONL、Parquet）的最终数据集；
6、关注目标站点的反爬变化，协助团队快速响应并调整采集策略。

二、岗位要求
1、基本条件：
- 计算机、软件工程、数据科学等相关专业，本科及以上学历在读（大三、大四或研一、研二优先）；
- 每周可保证至少4个工作日到岗（或远程协同），实习周期不短于3个月；
- 熟练使用Python，掌握常用标准库及requests、BeautifulSoup等解析工具；
- 熟悉HTTP/HTTPS协议基础，理解Cookie、Session、User-Agent等常用请求字段；
- 熟悉XPath或CSS选择器，能够独立分析网页DOM结构并编写提取规则；
- 了解Linux常用命令，具备在远程开发环境下的基本操作能力（如文件操作、进程管理）；
- 具备良好的代码规范意识和文档撰写习惯，乐于沟通与协作。

2、优先项（满足任一即可加分）：
- 有实际爬虫项目经验（课程设计、竞赛或个人开源项目），能够提供GitHub仓库或样例代码；
- 接触过Scrapy/Playwright/Selenium等任一主流框架，理解异步或动态渲染处理方式；
- 了解常见的反爬机制（如IP封锁、验证码、请求签名）及应对思路；
- 熟悉Pandas或类似工具，能进行简单的数据清洗和统计分析；
- 有使用Docker或数据库（MySQL/MongoDB/Redis）的基础经验。

截止日期：2027年06月29日
招聘人数：1人",Python Linux Git Docker MySQL MongoDB Redis 技术文档,https://www.liepin.com/lptjob/83773749
爬虫数据工程师,深圳前海智龙资本管理有限公司,150-300元/天,香港-深水埗区,,本科,,90天前更新,liepin,"职位描述：
主要负责数据爬取项目，包括：
1. 使用爬虫工具/框架从网站爬取信息；
2. 研究并开发分布式爬虫软件以及数据收集系统；
3. 数据爬取过程中确保数据质量，不断优化爬虫策略；
4. 分析数据深入解读有关群众心理和行为、金融市场动态等信息；

任职要求：
1. 熟悉使用 Flask、Django 等其中一种框架构建 Python 后端平台。熟悉使用Javascript、CSS、HTML5等构建前端页面。
2. 熟悉使用 Requests、Scrapy 等其中一种lib或者框架进行网络爬虫。
3. 熟练使用 Python 编程。如能灵活使用Python的多线程和多进程加速计算为加分项。
4. 掌握 Linux 操作系统的基本使用，包括 iptables、crontab、socket 等设置。
5. 对 Computer Network 有基本了解，包括 TCP、DNS、HTTP 机制。
6. 对 Mysql、MongoDB 有使用经验。
7. 有使用 wiresharp 或者 tcpdump 进行抓包和 troubleshooting经验者优先考虑。
8. 有使用云计算平台（例如: AWS）经验的人士，会优先考虑，包括对象存储、虚拟机、serverless函数等。


招聘人数：2人",分布式 Flask Django Python JavaScript HTML5 Linux MySQL MongoDB AWS Serverless,https://www.liepin.com/lptjob/55282771
爬虫数据工程师,深圳前海智龙资本管理有限公司,150-300元/天,深圳,深圳,本科,,90天前更新,liepin,"职位描述：
主要负责数据爬取项目，包括：
1. 使用爬虫工具/框架从网站爬取信息；
2. 研究并开发分布式爬虫软件以及数据收集系统；
3. 数据爬取过程中确保数据质量，不断优化爬虫策略；
4. 分析数据深入解读有关群众心理和行为、金融市场动态等信息；

任职要求：
1. 熟悉使用 Flask、Django 等其中一种框架构建 Python 后端平台。熟悉使用Javascript、CSS、HTML5等构建前端页面。
2. 熟悉使用 Requests、Scrapy 等其中一种lib或者框架进行网络爬虫。
3. 熟练使用 Python 编程。如能灵活使用Python的多线程和多进程加速计算为加分项。
4. 掌握 Linux 操作系统的基本使用，包括 iptables、crontab、socket 等设置。
5. 对 Computer Network 有基本了解，包括 TCP、DNS、HTTP 机制。
6. 对 Mysql、MongoDB 有使用经验。
7. 有使用 wiresharp 或者 tcpdump 进行抓包和 troubleshooting经验者优先考虑。
8. 有使用云计算平台（例如: AWS）经验的人士，会优先考虑，包括对象存储、虚拟机、serverless函数等。


招聘人数：2人",分布式 Flask Django Python JavaScript HTML5 Linux MySQL MongoDB AWS Serverless,https://www.liepin.com/lptjob/55282769
Java/前端/测试/运维/数据(25/26届技术储备人才,电子商务已上市1000-2000人,9-13k,武汉-洪山区,武汉,本科,应届,7月28日更新,liepin,"一、岗位职责
1. 参与前后端系统开发、小程序/H5页面搭建，维护迭代业务系统，封装通用组件
2. 参与数字化产品测试工作，编写测试用例，开发自动化测试脚本
3. 参与数据仓库、数据平台搭建，抓取电商/短视频数据，完成数据清洗、报表分析
4. 协助云原生运维工作，集群、服务器日常维护，编写自动化运维脚本
5. 协同产品、业务团队处理线上问题，完成需求落地、功能优化

二、任职要求
1. 本科及以上，计算机、软件工程、统计学、数学等相关专业，25/26届应届生
2. 掌握Java/Python/HTML/CSS/SQL任意至少一门编程语言，了解基础开发框架
3. 了解Linux、数据库、容器、爬虫、数据分析任一方向基础知识即可
4. 主动好学，逻辑清晰，善于沟通协作，能接受短期梅州、上海轮岗
其他
入职多技术方向可双向轮岗，根据个人擅长分配岗位，工作地点后续定岗武汉

岗位汇总
一、能本序列｜轮岗：上海 3 个月技术培训→武汉研发基地技术定岗（数据运营 base 上海）
Java 开发工程师｜10 人｜武汉｜计算机、软件工程相关
测试开发工程师｜4 人｜武汉｜本科及以上，计算机类专业
数据开发工程师｜3 人｜武汉｜统计 / 数学 / 数据类专业
运维工程师｜1 人｜武汉｜熟悉 K8s、阿里云运维
前端开发工程师｜2 人｜武汉｜计算机相关专业
爬虫开发工程师｜1 人｜武汉｜有爬虫项目经验
数据运营｜4 人｜上海｜统计、计算机、经济类相关专业

二、能人序列｜武汉定岗（人力运营 base 上海）
数据开发工程师｜1 人｜武汉｜数据相关专业
爬虫开发工程师｜2 人｜武汉｜本科及以上
测试开发工程师｜2 人｜武汉｜计算机相关
Java 开发工程师｜2 人｜武汉｜ 计算机相关本科

大模型算法工程师｜2 人｜武汉｜硕士 / 博士，AI、计算机、统计专业
人力运营管培｜2 人｜上海｜计算机、信管、统计类

三、产品运营序列｜上海定岗
产品专员（校招管培）｜4 人，计算机、数学、信管相关专业

三、待遇情况：
薪资待遇：9k～14k（按公司晋升机制调薪）
工作时间：早9晚7:30，法定节假日正常休，过年提前三天放假
晋升培养：管培生→主管→经理→总监→总经理→业务线总裁→VP
福利保障：五险一金（入职即缴纳）、带薪年假、节日福利、公司团建等

截止日期：2027年07月28日
招聘人数：30人",云原生 Java Python SQL Linux K8s 阿里云 大模型 测试用例 自动化测试 数据分析 培训,https://www.liepin.com/lptjob/84472527
爬虫实习生,重庆沐晨科技,150-200元/天,重庆-渝北区,重庆,本科,,90天前更新,liepin,"公司简介：
我们是一家专注于提供大模型AI数据训练和数据采集服务的科技公司。公司虽成立不久, 但发展迅速, 公司目前已有员工100余人, 在行业内也已小有名声。为了进一步拓展业务并提升服务质量，我们现在寻找高级爬虫工程师加入我们的团队。

岗位职责：
1. 负责设计和实现高效的网络爬虫系统，以满足公司的数据采集业务需求。
2. 持续优化爬虫系统的性能，确保数据采集的准确性和高效性。
3. 解决爬虫开发过程中遇到的技术难题，提高爬虫的稳定性和抗干扰能力。
4. 监控爬虫运行状态，及时发现并处理异常情况。
5. 与项目组长和其他团队成员紧密合作，共同推进项目的顺利进行。

任职要求：
1. 计算机相关专业本科及以上学历。
2. 至少1年相关工作经验。
3. 精通Python或其他编程语言，熟悉爬虫开发框架如Scrapy、BeautifulSoup等。
4. 精通APP逆向爬去技术, 熟悉各种数据爬取技巧和框架。
5. 具备良好的逻辑思维能力和问题解决能力。
6. 具备良好的沟通能力和团队协作精神。
7.八友科技爬虫工作经验

我们提供具有竞争力的薪酬福利，以及广阔的职业发展空间。如果您热爱挑战，渴望在一个充满活力的环境中成长，欢迎您加入我们的团队！

招聘人数：4人",大模型 Python 数据采集,https://www.liepin.com/lptjob/73785151
爬虫工程师,北京新唐建筑装饰工程有限责任公司,15-30k,北京,北京,学生可投,经验不限,90天前更新,liepin,"岗位名称：爬虫工程师 /技术经理！
岗位要求：
1、3年及以上爬虫项目开发经验；
2、熟悉Python/C++/Java三种编程语言中的至少一种，熟悉爬虫方向开发和应用；
3、熟悉网络编程、熟悉多线程机制、有过Socket HTTP网络编程项目经验，具有爬虫系统框架设计能力，以及爬虫项目规划能力；
4、熟悉HTML，熟练正则、XPath等Web信息提取技术；
5、熟悉Mysql，redis，mongdb三者至少之一，有过数据库调优和海量数据存储经验。
加分项：
1、熟悉常见的加解密算法及其原理，具有大型web登录分析和搜索相关技术研发经验者优先；
2、熟悉多线程编程，有高并发分布式服务器开发经验优先；
3、做过12306抢票业务的优先。",Python C++ Java MySQL Redis 高并发 分布式,https://www.liepin.com/job/1926219189.shtml
