job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
属性工程师&电子工程师&逆变器硬件设计工程师&试验运行工程师&试验工程师,麦格纳动力总成(江西)有限公司,6-9k·15薪,南昌-新建区,南昌,本科,应届,90天前更新,liepin,"一、电子工程师：
主要岗位职责 Key Responsibilities
1、项目前期准备技术支持
1) 参与客户要求的可行性分析，明确接口以及责任，以满足客户要求。
2) 参与零部件的报价以及技术支持。
2、组织产品设计
1) 及时与客户协调在产品开发过程中影响产品性能要求的技术问题。
2) 审核相关功能设计开发方案，组织设计开发，并提供技术支持，以提高功能方案优越性与提高总成性能。
3) 组织相关功能产品成果的检测与改进，确保产品满足开发设计方案及客户要求负责与供应商和客户技术交流及可行性分析。
4) 负责零部件开发过程中技术跟踪和检查电子零部件测试过程规范和定义。
3、产品售后技术咨询
1) 及时与相关部门配合，组织和协调解决客户在使用产品之后提出的问题，并提供专业技术支持，以提高专业技术组织能力。
2) 参与电子零部件质量提升以及售后出现问题的分析。
4、遵守与执行体系要求
1) 遵循国家和政府有关劳动、合同、税务、会计、环境保护、职业健康安全等方面的法律法规及其他要求
2） 负责了解 Mafact 基础知识，参与 Mafact 相关活动
3) 认真贯彻执行国家及行业管理部门有关安全生产、劳动保护、环境保护法规和政策
4) 负责参与公司“四新”项目的环保、职业健康安全 “三同时”评审
5) 负责工艺改进、新品开发、替代材料的环境影响、健康安全的分析、评审
6) 主动发现各类环境安全事故隐患并积极报告整改
7) 积极参加各项环境安全培训和活动，提出合理化建议
5、领导交办的其他业务

 任职资格 Requirements and Qualifications
教育程度： 大学本科及以上学历，大学英语四级或以上，机电、汽车或机械相关专业
工作经验： 1 年及以上汽车变速箱、汽车电子、自动变速器设计、车用传感器或者汽车电路和电器相关工作经验
专业技能要求： 熟悉汽车自动变速工作原理，自动变速器基本知识；熟悉基本电路设计规范要求（AD，DA，电源处理，转速处理，放大电路等）；能够使用 INCA 等工具采集数据并分析；熟悉使用基本电路分
析工具（信号发生器，示波器等）；了解 8D 及 6sigma 等工具对问题分析；
能力要求： 具备较强沟通能力，较好的团队合作能力
其他特殊要求：无
*如有相关工作经验或者表现优异，或应届毕业生表现优异者，以上任职资格要求可适当放宽

二、逆变器硬件设计工程师：
主要岗位职责
1．     执行研发任务
1）	负责逆变器开发的项目管理，开发任务创建，需求管理更新，周期维护和更新，跨部门的沟通，资源协调和风险管控；
2）	负责逆变器功能属性的实现，组织设计和测试验证；
3）	负责组织逆变器及子系统设计开发工作、试制及量产工作，持续开展VAVE；
4）	负责逆变器开发的项目管理，开发任务创建，周期维护和更新，跨部门沟通，资源协调和风险管控；
5）	负责逆变器及子零件供应商管理，项目进度跟踪，开发和测试进度，问题处理跟踪和风险管控；
6）	支持DHD等电驱动系统项目整个生命周期中的概念设计直到批产结束阶段的逆变器；
7）	遵守项目的全球的变更管理规则；
8）	在需求说明书创建期间提供技术支持。
2． 执行试验任务
1）组织创建和审核测试规范, 提供试验样品；
2）组织搭建测试环境，执行实验验证逆变器子系统，反馈实验状态；
3）组织搭建电力电子试验室，执行逆变器及其子零件试验，测试获取性能边界；
4）组织设计测试样品的装配设备和夹具满足试验需求；
5）协助整车开展各种工况测试，采集工况数据和路谱数据；
6）组织负责试验数据分析，评估结果，并创建并发布测试报告；
7）组织建立和更新操作规则，或协同试验管理和项目相关人员协商制定，解释说明试验结果并检查技术可行性。
3． 支持指导相关人员
1）支持降低系统设计风险和问题解决；
2）支持潜在项目的获取、与客户的技术合作；
3）给试验部开展电机控制器提供必要的支持；
4）在供应商选择和合同谈判阶段给采购部门提供必要支持。
4．	 部门科室的内部管理
1）参加不定期小组会议，交换设计相关的失败履历及经验；
2）	参加内部培训；
3）参加专利申请及设计问题的创造性解决方案。
5．遵守与执行体系要求
1）遵循国家和政府有关劳动、合同、税务、会计、环境保护、职业健康安全等方面的法律法规及其他要求
2）负责本业务范围的质量、环境、职业健康安全管理工作
3）负责了解Mafact基础知识，参与Mafact相关活动
6．领导交办的其他业务
任职资格：

教育程度： 自动化、电机、电气控制或车辆工程大学本科及以上学历，英语四级及以上。
工作经验： 2年以及上新能源汽车电驱动系统、电机控制器零部件设计开发经验。
专业技能要求：熟悉电机控制器及其开发流程，熟悉新能源电驱动原理和开发流程等专业知识，掌握Office办公软件、Doors等需求管理软件。
能力要求： 
1.	熟悉混合动力或纯电驱动系统，并具备电驱动系统设计等方面知识；
2.	熟悉逆变器及电力电子器件（IGBT及SiC器件、DC-link、电流传感器等），了解纯电动驱动系统和混合动力系统中对电机的控制策略；
3.	有较强的团队协助意识，清晰的逻辑思维，能对相关问题组织8D分析；
4.	有一定的供应商管理经验，善于总结和识别潜在风险，并提前做好应对措施；
5.	熟悉逆变器开发流程，负责的产品从A样到量产经验者优先；
6.	了解驱动板和控制板设计原理、MCU芯片、CAN芯片、驱动芯片、滤波、旋变解码芯片以及采样电路；
7.	有一定的电机控制器软硬件开发以及测试经验者优先；
8.	了解逆变器的FMEA，有DOE设计能力和MSA分析能力者优先；
9.	了解硬件功能安全和EMC设计方法，有实际应用者优先考虑；
10.	了解电驱动系统技术发展趋势，特别是电机控制器新技术、新应用；
11.	有较好的沟通协调能力，能够在项目及平台中沟通和合作；
12.	英语流利，能够在全球化的项目团队中工作，能够在全球，多功能块及协同的团队中工作。
其他特殊要求：
*如有相关工作经验或者表现优异，或应届毕业生表现优异者，以上任职资格要求可适当放宽

三、试验运行工程师：
主要岗位职责Key Responsibilities
1、产品试验标准、规范
收集行业产品各种试验规范，协助试验工程师制定公司试验规范以确保试验操作规范性
2、试验设备建设
负责试验设备调研,制定满足试验要求的试验台技术方案;做好技术协议签订与验收标准制订等工作;以保证按照需要选择性价比优良的试验设备
3、产品试验工作
负责试验实施，对产品试验进行安装调试指导，参与结果进行分析并编写发布试验运行报告,以确保试验数据客观准确
4、试验中心的体系建设
完成试验中心的体系建设工作，参与试验中心管理标准制定以规范试验中心整个工作流程
5、协助试验中心主管
协助主管做好各相关工作,以保证及时有效完成工作
6、EHS要求
1)	认真贯彻执行国家及行业管理部门有关安全生产、劳动保护、环境保护法规和政策。
2)	负责参与公司“四新”项目的环保、职业健康安全 “三同时”评审。
3)	负责工艺改进、新品开发、替代材料的环境影响、健康安全的分析、评审。
4)	主动发现各类环境安全事故隐患并积极报告整改
5)	积极参加各项环境安全培训和活动，提出合理化建议
7、遵守与执行体系要求 
1)	遵循国家和政府有关劳动、合同、税务、会计、环境保护、职业健康安全等方面的法律法规及其他要求
2)	负责了解Mafact基础知识，参与Mafact相关活动
3)	负责本业务范围的质量、环境、职业健康安全管理工作
8、领导交办的其他业务 


任职资格Requirements and Qualifications
教育程度： 本科及以上学历,大学英语四级以上，机电一体化、汽车、机械等相关专业
工作经验： 相关工作经验三年以上
专业技能要求： 熟悉汽车和变速箱结构及原理等方面知识，熟悉变速箱试验标准和规范。
有关于各类变速箱(MT，AT，DCT，HDT，Edrive）的知识；齿轮和同步器功能知识；测量设备和功能的知识；引擎控制器的知识。
能力要求： 有一定的管理、沟通、协调能力
其他特殊要求： 良好的团队合作精神和英语应用能力
*如有相关工作经验或者表现优异，或应届毕业生表现优异者，以上任职资格要求可适当放宽

四、试验工程师：
 主要岗位职责Key Responsibilities
1、负责DVP试验规范
1）负责公司产品台架试验规范的编制
2）负责修订和更新试验规范
3）负责运行部分功能试验
2、协调试验内、外部资源
1）协调试验台架资源进行相关试验
2）协调试制科资源进行相关装配和样箱拆解工作
3）协调质量科进行拆解后的零件检测工作
4）协调系统工程、设计工程进行失效分析
3、组织试验资源和具备试验能力
1）组织试验的设备和物料资源
2）具备试验能力
4、负责试验报告
1）负责公司产品DVP的台架试验后的零件、数据分析
2）负责试验拆解后的报告工作
3）及时报告试验状态给项目组
4）在适当的时间对试验问题及时升级和报警
5）参加试验失效评审会
5、负责风险管理
1）管控试验时间和结果存在的风险
6、遵守与执行体系要求
1）	遵循国家和政府有关劳动、合同、税务、会计、环境保护、职业健康安全等方面的法律法规及其他要求
2）负责本业务范围的质量、环境、职业健康安全管理工作
3）认真贯彻执行国家及行业管理部门有关安全生产、劳动保护、环境保护法规和政策
4）负责参与公司“四新”项目的环保、职业健康安全 “三同时”评审
5）负责工艺改进、新品开发、替代材料的环境影响、健康安全的分析、评审
6）主动发现各类环境安全事故隐患并积极报告整改
7）积极参加各项环境安全培训和活动，提出合理化建议
8）负责了解Mafact基础知识，参与Mafact相关活动
7、领导交办的其他业务 

任职资格Requirements and Qualifications
教育程度： 本科及以上学历，大学英语四级或以上，机械设计、机械制造、车辆工程等相关专业
工作经验： 三年以上相关产品开发或试验工程的工作经验
专业技能要求： 熟悉汽车相关的法律法规，熟悉汽车以及变速箱试验验证规范、变速器和试验设备和仪器等知识、熟悉变速箱失效模式及原因分析、试验数据分析
能力要求： 具有责任感，全局观，较强的专业知识；有较强同各项目组和外部客户沟通的能力；有很好的英语表达能力；较强的组织能力及判断力等
其他特殊要求： 无
*如有相关工作经验或者表现优异，或应届毕业生表现优异者，以上任职资格要求可适当放宽
 

截止日期：2027年02月03日
招聘人数：6人",MCU CAN 技术支持 产品设计 技术咨询 培训 项目管理 资源协调 数据分析 采购 专利 技术方案,https://www.liepin.com/lptjob/80165637
初级电子工程师,专业技术服务A轮50-99人,15-30k·14薪,上海-浦东新区,上海,本科,应届,7月30日更新,liepin,"岗位职责：
1、协助高级电子工程师开展产品系统设计开发；
2、根据需求进行电子元器件的选型和分析论证，形成方案设计报告；
3、规范绘制电路原理图，并根据checklist进行自查；
4、指导layout工程师进行PCB布局布线；
5、负责硬件电路板的单板调测和整机调测，并输出测试报告；
6、负责与嵌入式软件工程师对接软硬件联合调试；
7、与结构工程师对接相关产品的结构设计和优化；
8、编写技术文档；

任职要求：
1、本科及以上学历，获得电子工程或相关领域的学士学位；
2、具有扎实的模拟/数字电路设计基础，有FPGA/MCU/ARM相关硬件开发经验优先；
3、熟练使用candence套件绘制电路原理图和PCB；
4、能够熟练使用常用的测试仪器（如：万用表、示波器、逻辑分析仪和频谱分析仪）；
5、熟悉运放、ADC、DAC，有小信号采集设备开发经验；
6、喜欢钻研新技术，有明确的职业规划和较强的自驱力；
7、有良好的英语口语和书面表达能力；
8、有良好的技术沟通和团队合作能力；
9、有良好的文档编写习惯和能力；
10、有量产经验者优先

截止日期：2027年07月21日
招聘人数：2人",FPGA MCU ARM CAN 方案设计 技术文档 文档编写,https://www.liepin.com/lptjob/84300255
电子元器件工程师（2027届应届生）,计算机硬件2000-5000人,12-20k·15薪,深圳-宝安区,深圳,硕士,应届,7月7日更新,liepin,"1.负责电解电容、半导体器件及高分子类电子材料的性能测试与评价，建立并完善材料级和器件级测试规范。
2.主导新供应商/新物料的选型验证与认证导入，结合产品应用场景制定测试方案，输出认证结论及技术建议。
3.开展器件及材料的可靠性评估（如温循、湿热、寿命、盐雾等），设计加速老化实验，评估长期使用风险。
4.负责器件/材料失效机理分析，利用SEM、X-ray、热分析等手段定位失效根因，形成分析报告并推动改善闭环。
5.跟踪行业失效案例和技术标准（如AEC-Q、JEDEC等），建立内部失效数据库，支撑选型和设计规则优化。
6.协同研发、质量、采购团队，参与产品开发前期选型评审，提供器件/材料技术风险把控意见。


要求：
1、2027届应届生，硕士及以上，四级已过，材料科学与工程、材料物理与化学、高分子材料与工程、电子封装技术、微电子材料 等相关专业；
2、掌握材料表征、可靠性测试、失效分析方法；了解半导体器件、被动器件、电容及高分子材料性能评价；具备实验数据分析和报告编写能力；
3、具备较强的实验动手能力、问题分析能力和沟通协作能力。





 

截止日期：2027年07月07日
招聘人数：3人",性能测试 采购 数据分析 X-ray,https://www.liepin.com/lptjob/83961529
电子工程师（散热风扇）,电子/半导体/集成电路10000人以上,15-18k·13薪,深圳-龙岗区,深圳,硕士,应届,7月18日更新,liepin,"岗位职责
1、负责直流无刷马达或直流无刷散热风扇的电子设计工作，包括电路设计、PCB布局、元器件选型等。
2、设计电机的驱动电路，确保电路的稳定性和高效性。
3、根据产品需求，设计符合性能指标的直流无刷电机电子控制系统。
4、负责直流无刷风扇的电子部分测试和验证工作，确保设计满足技术要求。
5、负责电子零件的替代测试认证，编写测试报告，记录测试数据和结果，为产品替代提供依据。
任职要求：
1、硕士学历，电子工程、电气工程、自动化等相关专业。
2、熟悉电机类电子零件的基本原理及参数，测试方法。
3、熟练使用电子设计软件，如Altium Designer。

截止日期：2027年07月18日
招聘人数：5人",Designer,https://www.liepin.com/lptjob/84226403
高级电子工程师（电源产品研发）,新能源汽车已上市10000人以上,18-30k,深圳-龙岗区,深圳,硕士,应届,90天前更新,liepin,"比亚迪坚持以人为本的人力资源方针，尊重人，培养人，善待人，为员工建立一个公平、公正、公开的工作和发展环境！

任职要求：
1、电力电子与电力传动、电气工程、控制科学与工程及等相关专业，硕士、博士学历；
2、有1kW以上电源项目经验优先（服务器电源产品方面）。
3、掌握Buck、Boost、LLC、移向全桥等常用开关电源拓扑与解决方案；
4、具有丰富的功率管选型，磁性器件设计，PCB布板，散热设计经验；
5、熟练使用EDA软件（Altium、Cadence、mathcad、simetrix、matlab等）；
6、有高度的责任心，团队协作意识佳，具备较强的学习与独立解决问题的能力；
7、沟通能力良好，有一定抗压能力，有良好的计划性，能按时达成任务交付。

岗位职责：
1、负责UPS、服务器电源、储能逆变器等电子产品电源方案的总体设计；
2、负责原理图设计与电路参数计算，及磁性器件选型与参数设计；
3、主导样机的调试验证、设计优化，及研发、生产过程中相关问题的解决；
4、负责电源产品测试方案、用例编写及验证，完成电气、可靠性、EMC / 安规测试与问题整改。

截止日期：2026年07月31日
招聘人数：5人",MATLAB Boost LLC Altium Cadence EMC,https://www.liepin.com/lptjob/80248575
电子工程师助理,可素优品(佛山)健康科技有限公司,80-120元/天,佛山-南海区,佛山,本科,,90天前更新,liepin,"职位要求
1.电子、机电、通信相关专业毕业
2.精通C语言，能独立完成代码编写及调试
3.熟悉PCB设计流程和规范，有独立设计PCB的经验: 能够制作电路样板
4.熟练使用Keil、EDA、Altium Designed等软件;
5.对于研发流程比较熟悉，可以在较少指导下完成项目的设计:
6.具备良好的书面和口头的沟通能力。

岗位职责
1.负责公司旧产品代码维护及新产品代码编写、调试
2.负责公司产品电路部分设计、PCB制作及优化:
3.产品调试，与软件、结构、项目工程师配合进行调试工作:
4.进行产品的硬件测试和验证，技术文档编写:
5.在产品设计阶段配合生产部门进行可生产性的确认，并支持产品的生产转化;
6.物料选型和测试认证:
7.与各相关部门沟通配合，保证项目的顺利实施:
8.完成上级交办的其他事务。

招聘人数：2人",C语言 技术文档 产品设计 EDA Altium,https://www.liepin.com/lptjob/73420321
电子工程师实习生,安图生物,80-120元/天,郑州-经开区,郑州,本科,,90天前更新,liepin,"职责描述:
1、负责产品硬件及软件的调试，协助PCB绘制及嵌入式软件调试；
2、参与样板的调试、测试，利用开发工具测试与调试电路；
3、根据项目要求完成工作相关的开发文档编写，包括：生产工艺图纸、配线图、BOM表和控制图等；
4、对软件、结构设计人员提供硬件相关的技术支持；
5、对生产人员进行相关的技术指导和培训；
6、产品的转产和和文件资料的输出等工作。
任职要求:
1、本科及以上学历，电子、自动化相关专业；
2、熟悉数字电路、模拟电路，熟悉电子电路的调试，能够使用常用电子制图软件；
3、熟悉单片机C语言编程；
4、工作主动性强，耐心细致，有责任心，具备团队合作精神。

招聘人数：1人",单片机 C语言 文档编写 技术支持 培训,https://www.liepin.com/lptjob/69385313
电子工程师,上海英诺泰医疗设备有限公司,150-200元/天,上海-黄浦区,上海,本科,,90天前更新,liepin,"任职资格: 
1.精通电路设计、电磁兼容、测试性及可靠性相关理论知识；
2.能够独立开发设计PCB板、散热机构等，具有电路仿真及容差分析经验；
3.熟悉电子、电气、医疗器械类产品开发流程及相关电气安全标准
4.电子信息工程、信号与信息系统专业，具有本科、硕士以及外企或有海外工作经验者优先

岗位职责
1.提供项目研发设计的建议, 协助完成有源医疗器械研发项目，对研发产品进行电子单元件特性分类，确定关键件、重要件
2.依照产品要求及相关法规标准进行电路设计，制定测试方案，对产品的设计文档负责
3.搭建电路试验平台，对需要采购的零件进行机械、电路、软件控制的测试和应用
4.与国内外高校，科研院所、厂家建立合作关系
5.协助查询国内外专利，编写研发专利

招聘人数：2人",采购 专利,https://www.liepin.com/lptjob/56380893
汽车电子工程师(车载电源)--2026校招,浙江吉利控股集团,10-20k·13薪,无锡-惠山区,无锡,本科,应届,5月22日更新,liepin,"职位介绍：
1.负责车载DCDC、OBC等电源产品的硬件需求分析和硬件方案设计
2.负责车载电源产品的电路拓扑设计、磁性元件与功率器件选型、电路仿真优化、原理图设计、PCB设计、硬件测试以及设计评审等开发工作
3.负责车载电源产品的硬件功能安全设计。
4.负责车载电源产品开发阶段的文档编写，包括设计说明书，计算书，WCCA，DFMEA，测试报告等，总结硬件测试问题及整改经验

任职要求
1.工科背景，有电路设计课程相关专业，本科或以上经历，留学背景
2.有电源/逆变器/汽车电子相关项目实践经验优先
3.具备专业英语基础，口语可熟练交流,有海外留学经验优先

截止日期：2026年10月08日
招聘人数：5人",需求分析 方案设计 文档编写 WCCA DFMEA,https://www.liepin.com/lptjob/77607183
汽车电子工程师,上海禾骋科技有限公司,7-10k,上海-宝山区,上海,本科,应届,6月15日更新,liepin,"岗位职责：

1.根据整车电子电器功能需求，制定系统级电子电气架构的解决方案，明确功能接口

2.根据整车架构方案，设计子系统方案并编写子系统规范，设计系统间接口

3.制定CAN/LIN/ETH总线通信相关标准及总线通信信号确认



任职要求：

1.车辆工程、计算机、自动控制、通信、电气等相关专业，本科及以上学历

2.有较强的学习能力，并善于发现问题、解决问题

3.具备良好的沟通协调能力和组织能力，有团队协作精神

4.热爱汽车行业，有志从事汽车设计工作

5.需要具备流利的英语口语、良好的听力和阅读能力、熟练的写作能力

截止日期：2027年04月30日
招聘人数：2人",CAN LIN,https://www.liepin.com/lptjob/66600007
