job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
硬件制造工程师,泰瑞通(厦门)电子有限公司,8-12k·13薪,厦门-湖里区,厦门,学生可投,经验不限,7月23日更新,liepin,"任职要求
1.电气、机械、制造、自动化、电子等相关工科专业背景、工科本科及以上学历或同等学历。
2.具备制造工程 / 产品工业化相关岗位工作经验。
3.熟练使用英语、中文开展工作沟通。
4.熟悉硬件整机生产制造工艺流程；
5.具备机电一体化相关专业技术能力；
6.能够看懂并解读工程图纸、规格技术文件；
7.具备编制生产工艺文件、制定工艺标准相关经验；
8.具备良好信息化基础，使用过 ERP、MRP、MES、PLM 等工业系统；
9.优秀问题解决能力，擅长开展根本原因分析。
岗位职责
1.负责新产品导入、样机制作、试产及产能爬坡全流程支持；
2.编制、落地并持续优化生产制造工艺、作业指导书及各类生产文件；
3.联动研发部门，从制造装配效率角度参与产品可制造性设计评审；
4.运用机电专业知识，支撑产品工业化开发与量产工作；
5.排查生产、质量、工艺类异常问题，并推动落实改善对策；
6.统筹工程变更，保障变更方案在产线平稳落地执行；
7.制定生产设备、工装、治具及工艺相关技术需求标准；
8.运用信息化系统与数字化工具，完成工艺落地、数据分析与持续改善工作；
9.主导围绕品质、产能、成本、生产效率的各类改善项目；
10.为生产及各跨职能团队提供技术支持与技能培训。
上班时间
1.上班时间 8:30-17:00，周末双休。
薪资福利
1.月薪（8K-12K），缴纳五险一金。
2.吃饭提供餐补。
3.年终13薪，年终奖金。",数据分析 技术支持 培训 ERP MRP MES PLM,https://www.liepin.com/job/1983961035.shtml
电子硬件工程师实习生,时驾科技,150元/天,上海-闵行区,上海,本科,,6月30日更新,liepin,"岗位职责 
1. 硬件测试执行（70%） 协助硬件工程师搭建测试环境，准备测试工装、仪器设备及测试用例 独立执行汽车电子控制器（ECU）的功能测试、电源测试、高低温测试、EMC 摸底测试等基础测试工作 严格按照测试规范记录测试数据，整理测试报告，清晰标注异常现象及问题点 跟踪测试问题的闭环过程，协助工程师复现、定位硬件故障 维护测试设备及工装，定期进行校准和保养，确保测试环境稳定
2. 样件调试与支持（20%） 协助完成硬件样件的手工焊接、组装及初检工作 配合硬件工程师进行样件调试，记录调试过程中的参数及现象 协助处理样件打样、贴片过程中的对接及物料跟进工作 参与 PCB 打样后的上电验证及基础功能检查
3. 研发辅助工作（10%） 整理研发文档、BOM 清单、元器件规格书等技术资料，建立统一的文档管理体系 协助维护元器件样品库及测试用例库 配合软件工程师进行硬件联调，提供必要的硬件支持 完成部门安排的其他研发辅助工作 
 任职要求：
1.本科及以上在读学生，电子信息工程、自动化、电气工程、车辆工程等相关专业 
2.掌握基础电路原理，了解电阻、电容、二极管、三极管、MOS 管等常用电子元器件的工作原理 
3.能熟练使用万用表、示波器、直流电源等基础硬件测试工具 
4.具备基础的手工焊接能力，能独立完成常规元器件的焊接
5.了解 Cadence Allegro/Altium Designer 等 PCB 设计软件的基础操作优先
6.有电子竞赛、课程设计或相关实习经验者优先 
 你将获得： 
1.汽车电子行业资深工程师一对一带教，系统学习汽车级 PCB 设计全流程与行业标准 
2.接触行业前沿的汽车电子硬件技术，全程参与真实量产项目
3.和谐友好的团队氛围，尊重个人发展需求
4.与500强工作背景、行业大牛的同事们共事陪伴你共同成长进步 
5.表现优秀者可获得转正机会

截止日期：2027年05月15日
招聘人数：1人",测试用例 功能测试 ECU EMC PCB BOM MOS Cadence,https://www.liepin.com/lptjob/82567725
硬件工程师实习生,聆为技术,100-150元/天,杭州-萧山区,杭州,本科,,6月12日更新,liepin,"硬件工程师（实习）
岗位职责（实习生）：

协助设计：在指导下，参与硬件原理图设计、PCB Layout检查及BOM整理，协助完成元器件选型与封装库维护。
调试支持：协助进行硬件单板的功能测试与信号测试，使用示波器、万用表等工具采集数据，记录测试结果。
文档撰写：协助编写硬件测试报告、设计说明文档及生产支持文件，确保文档的规范性与准确性。
问题排查：配合研发工程师复现并分析硬件Bug，协助定位电路故障（如虚焊、短路、信号异常等）。
跨部门协作：配合FPGA逻辑工程师及软件工程师进行板级联调，完成上级交办的其他研发辅助工作。

任职要求（实习生）：
教育背景：电子工程、通信工程、自动化、微电子等理工科专业，本科大三及以上或研究生在读。

基础知识：
扎实的模拟/数字电路基础，能看懂电路原理图；
了解信号完整性（SI）基本概念（如阻抗匹配、串扰）；
了解FPGA基本工作流程及常见接口（SPI/I2C/UART）。

工具技能：
熟悉EDA工具 Altium Designer
能熟练使用示波器、信号发生器、频谱仪等实验室仪器。

加分项（满足其一）：=
参加过电子设计竞赛（如电赛、智能车、集创赛）并有获奖经历；
有PCB Layout实际绘制经验，并有板子打样、焊接、调试经历；
了解ARM/DSP嵌入式硬件架构，或有Linux系统使用经验。

综合素质：
具备较强的动手能力和问题解决能力；
做事严谨细致，有较好的文档编写习惯；
积极主动，乐于钻研技术难题，具备良好的团队协作意识。

培养与发展：
接触从原理图到量产的全流程硬件开发实战；
资深硬件工程师带教，深入理解高速信号与电源完整性设计；
表现优异者可获得转正留用资格。

截止日期：2027年06月12日
招聘人数：1人",FPGA SPI I2C UART ARM DSP Linux 功能测试 跨部门协作 文档编写,https://www.liepin.com/lptjob/83394839
硬件工程师助理（电源类）,深圳市优联电气技术有限公司,7-8k,深圳-南山区,深圳,本科,应届,7月27日更新,liepin,"（一）岗位职责：
1.	协助硬件工程师完成电源类产品开发工作；
2.	协助硬件工程师完成原理图核对、PCB Layout辅助检查、BOM表整理、物料清单核对等基础研发工作；
3.	负责硬件样品的焊接、组装、功能调试及基础性能测试；
4.	参与硬件产品量产前的试产跟进，协助处理产线反馈问题，进行不良品分析与简单故障排查；
5.	配合完成硬件测试工作，协助处理测试过程中的异常情况；
6.	完成上级安排的其他硬件技术任务、项目跟进及日常事务工作。

（二）任职要求：
1.	本科及以上学历26届毕业生，电子信息工程、电气工程、自动化、通信工程、机电一体化等电子相关专业；
2.	熟悉基础电子电路知识，了解电阻、电容、电感、二极管、三极管、MCU、电源芯片等常用元器件特性；
3.	熟悉主流拓扑方案，了解BUCK、BOOST、反激、LLC、有桥PFC、图腾柱PFC、三相全桥、T型三电平、I型三电平中一种或多种拓扑 ；
4.	能进行简单的电路计算和参数计算；
5.	熟练使用电烙铁、热风枪、万用表、示波器、电源等基础硬件调试工具，具备手工焊接贴片元器件的能力；
6.	具备硬件开发或相关工作经验，能看懂基础电路原理图及PCB图纸，会使用Altium Designer等设计工具者优先。
7.	应届毕业生在校有电子竞赛、硬件项目实训、电路板制作相关经历者优先。
 

截止日期：2027年05月29日
招聘人数：1人",MCU 性能测试 故障排查 PCB BOOST LLC,https://www.liepin.com/lptjob/82992291
硬件工程师助理,深圳市幻海科技有限公司,3-7k,深圳,深圳,学历不限,应届,90天前更新,liepin,"职责描述：
1、配合硬件工程师进行新方案的、测试、调试工作；
2、能在硬件工程师的指导下完成BOM整理、样机调试、测试，报告整理等工作；
3、转产指导、试产、量产的技术支持；



任职要求：
1、中专以上学历，有电子产品硬件开发经验者优先
2、熟悉电子产品的设计与生产流程，能熟练掌握元器件焊接技能以及基本的仪器操作；
3、具备较强的沟通能力、团队合作能力；
4、热爱本职工作，有严谨的工作态度和良好的职业道德。

招聘人数：5人",技术支持,https://www.liepin.com/lptjob/45224291
硬件测试工程师（医疗影像方向）,专业技术服务100-499人,8-12k,上海-徐汇区,上海,本科,应届,5月26日更新,liepin,"岗位职责
负责智能系统硬件设计的全流程测试验证，包括原型机调试、硬件模块测试、整机集成测试及量产前可靠性验证，确保硬件性能、稳定性和可生产性。
1.	硬件单元测试
1)	根据硬件设计方案，制定单板及模块测试计划与用例，完成电源、时钟、接口（MIPI/USB/I2C/SPI等）、传感器等关键模块的功能测试和性能评估。
2)	使用示波器、逻辑分析仪、万用表等仪器进行信号完整性测试，协助硬件工程师定位并解决问题。
2.	系统集成测试
1)	参与整机硬件系统集成测试，验证各模块（图像采集、主控SoC、通信接口、电源管理）协同工作的稳定性和兼容性。
2)	配合嵌入式软件团队完成驱动与底层固件的联调测试，确保软硬件交互的可靠性。
3.	环境与可靠性测试
1)	按照医疗设备相关标准，设计并执行环境适应性测试（高低温、湿度、振动、EMC等），验证硬件在预期使用环境下的性能和寿命。
2)	记录测试数据，编写测试报告，跟踪问题闭环，为硬件迭代提供依据。
4.	量产导入支持
1)	参与试产阶段的首件验证和抽检，协助产线搭建测试工位，编写量产测试指导文档。
2)	分析量产过程中出现的硬件不良问题，协同研发和品质团队进行根因分析并推动改善。
________________________________________
任职要求
1.	教育背景
1)	电子工程、通信工程、自动化、生物医学工程等相关专业本科及以上学历（优秀应届生可投递）。
2.	专业技能
1)	熟悉模拟/数字电路基础知识，能看懂原理图和PCB设计。
2)	了解常用硬件接口（I2C、SPI、UART、USB、MIPI等）及其测试方法。
3)	熟练使用示波器、信号发生器、万用表等常用测试仪器。
4)	掌握基本的焊接技能，能够完成样板的手工焊接与调试。
3.	项目经验（应届生可包含实验室/竞赛/毕业设计）
1)	有硬件设计或测试相关项目经验，参与过单片机/嵌入式系统开发或调试者优先。
2)	有传感器（图像传感器、温度传感器等）调试经验者优先。
3)	了解EMC测试标准或有相关实验室经历者加分。
4.	综合素质
1)	细心、耐心，具备良好的问题分析和定位能力。
2)	有较强的学习意愿，能够快速掌握新工具和新方法。
3)	良好的沟通能力和团队协作意识，能与硬件、软件工程师有效配合。
4)	具备一定的文档编写能力，能清晰记录测试过程和结果。
________________________________________
加分项
•	有医疗器械硬件测试实习经验，了解ISO13485或IEC60601相关标准。
•	熟悉Python或LabVIEW，可编写自动化测试脚本。
•	参与过电子设计竞赛（如全国大学生电子设计竞赛）并获奖。
•	了解信号完整性基础知识，有高速信号测试经验。

 

截止日期：2027年03月11日
招聘人数：1人",I2C SPI UART 单片机 Python 测试计划 功能测试 文档编写 自动化测试,https://www.liepin.com/lptjob/80833881
实习硬件工程师,景嘉微,120-200元/天,长沙-岳麓区,长沙,本科,,90天前更新,liepin,"1、能熟练使用cadence、office、Excel等办公软件；
2、协助硬件工程师完成硬件开发、调试及测试；
3、根据要求编写技术文档，并按计划完成任务目标；
4、完成领导交办的其他任务。
要求：
1、可以长期实习的学生（至少可以实习6个月以上），大学本科及以上学历，通信、电子、自动化等相关专业； 
2、熟悉模拟电路、数字电路设计，熟练掌握原理图、PCB生成工具，有过硬件调试经验者优先； 
3、有硬件设计和开发经验，或者参加过相关竞赛者优先； 
4、具备较强的沟通表达能力、具备良好的需求、问题分析能力及文档写作能力，具备团队合作精神。

招聘人数：1人",技术文档,https://www.liepin.com/lptjob/61995353
助理硬件工程师,通信设备10000人以上,200元/天,武汉-江夏区,武汉,华为,,90天前更新,liepin,"职责描述：
主要从事网络产品的单板硬件开发：
1、从事单板硬件开发，协助工程师画原理图
2、从事逻辑开发，协助工程师调试CPLD或者FPGA
3、从事信号完整性方面测试，协助工程师完成信号完整性测试
4、及时发现硬件测试工作中不合理的地方，并及时和硬件工程师或者硬件经理沟通

任职要求：
1、电子、通信等相关专业，硕士研究生及以上学历（23年毕业） ；
2、熟悉数字电路和模拟电路，对电子设计兴趣，且具有一定的电路设计、分析能力；
3、熟悉CPU的体系结构和工作原理；
4、熟悉Verilog编程语言，能动手写FPGA、CPLD代码（加分项）
5、能熟练阅读和理解Datasheet英文资料；
6、工作严谨细致，有责任心者；善于思考，动手能力强，能主动沟通，具有良好团队意识

招聘人数：5人",FPGA Verilog,https://www.liepin.com/lptjob/46715007
助理硬件工程师（实习）,玄宇医疗,180-200元/天,上海-浦东新区,上海,本科,,7月3日更新,liepin,"岗位职责：
本岗位聚焦心脏三维标测系统三类有源医疗器械硬件研发落地，全程协助正式硬件工程师开展产品样机迭代、性能验证与临床前置实验工作。
1. 硬件系统搭建与样机调试辅助；
2. 硬件测试与数据整理；
3. 动物实验全程辅助支撑；
4. 研发资料与合规辅助；
5. 日常研发支撑工作。
任职要求
1. 专业学历：电子信息、电气工程、自动化、生物医学工程、测控技术等相关专业，本科及以上在读学生，大三、大四、研究生优先。
2. 专业基础：掌握基础模拟电路、数字电路、电源电路知识，了解信号采集、电路调试基本原理，有硬件焊接、样机调试经验者优先；了解医疗器械、电生理设备、三维标测设备者加分。
3. 技能能力：熟练使用万用表、示波器、电源、信号发生器等基础硬件测试工具；会使用Altium Designer等硬件设计软件者优先，具备基础数据整理、文档撰写能力。
4. 素质要求：做事严谨细致、责任心强，具备良好的动手能力和执行力，能接受实验室调试、动物实验现场工作，善于沟通配合团队完成研发任务。
5. 其他：态度端正、热爱硬件研发，愿意深耕医疗器械硬件领域，能稳定实习、快速到岗者优先。

截止日期：2027年07月03日
招聘人数：1人",合规,https://www.liepin.com/lptjob/83894393
硬件工程师助理,华勤技术,200元/天,东莞-松山湖,东莞,硕士,,6月25日更新,liepin,"1、协助硬件工程师开展笔记本电脑整机硬件研发、调试、验证、量产跟进工作，涵盖主板、接口、外设等信号完整性相关内容；
2、协助硬件电路测试、波形抓取、电性能验证、整机功能可靠性测试，并整理测试数据；
3、协助跟进HDMI、USB、Type-C、音频等外设电路调试，协助解决整机硬件兼容性、功能性问题；
4、协助整理硬件规格书、原理图、BOM、测试报告、量产问题闭环文档；
5、协助跟进工厂试产、量产不良问题分析（FA），配合团队完成硬件优化、改版验证；
6、完成上级安排的其他硬件研发辅助工作；
7、4个月以上，可全职实习，长期实习优先，表现优异可转正；


截止日期：2027年06月25日
招聘人数：2人",USB Type-C BOM FA,https://www.liepin.com/lptjob/83709271
