job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
系统工程师-航空测控系统,翱坤科技,15-25k·13薪,上海-松江区,上海,统招本科,3-5年,今日更新,liepin,"岗位职责：
1.负责设计航空测控系统集成与验证环境解决方案，包括客户需求解读与技术可行性论证、系统架构设计与接口规范定义等，同时需要平衡解决方案的技术有效性与市场竞争中的经济性。
2.作为航空测控系统集成管理团队的技术代表，负责与项目经理、客户、供应商、以及软硬件工程师的技术沟通、协调、任务安排以及确认工作。
3.负责编制测控系统需求规范，建立需求确认与验证矩阵，制定系统开发计划。
4.主导测控系统集成与验证工作，制定系统集成计划，确保开发活动技术正确性，递交物的完整性。
5.主导专业技术研究和关键技术攻关，推进技术成熟度提升和技术成果转移转化。
6.参与基于模型的系统工程方法应用研究，支持仿真建模、工具链开发等工作。
7.参与测控系统组织的研发体系优化与流程建设。
8. 编写交付用户的技术文档，包括系统使用手册、系统维护手册等交付文档。
任职要求：
1.本科及以上学历，3年以上工作经验，航空航天工程、系统工程、计算机、通信工程、自动化、计算机等相关专业，具备扎实的专业理论基础知识。
2. 有航空航电相关领域工作经验，或者车载产品设计，熟悉航电系统架构、数据采集与处理、嵌入式系统开发以及实时操作系统的工作原理。
3. 熟悉机载航电测试验证环境，例如FMS、FCS、IMA、大气机、综合监视等系统验证环境。
4. 具有ARP4761、ARP4754等全生命周期适航标准工作的实施经验者优先。
5. 具备民机航电系统研发、适航经验、机载软件或硬件设计经验者优先。
6. 有开发集成与验证测试脚本，具备一定的软件编程能力。
7. 熟悉航空总线协议（A664/A429/A825/1553B）者优先。
8. 具备优秀的适应能力和灵活性，能够接受频繁及长期出差的工作安排。
9. 出色的学习能力与成长潜力，能够快速掌握新知识并应用于实践。
10. 严谨的逻辑思维能力，善于系统化分析问题并制定解决方案，具有探索未知领域的勇气和气概。
11. 为人正直诚信，结果导向，能够在高压力环境下完成既定任务。
12. 良好的沟通能力，出色的客户协调技巧，并有较强的团队协作精神。",技术文档 产品设计 数据采集 FCS IMA A664 A429 A825,https://www.liepin.com/job/1984407741.shtml
储能/汽车空调冷水机系统工程师,正扬科技,20-30k,东莞-黄江镇,东莞,本科,5年以上,7月24日更新,liepin,"岗位职责：
1.负责水冷机组整机布置方案规划、三维建模、间隙及干涉校核，优化管路、支架、核心零部件集成布局，输出图纸、BOM及配套技术规范；
2.协同CAE、性能工程师完成仿真校核，编制DFMEA，前置规避热辐射、管路共振、装配干涉等布置类风险；
3.跟进样机试制、整车搭载及可靠性试验，快速处置现场装配、管路、热防护问题，实现问题闭环整改；
4.统筹布置类项目全周期进度，协调内外部资源保障节点交付；负责量产及售后技术支持，复盘优化方案，参与布置标准规范搭建。

岗位要求
1.本科及以上学历，车辆工程、机械设计、热能动力、新能源汽车等相关专业；
2.有5年以上新能源水冷机组热管理布置开发经验，熟悉制冷/热管理原理，如压缩机、冷凝器、蒸发器、膨胀阀、水泵、热集成模块等部件工作原理，熟悉水冷机组总布置标准，如软管弯曲半径、隔振要求、NVH约束、与运动件间隙等；
3.熟练使用三维设计软件，可独立完成2D/3D制作并完成报价BOM输出；
4.精通水冷机组原理，有扎实的材料力学、结构力学、工程热力学的知识；
5.有储能或商用车热管理布置经验者优先。

 ",技术支持,https://www.liepin.com/job/1983983419.shtml
系统工程师,澳多科技,15-25k,中山,中山,大专,3年以上,7月28日更新,liepin,"1、负责根据利益相关方需求转化为内部需求，输出需求文档，指导软硬件开发；
2、负责SAD、DFMEA、功能安全 TSC、网络安全 TARA/概念设计；
3、负责与客户进行技术沟通交流；
4、协助项目负责人处理样品交付事宜、分析客户问题以及进行成本管理。
资格要求：
1、自动化/汽车/通信/电子/软件领域优先考虑；
2、硬件/软件设计背景，如果具备车辆电子功能设计方面的知识则更佳，例如车身控制、门控、座椅控制、阀门控制、热管理等；以及工业/汽车总线技术，如 CAN、LIN、ETH 等；
3、汽车电子行业开发经验3年以上; 
4、熟悉ASPICE开发流程、ISO26262、ISO21434；
5、具备英语交流能力优先考虑。",CAN SPI DFMEA TSC TARA LIN ETH ISO26262,https://www.liepin.com/job/1984445149.shtml
系统测试工程师,某西安大型计算机硬件公司,10-15k,西安,西安,统招本科,1-3年,6月24日更新,liepin,"岗位职责：
1.负责硬件设备与系统级产品的测试验证，主导测试全流程，包括需求分析、测试计划制定、用例设计、执行、跟踪与回归验证。
2.独立编写高质量、可复用的测试用例、测试脚本（C/Python）及测试程序，并输出规范的测试报告与文档。
3.熟悉常见硬件接口与总线协议（如UART、I2C、SPI、CAN、Ethernet等），能基于协议进行接口测试、通信测试与故障排查。
4.熟悉嵌入式软件/驱动测试方法，具备基本的嵌入式开发能力，可参与底层驱动或固件的白盒/集成测试。
 
任职要求：
1.教育背景：本科及以上学历，电子、通信、计算机、自动化等相关专业。
2.工作经验：3年以上硬件产品或嵌入式系统测试经验，具有完整的产品测试验证经历。",Python UART I2C SPI CAN 需求分析 测试计划 测试用例 故障排查,https://www.liepin.com/a/77117313.shtml
系统工程师（autosar软件）,某苏州专业技术服务公司,15-30k·16薪,苏州-相城区,苏州,本科,3-5年,7月14日更新,liepin,"系统工程师（autosar软件）

主要职责：
负责客户需求调研、分析；
负责系统需求定义、功能分配、接口定义及方案架构设计；
负责编写流程和相关需求文档；
负责系统 FMEA 分析；
负责系统层面技术问题分析与解决；
按照 ASPICE 管理流程要求，完成系统需求变更控制和管理；
学历与专业要求：
学历：大学本科及以上学历；
电力电子、电气工程、软件工程、自动化相关专业；

工作经验要求：
从事汽车嵌入式系统开发 3 年以上；
具有一定的电控产品开发经验；
具有一定功能安全和 ASPICE 相关经验；
相关知识技能要求：
熟练使用 DOORS 等需求开发软件；
熟悉 Autosar 软件系统架构及开发方法；
了解功能安全、ASPICE 开发管理流程；
熟悉相关行业标准，对汽车电控产品的主要功能和软件架构具有深入理解及应用经验；
熟练使用 Word、Excel、Project、PPT 等各种办公软件；
良好的英语读写能力，良好的沟通协作能力；
具备良好的团队合作精神、有强烈的上进心，善于学习和沟通；",SPI FMEA ASPICE DOORS Autosar Word Excel Project,https://www.liepin.com/a/77872571.shtml
SE系统工程师,工业自动化B轮1000-2000人,20-40k,西安-高新区,西安,本科,3-5年,6月24日更新,liepin,"岗位职责：
1. 面向目标行业客户开展需求调研，梳理典型作业场景、用户流程、交付成果、痛点问题和采购决策因素。
2. 支持预研产品的应用场景验证，包括方案设计、样机测试、现场演示、数据效果评估和客户反馈收集。
3. 协同产品、研发、测试团队，将客户需求转化为功能需求、性能指标、体验优化建议和场景化验证标准。
4. 参与竞品和行业方案分析，输出差异化卖点、应用边界、目标客户画像和商业化建议。
5. 支持销售或业务团队完成早期客户技术交流、方案说明、试点项目推进和技术答疑。
6. 建立预研阶段的标准化测试流程、演示流程、客户反馈表、问题清单和项目复盘机制。
7. 跟进样机在客户现场的使用情况，定位并推动解决设备、软件、数据、流程等方面的问题。
8. 沉淀内部资料，包括场景方案、培训材料、FAQ、测试报告、客户案例和阶段性总结。

任职要求：
1. 全日制本科及以上学历，测绘、地理信息、光电、自动化、电子信息、机械、计算机、机器人等相关专业优先。
2. 至少3年售前技术、解决方案、系统工程、FAE、产品应用工程或技术支持经验。
3. 熟悉三维激光扫描、LiDAR、点云数据、影像采集、测量精度、扫描视场、站点作业流程等基础概念。
4. 了解至少一类相关技术：点云处理、SLAM/三维重建、RTK/GNSS、IMU、相机赋色、激光测距、电机控制、嵌入式设备、无线通信。
5. 熟悉智能硬件或系统型产品从需求调研、样机验证到客户试点的基本流程。
6. 具备较强的客户沟通能力，能准确识别真实需求，并将现场反馈转化为清晰、可执行的产品建议。
7. 具备基础问题排查能力，能协同研发定位硬件、软件、数据链路、操作流程等综合问题。
8. 具备良好的文档能力，能独立输出技术方案、测试报告、客户反馈、竞品分析和项目复盘。
9. 逻辑清晰，主动性强，能适应预研项目的不确定性和快速迭代节奏。
10. 能接受一定频率出差，支持客户现场调研、测试和演示。

加分项：
1. 有三维感知、测绘设备、智能装备、机器人、工业数字化、建筑/工厂/空间数据采集等相关经验。
2. 有从0到1新产品验证、样机试点、标杆客户共创经验。
3. 具备英文技术沟通能力，可支持海外客户或合作伙伴交流。",LiDAR SLAM 采购 方案设计 培训 技术支持 客户沟通 技术方案 竞品分析 数据采集,https://www.liepin.com/job/1983663997.shtml
MES/ERP系统工程师（韩语）,商丘星林电子产业有限公司,6-15k,商丘-梁园区,,统招本科,3年以上,7月24日更新,liepin,"职位名称： MES/ERP系统工程师（韩语）
工作地点： 河南省商丘市城乡一体化示范区宋城东路1号

【岗位职责】
编制中韩双语技术文档，与韩国总部/韩方工程师进行日常技术会议沟通及汇报。
负责公司MES（制造执行系统）及ERP系统的建设、二次开发及模块优化、日常运维，确保生产数据实时准确；
深入生产现场，负责设备底层数据采集（IOT），包括但不限于PLC编程联动、OPC-UA/Modbus等工业协议的配置与调试；
针对工厂的智能制造转型需求，参与数字化工厂的系统架构设计及落地实施；
响应并解决MES系统在生产现场（POP/工位终端）出现的突发故障，保障产线正常运转；
【任职要求】
一、语言能力：
韩语精通，可作为工作语言进行无障碍的技术交流与书面报告（TOPIK5-6级优先）；
二、专业经验要求：
核心经验：
具备3年以上MES（或POP制造执行终端）系统实施、维护经验；
具备3年以上ERP系统（如SAP、Oracle、TrouDigital等）系统实施、运维经验；
自动化经验：
熟悉现场设备数据采集方案，有PLC（如西门子、三菱、LS产电等）联动调试经验；
了解工业物联网协议（如OPC-UA、Modbus TCP/IP等）者优先；
专业背景：
计算机、自动化、电子信息、工业工程等相关专业本科及以上学历；
3年以上制造业信息化或自动化相关工作经验。
年龄25-40周岁
三、加分项
持有MES实施工程师相关认证，或有完整的MES从0到1上线实施项目经验；
拥有智能制造/数字化工厂整体架构设计及运行管理经验；
了解工业机器人、SCADA系统或大数据分析在制造业的应用。
【薪资范围】
薪资范围6K-15K。‌",Modbus Oracle Git TCP/IP 技术文档 数据采集 数据分析,https://www.liepin.com/job/1983798479.shtml
BMS系统工程师,新能源500-999人,35-45k·13薪,深圳-宝安区,深圳,本科,3年以上,7月22日更新,liepin,"【工作职责】
负责超级电容储能系统CMS（Capacitor Management System，电容管理系统）的端到端硬件与软件系统开发工作，涉及储能、AiDC、高压级联等场景方向。
1、负责CMS产品短期与中长期规划与落地；
2、负责CMS系统需求分析分解、总体设计方案设计、系统架构搭建与统筹协调软硬件开发并解决产品问题；
3、负责CMS控制策略、SOX算法以及本地运维服务器平台制定与开发；
4、负责CMS系统层面的功能安全开发、FMEA、FTA、特殊特性设计与产品认证以及产品资料编制。

 【岗位要求】
1、本科以上学历；
2、3年以上储能BMS系统开发经验。",需求分析 方案设计 Capacitor AiDC FMEA FTA,https://www.liepin.com/job/1984313333.shtml
人形机器人系统工程师（整机方向）,某上海大型智能硬件/消费电子公司,30-55k·15薪,上海,上海,学历不限,经验不限,5月15日更新,liepin,"位职责
系统架构设计与落地：负责人形机器人整机系统架构规划与设计，涵盖硬件（控制器、传感器、关节模组、算力单元）、软件（ROS2/Linux、驱动、中间件）、通信（DDS/EtherCAT）及算法集成，输出系统方案、接口规范与技术评审文件。
整机集成与联调：主导机器人从模块到整机的端到端集成，打通感知、决策、控制、执行全链路；统筹跨团队联调（算法、硬件、嵌入式、测试），定位并解决系统级瓶颈（实时性、稳定性、时延、算力占用）。
核心模块与中间件开发：基于 ROS2/DDS 设计开发通信中间件、数据同步框架与设备管理服务；负责传感器（RGB-D、激光雷达、IMU、力矩传感器）驱动适配、数据融合与时间同步；开发整机状态监控、故障诊断与 OTA 升级系统。
系统性能与实时性优化：针对分布式控制系统的软 / 硬实时需求，优化调度策略、通信 QoS、内存管理与多线程并发；保障运动控制回路（1kHz+）、感知数据链路（100Hz+）的稳定性与低时延。
任务逻辑与应用工程化：协同算法团队将全身控制（WBC）、模型预测控制（MPC）、步态规划等策略转化为工程代码；设计非结构化环境下的任务执行逻辑（抓取、搬运、人机交互），推动场景化功能落地。
测试验证与质量保障：搭建整机系统测试框架（仿真 + 实机），制定性能、可靠性、安全性测试规范；主导关键场景验证，输出测试报告与优化闭环，支撑量产交付。
技术预研与标准化：跟踪人形机器人前沿技术（具身智能、强化学习、灵巧操控），开展关键技术预研；推动系统组件标准化、接口统一化，沉淀设计文档、工具链与实践。

任职要求
学历与专业：硕士及以上学历，计算机、自动化、控制科学、电子工程、机器人工程等相关专业。
工作经验：3 年以上机器人（人形 / 腿足 / 机械臂）、自动驾驶、工业自动化或复杂机电系统研发经验，有整机系统集成落地经验优先。
核心技术能力
精通C++14/17/20与 Linux 系统编程，熟悉 Python/Shell 脚本，具备扎实的软件工程能力。
深入掌握ROS1/ROS2架构与核心原理，熟练使用 DDS（RTPS）、QoS 配置、节点通信、TF 变换、URDF 建模。
熟悉实时系统开发（RTOS/Preempt-RT）、多线程 / 并发编程、零拷贝技术，有硬实时控制回路开发经验优先。
掌握常用通信协议：EtherCAT、CANopen、TCP/UDP、串口，有分布式控制系统开发经验优先。
系统思维与工程能力：具备整机系统视角，能拆解复杂问题、统筹跨团队协作；熟悉系统建模、仿真工具（如 Gazebo、Webots），有性能调优与故障排查经验。
职业素养：自驱、抗压，适应快节奏研发；良好的沟通能力与文档习惯，能输出高质量设计与技术文档。",ROS Linux 分布式 C++ Python Shell RTOS CAN 故障排查 技术文档,https://www.liepin.com/a/75701749.shtml
智能网联产品系统工程师,互联网500-999人,15-25k·13薪,南京-江宁区,南京,统招本科,3-5年,6月29日更新,liepin,"职责描述：
1、负责智能网联产品开发，包括产品功能定义，硬件选型、技术需求澄清、产品功能验收；
2、负责网联终端与整车电控、发动机动力系统的协同测试，开展实车测试验证；
3、负责售后问题排查分析，牵头问题解决及技术方案优化。

职位要求：
1、熟悉CAN协议，了解UDS诊断、刷写流程，可熟练使用CANoe等测试工具进行CAN数据采集和故障数据诊断分析；
2、在主机厂或Tier1有智能网联产品开发经验，有硬件产品量产经验；
3、熟悉整车智能网联控制器功能定义及功能交互逻辑，如远程控车、远程锁车、OTA升级，能独立牵头设计系统方案；
4、了解乘用车/商用车电子电气架构；
5、有良好的组织协调能力、沟通和学习能力，有较强的文档编写能力。",CAN 技术方案 数据采集 文档编写,https://www.liepin.com/job/1983410597.shtml
