job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
存储芯片测试工程师,深圳市宏祺芯科技有限责任公司,15-45k,上海-浦东新区,上海,硕士,3-5年,今日更新,liepin,"工作职责：
1. 负责先进存储产品用户手册的验证和产品的测试功能验证，定义测试验证的流程，负责测试程序的开发。包括使用泰瑞达、爱德万等ATE厂家的机台，如MagnumV，T5832等进行基于C/C++语言的程序开发 
2. 通过电失效分析，设计电路分析，物理失效分析，数据分析，固件（FW）设计分析等手段定位产品失效的原因，并协同memory研发团队、FW研发团队、系统级验证团队等找到产品失效的根本原因和解决方案 
3. 直接主管或管理团队安排的其它工作任务，包括但不限于emerge memory产品测试开发验证开发、数据处理脚本的开发等 
4.负责开发测试程序，通过FPGA测试平台根据规格分析芯片性能。 
5.测试代码开发和调试，新平台的代码移植。 
6.负责数据分析，问题解决，测试改进。 
7.具有ONFI/Toggle协议领域知识和相关经验者优先。 

任职要求： 
1. 硕士学历，3年经验；本科学历，5年经验
2. 有C/C++/Python等编程经验，有MagnumV，T5832等ATE测试机台相关经验优先； 
3. 熟悉半导体测试产品的原理和测试机理 
4. 熟悉存储产品的功能、性能和可靠性指标； 
5. 有存储器件设计验证背景的优先，包括NAND flash memory、变相存储器、DRAM等 
6. 有较强的沟通能力和团队合作精神，有较强的逻辑分析能力和处理问题能力
",C++ FPGA Python 数据分析 FW,https://www.liepin.com/job/1975181679.shtml
模拟芯片设计（工程师/高级/资深）,成都星拓微电子科技股份有限公司,薪资面议,南京-浦口区,南京,统招本科,经验不限,今日更新,liepin,"岗位职责：

1、根据客户需要理清模块需求规格，独立开发有难度的模拟模块电路。
2、独立完成仿真用例制定，并完成testbech设计和完备性仿真验证。
3、指导版图工程师完成关键模块的版图设计。
4、完成模块详细设计文档和仿真review报告。
5、制定测试用例，指导测试工程师完成芯片测试验证工作，独立完成测试问题Debug分析。
任职要求：
1、本科及以上学历，微电子、集成电路工程、电子信息类等相关专业。
2、2年以上模拟芯片设计经验，有多个产品成功量产经验。
3、熟悉ADDA/Clock/Serdes/DDR/LPDDR/PMIC/Chiplet PHY/MIPI PHY/PCIe PHY/USB/Sensor读出电路等各类数模芯片或IP的基本模块设计，有多款芯片成功量产经验者优先。
4、能独立完成模拟芯片的定义设计，仿真与验证，能指导版图工程师布局画图，熟悉芯片的测试方法和测试流程。
5、较强的Debug能力。具有较强团队合作精神，良好的沟通能力，有上进心。
6、善于沟通、工作踏实、责任心强，具有良好的团队协作精神。
 ",PCIe 测试用例 Clock Serdes DDR LPDDR PMIC Chiplet,https://www.liepin.com/job/1983383129.shtml
模拟芯片工程师/数字芯片工程师,某宁波汽车零部件及配件上市公司,40-60k,宁波,宁波,本科,2年以上,5月24日更新,liepin,"上市集团公司，新成立芯片事业部，招聘数字、模拟、数混方向研发人员：
工程师：同岗位2年以上
科长：同岗位5年以上
工作地点：宁波北仑区

数模混合集成电路设计工程师
工作职责：
1、负责集成电路数模混合设计和仿真工作。
2、负责数模混合仿真体系和流程建设。
3、参与模拟集成电路设计和数字数字集成电路设计工作。
岗位要求：
1.本科及以上学历，微电子、半导体、电子工程、通信工程等相关专业；
2.熟悉模拟集成电路设计单元电路设计和仿真，熟悉数据集成电路架构设计以及代码编写和仿真。
3.熟悉 AMS建模及数模混合设计全流程。
4.有使用AMS建模并完成数模混合设计成功流片的经历。 
5. 具备良好的沟通、协调和解决问题的能力；
6. 具备较强的团队合作精神和责任心；

模拟芯片工程师
工作职责：
1.负责模拟电路设计和仿真；
2. 指导版图工程师或独立完成版图设计；
3.支持测试工程师完成芯片测试；
4.定义模拟模块的功能和性能参数；
5.工艺选型对比，前端技术预研。
岗位要求：
1.电路与系统、集成电路工程、微电子相关专业，硕士及以上学历。
2. 理解半导体工艺和器件原理，熟悉CAD设计工具；
3.具备基本模拟电路设计基础，包括OPAMP、Bandgap、Current source reference、Comparator等等；
4.具有以下一个或多个模块的设计经验：LDO、POR、片内OSC、ADC、DAC、OPA、LNA、Mixer、Filter、Oscillator、PLL等等。

数字芯片工程师：
岗位职责：
1.负责数字集成电路的设计及其相关算法实现和验证；
2.负责进行电路RTL代码编写. 仿真验证. 综合. 时序分析. 可测性设计；
3.负责芯片设计项目中数字前端设计开发工作，包括RTL设计. RTL验证. 形式验证. RTL综合. 时序验证. DFT/ATPG等工作，实现芯片功能. 性能要求；
5.熟练使用数字IC设计的EDA工具，包括仿真. 综合. 时序分析等；
6.指导版图设计并进行相关检查和后仿真；
岗位要求：
1.本科及以上学历，电子信息. 微电子类相关专业；
2.熟悉Verilog和System Verilog，熟悉C/C++，熟练使用VCS,DC,PT,FM等前端设计工具,了解使用EDA仿真及调试工具；
3.有数字设计经验优先. 熟悉ARM. AMBA等；
4.熟悉Perl/Shell/Python/Bash/Tcl等常用脚本语言；
5.有较强的责任心，良好的沟通能力和团队协作能力。
",LTE Verilog C++ ARM Perl Shell Python,https://www.liepin.com/a/75985919.shtml
模拟芯片工程师/数字芯片工程师,某宁波汽车零部件及配件上市公司,40-60k,宁波,宁波,本科,2年以上,5月24日更新,liepin,"上市集团公司，新成立芯片事业部，招聘数字、模拟、数混方向研发人员：
工程师：同岗位2年以上
科长：同岗位5年以上
工作地点：宁波北仑区

数模混合集成电路设计工程师
工作职责：
1、负责集成电路数模混合设计和仿真工作。
2、负责数模混合仿真体系和流程建设。
3、参与模拟集成电路设计和数字数字集成电路设计工作。
岗位要求：
1.本科及以上学历，微电子、半导体、电子工程、通信工程等相关专业；
2.熟悉模拟集成电路设计单元电路设计和仿真，熟悉数据集成电路架构设计以及代码编写和仿真。
3.熟悉 AMS建模及数模混合设计全流程。
4.有使用AMS建模并完成数模混合设计成功流片的经历。 
5. 具备良好的沟通、协调和解决问题的能力；
6. 具备较强的团队合作精神和责任心；

模拟芯片工程师
工作职责：
1.负责模拟电路设计和仿真；
2. 指导版图工程师或独立完成版图设计；
3.支持测试工程师完成芯片测试；
4.定义模拟模块的功能和性能参数；
5.工艺选型对比，前端技术预研。
岗位要求：
1.电路与系统、集成电路工程、微电子相关专业，硕士及以上学历。
2. 理解半导体工艺和器件原理，熟悉CAD设计工具；
3.具备基本模拟电路设计基础，包括OPAMP、Bandgap、Current source reference、Comparator等等；
4.具有以下一个或多个模块的设计经验：LDO、POR、片内OSC、ADC、DAC、OPA、LNA、Mixer、Filter、Oscillator、PLL等等。

数字芯片工程师：
岗位职责：
1.负责数字集成电路的设计及其相关算法实现和验证；
2.负责进行电路RTL代码编写. 仿真验证. 综合. 时序分析. 可测性设计；
3.负责芯片设计项目中数字前端设计开发工作，包括RTL设计. RTL验证. 形式验证. RTL综合. 时序验证. DFT/ATPG等工作，实现芯片功能. 性能要求；
5.熟练使用数字IC设计的EDA工具，包括仿真. 综合. 时序分析等；
6.指导版图设计并进行相关检查和后仿真；
岗位要求：
1.本科及以上学历，电子信息. 微电子类相关专业；
2.熟悉Verilog和System Verilog，熟悉C/C++，熟练使用VCS,DC,PT,FM等前端设计工具,了解使用EDA仿真及调试工具；
3.有数字设计经验优先. 熟悉ARM. AMBA等；
4.熟悉Perl/Shell/Python/Bash/Tcl等常用脚本语言；
5.有较强的责任心，良好的沟通能力和团队协作能力。
",LTE Verilog C++ ARM Perl Shell Python,https://www.liepin.com/a/75985909.shtml
芯片研发工程师/芯片FA工程师(VCSEL),某杭州电子/半导体/集成电路公司,15-26k,杭州,杭州,本科,3-5年,7月28日更新,liepin,"招聘岗位：芯片研发工程师/芯片FA工程师
芯片研发工程师
【岗位职责】
1、负责新产品开发工作：客户需求分析；VCSEL器件设计及性能评估等；
2、负责研发项目进度推进工作；
3、负责客户技术支持工作：客户技术需求挖掘、确认、评估以及技术支持等；
4、负责新技术调研并撰写出具前沿技术报告，协助制定产品研究的方向与目标。
【任职条件】
1.硕士、博士学历；
2.光电、光学、材料或物理类相关专业；
3.有III-V半导体激光器，尤其VCSEL研发的相关经历；
4.熟悉光电产品的各种测试环境搭建及参数解读；
5.具有光栅设计与仿真经验的优先，熟练使用FDTD、PICS3D、Photo Design、Lumerical等仿真软件；
6.精通半导体激光专业的专业知识，熟悉相关光电消费电子、数据通信等领域的理论。


芯片FA工程师
【岗位职责】
1.负责制定详细的失效分析方案并跟踪具体实施,撰写失效分析报告；
2.负责跟进部门各阶段芯片失效问题的数据收集和分析,建立完善失效分析数据库；
3.负责客户失效样品的快速定位并独立完成失效分析，找出失效root cause；
4.配合研发部门对失效品制定分析计划,并独立完成分析；
5.负责实验室日常维护；
6.及时高效地完成日常分析事务。
【任职条件】
1.硕士及以上学历，半导体/微电子物理及相关专业；
2.2年以上芯片FA工作经验,尤其VCSEL芯片的相关经历；
3.熟练使用各种FA分析设备和方法；
4.熟知芯片常见失效现象及可能的失效机理；
5.有III-V族材料和器件的制造工艺优先；
6.良好的沟通协调能力和团队合作精神，能够与不同部门和客户有效沟通；
7.能够接受出差者优先。",需求分析 技术支持 PICS3D Photo,https://www.liepin.com/a/78360859.shtml
高级光子芯片工程师,易微达光电科技,50-70k·13薪,上海-普陀区,上海,硕士,经验不限,7月23日更新,liepin,"岗位概述
我们正在寻找一位全链条的高级光子芯片工程师。你将主导硅光芯片的关键器件与系统设计，贯通""仿真设计—版图—流片—封装—测试表征""完整闭环，与晶圆代工厂紧密协作完成多轮流片迭代，并直接参与核心 IP 的创造。这个岗位要求既懂器件物理、又能动手测试的通才。
核心职责
•	负责硅光芯片全周期开发：架构定义、关键器件设计（MZM 调制器、微环谐振器、边缘耦合器、层间过渡结构、高密度波导交叉等）、版图绘制、性能验证
•	参与下一代超高速硅光芯片的整体架构设计与流片规划
•	与电芯片（Driver/TIA）团队深度协同，开展光电联合仿真与协同优化，提升芯片整体 PPA（性能/功耗/面积）竞争力
•	开展光学、热学、电学多物理场仿真与优化（Lumerical、COMSOL 等），完成 GDSFactory/版图自动化流程
•	对接晶圆代工厂，主导流片（tape-out）全流程并推动多轮迭代
•	设计低损耗片上光学架构，制定并管理链路损耗预算（loss budget）
•	设计专用器件测试结构（test structures），协助测试工程师制定测试方案；负责芯片封装耦合方案（低损耗边缘耦合/光纤耦合）与光电测试表征，完成数据分析与设计闭环反馈
•	跟踪国际先进硅光工艺与光电融合设计趋势，协助新工艺平台与供应链落地
•	沉淀自主知识产权，撰写技术文档与专利
任职要求（硬性条件）
•	电子工程、光电、物理或相关专业硕士及以上学历，博士优先 
•	具备完整的硅光芯片流片经验，有商业代工厂 tape-out 成功案例
•	深入了解 SOI 硅光平台，熟悉基于 CMOS 的硅光代工工艺流程与设计规范，了解工艺偏差对器件性能的影响
•	精通至少一种主流光子仿真工具（Lumerical/COMSOL 等）与版图流程（GDSFactory/KLayout 等）
•	熟练使用 Python/MATLAB 进行参数化仿真、版图脚本绘制与数据分析
•	熟悉硅光器件物理（调制器、谐振器、耦合器、波导等），能独立完成从设计到测试的闭环
•	具备光子器件测试表征与数据分析能力
•	良好的中英文技术沟通能力，能适应初创公司快节奏、多角色的工作环境
 ",Python MATLAB 数据分析 供应链 知识产权 技术文档 专利,https://www.liepin.com/job/1984298367.shtml
芯片工程师（委外开发）,某国内仪器仪表上市公司,20-40k,上海,上海,统招本科,5-10年,今日更新,liepin,"芯片工程师      base上海
工作职责 
1. 负责 RFID + 温度传感器芯片委外开发全流程跟进，对接外部研发承接方，把控需求、方案、进度与交付质量；
2. 统筹芯片供应链管理，对接晶圆、封测、测试等外部厂商，负责工艺对接、流片计划、量产导入落地；
3. 负责芯片样品验证、可靠性测试、量产良率跟进及问题协调闭环；
4. 搭建并沉淀芯片供应链资源、工艺流程库，支撑后续数字温度传感器业务拓展；

任职资格
1. 精通芯片从设计、流片、封装测试到量产的完整流程与工艺逻辑；
2. 熟悉晶圆厂、封测厂对接流程，能独立对接外部承接方开展技术评审、进度管控；
3. 熟悉芯片工艺选型、流片排期、样品验证、量产导入及良率分析；
4. 了解 RFID 芯片或者数字温度类芯片设计、工艺、量产供应链逻辑优先；
5. 具备项目统筹、供应商管理能力，能沉淀供应链资源与流程规范。",供应链 RFID,https://www.liepin.com/a/78203757.shtml
SIC芯片工艺工程师,某知名公司,15-25k·16薪,株洲,,统招本科,3年以上,7月24日更新,liepin,"岗位职责：
1、负责芯片工艺平台建设、维护及优化；
2、负责芯片工艺的执行、监督，现场工艺问题的处理及工艺优化；
3、负责工艺开发与下一代先进工艺技术研究；
4、负责芯片制造平台的技术支持和基本技术、技能培训与考核；
岗位要求：
1、全日制本科及以上学历，微电子、电力电子、半导体物理、电气科学与技术等半导体器件及其相关专业；
2、3年以上半导体器件工艺研发等相关工作经验；
3、具有较强的组织策划、沟通协调能力，身心健康，积极进取，责任心强，能承受压力。",技术支持 培训,https://www.liepin.com/a/75993643.shtml
AI 芯片设备软件工程师 / AI Device Software Engineer,微珩科技,20-50k·13薪,上海-徐汇区,上海,本科,3-5年,7月30日更新,liepin,"职位介绍
我们正在开发面向大规模语言模型推理的专用 ASIC 芯片，并组建负责设备软件栈的核心团队。
该岗位将负责 AI 芯片从硬件设备到上层 Runtime 的关键软件基础设施，包括 Linux Driver、设备 Runtime、DMA、PCIe、高性能内存管理以及软硬件协同接口。
工作职责
1、负责 AI 加速芯片 Linux Device Driver 开发：
   *   PCIe Device Driver
   *  DMA Engine
   *  Interrupt Handling
   *  Memory Mapping
   *  Device Management
2、设计和实现设备 Runtime：
   *  Command Queue
   *  Task Submission
   *  Synchronization
   *  Event Management
   *  Resource Allocation
3、参与芯片软件架构设计：
   *  Runtime API
   *  Hardware Abstraction Layer
   *  Driver Interface
4、优化设备性能：
   *  Memory Bandwidth
   *  DMA Pipeline
   *  Data Movement
   *  Latency Optimization
5、与 Runtime、Compiler、Firmware、Hardware 团队协作完成系统集成。

任职要求
1、5 年以上 Linux Kernel、Device Driver 或系统软件开发经验
2、熟练掌握 C/C++
3、熟悉 Linux Kernel：
   *  Driver Model
   *  Memory Management
   *  Interrupt
   *  DMA
4、熟悉 PCIe 或高速设备通信机制
5、具备复杂软硬件系统调试能力

优先考虑
1、有以下经验：
   *  GPU/NPU/AI Accelerator Driver
   *  PCIe Accelerator Card
   *  DMA Engine
   *  Firmware Interface
2、熟悉：
   *  Linux Kernel Internals
   *  IOMMU
   *  MMU
   *  NUMA
3、有芯片量产或硬件 bring-up 经验

我们希望你具备
   *  对 AI 芯片系统架构有兴趣
   *  能够独立负责设备软件模块
   *  能够推动软硬件协同设计
   *  适应早期创业团队快速迭代环境

 Senior AI Device Software Engineer
About the Role
We are developing dedicated ASIC solutions for large-scale language model inference and building the core device software team.
As a Senior AI Device Software Engineer, you will develop the software foundation connecting AI hardware accelerators with the operating system and runtime stack, including Linux drivers, device runtime, DMA, PCIe, memory management, and hardware abstraction layers.
Responsibilities
Develop Linux device drivers for AI accelerators:
oPCIe drivers
oDMA engines
oInterrupt handling
oMemory mapping
oDevice management
Design and implement device runtime infrastructure:
oCommand queues
oTask submission
oSynchronization
oEvent management
oResource allocation
Define hardware-software interfaces:
oRuntime APIs
oHardware abstraction layers
oDriver interfaces
Optimize device performance:
oMemory bandwidth utilization
oDMA pipelines
oData movement efficiency
oLatency optimization
Collaborate with runtime, compiler, firmware, and hardware teams.
Qualifications
5+ years of experience in Linux kernel, device driver, or system software development
Strong C/C++ programming skills
Strong understanding of Linux internals:
oDriver model
oMemory management
oInterrupts
oDMA
Experience with PCIe or high-speed device communication
Strong debugging skills across hardware/software boundaries
Preferred Qualifications
Experience with:
oGPU/NPU/AI accelerator drivers
oPCIe accelerator cards
oDMA engines
oFirmware interfaces
Knowledge of:
oLinux kernel internals
oIOMMU
oMMU
oNUMA
Experience with chip bring-up or production systems
What You Will Do
Build the foundation of AI accelerator software
Own critical device software components
Participate in hardware-software co-design
Work in a fast-moving early-stage core engineering team",Linux PCIe Gin C++ ROS ASIC AI Runtime,https://www.liepin.com/job/1984302249.shtml
VCSEL芯片研发工程师/芯片FA工程师/项目经理,某知名公司,20-30k·13薪,杭州,杭州,学历不限,5-10年,7月28日更新,liepin,"芯片研发工程师
【岗位职责】
1、负责新产品开发工作：客户需求分析；VCSEL器件设计及性能评估等；
2、负责研发项目进度推进工作；
3、负责客户技术支持工作：客户技术需求挖掘、确认、评估以及技术支持等；
4、负责新技术调研并撰写出具前沿技术报告，协助制定产品研究的方向与目标。
【任职条件】
1.本科以上学历；
2.光电、光学、材料或物理类相关专业；
3.有III-V半导体激光器，尤其VCSEL研发的相关经历；
4.熟悉光电产品的各种测试环境搭建及参数解读；
5.具有光栅设计与仿真经验的优先，熟练使用FDTD、PICS3D、Photo Design、Lumerical等仿真软件；
6.精通半导体激光专业的专业知识，熟悉相关光电消费电子、数据通信等领域的理论。


芯片FA工程师
【岗位职责】
1.负责制定详细的失效分析方案并跟踪具体实施,撰写失效分析报告；
2.负责跟进部门各阶段芯片失效问题的数据收集和分析,建立完善失效分析数据库；
3.负责客户失效样品的快速定位并独立完成失效分析，找出失效root cause；
4.配合研发部门对失效品制定分析计划,并独立完成分析；
5.负责实验室日常维护；
6.及时高效地完成日常分析事务。
【任职条件】
1.本科及以上学历，半导体/微电子物理及相关专业；
2.2年以上芯片FA工作经验,尤其VCSEL芯片的相关经历；
3.熟练使用各种FA分析设备和方法；
4.熟知芯片常见失效现象及可能的失效机理；
5.有III-V族材料和器件的制造工艺优先；
6.良好的沟通协调能力和团队合作精神，能够与不同部门和客户有效沟通；
7.能够接受出差者优先。


项目经理：
岗位职责：
1、管理自己所负责的产品线或项目，制定项目计划，负责协调资源并按计划推进项目开展，及时发现并解决项目推进中的各种问题，为项目的进度、质量、成本负责；
2、把控项目风险、产品质量，主动汇报项目问题和进展并提供解决方案；
3、统筹安排所负责项目项目成员的工作，并对其工作结果进行绩效考核；
4、协调公司内部各资源线部门为项目按计划推进提供支持（人员、技术、问题解决等方面的支持）；
5、协调公司外部合作伙伴，明确项目目标，实现共赢；
6、针对项目管理中存在的问题，能够提出系统化解决方案，形成可操作的管理办法。

任职条件：
1、了解光电器件（包括但不限于VCSEL，LED，EEL等）的基本原理；
2、具备5年以上光电产品或者电子消费品（手机）的项目管理经验；
3、具备3D投射模组（TOF模组，结构光投射器）的开发工作者优先；
4、熟悉完整的产品开发、品质、生产、交付流程，了解相关行业标准规范；
5、有很好的自我管理能力，良好的目标导向，学习能力强，思维活跃，有创新意识；
6、具备3年以上团队管理经验优先。",需求分析 技术支持 项目管理 团队管理 PICS3D Photo LED,https://www.liepin.com/a/78361913.shtml
