job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI软件项目经理(J17999),上海汽车集团股份有限公司乘用车分公司,30-45k,上海-嘉定区,上海,统招本科,5年以上,7月28日更新,liepin,"职责描述：
1、负责智能座舱智能体软件开发项目管理工作，组织团队对项目进行可行性分析（含技术和经济性分析）并支持和推动项目立项工作； 
2、带领团队定义、评估、计划、协调和监控项目开发所需的活动、任务和资源，制定项目开发计划； 
3、管控项目内各软件和测试团队的业务开展，协调跨职能团队开展工作，对项目资源需求进行统筹，确保项目正常推进； 
4、负责项目开发过程中的计划推进、问题及风险管理、变更管理、预算及成本管理、人员管理等项目管理工作； 
5、协调和组织项目重要技术方案评审，完成项目开阀交付物准备、组织交付物评审及验收工作； 
6、配合项目开发流程体系建设，负责研发项目管理评价体系、项目管理推进体系等建设工作；
任职要求：
1. 本科及以上学历，计算机科学与技术、软件工程、汽车工程、通信工程等相关专业。
2.具有5年以上知名汽车主机厂或知名tier1供应商或知名IT企业工作经历，具有至少一个智能座舱软件项目完整研发项目管理经历； 
3. 协议及工具使用要求：熟悉车载ETH、CAN、CANFD、LIN、UDS协议；熟练使用CANoe、Vehicle SPY3等测试工具，有CAPL编程经验；对OTA、信号路由、DOIP、4G/5G、功能安全等具有一定的了解；熟悉车载软件架构和Android系统，熟练掌握ADB命令、Jira等常用缺陷管理系统，能及时抓取问题调查所需的相关log、录屏、截图等文件；
4、具有较强的沟通表达及组织协调能力和执行力， 能解决复杂项目管理问题，抗压能力强。
其他要求：机动车驾驶证者持证",CAN 4G 5G 项目管理 风险管理 技术方案 缺陷管理,https://www.liepin.com/job/1983865787.shtml
软件项目经理,汽车零部件及配件5000-10000人,15-28k,深圳-南山区,深圳,本科,5-10年,7月29日更新,liepin,"职责描述：
1、负责车载项目的软件开发管理，制定软件开发计划并组织推动，做好风险识别及管控。
2、按公司体系流程进行软件开发活动，包括组织、评审各类设计文档等，并做好阶段整改与总结。
3、负责对接客户交流，推进软件团队的日常开发，协调资源解决项目中遇到的问题。


任职要求：
1、全日制本科或以上学历，计算机、软件工程、电子、通信、自动化等相关专业；
2、2年以上车载电子产品软件开发管理经验者优先

工作和专业经验
1、具有较强的推动和协调能力，具有较强的撰写文档的能力；
2、有车载电子产品（IVI/座舱、仪表/显示屏等）软件开发管理项目经验；

专业技能
1、熟悉车载软件开发流程，有A-SPICE/CMMI/敏捷/ISO26262和信息安全流程项目经验者优先；
2、能熟练进行英语交流者优先

知识
熟悉C/C++/Java语言中的至少一种，熟悉Linux/Android系统中的至少一种；

态度
具有非常强的事业心、责任感以及主观能动性。",SPI C++ Java Linux IVI SPICE CMMI,https://www.liepin.com/job/1968550035.shtml
软件项目经理(J10597),智能硬件/消费电子B轮1000-2000人,25-35k,深圳-龙岗区,深圳,本科,3-5年,7月28日更新,liepin,"职责描述：
岗位职责：
1、负责 3D 打印机全链路软件系统（嵌入式固件、切片软件、APP、Web端等）的研发项目管理，对项目计划、进度、质量进行全流程有效管控。
2、依照软件版本规划，制定迭代开发计划，从需求拆解到交付验收全周期管控，识别并控制项目风险，保障项目目标顺利达成。
3、协调产品、研发、测试等资源，解决3D打印软件中的技术协同问题，保障项目按质按时交付。
4、跟进项目任务进度，定期向业务、技术相关方汇报进展，对过程数据进行记录与统计分析，总结项目不足与优秀实践。
5、结合3D 打印行业特性优化项目管理流程，参与公司项目管理制度建设，推动产研效能持续提升。

任职要求：
1、本科及以上学历，计算机、自动化等相关专业优先，3-5 年以上软件研发项目管理经验。
2、具备嵌入式软件、桌面端 / APP软件等多类型项目管理经验，熟悉软件技术栈者优先。
3、精通敏捷 SCRUM、瀑布式等项目管理方法论，有 IPD 流程实践经验者优先。
4、了解 3D 打印机软件开发技术，具备软件开发经验者优先，能与技术团队深度沟通技术细节。
5、具备优秀的组织协调、跨部门沟通能力，有较强的风险预判与问题解决能力。
6、有流程优化与效能提升经验，具备良好的团队合作与赋能意识。
",项目管理 流程优化 APP SCRUM IPD,https://www.liepin.com/job/1984452067.shtml
软件项目经理,贵仁科技,10-18k,海口-美兰区,海口,本科,5-10年,6月12日更新,liepin," 
一、任职要求
 
1. 专业硬门槛：水文与水资源工程相关专业
具备扎实水文基础理论，熟练掌握流域水文、产汇流、水文模型、水位/流量/雨量、水情调度、流域概化等核心专业知识，能听懂、看懂、解答业主专业水文问题，无专业代沟。
2. 项目经验硬性要求：水利信息化/智慧水务/数字孪生项目经验，做过流域智慧管控、水文监测、数字孪生流域、水利一张图、水旱灾害防御、河湖管理类信息化项目，熟悉水利项目建设流程、水利行业规范、厅局级项目对接模式。
3、 能力刚需：独立讲系统、独立答客户疑问

可独立完成项目成果汇报、系统功能讲解、演示培训、甲方疑问答疑，能面向水务厅专家、领导做正式汇报，口齿清晰、逻辑专业，懂业务、懂系统、懂场景。
 
二、岗位职责
 
1. 现场全盘推进
统筹驻场团队日常工作，对接水务厅各业务科室，跟进需求落地、问题闭环、现场整改、资料完善，保障项目平稳试运行。
2. 客户关系与答疑支撑
作为项目对外窗口，承接甲方所有业务咨询、系统问题、需求变更、汇报接待，独立解答水文专业、系统功能、业务逻辑、数据指标相关所有问题。
3. 试运行落地与试运行材料归档
负责项目试运行落地、试运行记录、试运行报告、问题台账、优化迭代跟进，保障系统稳定满足验收标准。
4. 验收全流程主导
统筹项目资料整编、竣工资料、验收申请、专家对接、验收答辩、问题整改闭环，独立推动项目顺利终验、回款。
5. 团队协同与进度管控
对接后端、前端、算法、数据团队，同步甲方需求，倒逼内部整改，把控项目节点、进度、质量、风险，保障项目按期交付。
 
三、优先加分项
 
1. 做过省级/地市级数字孪生流域、数字孪生水网重点项目；
2. 熟悉水文模型、水动力模型、洪水预报调度业务场景；
3. 有水务厅、水利局驻场项目管理经验，熟悉甲方工作流程；
4. 具备水利项目验收、评优、成果汇报经验；
5. 懂水利数据标准、水文监测数据、河湖、防汛、水资源调度业务。

周末双休",培训 项目管理,https://www.liepin.com/job/1983113629.shtml
软件项目经理,家电2000-5000人,25-30k·15薪,苏州-吴中区,苏州,本科,5年以上,6月22日更新,liepin,"工作职责
1.制定项目跟踪文档对项目进行进度、质量和风险管理，及时发现项目问题、风险并推动解决；
2.跟踪项目的进度以及质量，拉通团队进行项目状态分析，对整体的项目按时保质交付负责；
3.负责整体软件开发的统筹工作，全生命周期管理。包括从需求定义、技术方案拆解、开发、测试、发版、提测上线、售后问题闭环等整个生命周期的管理； 
4.统筹项目资源的组织与协调，负责整机、软件（含APP插件）、算法和硬件平台的拉通，建立良好的跨团队的沟通机制。
任职资格
1.5年及以上项目管理等相关经验； 
2.有瀑布式、敏捷开发管理经验；
3.有LDS、SLAM、AI项目经验、有IPD 流程管理经验优先；
4.沟通和组织能力强，能够管理跨部门协作项目，能够适应高强度快节奏的工作；  
5.善于深度思考问题，具备优秀的逻辑思维及分析能力，具备良好的业务理解能力；",SLAM 风险管理 技术方案 项目管理 跨部门协作,https://www.liepin.com/job/1983584221.shtml
智能驾驶软件项目经理,浙江吉利控股集团,25-55k·15薪,上海-嘉定区,上海,统招本科,2年以上,90天前更新,liepin,"千里智驾招聘( 由蚂蚁集团旗下迈驰智行（重庆）科技有限公司、吉利控股旗下浙江吉润汽车有限公司、宁波路特斯机器人有限公司、重庆智江众旺企业管理咨询合伙企业（有限合伙）等企业共同持股),   2025年8-12月极氪智驾团队、吉利研究院及迈驰智行合并进入该公司。


岗位职责：
1、负责整体软件开发的统筹工作，包括需求、技术方案、开发、测试等统筹管理；
2、进度＆质量＆风险管理，制定项目跟踪文档，及时发现项目问题、风险并推进解决，跟踪项目的进度和质量，确保版本保质按时交付；
3、负责对接智能驾驶项目经理进行项目交付，确保项目关键里程碑点的完成；

任职要求：
1、本科及以上学历，计算机、嵌入式、通信等相关专业，具备嵌入式系统或者C++相关软件平台的软件开发或者测试经历，拥有实际的项目管理经验；
2、快速学习能力，喜欢接受挑战，具备良好沟通能力，能承受一定的工作压力。

其他说明
软件项目经理，团队内部也叫版本经理，招聘中级软件项目经理，也招聘高级软件项目经理。提供量产交付机会，提供新平台研发项目管理的机会。",C++ 技术方案 风险管理 项目管理,https://www.liepin.com/job/1956537269.shtml
软件项目经理,专业技术服务融资未公开2000-5000人,20-25k,南京,南京,本科,5-10年,90天前更新,liepin,"1.软件项目经理
职位名称：软件项目经理
岗位职责：
1、负责完成单个软件项目或者总集成项目中软件交付管理工作；
2、负责项目内外部交付资源协调，项目干系人沟通，实现项目目标；
3、负责项目风险、问题跟踪并解决，负责新需求把控；
4、负责配合项目产品积累，形成自有产品，并配合产品市场推广。
岗位要求：
1、熟悉项目管理工作，尤其是总集成类项目管理工作；常见的开源框架，如Springboot、MVC、mybatis等；
2、熟悉常见软件开发框架，如如Springboot、MVC、mybatis等，熟悉oracle、Mysql等；
4、具有较强的学习能力和钻研能力，跟踪行业技术前沿，具有自我驱动意识。
6、过往业绩要求需具有5个及以上软件交付项目或软件产品的项目管理工作（本人作为负责人完成两个及以上），涵盖范围包括不限于智慧城市类应用平台、大数据类平台、应用支撑类平台、数据可视化分析/领导驾驶舱/决策分析系统等。
工作地点：中通服咨询设计研究院有限公司 南京市建邺区楠溪江东街58号
职位类型：项目管理/需求分析/软件架构设计/软件开发
经验要求：相关工作经验5年及以上
学历：本科",Spring MyBatis Oracle MySQL 资源协调 市场推广 项目管理 需求分析,https://www.liepin.com/job/1948581773.shtml
软件项目经理,智能硬件/消费电子B轮500-999人,20-40k·15薪,深圳-南山区,深圳,统招本科,3-5年,7月21日更新,liepin,"职位描述
参与项目前期软件可行性分析及风险评估，并完成风险闭环；
制定并跟进相应软件版本计划，确保各版本开发闭环，项目按时交付；
做好软件版本管理，推动版本打版、测试、问题闭环、发版和部署；
推动软件问题的流转，负责项目管理工具的维护和建设；
协助研发总监和经理做好内部研发任务管理；

职位要求
本科及以上学历，2年以上的软件项目管理经验，要求有机器人/自驾/座舱量产的软件版本交付经验；
熟悉软件工程开发的全流程，了解如瀑布模型、敏捷开发、DevOps等主流软件开发模式；
熟悉至少一种项目管理工具（如Jira/飞书项目/禅道），使用工具来维护项目计划、跟踪进度和更新任务状态；
热爱行业，具备优秀的项目时间理解和管理能力，能适应快节奏的项目进度；
有机器人/自驾行业的测试或者开发经验的软件项目经理优先。",DevOps 版本管理 项目管理,https://www.liepin.com/job/1984301449.shtml
软件项目经理,某深圳大型智能硬件/消费电子公司,20-40k,贵阳,贵阳,大专,1-3年,7月22日更新,liepin,"岗位职责：
1、负责项目的整体规划与执行，确保项目按时按质完成；
2、协调团队成员之间的沟通与合作，推动项目顺利进行；
3、监控项目进度与质量，及时解决项目过程中出现的问题；
4、与客户保持良好的沟通，确保客户需求得到充分理解并有效实现。

岗位要求：
1、具有1-3年软件项目经理或相关经验；
2、熟悉软件开发流程，具备项目管理知识和技能；
3、具备较强的组织协调能力和团队管理能力；
4、具备良好的沟通能力和问题解决能力；
5、能够适应快节奏的工作环境，具备较强的责任心和抗压能力。",项目管理 团队管理,https://www.liepin.com/a/78141791.shtml
软件项目经理,某深圳大型智能硬件/消费电子公司,20-40k,昆明,昆明,大专,1-3年,7月22日更新,liepin,"岗位职责：
1、负责项目的整体规划与执行，确保项目按时按质完成；
2、协调团队成员之间的沟通与合作，推动项目顺利进行；
3、监控项目进度与质量，及时解决项目过程中出现的问题；
4、与客户保持良好的沟通，确保客户需求得到充分理解并有效实现。

岗位要求：
1、具有1-3年软件项目经理或相关经验；
2、熟悉软件开发流程，具备项目管理知识和技能；
3、具备较强的组织协调能力和团队管理能力；
4、具备良好的沟通能力和问题解决能力；
5、能够适应快节奏的工作环境，具备较强的责任心和抗压能力。",项目管理 团队管理,https://www.liepin.com/a/78141747.shtml
软件项目经理,某深圳大型智能硬件/消费电子公司,20-40k,武汉,武汉,大专,1-3年,7月22日更新,liepin,"岗位职责：
1、负责项目的整体规划与执行，确保项目按时按质完成；
2、协调团队成员之间的沟通与合作，推动项目顺利进行；
3、监控项目进度与质量，及时解决项目过程中出现的问题；
4、与客户保持良好的沟通，确保客户需求得到充分理解并有效实现。

岗位要求：
1、具有1-3年软件项目经理或相关经验；
2、熟悉软件开发流程，具备项目管理知识和技能；
3、具备较强的组织协调能力和团队管理能力；
4、具备良好的沟通能力和问题解决能力；
5、能够适应快节奏的工作环境，具备较强的责任心和抗压能力。",项目管理 团队管理,https://www.liepin.com/a/78141685.shtml
