job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
需求分析工程师,郑州芥子信息科技有限公司,8-12k,郑州-高新区,郑州,统招本科,2年以上,5月14日更新,liepin,"需求分析工程师（MES/WMS/AGV 方向）
一、岗位职责
客户现场调研：负责 MES 制造执行系统、WMS 仓储管理系统、AGV 自动导引车相关项目的客户现场调研，梳理业务流程、收集业务痛点与需求，形成完整的需求调研报告。
需求分析与建模：结合客户生产 / 仓储场景（如汽车零部件、离散制造行业），对调研需求进行分析、拆解、标准化，输出业务流程图、用例图等文档。
原型设计与方案输出：基于客户需求，设计系统交互原型，撰写需求规格说明书、解决方案，清晰传递业务逻辑与系统实现思路。
需求确认与管理：组织客户、项目、研发团队进行需求评审与确认，推动关键节点签字；管理需求变更，评估变更影响并同步相关方，确保需求在项目全周期可控。
跨团队协同：对接研发、实施、测试团队，讲解业务需求，跟进需求落地情况，解决项目过程中的需求理解偏差问题，保障项目按计划推进。
行业沉淀与优化：沉淀制造 / 仓储行业业务知识，优化调研、原型设计与需求管理流程，提升团队需求交付质量与效率。
二、任职要求
（一）硬性条件
本科及以上学历，工业工程、物流工程、计算机科学与技术、软件工程等相关专业优先。
2 年以上 MES/WMS/AGV 相关项目需求调研或产品经理经验，有汽车零部件、离散制造行业项目经验者优先。
熟悉制造 / 仓储业务流程，了解 MES（生产排程、质量管理、设备管理）、WMS（出入库、库存管理、批次追溯）、AGV（路径规划、调度、物料配送）的核心业务逻辑与行业痛点。
具备优秀的沟通表达与现场推动能力，能独立对接客户中高层及一线业务人员，精准挖掘潜在需求并达成共识。
具备较强的逻辑分析、文档撰写与问题解决能力，能清晰拆解复杂业务需求，输出标准化、可落地的需求文档。
（二）软性能力
有同理心，能站在客户和业务的角度思考问题，平衡客户需求与系统实现的可行性。
具备良好的跨团队协同意识，能高效对接研发、实施、测试团队，推动需求落地。
具备一定的项目管理思维，能跟进需求从调研、确认到落地的全流程，保障需求一致性。
三、加分项
有汽车零部件、电子组装、机械加工等离散制造行业 MES/WMS 项目完整交付经验者优先。
了解 AGV 调度系统、WCS 系统的业务逻辑，或有智能工厂、智能仓储整体解决方案设计经验者优先。
具备敏捷开发 / 瀑布开发模式下的需求管理经验，熟悉需求变更控制流程者优先。
有工业软件（MES/WMS/ERP）产品经理、实施顾问或售前顾问经验者优先。",需求分析 原型设计 项目管理 方案设计 MES WMS AGV WCS,https://www.liepin.com/job/1982534471.shtml
高级新媒体需求分析工程师(外派拉美),新能源汽车已上市10000人以上,15-40k,深圳-坪山区,深圳,统招本科,3年以上,90天前更新,liepin,"岗位名称：新媒体需求分析工程师
岗位职责：
1、作为业务与技术双端桥梁，负责将新媒体运营需求转化为可执行的技术方案，驱动用户增长与内容创新；
2、深度对接市场/运营部门，挖掘短视频平台、社交媒体等新媒体场景的业务需求；
3、负责新媒体平台在事业部的实施落地，协调产品/研发团队完成技术方案评审，确保需求理解一致性；
4、全流程管理新媒体业务需求（需求分析→上线验收），协调研发资源保障交付。

任职要求：
1、本科及以上学历，计算机/管理类/新媒体类/品牌市场类相关专业，3年+工作经验，应用流利；
2、3年+C端产品/项目实施经验，有新媒体/社交电商项目完整落地经验优先；
3、擅长需求梳理及解决方案设计，精通SQL，掌握VISIO/Axure/墨刀等工具；
4、深度了解国内外新媒体平台运营规则与用户生态；
5、对热点事件保持敏感，能预判潜在需求爆发点，有运营海外新媒体账号优先；
6、逻辑清晰，执行力强，具备很好的主动性和责任心。",SQL 需求分析 技术方案 方案设计 Axure,https://www.liepin.com/job/1977016849.shtml
需求分析工程师,重庆美捷智慧大数据科技有限公司,11-18k,重庆,重庆,大专,5-10年,90天前更新,liepin,"互联网金融公司诚聘2名需求分析工程师，待遇颇丰，发展前景好！
工作职责：
1.系统业务规划，与产品人员进行前期调研和产品设计工作，编写调研报告和项目解决方案；
根据概要需求（业务部门需求）编写详细需求文件，如需求跟踪矩阵、需求设计规格文档、低保真原型图、流程图等；确保设计、开发、测试人员对于需求理解的正确性；
2.负责业务部门的需求调研及需求分析，负责需求文档的整理和维护； 负责需求变更的跟踪，并确保需求变更的可追述性；
3.参与系统功能验收工作及用户手册、新增功能培训资料的编写，配合进行新功能的实施； 负责进行缺陷跟踪和软件质量分析
4.配合用户进行UAT测试，检视测试人员编写的测试用例、测试报告、产品用户手册等；
5.业务部门支撑工作；
6.保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率；
7.根据工作需要负责一些产品 / 系统实施类的项目管理工作；
8.参与技术研究及论证
任职要求：
1.工科、计算机或其他相关专业本科及以上学历
2.5年及以上金融行业从业经验，3年以上软件需求分析、开发、测试，实施等相关工作经验或项目管理经验。有IT开发背景优先
3.熟悉CRM，金融开放平台，互金平台，金融核心系统，财务系统，账务系统，支付系统等业务优先考虑
4.熟悉项目管理，熟练掌握和使用各类项目管理工具、项目管理方法论，拥有自己的方法论，对于项目遇到的资源问题、进度问题、开发问题能够有效解决；
5.能够快速融入团队了解业务需求，善于梳理和总结需求，能够协调各方资源推进项目整体进度，有大型复杂项目管理经验优先；
6.备很强的汇报及整理能力，具备很强的风险意识，项目启动前或执行中能够识别风险并解决风险，同时要求具备很强的分析及解决问题能力；
7.身体健康，精力充沛，具有良好的沟通能力，快速学习能力，以及高度的业务理解力
8.有较强的逻辑/概率思维能力，善于分析、归纳、解决问题。

注：发简历需要附上项目经历，以方便面试交流使用。",需求分析 产品设计 培训 测试用例 项目管理,https://www.liepin.com/job/1942738283.shtml
BA需求分析工程师,计算机软件战略融资2000-5000人,30-50k,郑州-郑东新区,郑州,本科,5年以上,7月20日更新,liepin,"岗位职责：
1.参与制定AI实施策略：根据公司数智化建设目标，制定并推动AI技术路线图建设与实施。
2.作为业务设计、变革项目的BA/项目经理，主导一个或多个领域AI应用产品落地，负责把业务转换为数据/流程/数智化设计，保障业务解决方案设计落地，包含：
1）需求分析：深度分析业务/AI需求与痛点，输出方案设计，包括功能定义、交互流程、数据需求等。
2）数据准备/知识图谱构建：定义涉及的业务数据/知识方案，提高AI应用准确率，比如完成从业务逻辑向知识图谱的转化。
3）方案落地：主导与研发团队协同，推动从开发、测试、到上线验证、推广闭环、价值评估等全流程。

岗位要求：
1.本科及以上学历，计算机/数学/电子/通信等相关专业优先；
2.拥有5年及以上业务分析师（BA）工作经验以上优先。
3.了解生成式AI应用技术，包括：大模型、RAG工程、知识图谱、业界主流的智能体构建平台，有制造业AI实战应用构建经验优先；
4.有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；有洞察与规划能力，可对标业界AI、数据应用的实践规划业务设计。
5.具备良好的沟通协调能力，有很强的责任心和求知欲，积极主动，敢于挑战和突破。",大模型 RAG 方案设计 需求分析 BA,https://www.liepin.com/job/1984242331.shtml
需求分析工程师（中级）,某广州货运/物流/仓储上市公司,10-13k·15薪,广州,广州,本科,1-3年,5月28日更新,liepin,"岗位职责:
1、精通UML建模，实际应用分析用户的需求;
2、能够独立完成项目相关文档，包括但不限于，需求说明，系统原型，系统功能设计，测试用例等，有较强的创意设计概念，文案功底深厚:
3、具备优秀逻辑思维能力:
4、具备优秀的沟通能力，善于捕获用户需求，对用户需求敏感;
5、对用户体验有深刻理解，喜欢研究各种网站或APP，严格把控产品体验，
6、精通使用常用的办公软件，如:WPS、Visio、Axure，Mindmanager等7、学习能力强，对新知识，新事物有强烈的求知欲;
8、对软件开发过程有一定的了解，包括常见的开发方法(如敏捷、瀑布等)、开发工具和技术栈;
9、能够与开发人员沟通技术细节，确保需求在技术上的可行性;
10、对新技术和趋势保持关注，以便在需求分析中融入创新元素。


任职要求:
1、大专学历，3年(含)以上需求分析经验;本科学历，需有2年(含)以上需求分析经验;研究生及以上学历，需有1年(含)以上需求分析经验;
2、具备良好的团队协作和推动能力、较强的抗压能力和执行力;
3、具备强烈的责任心和团队合作精神，乐于主动推进解决各种难题，以结果为导向。",测试用例 需求分析 WPS Visio Axure,https://www.liepin.com/a/76089013.shtml
需求分析工程师(J10247),北京昭衍新药研究中心股份有限公司,10-25k,北京-大兴区,北京,本科,2年以上,7月3日更新,liepin,"职责描述：
1. 协助项目经理开展信息化项目前期调研、需求梳理与可行性分析，深入业务一线完成访谈、现状摸排，输出规范的需求文档与业务调研报告。
2. 负责业务流程与作业工序的梳理、设计与优化，运用专业方法论拆解全链路作业逻辑，绘制标准化流程图与工序图，覆盖业务管理与系统落地双维度。
3. 协同内控、合规部门完成管理制度、业务SOP的梳理与修订，保障流程设计符合行业监管要求与企业管理规范。
4. 负责业务需求向技术方案的转化落地，对接供应商清晰传递需求规则，支撑信息系统开发与实施。
5. 跟踪已落地流程与系统的运行效果，主动识别业务优化点，输出迭代方案并推动落地，持续提升业务运营效率。
6. 参与部门流程标准化、工序标准化体系建设，落地统一的流程规范与文档标准。
任职资格
1. 本科及以上学历，信息管理、计算机、软件工程、生物信息技术、生物医学工程等相关专业优先。
2. 2年及以上需求分析、流程设计、产品管理、工业工程或业务运营相关工作经验，有完整的流程梳理或工序优化项目经验。
3. 熟练使用Visio、ProcessOn等流程图绘制工具，掌握流程分析与工序设计的专业方法论。
4. 具备良好的业务理解能力与一线调研能力，能快速吃透业务场景，逻辑清晰，文字表达能力扎实。
5. 有生物医药、医疗器械、智能制造、生产制造行业相关经验者优先。
6. 责任心强，具备良好的跨部门沟通协调能力与团队协作意识，工作严谨务实。
",合规 技术方案 需求分析,https://www.liepin.com/job/1983790237.shtml
需求分析工程师,江苏基久网络科技有限公司第二分公司,15-20k·14薪,南京-建邺区,南京,本科,3年以上,7月3日更新,liepin,"岗位职责：
1. 负责全国属地化二开需求的归口收集、拆解、分析、分级，输出标准化需求规格说明书；
2. 对接各省/市公司业务需求，完成需求调研、需求确认、需求建模，明确二开边界与落地路径；
3. 沉淀低空行业需求库，梳理共性需求、个性化需求，反向推动产品基线优化；
4. 参与需求评审、方案设计，保障需求可落地、可验证、可验收；
5. 跟踪需求落地全流程，协调解决需求变更、需求偏差问题。
任职资格：
1. 3年以上To B软件需求分析经验，有低空、无人机、智慧城市相关行业需求分析经验；
2. 精通需求调研、需求拆解、需求管理方法论，具备极强的需求理解、逻辑梳理能力；
3. 熟悉软件开发生命周期，有低代码/二开平台需求分析经验优先；
4. 具备优秀的文档撰写、沟通表达、跨角色协调能力。",方案设计 需求分析,https://www.liepin.com/job/1983871977.shtml
需求分析工程师,武汉盛博汇信息技术有限公司,13-20k,武汉-洪山区,武汉,统招本科,3-5年,7月23日更新,liepin,"岗位职责
1、聚焦医院HRP全产品线，负责医院一线业务需求调研、梳理与拆解，精准挖掘医院人事、行政、运营、财务等全流程业务痛点与信息化建设需求。
2、对接医院客户、项目实施团队及内部业务方，负责需求收集、甄别、分析与标准化梳理，区分通用需求、个性化需求与迭代优化需求，输出需求调研报告、业务流程图、需求规格说明书等相关文档，为产品设计、研发落地提供精准依据。
3、深度理解医院HRP行业标准、医疗事业单位管理制度及行业规范，结合各级医院实际业务场景，协助产品经理输出适配的信息化业务解决方案，参与产品功能设计评审，对需求落地的合理性、准确性、完整性负责。
4、全程跟进产品研发、测试、上线及落地实施全流程，负责需求答疑、需求变更管控，跟进研发进度，协调解决开发、测试、实施过程中的业务需求问题，保障项目顺利交付、产品功能落地达标。
5、收集整理客户使用反馈、项目实施问题及行业共性需求，持续沉淀业务经验，协助产品经理完成产品迭代优化、功能升级，提升产品适配性与客户使用满意度。
6、持续学习医院HRP信息化行业政策、业务规范及行业发展趋势，跟踪行业竞品产品功能特点，协助输出行业需求分析报告，支撑HRP产品创新优化与体系完善。
7、配合完成上级交办的需求梳理、项目支撑、业务复盘等相关工作。

任职要求
1、全日制本科及以上学历，计算机、软件工程、信息管理、财务管理、会计等相关专业，专业匹配度高者优先。
2、3年及以上医院HRP系统、医疗信息化系统相关需求分析、项目实施、产品支撑工作经验，熟悉医院HRP人事、运营、财务等核心业务模块流程。
3、熟悉医院人力资源管理、行政运营管理、医院财务基础管理制度及行业标准化业务流程，熟悉医疗信息化项目建设逻辑，具备扎实的医院HRP全业务场景分析能力。
4、熟练使用Axure、XMind、Visio等需求梳理、原型设计及流程绘制工具，精通需求文档、调研报告、业务方案的撰写，具备完善的文档输出能力。
5、具备基础SQL查询能力，可独立完成简单业务数据提取、核对与分析；熟练掌握需求管理流程，能够有效管控需求变更、规避需求偏差问题。
6、具备良好的沟通协调、逻辑分析及问题解决能力，可高效对接客户、研发、测试、实施等跨部门团队，抗压性强，责任心重，具备优秀的团队协作与落地推进能力。
7、有医院HRP全模块/多模块项目落地、需求从0到1梳理经验者优先，有大型三甲医院信息化项目服务、总包项目支撑经验者优先。",SQL 产品设计 产品迭代 需求分析 原型设计 XMind,https://www.liepin.com/job/1984360691.shtml
需求分析工程师,通信设备10000人以上,20-35k·16薪,深圳-南山区,深圳,统招本科,3年以上,7月18日更新,liepin,"岗位职责：
1. 主导 Workday 实施：负责公司 Workday 系统的实施推进、架构设计与功能落地，确保项目按关键里程碑交付。
2. 重塑与优化流程：深入理解 HR 业务痛点，主动引导并协同 HR 团队梳理、优化业务流程，将复杂业务需求转化为高效的系统解决方案。
3. 需求闭环管理：负责需求分析、方案评估、配置开发跟进、系统测试、上线验收及用户推广的全流程管理。
4. 系统日常运营：负责现有 HR 数字化系统（如 Workday、SAP HCM、招聘系统等）的日常运营维护与持续迭代。
任职要求：
1.本科及以上学历，计算机、信息管理等相关专业优先。
2.3年以上 HRIS 或 HR 系统产品管理经验，具备完整、深入参与 Workday 系统实施落地（从0到1或大型模块上线）的实战经验。
3.精通 HR 核心业务流程，包括组织管理、员工生命周期、招聘、考勤等核心领域。
4.具备优秀的需求分析能力与系统架构设计能力，能独立交付高质量的产品方案。
5.具备出色的跨部门沟通与影响力，能够主动驱动业务方高效配合，解决利益冲突。
6.具备强大的项目管理与抗压能力，善于应对不确定性，能在紧迫的项目周期下拆解任务并拿到结果。
7.具备优秀的问题解决思维，能敏锐识别项目风险并及时预警与破局",需求分析 项目管理 Workday HR SAP HCM HRIS,https://www.liepin.com/job/1984226355.shtml
高级需求分析工程师,凯捷咨询(中国)有限公司,15-20k·13薪,大连-甘井子区,大连,统招本科,10年以上,7月3日更新,liepin,"职位概述
作为交付团队的高级需求负责人，负责医药企业/药企大型数据建模项目中的业务需求定义、端到端数据映射、复杂变更管理与客户高阶沟通，确保迁移方案满足研发、生产、合规与商业需求。

主要职责
1.主导需求梳理工作坊，与客户高层、IT、研发、生产、质管与合规团队对齐目标与优先级；
2.输出 BRD / FRD / Data Mapping / Cutover Plan；
3.设计复杂的数据迁移策略（并行迁移、回滚、数据一致性校验与切换验证），定义验收准则并监督 UAT；
4.将医药监管/合规需求等融入需求与验收标准
5.指导并审核数据模型、字段映射、去冲突规则与元数据策略，协同数据工程团队实现交付；
6.管理多方 stakeholder，定期向客户高层汇报进展、风险与依赖，推动关键决策；
7.建立迁移后的数据质量治理、监控与运营交接规范（runbooks、SLA）。

任职要求
1.6–10年数据/业务分析与医药行业项目交付经验；有3年担任需求主导或交付负责人经验
2.强烈的stakeholder management 能力：能在多方stakeholder进行沟通与需求阐述，能协调 Vendor、IT、数据产品经理、平台团队与业务方，推动决策并管理多方依赖。
3.英语与海外客户无障碍沟通，有丰富的跨国项目交付经验，能独立主持国际客户会议与撰写对外交付文档
4.较强的抗压能力，可以在多方协同推进明确和细化需求和方案
5.熟悉医药行业核心业务（如HCP、HCO相关业务系统等）
6.具备团队管理或项目交付管理经验，熟练使用项目管理与需求追踪工具
7.精通数据建模方法论、数据映射、验证策略与数据质量校验（能设计并量化验收指标）
8.熟练 SQL，熟悉 ETL/ELT，熟悉云平台（AWS/Azure/GCP）与 Databricks 等大数据技术栈。",SQL AWS Azure 合规 团队管理 项目管理,https://www.liepin.com/job/1983883375.shtml
