job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
鸿蒙开发工程师,某知名公司,13-18k·13薪,天津,天津,学历不限,经验不限,7月18日更新,liepin,"【岗位职责】
1. 承担鸿蒙开发工程师岗位核心事项推进工作，聚焦关键节点、质量结果和跨团队协同；
2. 持续跟进接口联调、性能调优、故障定位和版本发布支持，确保过程可追踪、问题可定位、结果可复盘；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 沉淀方法、模板和经验，提升工作可复制性和协同效率；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 能够主动沟通协调并推动复杂问题闭环处理；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/78028585.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,深圳,深圳,学历不限,经验不限,7月10日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/77751045.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,苏州,苏州,学历不限,经验不限,7月11日更新,liepin,"【岗位职责】
1. 围绕鸿蒙开发工程师场景持续优化工作方法、执行质量和交付效率，支撑业务稳定发展；
2. 围绕跟进生态能力更新并优化用户体验和稳定性形成标准动作和闭环机制，提升整体交付稳定性；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 在项目节奏下推动关键事项按节点落地并形成闭环；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备持续学习能力，能适应业务变化和岗位要求升级；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/77774311.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,西安,西安,学历不限,经验不限,7月13日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/77839247.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,北京,北京,学历不限,经验不限,7月18日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/78026579.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,成都,成都,学历不限,经验不限,7月10日更新,liepin,"【岗位职责】
1. 承担鸿蒙开发工程师岗位核心事项推进工作，聚焦关键节点、质量结果和跨团队协同；
2. 持续跟进接口联调、性能调优、故障定位和版本发布支持，确保过程可追踪、问题可定位、结果可复盘；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 沉淀方法、模板和经验，提升工作可复制性和协同效率；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 能够主动沟通协调并推动复杂问题闭环处理；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/77749603.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,武汉,武汉,学历不限,经验不限,7月18日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/78027407.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,郑州,郑州,学历不限,经验不限,7月18日更新,liepin,"【岗位职责】
1. 承担鸿蒙开发工程师岗位核心事项推进工作，聚焦关键节点、质量结果和跨团队协同；
2. 持续跟进接口联调、性能调优、故障定位和版本发布支持，确保过程可追踪、问题可定位、结果可复盘；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 沉淀方法、模板和经验，提升工作可复制性和协同效率；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 能够主动沟通协调并推动复杂问题闭环处理；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/78028861.shtml
鸿蒙开发工程师,某知名公司,13-18k·13薪,重庆,重庆,学历不限,经验不限,7月18日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/a/78027199.shtml
鸿蒙开发工程师,合肥艺维数字科技有限公司,13-28k·13薪,上海,上海,本科,经验不限,7月24日更新,liepin,"【岗位职责】
1. 负责鸿蒙开发工程师相关的HarmonyOS 应用开发、设备适配与版本发布，围绕业务目标完成方案执行和结果交付；
2. 重点推进鸿蒙应用页面、组件逻辑和设备协同能力开发，并结合实际业务场景完善执行细节；
3. 与产品、设计、测试和后端团队协同交付鸿蒙应用，并同步完成需求沟通、资源协调、进度跟踪和问题闭环；
4. 关注过程指标、质量结果和问题复盘，持续提升岗位产出稳定性；
5. 结合岗位场景输出必要的文档、台账、报表、方案或复盘材料，提升鸿蒙开发工程师工作的规范性和可复制性。

【任职要求】
1. 具备与鸿蒙开发工程师相关的专业基础或实操经验，能够独立承接岗位核心工作；
2. 熟悉HarmonyOS/ArkTS 或相关移动端开发技术、组件封装、性能分析和问题排查能力等关键要求，能在实际业务中稳定应用；
3. 具备较强责任心、执行力和结果导向意识；
4. 具备应用发布流程和多设备适配要求，有相关行业、项目或一线实操经验者优先；
5. 具备良好的职业素养、沟通协作意识和执行闭环能力。",鸿蒙 HarmonyOS ArkTS 资源协调,https://www.liepin.com/job/1984373201.shtml
