job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI大数据工程师助理,广州汇智云人工智能科技有限公司,7000-9000元,广州·天河·元岗,广州,大专,经验不限,6月17日,zhilian_direct,岗位职责: 0基础，无经验可以培养，短期，暑假工勿投！ 1.参与AI与大数据算法系统的设计、开发与优化，支撑智能化产品的核心能力构建2.基于大规模数据进行模型研发与迭代，提升算法在实际业务场景中的准确性与稳定性 3.负责数据处理流程的搭建与优化，涵盖数据清洗、特征工程、模型训练与评估等环节 4.与工程团队协作，推动算法模型的部署与集成，实现从实验到生产环境的高效转化 5.持续跟踪AI与大数据领域的前沿技术，结合业务需求进行技术预研与应用探索 任职要求: 1.具备较强的逻辑思维与问题解决能力，能够独立完成算法设计与优化工作 2.具备良好的沟通协作能力，能与多职能团队协同推进项目落地 3.无经验有部门主管带教，想长期发展的可以投递，短期勿投。 工作地点 广州天河区天河客运站 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,信息安全",http://www.zhaopin.com/jobdetail/CCL1525435800J40857049711.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
ai产品助理,四川省卓益汇鑫科技有限责任公司,6000-12000元,成都·青白江,成都,大专,经验不限,7月25日,zhilian_direct,职位描述 NLP 产业互联网AI产品 需求文档输出 跨团队项目协调 工作职责 1. 协助AI产品经理完成需求调研，梳理产业互联网场景下的AI功能需求，输出清晰的需求文档。 2. 跟进AI产品的研发进度，协调技术、测试等跨团队资源，确保功能按计划上线。 3. 收集用户反馈与数据指标，分析AI功能的使用效果，提出优化建议并推动迭代。 4. 参与AI产品的原型设计与用户体验优化，辅助完成产品说明书等材料的撰写。 任职要求 1. 大专及以上学历，计算机、数据科学、产品管理等相关专业优先。 2. 了解AI基础技术（如机器学习、自然语言处理），对产业互联网行业有一定认知。 3. 具备良好的需求分析能力与文档撰写能力，能熟练使用Axure、Figma等原型工具。 4. 拥有较强的沟通协调能力，能高效对接技术团队与业务部门，推动项目落地。 5. 对数据敏感，能通过数据分析发现产品问题并提出改进方案。 工作地点 成都市-青白江区-大同镇兴业大道11栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"NLP,产业互联网AI产品,需求文档输出,跨团队项目协调",http://www.zhaopin.com/jobdetail/CCL1439887840J40956552515.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
Ai产品图文视频,重庆同景星网络科技有限公司,3000-6000元,营口·站前区·八田地街道,营口,高中,经验不限,7月23日,zhilian_direct,岗位职责 1. 根据项目需求完成各类视觉内容的排版、剪辑与优化调整，保障输出内容符合品牌调性与项目要求 2. 配合运营团队完成内容素材的整理、归档与二次加工，保障内容库的有序管理 3. 主动学习内容创作相关技巧，配合团队完成日常内容产出任务 岗位要求 1. 自备性能满足创作需求的个人电脑，能熟练操作基础创作类软件 2. 对色彩、构图、节奏有基础敏感度，愿意钻研内容创作相关技能 3. 工作认真负责，沟通顺畅，能配合团队要求完成内容调整 4. 欢迎零基础新手加入，我们有完整的带教体系 我们提供 - 专属教务带教，从基础技能到项目逻辑全流程教学，帮助快速上手 - 清晰的成长路径，根据能力提升开放更多项目机会与薪资涨幅 - 灵活的协作模式，适配不同作息的求职需求 - 公平的薪资结算，按完成内容核算酬劳，多劳多 工作地点 营口市-站前区-市府路北1号8-2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"互联网电商,产业互联网平台,互联网教育,母婴玩具批发/零售/贸易,课外培训与资格考试",http://www.zhaopin.com/jobdetail/CCL1524507840J40851172011.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
双休AI制作专员,沈阳市浑南区木瓜创意文化传媒工作室(个体工商户),6000-8000元,沈阳·皇姑·新乐,沈阳,大专,经验不限,7月25日,zhilian_direct,职位描述 新媒体 岗位要求： 1.统招大专及以上学历，并获取毕业证 3.热爱AI制作行业 4.可以接受出差 5.接受无经验 上班时间 8：30-17：30 双休 法休 薪资待遇： 5000无责+绩效+提成，综合薪资7000以上，五险一金 工作地点 沈阳皇姑区金昌吉第6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,新媒体,http://www.zhaopin.com/jobdetail/CCL1505812760J40993024704.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
AI运营与设计,杭州宥瑞网络科技有限公司,7000-12000元·13薪,杭州·拱墅·湖墅,杭州,大专,经验不限,7月25日,zhilian_direct,职位描述 AI教育产品运营 用户体验设计 跨团队协同 工作职责 1. 负责AI教育产品的全生命周期运营，包括用户需求调研、功能优化建议及运营策略落地。 2. 结合教育场景特性，设计AI交互流程与界面体验，提升用户使用效率与满意度。 3. 分析用户行为数据，输出运营优化方案，推动AI产品的功能迭代与效果提升。 4. 协同技术、教研团队，将AI能力与教育内容深度融合，打造差异化产品体验。 任职要求 1. 本科及以上学历，计算机、设计、教育技术等相关专业优先。 2. 具备AI产品运营或用户体验设计经验，熟悉教育行业者优先。 3. 掌握数据分析方法，能通过数据洞察用户需求，优化运营策略。 4. 具备良好的跨团队沟通能力，能有效协同技术、教研等多角色推进项目。 工作地点 杭州市-拱墅区-长乐路97号103 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AI教育产品运营,用户体验设计,跨团队协同",http://www.zhaopin.com/jobdetail/CCL1526160400J40832744216.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
双休AI实习生,沈阳市浑南区考啦文化传媒中心(个体工商户),4000-8000元,沈阳·沈河·北站,沈阳,大专,经验不限,7月25日,zhilian_direct,职位描述 搜索 广告/公关/营销 产业互联网平台 新媒体 协助团队使用AI工具广告文案生成、创意素材制作中的应用落地。 参与营销内容的AI辅助优化，包括关键词挖掘、用户画像分析及投放效果初步评估。 整理AI工具使用案例与效果数据 薪资待遇 1.底薪4000+提成+奖金 2.早九晚六，周末双休，五险一金 任职要求 1.大专1及以上学历，（已经拿到毕业证） 3.接受灵活出差 工作地点 沈阳沈河区新地中心3楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,搜索,http://www.zhaopin.com/jobdetail/CCL1513198450J40850121614.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
AI智能自动化工程师,河南牛人设计网络科技有限公司,7000-11000元,南通·崇川·新开,南通,学历不限,经验不限,7月26日,zhilian_direct,职位描述 大模型 推荐 智能客服 人工智能 1、负责电商场景下AI工具的应用开发与落地，包括但不限于AI作图、电商内容生成(标题、详情页、文案等)、店铺运营提效、智能客服优化等。 2、熟练运用AI工具，如openclaw，结合电商业务需求，实现AI工具与业务流程的高效结合。 3、挖掘电商业务痛点，利用AI技术设计解决方案，提升店铺运营效率、转化效果及用户体验。 4、配合团队完成AI应用相关的测试、优化及迭代工作。 [任职要求] 1、具备AI应用开发相关经验，有电商行业AI工具应用案例(重点:需提供AI辅助电商内容生成、店铺运营或智能客服提效相关案例)。 2、必须有Al，如:openclaw工具使用经验，能熟练运用其完成相关开发或应用落地。 3、熟悉常见AI工具(作图、内容生成类)，了解电商运营流程，能快速对接业务需求。 >4、具备良好的逻辑思维、问题解决能力及沟通协作能力，执行力强，能快速上手工作。 5、有相关电商+AI落地经验者优先，可接受急岗到岗。 工作地点 南通崇川区益兴大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型,推荐,智能客服",http://www.zhaopin.com/jobdetail/CCL1340152530J40950147108.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
AI应用（应届生）,健康元药业集团股份有限公司,6000-7000元,深圳·南山·西丽,深圳,本科,经验不限,7月20日,zhilian_direct,岗位职责: 1. 参与AI智能体在子公司生产、质量模块的落地实施与日常运维。 2. 参与完成智能体接口配置、流程调试、权限管理。 3. 参与将生产、质量业务需求转化为AI可执行场景，完成智能体功能配置、测试与上线。 4.参与自研MES系统功能设计与开发，测试，上线培训，输出操作手册与培训材料。 任职要求: 1. 本科及以上，计算机、自动化、软件工程、工业工程、人工智能等相关应届毕业生。 2. 具备良好的学习能力、执行力、沟通能力。 工作地点 深圳南山区科技园北区朗山路17号健康元药业集团一楼人力资源部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,生物/制药",http://www.zhaopin.com/jobdetail/CC000053360J40882253305.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
AI产品经理,湖州自由互娱文化传媒有限公司,6000-10000元,湖州·太湖街道,湖州,学历不限,经验不限,7月25日,zhilian_direct,岗位职责 1. 负责AI人工智能、AI编程、AI应用、短视频AI、职场AI技能等相关课程的咨询讲解，为用户提供专业、精准的课程介绍与学习规划。 2. 通过线上沟通、私信、社群、直播答疑等方式，主动对接意向学员，解答学员关于课程内容、学习方式、就业前景、费用、课时、师资等各类问题。 3. 精准判断学员学习需求、基础水平、职业目标，为学员定制个性化AI学习方案，提升报名转化率。 4. 维护意向学员及老学员，做好跟进回访、答疑服务，建立良好的学员信任，促进复购、转介绍。 5. 熟悉行业AI课程体系、课程优势、就业方向与行业趋势，持续更新自身专业知识，保证咨询输出的专业性。 6. 完成团队制定的咨询量、跟进量、成交业绩目标，配合团队完成日常数据统计与工作总结。 7. 协助优化咨询话术、跟进流程，配合直播、活动、引流课程的转化落地。 任职要求 1. 学历不限，有无经验均可，零基础可带薪培训，热爱教育、AI行业，愿意长期稳定发展。 2. 沟通表达流畅，耐心细致，情商高，善于倾听用户需求，抗压能力强。 3. 熟悉手机、电脑基础操作，会线上聊天对接、跟进客户，工作认真负责、不摸鱼。 4. 对人工智能、AI工具、AI变现、职场技能提升课程有兴趣，愿意学习新知识。 5. 有教育咨询、课程销售、线上客服、新媒体、直播转化经验者优先录取。 岗位优势 1. 新兴风口岗位：AI行业热门刚需，市场大、需求稳定，晋升空间清晰。 2. 纯线上办公，无需外出跑市场，工作轻松干净，环境稳定。 3. 系统化培训：提供完整话术、产品知识、跟进技巧培训，小白快速上手。 4. 薪资结构透明：底薪+高提成+绩效奖励+开单奖励，多劳多得。 5. 团队年轻氛围好，无复杂职场套路，专注提升个人沟通。 工作地点 湖州市-长兴县-经济技术开发区明珠北路1388号15楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"搜索,推荐",http://www.zhaopin.com/jobdetail/CCL1524813690J40897524913.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
科技管培生（AI产品经理方向）,平安国际融资租赁有限公司,8000-12000元·20薪,上海·浦东·陆家嘴,上海,本科,经验不限,7月23日,zhilian_direct,"职位描述 产品经理 工作职责： 1. 负责对接AI中台，实现To B业务核心系统中的商业化应用的落地； 2. 负责牵头知识库的整理、SKILL的抽象及编写、Agent工作流的新建和维护； 3. 其他智能模型的应用场景。 任职资格： 1. 2026应届毕业生（优秀者可放宽至近1年应届毕业）,国内985院校毕业； 2. 有自己搭建的知识库、skill、Agent工作流项目； 3. 对open claw、Q claw、claude code、open code等至少有一个方向较熟悉。 工作地点 上海浦东新区平安金融大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",产品经理,http://www.zhaopin.com/jobdetail/CC362140510J40901270112.htm?refcode=4019&srccode=401901&preactionid=b9971832-7392-47da-a311-c8d3294c3755
