job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
游戏测试实习生,上海贝贝丝网络科技有限公司,5000-10000元,南宁·良庆·良庆镇,南宁,大专,经验不限,7月23日,zhilian_direct,岗位职责 1. 负责PC、Android、iOS等平台游戏的功能测试，执行测试计划，保障游戏产品质量。 2. 根据产品需求编写、执行测试用例，及时发现并反馈游戏问题。 3. 准确记录并提交Bug，协助研发进行问题定位、验证及回归测试。 4. 协助完成游戏功能、兼容性、性能等基础测试工作，保障版本按时上线。 5. 配合研发、策划及运营团队沟通，跟进问题修复进度，推动项目顺利进行。 6. 持续学习游戏测试相关知识，积极总结测试经验，不断提升专业能力。 任职要求 1. 2026届、2027届本科及以上学历，计算机、软件工程、信息工程、网络工程、数字媒体、数学等相关专业优先。 2. 热爱游戏行业，对各类游戏有较深入的了解，具备良好的游戏体验分析能力。 3. 了解软件测试基础知识，熟悉测试流程，有测试相关课程、项目或实习经验者优先。 4. 具备较强的逻辑思维能力、学习能力及问题分析能力，能够独立完成测试任务。 5. 工作认真细致，责任心强，具有良好的沟通能力、团队协作能力及执行力。 6. 能够接受版本上线期间的工作安排，具备一定的抗压能力。 7. 熟悉Python、Java、C++等任意一种编程语言，或有自动化测试经验者优先。 8. 有游戏测试、软件测试、游戏开发相关实习经历，或参与过游戏项目、电竞赛事、校园游戏社团者优先。 工作地点 广西壮族自治区南宁市良庆区五象新区五象大道403号15 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MacOS,Android,自动化测试,功能测试,移动端测试,手游测试,SLG游戏,模拟类角色扮演",http://www.zhaopin.com/jobdetail/CCL1526661420J40883157905.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
Linux开发实习生,广州家颐乐国际商贸有限公司,130-150元/天,广州·花都·新雅,广州,本科,经验不限,5月9日,zhilian_direct,职位描述 可转正 实习证明 C++ C语言 C# 嵌入式软件开发 Android Verilog Ubuntu openWrt 岗位要求： 1、 计算机/电子/通信/自动化等相关专业、本科以上学历。 2、 精通嵌入式或Linux C/C++等编程语言及相应的调试工具，具有良好的编程习惯及代码风格；有很强的代码分析、编写和调试能力；至少能熟练使用一种嵌入式集成开发环境进行编译、调试等工作。 3、 熟悉Linux原理及其应用，具有嵌入式ARM产品系统开发经验，能熟练运用Linux操作系统； 4、 熟悉硬件原理，具备硬件知识，了解常用电子元件的性能指标，具有一定的电路设计经验；掌握基本的EDA工具（ Candance等），能熟练运用ARM系列芯片进行系统设计；具有自动化控制行业经验优先。 5、 熟悉各种通信接口协议及编程，如SPI、I2C、CAN、CANOPEN等；了解各种嵌入式系统通用的总线协议，有现场总线或工业以太网开发及系统集成经验者优先。 6、 逻辑思维严谨，责任心强，做事积极主动，有团队合作精神，勤奋敬业 职位福利：五险一金、年底双薪、绩效奖金 工作地点 广州花都区嘉华广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言,C#,嵌入式软件开发,Android,Verilog,Ubuntu,openWrt",http://www.zhaopin.com/jobdetail/CC329248680J40321598316.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
fae现场应用工程师（应届生实习生）,无锡华众芯微电子有限公司,150-200元/天,深圳·宝安·航城,深圳,本科,经验不限,6月4日,zhilian_direct,职位描述 可转正 实习证明 Android C语言 Python 示波器 万用表 电烙铁 逻辑分析仪 综测仪 频谱分析仪 半导体/芯片 工作职责 1. 为客户提供AC-DC等应用方案的技术支持，协助解决产品应用过程中的技术问题。 2. 参与IC的系统功能验证与应用故障排查分析，输出专业的技术分析报告。 3. 协助撰写、审核IC应用参考手册等技术文档，确保内容的准确性与规范性。 4. 配合AE完成DEMO系统及应用系统的调试与优化，提升产品展示效果。 5. 协助销售团队对接客户端应用设计需求，解决技术异常问题，推动项目进展。 任职要求 1. 2027届应届生，电子信息、通信等相关专业，本科及以上学历。 2. 熟练操作示波器、万用表、电子负载、信号发生器、网络分析仪等硬件测试设备。 3. 熟悉AC/DC电源模块及开关电源设计原理，掌握EMI抑制、抗ESD等相关设计方法。 4. 能熟练使用Protel99se、AD15、PADS或CAD等电路设计软件。 5. 具备良好的文字与口头表达能力，能清晰准确地输出技术文档与沟通方案。 6. 投递简历时请附带成绩单。 补充说明 1. 工作时间：周一至周五 9:00-18:00，周末双休 2. 薪酬福利：（应届生实习生考核通过毕业后）五险一金、年终奖、带薪年假、节日福利、团建活动及职能提升机会 工作地点 深圳宝安区航城智谷·中城未来产业园7座208 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Android,C语言,Python,示波器,万用表,电烙铁,逻辑分析仪,综测仪,频谱分析仪",http://www.zhaopin.com/jobdetail/CCL1347213920J40886910913.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
实习生android,北京讯一科技有限公司,5000-8000元,北京·通州·马驹桥,北京,本科,经验不限,7月6日,zhilian_direct,岗位职责 协助资深安卓工程师完成 App 页面开发、功能迭代、兼容 bug 修复 编写页面布局、网络请求逻辑，配合后端完成接口联调 适配不同尺寸手机屏幕，处理 Android 版本兼容问题 参与需求评审，输出开发说明，维护项目代码 简单性能排查、日志分析，配合测试修复反馈问题 任职要求 基础学历 统招本科计算机、软件工程、移动开发等相关专业在读，27/28 届在校生优先 掌握计算机基础：数据结构、基础网络知识 技术硬性要求 扎实 Java/Kotlin 基础，至少熟练其一，理解面向对象 熟悉 Android 基础组件：Activity、Fragment、Service、Adapter、View 掌握 XML 布局编写，熟悉 LinearLayout、ConstraintLayout 等布局 了解网络请求，会使用 Retrofit/OkHttp 进行接口请求 熟练使用 Android Studio、Git、模拟器 / 真机调试 App 加分项 熟悉 Jetpack 组件：ViewModel、LiveData、Room 等 有完整个人 App 项目、课程设计、开源项目，Github 可查看源码 熟悉 Glide/Coil 图片加载、MVVM 开发架构 了解权限适配、安卓 10 + 系统兼容、热更新基础概念 会自定义 View、多线程异步处理、本地文件存储 软素质要求 主动学习安卓新技术，能独立检索文档解决适配、报错问题 沟通表达良好，可和后端、测试高效对接联调问题 注重代码规范，代码有注释，按时完成分配开发任务 细心耐心，重视机型兼容问题，遇到问题及时同步团队 福利：绩效奖金、股票期权、交通补助、餐补、带薪年假（转正后既享受带薪年假） 、六日双休、节假日休息、加班可以按小时调休、每年有体检、关爱父母的津贴 工作地点 北京市-通州区-北京通州景盛北三街联东U谷环科二号科技园31号楼31号楼102 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SDK,Android Studio,Java,Kotlin,C++,OkHttp,物联网项目,车载项目,GIS/地图项目",http://www.zhaopin.com/jobdetail/CC855889970J40761541501.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
游戏测试工程师,福州兜乐网络科技有限公司,4000-6000元·13薪,福州·仓山·建新,福州,学历不限,经验不限,7月25日,zhilian_direct,岗位职责】 1、根据策划案编写测试用例，并根据测试用例对每个功能点进行详细测试； 2、对即将发布的版本进行完整性测试，对游戏提出改进意见，并协助开发修改、复现BUG； 3、对于用户反馈的BUG，进行确认，复现并提交研发处理。 【任职要求】 1、对游戏测试有初步概念，擅长发现游戏的BUG，并且能够分析bug产生的原因； 2、能根据策划案设计测试用例，编写测试用例； 3、熟悉基本测试环境配置，熟悉ios、android手机操作系统； 4、熟练掌握测试相关的一些工具，能够主动发起测试相关的工作。 工作地点 福州仓山区锦顺中心1-2-3号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SQL,Android,功能测试,手游测试,APP测试,体育竞技类游戏",http://www.zhaopin.com/jobdetail/CC286750980J40870521714.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
SLG游戏测试（上海成都）,外企德科数字技术有限公司,9000-13000元,上海·徐汇·虹梅路,上海,学历不限,经验不限,7月26日,zhilian_direct,职位描述 Python SQL SLG游戏 Oracle SQL Server Windows MacOS Android Linux MySQL 1、工作年限2年以上，且在岗稳定的 2、Unity测试经验 3、SLG测试经验 4、品牌厂商产品背景优先 5、具备接口测试经验或熟悉Python、Lua，具备一定编程能力者优先 工作地点 华鑫慧享城上海市徐汇区宜州路188号华鑫慧享城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Python,SQL,SLG游戏,Oracle,SQL Server,Windows,MacOS,Android,Linux,MySQL",http://www.zhaopin.com/jobdetail/CCL1480117890J40828954905.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
JAVA软件工程师,烟台友开通信技术有限公司,6000-12000元,烟台·莱山·马山,烟台,本科,经验不限,7月26日,zhilian_direct,职位描述 Java C++ Eclipse SVN SQLite AndroidStudio 嵌入式技术 GIT 物联网 计算机软件 通信/网络设备 职位描述： 1、对讲，手机，物联网，智能穿戴等移动终端的开发和测试； 2、构建、提案、实践最适合各种产品的软件开发过程。 职位要求： 1、本科学历，CET-4以上； 2、计算机相关专业，熟悉通信原理、有嵌入式系统开发经验者优先； 3、精通Java编程，能独立阅读编写程序。 4、熟悉C C++编程，有相关开发经验者优选录取。 5、熟悉kotlin，有Android APP开发经验者优先录取。 6、工作地点：烟台 职位福利：五险一金、年底双薪、加班补助、餐补、带薪年假、定期体检、员工旅游 工作地点 烟台莱山区高新区海博路8号中俄科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,C++,Eclipse,SVN,SQLite,AndroidStudio,嵌入式技术,GIT",http://www.zhaopin.com/jobdetail/CC491821020J40273748413.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
android安卓开发工程师,星网锐捷,8000-13000元·13薪,福州·闽侯·上街,福州,本科,经验不限,7月24日,zhilian_direct,岗位职责： 1、负责android系统平台应用开发和维护; 2、承担项目管理和技术预研; 3、系统性能、架构优化; 技能需求： 1、熟练掌握 Kotlin 或 Java，理解 Android 框架、生命周期、线程管理、MVVM/MVP 架构; 2、熟练使用 Android Studio 及相关开发工具（Gradle、ADB、Profiler）; 3、掌握网络通信（OkHttp、Retrofit、WebSocket）、数据存储（Room、DataStore）; 4、具有智能电视（Android TV）/ 机顶盒（STB）相关应用开发设计经验; 5、若有 Android 平台多媒体框架（MediaCodec、MediaPlayer、ExoPlayer、OpenSL ES）开发背景更佳; 6. 计算机自动化相关专业背景；如果能力优秀可放宽； 7. 具有较强的自学和解决问题能力; 8. 具有较强的责任心和自驱力。 工作地点 福州闽侯县星网锐捷科技园(东北门) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"安卓应用开发,视频应用开发,海外版",http://www.zhaopin.com/jobdetail/CC139189880J40616883905.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
软件工程师,杭州喆诺制冷设备有限公司,6000-10000元,杭州·钱塘·新湾,杭州,大专,经验不限,7月25日,zhilian_direct,职位描述 物联网项目 多线程 Android Studio Java Python JavaScript 1）公司的产品是自动奶茶机、咖啡机、啤酒机等商用餐饮智能设备 2）负责产品上位机软件开发，以及小程序开发 3）协助进行产品的用户界面设计，以及参与产品的电控设计 工作地点 钱塘区杭州喆诺制冷设备有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"物联网项目,多线程,Android Studio,Java,Python,JavaScript",http://www.zhaopin.com/jobdetail/CC695644220J40875487812.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
Android开发工程师（27届实习）,珠海全视通,3000-4000元,珠海·香洲区·唐家湾镇,珠海,大专,经验不限,7月22日,zhilian_direct,岗位职责： 1、协助Android平台应用软件开发工作； 2、根据产品需求，协助软件详细设计、编码实现、调试及基本功能测试； 3、协助撰写软件的详细设计文档、使用说明文档。 工作地点 香洲区珠海全视通信息技术有限公司唐家湾新奥林B栋4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"鸿蒙项目,物联网项目,Android Studio,Socket,Java",http://www.zhaopin.com/jobdetail/CC463865610J40853331309.htm?refcode=4019&srccode=401901&preactionid=7e6702e8-cc82-4b44-ac60-25b26786cfbf
