job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高薪直招C牌多劳多得就近安排,苏州玖毅汽车服务有限公司,7000-13000元,苏州·张家港·大新,苏州,学历不限,经验不限,7月26日,zhilian_direct,岗位职责】 ·负责短途及长途客运驾驶任务 ·遵守交通法规 【职位要求】 ·持有C1/C2/B2驾照，驾龄1-2年 ·无一次性扣12分违章记录 ·可接受全职或兼职工作形式 【工作时间】 具体时间班次面议 【薪资福利】 ·薪资范围保底7000 ·提供住宿、交通补助、加班补助 工作地点 苏州张家港市JI MI原创设计集合店 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,面包车,4米2货车",http://www.zhaopin.com/jobdetail/CCL1516171460J40832947311.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
C照货车司机,成都佳馨运供应链管理有限公司,7000-12000元,成都·青白江,成都,学历不限,经验不限,5月29日,zhilian_direct,岗位职责: 1、负责将公司库房货物送到地点(成都市内); 2、负责货物的领取，货物的装卸; 3、负责送货票据的签收和交接工作; 4、按标准送货，安全、及时、规范、高效，做好 送货、接货工作。任职要求: 1、识字会写字，初中以上文化; 2、持C1以上驾照，熟悉交通法规; 3、人品正直、诚实稳重、守时敬业; 4、身体健康，无不良嗜好，无安全事故记录; 5、吃苦耐劳，服从安排。 工作地点 成都青白江区大成工业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,货运司机,面包车司机",http://www.zhaopin.com/jobdetail/CCL1497267510J40898794703.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
急招C照货运司机日结500/天,天津市快易行运输有限公司,8000-9000元,保定·定州·西城区,保定,学历不限,经验不限,6月30日,zhilian_direct,职位描述 C1驾驶证 C2驾驶证 栏板式货车 公司提供3.8米平板，负责保定～石家庄纸壳运输，一天一趟来回，底薪8000+提成+五险，综合工资9500左右，C1驾照，有货车经验，会用导航，能吃苦耐劳，开不了货车不能吃苦勿扰 工作地点 保定市-定州市-G107陈庄子社区西侧约250米1-101 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,C2驾驶证,栏板式货车",http://www.zhaopin.com/jobdetail/CCL1524085330J40877669505.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
泉州-厦门当天往返C司机,福建泉州泽鑫供应链有限公司,9000-12000元,泉州·鲤城区·鲤中街道,泉州,学历不限,经验不限,10月16日,zhilian_direct,职位描述 C1驾驶证 就近安排 工作时间灵活 工作内容：泉州-厦门当天往返物流司机，不装不卸，点对点 职位要求：需要您具备C1驾照，工作地址就近安排。 薪资:10000-13000 工作内容简单，只要用心就能做好，能稳定的投递简历 工作地点 泉州鲤城区鲤城大酒店停车场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,就近安排,工作时间灵活",http://www.zhaopin.com/jobdetail/CCL1468103780J40461397607.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
石河子C（9:00-17:00）周末双休+绝不加班+六险一金,中国平安,面议,石河子市·石河子镇,石河子市,大专,经验不限,7月26日,zhilian_direct,职位描述 工作简单 绝不加班 提供资源 划分私域 领导可爱 同事暖心 周末双休 五险一金 【招聘部门】平安集团-网格部（不是代理人，不是区拓，不是普惠，不是综合金融）平安未来10年核心部门 【招聘岗位】社区网格专员（老客户服务维护+二次开发／二次续费） 【七大优势】岗位有意向有兴趣可随时投递~HR本人24小时在线~ 1、【时间】不加班，朝九晚六，固定周末双休，法定节假日跟着国家放 2、【客户】公司提供精准客户资源转化，客户网格集中划分，不用东奔西跑 3、【薪资】保底工资高，保底工资不挂钩业绩 4、【保障】签劳动合同，买五险一金 5、【位置】上班市中心，交通通勤便利 6、【形式】不用枯燥打电话，不用陌拜，外勤自由 7、【产品】产品多样化，只要是平安集团旗下的产品都包含 【工资】 1、入职前1-3个月考察期专员：保底工资+新人津贴600-10000+提成（考察期到手薪资平均8000） 2、入职3-6个月及之后： 高级专员薪资：保底工资+600-10000新人津贴+提成（到手薪资平均9000-20000+） 保底工资和业绩不挂钩，可以全拿 3、签劳动合同，购买五险一金 【工作内容】 1、线上服务+客情维护原有老客户（分配到企业微信），公司会分配网格和分配客户资源 2、对有需求有意向客户进行拜访或约面，促进成交 3、总结：老客户维护服务，管理+二次续费或二次开发 【产品】 平安集团旗下的产品都包含，包括但不止于：理财，信用卡等等，领域之外的教育和医疗系统（具体看客户需求） 【上班时间】 1、朝九晚六，不加班！ 2、周末双休，不加班！ 3、法定节假日休息，不加班！ 工作地点 石河子市新华书店(天山路店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工作简单     绝不加班,提供资源   划分私域,领导可爱   同事暖心",http://www.zhaopin.com/jobdetail/CC000204810J40918196212.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
招给公司开车C照货运司机,杭州曜顺供应链有限责任公司,1-1.2万,杭州·萧山·宁围,杭州,学历不限,经验不限,6月15日,zhilian_direct,岗位职责： 1. 负责江浙区域（杭嘉湖绍兴-—周边城市）200-300公里短途专线货物运输，主要配送百货轻抛货、托盘物料等普货 2. 按公司调度指令准时完成配送任务，日均出车1趟，月出勤满26天 3. 驾驶公司提供的4.2米新能源电箱货车，确保行车安全与车辆日常基础检查 4. 配合装卸环节（大部分无需装卸，确需参与时另计装卸费） 5. 遵守交通法规及公司运输管理规范，及时反馈运输异常情况 任职要求： 1. 持有效C1或C2驾驶证，驾龄1年以上，无重大交通责任事故记录 2. 身体健康，能适应短途城际配送节奏，服从线路统筹安排 3. 无经验者可接受免费岗前培训，公司专人带教上岗 4. 诚信踏实，责任心强，具备基本沟通与应急处理能力 5. 学历不限，初中及以上文化程度优先 待遇：月收入9000-13000 工作地点 杭州萧山区建设三路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"4米2货车,C1驾驶证,厢式货车,短途货运",http://www.zhaopin.com/jobdetail/CCL1501453640J40889220313.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
急募C照货运司机（不装卸 纯开车）,合肥万好运供应链服务有限责任公司,8000-12000元,宿州·埇桥区·汴河街道,宿州,学历不限,经验不限,7月6日,zhilian_direct,岗位职责：公司安排订单进行货物运送，不装卸，公司提供车辆提供货源。 工作地点：中长途。 工作时间：早上八点到下午7点左右，弹性工作时间. 职位福利： 1，公司提供新能源车，4米2厢货，不需要租车买车. 2，全职货车司机，晋升空间大：司机-优秀司机-小队长-中队长-大队长-司管-负责人。 3.综合薪资8000—12000元/月。 应聘要求： 1、性别不限，C1及以上驾照，1年以上实际驾驶经验。 2、熟悉本地路况或熟悉GPS导航操作。 3、有上进心，踏实努力。 投递简历即可 工作地点 埇桥区宿州市政务服务中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,C2驾驶证,厢式货车,4米2货车,长途货运",http://www.zhaopin.com/jobdetail/CCL1486667160J40790281511.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
C/C++/Java/JS/Python软开（接受断档25届）,外企德科数字技术有限公司,1.5-3万,广州·天河·棠下,广州,本科,经验不限,7月26日,zhilian_direct,职位描述 JavaScript Python C++ Spring MySQL 产业互联网平台 计算机软件 主要地点：（东莞、深圳、杭州、 西安，苏州、上海，武汉，成都，南京、北京）十大研究所，少量（广州、长沙、济南）三个办事处 （1）导师制培训机制，新人入职后半年以上会有导师一对一带教 （2） 部门：ICT(公开，光，计算，无线，数存等 ) 、华为云、2012(中硬，中软，中媒)、消费者BG、BPIT、上海海思、Carbu、数字能源等 （3） 全程线上面试，流程随时跟进可查 一、软件开发工程师 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底 二、算法工程师 1、熟练掌握Java/C/C++/Python其中一个或多个编程语言，有扎实的编程功底；熟悉机器学习、深度学习或图像算法 三、软件测试工程师 1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底 2.有web开发或测试经验、自动化开发或测试经验者优先。 3.熟练掌握系统测试、功能测试、专项测试、软件测试、韧性测试、安全测试方法中的一种或多种方法，有相关测试语言/脚本的编写和实践经验优先 四、数据开发、数据分析岗 工作地点 广州天河区南方通信大厦9层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"JavaScript,Python,C++,Spring,MySQL",http://www.zhaopin.com/jobdetail/CCL1480117890J40858637605.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
急招C照货运司机日结500/天,天津恒远搬家服务有限公司,9000-10000元,保定·竞秀·韩村,保定,学历不限,经验不限,7月17日,zhilian_direct,职位描述 C1驾驶证 栏板式货车 短途货运 同城配送 公司给司机师傅免费安排车辆 1路线规划：京津冀配送 主要送机器 2运输时间：早上八点，一天一趟，送完休息 3薪资：底薪8000+五险+意外险+提成（一个月10000左右） 4工资每个月20号发放，不拖欠，入职半个月可以预支 福利待遇好，工作稳定，长期有活 工作地点 保定竞秀区河北久秉机器人制造有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C1驾驶证,栏板式货车,短途货运,同城配送",http://www.zhaopin.com/jobdetail/CCL1346566760J40789840106.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
消防监控值班员C,京沃消防维保技术(辽宁)有限公司,4000-5000元,葫芦岛·连山区·兴工街道,葫芦岛,高中,经验不限,7月26日,zhilian_direct,职位描述 商业办公场所 工作内容：8小时工作制 不加班 倒班（8-16点，16-24点，24-8点）双人值班 1、在中控室操作主机平台，调取查阅监控录像 2、组织企业消防演练，记录值班日记 3、迎接消防安全检查，准备迎检文书工作 4、消防安全周安全月的宣传工作 工资待遇： 固定薪资4200到手，五险一金，包食宿。月休6-8天。 岗位要求： 1、大专及以上学历，学历能力强 2、退伍军人优先考虑（学历可适当降低） 3、身体健康，无不良嗜好，无重大疾病传染性疾病 4、无纹身无违法违纪。 工作地点 连山区葫芦岛市中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,商业办公场所,http://www.zhaopin.com/jobdetail/CCL1488186380J40865150810.htm?refcode=4019&srccode=401901&preactionid=113dc73d-fcd7-429a-8327-838540e7ec04
