job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
物联网调试助理,沈阳嘉裕恒信息咨询有限公司,4000-7000元,沈阳·和平·太原街,沈阳,大专,经验不限,7月25日,zhilian_direct,职位描述 功能测试 性能测试 安全测试 Python C语言 C++ Java 信号测试 移动通信测试 网优测试 岗位内容： 1. 进行通信硬件、软件及系统验证测试，包括功耗、电磁兼容等测试； 2. 编写测试计划、测试用例、测试报告等相关文档； 3. 协助工程师进行问题的排查与分析，并提供技术支持； 4. 参与开展新产品测试和工艺改进测试。 任职要求： 1. 具有通信或电子工程相关专业大专及以上学历； 2. 熟悉通信基础知识，掌握硬件、软件、系统测试方法和流程； 3. 熟练使用各种通信测试仪器和设备； 4. 精通至少一种编程语言，熟悉Linux操作系统和Shell编程； 5. 具备良好的沟通能力和团队协作精神。 工作地点 辽宁省沈阳市和平区中山路65号百川教育大厦6 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"功能测试,性能测试,安全测试,Python,C语言,C++,Java,信号测试,移动通信测试,网优测试",http://www.zhaopin.com/jobdetail/CCL1523443400J40895689003.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
【入职五险一金】嵌入式开发助理+双休+住宿,深圳市深信网络科技有限公司,8000-13000元·13薪,深圳·龙岗·龙城,深圳,本科,经验不限,7月12日,zhilian_direct,职位描述 C语言 C++ 32位单片机 硬件电路设计调试 嵌入式系统开发 硬件工具使用 任职要求： 1. 本科及以上学历，电子信息、自动化、计算机等相关专业，基础扎实。 2. 熟悉C/C++编程语言，了解嵌入式系统开发流程，有STM32等单片机开发经验优先。 3. 掌握硬件电路基础，能使用示波器、万用表等工具进行硬件调试。 4. 具备良好的学习能力与问题解决能力，工作细致，责任心强。 补充说明 1. 入职即缴纳五险一金 2. 双休制 3. 提供住宿 工作地点 深圳龙岗区荣超英隆大厦六楼整层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++,32位单片机,硬件电路设计调试,嵌入式系统开发,硬件工具使用",http://www.zhaopin.com/jobdetail/CCL1520701140J40895006013.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
通信数据专员-助理,江苏云盛汇才数字科技有限公司,9000-14000元,深圳·龙华·民治,深圳,本科,经验不限,7月25日,zhilian_direct,职位描述 5G 网络协议 通信数据处理 数据可视化 网络运维支撑 C语言 通信项目管理 通信设备装维 数字信号处理 工作职责 1. 负责通信网络数据的采集、清洗与标准化处理，确保数据的完整性与准确性。 2. 监控通信系统运行数据，及时识别异常指标并协助定位问题根源。 3. 参与通信数据报表与可视化报告的制作，为网络优化提供数据支撑。 4. 维护数据处理流程与工具，提升数据处理效率与质量。 任职要求 1. 本科及以上学历，通信工程、计算机、数据科学等相关专业优先。 2. 熟悉通信网络基础知识，了解TCP/IP、5G等主流通信协议。 3. 具备较强的逻辑思维与问题解决能力，能快速响应数据异常情况。 4. 有通信行业数据处理或网络运维经验者优先。 工作地点 深圳龙华区启航大厦-东区-903-2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5G,网络协议,通信数据处理,数据可视化,网络运维支撑,C语言,通信项目管理,通信设备装维,数字信号处理",http://www.zhaopin.com/jobdetail/CCL1523595660J40855893311.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
嵌入式开发工程师,西安鹏耀博文信息技术有限公司,6000-12000元,西安·莲湖·北院门,西安,本科,经验不限,1月26日,zhilian_direct,职位描述 C语言 C++ 计算机软件 岗位内容： 1. 设计和开发嵌入式系统的软件 2. 与硬件工程师合作，确保软件与硬件的紧密集成 3. 软硬件相结合，开发相应的自动化控制产品。 任职要求： 1. 熟练掌握C/C++语言，单片机传感器技术 2. 熟悉操作系统和网络协议栈 3.理工类相关专业优先考虑。 工作地点 西安莲湖区旭弘大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++",http://www.zhaopin.com/jobdetail/CCL1509995720J40823058611.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
C/C++研发—智能驾驶/芯片半导体等（接受25届无经验、考研断档等）,外企德科数字技术有限公司,1.6-3万·14薪,南京·雨花台·雨花,南京,本科,经验不限,7月26日,zhilian_direct,职位描述 C语言 C++ Java 计算机软件 新能源汽车 在未来，把数字世界带入每一辆车，就能真正实现智能的驾驶、智慧的空间、智慧的服务和智能的生产，让汽车产业与ICT技术加速融合，跨界合作共赢将成为新的趋势。我们的业务将会涉及到智能驾驶、智能座舱产品部、融合感知、集成与验证、解决方案适配等。 岗位要求： 1、大学本科及以上学历，计算机、通信、自动化等相关专业。 2、掌握C/C++/Java/Python等一种或多种语言的开发应用，掌握数据结构、算法相关知识。 3、具有良好的沟通能力，刻苦、敬业、有上进心，对技术有激情，喜欢钻研，有较强的独立、主动的学习能力。 4、没有工作经验的应届生同学亦可，需要具备较好的学习能力 可以接触到最新的技术：图形识别、目标检测、异常检车、视频检测、AI 、神经网络、机器人感知规控等相关 其他业务：业务简介： ●Car Bu：问界智能车、智能驾驶、驾驶座舱、车载软件 ●终端：华为手机、PC、平板、可穿戴产品、智慧办公等产品研发 ●数存：华为数据存储部门主要着力于数据存储技术研发，业务排名国内第一。发展快，技术前沿。 ●数字能源：部门业务涵盖了光伏发电、智能锂电池、电车机电系统、超速充电桩、模块电池、网络配电数据中心（国家新基建重点项目）、能源云等方向。是现在发展最快的行业之一。 ●华为云：华为云计算部门主要做云服务、公有云、云平台及数字化平台等云相关业务。 ●2012中央媒体院： 中媒鸿蒙项目新增软件开发和软件测试（开发和测试都必须是C++） ●除此以外，智能车、计算产品线、2012实验室、GTS、海思等部门都有需求 在招岗位： Java开发 C/C++研发 Python研发 算法研发 web前端 软件测试 数据开发/大数据 大模型算法 奖金绩效 全额缴纳五险一金 ；2-4个月年终；补带薪培训；有趣团建 工作地点 华为南京研究所南京市雨花台区软件大道101号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C语言,C++,Java",http://www.zhaopin.com/jobdetail/CCL1480117890J40849613505.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
初级嵌入式测试/接受无经验/应届,福州高新区才拓科技有限公司,6000-8000元,苏州·工业园区,苏州,本科,经验不限,4月14日,zhilian_direct,岗位职责： 参与公司嵌入式产品的底层软件设计与开发，包括但不限于编写驱动程序、优化系统性能。​ 协助硬件工程师进行硬件与软件的联调工作，及时解决调试过程中出现的问题。​ 根据项目需求，完成相关功能模块的代码编写、测试及维护。​ 整理和编写技术文档，记录开发过程中的技术细节和问题解决方案。​ 任职要求：​ 本科及以上学历，电子信息、计算机、自动化等相关专业应届毕业生或毕业 1 - 2 年的新人优先。​ 熟悉 C/C++ 编程语言，有一定的编程基础和良好的代码规范习惯。​ 了解嵌入式系统的基本概念，对硬件电路有初步认识。​ 具备较强的学习能力和责任心，能够积极主动地解决问题，有良好的团队协作精神。​ 薪资福利：​ 月薪 6000 - 8000 元，根据个人能力和表现有较大的调薪空间。​ 五险一金，额外商业保险。​ 提供丰富的培训机会，包括内部技术分享、外部培训课程等，助力员工快速成长。​ 享受带薪年假、病假，节日福利，定期团建活动，轻松愉悦的工作氛围。​ 工作地点 工业园区苏州人工智能产业园(园区) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"PIC单片机,32位单片机,Python,C++,C语言",http://www.zhaopin.com/jobdetail/CCL1491047900J40790973707.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
VC++/ C++程序员(也考虑实习和应届毕业生),北京中维数通软件有限公司,5000-8000元,北京·昌平·霍营,北京,本科,经验不限,7月9日,zhilian_direct,职位描述 C语言 C# Qt OpenCV MFC QT开发 计算机软件 1.本科及以上学历，计算机相关专业或工程相关专业； 2.熟练使用VC++开发程序； 3.熟悉MFC编程、数据库编程； 4.熟悉AUTOCAD二次开发接口ObjectArx者优先； 5.能吃苦耐劳，有团队合作精神； 6.有良好的学习能力和强烈的进取心。工作积极主动，善于沟通、表达， 有团队协作精神 ，有独自解决问题的能力，能够承受一定工作压力。 职位福利：五险一金、年底双薪、绩效奖金、加班补助、餐补、带薪年假、员工旅游、节日福利 工作地点 北京市-昌平区-科星西路19号院中顺大厦8层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C#,Qt,OpenCV,MFC,QT开发",http://www.zhaopin.com/jobdetail/CC429332625J00140318810.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
嵌入式工程师,青岛一跃具身机器人有限公司,8000-12000元,青岛·城阳·棘洪滩,青岛,本科,经验不限,6月17日,zhilian_direct,岗位职责(偏软): 1.参与嵌入式系统的硬件设计、开发与调试，确保系统稳定高效运行; 2.负责嵌入式软件的开发、测试与维护，优化产品性能; 3.与团队合作，完成机器人从概念设计到产品量产的全流程工作; 4.解决生产及现场反馈的技术问题，持续改进产品性能与可靠性。 任职要求: 1.熟悉嵌入式系统的硬件架构设计与软件编程，具备扎实的电子电路基础; 2.精通C/C++语言，有实际嵌入式操作系统(如FreeRTOS、Linux等)开发经验; 3.具备电机控制和驱动相关经验，良好的问题分析与解决能力，能够独立承担项目模块的开发与调试; 4.有机器人或自动化设备相关开发经验优先，具有较强的学习能力和创新意识; 5.良好的团队合作精神，沟通协调能力强，能适应快节奏的工作环境。 工作地点 山东省青岛市城阳区泰鸿路67号9B栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言,32位单片机",http://www.zhaopin.com/jobdetail/CCL1512269560J40889800413.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
agv机器人实施工程师,成都惠云通科技有限公司,4000-8000元,成都·成华·龙潭,成都,大专,经验不限,7月7日,zhilian_direct,职位描述 工业机器人 C语言 Python 计算机软件 职位描述： 1.根据厂家提供的机器人，负责现场安装调试机器人。 2. 负责客户现场机器人调度软件部署调试。 3. 负责产品的系统技术指导，主要是系统与平台调试，试运行保障和辅助验收，帮助客户可以正常运行实体系统。 4.负责与客户保持良好关系；与公司技术人员及时沟通反馈问题。 要求： 1. 大专以上学历，有计算机、电子类、测控类和机械类、通信类、网络类专业优先。 2. 接受公司安排工作地点，接受全国出差项目常驻。（必要条件） 3. 具有良好的分析能力、学习能力、理解能力和沟通能力。 4. 半年以上技术支持或交付运维的工作经验。 5. 能够熟悉掌握Linux系统。 6.具有团队合作和吃苦耐劳的精神，有责任心和工作抗压能力。 工作地点 成都市-成华区-成致路丛树新型社区西北侧约280米1501 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工业机器人,C语言,Python",http://www.zhaopin.com/jobdetail/CCL1455068410J40685913312.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
移动通信工程师,郑州利观汽车科技有限公司,6000-8000元·13薪,郑州·二七区·长江路,郑州,大专,经验不限,7月24日,zhilian_direct,职位描述 5G 无线通信 C语言 C++ 车载移动通信系统 V2X技术应用 车载总线协议 工作职责 1. 负责车载移动通信系统的技术方案设计与落地，保障车联网通信链路的稳定性与安全性。 2. 对接上下游团队，完成通信模块的需求分析、功能开发及性能优化。 3. 跟踪5G/V2X等前沿通信技术在汽车领域的应用，推动技术创新与产品升级。 4. 解决车载通信系统在实际场景中的技术问题，输出技术文档与解决方案。 任职要求 1. 通信工程、电子信息等相关专业，基础扎实。 2. 移动通信领域工作经验，精通LTE/5G通信协议栈及无线通信原理。 3. 具备车载通信或智能网联汽车项目经验者优先，熟悉CAN/LIN等车载总线协议更佳。 4. 掌握至少一种编程语言（如C/C++/Python），具备独立分析与解决技术问题的能力。 工作地点 郑州市-二七区-二七万达广场12号楼B座28楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5G,无线通信,C语言,C++,车载移动通信系统,V2X技术应用,车载总线协议",http://www.zhaopin.com/jobdetail/CCL1525089850J40856996901.htm?refcode=4019&srccode=401901&preactionid=546de55e-4129-4fba-83e4-197dc031bc73
