job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据工程师,杭州宥瑞网络科技有限公司,7000-12000元·13薪,杭州·拱墅·湖墅,杭州,大专,经验不限,7月25日,zhilian_direct,职位描述 数据仓库 ETL 数据建模 Sql Python Java Hadoop Spark 教育业务数据处理 数据质量监控 业务数据分析方案输出 工作职责 1. 负责教育业务数据的全链路采集、清洗与标准化，构建高质量的数据仓库与数据集市。 2. 设计并优化数据ETL流程，保障数据的准确性、完整性与实时性。 3. 与业务团队协作，理解教学、运营场景的数据需求，输出可落地的数据分析方案。 4. 监控数据质量，建立数据异常预警机制，及时解决数据生产过程中的问题。 任职要求 1. 本科及以上学历，计算机、统计学、数学等相关专业。 2. 掌握至少一种编程语言（Python/Java/Scala），熟悉SQL查询与优化。 3. 具备数据仓库建模经验，了解星型/雪花模型设计，掌握Hadoop、Spark等大数据工具优先。 4. 有互联网教育行业数据处理经验者优先，能理解教学行为、用户画像等业务数据逻辑。 工作地点 杭州市-拱墅区-长乐路97号103 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据仓库,ETL,数据建模,Sql,Python,Java,Hadoop,Spark,教育业务数据处理,数据质量监控,业务数据分析方案输出",http://www.zhaopin.com/jobdetail/CCL1526160400J40832738516.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发助理,郑州家满净日化有限公司,1.2-1.5万,郑州·新密·曲梁产业区,郑州,本科,经验不限,7月26日,zhilian_direct,职位描述 数据仓库 数据建模 ETL Sql Spark 零售行业经验 数据报表开发 数据可视化 工作职责： 1. 负责公司零售业务数据仓库的设计、开发与维护，构建高效的数据存储与计算体系。 2. 基于日化行业特性，设计采购、库存、销售等核心业务的数据模型，支撑业务部门的数据分析需求。 3. 开发ETL数据处理流程，实现多源数据的清洗、转换与加载，保障数据质量与准确性。 4. 配合业务团队完成数据报表开发与数据可视化呈现，为业务决策提供数据支持。 任职要求： 1. 本科及以上学历，计算机、统计学、数学等相关专业。 2. 掌握SQL语言，熟悉Hive、Spark等大数据工具，具备数据仓库建设经验。 3. 熟悉ETL流程设计，能独立完成数据清洗、转换等工作。 4. 具备良好的业务理解能力，能快速将业务需求转化为数据解决方案。 5. 有快消、零售行业数据开发经验者优先。 工作地点 缘玉食品商行河南省郑州市新密市曲梁镇杨庄路东侧、岗牛大街南侧、大学路西、高洼街北侧B23号楼1-4层01 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据仓库,数据建模,ETL,Sql,Spark,零售行业经验,数据报表开发,数据可视化",http://www.zhaopin.com/jobdetail/CCL1526470360J40789559806.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
初级数据开发工程师,萬高信息科技有限公司,5000-7000元,珠海·香洲区·湾仔街道,珠海,本科,经验不限,7月22日,zhilian_direct,职位描述 ETL 数据库开发 Sql MySQL DB2 岗位要求： 1、本科學歷學信網上可查 2、熟悉mysql/oracle/db2其中一種以上關係數據庫優先 3、熟練編寫sql及存儲過程，理解SQL優化優先 4、熟悉常用shell命令及脚本編程優先 5、有ETL工具Kettle/DataStage等其中一種使用經驗者優先 6、計算機或數學相關專業優先 工作地点 珠海香洲区珠澳跨境工业区西环路704号2栋保盛大厦 4 楼 405室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ETL,数据库开发,Sql,MySQL,DB2",http://www.zhaopin.com/jobdetail/CC466670830J40875663814.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发助理,郑州蔚侃商贸有限公司,1.2-1.4万,郑州·金水·兴达路,郑州,本科,经验不限,7月25日,zhilian_direct,职位描述 ETL 数据仓库 数据建模 Sql Python Java 数据质量保障 业务需求对接 数据处理脚本开发 工作职责 1. 负责公司业务数据的采集、清洗、转换与加载（ETL），构建高质量的数据仓库。 2. 设计并优化数据模型，支撑业务报表与数据分析需求。 3. 维护数据处理流程，保障数据质量与系统稳定性。 4. 与业务团队协作，理解数据需求并提供技术解决方案。 任职要求 1. 本科及以上学历，计算机、统计学等相关专业。 2. 掌握SQL语言，熟悉至少一种ETL工具（如Kettle、DataX）。 3. 具备数据仓库设计经验，了解星型/雪花模型等数据建模方法。 4. 有Python或Java等编程语言基础，能独立完成数据处理脚本开发。 5. 具备良好的逻辑思维能力与问题解决能力。 工作地点 金水区航苓百货商行河南省郑州市郑东新区圃田泽路与美秀路交叉口尚景华园22号楼A3-3室G区77号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ETL,数据仓库,数据建模,Sql,Python,Java,数据质量保障,业务需求对接,数据处理脚本开发",http://www.zhaopin.com/jobdetail/CCL1526481900J40865044201.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
BI工程师,广州市云华信息技术有限公司,5000-8000元,广州·天河·车陂,广州,大专,经验不限,7月21日,zhilian_direct,职位描述 Kettle SQL FineBI 职位描述 1、负责项目中的报表开发工作（基于FineReport、FineBI）； 2、负责项目中的数据开发工作（ETL、数仓建模设计）； 3、负责项目中产品的安装、部署、和系统初始化等工作； 4、熟练使用FineReport、FineBI、FineOps等帆软系产品工具，以及熟练掌握常见关系型、非关系型数据库，能够独立跟客户沟通，进行需求调研分析，有一定的文档编写能力； 5、职级P1-0及以上 任职资格 1、大专及以上学历，计算机及相关专业优先； 2、熟悉Mysql、Oracle等关系型数据库，能熟练编写SQL代码； 3、熟悉Finereport、FineBI、FineOps等帆软系产品工具； 4、较好的沟通能力以及文档编写能力； 5、熟悉Kettle、FineDatalink等ETL工具； 6、必须持有FCP-D证书； 7、能接受华南地区出差（基本是广东省内、珠三角） 工作地点 广东省广州市天河区中山大道282号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Kettle,SQL,FineBI",http://www.zhaopin.com/jobdetail/CCL1278134490J40423892106.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发实习生,天源迪科,150-200元/天,重庆·渝中·石油路,重庆,本科,经验不限,7月24日,zhilian_direct,岗位职责】： 1、负责数据仓库建模和ETL开发。 2、参与数据治理工作，提升数据易用性及数据质量。 3、负责离线和实时数据服务的设计、开发、性能调优和效果优化。 4、完成日常数据质量的监控，跟踪处理各类数据质量问题。 【任职要求】： 1、2027年本科及以上学历，计算机、数学、金融等相关专业。 2、熟悉大数据环境，具备较强编码能力，了解Hadoop、hive、spark、kafka、storm中至少3项以上。 3、有基础数据仓库构建经验，对数据敏感，认真细致，善于从数据中发现疑点。 4、善于沟通，具备优秀的技术能力。 5、了解机器学习、深度学习理论优先。 工作地点 渝中区重庆总部城A区-4号楼6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据仓库,ETL,Hadoop,Spark,Storm",http://www.zhaopin.com/jobdetail/CC130494460J40776622714.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发工程师（24届）,东华软件股份公司,6000-9000元,泰安·岱岳区·北集坡街道,泰安,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、负责数据处理流程设计与开发工作。 2、负责数据优化与数据建模，对数据模型进行优化，满足不同场景的数据需求。 3、负责数据ETL开发，报表开发、SQL开发等工作。 4、负责数据分析、数据查询、数据交换，为业务部门及下游系统提供数据支撑。 5、参与数据类项目的现场实施，现场数据需求分析。 PS:东华软件股份公司在此郑重声明：我公司不会要求求职者注册公司内部平台、也不会以任何名义收取求职者任何费用。请各位求职者注意甄别信息、以免造成损失。 工作地点 泰安岱岳区南天门大街 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Sql,数据治理,Hadoop",http://www.zhaopin.com/jobdetail/CC193399810J40553044007.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发-风险模型,北京银丰新融科技开发有限公司,5000-6000元,北京·朝阳·安贞,北京,本科,经验不限,7月23日,zhilian_direct,职位描述 ETL Sql 注意本科需要统招学信网可查 本岗位需要出差 1、统招本科及其以上学历，计算机相关专业 ； 2、精通SQL语言开发，ETL开发；熟练使用ORACLE或DB2等主流数据库； 3、良好的沟通和逻辑思维能力，较强撰写文档能力 4、有强烈的责任心、抗压能力和良好的团队协作精神 工作地点 北京朝阳区浙江大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ETL,Sql",http://www.zhaopin.com/jobdetail/CC121069040J40897755813.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
数据开发/运维,石家庄泽众劳务派遣有限公司,1.2-1.4万,西安·雁塔·丈八沟,西安,本科,1年以下,7月26日,zhilian_direct,职位描述 数据仓库 ETL Sql Hadoop Spark Flink 数据平台运维 数据性能优化 数据解决方案输出 工作职责： 1. 负责企业级数据仓库的设计与开发，构建高效的数据ETL链路，支撑业务数据分析需求。 2. 维护数据平台的日常运维，保障数据服务的高可用性与数据安全。 3. 优化数据存储与计算性能，解决数据处理过程中的瓶颈问题。 4. 与业务团队协作，理解数据需求并输出标准化的数据解决方案。 任职要求： 1. 本科及以上学历，计算机、统计学等相关专业，基础扎实。 2. 掌握至少一种数据开发工具（如Hadoop、Spark、Flink），熟悉SQL语言及数据库原理。 3. 具备数据平台运维经验，了解数据备份、容灾及监控体系的搭建。 4. 有较强的问题排查能力，能快速定位并解决数据生产环境中的异常问题。 工作地点 西安雁塔区林凯国际大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"数据仓库,ETL,Sql,Hadoop,Spark,Flink,数据平台运维,数据性能优化,数据解决方案输出",http://www.zhaopin.com/jobdetail/CC379670330J40791510306.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
招ETL工程师助理,北京新域未来科技有限公司,4000-8000元,北京·平谷·南独乐河,北京,本科,经验不限,7月12日,zhilian_direct,"职位描述 数据开发 报表开发 数仓开发 数据采集 数据清洗 软件/IT服务 人工智能 信息安全 物联网 通信/网络设备 云计算 【工作内容】 1、协助完成数据仓库模型构建，执行ETL脚本开发与日常调度任务； 2、负责多源异构数据的抽取、清洗、转换及加载，确保数据准确性； 3、配合团队进行数据质量监控，排查并修复数据异常与传输故障； 4、维护数据字典与元数据文档，整理项目技术文档及操作手册。 【任职要求】 1、计算机、软件工程，及计算机类或相关专业。 2、掌握SQL语言，了解Hadoop、Spark等大数据组件者优先考虑； 3、具备Python或Shell脚本基础，有ETL工具使用经验者加分； 4、逻辑清晰，具备良好的沟通协作能力及较强的学习意愿； 5、工作严谨细致，责任心强，能适应快节奏的项目开发环境。 岗位福利： 带薪休假,年终奖,项目奖金，包住宿，餐补、交通补贴等 工作地点 北京平谷区南山村东南路28号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据开发,报表开发,数仓开发,数据采集,数据清洗",http://www.zhaopin.com/jobdetail/CCL1500839660J40863912807.htm?refcode=4019&srccode=401901&preactionid=850e4540-c544-4d91-8bc1-09be37b0edd1
