job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
初级java开发工程师（有人带/项目实操）,南京中创长天智能科技有限公司,8000-10000元,无锡·新吴·江溪,无锡,本科,1年以下,7月25日,zhilian_direct,职位描述 JavaScript 计算机软件 岗位内容： 1. 设计、开发并维护Java应用程序。 2. 解决各种技术难题，保证代码的可靠性、高效性和安全性。 3. 参与软件设计的讨论和计划制定。 4. 与其他团队成员协作工作，提高团队整体技术水平。 任职要求： 1.本科学历及以上，计算机相关专业优先。 2. 熟悉Java语言及相关技术，熟悉Spring框架。 3. 具有扎实的编程基础和良好的面向对象编程思想。 4. 对常见数据库如MySQL、Oracle等有一定的了解和应用经验。 工作地点 无锡新吴区麦库大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,JavaScript,http://www.zhaopin.com/jobdetail/CCL1337597170J40860949413.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
java开发工程师,上海克娜蒂科技有限公司,8000-15000元,杭州·拱墅·祥符,杭州,本科,经验不限,7月6日,zhilian_direct,职位描述 Java 岗位内容： 1. 设计、开发并维护Java应用程序。 2. 解决各种技术难题，保证代码的可靠性、高效性和安全性。 3. 参与软件设计的讨论和计划制定。 4. 与其他团队成员协作工作，提高团队整体技术水平。 任职要求： 1. 了解Java语言及相关技术，数据库 Linux等基础。 2. 具有扎实的编程基础和良好的面向对象编程思想。 3. 对常见数据库如MySQL、Oracle等有一定的了解和应用经验。 4.计算机相关专业 本科及以上学历 公司新项目 可接受应届生。 上海克蒂软件 服务新时代互联网 打造智能科技 数字产业升级，克蒂软件服务与数字信息化转型，工业互联网软件开发，Ai数据融合，医疗软件、电商平台 智慧教育产品研发，立志成为行业新生力量，服务客户、打造员工满意的发展平台。 工作地点 拱墅区杭州北部软件园5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Java,http://www.zhaopin.com/jobdetail/CCL1515029620J40879077605.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
初级java开发工程师（偏运维）,见知数据科技(上海)有限公司,7000-12000元,上海·徐汇·徐家汇,上海,本科,1年以下,7月22日,zhilian_direct,职位描述 JavaScript Spring Mybatis MySQL Oracle Redis linux 见知数据是国内领先的资金管理与现金流分析系统提供商，致力于将人工智能、语义分析等前沿技术应用于企业级现金流数据分析与管理领域，为客户提供先进、安全、灵活的资金管理与现金流尽调解决方案。 我们的客户涵盖24个行业的龙头企业，包括百胜集团、联合利华、默克制药、雅诗兰黛、Bilibili（B站）、工商银行、平安银行等行业巨头，深受客户信赖与好评。 • 技术实力：核心团队来自国内外一流高校与世界500强企业，具备十年以上的专业经验。 • 荣誉资质： o 上海市“高新技术企业”、专精特新企业 o 毕马威中国“2021领先金融科技50企业” o 外滩大会金融科技大赛银奖等荣誉 招聘要求： 1. 专业背景：计算机科学与技术、软件工程、网络工程、信息安全等计算机相关专业应届毕业生，本科及以上学历，专业课程成绩优异，具备扎实的计算机理论基础。 2. 技术技能 （1）编程语言：掌握 Java 编程语言，熟悉常用的数据结构与算法。 （2）数据库：熟悉关系型数据库（如 MySQL、Oracle）的原理与操作，熟练使用 SQL 语言进行数据的增删改查，了解数据库设计与优化。 （3）开发框架：对主流开发框架（如 Spring、Spring Boot、Spring MVC 等）有一定了解。 （4）其他技能：了解 Linux 操作系统基本命令；熟悉版本控制系统 Git 的使用； 3. 团队协作与沟通：具有良好的团队协作精神，能够与团队成员有效沟通、紧密配合，共同推进项目进展。 4. 职业素养：工作认真负责，有较强的责任心和执行力；具备良好的时间管理能力，能够按时完成工作任务；遵守公司规章制度，有较强的保密意识和职业操守 。 工作地点 上海徐汇区港汇中心-二座3509 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,Spring,Mybatis,MySQL,Oracle,Redis,linux",http://www.zhaopin.com/jobdetail/CC519217530J40866121401.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
科技管培生（java开发方向）,平安国际融资租赁有限公司,8000-12000元·20薪,上海·浦东·陆家嘴,上海,本科,经验不限,7月13日,zhilian_direct,岗位职责 1.参与公司租赁行业相关软件项目的开发与维护，完成java后端代码编码，测试与迭代优化； 2.配合团队完成需求分析、接口定义及开发，熟悉并逐步能使用主流的AI编码； 3.协助完成项目文档编写、代码注释，遵守相关的开发流程规范； 4.积极对接产品、测试团队，高效沟通需求相关问题，快速响应日常开发中遇到的问题； 5.主动学习租赁及金融行业知识，贴合业务场景完成技术开发，适应项目迭代节奏和工作压力。 任职资格 1.专业经验：计算机及软件工程等相关专业，有半年以上的项目开发实战经验； 2.技术基础：java基础良好，了解spring boot、MyBatis等主流开发框架，了解PostgreSQL、oracle等数据库基础操作，sql语句编写； 3.技能加分：了解AI编码工具，借助AI辅助完成代码编写及问题排查； 4.行业知识：对汽车租赁/金融业务及行业知识有了解，能快速理解业务； 5.软技能：具备良好的团队融合能力，善于沟通，逻辑清晰，表达流畅；学习能力强，有责任心，工作认真细致，主动学习拥抱技术和业务； 6.根据项目周期，能适应一定的工作强度； 7.在校期间有相关软件毕业设计项目经验者优先。 工作地点 上海浦东新区平安金融大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,JavaScript,http://www.zhaopin.com/jobdetail/CC362140510J40901297712.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
Java,新疆众智博远文化科技有限公司,5000-8000元·13薪,乌鲁木齐·新市区·三工街道,乌鲁木齐,大专,经验不限,7月26日,zhilian_direct,岗位职责 1、在资深工程师指导下，参与公司后端业务系统的开发、迭代、优化及单元测试工作，严格遵守团队代码规范，保障业务功能稳定运行。 2、协助团队梳理业务需求，参与简单模块的技术方案设计，独立完成基础业务模块的编码、调试、BUG修复工作，配合完成版本迭代交付。 3、按照项目规范编写接口文档、开发说明等相关技术资料，保证项目开发流程规范、可追溯。 4、积极配合产品、测试、前端团队完成接口联调、项目验收，协助排查线上基础问题，持续优化代码性能与业务体验。 5、主动学习Java主流技术栈，参与团队代码评审、技术分享，快速积累商业项目实战经验，完成职场角色转型。 二、岗位要求 1、26届统招大专及以上学历，计算机、软件工程、大数据、电子信息等相关专业，接受无实习经验优秀应届生。 2、掌握Java核心基础，熟练运用面向对象、集合、IO流、多线程、异常处理等知识点，了解常用数据结构与基础算法。 3、熟悉Spring、Spring Boot、SpringMVC等主流开发框架，具备基础项目搭建与模块开发能力，了解Spring Cloud微服务者优先。 4、熟练使用MySQL数据库，掌握常用SQL语句、数据表设计、基础索引使用及简单查询优化，了解Redis、消息中间件基础者加分。 5、熟练使用Git代码管理工具，理解前后端交互逻辑，具备基本的接口联调、问题排查能力。 6、具备良好的代码编写习惯和清晰的逻辑思维，学习能力强、责任心足，善于团队沟通协作，能适配项目迭代节奏。 7、在校有课程设计、实训项目、个人开源项目或相关开发实习经历者优先录用。 展开该职位详情,"Spring,Mybatis,MySQL,MongoDB,Redis,线下面试,不接受居家办公,五险一金,周末双休,法定节假日",http://www.zhaopin.com/jobdetail/CCL1419050120J40876537910.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
Java初级开发工程师,苏州众壳科技有限公司,6000-11000元,苏州·工业园区,苏州,大专,1年以下,6月15日,zhilian_direct,职位描述 Spring Mybatis MySQL SQLServer 电子商务产品开发 技术文档编写 需求对接 工作职责 1. 参与电子商务产品核心模块的开发、单元测试及日常维护，保障功能稳定运行。 2. 协助完成产品实施阶段的技术支持工作，包括环境搭建、数据配置与问题排查。 3. 配合项目经理与客户、供应商进行需求对接，参与技术方案讨论并输出初步设计文档。 4. 编写并维护接口文档、操作手册等技术资料，确保团队信息同步。 任职要求 1. 计算机相关专业大专及以上学历，掌握Java语言核心语法与面向对象编程思想。 2. 熟悉Spring、MyBatis等开源框架的基础使用，具备相关项目实践或学习经历 3. 能熟练操作MySQL/SQLServer数据库，掌握SQL编写与基础数据库设计规范 4. 了解软件开发流程，具备代码规范意识，能编写可读性强的工程化代码。 5.具备良好的沟通协作能力与自我驱动力，能承受项目压力并高效完成任务 工作地点 江苏省苏州市苏州工业园区融富街9号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Spring,Mybatis,MySQL,SQLServer,电子商务产品开发,技术文档编写,需求对接",http://www.zhaopin.com/jobdetail/CCL1460986520J40850144310.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
JAVA开发工程师,桂林安信软件有限公司,6000-12000元·14薪,桂林·七星区·穿山街道,桂林,学历不限,经验不限,7月25日,zhilian_direct,职位描述 Java 日语 产业互联网平台 计算机软件 软件/IT服务 熟悉开发语言，具备研发能力。会日语。 职位福利：五险一金、绩效奖金、节日福利、带薪年假、周末双休、项目奖金 工作地点 桂林市七星区七里店路创意产业园1-2栋2单元4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,日语",http://www.zhaopin.com/jobdetail/CC611496420J40246915108.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
初级Java软件开发,陕西智合云图信息技术有限公司,7000-8000元,西安·雁塔·丈八沟,西安,本科,经验不限,6月30日,zhilian_direct,职位描述 Spring Mybatis MySQL JAVA后端开发 通信业务系统维护 单元测试 工作职责 1. 参与通信工程相关系统的Java后端模块开发，完成功能需求的代码实现与单元测试。 2. 协助资深工程师进行系统维护与问题排查，保障通信业务系统的稳定运行。 3. 遵循团队代码规范，编写清晰、可维护的技术文档，参与技术方案的讨论与落地。 任职要求 1. 本科及以上学历，计算机、通信工程等相关专业 2. 具备良好的逻辑思维能力，能快速理解通信业务需求，有较强的学习能力与问题解决能力 工作地点 西安雁塔区融城云谷科技二路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Spring,Mybatis,MySQL,JAVA后端开发,通信业务系统维护,单元测试",http://www.zhaopin.com/jobdetail/CCL1500547650J40906132103.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
java开发助理,河南容鑫信息科技发展有限公司,6000-8000元,郑州·金水·东风路,郑州,大专,经验不限,4月15日,zhilian_direct,职位描述 Spring Mybatis MySQL JAVA后端开发 需求分析与模块开发 代码规范与单元测试 工作职责 1. 在资深工程师指导下参与Java后端项目的需求分析与模块开发，逐步掌握完整开发流程 2. 协助完成基础功能实现、接口编写及单元测试，确保代码符合规范 3. 负责简单SQL语句编写、数据库基础操作及数据校验维护工作 4. 配合整理接口文档与开发文档，跟进项目进度并及时反馈问题 5. 协助测试团队定位并修复代码BUG，参与项目优化迭代 6. 完成上级交办的其他开发辅助任务，主动学习新技术与业务知识 任职要求 1. 专科及以上学历，计算机、软件工程、信息管理等相关专业 2. 掌握Java核心语法，理解面向对象思想，熟悉集合、异常、IO等基础知识点 3. 了解MySQL数据库，能独立完成增删改查操作，掌握事务基础概念 4. 熟悉Spring、Spring Boot、MyBatis等主流框架的基本使用方法 5. 具备较强学习能力与逻辑思维，工作认真负责，拥有良好沟通协作能力 6. 态度积极主动，对Java后端开发有浓厚兴趣，愿意长期深耕技术领域 补充说明 1. 培养体系：一对一带教机制，全程参与真实项目实战，快速掌握开发技能 2. 成长空间：完善技术培训体系、定期内部分享会、清晰晋升通道，优秀实习生可直接转正 3. 基础福利：五险一金、带薪年假、节日福利、生日礼品、定期团队建设活动 4. 工作氛围：年轻化团队配置，轻松活跃的工作环境，鼓励技术创新与知识共享 工作地点 郑州金水区正弘中心1602 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Spring,Mybatis,MySQL,JAVA后端开发,需求分析与模块开发,代码规范与单元测试",http://www.zhaopin.com/jobdetail/CCL1516769050J40842496901.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
java开发工程师,新疆网商互联网络科技有限公司,6000-8000元,乌鲁木齐·天山区·新华北路街道,乌鲁木齐,本科,经验不限,7月3日,zhilian_direct,"岗位职责： 1、根据项目和任务分配，完成相应模块软件的开发； 2、进行程序单元、功能的测试,查出软件存在的缺陷并保证其质量； 3、进行编制项目文档和质量记录的工作； 4、维护软件使之保持可用性和稳定性。 任职资格： 1、软件开发、计算机软件技术、计算机科学与技术等计算机相关专业，本科及以上学历； 2、必备知识：java，spring，MySQL，Oracle，tomcat； 3、具有以下开发经验者优先录用： 网银开发、第三方支付、网站安全数据加密数字证书、商城类、门户类相关网站开发经验以及手机(ios、android)APP开发经验； 4、对能力优秀者，可适当放宽任职条件。 工作地点 乌鲁木齐天山区百花村国际信息大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","产业互联网平台,银行,金融科技/数字金融",http://www.zhaopin.com/jobdetail/CC296955130J40855977111.htm?refcode=4019&srccode=401901&preactionid=aaef2d46-c711-4b0b-8357-50a968b864bf
