job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Node.js 开发工程师,重庆翎昀智建筑工程有限公司,1.1-1.3万·13薪,重庆,重庆,本科,3-5年,7月25日,zhilian_direct,职位描述 JavaScript 微服务架构 分布式技术 高级软件工程师 后端开发 Express Koa Node.js开发 RESTFUL API设计 NPM生态 云计算 工作职责 1. 基于Node.js技术栈负责后端服务的设计、开发与维护，保障系统的高可用性与性能。 2. 参与业务需求分析与技术方案评审，将业务需求转化为可落地的技术实现。 3. 优化系统架构与代码质量，提升服务的稳定性与扩展性。 4. 与前端、产品团队协作，推动项目高效交付。 任职要求 1. 本科及以上学历，计算机相关专业，基础扎实。 2. 3年以上Node.js开发经验，精通Express/Koa等主流框架及NPM生态。 3. 熟悉RESTful API设计规范，具备微服务架构实践经验优先。 4. 掌握MySQL/Redis等数据库及缓存技术，了解分布式系统原理。 5. 具备良好的问题分析与解决能力，能独立排查线上技术问题。 工作地点 重庆中信大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,微服务架构,分布式技术,高级软件工程师,后端开发,Express,Koa,Node.js开发,RESTFUL API设计,NPM生态",http://www.zhaopin.com/jobdetail/CCL1515542730J40791348006.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
Node.js 开发工程师,重庆安于诺财税服务有限公司,1-1.2万·13薪,重庆·渝中·解放碑,重庆,本科,3-5年,7月25日,zhilian_direct,职位描述 JavaScript SQL Express Koa 后端开发 财税系统开发 高并发场景优化 缓存技术应用 商务服务业 银行 软件/IT服务 工作职责 1. 基于Node.js技术栈开发并维护财税服务相关的后端系统，保障系统的高可用性与数据安全性。 2. 参与系统架构设计与优化，解决高并发、大数据量场景下的技术难题，提升系统性能。 3. 与产品、财务团队协作，理解业务需求并转化为技术方案，推动财税工具的迭代升级。 4. 编写清晰规范的技术文档，参与团队技术分享与代码评审，提升团队整体技术水平。 任职要求 1. 本科及以上学历，计算机相关专业，具备扎实的编程基础。 2. 3年以上Node.js开发经验，精通Express/Koa等主流框架，熟悉Node.js异步编程模型与性能优化。 3. 掌握MySQL、MongoDB等数据库的设计与优化，熟悉Redis等缓存技术的应用。 4. 具备良好的问题分析与解决能力，能独立完成复杂模块的设计与开发。 5. 有财税、金融领域系统开发经验者优先，了解财税业务流程者加分。 工作地点 重庆渝中区海航保利国际中心-43栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,SQL,Express,Koa,后端开发,财税系统开发,高并发场景优化,缓存技术应用",http://www.zhaopin.com/jobdetail/CCL1511500440J40923166112.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
Node.js 开发工程师,南昌瞬声建筑有限公司,1-1.2万·13薪,南昌·西湖,南昌,本科,1-3年,7月25日,zhilian_direct,职位描述 JavaScript 微服务架构 Express Koa 后端开发 建筑项目系统开发 工程数据平台维护 高并发接口实现 通信/网络设备 工程施工 建筑/土木/市政设计 工作职责： 1. 负责公司建筑项目管理系统、工程数据平台的后端开发与维护，基于Node.js技术栈实现高并发、低延迟的业务接口。 2. 参与系统架构设计，优化数据库查询与接口性能，保障建筑工程数据的实时性与准确性。 3. 与前端团队、建筑业务部门协作，理解工程管理需求，将业务逻辑转化为可落地的技术方案。 4. 维护技术文档，推动代码规范与工程化实践，提升团队整体开发效率。 任职要求： 1. 本科及以上学历，计算机相关专业，2年以上Node.js开发经验。 2. 精通Node.js生态，熟练使用Express/Koa等框架，掌握MongoDB/MySQL等数据库的设计与优化。 3. 具备RESTful API设计经验，熟悉微服务架构或Serverless模式优先。 4. 有建筑/工程行业系统开发经验者优先，能快速理解行业业务逻辑。 工作地点 南昌西湖区滨江国际 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,微服务架构,Express,Koa,后端开发,建筑项目系统开发,工程数据平台维护,高并发接口实现",http://www.zhaopin.com/jobdetail/CCL1511487790J40957412615.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
node.js技术支持工程师,武汉在水医方智能科技有限公司,1-1.8万,广州·越秀·大东,广州,大专,3-5年,7月23日,zhilian_direct,职位描述 node.js 职位描述 职责描述： 参与公司医疗AI产品后端开发，技术架构为postgresql+nodejs+python。 任职要求： 1、大专以上学历，3年以上nodejs后端开发经验； 2、精通javascript语言与nodejs，熟练掌握各后端技术栈; 3、熟练掌握postgresql数据库查询语言，熟练掌握plpgsql过程语言； 4、精通函数式编程者优先； 5、加分项：曾使用以下任一语言超过3-6个月：R、Clojure、Erlang、Haskell、Prolog、Julia; 6、加分项：熟悉Linux命令行，有shell、grep、xargs、awk、sed脚本编写； 7、加分项：熟悉OpenResty、nginx-njs、docker、k8s、有devops经验者； 8、对新技术敏感，持续学习、抗压能力、自我驱动、团队精神。 加分项：有医院驻点工作经验优先考虑。 工作地点 广州越秀区广东省人民医院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,node.js,http://www.zhaopin.com/jobdetail/CCL1461582630J40871521714.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
外企大厂资深后端工程师Node.js、Java或Go（英语）,外企德科,2.5-4.5万,杭州·滨江·长河,杭州,本科,5-10年,7月26日,zhilian_direct,职位描述 Java 岗位名称：资深后端工程师 主要职责： 1. 构建可扩展的零售和电商API。 2. 设计事件驱动的微服务。 3. 优化系统性能和韧性。 4. 开发与ERP/POS/支付/物流系统的集成。 5. 构建支持AI的后端服务。 6. 支持全渠道电商工作流。 7. 确保系统可观测性和监控。 必备技能： - 精通 Node.js、Java 或 Go。 - 微服务架构。 - REST 和 GraphQL API。 - 事件驱动架构（Kafka/RabbitMQ）。 - PostgreSQL、MongoDB、Redis。 - 分布式系统设计。 - Docker 和 Kubernetes。 - CI/CD 流水线。 - API 网关和服务编排。 - 系统性能优化。 - 云原生架构（AWS/Azure/GCP）。 - 强大的调试和问题解决能力。 - 技术领导和利益相关者沟通。 优先条件： - 有零售/电商平台经验。 - 有领导后端/平台工程团队的经验。 - 有高并发交易系统经验。 - 有 ERP/POS/支付/物流集成经验。 - 了解 AI 后端架构及 LLM 集成。 - 有事件溯源和 CQRS 经验。 - 有实时库存/订单管理系统经验。 - 熟悉可观测性和监控平台。 - 熟悉安全与合规最佳实践。 - 有多区域部署架构经验。 - 有企业级敏捷环境工作经验。 - 了解领域驱动设计（DDD）。 - 深入理解可扩展性和韧性模式。 - 有支持 AI 智能体和工作流编排系统的经验。 工作地点 阿里中心·滨江浙江省杭州市滨江区滨兴路1866号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,Java,http://www.zhaopin.com/jobdetail/CC138117190J40876113405.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
node.js技术支持工程师（驻点）,武汉在水医方智能科技有限公司,1.1-1.8万,广州·越秀·大东,广州,大专,3-5年,7月23日,zhilian_direct,职位描述 人工智能 计算机软件 医院/诊所服务 职责描述： 参与公司医疗AI产品后端开发，技术架构为postgresql+nodejs+python。 任职要求： 1、大专以上学历，3年以上nodejs后端开发经验； 2、精通javascript语言与nodejs，熟练掌握各后端技术栈; 3、熟练掌握postgresql数据库查询语言，熟练掌握plpgsql过程语言； 4、精通函数式编程者优先； 5、加分项：曾使用以下任一语言超过3-6个月：R、Clojure、Erlang、Haskell、Prolog、Julia; 6、加分项：熟悉Linux命令行，有shell、grep、xargs、awk、sed脚本编写； 7、加分项：熟悉OpenResty、nginx-njs、docker、k8s、有devops经验者； 8、对新技术敏感，持续学习、抗压能力、自我驱动、团队精神。 加分项：有医院驻点工作经验优先考虑。 工作地点 广州越秀区广东省人民医院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,医院/诊所服务",http://www.zhaopin.com/jobdetail/CCL1461582630J40830026314.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
后端开发工程师（Node.js）,成都水月雨科技有限公司,8000-15000元,成都·温江·柳城,成都,本科,1-3年,7月25日,zhilian_direct,岗位职责： 1. 负责公司后端服务整体架构设计、技术选型、模块划分与接口设计，保障系统高可用、可扩展、安全稳定。 2. 使用 Node.js 进行核心业务模块开发、迭代维护与线上问题排查，保证代码规范、高效可靠。 3. 负责 PostgreSQL 数据库表结构设计、索引优化、SQL 调优及数据安全方案落地。 4. 基于 Redis 实现缓存、分布式锁、限流、消息队列等策略，提升系统并发能力与响应速度。 5. 设计并实现标准化 RESTful API，与前端团队紧密协作，保障前后端数据交互顺畅。 6. 对系统进行性能监控与瓶颈优化，持续提升服务稳定性与吞吐量。 7. 编写接口文档、系统设计文档，参与代码评审，推动团队技术规范落地。 8. 关注 Node.js 生态及后端技术趋势，持续优化技术方案与研发效率。 任职要求 ： 1. 计算机相关专业本科及以上，扎实的计算机基础。 2. 2年以上 Node.js 后端开发经验，熟练使用 NestJS / Koa / Express 任一主流框架。 3. 熟练使用 PostgreSQL，精通 SQL 编写、索引优化、事务与数据一致性设计。 4. 熟练使用 Redis，具备实际缓存、分布式场景应用经验。 5. 熟悉 HTTP 协议、RESTful API 设计规范，熟悉 Linux 开发与部署环境。 6. 有 Docker、阿里云/腾讯云、微服务或中间件使用经验优先。 7. 逻辑清晰，具备独立排查复杂问题能力，责任心强，良好的团队沟通与协作意识。 8. 能适应快速迭代节奏，对音频/硬件/科技行业有热情者优先。 工作地点 成都温江区德昆·悦天地-B栋13楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"node,微服务架构,分布式技术,后端开发,WEB开发,Express",http://www.zhaopin.com/jobdetail/CC510713180J40843397509.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
Node.js 开发工程师,西安鼎锐建筑工程有限公司,1.4-1.6万·13薪,西安·未央·张家堡,西安,本科,3-5年,7月24日,zhilian_direct,职位描述 JavaScript 微服务架构 消息队列 后端开发 Express Koa 工程管理系统开发 建筑行业业务对接 高并发系统优化 软件/IT服务 建筑/土木/市政设计 工作职责 1. 负责公司工程管理系统、项目协作平台等后端服务的设计与开发，基于Node.js技术栈构建高可用、可扩展的业务系统。 2. 参与系统架构优化，解决高并发、数据一致性等技术难题，保障建筑项目数据流转的稳定性与安全性。 3. 对接建筑业务需求，将工程管理场景（如进度跟踪、资源调度）转化为技术方案，推动数字化工具在项目中的落地应用。 4. 参与技术团队的代码评审与工程化规范建设，提升团队整体开发效率与代码质量。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上Node.js后端开发经验。 2. 精通Node.js生态，熟练使用Express/Koa/Nest.js等框架，掌握MongoDB/MySQL等数据库的设计与优化。 3. 具备微服务架构设计经验，熟悉Redis缓存、消息队列等中间件的应用场景。 4. 有建筑/工程行业系统开发经验者优先，能快速理解工程管理业务逻辑。 5. 具备良好的问题分析能力与团队协作精神，能独立承担复杂模块的开发任务。 工作地点 西安未央区EHB企业总部大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,微服务架构,消息队列,后端开发,Express,Koa,工程管理系统开发,建筑行业业务对接,高并发系统优化",http://www.zhaopin.com/jobdetail/CCL1509798740J40790489606.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
全栈工程师（前端+node.js）,成都水月雨科技有限公司,1-1.5万,成都·温江·柳城,成都,本科,3-5年,7月25日,zhilian_direct,岗位职责： 1. 负责公司内外部系统后端架构设计、核心模块开发、数据库建模、API 设计及性能优化，保障系统稳定性与可扩展性。 2. 参与后端工程化建设，包括模块拆分、缓存、权限、日志监控、异常处理、任务调度及 CI/CD 等。 3. 负责核心业务系统技术方案设计与落地，解决高并发、复杂流程及性能瓶颈问题。 4. 制定并维护代码规范，参与 Code Review，编写和维护关键技术文档、接口文档及架构文档。 任职要求： 1. 学历与经验 1. 计算机、软件工程等相关专业本科及以上学历，计算机基础扎实。 2. 3 年及以上后端开发经验，具备核心模块或完整系统独立交付经验。 2. 技术能力 1. 精通 TypeScript / Node.js，熟悉 NestJS、Koa、Express 等主流后端框架。 2. 熟悉 RESTful API / GraphQL 设计，具备接口设计、权限控制、异常处理及安全意识。 3. 熟练使用 PostgreSQL / MySQL / Redis，具备数据建模、索引设计、SQL 优化及事务处理能力。 4. 熟悉 Linux、Nginx、Docker 及基础 DevOps 流程，具备线上问题排查能力。 5. 熟悉日志、监控、缓存策略、任务调度等常见后端工程实践。 6. 具备良好代码规范意识，熟悉 Git 工作流、Code Review、单元测试及技术文档编写。 3. 综合素养 1. 具备良好的业务理解、系统性思维和持续学习能力，能推动技术方案落地。 4. 加分项 1. 具备前端开发能力，熟悉 React / Vue，能完成常规页面开发、接口联调及基础工程化配置。 2. 有从 0 到 1 后端系统架构设计与落地经验。 3. 有高并发、高可用、性能调优或复杂系统拆分经验。 4. 熟悉微服务、消息队列、分布式任务、分布式缓存等技术。 5. 熟悉 pnpm、Turborepo 等包管理及 Monorepo 架构，具备模块拆分和工程化构建经验。 6.熟练使用 AI 编程工具，能辅助开发、重构、测试及问题分析，并能有效审查生成结果。 工作地点 成都温江区德昆·悦天地B栋13楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"前端开发,后端开发,MySQL,PostgreSQL,Redis,node.js,全栈开发",http://www.zhaopin.com/jobdetail/CC510713180J40863534709.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
Node.js全栈工程师,北京市电通电话技术开发有限公司,1.5-2.5万,北京·丰台·丰台街道,北京,本科,3-5年,7月21日,zhilian_direct,岗位职责 1、负责平台开发、智能体开发、系统集成。场景挖掘与方案设计深入客户业务一线，识别高价值智能体应用场景；设计场景解决方案（含标签体系、知识库框架、话术脚本）；输出 MVP 原型 2、知识库建设与维护构建行业知识库（问答对、术语体系、案例库）；设计标签体系与用户画像；持续更新优化知识内容 3、项目交付管理制定项目交付计划，管理进度与风险；组织需求调研、方案确认、上线验收；协调客户资源，确保按时交付 任职要求 1、本科及以上学历，3 年以上相关行业经验 2、学习能力快速掌握新工具、新方法，适应 AI 协作工作模式 3、沟通能力清晰表达、倾听理解、跨部门协作 4、数据思维用数据说话，能解读数据、发现问题、提出假设 5、价值观客户第一、长期主义、拥抱变化、结果导向 6、计算机/软件工程专业，精通 Python/Node.js，有 AI 应用开发经验 7、加分项（非必须，但优先录用） • 有 AI 项目经验：参与过大模型应用、RAG 系统、智能客服、NL2SQL 等项目 • 有创业心态：适应快节奏、不确定性强、一人多岗的创业环境 • 有跨领域能力：既懂业务又懂技术，既能写代码又能谈业务 工作地点 北京市丰台区人民法院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,全栈开发,node.js,RAG系统,MCP",http://www.zhaopin.com/jobdetail/CC836516100J41020110504.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
Node.js开发工程师(外企+双休+不加班),纬致科技(北京)有限公司,1.3-1.5万,成都·武侯·桂溪,成都,大专,3-5年,7月24日,zhilian_direct,"职位描述 全栈开发 NODE Node.js NODE开发 NoSQL 计算机软件 保险 产业互联网平台 工作职责 负责项目后端和前端开发工作，包括分析设计，代码开发和调试，单元测试等。 负责服务性能优化，数据库性能优化。 负责日常维护系统稳定、处理BUG等相关要求 任职资格 3年以上开发工作经验。 熟练使用Node.js， 熟悉TypeScript, ES6特性，熟悉NestJs更佳。 具有关系型数据库和NoSQL经验， 如SQL Server, Oracle, MongoDB等。 具有Resful API接口开发经验。 具有一个或多个前端框架ReactJs, AngularJs, Vue, Bootstrap, JQuery经验。 熟练使用Git, JIRA工具。 良好的英语读写能力（具备口语能力更佳） 具有良好的的分析解决问题的能力和理解能力 能够承受工作压力 具有良好的团队合作能力 职位福利：五险一金、带薪年假、周末双休 工作地点 武侯区天府软件园E区成都市高新区天府大道中段1366 号天府软件园E8-1，6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","全栈开发,NODE,Node.js,NODE开发,NoSQL",http://www.zhaopin.com/jobdetail/CC120817710J40426207401.htm?refcode=4019&srccode=401903&preactionid=e3a32eb1-95c6-4552-b081-5beb38471e81
