job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
5G 运维初级技术员（应届生可入职）,铂联智能通信工程(辽宁省沈阳市)有限公司,4000-6000元,沈阳·于洪·北陵,沈阳,大专,经验不限,7月25日,zhilian_direct,职位描述 无经验应届生均可 跟随资深工程师开展基站、室内 5G 设备日常巡检，记录设备运行状态；处理简单网络告警、基础故障复位；整理运维台账、巡检报表；配合完成机房环境整理、设备简单更换，全程一对一带教。 福利 带薪岗前培训、外勤交通补贴、高温补贴；节日福利、定期团建；缴纳五险，月度绩效奖金，晋升通道清晰。 工作地点 沈阳市-于洪区-黄河北大街72号2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,无经验应届生均可,http://www.zhaopin.com/jobdetail/CCL1525940000J41021354704.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
网络设备运维部管理员,西安佳嘉家科技发展有限公司,9000-10000元·13薪,西安·碑林·太乙路,西安,学历不限,经验不限,7月10日,zhilian_direct,职位描述 TCP/IP协议 Windows HCIP 岗位内容： 1. 负责网络设备的安装、配置、维护和故障排除。 2. 管理网络资源，定期进行巡检和性能优化。 3. 解决用户网络问题，提供技术支持和培训。 4. 参与设计和实施网络架构。 任职要求： 1. 具备扎实的计算机网络基础知识和丰富的实践经验。 2. 熟悉常见网络协议，如TCP/IP、DNS、HTTP等。 3. 熟练掌握网络设备的配置和管理，如交换机、路由器、防火墙等。 4. 具有较强的沟通能力和团队协作精神。 工作地点 西安市碑林区二环南路东段31号3号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"TCP/IP协议,Windows,HCIP",http://www.zhaopin.com/jobdetail/CCL1525091870J40908452103.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
运维技术员,重庆谦佑人力资源管理有限公司,1.3-1.5万,上海·虹口·曲阳路,上海,大专,1年以下,7月26日,zhilian_direct,职位描述 服务器运维 网络运维 桌面运维 IT设备故障排查 运维流程优化 技术支持响应 工作职责： 1. 负责公司服务器、网络设备及办公系统的日常巡检与维护，保障系统稳定运行。 2. 处理IT设备（电脑、打印机等）的故障排查与修复，快速响应员工的技术支持需求。 3. 协助完成系统备份、数据安全及网络安全的基础保障工作。 4. 记录运维日志，整理常见问题解决方案，优化运维流程。 工作地点 上海虹口区开隆大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"服务器运维,网络运维,桌面运维,IT设备故障排查,运维流程优化,技术支持响应",http://www.zhaopin.com/jobdetail/CCL1486673160J40866247501.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
智能运维+五险一金（接受小白）,澄迈县璟恭机电有限公司,5000-9000元,太原·杏花岭·三桥,太原,中专/中技,经验不限,7月9日,zhilian_direct,职位描述 八小时工作 五险一金 包食宿 职位详情 工作内容： 1。负责车站等AFC系统设备进行维护保养；2。负责轨道交通地铁，车站，机场等闸机设备的巡检，一般故障处理； 3。如实填写日常工单，维修记录等相关表单。招聘要求： 综合薪资：5000-8000+/月 包吃包住，五险一金，上五休二，晋升空间大，福利待遇优晋升空间： 1。管理路径：见习运维员-运维员-班长-组长-项目经理 2。技术路径：见习运维员-运维员-运维工程师-总工程师 工作地点 太原市-杏花岭区-新建路86号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"八小时工作,五险一金,包食宿",http://www.zhaopin.com/jobdetail/CCL1526178020J40994619302.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
招聘普工/操作工 底薪5000 保底工资,河北丽景电子科技有限公司,6000-7000元,石家庄·裕华·太行,石家庄,中专/中技,经验不限,7月13日,zhilian_direct,岗位职责： 负责风电场风机及相关设备日常巡检、维护保养、简单故障排查与处理，严格执行安全操作规程，保障风电场稳定运行。 任职要求： 1. 有无经验均可，愿意长期投身新能源风电行业 2. 工作认真负责、执行力强、服从项目管理安排 3. 身体健康，能适应驻场运维工作模式 薪资待遇： 1. 综合薪资：实习期综合薪资约5000元；转正后6000-8000元，管吃住。 2. 薪酬调整：每半年进行一次绩效考核，考核通过可上调薪资500-1200元 3. 意外保障：入职签订劳动合同后，统一为员工投保高额意外伤害险、意外医疗保险 4. 带薪休假：每月享有4-8天带薪底薪休假 5. 交通报销：按直线距离报销往返交通费用，1000公里以上可报销飞机经济舱，1000公里及以下可报销高铁二等座或火车硬卧 6. 健康保障：每年统一安排免费员工体检 7. 文娱活动：每年组织团建活动 原标题：《普工管吃住六险一金风场运维员》 工作地点 石家庄市-裕华区-高新区长江大道315号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"带薪休假,吃苦耐劳,长期工,社会保险,体检免费,包住,月结,长白班",http://www.zhaopin.com/jobdetail/CC280093280J40895173913.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
急 风电运维工程师+六险一金+薪资9000+,安徽领安电力有限公司,8000-12000元,锡林郭勒盟·锡林浩特市·宝力根街道,锡林郭勒盟,学历不限,经验不限,7月26日,zhilian_direct,岗位职责】 1. 负责风电机组调试、维护、故障处理及性能优化； 2. 制定检修计划、备件采购及现场物资管理； 3. 记录运行数据，提交分析报告并提出改进建议。 基本工资+津贴 其他:餐补，绩效，奖金，包住，看项目情况有餐补/特补等 工作地点 锡林郭勒盟锡林浩特市锡林浩特站 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"风电检测,风电运维,风电设计,风电安装调试,入职六险一金,路费报销,福利好入职快",http://www.zhaopin.com/jobdetail/CCL1501648590J40796937316.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
运维技术员,重庆谦佑人力资源管理有限公司,1.3-1.5万,济南·历城·港沟,济南,大专,1年以下,7月26日,zhilian_direct,职位描述 服务器运维 网络运维 桌面运维 IT设备故障排查 运维流程优化 技术支持响应 工作职责： 1. 负责公司服务器、网络设备及办公系统的日常巡检与维护，保障系统稳定运行。 2. 处理IT设备（电脑、打印机等）的故障排查与修复，快速响应员工的技术支持需求。 3. 协助完成系统备份、数据安全及网络安全的基础保障工作。 4. 记录运维日志，整理常见问题解决方案，优化运维流程。 工作地点 济南历城区博晶大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"服务器运维,网络运维,桌面运维,IT设备故障排查,运维流程优化,技术支持响应",http://www.zhaopin.com/jobdetail/CCL1486673160J40866247801.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
运维技术员,重庆谦佑人力资源管理有限公司,1.3-1.5万,重庆·两江新区,重庆,大专,1年以下,7月26日,zhilian_direct,职位描述 服务器运维 网络运维 桌面运维 IT设备故障排查 运维流程优化 技术支持响应 工作职责： 1. 负责公司服务器、网络设备及办公系统的日常巡检与维护，保障系统稳定运行。 2. 处理IT设备（电脑、打印机等）的故障排查与修复，快速响应员工的技术支持需求。 3. 协助完成系统备份、数据安全及网络安全的基础保障工作。 4. 记录运维日志，整理常见问题解决方案，优化运维流程。 工作地点 重庆两江新区兴业大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"服务器运维,网络运维,桌面运维,IT设备故障排查,运维流程优化,技术支持响应",http://www.zhaopin.com/jobdetail/CCL1486673160J40866247301.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
系统发布配置运维,万宝盛华企业管理咨询（上海）有限公司,6000-8000元,杭州·滨江·长河,杭州,本科,经验不限,7月24日,zhilian_direct,岗位职责 1. 负责系统各类业务参数、系统配置的新增、修改、核查与台账管理，保障配置规范准确、可追溯； 2. 配合版本迭代、需求落地、问题整改完成配置变更、测试验证、上线实施及事后复盘工作； 3. 受理日常配置类工单、核查异常配置问题，快速定位、分析并闭环整改； 4. 参与变更评审、风险评估、上线方案编写，规避配置变更引发的业务故障与系统风险； 5. 持续沉淀运维经验，优化配置管控流程、规范配置变更标准，提升系统整体稳定性； 6. 支撑专项检查、安全整改、重大保障、督查等各类专项工作。 任职要求 1. 学历要求：本科及以上学历，计算机、软件工程、信息工程等相关专业优先。 2. 数据库能力：熟悉主流数据库架构及日常运维操作，熟练掌握 SQL 语句编写、数据查询、数据校验、脚本优化，具备数据核查与问题分析能力。 3. 开发基础能力：熟练掌握1-2门主流开发语言，具备基础代码阅读、简单脚本编写能力，能够辅助自动化运维、批量配置处理。 4. 云原生K8s能力：熟悉 Kubernetes 整体体系结构及核心组件（API Server、Controller Manager、Scheduler、Kubelet等）；熟练掌握 Pod、Service、Ingress、Helm 等核心资源的部署、管理、排查与日常运维。 5. 智能化工具使用：熟悉各类主流AI辅助工具，能够利用AI工具辅助文档编写、问题排查、脚本优化、学习新技术，具备良好的数字化提效思维。 6. 文档与方案能力：具备优秀的技术文档、实施方案、整改材料、复盘报告的撰写能力，逻辑清晰、结构规范、输出质量高。 7. 综合素质：对新技术具备强烈求知欲与自主学习能力，工作细致严谨、拥有高度责任心；具备优秀的抗压能力、沟通协调能力及团队协作意识，能适配版本迭代、夜间上线、重大保障等高强度工作场景。 8. 熟悉电力系统微服务架构、电力营销业务、系统配置运维经验者优先录用。 岗位优势 1. 核心岗位：深度参与系统全域配置管控，接触微服务架构，平台级技术经验含金量极高；属于运维核心支撑团队，参与重点专项、总部对接、系统优化； 2. 技术栈全面：同时覆盖数据库、SQL运维、K8s云原生、脚本开发、技术文档输出，成长维度多、技术提升快； 3. 适配新技术趋势：鼓励使用AI工具提效，拥抱云原生技术，团队技术氛围浓厚。 上班时间：8:30-17:30 午休时间：11:30-14:00 薪资：6k-8k 工作地点 杭州滨江区江晖路701号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"IT运维,SQL Server",http://www.zhaopin.com/jobdetail/CC466197620J40882879705.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
运维技术员,重庆谦佑人力资源管理有限公司,1.3-1.5万,武汉·洪山,武汉,大专,1年以下,7月26日,zhilian_direct,职位描述 服务器运维 网络运维 桌面运维 IT设备故障排查 运维流程优化 技术支持响应 工作职责： 1. 负责公司服务器、网络设备及办公系统的日常巡检与维护，保障系统稳定运行。 2. 处理IT设备（电脑、打印机等）的故障排查与修复，快速响应员工的技术支持需求。 3. 协助完成系统备份、数据安全及网络安全的基础保障工作。 4. 记录运维日志，整理常见问题解决方案，优化运维流程。 工作地点 武汉洪山区中铁科技大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"服务器运维,网络运维,桌面运维,IT设备故障排查,运维流程优化,技术支持响应",http://www.zhaopin.com/jobdetail/CCL1486673160J40866248001.htm?refcode=4019&srccode=401901&preactionid=9c69cc4c-c52b-4db6-81d0-72895a05fc5a
