job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云计算售前工程师,江苏鼎峯云计算有限公司,8000-13000元,南京·秦淮·光华路,南京,大专,1-3年,7月14日,zhilian_direct,岗位职责： 1、负责公司产品及主流云计算厂商的技术对接，客户技术方案，项目的招投标工作； 2、对现有市场和客户进行分析，发现客户的潜在需求，引导相关客户的现有需求，达成销售目标； 3、根据客户需求，配合公司为客户提供专业的解决方案； 4、负责协调各种内部、外部资源，解决在项目实施过程中出现的问题，提高客户满意度； 5、通过客户回访，了解客户需求及潜在需求，以提高客户满意，促成客户二次开发； 6、完成上级领导交待的其他工作事项。 任职资格： 1、有2-3年工作经验有限; 2、具备主流公有云、AI大模型相关产品解决方案的工作经历，能够熟练制作公有云、大模型相关解决方案。 3、 具有良好的表达技巧及沟通协调能力，有团队合作精神，工作积极，有责任心。 4、求知欲强，有较好的学习能力，有强烈的学习意愿。 工作地点 秦淮区南京秦淮天安数码城803-804室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,云计算架构,http://www.zhaopin.com/jobdetail/CCL1449554970J40938377702.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
腾讯仪征云计算数据中心基础设施运维工程师,昌泰云技术服务(深圳)有限公司,4000-7000元,扬州·仪征市·新城镇,扬州,大专,经验不限,3月4日,zhilian_direct,职位描述 电工证 制冷证 暖通 高低压配电 通信/网络设备 工作职责： 1、负责对数据中心相关设备定期进行日常巡检及运维记录的工作； 2、负责对巡检和监控过程中发现的异常或报警信息进行初步判断并通报升级； 3、负责对供配电设施定期进行日常维护和保养； 4、负责配合专业工程师对基础设施进行专业维护； 5、负责配合故障紧急抢修及应急响应； 6、负责对运维记录整理归档，并妥善保管各类文件、图纸、资料、工具等 7、配合上级安排的其它工作。 任职资格： 1.大专及以上学历，电气、电子设备、自动化、暖通等相关专业毕业； 2.一年及以上数据中心或相关行业工作经验者优先； 3.熟悉电气、暖通设备、消防设备工作原理，会进行设备常规操作； 4.持高低压电工证、制冷证者优先； 5.能熟练运用OFFICE等办公软件； 6.有较高的风险防范意识，能适应7*24小时值班制度。 备注：运维设备不仅限于高低压配电、UPS、柴油发电机、蓄电池、冷水机组、水泵、冷却塔、冷却冷冻水管道、精密空调末端、风机等。 同时，公司也欢迎广大实习生报名加入。 工作地点 扬州仪征市史福特大道腾讯云计算数据中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电工证,制冷证,暖通,高低压配电",http://www.zhaopin.com/jobdetail/CC580898680J40544076902.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
云计算工程师,深圳市讯方技术股份有限公司,1.5-2万,北京·门头沟,北京,大专,1-3年,7月23日,zhilian_direct,职位描述 云计算运维 云计算实施 FusionCloud FUSIONCOMPUTER 桌面云 私有云 华为HCIE HCS ASP 云计算 软件/IT服务 工作内容： 1、能进行分布式存储、FusionSphere、HUAWEI CLOUD Stack等平台的标准化安装工作； 2、能对云系统进行例行维护、定期巡检、网络监控及运行监视、故障与告警信息收集； 3、能够对故障进行定位、处理与恢复，根据现场需求完成割接、系统升级/补丁操作。 任职资格： （1） 具备华为HCIP/HCIE等认证证书； （2） 熟悉华为云计算产品线相关产品，有过相关产品交付经验更佳（虚拟化FusionCompute、桌面云FuisonAccess、私有云FusionCloud、超融合FusionCube等）； （3） 了解分布式存储、块存储基本功能； （4） 具有相关华为云平台、华为虚拟化平台操作或部署经验者优先。 工作地点 北京门头沟区京西智谷 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算运维,云计算实施,FusionCloud,FUSIONCOMPUTER,桌面云,私有云,华为HCIE,HCS,ASP",http://www.zhaopin.com/jobdetail/CC132230560J40419174906.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
华为云计算工程师（西安）存储,西安长河通讯有限责任公司,5000-10000元,西安·雁塔·丈八沟,西安,大专,1-3年,7月23日,zhilian_direct,职位描述 HCIP 任职要求 1、1-3年华为存储&云计算实施/运维实战经验，系统集成、华为ASP合作伙伴经验优先； 2、必须持有HCIP-Cloud Computing（云计算方向）有效认证；有HCIP-Storage存储认证优先； 3、熟悉OceanStor V5/V6、FusionStorage、FusionCompute等华为软硬件产品；掌握SAN/NAS、RAID2.0+、块/文件/对象存储基础原理； 4、了解Linux基础命令，具备现场排错、独立开局能力，能接受项目短期出差； 5、工作踏实，有项目交付意识，会写基础技术文档，沟通对接顺畅。 工作地点 西安雁塔区科技二路55 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,HCIP,http://www.zhaopin.com/jobdetail/CC120717430J40897087913.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
云计算工程师,广西华智讯科技有限公司,6000-12000元,石家庄·桥西·东里,石家庄,本科,1-3年,7月23日,zhilian_direct,职位描述 Paas FUSIONACCESS 1．有 OPENSTACK 或 docker 集群运维经验，熟练掌握 OPENSTACK 体系结构及配置； 2．熟悉主流 PAAS 平台技术，有大规模生产环境部署及优化经验； 3．熟练掌握Windows/Linux系统，了解Oracle、SQL server数据库； 4．熟悉 TCP / IP协议，有良好的数据通信、网络安全、计算机体系结构方面的知识； 5．熟悉自动化运维技术，熟练运用Python 编写脚本实现自动化运维； 6．熟悉华为、华三等机架服务器：2288 、5885; 刀片服务器、泰山服务器等，熟悉服务器虚拟化、桌面虚拟化解决方案； 7． 精通华为FusionAccess、FusionCube、FusionCompute、FusionStorage、HCS等基础虚拟化、分布式、桌面云、私有云产品； 8．华为服务器/存储/云计算产品的项目交付和维护工作经验，有独立完成产品或解决方案的POC工作经验； 9． 本科及以上学历，有HCIE-Storage或HCIE-Cloud computing证书者优先。 工作地点 石家庄桥西区海悦天地D座写字楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Paas,FUSIONACCESS",http://www.zhaopin.com/jobdetail/CCL1477124930J40990784104.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
云计算工程师（双休，包三餐）,湖南一树数智科技有限公司,5000-6000元,长沙·岳麓·麓谷,长沙,大专,经验不限,7月25日,zhilian_direct,职位描述 信息安全 职责： 1、通过远程方式处理客户在使用安全和云计算产品过程中出现的技术问题； 2、针对客户不同环境，制定有针对性的安全或云计算解决方案且确保顺利完成； 3、积极协调专家、研发等资源确保疑难技术问题快速解决； 4、定期输出文档、视频等资料沉淀到内部知识平台。 要求： 1、大专及以上学历，计算机相关专业，熟悉TCP/IP协议、熟悉路由交换； 2、熟悉linux、数据库、安全渗透、虚拟化等优先 3、具有良好的人际沟通和逻辑思维能力，有高度的责任心、耐心，具备良好的服务意识、团队合作意识； 4、有良好的学习能力，对技术学习有一定热情；能承担一定的工作压力； 5、有相关技术支持工作优先。 面试流程：线上，先笔试-再面试 重点考察：沟通能力、抗压能力、客户服务意识这块 上班时间：正常 8:40-18:30 中午休息2个小时 ，周末 双休 地点：岳麓区麓谷企业广场 工作地点 长沙岳麓区麓谷企业广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CCL1391923370J40882805803.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
云计算工程师,上海志奋锦企业管理咨询有限公司,3-5万·14薪,北京·朝阳·建外,北京,本科,5-10年,7月22日,zhilian_direct,岗位职责 主要职责包括： 使用Kubernetes等云原生技术，设计、开发、部署和维护基于云的模块化系统。 为平台实施最优云解决方案，以满足产品负责人（PO）提出的要求（包括架构、存储与计算服务、成本监控与优化、角色管理）。 识别、分析并解决基础设施漏洞和应用部署问题。 对云基础设施进行审计，并持续提出改进建议。 与工程和开发团队协作，评估并识别我们多云平台所需的改进/扩展方向。 与跨国团队中的同事及全球利益相关者保持良好的工作关系。 熟练使用Confluence等工具进行文档整理，以确保业务连续性。 接收、处理并记录来自利益相关者和开发团队的反馈，以持续改进我们的基础设施。 任职资格 专业经验 至少5年作为云工程师或类似职位的工作经验，涉及主流云平台（阿里云、阿里金融云、Azure等）。 具备在生产环境中使用阿里云和/或阿里金融云的实践经验。 深入了解云原生开发、CNCF技术及开源生态系统。 具备Docker、Kubernetes及容器化环境的实践经验。 精通Kubernetes部署、网络、存储、安全、高可用性和多租户管理。 具有管理、维护和排查云基础设施及Kubernetes集群（包括数据科学工作负载）的经验。 对微服务架构和云原生设计模式有深入理解。 具有跨多个云平台集成和管理服务的经验。 深入理解云安全原则，包括HTTPS、证书管理、OAuth2、凭证管理以及合规要求。 扎实掌握基础设施即代码（IaC）技术，并具有将IaC解决方案集成到工程环境中的经验。 具有CI/CD流水线、DevOps实践和AI辅助编码工具的经验，同时确保代码质量、验证和优化。 具备较强的分析和风险评估能力，有在敏捷/Scrum环境中按时交付高质量解决方案的经验。 在云基础设施预置方面，具有设计、开发和维护可复用Terraform模块的丰富实践经验。 具有运维支持数据科学、AI或机器学习工作负载的Kubernetes集群的经验。 软技能 展现出领导力和辅导能力，能够促进团队合作和知识共享。 能够适应不断变化的优先级，致力于持续学习和创新。 具备较强的分析和解决问题的能力，在云运维和优化中注重细节。 能够流利地使用专业和技术英语进行书面和口头沟通，以适应国际化和多元文化的工作环境。 乐于与不同时区的全球团队和利益相关者进行协作。 奖金绩效 年终奖金 工作地点 北京朝阳区国贸1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,云计算,http://www.zhaopin.com/jobdetail/CCL1234040390J40952319608.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
华为云计算工程师,西安长河通讯有限责任公司,1-1.3万,兰州·城关区·酒泉路街道,兰州,学历不限,5-10年,7月24日,zhilian_direct,职位描述 云计算 软件/IT服务 通信运营商/电信增值服务 通信/网络设备 1、持有华为 HCIP-Cloud Computing、HCIE-Cloud Computing 云计算证书。 2、有华为 HCS 私有云平台日常运营维护工作经验，包含计算、存储、网络、虚拟化等全栈云资源巡检、监控、故障排查等。 3、熟练使用华为云IAAS层云服务功能，对相关云服务的功能和特性有一定认知。 4、对openstack组件了解，熟悉组件的之间的交互。 5、对HCS网络平面有所了解，知道各网络平面的功能。 6、对常见问题能够准确判断，并及时处理，会使用常见抓包工具。 7、对华为分布式存储熟悉，有相关经验。 8、主导或参与过 HCS 云平台版本的升级、补丁更新、扩容改造工作，能够熟练制定升级实施方案。 工作地点 兰州城关区兴隆大厦-A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算,通信运营商/电信增值服务",http://www.zhaopin.com/jobdetail/CC120717430J40887174913.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
it云计算工程师,湖南承希科技有限公司,1-1.6万,长沙·岳麓·天顶,长沙,本科,3-5年,7月20日,zhilian_direct,职位描述 云计算运维 华为云 华为虚拟化 HCIP HCIE 通信/网络设备 云计算 软件/IT服务 任职要求: 1、通信、网络、计算机相关专业，本科学历及以上； 2、3年以上云台从业经验或城轨云、IT 运维从业经验； 3、具备华为虚拟化和云、服务器、存储等相关专业其中一种或多种能力； 4、有华为云计算，HCIE/H3CIE/H3CSE/HCIP相关认证的优先； 5、责任心强、学习主动性好； 6、适应出差。 工作地点 岳麓区长沙军民融合产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算运维,华为云,华为虚拟化,HCIP,HCIE",http://www.zhaopin.com/jobdetail/CC529710120J40674595614.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
云计算工程师,深圳市讯方技术股份有限公司,7000-12000元,天津·河东·上杭路,天津,大专,经验不限,7月24日,zhilian_direct,岗位职责： 1、能进行分布式存储、FusionSphere、HUAWEI CLOUD Stack等平台的标准化安装工作； 2、能对云系统进行例行维护、定期巡检、网络监控及运行监视、故障与告警信息收集； 3、能够对故障进行定位、处理与恢复，根据现场需求完成割接、系统升级/补丁操作。 4、上云、迁云等等。 任职资格 （1） 具备华为HCIP或HCIE等认证证书； （2） 具备企业网/运营商相关行业工作经验优先； （3） 熟悉华为云计算产品线相关产品，有过相关产品交付经验更佳（虚拟化FusionCompute、桌面云FuisonAccess、私有云FusionCloud、超融合FusionCube等）； （4） 了解分布式存储、块存储基本功能； （5） 具有相关华为云平台、华为虚拟化平台操作或部署经验者优先。 工作地点 河东区天津河东万达广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算运维,云计算实施,HCS,华为云,私有云",http://www.zhaopin.com/jobdetail/CC132230560J40779093406.htm?refcode=4019&srccode=401903&preactionid=37cc7401-13fc-43ad-a0ba-af92c120aa1d
