job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
IT技术支持,铁蜻蜓(成都)科技有限公司,1-1.5万,南京·鼓楼·华侨路,南京,学历不限,经验不限,7月25日,zhilian_direct,职位描述 软件运维 网络运维 售后支持 Java C++ Python 云计算 信息安全 软件/IT服务 岗位内容： 1. 为客户提供一线/二线技术支持，包括故障排除、应用问题解决、网络设置等。 2. 协助团队完成IT项目的实施和部署工作，包括硬件设备的安装、软件应用的配置等。 3. 撰写技术文档、培训材料和操作手册，以推动技术知识共享。 任职要求： 1. 具备计算机或相关专业背景，熟悉基本的计算机硬件和软件知识。 2. 精通Windows/Linux系统，熟悉Shell或批处理脚本编程。 3. 能够快速学习各种应用软件，如数据库、Web服务器、虚拟化等。 4. 具备优秀的沟通能力和团队协作精神，对服务质量有较高要求。 工作地点 南京鼓楼区江苏科技大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件运维,网络运维,售后支持,Java,C++,Python",http://www.zhaopin.com/jobdetail/CCL1510869120J40881102305.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
新能源发电大数据实习生（技术方向）,北京智慧空间科技有限责任公司,100-120元/天,兰州·城关区·盐场路街道,兰州,本科,经验不限,7月25日,zhilian_direct,"岗位职责: 1、负责大数据平台相关的系统软硬件安装、配置与部署； 2、负责项目实施类文档的编制，对实施项目进行管理与维护； 3、参与系统集成方案的编写，协助项目测试； 4、负责数据采集字典表配置整理导入工作。 5、协助项目经理完成项目实施、验收工作； 任职要求: 1、了解大数据的基本知识和Hadoop生态系统，例如：HDFS, HBase, Hive, Spark, Kafka, Sqoop等； 2、熟练掌握Linux、CentOS操作系统常规命令，掌握MySQL、SQLserver、Oracle等数据库常见命令操作，能够编写shell或Python脚本； 3、熟练掌握JAVA基础，有JAVA项目开发、系统测试的经验； 4、熟悉软件工程和软件开发流程，具备良好的软件开发相关文档的编写经验；具有职业化的自我管理能力、强烈的责任心、善于学习；理解能力强，有较强的逻辑思维分析能力； 5、对海量数据的分析、挖掘有浓厚兴趣，有海量数据处理或者同类项目经验优先录用； 6、本科以上学历，计算机、应用数学、自动化、通信等相关专业。 职位福利：弹性工作 工作地点 兰州城关区名城广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Hadoop,HDFS,Scala,MySQL,PostgreSQL,数据平台,HBase,Hive",http://www.zhaopin.com/jobdetail/CC681945820J40637821509.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
信息化岗,新疆交通科学研究院有限责任公司,1.6-2万,乌鲁木齐·沙依巴克区·长江路街道,乌鲁木齐,本科,经验不限,7月21日,zhilian_direct,岗位职责： 智慧交通相关信息化建设工作 二、岗位要求： 1、教育背景，大学及以上学历，计算机类、交通运输类专业方向，智慧交通、计算机科学与技术、软件工程、智能科学与技术、电子与计算机工程、数据科学与大数据技术等相关专业 2、工作经验，不限 3、技能要求，精通信息化数据分析软件 4、其它要求，具有良好的语言表达，沟通协调及解决问题的能力，良好团队合作及吃苦耐劳的工作精神 二、任职资格 1、具备较强的逻辑思维能力 2、细心、责任心强，具备沟通协调能力和保密意识 四、职位福利 1、五险一金、绩效奖励、法定节假日、定期体检、采暖补贴、节日福利、租房补贴 2、薪酬待遇：20万-25万/年 工作地点 乌鲁木齐市-沙依巴克区-经一路126号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,物联网,云计算,信息安全",http://www.zhaopin.com/jobdetail/CCL1367137430J40765475601.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
通信技术工程师助理,南昌玢耀信息技术有限公司,4000-6000元,南昌·青云谱·京山,南昌,大专,经验不限,7月26日,zhilian_direct,职位描述 测试 嵌入式系统开发 硬件电路设计 C/C++编程 工作职责 1. 协助完成通信系统硬件电路板、嵌入式软件及应用程序的设计、开发与维护工作。 2. 参与通信系统的性能测试与故障排查，配合提供技术支持及售后服务。 3. 辅助制定产品标准与规范，参与产品质量改进的相关工作。 4. 跟踪通信领域新技术与市场趋势，整理信息并为团队提供参考建议。 任职要求 1. 热爱通信技术领域，具备较强的自主学习能力与新知识接受意愿。 2. 熟悉嵌入式系统开发流程，掌握C/C++编程技能。 3. 了解Verilog或VHDL等数字电路设计语言，具备基础的电路设计认知。 4. 具备问题分析与解决能力，逻辑清晰，能快速定位并协助处理技术问题。 5. 拥有良好的团队协作意识与沟通能力，能高效配合团队完成任务。 6. 优秀应届毕业生可放宽经验要求。 工作地点 南昌青云谱区巨成广场(巨成·金山街店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"测试,嵌入式系统开发,硬件电路设计,C/C++编程",http://www.zhaopin.com/jobdetail/CCL1468722750J40674358102.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
信息技术专员,卡啦(杭州)网络科技有限公司,7000-9000元·13薪,杭州·拱墅·米市巷,杭州,大专,经验不限,7月25日,zhilian_direct,职位描述 IT系统运维 云平台技术支持 IT资产管理 工作职责 1. 负责公司内部IT系统（含硬件、软件、网络）的日常运维与故障排查，保障系统稳定运行。 2. 协助云计算相关业务的技术支持工作，包括云平台基础环境的搭建、配置与维护。 3. 处理员工日常IT需求，提供软硬件使用指导与技术支持，提升内部办公效率。 4. 参与IT资产的管理与盘点，建立并更新IT设备台账，确保资产信息准确。 任职要求 1. 大专及以上学历，计算机、信息技术等相关专业优先。 2. 熟悉计算机硬件、网络设备及常用办公软件的安装与维护，具备基础故障排查能力。 3. 了解云计算基础概念，有云平台（如阿里云、腾讯云）操作经验者优先。 4. 具备良好的沟通能力与服务意识，能快速响应并解决问题。 工作地点 杭州拱墅区武林壹号B区b座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"IT系统运维,云平台技术支持,IT资产管理",http://www.zhaopin.com/jobdetail/CC866314460J40873925110.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
3C电子产品售后技术客服-双休-十三薪,聚思鸿信息技术服务(大连)有限公司,4000-6000元·13薪,苏州·虎丘,苏州,大专,经验不限,6月3日,zhilian_direct,职位描述 电话客服 倒班制 咨询服务 工作内容： 1) 负责通过接听电话帮助客户解答售后咨询( 如：账单消费查询/退款处理及软件排查/硬件维修等），向客户提供迅速、准确、周到的服务； 2) 负责客户关系管理及维护服务； 3) 能通过与客户的沟通分析客户的需求，通过高效准确的解答和专业的服务提升客户的满意度； 4) 对服务中发现的问题及时反馈，并积极提出改进意见和建议 培训13个工作日 岗位要求： 大专及以上学历，中专/高中需要有一年以上客服经验 工作时间： 一周两天休息，但不一定在周末； 09:00-18:00；10：00-19：00；12:15-21:15；09:00-21:00(13:00-17:00 break) 工作地点 江苏省苏州市虎丘区苏州工业园区星湖街328号创意产业园B3区23栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电话客服,倒班制",http://www.zhaopin.com/jobdetail/CC620432920J40821546316.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
it技术支持工程师,贵州安盛科技技术服务有限公司,7000-13000元·13薪,南昌·红谷滩,南昌,本科,经验不限,7月25日,zhilian_direct,职位描述 桌面运维 系统运维 IT系统运维支持 技术文档整理 客户需求对接 软件运维 Python C++ Java 软件/IT服务 信息安全 云计算 工作职责 1. 负责公司客户的IT系统日常运维支持，包括软硬件故障排查、系统调试与问题解决。 2. 对接客户技术需求，提供远程或现场技术支持服务，确保问题及时响应与闭环。 3. 整理技术支持文档与知识库，优化支持流程，提升团队服务效率。 奖金绩效 五险一金、年终奖、13薪、周末双休 工作地点 南昌红谷滩区红谷瑞仕城际广场A座5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"桌面运维,系统运维,IT系统运维支持,技术文档整理,客户需求对接,软件运维,Python,C++,Java",http://www.zhaopin.com/jobdetail/CCL1502840300J40947846608.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
it运维工程师,武汉浩洋启汇机械科技有限公司,6000-8000元,武汉·洪山·关山,武汉,大专,1-3年,7月25日,zhilian_direct,岗位职责： 1、负责终端设备（PC、笔记本、复印机、打印机、扫描仪等）的维护、管理、故障排除等日常工作； 2、负责所驻单位办公环境的软硬件和桌面系统的日常维护； 3、维护和监控用户单位局域网，保证其正常运行，确保局域网在工作期间内安全稳定运行； 4、安装和维护用户单位计算机系统软件和应用软件，同时为其他部门提供软硬件技术支持； 5、解决排除各种软硬件故障，做好记录，定期制作运维报告。 任职要求： 1、计算机、网络工程、通信工程相关专业毕业，大专学历以上； 2、具有良好的沟通能力和团队合作意识，工作积极主动，有强烈的责任心； 福利待遇： 五险一金、无试用期、周末双休、交通补贴、绩效奖金、购物卡、节日福利、生日问候、免费零食和咖啡。 总工资=基本工资+绩效工资+五险一金+月度奖金 【工作时间】 ▪ 周一至周五：早9：30－12：00，午14：00－18：00 ▪ 放假规定：周末双休，国家法定节日正常放假，带薪年假15天。 职位福利：五险一金、绩效奖金、带薪年假、大牛带队、周末双休、加班补助、多次晋升机会 工作地点 武汉洪山区高新大道与光谷大道交叉口 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"半导体/芯片,物联网,产业互联网平台,云计算,信息安全,人工智能",http://www.zhaopin.com/jobdetail/CCL1402052680J40455185704.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
后端助理,江西晟裕网络科技有限公司,4000-6000元,南昌·青山湖·京东镇,南昌,大专,经验不限,7月25日,zhilian_direct,职位描述 计算机软件 云计算 软件/IT服务 工作职责 1. 协助完成公司系统架构的设计规划、性能优化及应用场景落地工作。 2. 参与需求分析阶段的技术支持，为开发团队提供可行性建议与方案参考。 3. 辅助进行新技术方案的调研、评估，并参与技术规范的制定与更新。 4. 配合解决开发过程中的技术难点，提供解决方案并推动实施。 任职要求 1. 计算机相关专业，具备扎实的技术基础。 2. 了解系统架构设计原理，能理解常见技术方案的逻辑与应用场景。 3. 具备良好的沟通协作能力，能高效配合开发团队推进技术工作。 4. 有较强的学习能力，能快速掌握新技术并应用于实际工作中。 双休 （偶尔需要加班） 上班时间9点-6点 工作地点 南昌青山湖区天幕国际 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,云计算,http://www.zhaopin.com/jobdetail/CCL1285848370J40923351308.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
技术服务实习生（福州）,上海华讯网络系统有限公司,150-200元/天,福州·鼓楼·洪山,福州,本科,经验不限,7月25日,zhilian_direct,职位描述 实习证明 通信设备 网络工程 CCNA HCIA 信息安全 通信/网络设备 云计算 工作内容： - 运用路由、交换、网络安全、无线网络、云计算、存储等技术，为客户提供网络系统平台的设计、实施、维护、优化等专业技术服务。 招聘专业及要求： - 通信工程、计算机科学与技术、网络工程、信息工程、信息安全、网络空间安全等相关专业2027届毕业生； - 在校成绩良好，专业基础知识扎实，有较好的计算机网络课程、通信工程基础， 对所应聘职位有浓厚兴趣； - 能对新技术保持不断学习的态度； - 具有良好的沟通表达能力和承压能力。 工作地点 福州鼓楼区华润置地中心-3期 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"通信设备,网络工程,CCNA,HCIA",http://www.zhaopin.com/jobdetail/CC000420630J41009176304.htm?refcode=4019&srccode=401901&preactionid=4a1e56eb-02a3-4c36-aec0-94a0a7446f86
