job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
产品经理,蓝海鲸跃(北京)科技有限公司,1.5-2.5万,北京·通州·台湖,北京,本科,5-10年,7月23日,zhilian_direct,岗位职责 1. 负责企业级大模型安全平台产品设计与迭代，主打LLM风控防护，覆盖Prompt注入、越狱攻击、数据泄露、有害内容、模型幻觉等核心风险防御场景。 2. 搭建平台安全策略体系，设计规则引擎、策略配置、黑白名单、分级拦截、数据脱敏等核心功能，输出完整产品方案，支撑政企客户落地使用。 3. 搭建全链路日志审计、风险告警、溯源处置体系，满足《数据安全法》《个人信息保护法》《生成式AI管理办法》等合规及审计要求。 4. 结合大模型API/SDK/代理转发架构，运用内容分类、向量检索、意图识别等AI安全技术，持续优化风控检测能力，解决传统防护短板。 5. 挖掘政企、金融等B端客户AI安全与合规痛点，负责产品规划、需求落地、方案输出，跟进行业技术与攻防动态，打造产品差异化优势。 任职要求 1. 5年以上B端平台型产品经验，有安全类产品经验优先（策略配置、规则管理、日志审计、风控告警、内容审核、数据安全等）。 2. 熟悉大模型各类安全风险及防护思路，了解大模型主流调用方式与AI安全核心技术原理。 3. 具备多租户、模块化平台产品设计思维，精通B端后台、权限、策略、审计体系搭建，可独立完成需求全流程落地。 4. 熟悉AI及数据安全相关合规法规，具备良好的政企沟通、方案输出能力，逻辑清晰、抗压性强。 优先加分项 1. 有大模型安全、AIGC风控、LLM安全网关、企业AI安全平台相关产品经验； 2. 兼具传统安全产品功底与AI新技术落地经验； 3. 有政企、金融大客户私有化项目落地、合规审计对接经验。 工作地点 通州区北京市经济技术开发区经海六路五号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"信息安全,网络安全,数据安全,云安全,云计算/大数据,智算",http://www.zhaopin.com/jobdetail/CC872428320J40923367412.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
AI产品经理,财达证券,面议,北京·丰台·太平桥,北京,硕士,3-5年,7月23日,zhilian_direct,岗位职责： 1、负责落地AI在业务场景的智能化应用，包括构建数据分析智能体，覆盖智能化问数、归因、预测等应用场景；建设业务主题知识库，支撑大模型自主规划归因步骤、维度及指标范围；以及进行智能体调优，提升数据服务的准确性和智能化体验。 2、进行财富、资管、投资、投行、投研等业务条线AI Agent 产品的设计与优化，完成AI产品的信息架构、流程设计和原型设计、需求文档等方案。 3、负责搭建并迭代AI服务体系，对产品功能实现负责，协调开发、测试、UI、数据团队推进产品研发，确保功能按时上线，提升用户体验与留存率。 4、负责产品的内外部宣导和推广培训支持，开展市场和竞品调研，保持对AI行业前沿技术及金融、证券领域知识的学习与研究，撰写竞品分析报告，制定产品迭代计划。 5、建立全流程风险管控体系，严格遵守金融监管规则，保障策略、交易、数据全流程合规。 6、对接外部技术、数据资源，参与行业交流，提升公司AI核心竞争力。 任职要求： 1、硕士及以上学历，计算机、人工智能、大数据、统计学、金融工程等相关专业背景，具有相关AI产品经验者优先，且对AI或金融投资领域有浓厚兴趣。 2、3年以上金融科技/AI相关产品工作经验，熟悉证券、财富管理、资管等金融业务流程，能够将AI技术转化为可落地的产品方案。 3、具备优秀的需求分析、项目管理及跨团队协调能力，具备较强的数据敏感度和产品迭代优化能力。 4、具备AI产品落地经验，了解Prompt基本设计原则，对Agent、RAG等AI技术有一定了解，具有数据驱动的产品演化思维，能够独立完成产品功能设计及优化；能结合大模型能力搭建智能体者优先。 5、持有证券从业资格，持有CFA、FRM、CQF等证书优先。 6、特别优秀者可适当放宽年龄、学历。 报名截止时间：2026年7月26日 工作地点 北京丰台区晋商联合大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AI,http://www.zhaopin.com/jobdetail/CC438042080J40876979310.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
ai产品经理,中环低碳节能技术(北京)有限公司,1.5-2.5万·13薪,北京·丰台·六里桥,北京,本科,经验不限,7月23日,zhilian_direct,岗位职责: 1、对接服务“运输物流/电力/能源/智慧消防/工研院卫星中心”等行业国企，配合相关产品和用户场景研究、制定产品的战略方向并带领团队达成共识; 2、协助产品的设计和落地，快速迭代打磨迭代用户喜欢的产品功能、模块; 3、能够及时跟踪效果、抓用户核心体验，与算法、设计、运营团队协作配合，为AI产品的体验和结果负责； 4、愿意参与单位与政府部门、事业单位项目商务对接，提升公司品牌形象，争取更多支持和资源。 职位要求: 1、本科学历，人工智能或者计算机相关专业。有相关工作经验，对人工智能有了解，熟悉产品逻辑模块; 2、对AI的可能性探索有热情，具备较好的产品策划和项目管理能力，能有效地推动各部门落地并迭代; 3、重视用户体验和细节，良好的逻辑思维能力，出色沟通表达能力，能聚焦抓重点； 4、能接受短期出差，良好的团队协作、项目协调能力。 工作地点 北京市-丰台区-六里桥街道198D座02号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"智慧消防,运输物流,大模型,智能机器人",http://www.zhaopin.com/jobdetail/CCL1484885120J40812866905.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
C 端产品经理,智联招聘,2-3万·14薪,北京·朝阳·望京,北京,本科,3-5年,7月23日,zhilian_direct,岗位职责 负责智联校园业务 C 端产品的整体迭代，为用户量、日活、用户体验和匹配效率负责。负责内容包括求职者注册、简历管理、岗位搜筛、职位投递等核心流程。结合行业和业务情况，制定中长期产品规划 持续挖掘 C 端用户需求，通过用户分层、用户调研、数据挖掘等方法提炼真实需求。独立跟进落地 搭建并监控核心流程的数据监控体系、指标体系。通过数据复盘、A/B 测试等方法，输出产品方案，持续提升用户留存、求职转化及平台用户活跃度 对接 UI 设计、前后端研发、测试、运营、市场等团队，同步需求细节、把控开发进度、解决研发及上线过程中的各类问题，保障产品版本按期高质量上线。 联动业务团队策划关键窗口期的运营活动，做好产品支撑 持续跟踪招聘行业头部产品（智联、前程无忧、BOSS 直聘等）的产品功能、交互体验、商业模式迭代动态。高度关注AI能力的技术创新，并在工作中应用 任职要求 本科及以上，3年及以上C 端产品经验或增长经验，有求职平台或供需匹配型产品经验者优先 熟悉 C 端用户全链路场景及业务逻辑，深刻理解用户心理与转化核心痛点，具备成熟的产品思维和方法论，能够做需求抽象与优先级排序，不局限功能堆砌 数据驱动，有很强的数据敏感度，能够通过数据发现问题、验证方案、驱动迭代 具备良好的跨部门沟通、资源协调与项目推进能力，逻辑清晰、执行力强，抗压能力优秀；对互联网招聘行业有浓厚兴趣，思维活跃，具备独立思考和创新能力，能快速适配业务变化。 加分项 有实际的AI落地项目或对AI有深刻认知；熟悉C端核心转化流程；有招聘行业经验；大型活动产品落地经验； 工作地点 北京朝阳区首开广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AI产品,http://www.zhaopin.com/jobdetail/CCL1501502560J40877450714.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
光电产品经理（光纤/光栅/光源）,奥谱天成(厦门)光电股份有限公司,1.5-1.8万·13薪,长沙·天心·先锋,长沙,本科,3-5年,7月23日,zhilian_direct,岗位职责： 1.售前技术支撑:负责光谱、光电检测类产品全流程售前支持，含客户调研、技术交流、现场演示、答疑汇报、PPT方案宣讲，通过技术与 业务匹配促成项目签约。 2.行业方案设计:独立撰写项目建议书、可研报告、建设方案、实施方案等全套政企项目文档，输出标准化、定制化行业解决方案。 3.需求挖掘与项目把控:深度拆解客户需求，结合公司光谱产品特性引导客户选型、框定项目边界，完成需求沉淀与内部产品对接交接。 4.市场与产品规划:调研光谱光电行业市场、前沿技术、竞品动态，汇总客户需求，为新品研发、产品迭代、市场策略提供数据支撑。 5.内部赋能与咨询培训:承担行业应用咨询、内部信息化培训、方案体系搭建、品牌技术推广工作，完善产品行业落地体系。 任职要求： 1.专业硬性门槛:物理、光学、理工科背景;本科8年+/硕士3年+仪器行业经验(硬性高门槛，资深岗)。 2.客户能力:擅长政企客户高阶沟通、技术汇报、商务对接，情商高、表达逻辑性强。 3.方案核心能力:极强的文案撰写、可研/落地方案设计、需求规划、问题闭环能力，可独立输出全套项目资料。 4.市场与推广能力:具备产品方案引导、市场分析、品牌技术推广思维，懂行业痛点与产品差异化打法。 5.职业素养:抗压、主动、团队协作，接受全国短期出差，职业规范性强、抗挫折能力高。 工作地点 长沙天心区天经国际智能产业园7栋整层6楼人力资源部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光学,光谱仪",http://www.zhaopin.com/jobdetail/CC614082980J41003238402.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
高级产品经理,软通动力信息技术(集团)股份有限公司,1.3-1.7万,上海·浦东·川沙新,上海,本科,5-10年,7月25日,zhilian_direct,"岗位职责： 1.掌握软件生命周期管理技能，熟练掌握敏捷开发的方法，了解项目管理； 2.需求分析与产品规划，产品原型设计； 3.跨部门协作与项目管理； 4.产品培训与运营支持; 5、本科及以上，5年及以上工作经验。 6、电商工作模块经验，电商中后台产品设计，包括但不限于OMS、商品、库存、供应链等中台。 C端产品的jd 1、本科以上学历（必须） 2、有用户端产品经验、或UX设计经验（必须） 3、技能要求（必须）：会用figma画高保真原型、了解UI实现的基本规则(CSS等) 4、素质要求：逻辑推理、语言能力、用户体验、数据判断。 特殊要求： 1、熟悉软件全生命周期管理、了解项目管理； 2、熟悉敏捷开发； 3、能独立进行产品规划、产品原型设计 4、5年以上产品经验,需要有B端经验或C端经验 工作地点 上海浦东新区川沙九六广场企业中心B幢 中免日上 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","B端产品,C端产品",http://www.zhaopin.com/jobdetail/CC000544460J40833283816.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
农产品经理（主粮种子营销策划方向）,九圣禾控股集团有限公司,1-2万·13薪,昌吉·昌吉市·三工镇,昌吉,本科,1-3年,7月25日,zhilian_direct,职位描述 小麦种子营销 农资品牌推广 全场景营销策划 西北大区 国内市场 农业 我们希望你是一个能够在农业种子上在西北区域内有营销思路，策略，方法的人。 工作职责 1. 主导小麦种子产品全周期营销运营，负责定位、品牌包装、卖点策划及市场造势，搭建专属营销体系，提升产品辨识度与品牌影响力。 2. 深耕黄淮海、华北、西北等核心主产区，调研种植习惯、农户需求、竞品策略及渠道政策，输出分析报告并制定年度/季度营销推广规划。 3. 基于小麦品种高产、抗病等核心特性打造差异化卖点，独立策划宣传文案、短视频脚本、海报画册等全场景营销物料，统一品牌口径。 4. 统筹区域招商会、农户观摩会、测产发布会等营销活动的策划、落地与复盘，联动销售团队赋能经销商，提升终端动销率与覆盖率。 5. 跟踪产品销量、终端反馈及竞品动态，定期复盘营销工作，优化方案、话术与活动模式，迭代营销打法以提升转化效率。 6. 配合搭建小麦产品梯度营销矩阵，协助制定区域政策、渠道激励及终端促销策略，维护品牌口碑并打造标杆市场。 任职要求 1. 本科及以上学历。 2. 1-3年农资、种业或农产品行业营销策划、品牌推广经验，熟悉种业推广逻辑与线下活动落地，有小麦品类操盘经验者优先。 3. 具备优秀的市场洞察、品牌包装、文案创作及活动策划能力，可独立完成营销方案撰写、物料对接与数据复盘。 4. 善于沟通，能适应产区短期出差，思维灵活抗压性强，可联动研发、生产、销售多部门推进产品落地。 5. 了解小麦品种特性与主产区市场特点，熟悉农资渠道招商及终端推广模式，有短视频或新媒体营销经验者优先。 补充说明 1. 薪酬福利：宽带薪酬+产品提成+推广绩效+年终奖金；五险一金、带薪年假、出差补贴、节日福利、定期培训、清晰晋升通道、品种操盘专项奖励。 2. 职位亮点：专注小麦品类全案营销，全权负责品牌包装与市场推广；覆盖品牌、终端、招商全场景，营销能力全方位锻炼；小麦刚需赛道稳定，激励机制完善，方案落地可享专项绩效与销量提成。 工作地点 昌吉昌吉市九圣禾产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"小麦种子营销,农资品牌推广,全场景营销策划,西北大区,国内市场",http://www.zhaopin.com/jobdetail/CCL1289848910J40952748708.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
产品经理,睿瀛科技(武汉)有限责任公司,9000-18000元,武汉·江夏·豹澥,武汉,本科,3-5年,7月23日,zhilian_direct,岗位职责: 1. 设计与开发新AI产品的研究，确保符合市场需求和用户体验； 2. 跨部门团队合作，确保产品设计到开发过程的高效沟通与协调； 3. 监控产品开发进度，确保项目按时完成并上线； 4. 分析产品运营数据，收集用户反馈，以优化产品性能和用户体验； 5. 对行业内的竞争对手进行持续的研究，以保持产品优势和跟踪行业动态。 6.技术研究与创新： 跟踪人工智能领域最新技术动态，进行技术预研，推动团队技术进步。 任职要求： 1. 对AI产品设计和开发具有浓厚的兴趣，能够独立管理产品从概念到推出； 2. 具备出色的沟通能力和团队合作精神，能与不同部门有效协作； 3. 对用户体验有敏锐的洞察力，能够在设计中体现出来； 4. 能够快速适应变化，对新技术和新业务模式保持开放态度； 5. 对行业趋势有深入理解，能够把握产品发展方向； 6.有【百万级用户量C端自营产品】规划经验优先，有微信小程序、AI产品规划经验优先。 6. 统招重点本科以上学历。 工作地点 武汉江夏区未来智汇城高新大道未来智汇城A1栋10层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件产品,AI产品,数据产品,数据后台产品,大数据产品,智能问答产品",http://www.zhaopin.com/jobdetail/CC396139830J40863168011.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
产品经理【B端产品数据治理.大数据平台】,华信设计,1-1.2万,广州·海珠·官洲,广州,大专,3-5年,7月25日,zhilian_direct,岗位职责： 1、产品规划与设计：深入了解业务需求，进行平台产品的规划、设计与原型制作，输出高质量的产品需求规格说明书、产品白皮书、功能清单、用户手册等产品文档； 2、项目管理与协作：负责跟进需求管理、产品设计、开发、测试、验收等产品研发过程，统筹平台产品研发迭代； 3、项目支撑：支撑省市级项目交付，包括但不限于项目需求评估、功能点估算及成本估算，支撑项目需求调研、需求分析、规划设计和推动研发落地等项目交付验收工作。 二、任职要求： 1、学历背景：计算机科学、统计学、数学、信息管理等相关专业； 2、工作经验：3年以上大数据平台或者平台工具类产品工作经验，有经济领域相关产品经验及AI产品设计经验的优先，有独立负责平台级产品研发经验的优先。 3、技能要求： ①熟练掌握大数据、数据治理、数据库等数据管理知识； ②熟悉 AI 大模型能力，如deepseek、通义等； ③具备优秀的产品设计和原型制作能力，熟练使用Axure等工具； ④具备良好的项目管理和团队协作能力； ⑤具备良好的沟通能力、问题解决能力，有较强的学习能力。 工作地点 海珠区广州国际生物岛 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据平台,平台产品,TO B,云计算",http://www.zhaopin.com/jobdetail/CC121043380J40911415303.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
外科医疗器械产品经理(J10026),无锡中科光远生物材料有限公司,1-1.5万·15薪,北京·通州·马驹桥,北京,本科,3-5年,7月23日,zhilian_direct,岗位职责: 1、政策、产品使用、客户需求及竞品信息收集，分析，反馈与管理，并及时了解外部市场环境变化。 2、结合外部环境变化，基于销售信息分析，负责产品线的管理与市场开拓，形成切实有效的市场策略和各类促销政策，并基于动态变化及时监测调整策略方向和重点。 3、基于市场动态变化，年度/不定期更新完善产品资料，招标涉及资料，含销售/代理商/客户（PPT彩页海报视频等销售工具）。 4、定期开展针对销售及代理商团队的产品培训。 5、规划并开展目标明确、内容切合、形式创新的市场活动，以建立产品口碑及推动覆盖。 6、参与公司产品相关的各项会议（展会、自办会、代理商会议及内部季度会议），并提供内容、对会议效果进行评估及监测。 7、市场部涉及的其他产品内容对接工作。 8、制定SMART目标，整合资源，设计，计划并高质量执行自办及赞助类市场活动。 9、以产品线为核心，全国级专家库管理、样板医院建设及重点使用客户的活动策划与支持，以促进客户满意度的提升。 10、按时完成基于团队需要组织交办的其他工作事项。 任职要求: 1、本及以上学历，医学相关专业，有普外科吻合器、止血夹等产品使用经验或推广经验的优先考虑； 2、熟悉产品知识、行业知识以及循证医学知识； 3、有较强的市场活动策划能力、组织协调、沟通谈判能力； 4、能适应频繁出差。 工作地点 北京通州区经海产业园C2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"医疗器械,外科,高值耗材",http://www.zhaopin.com/jobdetail/CC248092210J40923355312.htm?refcode=4019&srccode=401903&preactionid=b4cee2b5-a4cf-4951-aaa2-e1a1090416cf
