job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
工业 / 物理人工智能算法工程师,科伊思(杭州)人工智能科技有限公司,8000-15000元,杭州·钱塘·下沙,杭州,本科,1-3年,7月18日,zhilian_direct,岗位职责】 自研 AI 算法，落地工业故障预警、参数优化、预测性维护、智能控制等场景，将行业规则转为机器逻辑。 【任职要求】 计算机、自动化、数学、AI 相关，硕士优先，英语四级/六级；精通符号推理、知识图谱、Agent 工作流；电力工控建模经验优先。 工作地点 钱塘区科伊思(杭州)人工智能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,工业自动化/机器人",http://www.zhaopin.com/jobdetail/CCL1505646280J40867339514.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能解决方案工程师,维数数科(江苏)人工智能科技有限公司,8000-12000元,南京·雨花台·铁心桥,南京,本科,经验不限,7月11日,zhilian_direct,职位描述 生物/制药 人工智能 工作职责 负责人工智能解决方案的需求调研与分析，结合客户业务场景设计技术落地路径。 主导AI项目的技术方案撰写与原型验证，确保方案的可行性与创新性。 与研发团队协作推进项目落地，解决技术实施过程中的关键问题。 为客户提供AI技术培训与售后支持，保障方案的持续优化与价值实现。 任职要求 本科及以上学历，计算机、人工智能等相关专业。 生物医药相关行业，包括医疗器械、化学药、生物制品等 掌握机器学习、深度学习基础理论，熟悉至少一种主流框架（如TensorFlow、PyTorch）。 具备AI项目解决方案设计经验，能独立完成技术方案文档撰写。 拥有良好的沟通能力与客户服务意识，能快速理解并转化客户需求。 有计算机视觉、自然语言处理或大数据分析等领域项目经验者优先。 工作地点 南京雨花台区汇智大厦-A区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"生物/制药,人工智能",http://www.zhaopin.com/jobdetail/CC333634910J40974800802.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,沛乐迪(厦门)科技有限公司,8000-10000元·13薪,厦门·同安,厦门,本科,1-3年,7月23日,zhilian_direct,岗位职责： 1、自动化项目开发：参与人工智能相关项目的需求分析、供方的算法和模型参与及验证等工作，并负责参与供方相应的产品设计、交付及运维； 2、研究新技术：参与人工智能相关领域新技术研究，提升解决方案和产品效果； 3、技术支持：为公司其他项目组提供数据分析及人型机器人学习方面的支持，协助解决相关技术问题，建立人工智能内的通用标准模块； 4、文档管理：协助完成项目开发和相应的文档管理，编写技术支持手册、系统部署文档等； 5、持续学习：不断学习和掌握人工智能领域的最新技术和知识，提升自身的专业能力。 岗位要求： 1、本科及以上学历，计算机科学与技术、信息科学与技术（涉及人工智能）等专业毕业，二年以上工作经验； 2、掌握办公软件、PLM软件操作； 3、掌握气动元件选型及各类电机等常用配件的选型； 4、掌握机加工工艺、机构运动设计； 5、基本掌握ERP中查询模块； 6、掌握海量数据处理、存储、分析等方面的技能； 7、掌握各种人工智能算法的原理、模型和应用； 8、积极上进，良好的学习能力和团队协作能力。 工作地点 同安区沛乐迪(厦门)科技有限公司总部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,机器学习,大模型算法,GPT,RoBERTa,XLNet,K-means算法,SVM,CLIP,ViT,VGGNet,机器视觉,通信算法,智能驾驶,PyTorch,TensorFlow,OpenCV,C语言,Python",http://www.zhaopin.com/jobdetail/CC188186110J40843381010.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,武汉讯达捷飞科技有限公司,8000-11000元,武汉·江岸,武汉,本科,3-5年,7月24日,zhilian_direct,岗位职责： 1.负责软件设计开发工作，根据需求文档与架构设计，完成业务接口的设计、开发、调试与优化，与其他系统集成测试； 2.负责“数据采集 →模型推理 →结果反馈 →迭代优化”的人工智能模型应用过程，提升模型精度与推理效率。 任职要求： 1.本科及以上学历，计算机、人工智能、数据科学相关专业； 2.熟练掌握Python、SQL等语言和常用技术框架，掌握开发工具使用； 3.熟练掌握人工智能的相关理论和技术，例如提示词工程、RAG、Agent等； 4.学习能力强、执行能力强，工作认真细致、责任心强。 工作地点 武汉江岸区匠心城·三阳中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,图像算法,机器视觉,GoogLeNet,大模型算法,多模态算法,搜索/推荐算法,LANG,SQL,RAG,AGENT",http://www.zhaopin.com/jobdetail/CC650433180J40865799501.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,鼎利元(上海)科技发展有限公司,1-1.8万,成都·武侯·桂溪,成都,本科,3-5年,7月23日,zhilian_direct,职位描述 PyTorch TensorFlow OpenCV Python 人工智能 职责描述： 1、 负责进行教学平台等智能化功能的开发及升级； 2、 负责负责人工智能方向的教学内容研发工作，并形成理实一体化教学课程资源（包含代码、视频、实验操作指导书等）； 3、 负责Python机器学习/深度学习/计算机视觉/自然语言处理等课程的研发，负责对教学过程、教学内容进行持续的改进； 4、 负责将产业项目或产业经验转化为教学内容，并设计教学实验、实训项目； 5、 负责教学与师培，按照需求前往院校，找到教学资源的使用及教学活动，必要时执行示范教学任务； 6、 负责项目业务支持，作为专业技术人员，必要时为商务及交付人员提供支持。 任职要求： 1、 本科及以上学历； 2、 熟练掌握Python、Java等任意一种编程语言； 3、 熟悉主流的机器学习和深度学习算法； 4、 熟悉至少一种深度学习框架，如：Tensorflow、PyTorch、OpenCV等； 5、 熟悉至少一种Python Web框架和数据库设计； 6、 具备计算机视觉、NLP、智能机器人、无人驾驶、无人物流等相关人工智能开发项目经验者优先。 工作地点 成都武侯区花样年福年广场-T1写字楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"PyTorch,TensorFlow,OpenCV,Python",http://www.zhaopin.com/jobdetail/CC839556820J41023961304.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,上海极达空调设备有限公司,1-1.2万,重庆·梁平·双桂,重庆,本科,1-3年,7月23日,zhilian_direct,"岗位职责： 1、结合公司业务需求能独立开发业务Agent； 2、使用Dify及postreSQL等平台,帮助公司简化开发流程、提供技术支持、助力企业应用，实现功能集成。 3、在现有的ai大模型下，找到公司岗位的工作应对和解决方案。 4、负责公司EPR系统的整体架构设计，将公司现有的多个系统的功能板块及数据迁移至统一的新系统； 任职要求： 1 掌握llm推理原理，掌握agent工作原理； 2 熟悉3种llm的调用接口，熟悉各个不同的llm供应商平台，包括第三方中转平台； 3 熟悉各种各种AI编程工具的配置和使用； 4 熟练掌握codex/claude code的上下文压缩的细节实现方式； 5 有自己构建过长任务agent项目的经历； 6 有传统算法基础，至少能独立解决leetcode上的中等问题； 7 有rag基础，熟悉目前主流的rag框架（lightrag，llm wiki等）。 加分项： 1、能主力完成EPR+CRM的建设； 2、具备一定的前端开发能力； 3、熟悉odoo系统。； 优秀者薪资可上浮。 工作地点 重庆梁平区科技企业孵化园5栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",人工智能,http://www.zhaopin.com/jobdetail/CC231280510J40669714816.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,湖北省医疗器械质量监督检验研究院,9000-12000元,武汉·洪山·九峰,武汉,硕士,经验不限,7月23日,zhilian_direct,职位描述 人工智能 人工智能开发和技术研究（大模型优化、数据集整理和应用、算法开发、算力平台管理等）、软件研发、软件测试。 任职要求:计算机科学与技术、软件相关专业;硕士研究生及以上学历;熟悉至少一门高级编程语言(Python/JAVA/C/C++) 编程语言，人工智能开发技术，软件架构知识，Iinux操作系统;了解软件测试知识。 用工形式：劳务派遣制员工（与劳务派遣机构签订劳动合同，派遣至湖北省医疗器械质量监督检验研究院工作） 工作地点 武汉洪山区湖北省医疗器械质量监督检验研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CC656950930J40746583206.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,山东星科智能科技股份有限公司,8000-10000元,济南·历下·智远,济南,本科,1-3年,7月23日,zhilian_direct,岗位职责： 1.自动驾驶相关实验设备与系统的研发与实现，包括视觉感知、传感器融合及控制系统 2. 负责基于 ROS / Jetson / Ubuntu 的系统搭建、功能开发与调试 3. 负责计算机视觉算法（YOLO、姿态识别、人脸识别等）的工程化落地 4. 参与硬件选型、结构设计（SolidWorks建模）及整机集成调试 5. 负责仿真系统（Gazebo）与实物系统的联调，实现“仿真-实物”闭环验证 6. 支撑公司教学类产品的技术实现与功能完善 任职要求： 1.具有智能网联汽车、人工智能方向专业知识； 2.具有新产品的设计、研发和试制能力； 3.具有市场调研和客户需求分析的能力； 4.熟练使用专业开发软件、office、cad、大模型等工作软件； 5.有2-3年相关工作经验者优先； 工作地点 济南历下区山东星科智能科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,新能源/燃油整车研发制造,新能源/燃油车零部件",http://www.zhaopin.com/jobdetail/CC120759150J40859686507.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,山西联讯通网络科技有限公司,6000-8000元·13薪,太原·晋源·义井,太原,本科,1-3年,7月25日,zhilian_direct,职位描述 信息安全 人工智能 电力/水利/热力/燃气 工作职责： 1. 驻场客户现场，深度对接电力行业的相关业务需求，跟进AI项目落地全流程，提供日常技术答疑、问题排查及现场保障。 2. 解读网安专业知识文件，提炼隐性业务知识并转化为结构化文档，支撑知识库体系建设。 3. 负责人工智能大模型行业知识库的适配优化，包括网安领域知识切片、入库管理、内容质控及问答逻辑优化，提升大模型在电力行业场景下的问答精准度与专业性。 4. 根据业务场景需求，配合团队完成大模型轻量化参数调优、智能体开发、提示词及效果测试迭代，确保技术方案适配网安业务实际落地场景。 任职要求： 1. 计算机相关行业，熟练掌握python开发语言，熟悉人工智能大模型、向量知识库、RAG检索增强生成核心原理与落地流程，了解大模型知识库构建、数据清洗、知识切片、质控全流程。 2. 了解大模型轻量化调优、Prompt工程，具备基础的模型效果评测、问题迭代能力，可独立完成知识库内容优化与问题整改。 3. 可接受客户现场驻场工作，具备良好的现场沟通对接能力、问题解决能力，工作细致严谨，责任心强。 4. 有网安行业知识库搭建、大模型RAG项目落地经验，或网络安全、人工智能相关专业、相关从业经验者优先。 奖金绩效 年终奖金、 餐补 、电话补助、节日福利、带薪年假、五险一金 工作地点 太原晋源区阳光城环球金融中心-B座1105 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"信息安全,人工智能,电力/水利/热力/燃气",http://www.zhaopin.com/jobdetail/CC330072080J40941777308.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
人工智能工程师,甘肃紫光智能交通与控制技术有限公司,8000-15000元,兰州·城关区·雁园街道,兰州,本科,3-5年,7月23日,zhilian_direct,职位描述 机器视觉 图像算法 大模型算法 云计算 任职要求： 1、至少精通Java、Python、C++等开发语言中的一种； 2、熟悉主流机器学习算法，并能够根据问题选择合适的算法，了解神经网络、卷积神经网络（CNN)、循环神经网络(RNN)等深度学习模型； 3、数据处理：能够处理和分析大量数据，包括数据清洗、特征工程、数据增强等； 4、熟悉TensorFlow、PyTorch、Keras、paddle等AI框架和库； 5、具有项目经验。 工作职责： 1、负责人工智能数据采集、标注和训练。 2、负责人工智能算法集成应用、编写、优化等工作； 3、跟踪人工智能新技术，并能够落地到工程和产品中。 职位福利：五险二金、绩效奖金、交通补助、餐补、通讯补助、采暖补贴、带薪年假等 工作地点 兰州城关区甘肃紫光科技大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器视觉,图像算法,大模型算法",http://www.zhaopin.com/jobdetail/CC340348010J40866481212.htm?refcode=4019&srccode=401903&preactionid=cfe180d8-da26-4f9b-a989-1a075488ca2a
