job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光电子器件FAE沪深解决方案检测系统现场应用工程师,上海朗辉光电科技有限公司,9000-13000元·13薪,深圳·宝安·新安,深圳,本科,1-3年,7月22日,zhilian_direct,"岗位职责： 1、熟悉公司的光电器件产品及其典型的光机电热应用方案。 2、配合销售开展客户拜访、产品宣讲与技术演示，协助团队方案推广，为客户提供售前及售后服务。 3、支持客户的技术咨询，解决客户遇到的各种问题，协助完成返修和失效分析。 4、为客户提供一对一定制咨询服务，分析完善定制要求。 5、实时跟进客户项目进展，及时向公司反馈客户的问题和需求，与团队保持良好协作。 FAE任职要求： 1、光电专业本科及以上学历、一年以上光电研发经验，或电子、光学、激光相关专业、三年以上光电相关行业从业经验者优先。 2、认证CET6同等以上合格，口语流利表达光电器件原理与技术、光电子解决方案及器件失效分析，能流畅读写英文技术文档。 3、熟悉光电器件原理，能看懂电路原理图或光路图；优先考虑具有光电测试设备和光电检测系统搭建经验者。 4、了解光电半导体制造工艺流程，或各类探测器、激光器的失效机理者加分。 5、有较强的学习、逻辑分析和抗压能力，能适应一定的出差。 6、沟通和表达能力强，有较强的应变和处理问题能力。 7、具备良好团队协作能力，对前沿光电技术有浓厚兴趣，愿意深耕光电技术行业。 另见头像主页光电检测系统实验室专家工程师等上海3岗各1位 奖金绩效 年底双薪,绩效奖金,工龄奖 工作地点 深圳宝安区华联城市全景-G座创业二路101号G座2818室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","光电子器件,光电子解决方案,英语口语流利,光电子器件研发经验,光电或光学从业经验,光电子器件失效分析,光电半导体制造工艺流程,光电检测系统搭建经验",http://www.zhaopin.com/jobdetail/CC167431620J40866289907.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
光电子器件封装设计工程师,珠海光恒科技有限公司,1.5-2.5万,珠海·香洲区·凤山街道,珠海,大专,3-5年,7月22日,zhilian_direct,岗位职责 1. 负责完成TO、蝶形、BOX等半导体激光器与探测器的物料选型、封装设计； 2. 负责光电子器件的工艺开发、样品制作与验证测试； 3. 负责器件设计过程中的RF仿真、光路仿真、热仿真等； 4. 负责封装工艺的开发和改善（打线，贴片，光学耦合等）； 5. 编制相关设计开发报告。 任职资格 1. 电子、光学等专业大专以上学历，光电子器件封装设计或工艺工程岗位3年以上工作经验； 2. 熟练使用3D结构设计软件、RF仿真软件； 3. 有独立成功开发并转产器件的经历； 4. 熟悉器件用常用元器件供应商、生产设备商，了解器件的下游应用； 5. 配合完成生产转产，解决生产中和客户应用中的问题。 工作地点 珠海香洲区建星控股科创园光恒科技有限公司3栋301 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光学耦合 EDFA,TO、蝶形、BOX 半导体封装,光路仿真 打线,RF仿真",http://www.zhaopin.com/jobdetail/CC605325530J40897252213.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
机械设计工程师【深圳瑞波光电子有限公司】,智联猎头,1.1-2万,深圳·龙华·大浪,深圳,本科,5-10年,7月19日,zhilian_direct,职位描述 研发 设计 '1 负责测试设备产品设计开发、完成方案设计、图纸绘制及技术文档编写整理 2 协同部门团队推动设备产品从设计到制作到顺利实施 3 协助生产现场安装、解决安装调试中存在的机械问题，确保项目按期交付 学历要求 大学本科 专业要求：机械设计、机电一体化等专业，5年以上相关工作经验 工作地点 深圳瑞波光电子有限公司广东省深圳市龙华区大浪街道刘屋围路228号德泰科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"研发,设计",http://www.zhaopin.com/jobdetail/CCL1318355140J40910335303.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
光电子器件模组系统-销售工程师-上海深圳西安,上海朗辉光电科技有限公司,5000-6000元·13薪,上海·杨浦·新江湾城,上海,本科,1-3年,7月20日,zhilian_direct,岗位职责： 1、负责所辖区域的产品销售任务，向客户提供专业支持，完成销售指标； 2、建立客户档案，完成相关销售报表； 3、收集市场和行业信息，开拓新市场，发展新客户，增加产品销量，扩大产品市场； 4、完成售后技术支持工作，跟进客户技术交流； 5、维护及增进已有客户关系，与客户建立良好关系，以维护企业形象。 工作地点 上海杨浦区绿地双创中心-H2座国霞路258号707室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"区域销售,英语CET4以上合格,企业客户,KA大客户,院校客户,面销/陌拜,电话销售,长期稳定合作不浮躁,对光电技术及器件有浓厚兴趣",http://www.zhaopin.com/jobdetail/CC167431620J40865615807.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
激光光电子技术工程师,爱仕恩动力科技(江苏)有限公司,1.5-2万,苏州·吴中·郭巷,苏州,本科,3-5年,7月24日,zhilian_direct,职位描述 研发 硬件研发 软件研发 光模块 激光雷达 显示产品 TracePro Zemax Matlab 专用设备制造 电子设备制造 半导体/芯片 岗位内容： 1. 设计、开发和优化激光/光电子器件、系统和组件 2. 进行激光技术的仿真、模拟和验证 3. 开展激光光学原理研究，提升产品性能和技术水平 任职要求： 1. 具备激光/光电子相关领域本科及以上学位 2. 精通光学设计软件 Zemax 或 Code V，掌握 Matlab 或 Python 编程语言 3. 有扎实的光学/激光基础知识，熟悉固体激光器件、激光测量、光纤通信等技术 4. 拥有相关产品的设计和开发经验，具备较好的团队沟通和合作能力 工作地点 苏州吴中区中博科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"研发,硬件研发,软件研发,光模块,激光雷达,显示产品,TracePro,Zemax,Matlab",http://www.zhaopin.com/jobdetail/CCL1337375830J40912000115.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
激光/光电子技术工程师,中科先为激光科技(北京)有限公司,1.5-3万,北京·朝阳·酒仙桥,北京,本科,3-5年,4月10日,zhilian_direct,职位描述 激光 光电子技术 安装调试 光路设计 光电子 性能测试 岗位主要工作内容： 1.负责脉冲光纤激光器产品光学模块的设计、开发、测试; 2.负责脉冲光纤激光器生产工艺开发，建立生产线，完善相关质量控制流程 3.整理技术文献、编写技术文档。 专业知识/技能要求： 1.光学、物理电子学、固体激光器等相关专业毕业，有光纤激光技术研发经验者优先; 2.具备扎实的固体激光理论知识，熟悉固体激光器发展趋势和最新前沿技术动态; 3.具有较强的实验动手能力，能够独立设计固体激光器系统，完成激光器系统搭建、测试; 4.沟通协调能力强，办事认真严谨，肯钻研，能创新，有较强的合作精神。 职位福利：五险一金、绩效奖金、餐补、带薪年假、员工旅游、定期体检、年底双薪 工作地点 北京朝阳区普天实业创新园首信大厦B1座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"激光,光电子技术,安装调试,光路设计,光电子,性能测试",http://www.zhaopin.com/jobdetail/CC310898730J40055603102.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
光电子销售工程师,东亚光学(信阳)有限公司,5000-7000元·13薪,深圳·南山·西丽,深圳,大专,1-3年,3月18日,zhilian_direct,职位描述 光学元件 企业客户 渠道销售 电子电路基础元件/模组 工作职责: 1.开展销售活动，达成产品销售目标，提高所负责产品的市场占有率;2.负责项目推进，协助项目管理员负责所担当客户或业务的新项目推进工作，密切跟进客户需求，及时反馈交付异常并协调处理简单异常问题;3.负责商务及日常事务，负责所担当客户的商务处理和客户拜访等;根据公司要求实施客户报价、发样、合同评审、收款工作，并做好日常的统计分析和持续改善;4.维护客户关系，与客户建立和保持良好业务联系，提高客户满意度。 任职资格: 1 大专以上学历，理工类专业优先 2.男女不限3.身体素质佳，抗压能力强、能接受出差及应酬4.熟悉光学镜头产品、有较强的学习能力。5.具备一定的商务谈判能力和商务谈判技巧;6.其他信息(1)五官端正，口齿伶俐，擅长沟通(2)语言要求:普通话，英语(3)光学相关专业或视觉应用类相关经验 工作地点 深圳市-南山区-西丽同沙路168号16楼1601—1603室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光学元件,企业客户,渠道销售",http://www.zhaopin.com/jobdetail/CCL1347376930J40789362716.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
电子枪研发工程师（量子光电子源),深圳国际量子研究院,1.2-2.2万,深圳·福田·福保,深圳,本科,1-3年,3月2日,zhilian_direct,岗位职责： 1、负责电子枪组装、结构优化和性能测试（发射束流、发射束斑、发射度、稳定性、寿命等测试）； 2、负责电子枪的电子束曝光测试； 3、负责电子枪在扫描电镜等成熟设备上的改装、调试； 4、完成领导安排的其他工作。 任职要求： 1、具有电子光学、应用光学、电子科学与技术等相关专业本科以上学历，1年以上工作经验； 2、熟悉电子枪热发射、场发射或光致发射的原理，有相关电子枪研发或性能（发射束流、发射束斑、发射度、稳定性、寿命）测试工作经验者优先； 3、有使用电子枪进行电子束曝光测试者优先； 4、熟悉电子枪在扫描电镜、电子衍射、电子束曝光等设备中的应用； 5、熟悉高真空设备的密封、操作以及高压电源的使用、高压绝缘材料选择等； 6、工作踏实、团队合作能力强。 工作地点 深圳福田区国际量子研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电子信息工程,半导体/芯片",http://www.zhaopin.com/jobdetail/CCL1425866110J40720508910.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
真空机械工程师（量子光电子源实验室）,深圳国际量子研究院,1.2-2.4万,深圳·福田·福保,深圳,本科,1-3年,2月28日,zhilian_direct,岗位职责： 1、负责真空电子精密科学仪器（扫描电镜、电子衍射装置、测试部件等）的结构设计，涉及精密结构设计、真空装置设计、30kV高压接线设计、30 kV高压绝缘设计等； 2、真空装置或真空机构的性能测试与设备安装调试； 3、对复杂、互联的真空装置进行真空度仿真模拟； 4、完成领导安排的其他工作。 任职要求： 1、具有机械设计、机械制造等相关专业本科以上学历，2年以上工作经验； 2、具备独立进行精密仪器结构设计的能力，有扫描电镜、电子衍射装置、电子束曝光装置设计经验者优先； 3、熟悉真空设备的设计，熟悉各种密封结构和真空材料选择； 4、熟悉涉及高压的结构设计、高压接线、高压馈通、绝缘材料选择等； 5、具有真空测试、设备调试经验。 6、工作踏实、团队合作能力强。 工作地点 深圳福田区国际量子研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,设计,http://www.zhaopin.com/jobdetail/CCL1425866110J40823811210.htm?refcode=4019&srccode=401903&preactionid=6f36c634-68f6-4d19-87ff-7c31043dda14
电子工程师,横店集团得邦照明股份有限公司,5000-6000元·13薪,金华·东阳市·横店镇,Guangzhou,本科,经验不限,7月7日,zhilian,岗位职责: 1、负责与其相关新产品电路开发创新工作； 2、负责与其相关现有产品及外购产品电路的分析及技术改良； 3、协助电路功能块主管组建公司电路技术平台和电路技术的预研工作； 4、负责处理相关的生产异常、客诉及其他部门需要的技术支持工作； 5、协助对应开发处经理对外技术交流及技术协作； 任职要求: 1、学历及专业：本科及以上，电子类专业优先； 2、经验：不限，有LED电路设计相关工作经验优先； 职位福利：包住、绩效奖金、包吃、年底双薪、带薪年假、加班补助、全勤奖、餐补 工作地点 金华浙江省东阳市横店电子工业园区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,电路设计,http://www.zhaopin.com/jobdetail/CC411316720J40072866504.htm?refcode=4019&srccode=401901&preactionid=5ee22ec7-94a3-4043-9bf8-f5d5f2fcbfe9
