job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光传输网络工程师,浙江明讯网络技术有限公司,5000-8000元,成都·成华·万年场,成都,大专,3-5年,7月26日,zhilian_direct,职位描述 光通信 网络维护 光传输 华为督导 运营商 招聘岗位：华为光网络督导 1、能够独立处理光网络产品（OTN PTN SDH）网络工程交付期间的现场工作，负责故障处理、现场保障、操作实施和项目规划、解决方案交流，对用户的网络建设提供有价值的规划和建议。 2、按华为要求定期完成看网讲网，网络巡检，隐患整改。 3、负责进行客户对接和相关技术服务，确保客户满意度 岗位要求： 1、熟悉运营商网络交付的相关流程和规范 2、熟悉华为OTN、MSTP、MS-OTN、CPE等产品和技术，熟悉NCE网管，具备OTN PTN SDH中级技能水平（如扩容、改造、破环加减点、升级等） 3、具备良好沟通交流能力，有良好的团队意识 工作地点：德阳 工作地点 成都成华区槐树店(地铁站)工作地点：南充，德阳 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光通信,网络维护,光传输,华为督导,运营商",http://www.zhaopin.com/jobdetail/CC157375120J40893781215.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络工程师,成都山康技术服务有限公司,1-1.8万,成都·武侯·桂溪,成都,大专,3-5年,7月26日,zhilian_direct,"职位描述 光网络工程师 OTN O改S OSN 一、工作内容 1独立处理光网络产品(OTN)网络故障工作，负责现场保障、操作实施和项目规划、方案交流，对用户的网络建设提供有价值的规划建议。 2按照标准配置规范或脚本完成光网络(OTN)设备的调试开局、调试、升级、割接，确保版本、补丁、License使用正确，输出正确的采集信息。 3完成设备开局、设备信息采集、方案制作、转维资料提交。根据客户需求，合理安排施工进度，保障工程按时交付 4承担光网络产品(OTN)场景的部署设计和部署实施及跨产品问题的定位处理。 二、任职资格 1、经验要求：2年以上烽火光网络产品(SDH＋OTN)网络故障工作经验,从事过至少一个项目的工程或维护交付。 2、学历要求：大专及以上学历，通信工程/计算机/电子等相关理工类专业均可； 3、具备良好的沟通、协调、项目管理能力以及较好的服务意识 4、工作积极主动，责任心强，工作严谨认真、有计划性，有较好的承压能力 三、薪资待遇 1、综合收入12-20k（根据技能答辩情况而定）； 2、优厚的福利体系：入职购买六险一金、生日福利、定期体检； 3、带薪年假及法定假期； 4、系统全面的行业专业知识和业务技能培训； 5、完善的内部员工职业发展晋升渠道； 6、工作地西安 工作地点 成都武侯区蜀都中心1期＊ 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","光网络工程师,OTN,O改S,OSN",http://www.zhaopin.com/jobdetail/CCL1258186750J40760303310.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络工程师,润建股份,6000-10000元,汕尾·城区·香洲街道,汕尾,中专/中技,1-3年,7月26日,zhilian_direct,岗位职责】 1. 团队建设：负责乡镇综合服务站/社区智慧小店所承包片区装维及营销团队组建，负责团队成员的招聘、留存及日常管理，通过线下晨会、技能拉练、激励活动等方式，打造一支高执行力的联通宽带营销服务铁军 2. 客情维护：负责辖区内村委、物业、社区便利店、手机店等目标客户拓展与日常维护，确保产品触点覆盖到位，客情关系稳固 3. 安装维护：负责宽带及智慧家庭设备的上门安装调试和维护，及故障排查。定期巡检网络设备，保障网络稳定性。快速响应客户报修、异常需求，提升用户体验。同时负责区域内宽带用户的续约维系 【岗位要求】 1. 工作经验：通信维护、客户运营、销售类相关工作经验更佳 2. 沟通能力：擅长沟通，与村委，物业，营销、装维人员，用户建立良性互动 3. 工作经验：1年以上销售、通信网络维护或家电等本地生活服务行业工作经验 【薪酬待遇】 1. 有竞争力的薪酬：月入过万，行业领先的业务发展提成，平均超1000元/户，多劳多得。承包区域维护、维系支撑费等托底费用约3000元/人/月。再有门店装修补贴、门店租金补贴等 2. 极具前景的职业发展机会：宽融发展战略性业务，深度参与片区数字化服务与FTTR全屋光宽带家庭市场蓝海，挑战与机遇并存，选择大于努力，期待您的加入！ 【建站开店十项承诺】 1. 收益承诺：发展达量，收入过万，宽融发展，专项奖励 2. 选址承诺 ：联合选址，区域保护，重点扶持 3. 装修补贴 ：公司补贴，老板省钱，签约任务，最高补贴5000元 4. 维修赋能 ：协助申请厂商维修收集点，店中创业，手机维修 5. 终端赋能 ：公司提货，提货有奖，终端合约等资源赋能 6. 宽融赋能：极简受理，省时省力，中台支撑宽带无忧受理 7. 营销保障 ：跟班实战，省时省力，营服牵头大兵团作战 8. 驻店帮扶 ：达量签约，公司出人，分类长短期派驻帮扶 9. 新人培训 ：新人入职有公司安排导师结对帮扶，手把手辅导 客情帮带：公司积极协同做好政府、行业协会、物业等客情，助力承包运营 工作地点 城区中国联通(汕尾市分公司) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"宽带装维,网络维护",http://www.zhaopin.com/jobdetail/CC202740210J41006836904.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络工程师,科锐尔人力资源服务(苏州)有限公司,7000-11000元·14薪,成都·武侯·桂溪,成都,本科,1-3年,7月26日,zhilian_direct,职位描述 网络维护 数通工程师 光纤工程师 光缆通信 光传输 光路设计 【工作职责】 1、负责政企市场客户售前400咨询，解答客户对产品功能、规格、设备组网和综合解决方案的问询，为最终客户提供合适的产品解决方案 2、为总代、渠道销售工程师提供产品功能规格和设备配置方面的咨询 3、在咨询过程中，深入挖掘客户需求，识别项目机会，牵引客户/伙伴购买意愿 4、不断学习产品和解决方案，提升技术和解决方案能力水平，更好服务客户 【岗位要求】 1、学历要求：本科及以上学历 2、专业要求：计算机、电子信息、电子科学、网络工程、通信工程等相关专业 3、工作经历要求：1年以上相关工作经验，具有一线售前，售后，技术支持相关经验优先 奖金绩效 底薪+绩效+年终 工作地点 成都武侯区OCG写字楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"网络维护,数通工程师,光纤工程师,光缆通信,光传输,光路设计",http://www.zhaopin.com/jobdetail/CC453635220J40902363003.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络/数通工程师,郑州联创优聘信息科技有限公司,5000-10000元·14薪,郑州·金水·祭城路,郑州,本科,经验不限,7月26日,zhilian_direct,职位描述 数通工程师 光纤工程师 5G 光通信 光传输 英语四级 可接受26届应届生（需有英语四级或六级），主要负责光网络和数通产品的交付实施、优化运维等 1、专业要求：统招本科毕业，理工科专业背景均可（通信、电子信息、计算机、网络工程等优先）； 2、语言要求：可简单英语沟通； 3、素质要求：具备良好的沟通表达能力和团队协作精神，愿意在通信服务领域长期发展，持有HCIA/HCIP/HCIE等相关认证者优先； 4、工作地点西安、郑州均可 工作地点 郑州金水区龙湖北 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"数通工程师,光纤工程师,5G,光通信,光传输,英语四级",http://www.zhaopin.com/jobdetail/CCL1314982440J40781406706.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
GSC光网络 OTN 工程师,河南汉纳实业有限公司,6000-12000元,西安·雁塔·丈八沟,西安,大专,1-3年,7月26日,zhilian_direct,"职位描述 光纤工程师 5G 卫星通信 1. 掌握光网络产品（主要波分，少量SDH、MSTP、PTN）理论基础，波分信号流; 2. 有2年及以上华为运营商/企业网络光网产品的工程设计/调测/割接实施/维护经验，包含但不限于：波分产品的配置和调测、OTN业务迁移，性能优化，设备搬迁、问题处理等，海外经验优先； 3. 有一定的英语听说读写能力; 4. 熟练使用办公软件，尤其是excel, word, visio, CAD等，从而进行文档和设计制作； 5. 工作细致、主动，责任心和服务意识强，保密意识强； 6. 具备良好的沟通协调能力和团队合作意识，能承担项目leader角色，带领团队成功交付项目。 工作地点 西安雁塔区长盛科技产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","光纤工程师,5G,卫星通信",http://www.zhaopin.com/jobdetail/CCL1285360340J40809766016.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络传输工程师（广州）,北京智讯天成技术有限公司,1-1.5万,广州·越秀·东山,广州,本科,3-5年,7月26日,zhilian_direct,职位描述 OTN SDH 光网络 【工作职责】 1、负责项目的工程实施。包括：验货签收、实施方案制订、督导设备安装、设备调试、测试并验收、竣工资料制作等； 2、培训胶片制作，内部技能交流及对客户进行相关培训； 3、负责所在区域的设备维护、故障处理等维保工作； 4、基本的客户关系维护； 5、在技术上协助市场发掘潜在机会点。 【任职资格】 1、通信或计算机专业本科以上学历。 2、具有HCIE相关证书的优先考虑 3、三年以上华为或其他通信设备厂家调测经验，通信基础扎实工程实践经验丰富。 4、具备通信工程项目管理经验者优先。做好工程问题的跟踪和反馈，以及疑难问题的处理和支撑。 5、对所接触的产品和涉及的工程负责前期的协调跟踪，计划方案的制定和执行，对客户 的培训，内部的技术交流，对完工的工程及时输出相关文档，并积极配合客户完成工程验 收。 6、熟悉传输网知识，SDH/DWDM等，对光纤光缆和光网络知识有一定的了解。 7、能适应长期出差，能承受工作压力。参加过华为有线设备调试或者有华为认证者优先。 职位福利：五险一金、绩效奖金、带薪年假、员工旅游、节日福利、包住、餐补、补充医疗保险 工作地点 广州越秀区保安南街 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"OTN,SDH,光网络",http://www.zhaopin.com/jobdetail/CC152235410J40747595411.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
网络运维工程师（纯光网络运维、机房管理）,新奥集团,1.2-1.8万,天津·西青·张家窝,天津,本科,3-5年,7月26日,zhilian_direct,职位描述 系统运维 局域网运维 桌面运维 机房网络运维 无线网络运维 纯光网络运维 机房管理 应用运维 【一】工作职责 本岗位工作：网络运维工作占比80%左右，应用运维占比20%左右。 要求必须具备：纯光网络（PON（无源光网络））的运维经验、应用运维的经验、机房管理经验。 （一）网络相关工作 1. 网络设计与建设：负责公司内部、产业园网络系统（含全光网络）的规划、设计与实施，确保网络架构的先进性、可扩展性；精通华为网络设备（路由器、交换机、防火墙等）的搭建与优化。 2. 网络运维与优化：负责全光网络及传统网络的日常运维，包括故障排查、性能监控与优化；利用网络测试分析仪（如Wireshark）等工具定期优化网络，提升网络性能与稳定性；维护更新网络拓扑图、系统路由等配置资料，确保准确性与完整性。 3. 网络安全管理：制定并实施网络安全策略，包括防火墙配置、入侵检测系统部署等；定期开展网络安全风险评估，及时发现并修复潜在安全漏洞。 4. 安防系统运维：负责监控、摄像头、门禁系统的规划、设计、安装与调试，确保安防系统稳定运行；精通各类监控摄像头配置与管理，熟悉视频存储、回放及远程访问技术。 （二）系统运维相关工作 1. 应用运维保障：负责公司平台系统的运维工作，保障服务稳定高效运行，持续开展系统调优与性能优化。 2. 故障应急处理：负责各类系统及网络故障的应急响应、处理与协调，确保产品7*24小时业务连续性。 3. 运维效能提升：通过技术手段进行成本控制与优化，借助工具化及流程完善提升服务管理效率；熟悉应用管理、部署管理、自动扩容等运维系统建设。 （三）其他事项 1. 为公司内部用户提供网络及运维相关技术支持，解答使用疑问；对新员工进行相关技术培训，提升团队整体技术水平。 2. 可接受参与桌面运维工作，服从领导安排的其他相关工作任务。 【二】任职资格 （一）教育背景 计算机科学、信息技术、网络通信等相关专业本科及以上学历。 （二）专业技能 1. 网络技能：熟练掌握计算机网络基础知识（TCP/IP协议、路由与交换技术等）；熟练掌握OSPF、BGP、PBR、ECMP、NAT、QOS、ACL、STP等二、三层通信及安全相关网络技术；熟悉常见网络设备和安全设备的操作与管理。 2.运维技能：深入理解Linux系统及上下游链路服务（网络/IO等）；熟悉k8s和容器技术，能够独立处理和排查容器管理相关常见问题；有一定的容量规划、架构设计、性能优化经验。 3.工具与排查能力：熟悉网络测试和分析工具（如Wireshark）的使用；具备丰富的网络及系统故障排查、解决能力，能够独立处理复杂问题；可整合技术方案，解决各类综合技术难题。 4.加分项：具备数据库管理运维经验者优先。 （三）工作经验 1. 具有3年及以上网络工程师或运维工程师相关工作经验，有大型网络项目或复杂运维项目经验者优先；具备机房维护经验。 2. 具备纯光网络（PON（无源光网络））的运维经验、机房管理 3. 具备应用运维的经验 【三】其他要求 具备良好的沟通协调能力和团队合作精神，能与各部门紧密协作，有良好的客户意识。 具备较强的学习能力和自我驱动力，能够持续关注网络及运维技术发展动态，乐于分享技术经验。 工作地点 天津西青区新智感知科技产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统运维,局域网运维,桌面运维,机房网络运维,无线网络运维,纯光网络运维,机房管理,应用运维",http://www.zhaopin.com/jobdetail/CC130980700J41015813704.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络 OTN 工程师,河南汉纳实业有限公司,8000-16000元,郑州·管城·城东路,郑州,大专,1-3年,7月26日,zhilian_direct,"职位描述 光通信 OTN GSC 光网络工程师 1. 掌握光网络产品（主要波分，少量SDH、MSTP、PTN）理论基础，波分信号流; 2. 有2年及以上华为运营商/企业网络光网产品的工程设计/调测/割接实施/维护经验，包含但不限于：波分产品的配置和调测、OTN业务迁移，性能优化，设备搬迁、问题处理等，海外经验优先； 3. 有一定的英语听说读写能力; 4. 熟练使用办公软件，尤其是excel, word, visio, CAD等，从而进行文档和设计制作； 5. 工作细致、主动，责任心和服务意识强，保密意识强； 6. 具备良好的沟通协调能力和团队合作意识， 此岗位工作地点在西藏 工作地点 郑州管城回族区绿都广场-B栋802 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","光通信,OTN,GSC,光网络工程师",http://www.zhaopin.com/jobdetail/CCL1285360340J40832596416.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
光网络传输工程师（上海）,北京智讯天成技术有限公司,1-1.5万,上海·静安·大宁路,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 OTN SDH 光网络 【工作职责】 1、负责项目的工程实施。包括：验货签收、实施方案制订、督导设备安装、设备调试、测试并验收、竣工资料制作等； 2、培训胶片制作，内部技能交流及对客户进行相关培训； 3、负责所在区域的设备维护、故障处理等维保工作； 4、基本的客户关系维护； 5、在技术上协助市场发掘潜在机会点。 【任职资格】 1、通信或计算机专业本科以上学历。 2、具有HCIE相关证书的优先考虑 3、三年以上华为或其他通信设备厂家调测经验，通信基础扎实工程实践经验丰富。 4、具备通信工程项目管理经验者优先。做好工程问题的跟踪和反馈，以及疑难问题的处理和支撑。 5、对所接触的产品和涉及的工程负责前期的协调跟踪，计划方案的制定和执行，对客户 的培训，内部的技术交流，对完工的工程及时输出相关文档，并积极配合客户完成工程验 收。 6、熟悉传输网知识，SDH/DWDM等，对光纤光缆和光网络知识有一定的了解。 7、能适应长期出差，能承受工作压力。参加过华为有线设备调试或者有华为认证者优先。 职位福利：五险一金、绩效奖金、带薪年假、员工旅游、节日福利、包住、餐补、补充医疗保险 工作地点 静安区上海静安华发中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"OTN,SDH,光网络",http://www.zhaopin.com/jobdetail/CC152235410J00150971613.htm?refcode=4019&srccode=401903&preactionid=af3caedf-e0e2-4847-92d1-74c4bd412eef
