job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
招车工-底薪5000-五险一金,广州创熠智能科技有限公司,9000-15000元,东莞·长安镇,东莞,中专/中技,1-3年,7月26日,zhilian_direct,职位描述 车床设备 铣床设备 西门子 三菱 发那科 包吃包住 五险一金 节日福利 带薪培训 通用设备制造 工业自动化/机器人 电气机械/电力设备 岗位内容： 1. 操作车床、铣床等机械设备，根据工艺流程进行零件加工； 2. 对机械设备进行调整、检修和维护保养，确保其正常运转； 3. 根据制定的质量标准进行产品检验； 4. 配合相关部门完成生产任务，保证生产进度。 任职要求： 1. 具备中专及以上学历，机械类相关专业优先； 2. 有2年及以上车工作经验，熟悉机械设备操作和维护； 3. 熟悉数控加工知识，能够独立进行程序调试； 4. 具备团队合作精神，责任心强，严格遵守相关规定。 5.包吃包住 原标题：《数控车床技术员》 工作地点 东莞海滨模具电子产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"车床设备,铣床设备,西门子,三菱,发那科,包吃包住,五险一金,节日福利,带薪培训",http://www.zhaopin.com/jobdetail/CCL1513990750J40745893706.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
弱电技术员,烟台科润电子技术有限公司,3000-6000元,烟台·芝罘·东山,烟台,本科,经验不限,7月26日,zhilian_direct,职位描述 安全防范系统 弱电设计 通信/网络设备 招聘需求：CAD制图 预决算 懂弱电知识 工作地点 烟台市-芝罘区烟台一中附近 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"安全防范系统,弱电设计",http://www.zhaopin.com/jobdetail/CC299749830J40883115705.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
电机技术员（深圳上班+线上面试）,软通动力信息技术(集团)股份有限公司,8000-13000元,深圳·龙岗·平湖,深圳,大专,经验不限,7月26日,zhilian_direct,岗位职责： 1、按照作业指导书及生产计划完成精密电机相关工序制造工作 ，工序包含绕线，贴膜，灌封，焊接，组装，磁钢粘接，洁净等； 2、根据产品测试方案、公司的测试规范与测试流程，进行电机制造过程测试，成品性能测试等，整理上传测试报告； 3、反馈产线异常问题，协助工艺工程师完成工艺问题定位解决； 4、其他制造管理岗位，包含产线物料管理，计划调度，工段长等； 以下三项满足一项即可： a. 了解零部件装配工艺，能看懂图纸，熟悉常用装配结构知识，具备钳工基础技能； b. 具有三坐标，二次元投影，安规测试等设备及常用测量工具的使用经验； c. 有点胶机，灌封机、绕线机，激光焊接机等常用工艺设备的使用经验； 工作地点 深圳龙岗区新凯来园区-1号门（罗C） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电机,钳工,普工,焊工,装配",http://www.zhaopin.com/jobdetail/CC000544460J40833283716.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
招聘磨工-五险一金,苏州瀚川智能科技股份有限公司,9000-12000元,苏州,苏州,中专/中技,3-5年,7月26日,zhilian_direct,岗位职责： 1.负责手摇平面磨床的日常操作与加工任务，确保零件精度及表面质量符合图纸要求。 2.针对不同材质与工件结构，合理安排磨削工艺，优化加工参数，提升生产效率。 3.参与机加工全流程工艺评估，配合前后道工序（铣、线割、放电等）衔接，保障整体加工进度。 任职要求： 1.具有1年以上手摇平面磨床独立操作经验，熟悉常用砂轮选型及修整技巧； 2.精通平面磨削工艺编排，能根据工件形状、公差要求制定合理加工路线； 3.熟悉机加工各阶段工艺特点及质量控制要点； 4.具备连接器塑胶模具零件加工经验者优先，了解模具零件常见结构的磨削难点及应对方法。 原标题：《平磨技术员》 工作地点 江苏省苏州市苏州工业园区听涛路32号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"平面磨床,大水磨床,手摇磨,包三餐,非标件",http://www.zhaopin.com/jobdetail/CC627267720J40911411603.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
精密调测技术员,外企德科数字技术有限公司,6000-12000元,深圳·龙岗·平湖,深圳,大专,经验不限,7月26日,zhilian_direct,岗位职责： 1、测试环境：按照产品需求信息及规范，接收测试装备及环境物料，并对其进行现场使用管理，保证环境物料申请、领用、清退符合流程，账实一致；打开测试管控开关，完成初始化及校准设置，测试环境日常保养、点检 2、测试作业：按照任务令需求信息及作业指导书要求，搭建测试环境，完成老化、FT、温循等工序的测试作业； 3、系统测试：手动模式需设置差异化、拨码、软件，根据指导书对产品进行条码采集、接线及测试，查询测试记录 4、测试综合检查：测试完成后对产品测试记录，外观进行综合检查。 5、装备维护与保养：按照作业指导书要求，对测试装备及环境物料进行日常点检与保养； 6、异常处理：查询并执行更改、欠料、隔离、EC等异常处理，识别生产异常并反馈对应接口人处理，填写质量问题单，对达到停线要求，进行停线。 任职要求： 1、掌握岗位安全、质量、ESD、内控、8S等规范，作业遵从性满足岗位要求； 2、了解老化房、老化装备相关知识，掌握老化操作规程，装备日常点检、维护及保养； 3、了解FT、温循相关知识，熟悉FT及温循操作规程，掌握软件加载、FT测试、温循等测试作业； 4、掌握老化、FT、温循工序各类装备安全操作规范及保养要求，保证设备安全稳定运行； 5、了解各工序质量控制要点，掌握不合格品处理、变更管理等； 6、能够熟练运用系统在线采集系统进行在线采集，掌握操作过程中的注意事项。 7、接受夜班、无尘服环境 学历：大专 专业：机电、电子、自动化、通信、计算机等 工作经验：有制造领域相关工作经验，有相关电子产品工作经验优先。 工作地点 深圳龙岗区星光园区1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,半导体/芯片,http://www.zhaopin.com/jobdetail/CCL1480117890J40883123805.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
自动化调试技术员,济南市盈亿创智能科技有限公司,7000-9000元,嘉兴·嘉善县·惠民街道,嘉兴,学历不限,1-3年,7月26日,zhilian_direct,职位描述 安装/调试 非标自动化设备 非标设备 电气设备 机械设备 工业自动化/机器人 电气机械/电力设备 1、有接触过点胶机、螺丝机、组装机、包压机、上下料机、焊接机、机械手、aoi等3c非标设备。 2、接受自动化相关专业无经验小白 工作地点 嘉兴嘉善县长江路1111 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"安装/调试,非标自动化设备,非标设备,电气设备,机械设备",http://www.zhaopin.com/jobdetail/CCL1523053230J40897779613.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
招聘技工 月入12000（五险一金）,苏州瀚川智能科技股份有限公司,8000-12000元,苏州,苏州,中专/中技,3-5年,7月26日,zhilian_direct,岗位职责: 1.放电机数控编程与操作，机台点检及日常保养； 2.根据工艺和图纸(放电跑位图)加工零件，保证尺寸精度与表面质量； 3.加工过程中对工件尺寸、电极损耗等进行实时检测，有异常及时反馈。 任职要求: 1.火花机操机工作经验3年及以上，熟悉常用放电加工工艺参数； 2.熟练使用三菱者优先 ； 3.能够简单使用CAD画图和UG绘制简单电极，具备一定的电极设计与拆解能力； 4.能适应倒班制。 原标题：《放电技术员》 工作地点 江苏省苏州市苏州工业园区听涛路32号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"五险一金,包三餐,非标自动化",http://www.zhaopin.com/jobdetail/CC627267720J40911018403.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
电气设备技术员,吉林省腾科讯飞信息技术有限公司,4000-7000元,长春·绿园·同心,长春,大专,经验不限,7月26日,zhilian_direct,啊哦，页面不小心走丢了··· 将于4秒后自动进入智联首页 首页 未经 Zhaopin.com 同意，不得转载本网站之所有招聘信息及作品 智联招聘网版权所有 京ICP备12025925号 京ICP证010207号 京公网安备 11010502059392号 人力资源许可证:1101051996081号 电子营业执照 网上有害信息举报专区 违法不良信息举报电话:400-885-9898 关爱未成年举报热线:400-885-9898-3 朝阳区人力资源与社会保障局监督电话 010-57596212，010-65099938,"安装/调试,测试,工程师助理",http://www.zhaopin.com/jobdetail/CCL1516088770J40951639408.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
猪场产房技术员,史记生物技术有限公司,6000-9000元·14薪,绥化·明水县·双兴镇,绥化,学历不限,1-3年,7月26日,zhilian_direct,岗位职责 1. 负责产房母猪日常护理、接产助产，落实产后消炎、保健饲喂，预防母猪产后各类疾病。 2. 负责新生仔猪断脐、剪牙、补铁、寄养、保温、保健及基础免疫等全套养护工作，降低仔猪损耗。 3. 做好产房清洁消杀、温湿度通风调控，严格执行生物安全制度，防控产房常见疫病。 4. 登记日常生产台账，实时观察猪群健康状态，发现异常及时上报处理。 任职要求 1.身体健康，能适应猪场驻场环境，吃苦耐劳、工作稳定。 2. 有1年以上规模化猪场产房工作经验，熟练掌握接产、仔猪护理、母猪产后保健流程，万头猪场从业经验者优先。 3. 可独立处理产房常见问题，熟悉养殖基础防疫、保健操作。 4. 畜牧兽医相关专业优先，经验丰富者可放宽学历要求。 5. 服从管理、责任心强。 工作地点 明水县东利村绥化生物东北服务中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"猪类,产房技术员,技术员,分娩主管",http://www.zhaopin.com/jobdetail/CCL1236582900J40791451406.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
车间工艺技术员（可接受应届毕业生）,佛山市九龙机器有限公司,5000-6000元,佛山·顺德·杏坛,佛山,中专/中技,经验不限,7月26日,zhilian_direct,职位描述 设备操作 维修/保养 安装/调试 仪器仪表 通用设备制造 电气机械/电力设备 1、中技以上学历，机电一体化、模具专业，动手能力较强的应届毕业生； 2、做事认真负责，能吃苦耐劳，好学，工作主动性强，能适应加班； 3、主要负责样品的制作，跟线工艺的指导及工装模具调配等工作。 4、具有良好的工作态度，做事认真负责，听从领导的安排。 工作地点 顺德区佛山市锦蓝温控器有限公司6栋2号门402 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"设备操作,维修/保养,安装/调试",http://www.zhaopin.com/jobdetail/CC200199920J40861026707.htm?refcode=4019&srccode=401903&preactionid=951641dd-5124-4d94-86a4-37325a3b98a9
