job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
前端开发工程师,哈尔滨神州精英科技开发有限公司,6000-7000元,哈尔滨·香坊·朝阳,哈尔滨,本科,经验不限,7月26日,zhilian_direct,岗位职责 基于JAVA技术栈，负责Web前端开发、页面布局、交互实现，完成接口联调、兼容性优化，配合产品需求完成页面迭代，保证前端代码规范、可维护、高性能； 聚焦智慧农业产品，负责公司智慧农业相关系统的前端开发，适配电脑端、移动端多终端场景，优化页面加载速度与用户体验，对接后端团队完成前后端数据交互，配合测试团队完成Bug修复与版本迭代。 任职要求 本科及以上学历，985/211高校或各省一批次录取高校毕业生优先，计算机、软件工程、前端开发相关专业，掌握HTML、CSS、JavaScript，熟悉Vue、React等前端框架，了解前端工程化流程； 熟悉JAVA基础编程，有Web前端项目开发经验者优先，能独立完成页面开发与接口联调，具备良好的代码规范与问题解决能力，了解智慧农业相关业务者优先，学习能力强，能快速适配业务需求。 薪资标准 月薪6000-7000元（含基础工资+岗位工资+绩效奖金）。 福利待遇 • 基础保障：按国家规定缴纳社保。双休，国家法定节假日正常休假，工作时间早九晚五。 • 政策补贴：入职后按国家标准协助个人享受哈尔滨市人才补贴政策。 • 成长保障：清晰的职业晋升路径（技术岗/管理岗双向发展），定期组织行业交流、技术培训与科研项目实践，支持参与各类智慧农业相关学术会议与技能竞赛。 • 试用期：试用期1-3个月。 应聘方式 1.投递渠道：请登录智联招聘平台，搜索“哈尔滨神州精英科技开发有限公司”，找到对应招聘岗位，在线投递个人简历（简历需真实、准确、完整，严禁伪造、涂改相关证明材料）； 2.简历命名：智联在线投递无需额外命名，线下补充投递请按“应聘岗位+姓名+毕业院校+专业方向+学历”格式命名，发送至公司招聘邮箱（邮箱地址将在智联岗位详情页公布）； 3.招聘流程：简历筛选→线上/线下面试→资格复审→体检→录用通知→入职办理（资格审查贯穿招聘全过程，若发现不符合任职要求，立即取消应聘资格）； 4.面试通知：我们将通过智联招聘消息、电话或短信通知面试事宜，请保持通讯畅通，未进入面试环节者，不再另行通知，简历将纳入公司人才库，后续有合适岗位将优先联系。 5.公司地址：哈尔滨市香坊区松花路9号中国云谷软件园A5栋一门四楼）； 6. 其它： 咨询方式：智联招聘岗位详情页留言咨询，工作日9:00-11:30、14:00-17:00将有专人回复； 工作地点 香坊区哈尔滨神州精英科技开发有限公司哈尔滨市平房区松花路9号中国云谷软件园A5栋A5-1 四楼 404 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"GIS/地图项目,大屏/可视化项目,JavaScript,CSS,HTML5,Vue,React",http://www.zhaopin.com/jobdetail/CC371996780J40884364112.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
高级前端开发工程师,哈尔滨坐标软件开发有限公司,6000-8000元,哈尔滨·南岗·芦家,哈尔滨,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责公司前端平台的关键架构设计、核心模块开发、性能优化及稳定性保障;熟悉前端工程化、并有实践经验; 2、负责云平台产品交互设计逻辑处理，前后端分离改造，与后端工程师及需求人员进行沟通，实现客户要求; 3、优化前端性能、提升用户体验，参与前端技术的研究与创新，推动团队技术水平的提升。 任职要求： 1、本科学历以上，5年以上前端开发经验，有VForm3表单设计器开发经验者优先; 2、熟练掌握Node.js开发，熟悉Node.js生态系统和常用框架，如，精通Vue+ElementUl+webpack/Ant Desiqn等MVVM框架，精通vue的优先。 工作地点 哈尔滨南岗区坐标软件湘江路80号2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"CSS,Vue,ElementUI,HTML5,jQuery,Node.js,VFORM3,JavaScript",http://www.zhaopin.com/jobdetail/CC347570330J40933614602.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,北京银丰新融科技开发有限公司,1.3-1.6万,厦门·思明·莲前,厦门,本科,3-5年,7月26日,zhilian_direct,职位描述 CSS JavaScript HTML5 Vue uni-app 银行项目 1、精通HTML5、CSS、JavaScript，熟悉ES6+标准 2、精通Vue技术栈(Vue2+Vue3)，熟悉Vuex/Pinia状态管理 3、熟悉前端工程化、模块化开发，掌握Webpack、Vite等构建工具 4、熟悉uniapp、小程序开发流程及微信原生API调用; 5、具备良好编码规范与文档习惯，能独立完成模块设计与开发 6、统招本科及以上学历，双证齐全。 工作地点 思明区泉州银行(厦门分行) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"CSS,JavaScript,HTML5,Vue,uni-app,银行项目",http://www.zhaopin.com/jobdetail/CC121069040J40893553513.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
高级前端开发工程师,太原市灵图科技开发有限公司,8000-12000元,太原·万柏林·长风西街,太原,本科,5-10年,7月26日,zhilian_direct,岗位职责】 1. 负责软件系统的前端构建，各类交互设计与实现； 2. 负责配合UI设计师研究并改善用户使用体验； 3. 协同后台开发人员定义数据接口，共同完成项目； 【任职要求】 1.本科以上学历，3年以上电网行业前端开发经验； 2.精通Html5/Css3/Javascript/Ajax等基础前端开发技术，并深入了解DOM渲染过程、V8引擎内存优化、原型链等前端理论； 3.熟悉并掌握一款前端流行框架（包括但不限于Vue、React等），能独立开发常用组件； 4.熟悉Hybrid App相关开发流程，并可以独立开发Hybrid App产品； 5.至少了解一门后台语言及服务器运行原理，了解node服务流程开发； 6.有良好的分析和解决问题能力，具备良好的沟通能力及团队合作精神，对攻关疑难问题具有浓厚兴趣； 7.有大屏可视化及GIS地图开发方面相关经验者优先。 工作地点 太原市万柏林区长兴路1号华润大厦T4-1711 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大屏/可视化项目,GIS/地图项目,JavaScript,HTML5,Vue,jQuery,CSS",http://www.zhaopin.com/jobdetail/CC347630110J40283971514.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,海南新珠江人力资源开发管理有限公司,7000-10000元,海口·龙华·金贸,海口,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、模块/项目开发： 独立负责业务模块或完整项目的前端架构设计与开发，能进行合理的技术选型； 2、实现复杂的交互逻辑、状态管理和数据可视化需求，熟练运用前端框架及其生态； 3、性能优化：负责前端性能分析与优化（如加载性能、运行时性能），解决内存泄漏等复杂问题； 4、推行团队的代码规范、Git工作流；编写高质量、可复用的组件，并沉淀到项目组件库； 5、团队协作：参与技术方案评审，与产品经理、UI设计师沟通，评估需求的技术可行性与工作量。 任职要求： 1、统招本科及以上学历，计算机、软件工程、大数据等相关专业； 2.、深入理解前端工程化，能独立配置和优化构建、打包、部署流程熟练掌握HTML、CSS、JS/ES6等前端基本技能，熟练掌握、MVVM框架（Vue、React）、掌握前端自动化构建工具；掌握前端性能优化的系统化方法和工具； 3、经验要求：5年及以上年前端开发经验，主导复杂模块或完整项目上线的成功案例； 4、具备较强的学习能力、抗压能力、有责任心和良好的团队合作精神； 5、主动性强、善于推动项目进展、对出现的问题进行迅速反应，具备解决问题的能力； 工作地点 海口龙华区美银大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"HTML5,MVVM框架,jQuery,CSS,JS/ES6",http://www.zhaopin.com/jobdetail/CC384412210J40889090412.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,北京盛安同力科技开发有限公司,8000-16000元,西安·长安·韦曲,西安,本科,1-3年,7月26日,zhilian_direct,岗位职责】 1. 负责可视化平台的前端开发，参与核心功能模块设计； 2. 可自主搭建高性能前端架构，优化渲染效率与交互体验； 3. 使用Cesium或其他WebGL库实现数据的高效渲染与动态模拟； 4. 与后端团队协作，完成数据的解析、处理及前端可视化呈现； 5. 研究并应用前沿GIS与Web3D技术（如WebGL 2.0、WebGPU、GIS服务协议等），提升平台技术竞争力。 【任职要求】 1. 计算机、电子信息、通信等理工类专业本科及以上学历； 2. 1-3年前端开发经验，至少1年GIS或三维可视化项目经验； 3. 良好的文档编写能力，可输出设计方案、测试报告等标准化文档； 4. 熟悉HTML5/CSS3/JavaScript（ES6+），熟悉浏览器原理与性能优化； 5. 熟悉React/Vue及其相关生态框架，熟悉TypeScript语法及现代前端工程化工具链（Webpack/Vite等）； 6. 具备Cesium开发经验，熟悉其核心API（如Entity、DataSource、Terrain等），能独立完成三维场景搭建与优化。 【加分项】 1. 有航空航天、船舶、核工业、电子装备等领域可视化项目经验； 2. 具备跨端开发经验（uniapp、Electron、移动端H5等）； 3. 有大型GIS平台/三维可视化项目经验者优先。 工作地点 西安长安区空间电子信息技术研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"GIS/地图项目,CSS,HTML5",http://www.zhaopin.com/jobdetail/CC374859610J40785623811.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
系统前端开发工程师岗,杭州众萃人力资源服务有限公司,1.4-1.6万·13薪,杭州·滨江·彭埠,杭州,高中,经验不限,7月26日,zhilian_direct,职位描述 ERP项目 TypeScript Bootstrap JavaScript Express 游戏项目 寻找前端探险家！和我们一起探索Web技术的无限可能，创造令人惊叹的用户体验。 你将运用HTML、CSS、JavaScript等神奇工具，与后端魔法师联手，为用户带来梦幻般的Web应用。 勇敢的你，是否拥有以下特质？ 强烈的求知欲和创新精神； 熟练掌握前端技术； 善于协作，享受团队冒险的乐趣。 如果你准备好了，就加入我们吧！让创意照亮你的前端之路！ 工作地点 杭州滨江区九环路6号A楼-7-1043 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"ERP项目,TypeScript,Bootstrap,JavaScript,Express,游戏项目",http://www.zhaopin.com/jobdetail/CCL1512077500J40897785413.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,河南幸运咖餐饮管理有限公司,1.5-2.5万·15薪,郑州·管城·圃田,郑州,本科,3-5年,7月26日,zhilian_direct,职位描述 JavaScript CSS HTML5 Vue React 【工作职责】 1、业务系统前端开发：负责幸运咖中国大区相关系统的前端开发与持续迭代，对页面产出质量和开发效率负责； 2、多端开发与适配：承担 H5、小程序、App 混合开发等多端场景的前端开发工作，保障各端体验一致性； 3、跨团队协作交付：与产品经理、后端研发、测试紧密配合，参与需求评审与技术方案设计，确保前后端无缝对接及整体交付质量； 4、技术架构升级：积极推动团队前端工程化、组件化建设，在技术架构、性能优化、稳定性保障等维度持续升级迭代； 5、需求与项目管理：参与业务需求梳理，制定迭代计划，输出技术方案文档，推动研发过程中的跨部门协调问题解决，确保按时交付； 6、上线运维支持：负责已上线系统的运维支持，开展产品使用培训，及时响应并排查线上问题。 【任职资格】 1、本科及以上学历，计算机科学、软件工程等相关专业，3年以上前端开发工作经验； 2、精通 HTML / CSS / JavaScript，扎实掌握 ES6+ 语法特性，具备手写原生代码能力，熟练进行页面布局与样式重构； 3、熟练掌握 Vue.js 或 React.js 至少一个主流前端框架，理解其核心原理（响应式机制、虚拟DOM、组件生命周期等）； 4、熟悉 App 混合开发模式，对 H5 与 Native（Android / iOS）之间的数据交互（JSBridge 等）有较深入理解； 5、熟悉前端工程化体系，了解 Webpack / Vite 等构建工具，有模块化开发实践经验； 6、熟悉 RESTful API 对接规范，能与后端高效协作完成数据联调。 优先条件： 1、有 零售 / 餐饮 / 连锁门店 行业前端系统开发经验，熟悉POS、订单、会员、营销等业务场景者优先； 2、在 前端工程化、组件库建设、跨端方案（如 uni-app / Taro）等方向有深入研究及实践者优先； 3、熟悉 TypeScript，有中大型项目类型化实践经验者优先； 4、对前端性能优化、质量保障、监控告警体系有系统化认知，具备长远技术规划能力者优先。 工作地点 河南省郑州市管城回族区圃田西路与动力南路交叉口东南角约90米C层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,CSS,HTML5,Vue,React",http://www.zhaopin.com/jobdetail/CC620447580J40957561315.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,北京盛安同力科技开发有限公司,8000-16000元,北京·海淀·中关村,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责】 1. 负责可视化平台的前端开发，参与核心功能模块设计； 2. 可自主搭建高性能前端架构，优化渲染效率与交互体验； 3. 使用Cesium或其他WebGL库实现数据的高效渲染与动态模拟； 4. 与后端团队协作，完成数据的解析、处理及前端可视化呈现； 5. 研究并应用前沿GIS与Web3D技术（如WebGL 2.0、WebGPU、GIS服务协议等），提升平台技术竞争力。 【任职要求】 1. 计算机、电子信息、通信等理工类专业本科及以上学历； 2. 1-3年前端开发经验，至少1年GIS或三维可视化项目经验； 3. 良好的文档编写能力，可输出设计方案、测试报告等标准化文档； 4. 熟悉HTML5/CSS3/JavaScript（ES6+），熟悉浏览器原理与性能优化； 5. 熟悉React/Vue及其相关生态框架，熟悉TypeScript语法及现代前端工程化工具链（Webpack/Vite等）； 6. 具备Cesium开发经验，熟悉其核心API（如Entity、DataSource、Terrain等），能独立完成三维场景搭建与优化。 【加分项】 1. 有航空航天、船舶、核工业、电子装备等领域可视化项目经验； 2. 具备跨端开发经验（uniapp、Electron、移动端H5等）； 3. 有大型GIS平台/三维可视化项目经验者优先。 工作地点 北京海淀区知春路八十二号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"GIS/地图项目,CSS,HTML5",http://www.zhaopin.com/jobdetail/CC374859610J40819285011.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
前端开发工程师,科锐尔人力资源服务(苏州)有限公司,8000-15000元,南昌·青山湖,南昌,大专,3-5年,7月26日,zhilian_direct,职位描述 Vue JavaScript HTML5 1、页面开发与协作：可根据设计稿完成 Web 页面开发，并能与后端接口完成联调。 2、前端基础：熟练掌握原生 JavaScript，了解不同浏览器的兼容性差异 3、熟练掌握HTML5、CSS3、JavaScript(ES6+)基础，熟悉Vue2/Vue3核心语法和常用API；熟悉UniApp基础，能开发简单小程序/H5页面 4、后端认知：至少了解一门服务端开发语言（优先 Java，其次.NET、C++） 5、职业素养：吃苦耐劳，有拼搏精神，抗压能力强，对待工作积极主动，工作认真负责，有创新精神，具备基础的问题排查能力和团队协作精神，主动学习新技术 6、加分项：有个人技术博客、参与过开源项目或具备跨端开发基础者优先 7、有AICoding工具使用经验 工作地点 南昌青山湖区双胞胎集团1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Vue,JavaScript,HTML5",http://www.zhaopin.com/jobdetail/CC453635220J40911405803.htm?refcode=4019&srccode=401903&preactionid=092379d9-1b26-47c5-9747-98b508ec2f9c
