job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
单片机工程师,深圳市杰力科创电子有限公司,4000-5000元·13薪,深圳·宝安·新安,深圳,本科,经验不限,7月23日,zhilian_direct,职位描述 单片机开发 8位MCU 半导体/芯片 【岗位要求】 1. 本科及以上学历，电子信息、自动化、通信、计算机等相关专业，欢迎2026届应届毕业生，优秀的2027届同学如能提前全职到岗也可考虑； 2. 熟悉单片机内部结构及工作原理，具备扎实的单片机基础知识； 3. 熟练使用51单片机或国内其他品牌8位单片机，能够使用汇编语言进行程序开发； 4. 具备良好的学习能力、沟通能力和团队合作精神，职业素养良好，诚信踏实，责任心强，能够承受一定工作压力。 【岗位方向说明】 本岗位主要从事8位单片机应用开发，方向为消费电子、小家电等产品控制。 需要特别说明： 1、我司目前主要使用8位单片机，不是32位MCU开发； 2、不属于嵌入式软件开发方向岗位； 3、如果职业规划方向是32位机、嵌入式软件开发，可能与本岗位发展方向不匹配，请慎重考虑。 【培养及工作安排】 1、入职后，需要有半年左右时间在深圳总公司进行技术培训； 2、培训不是脱岗学习，而是正常入职工作模式，有资深工程师带教，在实际项目中学习成长； 3、培训结束后，根据安排回厦门公司长期工作。 【针对2027届学生】 2027届同学需满足： 1、可提前全职到岗，正常上下班； 2、期间无需返校上课； 3、毕业答辩及毕业相关手续可提前沟通请假处理。 工作地点 深圳宝安区华丰金融港(正门)910-916 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"单片机开发,8位MCU",http://www.zhaopin.com/jobdetail/CC309204430J41024146504.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机助理工程师,昆山炬多智能设备有限公司,5000-8000元,苏州·昆山·千灯,苏州,大专,3-5年,7月23日,zhilian_direct,"岗位职责： 1、负责现有系统的维护与升级。 2、负责公司客户需求的开发。 3、负责客户的现场维护与调试。 岗位要求: 1、大专及以上学历，通信、电子电气、计算机或自动化相关专业。 2、熟悉KeiC语言，熟悉基于STM32的单片机的软件开发，有焊接经验。 3、接触过Linux核心板，有初步的开发经验。 4、能绘制PCB，熟悉altium designer软件。 5、了解RS232,Tcp等常用通信协议。 6、接受应届生。 工作地点 苏州昆山市昆山炬多智能设备有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",STM32单片机,http://www.zhaopin.com/jobdetail/CCL1294447760J40957532915.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机工程师-车辆系统方向,厦门拓宝科技有限公司,1-1.5万,厦门·海沧·东孚,厦门,本科,3-5年,7月25日,zhilian_direct,职位描述 单片机软件开发 车辆产品开发 半导体/芯片 仪器仪表 职 位 概 述: 负责嵌入式系统软件开发和产品维护，有独立完成项目者优先 主要职责： 1、负责公司车辆业务相关单片机屏幕开发、编码、调试与维护。 2、负责产品中子系统设计、驱动调试、代码编写、软件自测、过程文档编写； 3、编写、维护技术文档，如设计文档、测试用例、用户手册等。 4、解决产品在测试、生产及客户使用过程中出现的各类技术问题 任 职 资 格: 1.教育背景：本科及以上学历，计算机、电子、通信、自动化等相关专业 2.工作经验：2年以上相关工作经验 3.熟练掌握C语言，深入理解指针、内存管理、数据结构。 4、熟悉实时操作系统(RTOS)的原理与应用，如 FreeRTOS、uC/OS、RT-Thread 等，具备任务调度、信号量、消息队列等开发经验。 5、具有常用外设的驱动开发与调试经验 6、具备强烈的责任心、良好的团队协作精神和沟通能力。具备优秀的问题分析、定位和解决能力，能承受一定的工作压力。具备良好的文档编写习惯和严谨的代码风格。 职位福利：包吃、包住、带薪年假、节日福利、免费班车、五险一金、五天8小时 工作地点 海沧区厦门海沧东孚诗山北路15号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"单片机软件开发,车辆产品开发",http://www.zhaopin.com/jobdetail/CC242510210J40278167214.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
嵌入式工程师（单片机方向）,深圳市新一信息技术有限公司,1.8-2.2万·13薪,深圳·龙岗·平湖,深圳,本科,5-10年,7月23日,zhilian_direct,岗位职责 负责单片机产品的驱动开发、应用层软件开发与功能实现。 参与产品需求分析、方案设计、编码、调试、测试等全流程开发工作。 解决产品硬件适配、功能稳定、功耗优化、通信可靠性等技术问题。 编写设计文档、接口文档、调试及测试报告等技术资料。 与硬件、测试等跨部门团队协作，推进项目进度，保障产品交付质量。 二、任职要求 1. 工作经验 5 年及以上单片机开发经验，有完整量产项目落地经验优先。 2. 技术能力 精通 C 语言编程，熟悉嵌入式 / 单片机软件开发流程与代码规范，调试能力扎实。 熟悉主流单片机芯片（如 STM32、ESP32、PUYA 等），能看懂硬件原理图、PCB 基础图纸。 熟练使用示波器、逻辑分析仪、串口调试工具等常用调试设备。 有蓝牙（BLE/BR/EDR）、Wi-Fi（802.11 b/g/n/ac） 相关开发经验优先。 能独立排查通信稳定性、信号干扰、丢包、连接异常、功耗优化等问题。 3. 学历专业 本科及以上学历，电子信息工程、通信工程、计算机科学与技术、自动化等相关专业。 4. 综合素质 具备良好的问题分析与独立解决问题能力。 沟通协作顺畅，责任心强，团队意识好。 学习能力强，能承受项目进度压力，做事严谨踏实。 三、福利待遇 基础保障：五险，带薪年假、定期团建 职业发展：完善培训体系与清晰晋升通道，支持技术深耕与职业成长。 工作环境：舒适办公环境，弹性工作制，人性化管理。 奖金绩效 项目奖金、年终绩效奖 工作地点 深圳龙岗区环球物流中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,32位单片机,http://www.zhaopin.com/jobdetail/CC828364470J40885602112.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
嵌入式软件工程师（单片机）+机器人+运动控制,兰剑智能,1.1-2万·13薪,济南·历城·港沟,济南,本科,3-5年,7月23日,zhilian_direct,职位描述 C语言 32位单片机 工业自动化/机器人 人工智能 主要负责公司工业移动机器人（的控制软件、调试工具软件等的开发、升级、维护等工作。 要求如下： 1、5年以上嵌入式软件开发经验，熟练掌握C/C++；机器人或工业自动化行业经历优先。 2、熟悉ARM架构主流芯片开发（例如：STM32），熟悉UART、SPI、IIC、CAN、以太网等。 3、有独立负责的产品落地经验，具备产品独立开发、总体方案设计的能力。 4、具有一定的硬件基础，能看懂原理图。 5、有运动控制、PID算法、伺服电机控制、CANopen协议等经验优先。 6、有ucos、freertos或rt thread等实时系统开发经验优先。 7、能够接受超过1/3时间在德州临邑工厂调试测试。 工作地点 济南历城区兰剑智能科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,32位单片机",http://www.zhaopin.com/jobdetail/CC120752170J40833211416.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机开发工程师,润和软件,1-1.5万,杭州·滨江·长河,杭州,大专,3-5年,7月23日,zhilian_direct,职位描述 嵌入式软件研发 单片机软件架构设计 C语言程序开发优化 通信协议开发调试 工作职责 1. 主导单片机软件的架构设计与开发，完成系统需求拆解与技术方案制定。 2. 负责C语言程序的编写、调试与性能优化，确保嵌入式系统的稳定高效运行。 3. 参与硬件-软件协同设计，定义接口规范并开发UART、SPI、I2C、CAN等通信协议。 4. 输出完整技术文档，包括设计说明、测试报告及用户操作手册。 5. 解决产品全生命周期中的关键技术问题，保障项目交付质量。 任职要求 1. 熟悉主流单片机架构及开发流程，精通C语言编程。 2. 具备扎实的数字电路与模拟电路基础知识，能独立分析硬件接口逻辑。 3. 熟练掌握UART、SPI、I2C、CAN等常用通信协议的开发与调试。 4. 拥有较强的动手能力与问题分析能力，能快速定位并解决嵌入式系统故障。 5. 具备嵌入式系统开发经验者优先。 工作地点 杭州滨江区大华股份 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"嵌入式软件研发,单片机软件架构设计,C语言程序开发优化,通信协议开发调试",http://www.zhaopin.com/jobdetail/CC171774410J40867324614.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机软硬件工程师（数字电源方向）,深圳市晒宝科技有限公司,1.8-2.6万,深圳·龙岗·横岗,深圳,硕士,5-10年,7月23日,zhilian_direct,岗位职责 软件开发：负责数字电源产品嵌入式软件的需求分析、架构设计、编码实现及调试，完成产品全生命周期软件研发。 硬件协同：与硬件工程师紧密配合，完成原理图评审、元器件选型及软硬件联调，从系统层面保障电源性能指标。 算法落地：负责数字电源控制算法（如PID、数字滤波器、PFC/LLC控制策略）的建模、仿真及在嵌入式平台上的实现与优化。 技术攻坚：解决开发过程中遇到的软硬件耦合难题（如时序冲突、纹波抑制、保护响应等），确保产品的稳定性和可靠性。 文档沉淀：编写软件设计说明书、测试报告等技术文档，并协助生产及售后团队解决相关技术问题。 任职要求 教育背景：本科及以上学历，电力电子、电气工程、自动化、电子科学与技术等相关专业。 经验要求： 必备：3年以上数字电源或相关电力电子领域嵌入式开发经验。 加分：有大功率（1000W以上）数字电源、光伏逆变器、储能PCS、充电桩模块等量产项目经验者优先。 软件能力： 精通C/C++语言，具备良好的编程规范与文档习惯。 熟悉主流嵌入式开发平台，如ARM Cortex-M系列（STM32/GD32） 或TI C2000系列（DSP）。 熟悉常见通信协议（如CAN、I2C、SPI、Modbus、UART等）。 硬件能力： 能熟练阅读并分析原理图，了解常用元器件特性及选型原则。 具备软硬件协同调试能力，能使用示波器、信号发生器等常用仪器定位问题。 电源专项能力： 熟悉BUCK/BOOST、PFC、LLC、移相全桥等至少一种以上常见开关电源拓扑结构和工作原理。 了解自动控制原理，具备PID控制器的工程整定经验。 能使用Simulink、PLECS或类似工具进行电源控制算法的仿真验证者优先。 软素质：具备良好的逻辑思维能力、团队协作精神，以及较强的抗压能力和自驱力。 工作地点 广东省深圳市龙岗区埔厦路82号B栋4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"嵌入式硬件研发,嵌入式软件研发,STM32单片机",http://www.zhaopin.com/jobdetail/CC419779610J40904169803.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机软件助理工程师,厦门拓宝科技有限公司,6000-10000元,厦门·海沧·东孚,厦门,本科,经验不限,7月25日,zhilian_direct,岗位职责： 负责各类能源项目的软件开发基础工作 任职要求： 1：本科及以上学历，电子、计算机、自动化相关专业。 2：对硬件电路有一定了解，熟悉和热爱单片机或DSP编程。 3：有电子电源行业经验或相关工作经验优先。 4：责任心强，工作积极主动，具备良好沟通能力。 5：具备团队合作意识。 工作地点 海沧区厦门拓宝科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"STM32单片机,嵌入式软件研发",http://www.zhaopin.com/jobdetail/CC242510213J90250123000.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
FAE工程师（MCU/单片机/GD）,鼎芯无限,1.5-2.5万·13薪,上海·长宁·新泾,上海,大专,1-3年,7月24日,zhilian_direct,岗位职责： 1、负责对销售的MCU、PMU、Memory、Logic信号链等产品技术支持工作； 2、配合公司Sales和PM，做所负责产品线的Spec In & Design In、Design Win工作； 3、对Sales进行专业的技术指导和产品培训，如日常P/N选型和Spec In，产品技术知识培训等； 4、组织原厂、公司和客户的技术交流活动等，增进对产品的了解和熟悉，紧跟市场前沿科技； 5、配合原厂、Sales和客户做一些新项目的开发和Design In工作； 6、基于P/N的更替，提出自己独特的技术理解，并在技术上说服客户； 7、 做一些P/N的技术推荐工作，如产品的Upgrade或Cost down等。 任职资格： 1. 有2年以上MCU的开发/FAE经验，大专及以上学历；电子类专业背景； 2. 有扎实的C语言、模拟电路、数字电路、电路分析等基础； 3. 熟悉MCU外围应用硬件设计，特别是电源、存储及输入输出信号处理等应用设计；熟悉GD或NXP或ST系列单片机或ARM的软、硬件设计； 4．能熟练使用调试仪器仪表，示波器，万用表； 5．良好的沟通表达协调服务能力，有敏锐的定位问题能力，较强的动手能力，良好的文档编写能力。 工作地点：上海。 工作地点 上海长宁区天山西路567号3楼L室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"示波器,万用表,器件选型,技术支持,FAE",http://www.zhaopin.com/jobdetail/CC200221320J00456848005.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
单片机软件工程师-天津,席勒(中国)医疗设备有限公司,9000-12000元,天津·东丽·军粮城,天津,本科,5-10年,7月25日,zhilian_direct,岗位职责： 1、负责功能模块的需求分析、实现方案设计，并编写相应文档； 2、负责应用层功能模块代码的编写和调试； 3、负责常用外设驱动开发及调试； 4、协助新产品的生产导入、后期的技术支持及相关问题解决； 5、完成领导交办的相关工作。 任职要求： 1、有嵌入式软件实际工作经验5年以上，项目经验丰富的可放宽； 2、熟练使用C语言；有良好的编程思想和编码风格； 3、熟悉主流嵌入式开发平台，有ARM-STM32实际开发经验； 4、熟悉嵌入式驱动开发特点，了解常用通信总线，具备UART/I2S/I2C/SPI/USB/SAI/以太网的实际开发调试经验； 5、熟悉嵌入式低功耗设计的常用方法，有实际开发经验者优先考虑； 6、熟悉嵌入式常用外围电路基本工作原理者优先； 7、有医疗行业工作经验及熟悉实时操作系统，有操作系统开发移植经验者优先； 8、有嵌入式GUI开发经验者优先； 9、有医疗器械开发经验者优先； 10、工作严谨高效，乐观，有比较强的时间观念和节点意识。 1.上9点，下5.30，周末双休，提供免费食堂午餐和班车； 2.入职缴纳五险一金； 3.工作氛围舒适暖心，无内耗。 工作地点 天津市-东丽区-经二路与纬七道交叉口 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"KEIL MDK,STM32CUBEMX,STM32单片机,嵌入式软件研发,硬件测试,技术支持",http://www.zhaopin.com/jobdetail/CC476839610J40866605707.htm?refcode=4019&srccode=401903&preactionid=4b9c2ed3-df3e-42c3-a6f6-d495f5b151a3
