job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
售前支持工程师(J10830),北京万方数据股份有限公司,6000-8000元,郑州·金水·龙子湖,郑州,本科,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责南方大区客户培训及内部人员培训工作； 2、负责公司相关产品数量统计分析等支持工作，为销售工作提供有效数据支持； 3、负责协助完成南方区招投标相关支持工作、招投标资质申请； 4、负责销售区与公司各事业部产品及信息资源对接工作； 5、按要求及时完成领导交办的其他工作。 任职要求: 1、本科及以上学历； 2、熟练使用 Word、Excel、PPT等办公软件； 3、拥有良好的学习能力、沟通协调能力、适应能力及高效执行能力； 4、具有一定的培训演讲能力及控场能力，有相关经验者优先； 5、具备端正的工作态度，待人亲和、有礼貌，勤于思考，有较强责任心。 福利待遇： 1、薪资：岗位薪资+绩效 2、六险一金、每年健康体检、住房补贴、交通费、通讯费、出差补助、餐费等 3、超长带薪冬季假； 4、转正后，享受商业保险的门诊医疗保险和意外险 5、长期培养计划，不定期组织公司培训、团建等 工作地点：万方数据河南办事处（郑州市郑东新区智慧岛大厦） 工作地点 郑州金水区智慧岛大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,软件产品,http://www.zhaopin.com/jobdetail/CC000129350J40829430601.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
通信网络大数据部技术,青岛存真智能焊接技术有限公司,1-1.2万,青岛·即墨·通济,青岛,高中,经验不限,7月26日,zhilian_direct,职位描述 网络管理 思科认证 华为认证 华为认证 岗位内容： 1. 维护和优化公司网络和服务器环境，确保线上服务的稳定性和可靠性。 2. 制定网络运维流程和规范，并能够针对用户需求提出改进建议。 3. 熟悉常见的网络设备和互联网应用，能够配置和管理相关服务，例如DNS、VPN、CDN等。 4. 及时响应和解决用户反馈的网络问题。 任职要求： 1. 2年以上的网络工程师相关工作经验。 2. 熟悉网络硬件和软件的配置和管理，掌握常用的网络诊断和分析工具。 3. 具备较强的问题解决能力和沟通能力，能够快速响应用户反馈的问题。 4. 有较强的学习能力和自我驱动力，愿意不断学习新技术并尝试创新性解决问题。 工作地点 青岛市即墨区蓝鳌路788号1717室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络管理,思科认证,华为认证,华为认证",http://www.zhaopin.com/jobdetail/CCL1397588090J41021321304.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
软件/大数据/计算机/网络专员,迁安市九江线材有限责任公司,5000-6000元,唐山·迁安市·木厂口镇,唐山,本科,经验不限,7月26日,zhilian_direct,职位描述 数据库开发 软件研发 1、计算机科学与技术、网络工程、软件工程、自动化、物联网工程、电子信息工程、数据科学与大数据技术等专业应往届优秀毕业生。 2、熟练工优先 地址：河北省迁安市木厂口镇九江线材②号门 工作地点 唐山迁安市九江线材有限责任公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据库开发,软件研发",http://www.zhaopin.com/jobdetail/CC572312120J40934720808.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
招聘大数据开发工程师助理,北京新域未来科技有限公司,4000-8000元,北京·平谷·南独乐河,北京,本科,经验不限,7月26日,zhilian_direct,"岗位职责】 1.负责大数据项目的设计和使用， 2.负责数据开发工具、同步工具、数据管理和调度系统制定数据采集、评价标准。 3.参与用户体验设计，参与产品视觉规范制定 4.负责大数据项目的售前咨询，需求调研，方案设计，方案实施 5.协助相关业务数据服务接口的制定，负责基于数据平台的数据入湖、数据流设计和实现。数据任务的运维监控和优化 6.构建数据平台，为各业务需求方提供有效数据，报表和报告 【职位要求】 1.计算机专业及计算类相关专业。 2.工作轻松、环境好、不加班。 3.面试简化，只要人踏实，能长期干就收，工作细心，具有团队协作精神。 岗位福利： 带薪休假,年终奖,项目奖金，包住宿，餐补、交通补贴等 工作地点 北京平谷区南山村东南路28号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据架构,数据库开发,数据仓库,Java,Python,Scala,Hadoop,Flink,Spark",http://www.zhaopin.com/jobdetail/CCL1500839660J40863454707.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
新能源发电大数据实习生（技术方向）,北京智慧空间科技有限责任公司,100-120元/天,兰州·城关区·盐场路街道,兰州,本科,经验不限,7月26日,zhilian_direct,"岗位职责: 1、负责大数据平台相关的系统软硬件安装、配置与部署； 2、负责项目实施类文档的编制，对实施项目进行管理与维护； 3、参与系统集成方案的编写，协助项目测试； 4、负责数据采集字典表配置整理导入工作。 5、协助项目经理完成项目实施、验收工作； 任职要求: 1、了解大数据的基本知识和Hadoop生态系统，例如：HDFS, HBase, Hive, Spark, Kafka, Sqoop等； 2、熟练掌握Linux、CentOS操作系统常规命令，掌握MySQL、SQLserver、Oracle等数据库常见命令操作，能够编写shell或Python脚本； 3、熟练掌握JAVA基础，有JAVA项目开发、系统测试的经验； 4、熟悉软件工程和软件开发流程，具备良好的软件开发相关文档的编写经验；具有职业化的自我管理能力、强烈的责任心、善于学习；理解能力强，有较强的逻辑思维分析能力； 5、对海量数据的分析、挖掘有浓厚兴趣，有海量数据处理或者同类项目经验优先录用； 6、本科以上学历，计算机、应用数学、自动化、通信等相关专业。 职位福利：弹性工作 工作地点 兰州城关区名城广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Hadoop,HDFS,Scala,MySQL,PostgreSQL,数据平台,HBase,Hive",http://www.zhaopin.com/jobdetail/CC681945820J40637821509.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
信息化岗,新疆交通科学研究院有限责任公司,1.6-2万,乌鲁木齐·沙依巴克区·长江路街道,乌鲁木齐,本科,经验不限,7月26日,zhilian_direct,岗位职责： 智慧交通相关信息化建设工作 二、岗位要求： 1、教育背景，大学及以上学历，计算机类、交通运输类专业方向，智慧交通、计算机科学与技术、软件工程、智能科学与技术、电子与计算机工程、数据科学与大数据技术等相关专业 2、工作经验，不限 3、技能要求，精通信息化数据分析软件 4、其它要求，具有良好的语言表达，沟通协调及解决问题的能力，良好团队合作及吃苦耐劳的工作精神 二、任职资格 1、具备较强的逻辑思维能力 2、细心、责任心强，具备沟通协调能力和保密意识 四、职位福利 1、五险一金、绩效奖励、法定节假日、定期体检、采暖补贴、节日福利、租房补贴 2、薪酬待遇：20万-25万/年 工作地点 乌鲁木齐市-沙依巴克区-经一路126号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,物联网,云计算,信息安全",http://www.zhaopin.com/jobdetail/CCL1367137430J40765475601.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
技术助理,沈阳歆澄信息技术有限公司,3000-6000元,沈阳·和平·太原街,沈阳,大专,经验不限,7月26日,zhilian_direct,职位描述 系统维护 数据处理辅助 技术文档管理 环境搭建支持 工作职责 1. 协助技术团队完成数据处理、模型训练等基础技术工作，保障研发流程顺畅推进。 2. 负责技术文档的整理、归档与更新，确保团队知识沉淀的完整性。 3. 参与数据平台的日常维护与监控，及时反馈并协助解决系统运行中的基础问题。 4. 配合完成项目所需的环境搭建、测试数据准备等辅助性任务。 任职要求 1. 大专及以上学历，计算机、数据科学等相关专业优先。 2. 了解Python、SQL等基础编程工具，能独立完成简单的数据查询与处理任务。 3. 具备良好的学习能力与逻辑思维，能快速掌握新工具与技术流程。 4. 工作细致耐心，具备较强的执行力与团队协作意识。 工作地点 沈阳市-和平区-太原南街90号11楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统维护,数据处理辅助,技术文档管理,环境搭建支持",http://www.zhaopin.com/jobdetail/CCL1523192380J40937512108.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
技术支持工程师,武汉思托福科技有限公司,5000-6000元,武汉·江岸,武汉,大专,经验不限,7月26日,zhilian_direct,岗位职责 1. 负责公司数据恢复设备（SSD/HDD）的客户技术支持，通过微软 Teams 远程协助国内外客户，快速响应并解决客户在使用公司软硬件产品过程中遇到的各类技术问题 2. 独立排查 SSD（NVMe/SATA 接口）及 HDD 常见故障，包括但不限于：硬盘不识别、固件损坏、坏道、文件系统损坏、数据无法读取等问题，提供专业解决方案 3. 协助客户完成公司数据恢复工具及诊断软件的环境搭建、安装部署与使用培训，指导客户规范操作，提升客户使用体验 4. 整理并归纳典型故障案例，编写技术知识库文档、常见问题 FAQ、操作手册及培训材料，推动支持经验的标准化沉淀 5. 收集客户反馈的软件缺陷、硬件兼容性问题及功能改进建议，及时同步研发团队，跟踪问题闭环，推动产品迭代优化 6. 参与新产品/新版本的内部测试验证，从一线支持视角输出测试报告与易用性改进建议 7. 协同销售团队为客户提供售前技术咨询与产品演示，评估客户技术需求，输出适配方案 二、任职要求 1. 学历专业：大专及以上学历，计算机相关专业毕业（如计算机科学与技术、电子信息、通信工程、网络工程、软件工程等），具备计算机基础知识和动手能力即可，不要求编程开发经验 2. 工作经验：接受无经验，或1 年及以上 IT 技术支持、运维或硬件测试相关经验，有存储设备、数据恢复行业背景者优先。本岗位为技术支持方向，无需编程开发背景 3. 问题处理能力 - 逻辑清晰，具备良好的故障分析思维，能快速定位问题边界（软件/硬件/操作），给出有效排查路径 - 善于从碎片化的客户描述中提取关键信息，精准还原故障场景 4. 沟通与服务 - 普通话标准，表达流畅，具备优秀的客户沟通能力与耐心，能在客户情绪激动时保持专业 - 具备良好的英语书面沟通能力，能通过 Teams 与国外客户进行文字及语音技术交流，英文技术文档读写熟练 - 有强烈的服务意识，以客户问题解决为第一优先级 5.学习与成长： 对存储技术、数据恢复领域有浓厚兴趣，乐于持续学习新技术，跟上产品迭代节奏 6. 加分项 - 持有计算机相关认证（如 CompTIA A+、HCIA 等） - 有数据恢复实操经验或 PC3000、MDF 等数据恢复工具使用经验 - 会基本的英语沟通能力 三、薪资福利 - 薪资构成：无责底薪 + 绩效奖金 + 年终奖，发薪日期：次月5日 - 基础保障：缴纳五险一金 - 贴心福利：免费工作中餐、带薪年假、节日福利、年终分红、年度团建旅游 - 成长激励：每年多次调薪机会，薪资随技术水平与服务能力同步提升 四、工作时间 - 上午 8:30-12:30，下午 13:45-17:30 - 无强制加班，每周固定 1.5 天休假，法定节假日正常放假 五、职位亮点 1. 行业深耕：面向全球专业数据恢复领域，直接服务数据恢复机构客户，技术含量高、成长空间大 2. 技术广度：全面接触 SSD / HDD 各类故障场景，覆盖存储协议、文件系统、固件交互等多维度技术 3. 专属成长培养：一对一资深工程师带教，系统化产品与技术培训，快速提升存储领域专业能力 4. 清晰晋升路径：技术支持工程师 → 高级技术支持 → 技术专家 / 技术支持主管，技术与管理双通道发展 5. 工作氛围：扁平化管理，技术导向，团队协作紧密，结果说话 公司网址：https://www.mrtlab.com 工作地点 武汉江岸区德盛大厦-B座802 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"售后服务,四六级",http://www.zhaopin.com/jobdetail/CC398614810J40790759806.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
大数据开发实习生,广州市云华信息技术有限公司,5000-7000元,广州·黄埔·联和,广州,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1. 负责公司业务系统数据的抽取、清洗、转换、加载及日常维护工作； 2. 根据业务需求完成数据接口、数据同步任务、数据报表底层数据集的开发与优化； 3. 参与数据仓库分层建设，协助完成数据模型设计、指标口径梳理和数据字典维护； 4. 负责ETL任务调度配置、运行监控、异常排查及数据质量校验； 5. 对现有数据处理流程进行性能优化，提升数据处理效率和稳定性； 6. 配合产品、业务、研发等团队完成数据需求分析、开发交付和文档整理。 任职要求： 1. 本科及以上学历，计算机、软件工程、信息管理、数学、统计等相关专业优先； 2. 具备ETL开发、数据仓库开发或数据处理相关工作经验； 3. 熟练掌握SQL，能够独立完成数据查询、清洗、统计分析及性能优化； 4. 熟悉MySQL、Oracle、PostgreSQL、Hive、Spark、ClickHouse等一种或多种数据库或数据平台； 5. 熟悉常见ETL工具或任务调度工具，如DataX、Kettle、DolphinScheduler、Airflow等优先； 6. 了解数据仓库建模方法，熟悉ODS、DWD、DWS、ADS等数据分层设计者优先； 7. 具备良好的逻辑分析能力、沟通协作能力和责任心，能够按计划推进任务交付。 加分项： 1. 有数据治理、数据质量、实时数据处理或大数据平台项目经验； 2. 熟悉Python、Shell、Java等任一开发语言； 3. 有企业级数据平台、报表平台或BI数据支持相关经验。 工作地点 广州市-黄埔区-科学大道112号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据仓库,Java,Python,Flink,Spark,ETL开发,Hive,数据平台",http://www.zhaopin.com/jobdetail/CCL1278134490J40790904106.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
技术助理工程师,河南迪炯智能科技有限公司,5000-8000元,石家庄·长安·育才,石家庄,大专,经验不限,7月26日,zhilian_direct,职位描述 C语言 1. 负责公司软硬件的日常维护和管理。 2. 协助解决员工的技术问题。 3. 管理相关技术文档和合同。 4. 与供应商沟通，确保技术支持的及时性。 5. 持续学习新技术，提高技能水平。 6. 完成上级交办的其他任务。 感兴趣联系我，欢迎加入我们的团队！ 工作地点 石家庄市-长安区-长安区天元商务大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,C语言,http://www.zhaopin.com/jobdetail/CCL1522710720J40789849906.htm?refcode=4019&srccode=401901&preactionid=5bf159a0-2e8e-4161-85e2-395aacb1a23f
