job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
2.嵌入式软件工程师,海颐软件,8000-16000元,烟台·芝罘·毓璜顶,烟台,本科,经验不限,7月26日,zhilian_direct,岗位职责： 负责嵌入式软件的架构、设计与开发； 负责根据功能要求完成嵌入式应用开发和测试； 配合硬件工程师完成新硬件设备的验证测试，能够独立解决项目中遇到的问题。 工作地点 芝罘区烟台市机场路2号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ARM处理器,Python,C语言,Java,DSP,32位单片机",http://www.zhaopin.com/jobdetail/CC176732310J40559536912.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
嵌入式软件工程师,中电金信软件有限公司,1.2-1.6万,上海·浦东·张江,上海,本科,3-5年,7月26日,zhilian_direct,岗位职责 1. 测试/诊断工具开发：基于现有框架，使用 C/C++/Python 开发和维护芯片验 证、诊断及量产测试工具/脚本。 2. 测试用例实现：根据验证计划，在 Simulation/Emulation/ASIC 环境中编写、 调试和执行 IP 级或系统级测试用例。 3. Bring-up 与调试支持：协助完成芯片点亮及功能验证，配合定位软硬件问题并 记录 Debug 日志。 任职要求 1. 电子、计算机、自动化等相关专业，本科及以上学历。 2. 编程能力扎实：熟练掌握 C/C++ 或 Python，能独立完成测试工具/脚本的开 发与调试。 3. Linux 环境熟练：熟悉 Linux 常用命令及 Shell 脚本，了解 Make/CMake 编 工作地点 上海浦东新区科荣大厦11 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++,Python",http://www.zhaopin.com/jobdetail/CC443657520J40874836209.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
Wi-Fi 嵌入式软件工程师,中科创达软件股份有限公司,1.2-2万,杭州·滨江·西兴,杭州,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1. 负责 Wi-Fi 通信系统中基站（Homebase）及终端侧的 Linux 嵌入式平台 SDK 升级、适配与集成验证； 2. 负责 Wi-Fi 芯片驱动的移植、调试与性能优化，配合供应商 SDK 版本迭代； 3. 负责基站侧 Wi-Fi 多终端接入管理、漫游策略及回程链路优化，保障基站与下挂设备的稳定通信； 4. 负责系统端到端链路联调，保障 IPC 到 NVR 数据通路正常； 5. 负责外设驱动（传感器、雷达等）的集成适配与功能验证； 6. 配合算法团队完成 MAC 层协议功能的 SDK 侧适配与联调； 7. 参与软件集成问题分析定位，修复兼容性与稳定性相关缺陷。 任职资格： 1. 电子、计算机或相关专业专科及以上学历； 2. 3 年以上嵌入式 Linux 软件开发经验，熟悉 C/C++，具备 Python/Shell 脚本能力；熟悉 FreeRTOS 等实时操作系统及 MCU 开发； 3. 熟悉 Linux 内核驱动模型，有 Wi-Fi 芯片驱动开发或调试经验； 4. 有主流 Wi-Fi 芯片平台开发经验者优先，有 AP/网关类产品或基站侧 Wi-Fi 方案开发经验者优先； 5. 了解 802.11 Wi-Fi 协议栈及 MAC 层基本原理，有协议适配经验者优先； 6. 具备良好的跨团队沟通能力，能配合供应商和算法团队高效协作。 工作地点 滨江区杭州迪普科技股份有限公司迪普科技大厦 16层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,C++,C语言",http://www.zhaopin.com/jobdetail/CC285451210J40860410711.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
嵌入式软件工程师,洛阳863软件孵化器有限公司,4000-8000元,洛阳·洛龙·科技园,洛阳,大专,1-3年,7月26日,zhilian_direct,"岗位职责： 1.按照公司项目要求，参与系统开发、维护、优化与升级； 2.搭建系统开发环境，完成系统框架和代码的实现，确保系统性能、质量和安全； 3.编制项目软件相关说明文档。 任职要求: 1.专科及以上学历，计算机、电子、通信等相关专业；2年以上工作经验； 2.精通C/C++语言，熟悉linux应用编程，熟练掌握socket,串口编程； 3.熟悉gcc,shell,Makefile,gdb等开发工具和调试方法； 4.熟悉Linux多线程开发，进程通信，熟悉TCP/IP,有网络编程的经验； 5.具有系统内核驱动开发， CPU常见外设驱动开发者优先； 6.具有优秀的学习能力与钻研精神，以及较强的问题解决能力。 待遇： 试用期1-3个月，薪资面议，转正后交五险，另有餐补、话补、年终奖、生日福利、节日福利等 职位福利：餐补、通讯补助 职位亮点：五险，另有餐补、话补、年终奖、生日福利、 工作地点 洛龙区洛阳云计算和互联网数据中心产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,Shell,C语言,C#",http://www.zhaopin.com/jobdetail/CC482368920J40385637416.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
MCU嵌入式软件工程师,常州新途软件有限公司,1-2万·13薪,常州·新北·三井,常州,本科,3-5年,7月26日,zhilian_direct,职位描述 嵌入式 单片机 STM32 芯片 通信 CAN C语言 数字电路 计算机软件 任职要求： 1、本科及以上学历，计算机技术、电子、自动化等相关专业； 2、3年以上嵌入式软件底层开发工作经验； 3、熟悉软件开发的流程，具有软件分层设计思想，确保程序在不同单MCU平台上的通用性和可移植性； 4、熟悉8/16/32位单片机，至少熟练应用一款单片机或DSP； 5、熟练掌握C/C++语言编程，良好的编程习惯，具备一定的电源管理和总线开发或者DSP开发经验。 工作职责： 1、负责车载终端MCU程序的开发和维护； 2、独立完成需求分析活动，编写需求跟踪矩阵，完成评审； 3、负责架构设计和详细设计，编写对应的设计文档，配合技术主管完成评审； 4、根据需求和设计文档完成代码编写和联调，配合技术主管完成Review； 5、及时解决开发过程中的问题，根据项目要求按时更新问题进展，完成代码自测和维护等工作； 6、按照部门的发版流程进行版本发布，确保版本符合项目要求。 职位福利：绩效奖金、弹性工作、节日福利、餐补、交通补助、加班补助、专家指导、培训计划 工作地点 常州新北区创意路与软件路交叉口西北50米 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"嵌入式,单片机,STM32,芯片,通信,CAN,C语言,数字电路",http://www.zhaopin.com/jobdetail/CC329917280J40096974713.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
MCU嵌入式软件工程师,中科创达软件股份有限公司,1-2万,杭州·滨江·西兴,杭州,大专,5-10年,7月26日,zhilian_direct,岗位职责 1. 负责安防摄像头产品 MCU 端软件开发，包括外接雷达、PIR 传感器等外设的驱动开发和功能集成； 2. 负责 MCU 电源管理模块开发，包括太阳能充电、电池管理、待机功耗优化等； 3. 参与产品产测工具开发、生产问题跟进及售后客诉问题分析定位； 4. 参与现有产品的维护迭代，修复固件缺陷、优化性能和稳定性； 5. 配合硬件工程师进行低功耗设计联调，参与传感器算法（雷达区域静默、静态目标过滤等）在 MCU 侧的落地。 任职资格： 1. 电子、计算机或相关专业统专及以上学历； 2. 5 年以上嵌入式软件开发经验，熟悉 C/C++； 3. 熟悉 FreeRTOS、RT-Thread 等嵌入式实时操作系统，有丰富的外设底层驱动开发经验（如 I2C、SPI、UART、ADC、GPIO 等）； 4. 有安防摄像头、智能门铃、门锁等智能硬件类产品 MCU 软件开发经验，熟悉雷达、PIR 传感器接入者优先； 5. 熟悉低功耗嵌入式系统设计，有电池供电设备功耗优化经验者优先； 6. 熟悉 Python、Shell、Makefile，具备一定脚本能力者优先； 7. 逻辑清晰，责任心强，具备良好的问题分析与解决能力。 工作地点 滨江区杭州迪普科技股份有限公司迪普科技大厦 16层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,C++,C语言,Shell,安防,智能家居",http://www.zhaopin.com/jobdetail/CC285451210J40861450511.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
初级嵌入式软件工程师,青岛利诚达软件科技有限公司,5000-8000元,青岛·市南·金门路,青岛,本科,经验不限,7月26日,zhilian_direct,岗位职责 - 协助资深工程师完成嵌入式产品（单片机、ARM等）的硬件调试、软件编程与测试工作，快速熟悉产品开发流程。 - 学习并使用C/C++语言进行嵌入式程序开发、调试，配合团队完成代码编写、注释及文档整理。 - 协助进行嵌入式系统的需求分析、方案讨论，参与简单的模块设计与实现，积累开发经验。 - 配合测试团队完成产品功能测试、bug排查，记录问题并协助跟进解决，确保产品正常运行。 - 学习嵌入式相关硬件知识，协助完成硬件与软件的联调工作。 - 完成上级交办的其他技术相关辅助工作，积极参与团队技术交流与培训。 1. 学历与专业 本科及以上学历，应届生优先，电子信息工程、电气工程、计算机科学与技术、自动化、通信工程等相关专业。 工作地点 市南区青岛软件园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,C语言",http://www.zhaopin.com/jobdetail/CC466908380J40909666112.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
嵌入式软件工程师,深圳市紫川软件有限公司,1.8-3万,上海·嘉定·安亭,上海,大专,3-5年,7月26日,zhilian_direct,职位描述 C语言 ARM处理器 汽车电子嵌入式开发 AUTOSAR标准 底层驱动开发 汽车岗位外包 任职要求 1. 本科及以上学历，电子、计算机、自动化等相关专业。 2. 具备3年以上汽车电子嵌入式开发经验，精通C语言及ARM架构。 3. 熟悉AUTOSAR标准，掌握底层驱动（如CAN/LIN总线、传感器、MCU）开发流程。 4. 具备汽车应用层软件开发经验，MATLAB了解车载系统的功能逻辑与通信协议。 5. 掌握嵌入式系统调试工具（如示波器、逻辑分析仪），能独立定位并解决问题。 补充说明 1. 是否外包：是 2. 岗位亮点：汽车领域大型外企机会 工作地点 上海嘉定区科世达亚洲总部公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,ARM处理器,汽车电子嵌入式开发,AUTOSAR标准,底层驱动开发",http://www.zhaopin.com/jobdetail/CC143806550J40868419114.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
嵌入式软件工程师,上海微创软件股份有限公司,1.8-2.1万,深圳·福田·福田街道,深圳,本科,5-10年,7月26日,zhilian_direct,岗位职责： 嵌入式开发工程师（新） 1.负责智能玩具、智能机器人端侧对话系统的设计与开发，保证低延迟、高可靠的交互体验； 2.推动端云协同能力升级，推进端侧功能持续迭代，确保端侧对话功能的全面性与兼容性； 3.负责声学前端、视觉感知等模型的端侧部署及推理性能优化，降低硬件资源占用率； 4.优化端侧 SDK 的交付流程，提炼通用化解决方案，提升业务交付效率与可复用性。 工作地点 深圳福田区卓越大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言,嵌入式",http://www.zhaopin.com/jobdetail/CC000638920J40868317114.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
嵌入式软件工程师,上海宝宏软件有限公司,1.1-2.2万,上海·浦东·金桥,上海,本科,1-3年,7月26日,zhilian_direct,"职位描述 嵌入式软件开发 汽车 1、本科或以上学历，计算机/自动化/相关专业； 2、可阅读日语技术文档，并具有一定的日语读写能力（N3/N4） 3、良好编程基础，熟练使用Linux操作系统，C/C++, 会Python优先； 4、有嵌入式开发经验，高级辅助驾驶/自动驾驶/智能座舱/电动车辆工作经验者优先； 5、个性开朗积极，有较强的逻辑表达能力和沟通能力； 6、有团队协作精神，品质意识，以及强烈的责任感意识。 工作地点 上海浦东新区锦绣东路2777弄35号701、703、704室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","嵌入式软件开发,汽车",http://www.zhaopin.com/jobdetail/CC521493420J40495373005.htm?refcode=4019&srccode=401903&preactionid=0bc4f0a1-d515-4e97-86a9-5c01d1eff449
