job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
3D建模师（实习生/兼职）,珞珈智城(武汉)数字科技有限公司,2000-3000元,武汉·武昌,武汉,学历不限,经验不限,7月26日,zhilian_direct,职位描述 建模设计 熟练掌握3D制作软件，如犀牛/C4D/3DMax/Maya，了解并熟悉3D模型制作的全流程，具备扎实的建模基础（能规范处理四边面/拓扑结构），能独立完成建模，有较好的艺术感，从事雕塑、文创等复杂三维模型制作。 工作地点 武汉武昌区湖北省科技创业大厦-C座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,建模设计,http://www.zhaopin.com/jobdetail/CCL1493143380J40827689107.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
动画3D建模师（场景/道具方向）,湖南高铁时代数字化科技有限公司,6000-10000元,长沙·开福·沙坪,长沙,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1、根据项目原画、概念设计图，独立完成游戏3D资产全流程制作，包含高模雕刻、低模拓扑、UV拆分、贴图烘焙、材质质感调试、引擎适配等工作； 2、严格遵守项目美术规范，合理控制模型面数、贴图尺寸与布线结构，制作LOD层级资源，适配Unity、UE5引擎运行性能，满足移动端、PC、主机多平台使用标准； 3、精准把控写实、科幻等各类项目风格，还原原画设计质感，优化模型细节、光影及材质表现，保障整体美术统一度； 4、配合策划、动画、主美团队进行资源迭代、修改优化，高效完成项目排期任务； 5、规范整理项目资产文件、统一命名归档，资深岗位可参与美术规范制定、外包审核及新人带教工作。 任职要求 1、基础条件 大专及以上学历，数字媒体、游戏美术、动画、雕塑、视觉传达等相关专业；能力优秀、作品优质者可放宽学历限制，接受应届生及实习生。 2、软件技能（必备） 熟练掌握主流游戏美术制作软件：3ds Max/Maya/Blender、ZBrush、Substance Painter、Photoshop；熟悉Marmoset八猴烘焙渲染、RizomUV拆分工具，了解PBR全流程制作标准。 3、专业能力 （1）场景/设备核心能力：熟练硬表面卡线、倒角、结构建模，精通各类游戏场景、机械道具、古风器物、载具、建筑、自然地貌等资产制作；精准把控结构透视，掌握锈蚀、磨损、风化、做旧等真实物理质感表现，擅长石材、金属、木材、植被、岩土等不同材质质感塑造。 （2）熟悉手绘低模、次世代PBR两套制作流程，精通模块化场景搭建、资产复用、批量资源优化技巧；熟悉Unity、UE5引擎资源优化规则，可有效规避UV拉伸、面数冗余、烘焙瑕疵、光影异常等常见制作问题，保障场景资源高效适配游戏引擎运行。 岗位加分项 1、拥有游戏项目制作经验，熟悉UE5、Unity引擎材质调试者优先； 2、掌握Substance Designer程序化贴图制作、AI建模辅助工具，可提升资产制作效率； 3、了解基础模型绑定、权重知识，懂基础TA美术逻辑； 4、具备外包审核、流程梳理、团队带教经验者优先。 投递要求 简历需附带个人作品集（必有），作品需包含完整全流程案例，附线框图、UV图、过程截图及引擎渲染成品图，无作品集不予筛选。 薪资范围 初级：4k-6k | 中级：6k-10k ，根据个人能力与项目经验面议。 福利及其他： 1、夏季上班时间为8.00-17.30，冬季为8:30-17:30，单休，介意勿扰 ； 2、公司自有办公楼及生产基地，在职员工100余人，可为员工提供全新宿舍楼，三人一间，配套24h热水/空调、卫生间/淋浴间分离、前后阳台、WIFI等设施； 3、公司提供午、晚餐；购买社保； 4、免费停车、带薪婚假、陪产假、妇女节、年节实物福利、交通补贴（非住宿人员）； 5、扁平管理、办公环境清新，团队氛围良好，岗位稳定性较高，享加班费等。 工作地点 长沙开福区湖南高铁时代数字化科技有限公司-东门 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"3D MAX,Blender,Zbrush,建模设计,场景设计,动画设计,有作品  有项目经验   能出差",http://www.zhaopin.com/jobdetail/CC428127410J40949487115.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
3D建模师,济南跃动时空数字科技有限公司,4000-8000元,济南·市中·魏家庄,济南,学历不限,经验不限,7月26日,zhilian_direct,"职位描述 场景设计 渲染设计 建模设计 3D MAX Zbrush Maya 互联网游戏 产业互联网平台 文化艺术/娱乐 1、有扎实的美术功底和较强的造型能力，依据方案需求创建模型,贴图绘制和渲染出图,适当的后期处理，同时满足艺术和设计需求； 2、能利用网络资源和模型资产库高效的创建模型，更好的推进项目的进度，能有效的对接各流程环节和三维有交接的地方，并有合理解决方案； 3、配合团队进行整体项目设计工作,与项目相关人员深度沟通保证设计工作顺利无误进行； 4、熟练使用maya,zbrush等软件以及绘制贴图软件，熟练使用redshift渲染器和Arnold渲染器； 5、具有良好的沟通、理解和综合协调能力，能够有计划地协调整体工作进度，具备独立处理和解决问题的能力，人品正直，有责任,有效率，具有很强的团队协作精神和事业成就感； 附加：做事稳重不急躁，会UE更好，会毛发更佳。 工作地点 济南市中区万达广场(经四路店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","场景设计,渲染设计,建模设计,3D MAX,Zbrush,Maya",http://www.zhaopin.com/jobdetail/CCL1507506230J40925721702.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
建筑室外三维建模师,深圳市艺慧数字传媒有限公司,9000-12000元,深圳·福田·华强北,深圳,大专,3-5年,7月26日,zhilian_direct,职位描述 智能建筑工程 商业建筑 医疗建筑 住宅建筑 教育建筑 3DMAX 建筑/土木/市政设计 工作内容： 负责智慧城市与建筑外立面三维建模，三维修模，其他图像编辑处理工作。 1、.学习并掌握不同数据源图像数据处理及操作方法，保证数据质量。 2、.必须具备3DMax，su，UE4 软件的基本操作，有cad，犀牛 等软件操作基础优先考虑。 3、配合建筑师完善方案设计模型制作； 4、能准确理解设计图纸和设计师的设计理念，并和设计师有良好沟通能力； 岗位要求： 1、熟练操作3DMAX、su、犀牛、UE 2、能熟练阅读建筑图纸，独立完成个案。 3、建筑或艺术类等相关专业优先考虑； 4、良好的三维空间想象力，较强的软件领悟能力； 5、做事积极、主动性强，高度的责任感，能承受较大的工作压力。有良好的团队意识、服务意识 条件不符者请勿投递谢谢（游戏，角色类的模型制作勿投递！谢谢！！） 工作地点 广东省深圳市福田区振华路45号(燕南地铁站B口旁)汽车大厦1222 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"智能建筑工程,商业建筑,医疗建筑,住宅建筑,教育建筑,3DMAX",http://www.zhaopin.com/jobdetail/CC364130120J41001496502.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
3D建模师（实习生/兼职）,珞珈智城(武汉)数字科技有限公司,3000-6000元,武汉·武昌,武汉,学历不限,3-5年,7月26日,zhilian_direct,职位描述 建模设计 熟练掌握3D制作软件，如犀牛/C4D/3DMax/Maya，了解并熟悉3D模型制作的全流程，具备扎实的建模基础（能规范处理四边面/拓扑结构），能独立完成建模，有较好的艺术感，从事雕塑、文创等复杂三维模型制作。 工作地点 武汉武昌区湖北省科技创业大厦-C座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,建模设计,http://www.zhaopin.com/jobdetail/CCL1493143380J40852021807.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
场景道具3D建模师（可接纳实习）,济南跃动时空数字科技有限公司,5000-8000元,济南·槐荫·张庄路,济南,学历不限,经验不限,7月26日,zhilian_direct,"岗位职责 负责动漫游戏场景道具建模：武器、配饰、装扮、房屋、坐骑等 任职要求:长期从事动漫游戏行业 1、热爱动漫游戏行业、每一个建模都是跟动漫游戏里面的内容有关。 2、有3Dmax、maya、CA4三维软件的接触 3、把控游戏美术风格，对3D呈现有自己的见解 4、与团队其他组员进行良好的沟通，保证项目质量与进度。 5、对工作认真负责，有责任心，有时间观念,有美术外包公司工作经验者优先考虑。 投递请带上作品 无作品者请勿投递 感谢 我们的优势: 1.双休，节假日 2.五险一金必须有。 3.加班补贴+交通补贴:公司给加班的小伙伴一定补贴和报销夜间加班打车费。 4.全勤有奖金的。 5.结婚/生育:假期+礼金哦。 6.生日会+不定时团建。 I全员九零后、零零后，更自在的工作氛围。 工作地点 济南槐荫区财富壹号广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","建模设计,动画设计,3D MAX,Maya,场景设计,三维建模,动漫专业优先",http://www.zhaopin.com/jobdetail/CCL1507506230J40800246902.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
3D建模师主管,湛联珠宝文化(深圳)有限公司,9000-15000元,深圳·龙岗·横岗,深圳,学历不限,5-10年,7月26日,zhilian_direct,"职位描述 建模设计 Zbrush 犀牛 飞凤 珠宝/首饰/钟表/眼镜批发/零售/贸易 岗位一建模主管： 要求8年以上建模实操经验，精通素金、镶嵌、镂空、复古肌理等各类复杂工艺建模，要具有一定的审美能 岗位二建模师： 要求5年建模以上经验，要会ZB,犀牛,飞凤其中两种软件，主要做古法黄金款。 该岗位画的款以手串配件为主，薪资9-12K。 公司交社保、包吃住 工作地点 广东省深圳市龙岗区横岗街道埔厦路58号一栋2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","建模设计,Zbrush,犀牛,飞凤",http://www.zhaopin.com/jobdetail/CCL1526347110J40864276911.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
建模渲染师,郑州同舟网络科技有限公司,5000-8000元,郑州·金水·国基路,郑州,大专,1-3年,7月26日,zhilian_direct,"岗位职责: 1.根据现有公司产品，创建相关模型； 2.根据产品模型，负责公司亚马逊，多平台等店铺链接详情页、活动页，listing等设计； 3.了解公司现有产品风格及功能，分析理解产品表现需求，准确把握产品卖点、角度呈现、构图，完成高质量图片渲染； 4.根据公司要求负责相关建模、设计工作，并同运营等需求部门沟通，能按时按量完成需求。 任职要求： 1.专科以上学历，视觉传达、平面设计、网页设计等相关设计专业； 2.有2年以上产品设计经验，能够独立完成设计及制作工作，并且有做过建模工作的； 4.熟练使用3D+C4D等3D软件，可独立进行建模.渲染等操作； 4.有亚马逊,欧美市场跨境电商行业设计经验或家居、装饰品类或地毯纺织品设计经验相关经验的优先考虑； 5.设计思维活跃，创新大胆;熟悉欧美家居风格，以及良好的视觉搭配能力，具有较强的审美意识与空间理解力，色彩美感良好； 6.良好的沟通和团队协作能力、能准确理解和领悟需求。 投递简历时，请提供设计作品集~ 工作地点 郑州金水区居易摩根中心13楼1307 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","渲染设计,建模设计,3D MAX",http://www.zhaopin.com/jobdetail/CCL1232503770J40828888907.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
3d建模师,中电金信软件有限公司,1-1.1万,重庆·两江新区,重庆,大专,3-5年,7月26日,zhilian_direct,"职位描述 建模设计 3D MAX 产业互联网平台 云计算 电气机械/电力设备 3D建模与资产创建： 精通至少一款主流3D建模软件（如 3ds Max, Maya, Blender）。 具备创建高精度（用于烘焙）和低多边形（用于实时渲染） 模型的能力，精通拓扑优化。 擅长工业零件、机械设备、生物器官、建筑结构等仿真相关模型的创建，要求结构准确、比例严谨。 熟悉数字雕塑流程（如使用ZBrush）者优先，尤其对生物或有机体仿真。 材质与贴图： 精通PBR工作流程，能使用Substance Painter/Designer或类似工具制作写实材质。 理解UV展开原理，能高效处理复杂模型的UV。 能够根据仿真需求，制作带有特定信息（如金属度、粗糙度、法线、ID遮罩）的贴图。 虚拟仿真引擎技能： 必须熟悉至少一款主流实时引擎，通常是 Unreal Engine 或 Unity。 能够将3D资产完整导入引擎，并配置材质、光照和基础物理属性。 了解引擎内的性能优化技巧：LOD（多层次细节）管理、遮挡剔除、贴图流送、绘制调用优化等。 熟悉引擎的动画系统（如骨骼动画、顶点动画、变形目标），能够为可交互部件设置动画。 仿真与交互逻辑基础： 理解基本的物理仿真概念（碰撞体、刚体、约束关节）。 能够配合程序员实现简单交互（如开关门、按钮操作、部件拆装）。 对VR/AR开发流程有经验者优先，了解其交互特性和性能要求 专业知识与经验 具备将复杂技术图纸、CAD数据或现实参考转化为高质量3D模型的能力。 理解实时渲染的光照、阴影和后期处理原理，能在引擎中搭建出逼真的可视化场景。 有特定行业领域的知识是巨大加分项： 工业：了解机械原理、装配流程。 加分项 熟悉 CAD软件（如SolidWorks, CATIA, Revit）的数据转换和再处理。 了解Python/MaxScript/MEL等脚本语言，用于自动化建模任务。 有Houdini程序化建模经验，适用于大规模场景生成。 具备基础的影视级渲染器（如V-Ray, Corona）知识，用于制作高质量宣传静帧或动画。 拥有美术或设计相关专业学历背景。 CAD数据处理能力、对精度和尺寸的极致要求、对机械运动原理的理解、与物联网数据对接的认知。 有完整虚拟仿真项目（如培训系统、可视化展示、严肃游戏）的开发经验，了解从模型创建到引擎集成的全流程。 接受: Demo 样品测试 工作地点 两江新区重庆春之翼信息科技有限公司12栋24楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","建模设计,3D MAX",http://www.zhaopin.com/jobdetail/CC443657520J40873520509.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
3d建模渲染师,郑州乐耐家居用品有限公司,5000-8000元,郑州·管城·紫荆山南路,郑州,大专,经验不限,7月26日,zhilian_direct,职位描述 建模设计 渲染设计 手办设计 AutoCAD C4D Blender 互联网电商 岗位内容： 1. 创意设计、3D建模和渲染。 2. 与其他团队成员一起合作，确保项目按时成功完成。 任职要求： 1. 有相关经验者优先。 2. 精通3D建模软件如c4d blender oc 3ds Max等。 3. 熟悉Photoshop等视觉媒体软件以及基本图形设计原理。 4. 能够快速应变并具有自我驱动力，能够独立处理多个项目任务。 工作地点 郑州管城回族区正商蓝海广场-1栋1705 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"建模设计,渲染设计,手办设计,AutoCAD,C4D,Blender",http://www.zhaopin.com/jobdetail/CCL1504307420J40819355203.htm?refcode=4019&srccode=401903&preactionid=fbb98356-d0b0-4646-8217-ed6e229e2c70
