job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高级技术文档工程师杭州,软通动力信息技术(集团)股份有限公司,8000-9000元,杭州·富阳·银湖,杭州,本科,3-5年,7月26日,zhilian_direct,职位描述 系统维护 软件/IT服务 1. 变更管理台账与数据管理，维护变更数据及分析数据的迭代； 2. 全流程监控，跟踪变更申请、验证、切换等各环节执行进度，协调解决流程阻塞问题，对延迟和风险进行预警和升级； 3. 会议组织与决策记录，确保决策被记录和传达，组织变更干系人沟通会议及活动； 4. 跨部门利益相关者协调与沟通，确保变更准备度和各方对齐； 5. 变更影响与业务就绪度评估，识别对人员、系统和流程的相关风险； 6. 收集并统计各类变更数据，分析变更趋势和根本原因，生成分析报告用于优化流程和减少不必要的变更； 工作地点 金固中心浙江省杭州市富阳区创意路98号金固中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,系统维护,http://www.zhaopin.com/jobdetail/CC000544460J40833256716.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
技术文档工程师（工业自动化方向）,广东捷胜电气技术有限公司,6000-10000元,佛山·顺德·大良,佛山,本科,1-3年,7月26日,zhilian_direct,职位描述 工业自动化/机器人 专用设备制造 仪器仪表 职位详情 主要工作职责： 1、文档撰写与转化：负责公司核心产品（变频器、伺服驱动器、PLC及相关电气配件）的用户手册、安装指南、操作说明、通信协议文档及故障排查手册的编写与排版。 2、技术信息萃取：深入理解产品技术规格，与软硬件研发工程师、测试工程师紧密协作，将复杂的电气参数、控制逻辑、接线图等技术信息转化为用户易懂、逻辑清晰的规范化工文档。 3、图文设计与排版：负责说明书的版面设计与排版，配合制作产品接线图、操作界面截图、3D外观图及矢量示意图，确保文档视觉风格及排版具备品牌调性。 4、版本与规范管理：建立并维护技术文档管理体系，负责文档的标准化制定、版本控制、归档及后续产品迭代时的同步更新。 5、跨部门协作：配合售前、售后及技术支持团队，收集用户反馈，持续优化说明书内容，提升用户体验。 1、经验及行业背景： 1、专业背景：本科及以上学历，电气工程、自动化、机电一体化、电子信息、计算机等相关专业。 2、行业经验：具备1-3年以上技术文档编写经验，有变频器、伺服系统、PLC、工控机或相关工业自动化电气产品文档撰写经验者优先考虑。 3、专业技能： 1. 具备扎实的电气自动化理论基础，能看懂电气原理图、接线图及基础PLC/伺服控制逻辑。 2.优秀的中文文字功底，逻辑严密，表达准确规范，对技术参数、单位符号有较强的敏感度。 3. 熟练使用Office办公软件；具备优秀的Word长文档排版能力。 4. 掌握至少一种图像处理或排版工具（如AutoCAD、EPLAN、Visio、Adobe Illustrator/Illustrator等），能自主处理电气图纸和产品图片。 4、软性素质：工作严谨细致，责任心强；具备良好的跨部门沟通协调能力，能主动推进技术文档编写进度。 2、培训经历： 加分项：熟悉AI辅助工具（如Copilot等），能利用新技术提升文档编写效率。 加分项：有实际电气接线调试或现场实施经验，能从终端用户视角优化操作指南。 3、专业知识及核心能力： 加分项：具备良好的英文读写能力，能独立阅读英文芯片手册、原厂技术资料或编写英文说明书。 加分项：熟悉技术文档开发流程，了解DITA、Markdown等结构化文档编写规范。 4、性格特征： 工作严谨细致，责任心强；具备良好的跨部门沟通协调能力，能主动推进技术文档编写进度。 工作地点 佛山顺德区广东捷胜电气技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工业自动化/机器人,专用设备制造,仪器仪表",http://www.zhaopin.com/jobdetail/CC239651120J40905817903.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
Technical Writer (技术文档工程师，生产信息化方向),上海畅涵信息技术有限公司,9000-15000元,上海·浦东·张江,上海,本科,经验不限,7月26日,zhilian_direct,职位描述 管理培训生 化工 生物/制药 软件/IT服务 职位概述 主要工作内容：在项目团队的配合下，编写和整理项目所需的各类文档；直接向公司管理层汇报，督促团队成员按时提供文档所需各项信息。 职位优势：公司以代理的细分市场最贵工业软件，服务外资和内资的行业头部用户；如谋求公司内部发展，可报销PMP等职位相关技能的培训费用；较多的时间进行自我提升。 技能要求（按比重排序） 具备一定的IT技术水平：能够比较熟练的使用MS Office及相关工具；了解最基础的软件开发相关知识。 英文能力：具备较强的英文阅读能力，可以学习英文资料；较强的英文写作能力，以支撑文档编写；一定的口语听说能力，可以在有团队配合的条件下参与技术沟通。 中文能力：能用流利的普通话进行沟通和写作。 专业或行业背景：生物工程、制药工程、化学工程及工艺等相关专业本科及以上学历，或IT相关专业且愿意参与制造业；或具备相关行业从业经验，具备一定的专业基础知识。 个人要求（按比重排序；建议应聘者在简历中体现个人相关特质） 具备清晰的逻辑能力，体现在文档编写和沟通表达中。 对细节敏感，具备认真严谨的工作作风。 具备强烈的学习意愿和自我成长意识。 具备较强的自学能力。 具备较强的执行力，有明确的时间节点意识。 可以适应极偶尔出差。 具备较强的保密意识，为客户、公司及合作伙伴的技术资料及商业信息等保密。 工作内容（按比重排序） 主导技术方案、验收资料、产品手册等项目文档的编写，并组织协调相关人员配合。 根据公司安排，学习项目方案、案例及其所用的技术。 以支持者的身份，参与项目从售前到验收的全过程，进行实际学习。 根据公司安排，了解AVEVA PI系统的各项功能及其用法。 根据公司要求，在管理层的支持下，督促项目团队按照管理规范进行项目实施。 以身作则，带动所在团队的项目管理规范化。 工作地点 上海浦东新区江空间日月光中心-B栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,管理培训生,http://www.zhaopin.com/jobdetail/CC890023470J40863901107.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
it技术文档工程师,软通动力信息技术(集团)股份有限公司,8000-13000元,南京·江宁·淳化,南京,本科,1-3年,7月26日,zhilian_direct,职位描述 软件/IT服务 人工智能 专业为：计算机/软件/通信/信息工程/数学/光电子等相关专业，工作年限1年以上 1、负责编写、维护公司的技术文档（中/英文）及客户使用手册，跟随版本节奏进行需求落地、转测及发布。 2、理解目标产品，对产品的特性、工作流程等细节作深入了解，收集文档编写所需要的产品信息。 岗位要求： 1、本科以上学历 2、具有良好的写作能力和沟通技巧，工作态度积极，责任心强，有良好的团队合作精神。 3、掌握IDP、亿图、dbox等工具。 4、具有华为技术文档开发经验，或数通领域开发、维护、测试经验者优先。 工作地点 南京江宁区软通动力信息技术服务有限公司德融场地。 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CC000544460J40830691016.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
硬件制造技术文档工程师,河北汇能欣源电子技术有限公司,5000-6000元,石家庄·鹿泉·获鹿,石家庄,本科,经验不限,7月26日,zhilian_direct,职位描述 技术支持 开关电源 文档编写 数电 工作内容： 1、技术文档的编制 2、协助开展质量体系类、鉴定类文档编写 专业技能： 1、具有一定电子技术专业知识 2、能看懂简单电气、电源类工作原理 3、熟练掌握Office办公软件 4、具有一定的英文阅读能力 任职要求： 1、文字功底扎实，逻辑清晰 2、沟通能力强，能跨部门对接、跟进资料收集 3、执行力强，能按节点完成文档的输出 4、具有较强的保密意识，有JG电源研发经历、掌握PS、VISIO、CAD者优先考虑 5、接受电气类应届毕业生 工作地点 石家庄鹿泉区河北汇能欣源电子技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"技术支持,开关电源,文档编写,数电",http://www.zhaopin.com/jobdetail/CC185589610J40866449105.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
技术文档工程师,北京文泽智远信息技术有限公司,8000-12000元,北京·海淀·北下关,北京,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1. 对接客户，明确客户需求，积极与开发人员沟通，制定文档大纲、文档框架和开发计划，完成文档撰写； 2. 协助项目管理完成项目的交付及验收文档编写； 3. 项目招投标文档撰写； 4. 根据项目实际情况拟写开发合同； 5. 领导交代的其他文档内容编写； 任职要求： 1. 工作认真细致，具备较强的沟通能力，信息分析整合能力，承压能力； 2. 具有团队协作精神，能够胜任团队协同工作； 3. 熟悉技术写作相关行业标准、常用软件和工具； 若具备以下技能将优先考虑： （1）技术文档开发流程和规范的制定与更新； （2）有计算机/电子/软件技术文档写作经验者； （3）英文读写能力好，有一定技术文档编写经验； 职位亮点：五险一金，周末双休，餐饮补贴 工作地点 北京海淀区天作国际B座2808 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"技术文档,开发文档,项目文档",http://www.zhaopin.com/jobdetail/CC487016930J40173433008.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
技术文档工程师（急招，电话面试）,软通动力信息技术(集团)股份有限公司,1-1.8万,东莞·大朗镇,东莞,大专,1-3年,7月26日,zhilian_direct,职位描述 半导体/芯片 电力/水利/热力/燃气 新能源 电气机械/电力设备 1、大专以上学历，具有2年以上相关工作经验（熟悉能源产品业务、熟悉技术文档开发优先）； 2、优选条件： a）能够独立完成某业务领域的资料开发交付工作，对所负责的资料整体端到端看护，并且质量结果好； b）具备华为产品资料开发经验优先； c）了解电气产品，有电气领域相关工作经验； 3、沟通能力强、学习能力强、主动性强，有一定的抗压能力。 职位福利：五险一金、绩效奖金、加班补助、定期体检、员工旅游、节日福利、周末双休、带薪年假 职位亮点：上市公司，牛人带队，薪资OPEN！ 工作地点 东莞华为溪流背坡村E区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"半导体/芯片,电力/水利/热力/燃气,电气机械/电力设备",http://www.zhaopin.com/jobdetail/CC000544460J40414316516.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
技术文档与产品标准化工程师,利斯特(上海)动力技术有限公司,7000-14000元,上海·青浦·赵巷,上海,本科,1-3年,7月26日,zhilian_direct,岗位职责 1、产品技术标准化落地：依托利斯特品牌标准，梳理、优化、定制专属利斯特品牌柴油发动机的全套技术参数，统一产品型号、性能参数、适配工况、技术规范，确保贴牌产品参数符合品牌全球输出标准及海外市场准入要求。 2、技术手册全流程编制与迭代：独立编制、更新、优化利斯特品牌发动机全套官方技术文件，包含产品操作手册、零件手册、维修手册、保养手册、技术规格书、出厂检验报告等，适配海外客户使用场景，保证文档内容准确、规范、通俗易懂。 3、产品资料管控：建立标准化技术文档台账，统一管理所有机型的技术资料、版本迭代记录，及时同步厂家生产技术变更，更新对应手册与参数，杜绝生产、销售、售后技术资料偏差。 4、技术合规适配：了解海外各国发动机准入标准、排放规范，配合外销业务优化产品技术文档，确保资料符合出口目标市场合规要求。 任职要求 1、学历专业：本科及以上学历，内燃机、热能与动力工程、机械设计制造、车辆工程等相关专业。 2、工作经验：1-3年柴油发动机行业技术文档、产品标准化相关工作经验，熟悉柴油机结构、工作原理及各类机型参数，有贴牌品牌、外销型发动机资料编制经验者优先。 3、专业能力：熟练解读发动机原厂图纸、技术参数、生产工艺文件；精通各类技术手册编制规范，熟练使用CAD、Office、PDF编辑等办公及绘图工具；具备独立完成整套产品技术文档编制、修订的能力。 4、语言能力：英语四级及以上，可熟练阅读、翻译英文技术资料，能够编制基础英文技术文档，适配海外业务需求。 5、综合素质：严谨细致、责任心强，具备极强的资料梳理能力、文字功底和标准化思维，对技术数据零误差把控，具备良好的问题复盘和文档迭代能力。 工作地点 青浦区上海汇金智选假日酒店 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"内燃机,柴油机,电气机械/电力设备",http://www.zhaopin.com/jobdetail/CCL1397882920J40871349110.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
项目文档工程师 / 技术文档专员,上海畅涵信息技术有限公司,9000-15000元,上海·浦东·张江,上海,本科,经验不限,7月26日,zhilian_direct,岗位职责 1. 文档主导与统筹：主导技术方案、验收资料、产品手册等项目文档的编写工作，并组织协调项目团队成员及时、规范地提供所需信息与素材。 2. 项目流程督导：在管理层的支持下，督促项目团队遵循管理规范执行项目实施，并以身作则推动文档管理与项目流程的规范化。 3. 技术学习与沉淀：根据公司安排，主动学习项目方案、实施案例及其所应用的技术，重点了解AVEVA PI系统等核心产品的功能与用法，为文档编写奠定扎实的技术基础。 4. 项目全周期参与：以支持者身份参与项目从售前到验收的全过程，通过实践加深对业务的理解，以持续提升文档的专业性与实用性。 5. 信息中枢汇报：作为文档与信息的集中处理点，直接向公司管理层汇报工作进展与信息汇总情况。 任职要求 我们期望您具备以下硬性条件： 1. 专业背景： a. 生物工程、制药工程、化学工程与工艺等相关专业本科及以上学历；或IT相关专业且有意愿深入参与制造业流程； b.或具备相关行业的从业经验，拥有一定的专业基础知识。 2. 语言能力： a. 中文：具备流利的普通话沟通与写作能力，能精准、专业地完成各类技术文档的撰写。 b. 英文：具备较强的英文阅读与写作能力，能独立学习英文技术资料并将其应用于文档编写。同时，具备一定的口语听说能力，以在有团队配合的情况下参与基础性技术沟通。 3. IT技能： a. 熟练使用MS Office及相关办公与文档处理工具。 b. 了解基础的软件开发概念与流程，具备与技术团队高效沟通的背景知识。 我们尤为看重您以下的个人特质（建议您在简历中重点体现）： 1. 逻辑清晰：具备优秀的逻辑思维能力，能够清晰、结构化地编写文档和进行工作沟通。 2. 严谨细致：对细节有高度敏感性，秉持认真严谨的工作作风，确保文档的准确性与高质量。 3. 内驱力强：具备强烈的学习意愿、成长意识与较强的自学能力，在公司提供的较多自主时间里进行自我提升。 4. 执行力佳：拥有明确的时效观念与结果导向意识，能够按时推进并完成文档交付任务。 5. 职业素养：具备极强的保密意识，能严格保护客户、公司及合作伙伴的技术资料与商业信息安全；能够适应极偶尔的短期出差。 工作地点 上海浦东新区江空间日月光中心-B栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,管理培训生,http://www.zhaopin.com/jobdetail/CC890023470J40863900907.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
资料开发/技术文档工程师,软通动力信息技术(集团)股份有限公司,6000-10000元,南京·江宁·淳化,南京,本科,3-5年,7月26日,zhilian_direct,职位描述 软件/IT服务 通信/网络设备 信息安全 云计算 计算机硬件 产业互联网平台 物联网 人工智能 1、项目需求评审，资料大纲设计； 2、熟悉资料写作规范体系及资料开发流程 3、负责产品用户手册／安装指导／API等资料撰写，协同开发输出其它项目过程文档； 4、实操产品安装部署 及产品功能验证，高质量完成手册编辑； 5、负责文档质量评审把控。 6、统招本科及以上，2年以上经验。华为资料开发经验优先。 工作地点 南京江宁区软通动力信息技术服务有限公司德融场地3-4 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"信息安全,云计算,产业互联网平台,物联网,人工智能",http://www.zhaopin.com/jobdetail/CC000544460J40516686716.htm?refcode=4019&srccode=401903&preactionid=fac506a7-b51f-4ca8-afbe-dfb5f33d4340
