job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高级推荐算法工程师,智联招聘,2-3.5万·14薪,北京·朝阳·望京,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 推荐算法 产业互联网平台 工作职责 1.负责招聘搜索与推荐场景中的排序模型、特征建模、样本体系、离线评估和线上实验，提升搜索与推荐结果排序质量和业务转化效果。 2.建设招聘搜索与推荐多阶段排序模型，覆盖粗排、精排、重排和多目标排序等场景。 3.设计训练样本体系，基于曝光、点击、投递、跳过、停留、负反馈等行为信号构建可迭代的排序样本。 4.设计用户、候选、上下文、Query、交叉和行为序列特征，保证在线/离线特征一致性和特征质量可诊断。 5.建设排序评估和实验体系，结合 NDCG、MAP、AUC、CTR/CVR、投递转化、A/B 实验和效果归因持续优化模型。 任职要求： 1.有搜索排序、推荐排序、广告排序、人岗匹配或 Learning to Rank 相关经验。 2.熟悉训练样本构建、特征工程、排序模型评估、线上实验和效果归因。 3.熟悉 Learning to Rank、深度排序、双塔召回/粗排、Cross-Encoder/Reranker 重排、多目标排序等方案，了解 GBDT、LR 等传统排序模型的适用边界。 4.理解在线排序系统的工程约束，包括延迟、吞吐、特征缺失、模型版本、灰度实验、监控和降级。 加分项： 1.具备招聘搜索与推荐、推荐系统、简历匹配、职位推荐或 B 端供需匹配经验。 工作地点 北京朝阳区首开广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,推荐算法,http://www.zhaopin.com/jobdetail/CCL1501502560J40877343514.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法工程师(A234119),北京淘友天下技术有限公司,2.5-3万·15薪,北京·海淀·学院路,北京,学历不限,1-3年,7月26日,zhilian_direct,职位描述 推荐算法 职位描述： 1. 设计、实现和优化推荐和搜索算法，提高准确性、相关性和个性化水平。 2. 分析和处理大规模数据集，利用机器学习和深度学习技术挖掘用户行为模式。 3. 与产品经理和工程师紧密合作，实现算法在产品中的应用，并进行A/B测试验证算法效果。 4. 持续关注最新的推荐和搜索技术趋势，评估和引入可能提升系统性能的新技术和方法。 5. 编写高质量的代码，确保算法实现的高效和稳定。 6. 分析系统瓶颈，优化算法和系统架构，提高系统的扩展性和可维护性。 职位要求： 1. 计算机科学、统计学、应用数学或相关领域的本科及以上学位。 2. 1年以上相关领域的工作经验，具有推荐系统或搜索引擎开发经验者优先。 3. 精通至少一种编程语言，如Python、Java或C++。 4. 熟悉主流的机器学习框架，如TensorFlow、PyTorch、Scikit-learn等。 5. 具备良好的数据分析能力，熟悉SQL和常用的数据处理工具。 6. 有大规模分布式计算系统设计和开发经验者优先，熟悉Hadoop、Spark等计算框架者优先。 7. 良好的沟通能力和团队合作精神。 8. 具备较强的问题解决能力和创新思维。 工作地点 北京海淀区中关村768创意产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,推荐算法,http://www.zhaopin.com/jobdetail/CC705057820J40865910701.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法工程师,南昌瞬声建筑有限公司,1.2-1.4万·13薪,南昌·红谷滩·沙井,南昌,本科,经验不限,7月26日,zhilian_direct,职位描述 推荐算法 Python TensorFlow PyTorch 建筑设计领域推荐 用户画像构建 推荐系统工程化落地 C# 机器学习算法 人工智能 云计算 工作职责： 1. 负责建筑设计资源推荐系统的算法模型开发与迭代，优化设计师、项目需求与素材库的智能匹配效率。 2. 分析建筑行业用户行为数据，构建用户画像与内容标签体系，提升推荐策略的精准度与转化率。 3. 参与推荐系统的工程化落地，与研发团队协作完成算法部署、性能优化及效果评估。 任职要求： 1. 本科及以上学历，计算机、数学、统计学等相关专业，基础扎实。 2. 精通至少一种主流推荐算法（协同过滤、深度学习推荐模型等），熟悉Python及TensorFlow/PyTorch等框架。 3. 具备数据建模与分析能力，能独立完成特征工程、模型训练与效果验证。 4. 对建筑/设计行业有一定认知，或有跨行业推荐系统经验者优先。 工作地点 南昌红谷滩区绿地双子塔 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,Python,TensorFlow,PyTorch,建筑设计领域推荐,用户画像构建,推荐系统工程化落地,C#,机器学习算法",http://www.zhaopin.com/jobdetail/CCL1511487790J40957424615.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
高级推荐算法工程师,智联招聘,4-5万,北京·朝阳·望京,北京,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 建设招聘搜索与推荐多阶段排序模型，覆盖粗排、精排、重排和多目标排序等场景。 设计训练样本体系，基于曝光、点击、投递、跳过、停留、负反馈等行为信号构建可迭代的排序样本。 设计用户、候选、上下文、Query、交叉和行为序列特征，保证在线/离线特征一致性和特征质量可诊断。 建设排序评估和实验体系，结合 NDCG、MAP、AUC、CTR/CVR、投递转化、A/B 实验和效果归因持续优化模型。 任职要求： 有搜索排序、推荐排序、广告排序、人岗匹配或 Learning to Rank 相关经验。 熟悉训练样本构建、特征工程、排序模型评估、线上实验和效果归因。 熟悉 Learning to Rank、深度排序、双塔召回/粗排、Cross-Encoder/Reranker 重排、多目标排序等方案，了解 GBDT、LR 等传统排序模型的适用边界。 理解在线排序系统的工程约束，包括延迟、吞吐、特征缺失、模型版本、灰度实验、监控和降级。 加分项： 具备招聘搜索与推荐、推荐系统、简历匹配、职位推荐或 B 端供需匹配经验。 具备 Feature Store、特征监控、样本回放或模型上线平台经验。 熟悉向量召回、语义匹配或重排模型的评估与调优方法。 具备大模型在语义匹配、结果重排、相关性评估、样本增强等场景的工业应用经验。 工作地点 北京朝阳区首开广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习算法,机器学习算法,推荐算法,广告算法,自然语言处理,TensorFlow,PyTorch",http://www.zhaopin.com/jobdetail/CCL1501502560J40871103814.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法工程师（内容理解方向）,重庆市本手科技有限公司,2-4万,成都·双流·华阳,成都,本科,1-3年,7月26日,zhilian_direct,岗位职责： 负责OPPO手机全场景内容推荐算法体系搭建与迭代，聚焦信息流、锁屏、短剧等核心业务，主导推荐全链路的算法设计、落地与持续优化。 主要职责： 1、协助完成锁屏、短剧等业务场景的算法策略设计、调优与落地。 2、搭建并迭代用户画像、内容物料画像体系，基于用户行为数据深度挖掘兴趣特征，持续提升用户使用体验，优化内容供给生态。 3、结合机器学习、深度学习技术开展算法迭代与创新，落地CTR及播放时长预估、多任务多场景建模、用户序列建模、生成式推荐等方案，有效提升内容点击率与转化效率，优化产品浏览体验，并探索商业化增收路径。 任职要求： 算法基础（必备） 扎实的机器学习与深度学习理论基础 熟悉经典推荐算法：协同过滤（CF）、矩阵分解（MF）、FM/FFM、GBDT、DNN、Wide & Deep、DeepFM、DIN、DIEN等 理解召回、排序、重排序/混排策略机制 熟悉多任务学习、表征学习、序列建模等技术 工程能力（必备） 熟练掌握至少一门编程语言：Python、C++、Java（Python必备） 精通至少一种深度学习框架：TensorFlow、PyTorch等 熟悉大数据处理技术：Hadoop、Spark、Flink、Hive等 有线上系统部署经验，了解模型服务化、推理优化 系统能力（优先） 熟悉大规模推荐系统架构，包括在线/离线/实时/批处理计算流程 有召回、排序、特征工程等模块的实战经验 有大规模特征存储、模型部署与推理优化经验 其他 优秀的分析问题和解决问题的能力，做事靠谱 对技术有热情，有良好的沟通表达能力和团队精神 工作地点 双流区成都OPPO大厦18楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器学习算法,深度学习算法,视频算法,广告算法,推荐算法",http://www.zhaopin.com/jobdetail/CCL1431882190J40872958210.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法工程师,上海满有意思技术有限公司,2.5-5万,上海·宝山·淞南,上海,本科,1-3年,7月26日,zhilian_direct,"岗位职责: 1、负责推荐算法和数据链路的设计与研发，结合用户特征与平台生态，实现个性化与智能化的信息精准推送。 2、深入理解不同用户群体的需求和行为模式，优化算法模型，提升推荐准确率和用户满意度 3、持续跟踪业界领先的算法技术动态，探索并引入前沿技术方案，推动业务创新与技术落地; 4、与技术、产品及运营团队紧密协作，共同推动项目快速迭代落地，确保算法模型的高效稳定运行。 任职要求: 1、本科及以上学历，计算机科学、人工智能、数学、统计学及相关专业优先，优秀者专业不限; 2、具备1年以上推荐/搜索/广告算法、用户画像建模相关的研发与优化经验，有大型平台推荐系统构建和优化经验者优先; 3、精通机器学习、深度学习、数据挖掘等推荐相关算法技术;具备较强的业务洞察能力,能快速理解并精准把握用户需求，将业务问题抽象为有效的算法解决方案， 工作地点 宝山区北上海人力资源产业园9楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",推荐算法,http://www.zhaopin.com/jobdetail/CCL1502393510J40865510609.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
急招！！！推荐算法【百度】,纬致科技(北京)有限公司,1.8-2万,西安·雁塔·漳浒寨,西安,大专,经验不限,7月26日,zhilian_direct,职位描述 推荐算法 广告算法 人工智能 百度文库/百度网盘， 早十晚七，周末双休，法休，五险一金，带薪年假，免费体检 1、参与文库网盘站搜、推荐、投放核心策略的研发工作，为数亿用户提供卓越的搜索、推荐体验 2、负责业界领先推广搜算法的调研和评估 3、通过语义理解、超大规模深度学习、进化学习等技术对产品目标建模 4、并通过特征、模型优化等持续优化模型效果 1、8年以上工作经验； 2、熟悉python/C/C++语言编程，熟练使用Hadoop或spark等分布式工具，对数据结构和算法设计有较为深刻的理解、具有良好的开发素养； 3、良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题； 4、较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动沟通意识； 5、在推荐、搜索、广告等领域有工作经验者优先考虑。 工作地点 西安雁塔区腾飞科汇城西楼F11 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,广告算法",http://www.zhaopin.com/jobdetail/CC120817710J40863467901.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
高级推荐算法工程师,上海必胜人力资源有限公司,5-10万·15薪,上海·徐汇·湖南路,上海,本科,5-10年,7月26日,zhilian_direct,职位描述 Java Python C++ 机器学习算法 深度学习算法 广告算法 推荐算法 搜索引擎技术 TensorFlow PyTorch 工作职责: 【模型、策略均有需求，欢迎积极投递】 推荐算法工程师服务于某视频网站的内容推荐，包括feed流推荐和相关推荐等场景。我们期望使用机器学习，数据挖掘等手段，提升这些场景的推荐效果。 1.负责推荐核心算法研发，提升用户体验，提高业务转化效率； 2.与产品/运营/数据等相关团队密切合作，驱动推荐业务快速迭代； 3.解决具体场景问题，包括新用户的推荐效果，生态机制，多样性策略等。 工作要求: 【模型、策略均有需求，欢迎积极投递】 1.计算机相关专业本科及以上学历，5年以上互联网公司机器学习算法研发工作经验，有搜索/推荐/广告等相关系统经验者优先； 2.深入理解常见机器学习/深度学习算法，对推荐系统中召回模型，以及CTR/CVR预估相关的深度学习模型有相关优化经验者优先； 3.具有扎实的技术功底，优秀的解决问题能力，较强的团队管理和协作能力；熟练使用AI agent能力者优先 4.良好的业务理解与敏锐的业务判断力，关注用户体验，数据敏感性强，善于完成业务问题到技术问题的转化； 5.有良好的沟通能力，跨团队协作能力，具备出色的规划、执行力，强烈的责任感，以及优秀的学习能力。 工作地点 上海徐汇区环贸iapm商场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Java,Python,C++,机器学习算法,深度学习算法,广告算法,推荐算法,搜索引擎技术,TensorFlow,PyTorch",http://www.zhaopin.com/jobdetail/CC136154160J40871363810.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法实习生,杭州零新网络科技有限公司,280-380元/天,杭州·萧山·北干,杭州,本科,经验不限,7月26日,zhilian_direct,岗位职责 1. 参与推荐、排序、匹配相关策略的数据分析和效果评估。 2. 协助优化主播推荐、用户匹配、消息触达、流量分发等业务场景。 3. 使用 Python / SQL 进行数据处理、指标统计、特征分析和实验复盘。 4. 参与用户分层、主播分层、冷启动、曝光控制、流量分配等策略分析。 5. 在负责人指导下参与推荐策略开发、接口联调和 A/B 实验。 6. 和产品、运营、研发一起理解业务问题，推动推荐效果持续优化。 ⸻ 任职要求 1. 本科及以上学历，计算机、软件工程、数据科学、人工智能、统计学、数学等相关专业优先。 2. 熟悉 Python 和 SQL，有基本的数据处理和分析能力。 3. 了解机器学习、推荐系统、排序算法、用户画像、A/B 实验等基础概念。 4. 做过推荐算法、搜索排序、机器学习、数据挖掘相关项目者优先。 5. 有一定工程能力，能写代码完成实验、脚本、数据处理或简单接口开发。 6. 对业务结果敏感，愿意通过数据判断策略是否有效。 7. 学习能力强，沟通正常，能和产品、运营、研发一起推进事情。 ⸻ 加分项 1. 有推荐算法、搜索排序、机器学习、数据挖掘相关实习或项目经验。 2. 熟悉 Pandas、NumPy、Scikit-learn、PyTorch、TensorFlow、LightGBM 等工具。 3. 了解召回、排序、冷启动、曝光控制、特征工程、A/B 实验等推荐系统环节。 4. 对社交、直播、内容分发、用户匹配类产品感兴趣。 5. 可长期实习或毕业后可转正优先。 ⸻ 福利： 包午餐、晚餐，各种免费零食饮料，提供交通补贴、租房补贴 补贴：交通补贴300–500元/月，租房补贴800–1500元/月 表现优秀可转正，参与真实推荐、排序、匹配业务场景 实习满 3 个月，阶段成果达到业务要求，根据项目结果评估，可发放项目奖金 工作地点 杭州萧山区泰岳数字港1402-01室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,推荐系统先关经验,租房补贴,交通补贴",http://www.zhaopin.com/jobdetail/CCL1484675080J40903220803.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
推荐算法工程师,成都图巧科技有限公司,2-4万·13薪,成都·武侯·桂溪,成都,本科,1-3年,7月26日,zhilian_direct,"职位描述 搜索引擎技术 算法基础 推荐算法 广告算法 工作职责 1、优化信息流的召回/排序/重排算法,通过深度学习模型提升信息匹配效率； 2、分析用户行为数据,进行用户长短兴趣建模,提升推荐的精准性和惊喜度； 3、探索各种前沿算法，针对不同的业务场景，制定合适的算法与策略，不断优化效果。 任职资格 1、具有计算机、软件、统计学、数学等相关专业本科及以上学历，硕士优先； 2 、两年及以上算法相关经验，有过机器学习相关领域的项目经验，如搜索、推荐、NLP、数据挖掘等； 3、熟悉Java/Python/C++中的一种或多种编程语言, 熟悉Tensorflow/Pytorch等深度学习框架； 4、有海量数据处理和并行计算开发经验，熟悉大数据技术（Hadoop/Spark/Flink）优先； 5、对解决具有挑战性问题充满激情，有较强的责任心和主动性、良好的沟通协作能力。 薪资范围： 20000元-40000元 岗位亮点： 1、触及到亿级用户的算法真实应用场景； 2、搭建搜索、推荐、广告、AI的复杂算法系统，解决更有挑战的业务问题。 工作地点 成都武侯区天府软件园G区-南区G5 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户","搜索引擎技术,算法基础,推荐算法,广告算法",http://www.zhaopin.com/jobdetail/CCL1430033070J40856512101.htm?refcode=4019&srccode=401903&preactionid=4560fc93-1f54-4cd9-8409-9b1625403ae2
