job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据产品经理,重庆康洲大数据(集团)有限公司,8000-16000元,重庆·长生桥,重庆,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、负责产品生命周期管理，包括产品路线图、产品原型、产品功能设计等，跟进产品的设计、开发、测试、上线、运营全过程； 2、负责进行市场调研、资料搜集，咨询报告编写，保证产品按期交付，产品通过验收后，提供培训等； 3、跟踪互联网领域相关技术变化，并应用于实际研发产品中； 4、有ToB \ToC产品经验，会sql，python优先。 任职要求： 1、踏实肯干，积极主动，善于沟通，深刻理解客户需求，抗压能力比较强； 2、学习能力强，短时间掌握务特点以及相关技术； 3、良好的资料搜集、分析能力； 4、熟练使用XMind 、Axure、visio、Word、Excel等软件； 5、具备良好的PPT设计能力。。 职位福利：周末双休、带薪年假、餐补、不加班、五险一金 工作地点 重庆市南岸区茶园新区玉马路8号科创园2F（药智网） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"B端产品运营,C端产品运营",http://www.zhaopin.com/jobdetail/CC373881910J40019972709.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
大数据产品经理,重庆传晟酷德大数据科技有限公司,1-1.5万,重庆·九龙坡·二郎,重庆,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、主持行业与重点客户需求调研、产品架构，规划不同阶段的产品生命周期，制订相应的产品战略。 2、带领团队开展产品设计、需求分析、需求讨论，根据客户反馈不断优化，确保产品在市场中具有竞争力。 3、负责产品管理和支持工作，包括编制产品规范与文案、协调处理产品问题、参与展会活动及产品演示等。 任职要求： 1、本科及以上学历，计算机或软件相关专业，5年以上大数据及人工智能行业解决方案产品经理工作经验，有国土、规划、不动产等行业至少1个大数据平台、数据中台、数据分析挖掘或数据治理产品的设计经验（请在投递的简历中体现）。 2、对市场趋势与国家政策有敏锐的感知力，能为客户提炼需求且能有效转化为具有竞争力的产品方案，并能持续对现有产品优化迭代，提升用户满意度和市场占有率。 3、精通各类产品原型开发与管理工具，如Axure、Xmind、Visio、Jira等，擅长沟通协调，能有效地管理资源和风险，有团队管理经验者优先。 工作地点 九龙坡区重庆市留学生创业园D3栋2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"中台产品,大数据产品,产品设计,需求分析,用户研究",http://www.zhaopin.com/jobdetail/CC339419930J40668120011.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
产品经理（数据治理方向）,苏州安硕数科数据技术有限公司,9000-17000元,深圳·南山·粤海,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 数据治理项目落地 AMC业务 银行特资不良业务经验 三、任职资格要求 （一）硬性要求 1. 本科及以上学历，3年及以上数据治理产品经理工作经验，有完整的数据治理体系搭建、数据治理产品落地项目经验，有中大型企业数据治理项目经验者优先。 2. 精通数据治理核心模块，熟练掌握主数据治理、元数据治理、数据质量管控、数据标准制定、指标体系搭建、数据权限管理等核心能力，熟悉数据全生命周期治理流程。 3. 具备独立完成数据治理产品PRD撰写、原型设计、需求拆解、方案落地的能力，熟练使用Axure、XMind、Visio等产品工具。 4. 熟悉大数据基础架构，了解数仓分层、数据同步、数据加工基本逻辑，掌握SQL基础，能够看懂数据脚本、理解数据加工规则，可高效对接大数据研发团队。 5. 具备极强的逻辑思维、需求拆解能力和项目推进能力，能够独立统筹跨部门数据治理项目，推动方案落地闭环。 二、岗位工作职责 1. 数据治理体系搭建与落地：负责公司整体数据治理体系的规划、设计与迭代落地，涵盖数据标准、数据质量、数据安全、数据元、主数据、元数据、数据权限全模块治理工作，搭建标准化、规范化、可落地的数据治理流程与制度，解决企业数据杂乱、口径不统一、数据冗余、数据质量差等核心问题。 2. 数据治理产品设计：独立负责数据治理类产品的需求调研、需求分析、方案设计、原型输出、PRD撰写，包括但不限于主数据管理平台、元数据管理平台、数据质量监控平台、数据指标体系平台、数据权限管控平台、数据字典管理工具等，推动产品从0到1搭建及迭代优化。 3. 数据全生命周期管理：统筹数据从采集、接入、加工、存储、使用、共享、归档、销毁的全生命周期治理，制定各环节治理规范，建立数据常态化治理机制，保障企业数据资产的完整性、准确性、一致性、时效性、安全性。 4. 数据指标与口径统一：牵头梳理公司各业务线核心数据指标，搭建统一的企业级指标体系、数据字典和指标口径规范，统一各部门数据统计标准，消除数据孤岛，支撑业务数据分析、报表统计、经营决策的数据准确性。 5. 跨部门协同落地治理：对接业务部门、研发、大数据、运维、风控等相关团队，调研业务数据治理痛点与需求，输出适配业务场景的治理方案，推动治理规则、标准、流程在各业务线落地执行，跟进项目进度，解决落地过程中的各类问题。 6. 数据质量监控与优化：建立数据质量稽核规则、监控机制和问题整改闭环体系，定期排查数据异常、缺失、错误、重复等问题，推动数据问题整改，持续优化数据质量，提升企业数据资产利用率。 7. 数据资产运营与赋能：协助完成企业数据资产盘点、分类、分级管理，推动数据资产化落地，结合业务场景输出数据治理解决方案，支撑数字化运营、精细化管理、智能决策等业务落地。 8. 行业规范与制度迭代：跟进国家、行业数据合规、数据安全相关政策要求，持续优化公司数据治理制度、流程和产品能力，保障企业数据治理工作合规化、标准化运行。 工作地点 深圳湾万象城广东省深圳市南山区科苑南路2888号深圳湾万象城L1华润金融大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理项目落地,AMC业务,银行特资不良业务经验",http://www.zhaopin.com/jobdetail/CC703527320J40866728807.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
高级教育产品经理（大数据实训平台）,海鳗(北京)数据技术有限公司,1.3-2万,北京,北京,本科,5-10年,7月26日,zhilian_direct,职位描述 平台产品 TO B FIGMA 数据分析 商业产品 产业互联网平台 云计算 人工智能 软件/IT服务 教育科技/教育软件 职位概述 作为高级教育产品经理，你将负责公司核心产品——旅游大数据教学实训平台的迭代与生命周期管理。你的核心任务是将复杂的旅游行业大数据转化为符合高校教学逻辑的实训产品。我们期待你不仅拥有深厚的行业洞察力，还能熟练运用 AI 工具来优化工作流，解决内容产出与产品体验中的实际问题，确保平台在行业内的领先地位。 主要职责 1.产品策略与规划： 深入研究旅游行业趋势与高校实训需求，负责旅游大数据平台的路线图设计，确保数据指标与教学场景深度融合。 2.教学内容体系构建： 主导配套教学资源的开发（人才培养方案、实验手册等）。要求能利用 AI 提效工具快速生成高初稿质量的教学材料，并进行专业审核与精修。 3.数据价值转化： 设计平台的核心数据分析功能，利用 AI 降低数据使用门槛（如：通过对话式分析让学生快速理解客源地、消费画像等复杂数据）。 工作地点 北京市朝阳区高碑店(地区)乡运河北路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"平台产品,TO B,FIGMA,数据分析,商业产品",http://www.zhaopin.com/jobdetail/CC457543580J40851558307.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
数据产品经理,安徽中网创投科技有限公司,1.5-2.2万,北京·昌平,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 客户方案设计：深入对接政企/金融/运营商客户，拆解复杂诉求，输出可落地的数据产品及数据治理解决方案。 2. 数据产品闭环：设计数据驱动闭环体系，建立数据标准、质量管控、流转监控与资产管理机制，持续提升数据资产价值。 3. 项目统筹协同：拉通内外部多方协作，保障复杂项目高效推进与按时交付；擅长跨部门/跨企业沟通，抗压性强，能推动项目、解决协作冲突。 4. 质量合规把控：建立数据质量标准与监控机制，保障数据接入准确、统计可靠；熟悉数据仓库、安全及合规流程，确保全链路安全合规。 5. 产品落地迭代：独立完成需求分析、PRD撰写、原型设计，推动研发落地与持续优化；具备极强结构化思维，能将抽象需求转化为系统方案。 任职要求： 1. 专业基础：本科及以上学历，3年以上数据产品或B端平台产品经验；计算机、数据科学、AI等相关专业优先；熟悉数据治理全流程，包括数据标准、质量管控、流转监控、资产管理。 2. AI产品视野：深入理解大模型/AI数据生态，掌握高质量数据支撑AI系统迭代的逻辑；有大模型数据治理、数据标注、资产管理平台0-1建设经验者优先。 3. 项目推动能力：优秀的跨部门/跨企业沟通协调能力，抗压性强，擅长推动项目、解决协作冲突；具备To B政企/金融/运营商等复杂数据项目经验者优先。 4. 产品落地能力：极强结构化思维，可独立完成PRD与系统落地方案；熟悉数据仓库、安全、合规流程，能将抽象需求转化为可执行的产品方案。 5. 综合素养：对AI数据领域有热情，具备Owner意识与结果导向，能在复杂环境中快速学习并推动关键问题解决。 工作地点 北京昌平区信息港西路6号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,PRD,http://www.zhaopin.com/jobdetail/CC459360380J40833216316.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
高级教育产品经理（旅游大数据 + 效能方向）,海鳗(北京)数据技术有限公司,1.3-2万,北京,北京,本科,5-10年,7月26日,zhilian_direct,"职位描述 平台产品 商业产品 需求分析 产品设计 数据分析 使用场景分析 TO B FIGMA 云计算 课外培训与资格考试 学校/学历教育 职位概述 作为高级教育产品经理，你将负责公司核心产品——旅游大数据教学实训平台的迭代与生命周期管理。你的核心任务是将复杂的旅游行业大数据转化为符合高校教学逻辑的实训产品。我们期待你不仅拥有深厚的行业洞察力，还能熟练运用 AI 工具来优化工作流，解决内容产出与产品体验中的实际问题，确保平台在行业内的领先地位。 主要职责 1.产品策略与规划： 深入研究旅游行业趋势与高校实训需求，负责旅游大数据平台的路线图设计，确保数据指标与教学场景深度融合。 2.教学内容体系构建： 主导配套教学资源的开发（人才培养方案、实验手册等）。要求能利用 AI 提效工具快速生成高初稿质量的教学材料，并进行专业审核与精修。 3.数据价值转化： 设计平台的核心数据分析功能，利用 AI 降低数据使用门槛（如：通过对话式分析让学生快速理解客源地、消费画像等复杂数据）。 4.全流程售前支持： 构建标准化的售前资料库，组织销售培训。要求能够利用 AI 工具快速响应定制化的方案需求，提升售前资料的视觉效果与产出速度。 5.研发协同与交付： 与研发团队紧密合作，确保数据口径准确及产品按时上线，并根据用户反馈持续优化产品性能。 职位要求 1.教育背景： 计算机、旅游管理、经济管理或信息技术相关专业本科或研究生学历。 2.核心经验： 5 年以上产品管理经验，有大数据产品或教育实训系统经验者优先。 3.业务敏锐度： 深刻理解旅游行业数据逻辑（如 OTA 数据、景区流量预测、游客行为分析），能够将其转化为实训任务。 4.执业素质：具备强烈的产品成功意识，能够在竞争激烈的市场寻找并实施破局点。 5.AI 应用力（解决问题导向）： o 能够熟练使用 LLM（如 ChatGPT, Claude 等）辅助撰写文档、梳理业务逻辑和生成测试数据。 o 熟悉如何利用 AI 工具（如 AI 绘图、PPT 辅助生成）缩短售前及教学资料的生产周期。 o 了解 AI 技术边界，能规划“数据+AI”的功能模块以提升产品的智能化体验。 6.软技能： 优秀的跨部门沟通能力，极强的抗压性，具备独立解决复杂业务问题的能力。 工作地点 北京市朝阳区高碑店(地区)乡运河北路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","平台产品,商业产品,需求分析,产品设计,数据分析,使用场景分析,TO B,FIGMA",http://www.zhaopin.com/jobdetail/CC457543580J40843403407.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
汽车数据产品经理,沈阳全景时代汽车服务有限公司,8000-12000元,沈阳·铁西·昆明湖,沈阳,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1.负责产品的规划与设计，把控产品的整体质量和市场竞争力。 2.整合公司内外部资源，包括技术资源、数据资源、合作伙伴资源等，为汽车大数据产品的研发、推广和运营提供保障，如与外部数据服务商合作获取行业对标数据，提升产品分析能力。 3.组织对业务部门进行数据分析产品的培训和指导，收集用户在使用过程中的反馈意见，根据反馈不断优化产品的功能和体验，提升产品的实用性和易用性。 4.统筹规划公司产品体系，制定公司产品中长期战略规划，确保产品体系的完整性和连贯性，满足公司多业务场景的需求。 薪酬待遇：8000--12000（面议） 工作时间：8:30--17:30 周末双休 五险一金、年终奖金、带薪年假、团队聚餐、节日礼物等。 工作地点 沈阳市-铁西区-花海路28号(张士地铁站C口步行440米) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"商业产品,数据分析,内容产品",http://www.zhaopin.com/jobdetail/CCL1246881100J40770400401.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
数据产品经理,软通动力信息技术(集团)股份有限公司,1.1-1.5万,武汉·江夏·豹澥,武汉,本科,3-5年,7月26日,zhilian_direct,职位描述 MySQL SQL 中台产品 大数据产品 PG 1、精通常用的数据分析方法，具备比较好的业务规则逻辑分析能力和数据分析能力，有风控、稽查、审计工作经验优先； 2、具备较好的沟通理解能力和团队协作能力，抗压能力较强，有华为数据分析类产品/项目经历的优先； 3、了解领域业务运作与服务化产品逻辑，熟悉流程、产品、服务标准等设计方法；熟悉数字化分析工具，数据分析方法、持续改善方法等； 4、有数据标注经验优先； 1、精通常用的数据分析方法，具备比较好的业务规则逻辑分析能力和数据分析能力； 2、熟悉Oracle/Guass/PG等主流数据库，熟悉常用数仓建模理论且有数仓建模、数据可视化经验者优先。 3、具备较好的沟通理解能力和团队协作能力，抗压能力较强，有华为数据分析类产品/项目经历的优先； 4、对数据敏感，有敏锐的洞察力和快速学习能力，有较强的总结归纳能力； 5、可独立完成需求中/小型需求调研、需求方案设计、US输出，文档能力良好优先； 6、了解领域业务运作与服务化产品逻辑，熟悉流程、产品、服务标准等设计方法；熟悉数字化分析工具，数据分析方法、持续改善方法等。 工作地点 江夏区武汉未来科技城-A9区1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MySQL,SQL,中台产品,大数据产品,PG",http://www.zhaopin.com/jobdetail/CC000544460J40830590716.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
数据产品经理-生产经营方向,中国中化集团公司,面议,保定·安新·大王,保定,本科,1-3年,7月26日,zhilian_direct,岗位职责: 1.独立负责经营管理BI类项目的业务需求，数据探查、报表设计、功能设计、交互设计、UI设计； 2.基于采购、销售、生产、物流等业务场景梳理指标体系和数据模型； 3.负责设计并建立数据分析数仓，以产品化的方式满足日常业务的数据分析需求，并通过数据或产品提供数据服务； 4.负责数据应用产品的规划、设计，对应项目售前方案编制。 任职资格: 1. 本科或以上学历，财务、统计、计算机、信息工程等相关专业； 2. 参与过三个以上完整经营管理类BI项目，具备数据分析和数据产品经验； 3. 熟悉ERP、MES、CRM等业务系统优先，了解数据应用指标体系的搭建，在化工、能源、地产、农业行业有erp的实施经验优先；熟悉数据治理方法论优先； 4. 熟练掌握SQL语句和数据仓库DM层建模，有主流BI工具和大数据开发经验优先；【熟悉SAP BW数据仓库模型，从SAP（如财务、销售模块）及非SAP系统抽取整合数据并开发报表】 5. 对大数据、数据仓库、数据资产管理、数据应用等领域有深度的理解，并有丰富的工作经验； 6. 具有较强的内外沟通能力，良好的团队意识和协作精神，并有很强学习能力，分析和解决问题能力，可以迅速掌握业务逻辑并转化为产品方案。 工作地点 保定安新县中国中化控股有限责任公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,MySQL,http://www.zhaopin.com/jobdetail/CC120174320J40850202514.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
数据产品经理,外企德科数字技术有限公司,1.6-1.8万,北京·朝阳,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 MySQL SQL 大数据产品 数据分析 TO B 互联网新零售 1、负责销售领域的数据产品建设，确保数据全面/准确/及时地描述业务现状，支撑销售业务管理; 2、对数据的交付质量、交付速度、使用体验负责，持续用户对数据产品的满意度; 3、深入业务一线，不断挖掘数据应用场景和业务痛点，通过数据产品提升销售作业效能和决策管理效率; 4、在数据产品建设过程中不断沉淀通用数据产品能力、数据分析框架，协同销售工具和商家产品，不断提升数据产品价值。用户运营、复盘评估等;熟悉常见的数据处理数据分析方法; 岗位要求: 1、3一5年数据产品工作经验，熟悉数据产品整体生命周期，包括需求分析、产品设计、项目管理 2、熟练掌握SQL查询，了解数据仓库常见结构，熟悉行业内的数据分析、可视化产品和数据应用 岗位亮点: 1、深度参与到餐的业务分析、销售团队管理和策略制定，成长空间大; 2、借助美团技术平台，探索AI等新兴技术能力在数据产品领域的应用。 具备以下优先: 有数据产品经验者优先:B端数据产品、销售业绩管理、数据驱动决策 工作地点 北京朝阳区朝来科技园驻场美团 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"MySQL,SQL,大数据产品,数据分析,TO B",http://www.zhaopin.com/jobdetail/CCL1480117890J40880848305.htm?refcode=4019&srccode=401903&preactionid=101c7ffd-c4eb-4297-9853-11a210694dc1
