job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据开发-风险模型,北京银丰新融科技开发有限公司,5000-6000元,北京·朝阳·安贞,北京,本科,经验不限,7月26日,zhilian_direct,职位描述 ETL Sql 注意本科需要统招学信网可查 本岗位需要出差 1、统招本科及其以上学历，计算机相关专业 ； 2、精通SQL语言开发，ETL开发；熟练使用ORACLE或DB2等主流数据库； 3、良好的沟通和逻辑思维能力，较强撰写文档能力 4、有强烈的责任心、抗压能力和良好的团队协作精神 工作地点 北京朝阳区浙江大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ETL,Sql",http://www.zhaopin.com/jobdetail/CC121069040J40897755813.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发工程师,山东舜德数据管理软件工程有限公司,8000-14000元,济南·历下·智远,济南,本科,5-10年,7月26日,zhilian_direct,职位描述 数据治理 ETL 数据建模 专业知识及技能要求： 1.精通数据建模与指标设计，具备扎实的SQL功底，熟练掌握复杂查询编写、SQL优化技巧 2.具备统计分析报表、自动化报告开发经验，熟悉报表工具（或自定义报表开发逻辑者优先。 3.熟悉ETL工具及数据仓库设计规范，了解数据分层架构。 4.具备大数据处理基础，了解批量数据处理、实时数据校验逻辑，能适配信创大数据集群服务。 5.了解银行金融数据特性，熟悉风控相关业务指标者优先。 6.具备较强的数据和业务结合能力。对金融业务和金融数据有一定的理解和认识，比如了解常见的金融产品、交易流程等。 7.具备较强的责任心与细节把控能力，能精准识别数据异常，高效推进问题解决，保障报表数据的可靠性 工作地点 济南市-历下区-新泺大街1166号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,ETL,数据建模",http://www.zhaopin.com/jobdetail/CC160803710J40868661903.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发岗,中汽数据有限公司,4000-6000元,天津·西青·中北,天津,大专,1-3年,7月26日,zhilian_direct,职位描述 汽车 工作描述： 1. 乘用车配件数据分析与数据开发； 2. 负责更新、维护、入库已有乘用车相关数据； 3. 测试及调整零配件数据准确性，并按照实际业务及客户使用需求调整相关数据； 4. 数据业务服务拓展； 5. 汽车零配件相关问题分析及解答； 6. 部门领导安排的其他工作。 工作要求： 1. 大专及以上学历，汽车、机械类相关专业优先； 2. 对乘用车行业有深度了解，熟悉汽车构造，熟悉汽车后市场数据相关业务； 3. 有两年及以上汽车零配件销售、订购管理从业经验者优先； 4. 熟练运用 Office 软件，工作细致认真。有较强的自驱力、学习能力，抗压能力、逻辑与沟通能力强。 工作地点 天津西青区中北·天软创业学院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,汽车,http://www.zhaopin.com/jobdetail/CC464341810J40432940705.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发（银行驻场，国结经验优先）,北京银丰新融科技开发有限公司,1.3-1.5万,台州·路桥区·路北街道,台州,本科,5-10年,7月26日,zhilian_direct,职位描述 数据治理 数据仓库 ETL Sql Python Hadoop Spark 1、有需求分析经验 2、有国结业务经验 3、技术扎实，使用过报表工具。 工作地点 台州路桥区台行银座金融学院1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据仓库,ETL,Sql,Python,Hadoop,Spark",http://www.zhaopin.com/jobdetail/CC121069040J40896961613.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发部（副）部长,湖南时空信息数据有限公司,1.6-2万,株洲·石峰区,株洲,硕士,1-3年,7月26日,zhilian_direct,岗位职责： 1.负责主持数据开发部日常事务。 2.负责统筹时空数据交易平台建设、标注业务、数据汇集等相关工作。 3.负责对数据供应方、技术服务方和场景应用方合作需求进行评估，并协调团队实施对接工作。 任职要求： 1.硕士研究生及以上学历，计算机科学、遥感科学与技术、软件工程相关专业。 2.有2年及以上从事遥感（含光学、雷达、气象、电磁频谱等）、高精度定位、轨迹等时空数据批量处理经验，同时熟练掌握结构化数据的处理能力。熟练掌握相关程序和脚本语言、数据处理软件和开发工具以及相关算法。 3.熟悉大数据应用平台底层架构，熟悉算力调度平台、数据中台、持续集成等相关工具。 4.有2年以上团队管理经验，熟悉敏捷管理和DevOps，曾带领团队搭建和维护过兼容结构化和非结构化的大数据应用平台。 5.沟通能力强，能精准把握客户需求，同时及时、合理地拆解和分配任务，并从宏观把控好项目进展。 工作地点 株洲石峰区北斗大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据架构,数据中台开发,算力调度",http://www.zhaopin.com/jobdetail/CCL1514790630J40752931006.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发组工程师,中汽数据有限公司,1-1.5万,天津·西青·中北,天津,本科,1-3年,7月26日,zhilian_direct,"岗位职责 1. 任务执行：根据项目计划和设计文档，高效完成数据采集、集成、清洗、计算和存储等具体开发任务。 2. 数据开发与治理实操： ① 负责编写高质量的数据处理代码（如SQL, Spark, Flink等），解决数据打通中的具体技术问题。 ② 遵循数据标准与规范进行开发，执行数据质量校验、数据血缘录入、数据安全脱敏等具体操作。 3. 数据资产与标签开发： ① 负责具体数据标签的开发、测试与运维。 ② 参与数据仓库、数据模型的ETL/ELT开发，构建和维护数据资产。 4. 算法模型部署支持：协助完成算法模型的部署、对接和数据供给，监控模型所需数据 pipeline 的稳定性。 5. 数据平台使用与运维：熟练使用数据中台提供的各类数据开发工具与计算引擎，完成日常开发工作，并监控任务运行状态，及时处理故障。 6. 协作与学习：在组长指导下开展工作，积极参与团队协作，主动学习并掌握新技术与新工具。 二、技能要求 1、开发技术：熟练掌握SQL（Hive/Spark SQL）并具备优异的性能调优能力，熟悉至少一种大数据处理框架（如Spark/MapReduce/Flink）进行数据清洗与计算任务的开发。 2、数据治理实践：了解数据治理基本概念，能在日常开发中严格遵循数据标准与规范，具备数据质量稽核、数据血缘录入等实操技能。 3、工具与流程：熟练使用数据中台的数据开发平台、调度工具与版本管理工具（如Git），具备规范的数据需求对接、开发与运维能力。 4、业务理解：具备基本的业务理解能力，能将简单的业务逻辑转化为数据模型与数据处理逻辑。 5、问题解决：具备快速定位和解决日常数据任务故障、数据异常的能力。 工作地点 天津西青区新城市中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",Sql,http://www.zhaopin.com/jobdetail/CC464341810J40830066205.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发-泸州-银行-外包,北京银丰新融科技开发有限公司,1.3-1.5万,泸州·江阳区·蓝田街道,泸州,本科,5-10年,7月26日,zhilian_direct,职位描述 ETL 外包 需要本科学信网可查 （监管） 计算机专业 中级数据开发岗位要求： 1、计算机、软件相关专业，本科毕业 2、5以上数据开发工作经验，有银行资产负债类项目经验优先 3、熟悉Gbase、oracle、达梦、hive等数据开发、优化 4、熟悉BI工具的使用和开发，有smartbi经验者优先 5、熟悉linux系统操作，有shell脚本开发经验 6、熟悉ETL任务调度工具的配置使用 7、熟悉银行业数据仓库、数据集市的模型结构，有数据建模经验者优先 工作地点 泸州银行后台中心四川省泸州市江阳区蓝天路13号1栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,ETL,http://www.zhaopin.com/jobdetail/CC121069040J40809216613.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
医疗数据开发工程师,数据磐石科技(北京)有限公司,1.2-1.6万·13薪,北京·海淀,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责 对接合作医院，完成医疗原始数据的抽取、清洗、转换、集成（ETL），搭建医疗数据链路。 负责医疗数据仓库建模、数据分层、字段标准化，完成病历、检验、检查、医保、门诊等多类医疗数据加工处理。 按照医疗数据合规要求，落地数据脱敏、匿名化、去标识化方案，保障数据全流程符合行业监管法规。 封装标准化医疗数据集、数据服务接口，支撑数据产品落地与对外交付。 优化数据任务调度、计算与存储效率，保障海量医疗数据稳定、高效运转。 配合合规、业务团队，完成数据资产盘点、数据质量核查与问题整改。 任职要求 计算机、大数据、软件工程等相关专业，2 年及以上数据开发 / ETL / 数仓开发经验。 精通 SQL，熟练使用 Hive、Spark、Flink、MySQL 等大数据技术栈，具备完整 ETL 项目落地经验。 熟悉数据脱敏、数据安全、数据治理相关技术，了解隐私计算、数据分级分类者优先。 了解《个人信息保护法》《医疗卫生机构网络安全管理办法》等相关法规优先。 有医疗、卫健、政务大数据行业项目经验者优先，能理解基础医疗业务术语。 具备良好问题排查能力、执行力与团队协作意识。 我们提供 聚焦医疗数据资产赛道，业务成熟、发展空间广阔； 完善的薪酬体系、绩效奖金、五险一金； 扁平化管理，技术氛围浓厚，提供行业专属技术成长路径。 工作地点 北京海淀区中关村AI北纬社区D5-A401 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,数据库开发,数据中台开发,Python",http://www.zhaopin.com/jobdetail/CCL1509613670J40888006713.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
大数据开发工程师（国企、自研）,深圳市中农数据有限公司,1.3-2.2万·13薪,深圳·龙岗·平湖,深圳,本科,3-5年,7月26日,zhilian_direct,"岗位职责： 1.协助项目经理/独立完成项目开发； 2.负责公司数据产品的数据采集，清洗，加工及统计分析，以及数据处理功能的开发，编写相关文档； 3.参与数据映射、数据质量分析、数据差异分析； 4.负责公司数据产品功能开发； 5. 完成上级临时交付的工作任务。 岗位要求: 一、本科以上，大数据、计算机或相关专业； 二，2年以上数据仓库项目实施经验，独立完成数据处理开发工作，负责过一个完整项目； 三，熟练使用Flink开发实时计算任务，具备基于Dinky实时计算平台搭建和管理复杂作业的实战经验 ； 四，熟悉ETL开发，熟悉Apache Paimon湖仓架构设计与优化，熟悉Apache Doris优先 ； 五，熟练使用数据采集和接收工具，熟练使用Flink CDC加Kafka优先 ； 六，熟悉Hadoop生态圈技术，具有源码阅读及二次开发工作经验； 七，熟练使用SQL，熟悉数据库原理，熟悉mysql及跨组件字段类型映射限制 ； 八，熟悉Linux操作系统，熟练使用常用命令，熟练使用shell脚本； 九，熟练使用高性能缓存工具，熟练使用redis优先； 十，具有清晰的系统思维逻辑，对解决行业实际问题有浓厚兴趣，良好的沟通协调能力及学习能力。 薪酬福利： 1.薪酬：基本工资、绩效工资、项目奖金、餐饮补贴等； 2.福利：五险一金，带薪年假、育儿假等； 3.工作时间：9.00-12.00,13.30-17.30，5天7小时工作制； 4.节日慰问：春节、元旦等重要节日发放节日津贴。 奖金绩效 绩效奖金，年末双薪 工作地点 深圳龙岗区海吉星电商大厦2301 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据库开发,Flink",http://www.zhaopin.com/jobdetail/CC630616520J40945654608.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
数据开发工程师,北京银丰新融科技开发有限公司,7000-11000元,长春·南关·明珠,长春,本科,3-5年,7月26日,zhilian_direct,职位描述 ETL Sql Spark Flink 1、数据库与 SQL：精通复杂 SQL 编写、性能调优；熟练使用 Oracle、DB2、MySQL、国产分布式数据库（OceanBase/GoldenDB）；掌握存储过程、窗口函数、分区优化、索引调优。 2、大数据技术栈：熟练 Hive、Spark SQL；了解 Flink 实时计算、Kafka 消息队列；掌握数据仓库分层建模、ETL 全流程开发；熟悉 Linux 系统常用命令、Shell 脚本。 3、文档能力：可独立输出架构方案、数据模型、接口、测试、运维全套技术文档。 4、统本，双证齐全，了解银行业务。 工作地点 长春南关区东北亚国际金融中心-9号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ETL,Sql,Spark,Flink",http://www.zhaopin.com/jobdetail/CC121069040J40897396813.htm?refcode=4019&srccode=401903&preactionid=aa2ef647-0365-4437-a18d-6ead715f384c
