job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
主数据管理专家/主数据治理工程师/主数据架构师,北京易才人力资源顾问有限公司,2.5-3万,北京·海淀·羊坊店,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 数据治理 数据建模 大数据开发 项目经理 主数据解决方案 主数据业务分析 云计算 建筑/土木/市政设计 任职要求 （一）必须项 ● 本科及以上学历，计算机、信息管理、数据科学或相关专业 ● 3年以上数据治理或主数据管理领域工作经验，至少完整参与过一类主数据（人员/组织/客商/物料/科目/合同）的全生命周期管理 ● 熟悉主数据管理的核心理念：数据标准制定、编码规则设计、数据质量管理、主数据全生命周期流程 ● 具备跨部门、跨系统的项目协调能力，能同时推进多条线工作并管控进度与风险 ● 优秀的沟通表达能力，能与财务、采购、HR、法务等业务部门有效对话，将业务需求转化为平台规则 ● 能接受不定期出差至各成员企业所在地 （二）加分项 ● 有大型集团企业（制造业/建材行业优先）主数据平台/数据平台建设或改造经验 ● 有主数据平台产品管理或需求分析经验 ● 了解数据集成技术（API接口、ETL工具、消息队列、数据库同步），能与开发团队有效技术对话 ● 熟悉SAP/用友NC等ERP系统的主数据模型者优先 ● 具有PMP、CDMP（数据管理专业人士认证）等资质者优先 工作地点 北京海淀区国海广场-2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据建模,大数据开发,项目经理,主数据解决方案,主数据业务分析",http://www.zhaopin.com/jobdetail/CC560169520J40873977609.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
数据架构师-福州,中电福富信息科技有限公司,2-2.5万,福州·鼓楼·洪山,福州,本科,3-5年,7月26日,zhilian_direct,职位描述 数据治理 数据架构 数据中台 AI数据体系 通信运营商/电信增值服务 软件/IT服务 人工智能 工作概述： 1、负责部门产品数据架构、数据中台、数据治理及AI数据体系的整体规划、架构设计、迭代升级与落地推进； 2、聚焦业务战略与数智化转型需求，搭建稳定、可扩展、高安全、低成本的全域数据与AI数据底座，统一数据标准、模型体系及AI训练数据规范，解决数据孤岛、口径混乱、AI数据质量差、数据适配性不足等核心问题； 3、主导大数据与AI技术选型、架构攻坚、数据资产价值落地，统筹数据与AI团队技术建设，赋能业务精细化运营、智能决策与AI业务创新，实现企业数据资产化、智能化价值落地。 任职要求： 1、大学本科及以上学历，3年以上数据架构建设经验。具备AI应用分析经验，电信O域业务经验优先考虑。 2、具备统筹数据+AI融合架构顶层规划，制定长期架构迭代方案，搭建统一可扩展的数据与AI数据底座，统一业务数据、大模型训练及推理数据规范，支撑业务与AI场景规模化落地； 3、负责制定数据及AI团队技术规范，牵头架构评审与技术攻坚，沉淀数智架构，统筹团队技术建设与迭代升级。 4、熟悉运营商网络技术及业务，有网络运维经验者优先； 5、责任心强，良好的团队合作及创新精神，较强的执行力； 6、接受出差。 工作地点 福州鼓楼区电信网络调度指挥中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据架构,数据中台,AI数据体系",http://www.zhaopin.com/jobdetail/CC180936110J40948262508.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
运控域数据架构师,徽通科技集团有限公司,2-3万,重庆·两江新区,重庆,本科,5-10年,7月26日,zhilian_direct,岗位职责 1. 全域数据架构规划设计 主导企业级数据平台全链路架构规划与迭代，负责数据采集、存储、计算、治理、服务整体方案设计；落地湖仓一体化（Lakehouse）架构，精通离线/实时Lambda、Kappa链路设计；统一数据中台规范，制定ODS/DWD/DWS/ADS分层模型、建模及ETL开发标准。 2. 核心技术组件选型与落地 负责大数据核心组件POC验证、技术选型与落地，涵盖Flink/Spark实时计算、Kafka/Pulsar消息队列、ClickHouse/Doris/OceanBase/TiDB分布式数据库、TDengine时序数据库、Iceberg/Hudi数据湖格式；重点负责Flink实时任务架构设计、Exactly-Once语义保障、状态与反压优化；完成分布式数据库分库分表、索引优化、数据迁移适配；搭建元数据、数据血缘、数据质量监控的全链路可观测治理体系。 3. 企业级数据治理体系搭建 搭建覆盖数据标准、元数据、数据质量、生命周期、安全权限的完整治理体系；落地三层建模体系（概念-逻辑-物理），推行MBSE化ER模型设计；制定数据分层存储、自动归档清理的生命周期策略；建立数据完整性、准确性、一致性等五维质量指标，实现问题闭环治理。 4. 业务方案落地与技术把关 对接卫星运控、网络管理、运营支撑等业务，完成业务需求到数据架构方案的转化；主导架构、模型、技术选型方案评审；适配新业务系统，输出CDC同步、库表/文件采集等多元化数据接入、存储及共享方案。 5. 性能调优与容量规划 负责大规模数据场景下SQL优化、数据倾斜处理、小文件合并、资源调优、索引与分区优化；结合业务增长趋势，完成数据平台存储、计算资源的容量预估与扩容规划。 二、硬性技术能力要求（核心重点） - 建模能力：精通星型/雪花模型、DataVault2.0数仓建模及数据湖架构设计 - 实时计算：熟练掌握Flink/Spark流批框架，具备实时链路架构设计、性能调优实战经验 - 分布式数据库：精通2种及以上主流库（ClickHouse/OceanBase/Doris/TiDB），吃透存储引擎、索引、查询优化原理 - 中间件与生态：熟悉Kafka核心原理与可靠性保障，精通Hadoop生态，了解云原生K8s大数据架构 - 编程能力：掌握Java/Python/Scala任意一种，可独立完成核心技术POC验证 - 数据治理：熟悉DAMA等主流治理体系，具备数据标准、质量、生命周期管控实战经验 - 安全合规：了解等保、数据分类分级，可落地数据权限管控与合规方案 三、综合能力要求 - 具备架构抽象、系统性思维，可提炼业务共性数据模型与通用服务能力 - 优秀跨团队推进、沟通协作能力，可推动架构方案全流程落地 - 熟练输出高质量架构设计、技术方案等专业文档 - 航天、通信行业从业经验优先 四、核心加分项（差异化优势） - 具备OceanBase、TDengine等国产数据库架构适配经验 - 有卫星互联网、航天测控领域数据架构实战经验 - 精通MBSE系统工程方法，具备SysML/UML建模经验 工作地点 重庆两江新区龙兴镇龙胆村村民委员会 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据建模,数据治理,数据仓库",http://www.zhaopin.com/jobdetail/CC622613120J40882489805.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
数据架构师（北京、上海、厦门）,郑州帮聘信息科技有限公司,3-4万,厦门·湖里·金山,厦门,本科,5-10年,7月26日,zhilian_direct,"职位描述 数据治理 数据仓库 制造业 工业自动化/机器人 1. 企业数据架构 1）设计和开发企业湖屋架构； 2）利用copula和Dremio定义数据分层、数据建模和数据服务架构； 3）担任企业数据模型和核心数据资产的技术权威； 2.数据治理和数据管理 1）设计和实施企业数据治理框架，重点关注数据所有权、管理和基于域的管理； 2）定义和维护数据标准、命名约定、数据质量规则和生命周期管理原则； 3）使用Unity Catalog建立和执行数据访问控制、安全和合规政策； 4）支持元数据管理、数据沿袭和数据编目，以提高数据透明度和信任度; 5）与数据治理、法务、安全和合规利益相关者合作，确保符合法规和内部政策； 3.分析和自助服务支持 1）通过创建可重用和受管理的语义层，在Power BI中实现自助报告和分析； 2）平衡自助服务的灵活性和集中治理，以防止不一致和不受控制的数据扩散； 4.协作与领导力 1）与数据工程、商业智能、数据治理和各种业务领域团队密切合作； 2）就数据架构和治理的最佳实践指导和影响利益相关者； 3）充当技术平台设计和业务驱动数据使用之间的桥梁； 4）领导交代的其他重要任务 任职要求： 1. 本科学历，5年以上数据相关工作经验，包括至少2年的数据架构或数据平台设计经验； 2.计算机科学与技术、数据科学与大数据、电子信息、数学、统计学等； 3. 英语口语可日常沟通 4. 有较高计算机技术水平者优先， 有Unity目录、元数据管理或数据沿袭的经验, 具有制造业、工业或B2B企业环境背景, 在推动企业级数据治理或数据平台计划方面拥有丰富的经验 工作地点 厦门湖里区金山国际山庄-258号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据治理,数据仓库",http://www.zhaopin.com/jobdetail/CCL1304678110J40767050206.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
资深数据架构师（外企大厂英语佳）,外企德科,2.3-4.5万,杭州·滨江·长河,杭州,本科,5-10年,7月26日,zhilian_direct,职位描述 数据库开发 数据建模 数据仓库 岗位名称：资深数据架构师 主要职责： 1. 定义和维护基于 Azure Databricks 和 Delta Lake 的企业数据架构。 2. 设计可扩展的摄取、转换、服务和分析流水线。 3. 建立批处理、流式和实时工作负载的参考架构。 4. 负责企业数据建模标准，包括星型/雪花模型和 SCD。 5. 架构客户360、预测、GenAI 和数据共享项目。 6. 推动治理、血缘、访问控制和数据质量框架。 7. 定义 Spark、SQL、Delta Lake 优化标准。 8. 架构 Power BI 语义模型和自助分析框架。 9. 为数据平台设计端到端 CI/CD 和编排标准。 10. 指导工程团队，主导跨市场架构评审。 11. 维护 ERD、ADR、技术文档和平台标准。 必备技能： - 8年以上数据工程/数据架构经验。 - 精通 SQL、Spark/PySpark、Databricks、Delta Lake。 - 扎实的维度建模和企业数据仓库概念。 - 有 Azure Databricks、ADLS Gen2、ADF、Unity Catalog 经验。 - 深入理解数据治理、血缘和合规框架。 - 强大的 Power BI 语义建模和仪表板优化经验。 - 精通 Spark 性能调优和流水线优化。 - 有 Airflow、dbt、CI/CD、DevOps 工作流经验。 - 强大的利益相关者沟通和技术领导力。 - 有设计企业级分布式数据平台经验。 优先条件： - 有零售、快消、批发或电商领域经验。 - 了解数据网格和面向领域的架构。 - 有 Kafka、Flink、流式架构实践经验。 - 接触过 GenAI、LLM、RAG 和 MLflow 生态。 - 有特征存储和生产级 ML 流水线经验。 - 有多国家或多市场平台经验。 - 拥有 Databricks 解决方案架构师或数据工程师认证。 - 有 Tableau 或 Looker 经验。 - 会 Scala 加分。 工作地点 阿里中心·滨江浙江省杭州市滨江区滨兴路1866号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"数据库开发,数据建模,数据仓库",http://www.zhaopin.com/jobdetail/CC138117190J40876114205.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
运控域数据架构师,徽通科技集团有限公司,2-3万,重庆·两江新区,重庆,本科,5-10年,7月26日,zhilian_direct,岗位职责 1. 全域数据架构规划设计 主导企业级数据平台全链路架构规划与迭代，负责数据采集、存储、计算、治理、服务整体方案设计；落地湖仓一体化（Lakehouse）架构，精通离线/实时Lambda、Kappa链路设计；统一数据中台规范，制定ODS/DWD/DWS/ADS分层模型、建模及ETL开发标准。 2. 核心技术组件选型与落地 负责大数据核心组件POC验证、技术选型与落地，涵盖Flink/Spark实时计算、Kafka/Pulsar消息队列、ClickHouse/Doris/OceanBase/TiDB分布式数据库、TDengine时序数据库、Iceberg/Hudi数据湖格式；重点负责Flink实时任务架构设计、Exactly-Once语义保障、状态与反压优化；完成分布式数据库分库分表、索引优化、数据迁移适配；搭建元数据、数据血缘、数据质量监控的全链路可观测治理体系。 3. 企业级数据治理体系搭建 搭建覆盖数据标准、元数据、数据质量、生命周期、安全权限的完整治理体系；落地三层建模体系（概念-逻辑-物理），推行MBSE化ER模型设计；制定数据分层存储、自动归档清理的生命周期策略；建立数据完整性、准确性、一致性等五维质量指标，实现问题闭环治理。 4. 业务方案落地与技术把关 对接卫星运控、网络管理、运营支撑等业务，完成业务需求到数据架构方案的转化；主导架构、模型、技术选型方案评审；适配新业务系统，输出CDC同步、库表/文件采集等多元化数据接入、存储及共享方案。 5. 性能调优与容量规划 负责大规模数据场景下SQL优化、数据倾斜处理、小文件合并、资源调优、索引与分区优化；结合业务增长趋势，完成数据平台存储、计算资源的容量预估与扩容规划。 二、硬性技术能力要求（核心重点） - 建模能力：精通星型/雪花模型、DataVault2.0数仓建模及数据湖架构设计 - 实时计算：熟练掌握Flink/Spark流批框架，具备实时链路架构设计、性能调优实战经验 - 分布式数据库：精通2种及以上主流库（ClickHouse/OceanBase/Doris/TiDB），吃透存储引擎、索引、查询优化原理 - 中间件与生态：熟悉Kafka核心原理与可靠性保障，精通Hadoop生态，了解云原生K8s大数据架构 - 编程能力：掌握Java/Python/Scala任意一种，可独立完成核心技术POC验证 - 数据治理：熟悉DAMA等主流治理体系，具备数据标准、质量、生命周期管控实战经验 - 安全合规：了解等保、数据分类分级，可落地数据权限管控与合规方案 三、综合能力要求 - 具备架构抽象、系统性思维，可提炼业务共性数据模型与通用服务能力 - 优秀跨团队推进、沟通协作能力，可推动架构方案全流程落地 - 熟练输出高质量架构设计、技术方案等专业文档 - 航天、通信行业从业经验优先 四、核心加分项（差异化优势） - 具备OceanBase、TDengine等国产数据库架构适配经验 - 有卫星互联网、航天测控领域数据架构实战经验 - 精通MBSE系统工程方法，具备SysML/UML建模经验 工作地点 重庆两江新区龙兴镇龙胆村村民委员会 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据建模,数据治理,数据仓库",http://www.zhaopin.com/jobdetail/CC622613120J40882489205.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
大数据架构师,山东乾云信息科技集团有限公司,2-2.5万,济南·历城·港沟,济南,硕士,5-10年,7月26日,zhilian_direct,岗位职责 1、负责大数据平台的整体架构规划与设计、技术选型与关键技术研究，涵盖数据采集、治理、挖掘、应用等数据全生命周期。 2、带领团队高质量完成大数据平台研发、测试等落地实现工作，包括元数据管理、数据血缘、数据质量校验、数据可视化、数据安全、数据监控等功能。 3、负责数据应用产品的技术方案、技术框架选型、技术落地实施指导及技术难题解决等工作。 4、研究前沿技术，并将其引入到项目应用；解决研发过程中的技术难题，为他人提供技术指导。 （二）岗位要求： 1、硕士及以上学历，计算机、信息技术、数学、人工智能、大数据等相关专业； 2、5年以上大数据架构设计和技术实现相关经验，有大型金融科技公司从业经验者优先； 3、精通大数据相关技术，熟练掌握Hadoop、Hive、MR、Spark、Flink、Flume、Kafka、Storm或HBase等；熟悉结构化、非结构化数据业界典型高可用架构知识及相关经验； 4、精通数据仓库理论架构，包括但不限于数据调度、ETL、元数据管理、数据血缘、数据质量校验、数据可视化、数据安全、数据监控等； 5、掌握数据中台设计方法论；精通分布式、缓存、消息、搜索等机制；至少精通主流数据库技术Oracle、PostreSql、MySQL、SQL server中的一种； 6、具备良好逻辑分析能力，执行力强，对待工作认真严谨、责任心强，具有出色的学习能力和团队合作精神。 工作地点 济南历城区山东乾云信息科技集团有限公司山东信息通信技术创新产业基地B座15楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算,产业互联网平台",http://www.zhaopin.com/jobdetail/CC857309600J40484263913.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
数据架构师,成都百裕制药股份有限公司,1.7-2.9万·13薪,成都·武侯·肖家河,成都,本科,5-10年,7月26日,zhilian_direct,"岗位职责 （1）负责企业级数据架构与数据标准体系的设计与落地,基于 DAMA-DMBOK 2.0 / DCMM 构建数据治理框架,推动数据治理成熟度提升。 （2）主导企业主数据管理(MDM)建设,推动客户、产品、物料、供应商、组织机构、医院、医生、财务等核心主数据的统一与标准化。 （3）设计并落地湖仓一体数据平台架构,覆盖数据采集、数据湖、数据仓库、数据服务、数据应用全链路。 （4）建立数据治理组织与流程制度,推动数据质量管理、数据血缘追踪、数据资产目录建设。 （5）设计 AI-Ready 数据规范,支持向量库 schema(Milvus / Pinecone)、知识图谱(Neo4j / NebulaGraph)、RAG 文档切片、模型训练数据(微调 / 对齐)等 AI 场景的数据消费。 （6）主导云端数据平台选型与实施(公有云/混合云/国产化),与企业 AI 架构师协同推进""数据 + AI""双底座建设。 （7）落实数据合规要求:《个人信息保护法》、《数据安全法》、《网络安全法》、GDPR、医药行业 GxP/GMP、21 CFR Part 11、ALCOA+ 数据完整性,以及 NMPA 数据合规相关要求。 任职要求 （1）本科及以上学历,计算机科学、数据科学、信息管理、统计学、数学等相关专业。 （2）7 年以上数据平台/数据治理/数据架构经验,有从 0 到 1 主导企业级数据平台建设的成功案例。 （3）精通数据建模:ER 模型，Data Vault,熟悉 数据建模工具。 （4）精通 DAMA-DMBOK知识体系与 DCMM 数据管理能力成熟度模型,具备数据治理体系搭建经验。 （5）精通至少 1 个主流数据平台(Databricks、阿里云 DataWorks、腾讯 等),熟悉湖仓查询(Presto/Trino/StarRocks/Doris)。 （6）精通 ETL/ELT 工具(Airflow等),熟悉大数据技术栈(Hadoop/Spark/Flink/Kafka)。 （7）熟悉向量数据库(Milvus)、知识图谱(Neo4j /NebulaGraph)、RAG 文档切片、语义层建设等 AI-Ready 数据准备技术。 （8）熟悉云原生(Kubernetes、Docker)与至少一个云平台(阿里云、华为云、AWS、火山引擎等)。 （9）严谨细致,对数据质量有高标准要求,具备跨部门推动数据标准统一的沟通协调能力。 优先考虑 （1）持有 CDMP(数据管理专业人士)、CISP-DSG(数据安全治理专业人员)、DCMM 评估师等专业认证。 （2）有主数据管理(MDM)项目、数据中台建设、数据资产估值/入表经验。 （3）有医药/制造业/金融行业数据架构经验,熟悉CDISC(SDTM/ADaM)医药行业数据标准。 （4）有 GxP/GMP/21 CFR Part 11/ALCOA+数据完整性合规经验。 我们提供 （1）直接参与企业级数据平台从 0 到 1 建设的机会,主导数据战略落地。 （2）与云厂商、数据治理咨询、行业标杆企业直接合作的资源。 工作地点 成都武侯区天府生命科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据治理,DAMA-DMBOK,DCMM,向量库",http://www.zhaopin.com/jobdetail/CC134676440J41021864804.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
数据架构师&数据治理负责人,康龙化成,1-2万,北京·大兴·博兴,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 SQL Python 数据管理 岗位职位： 1、紧密结合公司业务战略和数据需求，制定和推动整体数据治理策略、技术方案，路线图及实施计划； 2、协同各业务线关键用户，深入理解并落地数据治理项目。 3、建立AI-Ready的数据管理流程，主导客户数据集成项目，制定数据交换标准和接口方案，确保数据的可用性和可追溯性。 4、此外，这个岗位还将配合其他相关部门落实数据安全策略和合规方案，确保所有数据管理活动符合行业法规和标准。 任职要求： 1、具备计算机科学、信息管理或数据科学相关本科及以上学历 2、拥有6年以上数据管理或数据架构领域经验，其中3年以上负责数据治理或数据平台团队管理的经历。 3、要求精通数据治理体系和数据管理框架，能够搭建数据治理组织架构，熟悉数据集成、数据仓库、大数据平台及数据湖架构，理解数据全生命周期管理。 4、技术方面，候选人应掌握SQL、Python等脚本语言和常用的数据处理技术，能定义数据质量指标，设计数据清洗、校验和监控机制。 5、英文流利是必备，需能与国际客户和团队高效沟通。 6、有企业级数据架构设计和数据平台搭建实战经验者优先考虑。 工作地点 大兴区康龙化成(北京)新药技术股份有限公司泰和路6号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SQL,Python,数据管理",http://www.zhaopin.com/jobdetail/CC120543470J40948546015.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
运控域数据架构师,徽通科技集团有限公司,2-3万,重庆·两江新区,重庆,本科,5-10年,7月26日,zhilian_direct,岗位职责 1. 全域数据架构规划设计 主导企业级数据平台全链路架构规划与迭代，负责数据采集、存储、计算、治理、服务整体方案设计；落地湖仓一体化（Lakehouse）架构，精通离线/实时Lambda、Kappa链路设计；统一数据中台规范，制定ODS/DWD/DWS/ADS分层模型、建模及ETL开发标准。 2. 核心技术组件选型与落地 负责大数据核心组件POC验证、技术选型与落地，涵盖Flink/Spark实时计算、Kafka/Pulsar消息队列、ClickHouse/Doris/OceanBase/TiDB分布式数据库、TDengine时序数据库、Iceberg/Hudi数据湖格式；重点负责Flink实时任务架构设计、Exactly-Once语义保障、状态与反压优化；完成分布式数据库分库分表、索引优化、数据迁移适配；搭建元数据、数据血缘、数据质量监控的全链路可观测治理体系。 3. 企业级数据治理体系搭建 搭建覆盖数据标准、元数据、数据质量、生命周期、安全权限的完整治理体系；落地三层建模体系（概念-逻辑-物理），推行MBSE化ER模型设计；制定数据分层存储、自动归档清理的生命周期策略；建立数据完整性、准确性、一致性等五维质量指标，实现问题闭环治理。 4. 业务方案落地与技术把关 对接卫星运控、网络管理、运营支撑等业务，完成业务需求到数据架构方案的转化；主导架构、模型、技术选型方案评审；适配新业务系统，输出CDC同步、库表/文件采集等多元化数据接入、存储及共享方案。 5. 性能调优与容量规划 负责大规模数据场景下SQL优化、数据倾斜处理、小文件合并、资源调优、索引与分区优化；结合业务增长趋势，完成数据平台存储、计算资源的容量预估与扩容规划。 二、硬性技术能力要求（核心重点） - 建模能力：精通星型/雪花模型、DataVault2.0数仓建模及数据湖架构设计 - 实时计算：熟练掌握Flink/Spark流批框架，具备实时链路架构设计、性能调优实战经验 - 分布式数据库：精通2种及以上主流库（ClickHouse/OceanBase/Doris/TiDB），吃透存储引擎、索引、查询优化原理 - 中间件与生态：熟悉Kafka核心原理与可靠性保障，精通Hadoop生态，了解云原生K8s大数据架构 - 编程能力：掌握Java/Python/Scala任意一种，可独立完成核心技术POC验证 - 数据治理：熟悉DAMA等主流治理体系，具备数据标准、质量、生命周期管控实战经验 - 安全合规：了解等保、数据分类分级，可落地数据权限管控与合规方案 三、综合能力要求 - 具备架构抽象、系统性思维，可提炼业务共性数据模型与通用服务能力 - 优秀跨团队推进、沟通协作能力，可推动架构方案全流程落地 - 熟练输出高质量架构设计、技术方案等专业文档 - 航天、通信行业从业经验优先 四、核心加分项（差异化优势） - 具备OceanBase、TDengine等国产数据库架构适配经验 - 有卫星互联网、航天测控领域数据架构实战经验 - 精通MBSE系统工程方法，具备SysML/UML建模经验 工作地点 重庆两江新区龙兴镇龙胆村村民委员会 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据建模,数据治理,数据仓库",http://www.zhaopin.com/jobdetail/CC622613120J40882491405.htm?refcode=4019&srccode=401903&preactionid=f6100fc3-5705-4f90-bfd3-3fa37ff66d70
