job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据标注员,辽宁云码智创数据科技有限公司,3000-4000元,沈阳·皇姑,沈阳,大专,经验不限,7月26日,zhilian_direct,职位描述 图像标注 视频标注 文本标注 人工智能 岗位内容： 1. 对数据进行标注、打标签、整理、审核等工作； 2. 确保数据质量和数据准确性； 3. 配合客户进行项目进度跟进及反馈。 任职要求： 1. 具备较强的学习能力，对新事物接纳度高； 2. 工作积极主动，具有强烈的责任感和团队协作意识； 3. 善于处理问题，具有良好的逻辑思维能力。 工作地点 皇姑区沈阳腾鹰科技数字产业大厦K3座7楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像标注,视频标注,文本标注",http://www.zhaopin.com/jobdetail/CCL1513351720J40865559207.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
文本数据标注,数据加(长春)科技有限公司,6000-8000元,长春·宽城·奋进,长春,本科,经验不限,7月26日,zhilian_direct,岗位职责： 根据项目要求，对文创类文本（如小说、诗歌、剧本、评论）、艺术作品描述、历史资料、设计文案等进行精细标注； 任职要求： 1、汉语言文学、新闻传播学、创意写作、戏剧影视文学、历史学、哲学专业优先； 2、极强的文字功底，优秀的指令理解与执行力，严密的逻辑思维与事实核查能力； 岗位福利： 1、双休、法休、五险 2、薪资6k起，面议 工作地点 长春宽城区北湖未来科学城长新创谷-6号楼(人工智能产业基地)13B层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,文本标注,http://www.zhaopin.com/jobdetail/CC560737730J40831994901.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
人工智能训练师/数据标注,数据之家(北京)科技有限公司,3000-5000元,洛阳·洛龙·太康东路,洛阳,本科,经验不限,7月26日,zhilian_direct,职位描述 人工智能 一.工作内容： 1.学习项目规则并对图片、文本、视频、语音等进行研判与标注； 2.根据项目交付要求，对自身工作的质量和效率负责； 3.配合项目经理的培训安排及其他工作安排； 4.工作好上手，满足学历要求基本可以在培训后胜任； 二.人员要求： 本科及以上，熟练使用电脑，对人工智能行业了解并愿意在此行业深耕，学习能力强，有赚钱、成长和晋升的目标 三.公司介绍： 公司目前有700余名全职员工，合作有60余知名甲方，项目多，项目覆盖人工智能OCR、视频、大模型、采集、自动驾驶等标注任务类型 四.薪资待遇： 月综合3-6k 五.工作时间及环境： 1.工作时间： 上午9:00-18:00 2.周末双休 3.法定节假日休息（或加班补助） 4.办公环境一流，交通便利，生活便利 六.其他福利： 1.自身职业规划设计； 2.团建及日常活动； 3.节日福利； 4.生日福利； 5.商业险； 6.专业项目及管理方面培训； 7.其他； 工作地点 洛阳洛龙区顺兴·政和国际-A号楼13层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1271991120J40836474207.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
AI训练师/数据标注,辽宁云码智创数据科技有限公司,4000-6000元,沈阳·皇姑,沈阳,大专,1年以下,7月26日,zhilian_direct,职位描述 图像标注 语音标注 音频标注 视频标注 文本标注 人工智能 软件/IT服务 1. 负责数据的分类和标注。 2. 利用工具进行高效的数据处理。 3. 定期校验数据质量，确保其准确性。 4. 与团队紧密合作，完成标注任务。 5. 有经验者优先。 感兴趣联系我，欢迎加入我们的团队！ 工作地点 皇姑区沈阳腾鹰科技数字产业大厦K3座7楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像标注,语音标注,音频标注,视频标注,文本标注",http://www.zhaopin.com/jobdetail/CCL1513351720J40857306607.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
ai数据标注,数据加(长春)科技有限公司,4000-6000元,长春·宽城·奋进,长春,大专,经验不限,7月26日,zhilian_direct,岗位职责： 1、在操作平台上对各类数据（文本、图片、音频、视频等）进行标注和分类。 2、对图片及视频等内容进行标注，包括人脸、物品、场景等。 3、中文语音文本转写，将听到的音频按照规范进行标注处理。 4、对文本数据按照特定类别进行分词、抽取、判断搜索意图等。 岗位要求： 1、熟练操作电脑、有良好的逻辑思维能力、分析和判断能力。 2、工作认真、细致、有良好的学习能力。 3、愿意在人工智能领域长期发展。 4、有相关标注工作经验者优先。 福利待遇： 1、免费培训、纯文职工作，办公室办公。 2、工作时间：9：00-18：00，午休1小时。 工作地点 长春宽城区北湖未来科学城长新创谷-6号楼(人工智能产业基地)13B层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像标注,语音标注,文本标注,视频标注",http://www.zhaopin.com/jobdetail/CC560737730J40828409301.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
数据标注/AI训练师,烟台斯诺欧迈数据科技有限公司,3000-5000元,烟台·芝罘·黄务,烟台,本科,1年以下,7月26日,zhilian_direct,岗位职责： 搭建工作流 ，测试大模型 看模型输出是否符合预期 以及其他标注相关工作 任职要求： 本科及以上学历 有代码能力优先 懂sql、python以及自动化能力（pe，工作流）等技能优先 有大模型熟练使用经验，撰写指令经验优先 技能：熟练使用excel等基础办公软件 面试后定人力等级及具体薪资 岗位福利： 1、八小时工作制，早10晚七，周末双休 2、缴纳五险，节假日生日均有福利 3、 完善的培训体系，帮助员工快速提升专业技能。 4、 舒适的办公环境和轻松的团队氛围。 工作地点 山东省烟台市芝罘区黄务村烟台电子商务产业园(象山路)兴裕路27号A3座5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1287092640J41011728304.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
数据标注组长,辽宁云码智创数据科技有限公司,5000-8000元,沈阳·皇姑,沈阳,大专,1-3年,7月26日,zhilian_direct,岗位职责: 1. 负责数据标注团队的日常管理与工作分配，确保项目高效推进； 2. 制定并优化数据标注标准和流程，提升标注质量与效率； 3. 协调与项目方的沟通，准确理解标注需求并落地执行； 4. 监督标注数据的准确性与一致性，组织质量检查与反馈修正。 任职要求： 1. 具备良好的组织协调能力和团队管理经验； 2. 对数据敏感，有较强的质量意识和问题解决能力； 3. 具备良好的沟通能力，能与多方高效协作； 4. 工作认真负责，能够在压力下保持稳定输出； 5. 一年及以上数据标注经验，带过团队，熟悉数据标注常见工具和流程，具备项目管理思维。 工作时间早九晚六，周末单双休+法休 工作地点 皇姑区沈阳腾鹰科技数字产业大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"文本标注,图像标注,语音标注,数据分类,数据校验,数据整理",http://www.zhaopin.com/jobdetail/CCL1513351720J40824910207.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
美术数据标注,数据加(长春)科技有限公司,4000-6000元,长春·宽城·奋进,长春,本科,经验不限,7月26日,zhilian_direct,岗位职责：负责大模型图像、视频数据标注，包括美感判断、数据质量筛选、caption修正等项目。 任职要求： 1. 本科及以上学历，美术系或设计系相关专业背景(硬性要求)，有较好的审美水平。 2. 对待工作认真细心，有责任心； 3.具备良好的沟通能力和团队合作精神，能够协同团队共同达成任务。 4.大四或者25应届毕业生均可； 工作地点 长春宽城区北湖未来科学城长新创谷-6号楼(人工智能产业基地)13B层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,图像标注,http://www.zhaopin.com/jobdetail/CC560737730J40831996201.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
数据标注师实习生,宜宾智绘数据科技有限公司,100-200元/天,宜宾·叙州区·赵场街道,宜宾,大专,经验不限,7月26日,zhilian_direct,岗位职责： - 负责对智能驾驶后台数据进行分类和标注工作 -负责小说剧本内容改写，VR模型训练，代码标注、美学图片评判等 - 确保数据质量和标注的准确性 - 遵循既定的工作流程和标准进行作业 -软件开发，英语、数据处理相关专业优先 -有抖音、剪映审核相关知识的优先 岗位要求： - 工作细心，有较强的责任心，为人踏实 工作时间：早上9点下午18点 大小休 有住宿和食堂 不带销售性质、有无经验均可，接受实习，可转正 生日福利、年底双薪、工龄工资、不定期团建...... 工作地点 宜宾市-叙州区-天枢路22号B栋16楼1602号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"写小说 剧本,图像标注,文本标注,视频标注",http://www.zhaopin.com/jobdetail/CCL1503436040J40835983512.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
线上数据标注员,安顺鼎联数据有限公司,120-150元/天,西安·雁塔·丈八沟,西安,学历不限,经验不限,7月26日,zhilian_direct,职位描述 图像标注 人工智能 1、需要学习文档，测试通过进入项目作业。 2、每个项目会给到具体任务，根据任务开展工作。 3、每天可根据自己做的数据统计工作量。 4、薪资为月结，详情由项目负责人统一管理。 展开该职位详情,图像标注,http://www.zhaopin.com/jobdetail/CCL1521072160J40831923016.htm?refcode=4019&srccode=401903&preactionid=6ea5ac7a-924f-467d-bfb1-5ae1252243cb
