job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
产品经理（数据治理方向）,苏州安硕数科数据技术有限公司,9000-17000元,深圳·南山·粤海,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 数据治理项目落地 AMC业务 银行特资不良业务经验 三、任职资格要求 （一）硬性要求 1. 本科及以上学历，3年及以上数据治理产品经理工作经验，有完整的数据治理体系搭建、数据治理产品落地项目经验，有中大型企业数据治理项目经验者优先。 2. 精通数据治理核心模块，熟练掌握主数据治理、元数据治理、数据质量管控、数据标准制定、指标体系搭建、数据权限管理等核心能力，熟悉数据全生命周期治理流程。 3. 具备独立完成数据治理产品PRD撰写、原型设计、需求拆解、方案落地的能力，熟练使用Axure、XMind、Visio等产品工具。 4. 熟悉大数据基础架构，了解数仓分层、数据同步、数据加工基本逻辑，掌握SQL基础，能够看懂数据脚本、理解数据加工规则，可高效对接大数据研发团队。 5. 具备极强的逻辑思维、需求拆解能力和项目推进能力，能够独立统筹跨部门数据治理项目，推动方案落地闭环。 二、岗位工作职责 1. 数据治理体系搭建与落地：负责公司整体数据治理体系的规划、设计与迭代落地，涵盖数据标准、数据质量、数据安全、数据元、主数据、元数据、数据权限全模块治理工作，搭建标准化、规范化、可落地的数据治理流程与制度，解决企业数据杂乱、口径不统一、数据冗余、数据质量差等核心问题。 2. 数据治理产品设计：独立负责数据治理类产品的需求调研、需求分析、方案设计、原型输出、PRD撰写，包括但不限于主数据管理平台、元数据管理平台、数据质量监控平台、数据指标体系平台、数据权限管控平台、数据字典管理工具等，推动产品从0到1搭建及迭代优化。 3. 数据全生命周期管理：统筹数据从采集、接入、加工、存储、使用、共享、归档、销毁的全生命周期治理，制定各环节治理规范，建立数据常态化治理机制，保障企业数据资产的完整性、准确性、一致性、时效性、安全性。 4. 数据指标与口径统一：牵头梳理公司各业务线核心数据指标，搭建统一的企业级指标体系、数据字典和指标口径规范，统一各部门数据统计标准，消除数据孤岛，支撑业务数据分析、报表统计、经营决策的数据准确性。 5. 跨部门协同落地治理：对接业务部门、研发、大数据、运维、风控等相关团队，调研业务数据治理痛点与需求，输出适配业务场景的治理方案，推动治理规则、标准、流程在各业务线落地执行，跟进项目进度，解决落地过程中的各类问题。 6. 数据质量监控与优化：建立数据质量稽核规则、监控机制和问题整改闭环体系，定期排查数据异常、缺失、错误、重复等问题，推动数据问题整改，持续优化数据质量，提升企业数据资产利用率。 7. 数据资产运营与赋能：协助完成企业数据资产盘点、分类、分级管理，推动数据资产化落地，结合业务场景输出数据治理解决方案，支撑数字化运营、精细化管理、智能决策等业务落地。 8. 行业规范与制度迭代：跟进国家、行业数据合规、数据安全相关政策要求，持续优化公司数据治理制度、流程和产品能力，保障企业数据治理工作合规化、标准化运行。 工作地点 深圳湾万象城广东省深圳市南山区科苑南路2888号深圳湾万象城L1华润金融大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理项目落地,AMC业务,银行特资不良业务经验",http://www.zhaopin.com/jobdetail/CC703527320J40866728807.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理工程师（汽车时序数据&供应链数据方向）,上海市新能源汽车公共数据采集与监测研究中心,1-1.5万,上海·嘉定·安亭,上海,本科,1-3年,7月26日,zhilian_direct,职位描述 数据治理 数据库开发 数据仓库 工作内容： 1、协助部门主管开展数据治理相关工作，从数据质量、资产和标准等领域提升公司数据治理能力。 2、重点负责数据质量工作，从制度、流程、技术等方面，联合大数据技术部门和数据接入部门，持续管控和提升汽车时序数据（GB/T 32960）和供应链数据等平台的数据质量。 3、开展数据分析，优化数据质量监测、预警和归因算法等质量模块，提升质量管理系统智能化水平。 任职要求： 1、本科及以上学历，2年以上工作经验或优秀应届生； 2、有丰富的数据分析经验，熟悉掌握SQL、Python； 3、热爱数据治理工作、工作严谨细致、良好的团队合作能力； 4、以下为加分项：有体系化数据管理经验、有汽车和供应链领域相关工作经验、有开源项目经验、有AI数据管理类项目实施经验。 工作地点 嘉定区上海国际汽车城大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据库开发,数据仓库",http://www.zhaopin.com/jobdetail/CC581406530J40875189814.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理工程师,中瑞天成数据管理有限公司,4000-7000元,大连·沙河口·西安路,大连,本科,1-3年,7月26日,zhilian_direct,"职位描述 Python SQL 1、深入理解数据治理的核心领域（DAMA知识体系或国内DCMM模型），包括元数据、数据质量、数据安全、数据标准等。 2、 熟悉大数据生态系统（Hadoop, Hive, Spark等），具备良好的SQL能力。有实际使用主流数据治理工具（如Apache Atlas, DataHub, Collibra, Alation 或国内商业化产品）的经验者优先。 3、具备一定的脚本编程能力（Python/Shell），能进行工具二次开发或自动化脚本编写。 工作地点 大连沙河口区万益花园-80号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Python,SQL",http://www.zhaopin.com/jobdetail/CCL1503422630J40761747314.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理工程师,黑龙江大数据产业发展有限公司,7000-9000元,哈尔滨·香坊·安乐,哈尔滨,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1. 参与集团主数据管理平台和数据中台的建设，负责数据梳理、治理、指标体系建设及数据质量管理。 2. 负责企业核心业务域（组织、人员、客户、供应商、合同、项目等）的主数据标准化、统一管理及分发应用。 3. 设计并优化数据接口及数据流转方案，保障数据共享交换平台（ESB）接口的稳定、高效运行。 4. 根据业务需求进行数据开发与报表分析，支持数据可视化看板和管理决策需求。 5. 协调业务部门和技术团队，确保数据治理项目按计划推进，并对数据治理结果进行汇总、分析和报告。 6. 对数据治理相关工具及平台进行维护、优化和性能调优，保障数据处理效率和数据安全性。 任职要求： 1. 本科及以上学历，计算机、信息管理、数据科学或相关专业优先。 2. 5年以上大数据或数据治理相关工作经验，有大型企业主数据或数据中台项目经验者优先。 3. 熟悉大数据相关技术栈（Hadoop、Spark、Hive、HBase、Kafka、Redis等），熟练掌握SQL、存储过程。 4. 有数据中台、MDM（主数据管理）、ESB（企业服务总线）平台的建设或运维实操经验。 5. 熟练使用Python/Perl/Java等编程语言进行数据开发和处理。 6. 熟悉Oracle、PG、MySql、DM、海量等数据库及Linux操作系统，具备数据库设计和优化能力。 7. 具备数据分析、数据质量管理及指标体系建设经验，能够独立梳理业务数据模型。 8. 良好的沟通协调能力，能够与业务部门和技术团队协作推动数据治理项目落地。 9. 具备责任心、抗压能力及较强的学习能力，能够快速适应复杂数据环境。 工作地点 香坊区联东U谷·哈尔滨香坊科技创新谷48栋 大数据公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数据治理,http://www.zhaopin.com/jobdetail/CC531499030J40837744611.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理工程师,四川数据集团有限公司,面议,成都·武侯·桂溪,成都,硕士,经验不限,7月26日,zhilian_direct,岗位职责： 1.负责参与制定并持续完善公司数据治理战略、框架、政策、标准与管理流程。 2.负责推动数据治理策略与标准在业务部门及IT系统中的有效落地与执行。 3.负责设计并实施数据质量监控体系，定义质量标准与规则，并持续进行质量评估。 4.负责数据质量问题的识别、根因分析，并协调推动问题的解决与闭环管理。 5.负责建立与维护企业元数据管理体系、数据资产目录（如数据字典、血缘图）。 6.负责参与制定并执行数据安全与合规策略，确保符合法律法规与内部要求。 7.负责参与规划、建设、优化与维护数据治理相关工具平台，提升治理自动化水平。 8.负责设计与优化数据生命周期管理流程，并推动建立高效的数据共享机制。 9.负责完成公司交办的其他工作。 任职资格： 1.2026届统招研究生及以上学历应届生（“双一流”高校优先），计算机科学、软件工程、数学、统计学等相关专业。持有软考高级证书优先。中共党员优先。 2.对大数据技术体系有浓厚兴趣并具备一定知识储备；在学校课程、个人项目或实习中接触过数据处理流程（如数据清洗、建模）；拥有大数据平台（如数据仓库、数据湖）相关的项目或实习经验，有数据治理、数据中台相关经验者优先。 3.熟悉SQL及数据库基本原理；了解Hadoop、Spark、Flink、Hive等至少一种大数据组件（熟练掌握两种及以上者优先）；至少掌握Java/Python一门编程语言。 4.精通大数据处理相关技术，能独立完成数据清洗、建模等基础数据处理工作。 5.具备出色的逻辑思维、数据敏感度和业务理解能力；拥有卓越的沟通表达、解决问题、跨团队协作能力及强烈的责任心。 备注： 1.请实名投递简历，否则视为放弃应聘资格。 2.报名提交材料：本人近期免冠2寸彩照、身份证、学历学位证书、学历证书电子注册备案表、技术职称证书、职（执）业资格证书、奖励证书、工作业绩证明、任职文件等材料电子件或pdf扫描件。如有多段教育经历的，均应提供相应学历（学位）证书；国（境）外留学归来人员报考的，应出具已取得的教育部相关国（境）外学历学位认证书。电子资料须清晰可辨，报名材料恕不退还，四川数据集团将对应聘者信息严格保密。 工作地点 成都武侯区瑞鑫时代大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数据治理,http://www.zhaopin.com/jobdetail/CCL1235621810J40880585605.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理与AI应用开发工程师,深圳日彤大数据有限公司,2-4万,深圳·罗湖·翠竹,深圳,本科,3-5年,7月26日,zhilian_direct,岗位职责 1.负责数据治理体系搭建，涵盖数据采集、清洗、整合、标准化全流程，搭建高效数据资产目录，保障数据质量、安全与可用性，支撑业务决策与系统建设。 2.主导核心系统建设，基于业务需求设计架构方案，推进系统开发、部署与迭代优化，解决系统运行中的技术瓶颈与兼容性问题，确保系统稳定高效运行。 3.负责AI应用全流程开发，包括AI模型选型、调用与微调，搭建AI工作流、MCP（模型连接协议）及Skill（技能模块），实现AI能力与业务场景深度融合，开发落地实用的AI应用工具。 4.参与技术方案评审与落地，结合业务痛点提出创新性技术解决方案，发挥主观能动性推进项目进展，保障项目按时高质量交付。 5.持续跟进数据治理、系统建设、AI领域前沿技术动态，优化现有技术栈，推动团队技术能力提升，承担部分技术文档撰写与知识沉淀工作。 三、任职要求 （一）专业技能 1.精通ES（Elasticsearch）数据库的设计、优化与运维，熟练掌握数据索引构建、查询优化、集群管理等操作，具备大规模数据检索与分析实战经验。 2.熟练掌握Python、Go、编程语言，具备扎实的编程基础，能独立完成复杂业务模块开发、调试与优化，熟悉常用开发框架与工具链。 3.深度熟悉AI技术栈，精通AI模型调用、部署与微调，熟练搭建AI工作流、MCP及Skill模块，能独立完成AI应用从需求分析到落地上线的全流程开发。 4.具备数据治理实战经验，熟悉数据资产梳理、数据质量管控、数据安全合规等核心流程，有政府、公安领域数据治理项目经验者优先。 5.熟悉系统架构设计与开发，能独立完成业务系统的需求分析、架构设计、开发部署与运维优化，具备跨系统集成、接口开发能力。 6.有政府、公安相关系统开发经历者优先，熟悉相关领域业务流程与合规要求。 （二）综合素质 1.身体健康，能适应高强度工作节奏。 2.工作态度积极主动，具备强烈的工作热情与责任心，吃苦耐劳，能承受一定工作压力。 3.具备良好的问题解决能力与创新思维，面对技术难题能主动排查、分析并寻找解决方案，善于发挥主观能动性推动工作进展。 4.具备良好的沟通协作能力，能与业务团队、技术团队高效配合，推进项目落地。 5.具备持续学习能力，主动跟进数据治理、系统建设、AI领域技术前沿，快速适配技术迭代与业务发展需求。 （三）其他要求 1.工作地点：深圳，长期驻深工作。 2.具备政府、公安领域相关项目开发经验者优先录用。 四、薪资待遇 1.薪资范围：面议，根据候选人能力与经验面议，能力优异者可突破上限。 2.福利保障：缴纳五险、法定节假日福利。 3.成长支持：定期组织技术培训、行业交流活动，提供清晰的职业晋升通道与技术成长路径。 4.其他福利：节日福利、定期团建、餐补、交通补贴。 五、招聘流程 1.简历投递：筛选符合基本条件的简历，邀请参加笔试。 2.笔试考核：重点考察数据治理、ES数据库及分布式分析型数据库、Python/Go编程、AI技术等专业知识。 3.面试环节：技术面试（深入考察技术实战能力、项目经验）+ 综合面试（评估综合素质、工作态度）。 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。 工作地点 深圳罗湖区文锦广场-A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Elasticsearch,数据治理",http://www.zhaopin.com/jobdetail/CCL1225736220J40927069408.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
高级数据治理工程师,数据盾牌(北京)技术服务有限公司,1.5-1.8万,北京·丰台·六里桥,北京,本科,5-10年,7月26日,zhilian_direct,岗位职责】 1. 数据治理体系搭建 ----负责企业级数据标准、数据质量、数据安全及主数据管理体系的规划与落地实施，制定相关规范与流程。 ----主导主数据（MDM）的梳理和模型设计，确保主数据的质量，能够设计主数据管理和实施方案。 2.数据模型与仓库开发 ----设计企业级统一数据模型，主导主题库、专题库的架构设计与开发，支撑业务分析场景。 ----负责数据仓库分层建模（ODS/DWD/DWS/ADS）、ETL开发及性能优化。 3.数据平台工具应用 ----熟练运用大数据平台（如Hadoop/Spark/Flink）及数据治理平台（如Informatica、Collibra等）解决复杂数据问题。 ----参与数据资产目录建设，推动数据资产化与服务化。 4.全流程文档管理 ----编写技术方案、数据标准文档、模型设计方案等。 5.跨团队协作 ----协同业务、数仓、安全团队，推动数据治理与数据开发规范的落地执行。 【任职要求】 1. 基础能力：本科及以上学历，计算机、数学、统计等相关专业，5年以上数据开发或治理经验。 2. 技术能力： 2.1 数据治理经验：精通数据标准、数据质量、数据安全及主数据管理实施方法论，有MDM项目成功案例。 2.2 数据开发能力：熟练使用HIVE SQL/Python/Scala，精通ETL开发及调度工具（如DataX、Airflow）。 2.3 熟悉数据仓库建模（范式建模、维度建模、Data Vault等）及性能调优。 3. 平台工具： 熟悉Hadoop/Spark/Hive等大数据技术栈，了解数据治理平台（如Atlas、Alation等）。 熟悉主流数据库（Oracle/MySQL/Greenplum等）及云数据平台（AWS/Azure/阿里云）。 4.软性要求 具备较强的文档编写能力，能输出高质量技术方案与规范文档。 逻辑清晰，沟通能力强，能主导跨部门协作项目。 5. 优先条件 有交通、能源、政务等行业数据治理经验者优先。 持有CDMP、数据治理相关认证者优先。 能接受出差者优先。 工作地点 北京市-丰台区-六里桥南里甲9号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数据治理,http://www.zhaopin.com/jobdetail/CCL1510518190J40766335106.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
咨询顾问（数据治理）,美林数据技术股份有限公司,2-3万,北京·丰台·玉泉营,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1. 客户需求调研与分析 1）负责数据治理类项目的前期调研，深入客户业务场景，通过访谈、问卷、文档分析等方式，精准识别客户在主数据管理、数据架构、数据质量等方面的痛点。 2）梳理客户现有数据资源和数据资产现状，评估其数据管理成熟度，为后续方案设计提供依据。 2. 解决方案设计与编制 1）基于客户需求及行业最佳实践，主导设计数据治理、数据资源规划、主数据管理等领域的整体解决方案。 2）负责编制项目可研报告、建设方案、实施方案等专业技术文档，确保方案的先进性与可落地性。 3. 售前支持与招投标 1）配合销售团队进行售前交流，向客户高层或技术团队汇报方案价值，进行技术答疑与引导。 2）主导招投标工作，包括标书解读、投标文件（技术分册/商务分册）撰写、投标答疑及现场述标/答辩，确保项目成功签约。 【任职要求】 1. 基础资格 1）统招本科及以上学历，计算机科学、信息管理、统计学或相关专业。 2）3年以上数据治理、数据资源规划或数据管理相关工作经验。 2. 专业技能 1）理论功底扎实：深刻理解主数据管理（MDM）、元数据、数据架构、数据标准、数据质量、数据安全等数据治理核心领域的概念及方法论。 2）方案能力突出：具备优秀的文档撰写能力，能够独立完成高质量的咨询方案、建设方案及PPT汇报材料；熟悉招标参数编制流程，有实际编写经验。 3）熟悉标准规范：熟悉部分国际/国家/行业数据管理标准（如DAMA、DCMM、ISO 8000或特定行业的元数据/主数据标准）。 3. 项目与行业经验 1）经验优先：参与过集团型企业的业务规划和数据资源规划项目者优先；具有大型数据治理项目落地（包括数据清洗、贯标）经验者优先。 2）行业视野：对特定行业（如制造、能源、金融、政务等）的数据架构和数据模型有一定了解者优先。 4. 综合素质 1）沟通与抗压：具备出色的沟通协调能力，能够与客户中高层及技术人员有效对话；具备强烈的责任心和抗压能力。 2）适应出差：能够接受项目需要的中短期出差，深入客户现场开展工作。 工作地点 北京丰台区丰汇中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"主数据,数据治理,数据挖掘,咨询,需求分析工程师",http://www.zhaopin.com/jobdetail/CC200911980J40328786415.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
国际数据治理与合作研究岗,国家数据发展研究院,1-2万,北京·西城·展览路,北京,硕士,经验不限,3月12日,zhilian_direct,职位描述 技术服务 岗位介绍：负责数字经济领域国际规则、治理机制与合作战略研究；跟踪全球主要国家数字政策、国际组织动态及多双边协定进展；策划与推进上海合作组织等框架下的数字经济国际合作项目，承担合作备忘录（MoU）签署、政府间对话机制筹备等专项国际合作工作。 专业要求：经济学类（02）、法学（0301）、政治学（0302）、外国语言文学（0502） 、新闻传播学（0503） 、翻译（0551）、数学（0701）、 电子科学与技术（0809）、 信息与通信工程（0810）、控制科学与工程（0811） 、 计算机科学与技术（0812）、软件工程（0835） 、 网络空间安全（0839）、电子信息（0854）、 管理科学与工程（1201）、 工商管理学（1202）、 公共管理（1204、1252）、 信息资源管理（1205）、遥感科学与技术（1404）、区域国别学（1407）等相关专业 工作地点 北京西城区月坛北小街-2号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,技术服务,http://www.zhaopin.com/jobdetail/CCL1493930120J40843372010.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
数据治理资深工程师9709,健合(中国)有限公司,1.3-1.8万·14薪,广州·黄埔·联和,广州,本科,3-5年,7月26日,zhilian_direct,岗位职责: 1、独立探索新技术和解决方案，促进团队内部提效 2、在指导下跟业务团队合作梳理当前流程，输出流程优化方案 3、在指导下识别和梳理主数据/数据治理管理流程 4、独立制定单一业务域的技术架构规范，输出并维护技术规范文档 5、在指导下制定企业主数据/数据治理管控模式和管理办法等 任职资格: 1、本科及以上学历，2年及以上相关经验，计算机、数学、理工科相关专业 2、了解数据治理方法论和企业数据标准规范 3、熟悉商业领域，包括供应链、制造、销售和市场 4、熟悉业务语言并能熟练用中英文跟业务用户沟通 5、优秀的沟通能力。 6、优秀的计划、分析、组织和解决问题的能力。 7、结构化的思维方式和快速的学习能力 工作地点 广州黄埔区健合(中国)有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数据治理,http://www.zhaopin.com/jobdetail/CC136167500J40832093807.htm?refcode=4019&srccode=401903&preactionid=626ee212-8c64-4f76-afce-370a39041ed8
