job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
中级数据通信工程师,西安乾多聚通信技术有限公司,1-1.6万,西安·未央·张家堡,西安,本科,3-5年,7月26日,zhilian_direct,职位描述 网络协议 数据通信 CCNP H3CNE H3CSE 网络运维监控 网络设备配置调试 网络安全架构优化 工作职责 1. 负责企业数据通信网络的日常运维与监控，保障网络链路的稳定运行。 2. 参与数据通信设备（交换机、路由器、防火墙等）的配置、调试与故障排查。 3. 协助制定网络安全策略，优化网络架构以提升数据传输效率与安全性。 4. 配合团队完成通信系统的升级与扩容，编写技术文档与操作手册。 任职要求 1. 统招本科及以上学历，计算机、通信工程等相关专业。 2. 具备2-5年数据通信领域工作经验，熟悉TCP/IP、OSPF、BGP等主流通信协议。 3. 掌握华为、华三或Cisco等厂商设备的配置与管理，持有CCNP、HCNP等认证者优先。 4. 具备较强的问题分析能力，能独立解决网络通信中的常见故障。 5. 良好的团队协作能力与沟通能力，能配合跨部门完成技术支持工作。 工作地点 西安市-未央区-赛高悦府西北100米(凤城七路北)1109 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络协议,数据通信,CCNP,H3CNE,H3CSE,网络运维监控,网络设备配置调试,网络安全架构优化",http://www.zhaopin.com/jobdetail/CCL1502569850J40862871009.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,陕西盛利瑞祥建筑劳务有限公司,6000-9000元,西安·新城·中山门,西安,大专,经验不限,7月26日,zhilian_direct,职位描述 网络协议 Linux 通信设备装维 通信项目管理 工作职责 负责建筑项目现场数据通信系统的方案设计、设备安装与调试工作。 保障通信网络的稳定运行，及时排查并解决链路中断、信号干扰等技术故障。 配合项目团队完成通信设备的日常维护与性能优化，确保数据传输的安全性与可靠性。 任职要求 大专及以上学历，通信工程、计算机网络等相关专业优先。 熟悉数据通信原理，掌握交换机、路由器等网络设备的配置与调试技能。 具备工程现场工作经验，能适应项目驻场的工作模式，具备较强的问题解决能力。 工作地点 西安市-新城区-东大街119号5层5006 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络协议,Linux,通信设备装维,通信项目管理",http://www.zhaopin.com/jobdetail/CCL1513431230J40864916107.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,四川晟成机械设备有限公司,6000-12000元,成都·武侯·晋阳,成都,本科,1-3年,7月26日,zhilian_direct,职位描述 网络协议 数据通信 工业通信系统维护 网络故障排查 技术支持与培训 工作职责： 1. 负责公司机械设备数据通信系统的搭建、调试与日常维护，保障设备间数据传输的稳定可靠。 2. 对接设备厂商与客户，解决设备联网、数据交互过程中的技术问题，提供现场或远程技术支持。 3. 参与通信网络架构优化，制定数据传输安全策略，防范数据泄露与传输中断风险。 4. 整理设备通信技术文档，为销售与售后团队提供技术培训支持。 任职要求： 1. 本科及以上学历，通信工程、计算机网络等相关专业。 2. 熟悉TCP/IP、Modbus、Profinet等工业通信协议，具备数据通信系统部署经验。 3. 掌握网络设备（交换机、路由器）配置，能独立排查网络通信故障。 4. 具备良好的沟通能力与问题解决能力，能适应出差或现场技术支持工作。 工作地点 成都武侯区晋吉西一街66-1栋附117号附近 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络协议,数据通信,工业通信系统维护,网络故障排查,技术支持与培训",http://www.zhaopin.com/jobdetail/CCL1512159050J40957025915.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
初级数据通信工程师,西安乾多聚通信技术有限公司,4000-8000元,西安·未央·张家堡,西安,本科,1-3年,7月26日,zhilian_direct,职位描述 网络交换技术 网络协议 网络运维监控 网络设备配置调试 网络安全策略执行 工作职责： 1. 负责企业局域网、广域网的日常运维与监控，保障网络链路的稳定运行。 2. 协助完成路由器、交换机等网络设备的配置、调试与故障排查。 3. 参与网络安全策略的执行，定期进行设备巡检与日志分析。 4. 配合团队完成网络升级与扩容项目，整理技术文档与操作手册。 任职要求： 1. 本科及以上学历，计算机、通信工程等相关专业。 2. 熟悉TCP/IP协议栈，掌握路由器、交换机的基础配置原理。 3. 了解网络故障排查流程，能独立处理常见的网络连接问题。 4. 具备良好的学习能力与沟通能力，能快速适应团队协作节奏。 工作地点 西安市-未央区-赛高悦府西北100米(凤城七路北)1109 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络交换技术,网络协议,网络运维监控,网络设备配置调试,网络安全策略执行",http://www.zhaopin.com/jobdetail/CCL1502569850J40862870109.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,甘肃麟和电子科技有限责任公司,6000-12000元,兰州·城关区·张掖路街道,兰州,大专,5-10年,7月26日,zhilian_direct,岗位职责： 1、配合销售团队完成技术咨询项目全周期工作：从需求识别、项目引导、咨询项目交付及后续支撑等工作； 2、技术支持服务为客户提供架构规划服务：从现状调研、客户访谈到需求分析，向客户进行方案设计、技术、培训等。 3. 负责华为数通网络设备、光传输设备现场督导、调试、业务开通、网络联调与日常运维； 4. 排查网络及传输链路故障，处理设备告警、业务中断、传输误码等现场问题，保障网络稳定运行； 5. 完成项目资料整理、测试报告出具、项目验收对接等相关工作； 岗位要求： 1. 大专及以上学历，通信、网络、电子信息、计算机相关专业优先； 2. 5年以上网络、光传输交付工作经验； 3. 具备HCIP证书，HCIE技术证书优先； 4. 熟练掌握相关厂商网络设备的常用特性调测及复杂问题排错技能； 5. 工作认真负责，抗压能力强，具备良好的现场沟通能力与问题应急处理能力； 6. 服从公司统一调度，能够接受国内外出差。 薪资福利： 1. 薪资：底薪+绩效+海外驻外补贴+证书补贴，薪资面议； 2. 福利：缴纳五险一金，享受带薪年假、节日福利、年度体检； 3. 发展：完善内部技术培训，清晰的技术岗晋升通道，支持员工职业能力提升。 工作地点 兰州城关区泰生大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,光传输、数通,http://www.zhaopin.com/jobdetail/CCL1500081050J40817849501.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
初级数据通信工程师,四川晟成机械设备有限公司,5000-9000元,成都·武侯·晋阳,成都,本科,1-3年,7月26日,zhilian_direct,职位描述 数据通信 网络交换技术 网络设备运维 故障排查处理 技术文档整理 工作职责 1. 负责公司数据通信设备（如交换机、路由器）的日常巡检与维护，保障网络链路稳定。 2. 协助处理通信系统故障，快速定位并解决网络连接、数据传输等问题。 3. 参与通信设备的配置与调试，确保设备符合业务需求。 4. 整理设备维护记录，形成技术文档，为系统优化提供数据支持。 任职要求 1. 本科及以上学历，计算机、通信工程等相关专业。 2. 掌握数据通信基础原理，熟悉常见网络设备（交换机、路由器）的操作。 3. 具备一定的设备故障排查能力，能独立处理基础网络问题。 4. 学习能力强，有良好的沟通能力与团队协作精神。 工作地点 成都武侯区晋吉西一街66-1栋附117号附近 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据通信,网络交换技术,网络设备运维,故障排查处理,技术文档整理",http://www.zhaopin.com/jobdetail/CCL1512159050J40957024215.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,西安迅华信息科技有限公司,6000-8000元,西安·雁塔·丈八沟,西安,学历不限,经验不限,7月26日,zhilian_direct,职位描述 HCIA HCIP 网络交换技术 网络协议 岗位内容： 1. 负责设计、和测试数据通信产品，并确保产品质量和性能指标达标； 2. 根据市场需求和客户反馈，进行产品优化和功能更新； 3. 参与制定公司数据通信产品的策略和规划； 4. 与跨部门团队紧密配合，实现产品成功上市。 任职要求： 1. 具备计算机科学及通信原理知识，熟练掌握数据通信行业前沿技术； 2. 具备独立完成产品开发的能力，熟悉相关的软件开发流程和工具； 3. 具备较强的市场洞察力和逻辑思维能力； 4. 良好的团队合作精神和沟通能力，能够有效管理项目进度和质量。 工作地点 西安雁塔区科技二路72号零壹广场B座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"HCIA,HCIP,网络交换技术,网络协议",http://www.zhaopin.com/jobdetail/CC523599630J40670093115.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,企会帮(南京)科技有限公司,5000-8000元,南京·沿江,南京,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1. 负责通信网络系统的设计、部署、调试与优化，保障数据传输稳定性与安全性 2. 开展5G、光纤通信、无线接入等主流通信技术的方案实施与故障排查 3.编写技术文档、测试报告及运维手册，支持项目交付与客户培训 4. 配合研发与工程团队完成通信设备联调、协议对接及性能验证 5. 跟踪通信行业技术发展，参与新技术试点与标准化 落地 任职要求： 1. 通信工程、电子信息、计算机等相关专业背景，学历不限 2. 熟悉TCP/IP、OSI模型、PTN/OTN、SPN等通信协议与网络架构 3. 具备通信设备（如华为、中兴、烽火等）操作经验者优先 4. 具备良好的逻辑分析能力与跨部门协作意识 5. 持有CCNA、HCIA、PMP或通信类职业资格证书者优先 工作地点 南京市-浦口区-丽景路7号1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,通信技术工程师,http://www.zhaopin.com/jobdetail/CCL1391421530J40887231513.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,广州市博立信息科技有限公司,6000-10000元,广州·黄埔·联和,广州,本科,1-3年,7月26日,zhilian_direct,"职位描述 验收 售前 售后 设计方案 防火墙 标书制作 交换机 服务器 通信行业 安全 HCIA 工作时间：上午9：00-12：30，下午13：30-18：00，周末双休，国家节假日。 工作内容： 1、参与项目的工程实施，包括站点调试、验收等； 2、负责配合销售人员与客户沟通交流项目规划与建设并能够独立设计网络与输出整体设计方案； 3、负责项目的售前、售中、售后的跟进，并能够按照公司项目规范流程进行实施与对外服务。 任职要求： 1、本科及以上学历，持有华为HCIP认证或其它同等级认证优先； 2、熟悉华为/华三/锐捷/思科厂商防火墙、AR系列路由器，交换机，无线WLAN等产品，有数据产品调试 1 年以上工作经验优先, 了解项目投标与标书制作优先； 3、有华为通讯产品认证者优先，有安全、数通学习经验的优先考虑； 4、具备良好的沟通协调能力和技巧，优秀的团队协助能力，有强烈的工作责任心，服从安排； 5、对通信行业感兴趣，热爱本工作，要求工作稳定性强； 6、勇于接受挑战勤于思考，有较强独立的自学能力与抗压能力优先。 工作地点 黄埔区广州绿地中央广场A1栋2407-2408 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","验收,售前,售后,设计方案,防火墙,标书制作,交换机,服务器,通信行业,安全,HCIA",http://www.zhaopin.com/jobdetail/CC242824010J40941317508.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
数据通信工程师,武汉新楚电力集团有限公司,6000-10000元,乌鲁木齐·沙依巴克区·友好南路街道,乌鲁木齐,大专,1-3年,7月26日,zhilian_direct,"职位描述 通信项目管理 通信设备装维 通信接口/总线 主要进行国家电网通信工程、升压站辅控现场的勘察、设计、编制，现场施工，设备维护,任职资格：1熟悉弱电工程、系统集成、通信工作等，动手能力强；2、负责与相关技术人员、工程人员、项目管理人员对接工作，提供必要的协助和支持；3、根据项目需要能适应出差到项目地一线工作；4、能熟练调试华为传输设备(OSN2500/3500)、中兴传输设备(S330/385),熟练操作T2000/ U2000网管、网络安全监测设备调试；独立完成过项目交付；5、熟悉交换机路由器等相关设备(如H3C、华为等);熟悉电力行业的纵向加密设备(如南瑞兴唐科东等)6、参与过机房建设，有独立分析问题和解决问题的能力;7、具备相关资格证书;有二到三年以上电力通信行业经验;8、整理技术支持、用户培训用文档；岗位要求：1、理工科毕业，计算机、自动控制、通信、电力等相关专业，专科以上学历；2、有相关工作经验；3、熟悉AutoCAD\office办公软件 工作地点 乌鲁木齐沙依巴克区天一大厦-B座友好路天一大厦B座1702室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","通信项目管理,通信设备装维,通信接口/总线",http://www.zhaopin.com/jobdetail/CC383352730J40781775908.htm?refcode=4019&srccode=401903&preactionid=77728023-c91b-4651-9403-91387d52140c
