job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据采集,河南云数大数据科技有限公司,4000-8000元,郑州·中原·石佛,郑州,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、负责数据的收集、整理和统计分析； 2、执行数据预处理操作，确保数据质量和格式符合要求； 任职要求： 1、具备良好的数据分析能力和统计学知识； 2、良好的团队合作精神和沟通能力，能够高效协作； 工作地点 郑州中原区联东U谷 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,云计算,http://www.zhaopin.com/jobdetail/CCL1413242990J40780877510.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集专员,吉林省九烨数据科技有限公司,3000-6000元,长春·朝阳·重庆,长春,学历不限,经验不限,7月26日,zhilian_direct,职位描述 销售 销售专员 人工智能 1、负责公司产品的市场推广与销售工作，完成业绩目标； 2、积极开拓新客户资源，维护现有客户关系，提升客户满意度； 3、收集市场反馈信息，了解客户需求，提供针对性解决方案； 4、配合团队完成销售流程中的各项支持工作，推动项目落地。 工作地点 长春朝阳区西安大路569号四楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"销售,销售专员",http://www.zhaopin.com/jobdetail/CCL1526032370J40829449016.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
具身智能数据采集,外企德科数字技术有限公司,8000-10000元,北京·朝阳·东湖,北京,大专,经验不限,7月26日,zhilian_direct,岗位职责 1. 操作不同的VR/ 机器人设备，在实验室、仓库、商场、办公、家居等多场景中采集数据，确保动作自然、标注精准； 2. 熟悉数据管理流程，能够在采集过程中对数据进行初步筛选和整理，兜底数据质量； 3. 与算法、机械、数据运营团队深度协作，及时反馈设备bug，采集策略改进点和数据异常问题，并根据需求方的反馈，搭建采集场景和形成SOP。 岗位基本需求 1. 大专以上学历，无晕动症、心脏病、幽闭恐惧等不适合穿戴VR设备或长时间站立或运动的疾病。耐受重复性工作压力，能按照完成8小时/天的连续采集； 2. 手眼协调能力强，能按指令准确复现动作，具备良好的空间感与精细动作控制力，能熟练操作机械夹爪完成平移、翻转、抓取等复合动作； 3. 需求理解能力强，能主动思考，反馈数据采集流程中的Bug或者提效点 特殊说明 【视业务情况，可能存在采集时间延长/进行夜间采集的需要，时长较长时会相应提供弹性打卡】 加分项： 1. 有具身数据标注、动捕或机械臂操作经验者。能熟练使用VR设备、动捕系统或机械臂操控界面，能快速掌握新设备操作流程； 2. 对机器人、具身智能或自动驾驶行业有浓厚兴趣，能长期任职； 3. 摄影、短视频拍摄经验者，对构图与光线有良好感觉； 4. 有理工科、体育、康复、护理、舞蹈、形体表演背景。 工作地点 北京朝阳区恒电大厦-B座1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,机械臂,http://www.zhaopin.com/jobdetail/CCL1480117890J40883157705.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集员 6-12k+单人宿舍+五险+餐补+福利,郑州常青农业装备有限公司,6000-12000元,郑州·金水·祭城路,郑州,大专,1-3年,7月26日,zhilian_direct,职位描述 专用设备制造 产业互联网平台 互联网电商 工作内容： 1、负责对公司相关文章视频进行各个网络平台转发； 2、负责网络平台相关信息搜集、整理、统计、分析、归类、反馈、汇报； 3、负责网络平台点赞评论回复； 4、公司安排的临时性工作事宜； 5、工作内容简单，入职培训，上手快，接受小白，不要求工作经验； 6、提供丰富技能培训，可转岗至更有发展前景的岗位 例如运营岗； 7、服从领导管理，较高的薪酬绩效体系，完善的培训体系，有专门培训人员进行培训； 8、认真负责的HR提供工作及生活上的帮助，工作氛围良好，无勾心斗角，团队年轻化，无障碍沟通。 薪资福利： 1：转正后无责底薪4K-6K（绩效奖金另行计算，待遇丰厚），具有完善的绩效制度，三月后，新人单奖金可达到8K-10K，综合收入高 2：下午茶歇（零食+奶茶） 3：免费充电（电动车免费充电） 4：节日福利 5：职工餐厅（享受员工餐补，一天三餐 10元左右，） 6：职工培训（有专职培训人员进行培训+培训体系建全） 7：免费单人宿舍（无房租压力，水电费自理） 8：早八晚六 工作地点 郑州金水区河南企业联合大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"专用设备制造,产业互联网平台,互联网电商",http://www.zhaopin.com/jobdetail/CCL1507155740J40907518503.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集专员,吉林省九烨数据科技有限公司,4000-8000元,长春·朝阳·重庆,长春,大专,1-3年,7月26日,zhilian_direct,岗位职责】 1、负责公司产品的市场推广与销售工作，完成业绩目标； 2、负责B端与C端客户维护，产品使用培训，数据质量把控与交付！ 3、积极开拓新客户资源，维护现有客户关系，提升客户满意度，了解客户需求，提供针对性解决方案； 4、收集市场反馈信息与问题，及时提交相关部门； 5、配合团队完成销售流程中的各项支持工作，推动项目落地。 【任职要求】 1、销售经验一年以上，学历专科以上； 2、具备良好的沟通表达和与学习能力，能够独立开展客户洽谈，有一定的PPT呈现能力； 3、有较强的目标感和抗压能力，工作积极主动，责任心强； 4、有服务意识，愿意在实践中不断提升专业能力。 薪资待遇: 无责底薪3.5K+高佣提成，五险，双休法休 工作地点 长春朝阳区西安大路569号4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,技术服务,http://www.zhaopin.com/jobdetail/CCL1526032370J40831876116.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
机器人数据采集员（港区项目）+轮休4天+社保,河南豫乾技术转移中心有限公司,4000-5000元,郑州·新郑·和庄,郑州,中专/中技,经验不限,7月26日,zhilian_direct,职位描述 机器人 数据采集 人工智能 【新郑急招】 目前不接受短期工！！ 工作内容：穿戴设备操作机器人，按规范采集数据，一人一机，简单易上手 中专及以上，会基本电脑，细心认真 薪资：3250 元 / 月起（2400 底薪 + 700 绩效+房补150+提成） 时间：【8:30-12:00】，下午【13:00-18:30】，月轮休 4 天 社保：入职30天内缴纳 流程：线下面试→面试通过→ 商定开始培训时间(2 天)→ 培训结束通过岗前考核后明确入职时间，办理入职→入职报道 培训期间，无薪资，无午餐，入职当天开始计薪（正式入职后含午餐 ） 前期过渡期综合月薪3000左右，熟练后加上奖励提成综合有5-6k； 每月15-20号发薪，节假日顺延 工作地点 郑州广东华隧建设集团新郑市大应急产业园及配套基础设施建设项目 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器人,数据采集",http://www.zhaopin.com/jobdetail/CC550450030J40988205602.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集员 6-12k+单人宿舍+五险+餐补+福利,郑州常青农业装备有限公司,6000-12000元,郑州·荥阳,郑州,大专,1-3年,7月26日,zhilian_direct,职位描述 专用设备制造 产业互联网平台 互联网电商 工作内容： 1、负责对公司相关文章视频进行各个网络平台转发； 2、负责网络平台相关信息搜集、整理、统计、分析、归类、反馈、汇报； 3、负责网络平台点赞评论回复； 4、公司安排的临时性工作事宜； 5、工作内容简单，入职培训，上手快，接受小白，不要求工作经验； 6、提供丰富技能培训，可转岗至更有发展前景的岗位 例如运营岗； 7、服从领导管理，较高的薪酬绩效体系，完善的培训体系，有专门培训人员进行培训； 8、认真负责的HR提供工作及生活上的帮助，工作氛围良好，无勾心斗角，团队年轻化，无障碍沟通。 薪资福利： 1：转正后无责底薪4K-6K（绩效奖金另行计算，待遇丰厚），具有完善的绩效制度，三月后，新人单奖金可达到8K-10K，综合收入高 2：下午茶歇（零食+奶茶） 3：免费充电（电动车免费充电） 4：节日福利 5：职工餐厅（享受员工餐补，一天三餐 10元左右，） 6：职工培训（有专职培训人员进行培训+培训体系建全） 7：免费单人宿舍（无房租压力，水电费自理） 8：早八晚六 工作地点 荥阳市郑州中联收获机械有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"专用设备制造,产业互联网平台,互联网电商",http://www.zhaopin.com/jobdetail/CCL1507155740J40907518703.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集员,吉林省九烨数据科技有限公司,3000-5000元,长春·朝阳·重庆,长春,大专,1-3年,7月26日,zhilian_direct,岗位职责】 1、负责公司产品的市场推广与销售工作，完成业绩目标； 2、积极开拓新客户资源，维护现有客户关系，提升客户满意度； 3、收集市场反馈信息，了解客户需求，提供针对性解决方案； 4、配合团队完成销售流程中的各项支持工作，推动项目落地。 【任职要求】 1、销售经验一年以上，学历专科以上； 2、具备良好的沟通表达和与学习能力，能够独立开展客户洽谈； 3、有较强的目标感和抗压能力，工作积极主动，责任心强； 4、对销售工作有热情，愿意在实践中不断提升专业能力。 工资待遇：底薪3.5k＋高佣金提成，双休法休 工作地点 长春朝阳区西安大路569号香格里拉酒店4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1526032370J40829826216.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
【实习】社区入户数据采集员（机器人项目）,外服(浙江)企业服务有限公司,150-200元/天,石家庄·裕华·方村,石家庄,高中,经验不限,7月26日,zhilian_direct,职位描述 实习证明 数据抽取 数据采集 数据入库 数据安全 一线工厂 实操动手 人工智能 专用设备制造 工业自动化/机器人 电气机械/电力设备 【短期项目，具体要看项目推进情况而定，3个月实习合同，1个月试用期不打折，至少能干到9月中旬】 工作地点：河北省石家庄市裕华区方村镇，方村嘉苑1期-5期、恒大雅苑1期-2期、众美城等相邻小区，具体可能会有变动，以入职通知地点为准 实习工资：160元/天，签署实习协议，2个月起开具实习证明（若选择加班给予加班费，工作日1.5倍，周末2倍，法定节假日3倍） 工作时间：8点半 - 19点半之间（中间有休息时间1.5H，具体上班时间得以入户家庭提供的准确时间为准），工作时长是8个小时，周末和法定节假日正常休假 工作内容：操控家政机器人入户社区家庭进行数据采集（会具体入户到社区的家庭内，在家庭小区场景操作设备进行采集），需要长时间站立 招聘面试考核和技能培训地址：河北省石家庄市裕华区贾村路附近方村嘉苑3区南26米（方兴派出所对面） 【职位描述】 1、数据采集执行：根据项目需求，熟练操作任务数据采集设备。在指定场景下，精准、高效地完成机器人动作数据的采集任务。 2、数据安全和质量保障：严格按照操作SOP进行采集，确保数据采集过程的安全、规范和数据质量的可靠性。 3、数据标注：对采集到的有效数据，按照指引进行标注。 4、数据入库：配合研发工程师记录数据，完成数据的入库工作。 【职位要求】 1、中专/高中及以上学历，具备计算机操作基础。 2、较好的工作责任心与耐心： 工作细致严谨踏实，对数据质量有高度敏感性，能长时间专注于重复性任务并保持高精度。 3、执行力与沟通能力： 能清晰理解任务要求，高效执行，并能与团队成员进行有效沟通。 4、有AI、机器人行业的数据采集/标注经验者优先考虑。 工作地点 石家庄裕华区方村镇方村嘉苑1期-5期、恒大雅苑1期-2期、众美城等相邻小区（以入职通知为准） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据抽取,数据采集,数据入库,数据安全,一线工厂,实操动手",http://www.zhaopin.com/jobdetail/CCL1506633190J40876481809.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
数据采集BD招聘｜时间自由+油补+提成，年轻团队等你来！,临沂沂圈在线网络科技服务有限公司,6000-8000元,潍坊·寒亭·寒亭街道,潍坊,高中,经验不限,7月26日,zhilian_direct,岗位职责】 1. 负责数据采集合作渠道的开拓、搭建与日常维护，主动挖掘优质潜在合作资源，积累稳定的合作渠道池； 2. 对接内外部合作需求，高效沟通协调各方问题，全程跟进数据合作项目，推动项目顺利落地、落地执行及正常运转； 3. 实时跟进合作进度，及时对接、解决合作过程中的各类问题，保障数据采集的稳定性、完整性与有效性，维系长期稳定的合作关系。 【任职要求】 1. 具备良好的商务拓展、沟通谈判能力，可独立完成合作洽谈、渠道对接等全流程工作，执行力拉满； 2. 对数据行业有较高的敏感度，乐于了解行业动态与业务模式，具备基础的行业认知和独立思考能力； 3. 适配快节奏业务发展，做事积极主动、认真负责，目标感强，愿意主动突破、深耕业务，快速成长； 4. 无严苛经验限制，只要态度积极、愿意学习，欢迎应届生、行业新人投递！ 【团队优势】 团队年轻化、氛围超轻松，没有复杂职场人情，同事和睦、沟通高效！工作时间自由灵活，不束缚个人节奏，额外配备油补+提成双重福利，付出皆有回报！公司提供稳定业务支撑和成长空间，适合想要踏实赚钱、快速提升商务能力的小伙伴，期待积极努力的你加入，一起并肩成长、共赢创收！ 工作地点 潍坊市-寒亭区-丰华路66号C座411室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,互联网电商",http://www.zhaopin.com/jobdetail/CCL1498291760J40911393603.htm?refcode=4019&srccode=401903&preactionid=1f06cadf-804f-4f4d-80ac-00956171c2c5
