job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
5G无线工程师（劳务派遣）,中兴通讯,面议,贵阳·观山湖·金华园,贵阳,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1.负责网络指标优化、设备问题处理，保障网络高质量运行。 2.负责工程项目实施，确保高效交付。 3.组织技术交流活动，协调公司资源，不断提升客户满意度。 任职要求： 1.通信/计算机/电子相关专业本科及以上学历； 2.具有5G等相关工作经验者优先； 3.具备服务意识、合作精神和抗压能力。 职位福利：五险一金、带薪年假、定期团建、交通补助、通讯补助、项目奖金、出差补贴 工作地点 贵阳观山湖区招商银行大厦25楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,5G,http://www.zhaopin.com/jobdetail/CC120146700J40547963502.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
华为GSC无线工程师,西安长河通讯有限责任公司,7000-11000元,西安·雁塔·丈八沟,西安,大专,3-5年,7月26日,zhilian_direct,岗位职责： 华为无线后台软调，远程对接，西安总部上班，无需出差，提供宿舍。 1、无线常见指标分析、数据采集、日常故障处理配合、lic数据分析与加载，基站站点值守，站点集成； 2、基站风险变更操作流程熟悉、基站风险版本升级与补丁操作实施、批量整改：多制式站点mocn改造，多产品制式设备故障的处理与恢复、维护网络风险识别等工作； 3、熟悉G网C网、对4、5G有所了解。 任职要求： 有一年到三年及以上华为运营商网络无线产品的站点调测/网管调测升级/软件版本升级/license/脚本/控制器调测/变更流程等经验。 工作地点 雁塔区西安软件园汉韵阁C201 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5G,4G,无线网管,无线",http://www.zhaopin.com/jobdetail/CC120717430J40764510413.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
通信保障支撑 / 无线网络优化工程师,黑龙江省俊驰通信技术有限公司,9000-12000元,北京·海淀·甘家口,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、负责首都重大活动、突发事件及自然灾害等场景下的应急通信指挥调度与现场技术支撑，确保通信网络安全平稳运行； 2、参与通信保障应急预案与保障方案的编制、修订及优化，定期组织15个分公司应急演练，不断提升应急处置能力与响应效率； 3、与各部门、各分公司、运营商及合作单位保持高效协同，建立良好沟通机制，推动问题快速解决。 任职要求： 1、大学专科及以上学历，通信工程及相关专业；经验丰富、能力突出者可适当放宽学历要求，具备无线网络优化实战经验者及有过中国铁塔工作经验者优先； 2、具备良好的文档撰写能力，能够独立输出详实的专题分析报告、进度汇报等材料，逻辑清晰，善于统筹安排多线程任务； 3、具备较强的数据分析与问题定位能力，能够快速给出建议； 4、具有良好的沟通协调能力，能够与内外部相关方进行清晰、高效的对接； 5、能够熟练使用Office等办公软件的常用功能，尤其能够熟练运用Excel完成数据统计与图表分析； 6、责任心强，工作积极主动，具备较强的抗压能力和奉献精神，能够接受极端天气应急保障期间“24小时值守+24小时轮休”的工作安排； 7、本岗位为坐班制，须在公司指定办公地点全职工作。 职位福利：双休法休、五险一金、部门认定的重保核心技能证书设一次性报销及奖励政策、晚上加班超9点打车费报销、特殊贡献一次性奖金。 工作地点 北京海淀区铁塔大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,无线网,http://www.zhaopin.com/jobdetail/CC808268520J40923274412.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线测试工程师,重庆蓝思晨科技有限公司,7000-9000元,重庆·沙坪坝·渝碚路,重庆,大专,经验不限,7月26日,zhilian_direct,职位描述 无线测试 功能测试 性能测试 WIFI 智能家居设备测试 ZIGBEE协议测试 蓝牙协议测试 工作职责 1. 负责全屋智能设备（智能音箱、传感器、门锁等）的无线通信协议测试，覆盖Wi-Fi、蓝牙、Zigbee等主流协议的功能与性能验证。 2. 设计场景化测试用例，模拟家庭多设备并发连接、信号干扰等真实环境，验证设备间的互联互通稳定性。 3. 跟踪并定位无线通信相关的缺陷，与研发团队协作推动问题闭环，输出清晰的测试报告与优化建议。 4. 参与测试流程与规范的迭代，沉淀智能家居无线测试的方法论与经验库。 任职要求 1. 大专及以上学历，电子信息、计算机、通信工程等相关专业优先，接受跨行业转行候选人。 2. 了解Wi-Fi、蓝牙、Zigbee等至少一种无线通信协议的基本原理，具备基础的网络知识。 3. 掌握测试用例设计方法，能独立完成测试执行与缺陷跟踪，有自动化测试经验者优先。 4. 具备较强的逻辑分析能力与问题定位思维，学习能力强，能快速掌握智能家居领域的业务知识。 工作地点 重庆沙坪坝区时代星空 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"无线测试,功能测试,性能测试,WIFI,智能家居设备测试,ZIGBEE协议测试,蓝牙协议测试",http://www.zhaopin.com/jobdetail/CCL1504338550J41003140302.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通信工程师,浙江瑞盈通信技术股份有限公司,5000-9000元,北京·丰台·马家堡,北京,大专,1-3年,7月26日,zhilian_direct,职位描述 宏站设计 室分设计 无线通信 1、按照项目负责人要求能独立完成无线室内分布项目的勘察设计工作。 2、一年以上无线宏站勘察设计经验，熟悉北京电信宏站及室分项目勘察设计工作 3、参与过可研、勘察设计、预算、系统流程、文本出版等全流程事务的人员优先。 工作地点 北京丰台区马家堡街道 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"宏站设计,室分设计,无线通信",http://www.zhaopin.com/jobdetail/CC414536010J40936373608.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线网络优化工程师,黑龙江省俊驰通信技术有限公司,7000-12000元,北京·海淀·甘家口,北京,大专,1-3年,7月26日,zhilian_direct,岗位职责： 1、负责无线通信网络的性能监控、测试分析、参数调整与优化工作； 2、基于测试数据与性能指标，输出网络优化方案并负责实施，提升网络覆盖、容量与质量； 3、独立撰写无线网络优化报告、技术分析材料、项目周月报及工作总结等文档； 4、具备技术材料撰写经验，能够独立完成项目方案、技术报告、工作总结等材料的编写； 5、与运营商、合作单位及内部团队保持良好沟通，协同推动网络问题解决； 6、熟悉通信行业相关规范标准，确保项目设计符合规范要求。 任职要求： 1、大学专科及以上学历，通信工程相关专业，相关专业如经验丰富者可适当放宽； 2、具备无线网络优化实战经验，熟悉5G/LTE网络架构、关键参数及信令流程； 3、熟练使用常用路测软件； 4、具备技术文档撰写能力，能能独立输出详实的优化方案、专题分析报告及项目汇报材料等； 5、掌握基础的Office办公软件、AutoCAD及相关通信设计或仿真工具功能； 6、具备较强的数据分析与问题定位能力，能根据测试数据快速提出有效优化建议； 7、工作积极主动，具备良好的团队合作精神和沟通协调能力； 8、本岗位为坐班制，需在公司指定办公地点全职工作。 职位福利：五险一金、周末双休 工作地点 北京海淀区电建大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,无线网,http://www.zhaopin.com/jobdetail/CC808268520J40841966212.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通讯测试工程师（RF/EMC/SAR）,深圳世标检测认证股份有限公司,5000-10000元,深圳·宝安·石岩,深圳,本科,经验不限,7月26日,zhilian_direct,岗位职责】 1、依据相关标准规范，执行各类RF/EMC/SAR测试，如浪涌抗、射频、电磁辐射等，确保样品符合标准，并撰写测试报告； 2、协助实验室质量管理制度，参与标准培训与内部审核工作； 3、根据客户提供的需求，负责案件的整改工作，协助产品认证流程； 4、配合安全检查与整改工作，维护、核查和保养操作设备并做好相关记录。 【任职要求】 1、本科及以上，通信、电子类专业优先，能读写英文资料，应届生可以培养； 2、熟悉RF/EMC/SAR测试标准和测试流程； 3、掌握RF/EMC/SAR测试仪器（如频谱仪、功率计、信号源等）的操作方法； 4、熟练office电脑基本应用，具备一定的抗压能力。 工作地点 深圳宝安区宝利安工业园B栋（办公楼）401 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"无线测试,射频测试,移动通信测试,EMC测试,信号测试,5G,4G,3G,WIFI",http://www.zhaopin.com/jobdetail/CC202309510J40836876705.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通信协议工程师,北京航天科工世纪卫星科技有限公司,1.5-2.5万,西安·长安·韦曲,西安,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责根据无线电通信产品应用需求定义软件功能，输出设计方案，设计测试用例； 2、负责无线通信协议处理软件框架设计、开发和集成； 3、负责设计和开发无线通信协议软件，并进行软件集成与测试； 4、负责软件测试中相关问题定位并解决测试产生的问题，完成测试验收和向客户交付； 5、对通信协议重大风险点和技术难题攻关，确保业务按时、保质交付； 任职要求： 1、通信、电子、计算机类相关专业统招本科及以上学历，8年以上相关工作经验； 2、熟悉数据链、卫星通信、地面移动通信、物联网等至少一种无线通信系统； 3、熟悉4G/5G、DVB-S2、AdHoc、Wifi、Bluetooth、NB-IoT、Zigbee至少一种无线通信协议； 4、至少精通一种编程语言，有DSP/ARM嵌入式开发经验者优先； 5、熟悉移动通信和数字信号处理原理，熟悉4G/5G标准L2/L3层相关协议并有相关开发经验者优先； 6、学习能力强、有良好的沟通能力和团队合作精神； 工作地点 西安长安区神舟三路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,VHDL,Verilog,网络交换技术,网络协议,卫星通信,通信算法,5G,通信接口/总线,4G,无线通信",http://www.zhaopin.com/jobdetail/CC120408990J40816333408.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线宏站设计工程师,浙江瑞盈通信技术股份有限公司,5000-9000元,北京·丰台·马家堡,北京,大专,1-3年,7月26日,zhilian_direct,职位描述 宏站设计 室分设计 无线通信 1、按照项目负责人要求能独立完成无线宏站勘察设计工作。 2、一年以上无线宏站勘察设计经验，熟悉北京电信宏站及室分项目勘察设计工作 3、参与过可研、勘察设计、预算、系统流程、文本出版等全流程事务的人员优先。 工作地点 北京丰台区马家堡街道 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"宏站设计,室分设计,无线通信",http://www.zhaopin.com/jobdetail/CC414536010J40481778308.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通信工程师（马来西亚）,北京智讯天成技术有限公司,1.5-3万,北京·朝阳,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 无线通信 5G GSM-R LTE 工作职责： 1、 高铁（海外）建设项目和维护项目中，同业主和合作单位进行技术交流及技术方案处理等； 2、项目现场技术支持，如通信设备调试，设备故障排查及处理； 3、 项目相关文档的准备、制作及递交。 任职要求： 1、熟悉并了解高速铁路无线GSM-R通信系统的相关原理和网络组成，以及相关基本标准； 2、 熟悉HUAWEI GSM、LTE以及5G相关设备，并具备系统组网解决方案的支持能力。同时对相关技术及设备操作具有丰富经验；（能独立开局优先考虑） 3、了解GSM、LTE及5G无线系统的规划及优化工作及流程；（有网优能力及经验的优先考虑） 4、对光纤直放站产品有了解并有技术储备； 5、 对HUAWEI数通产品有一定技术储备，可以提供一定的技术方案能力；（非必要，如有相关华为相关认证，可以优先考虑） 6、 具备一定数据服务器操作能力；（非必要，如有可以优先考虑） 7、 熟悉无线射频设备一般测量用常见仪器仪表的操作； 8、日常英语交流，有编辑文件的能力。 年终分红、驻外补贴、补充医疗保险、定期体检、七险一金 工作地点 北京朝阳区电子城·IT产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"无线通信,5G,GSM-R,LTE",http://www.zhaopin.com/jobdetail/CC152235410J40489698311.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
通信无线设计工程师,胜通和科技有限公司广州分公司,7000-10000元,北京·海淀·甘家口,北京,大专,1-3年,7月26日,zhilian_direct,职位描述 无线通信 招聘需求： 1、基本要求：大专以上学历，有1-2年工作经验。 2、专业需求：熟悉通信概预算及无线工程设计流程，有地铁覆盖工作经验优先 3、其他要求：熟悉办公软件，身体健康，抗压能力强。 4、薪酬：税前8000-10000元； 5、工作地点：北京。 6、工作内容：无线通信网络规划、设计工作，包含宏站、室分、地铁覆盖设计均有 工作地点 北京海淀区国际传播大厦b塔 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,无线通信,http://www.zhaopin.com/jobdetail/CC702648730J40936221408.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线室分设计工程师,浙江瑞盈通信技术股份有限公司,5000-10000元,北京·丰台·马家堡,北京,大专,1-3年,7月26日,zhilian_direct,职位描述 室分图纸编制 通信室分设计 无线室分设计 项目勘察 移动室分设计 1、熟悉运营商通信无线网、电信800M无线专业优先； 2、熟悉相关无线项目（包括宏蜂窝、微蜂窝）现场勘察工作； 3、熟练应用各种设计软件； 4、熟悉项目流程，配合甲方、工程施工人员等沟通协调、解决工程项目交付中的设计相关问题 ； 5、配合项目经理进行出版文件的编制和工作量统计等后期工作。 工作地点 北京丰台区马家堡街道 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"室分图纸编制,通信室分设计,无线室分设计,项目勘察,移动室分设计",http://www.zhaopin.com/jobdetail/CC414536010J40481773608.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通信软件工程师,富斯科技,1.5-3万,深圳·福田·莲花,深圳,大专,3-5年,7月26日,zhilian_direct,职位描述 C++ C语言 一、基本要求：电子、通信、计算机等相关专业专科及以上学历，3年以上工作经验（优秀应届毕业生均可）； 二、专业技能要求： 1、 逻辑思维清晰、软件基本功扎实、熟悉C/C++； 2、 熟悉STM32单片机程序开发，熟悉常用外设驱动程序开发（Timer、SPI、I2C、UART等） 3、 熟悉ble、zigbee、wifi或者私有无线通信协议（无人机、航模通信）中任一种优先； 4、 熟悉无线产品调试的仪器使用； 5、 了解私有无线协议这块； 6、有RF 收发芯片的底层开发经验。 工作职责： 1、负责相关产品的程序开发和维护； 2、负责相关产品的软件概要设计和其它相关文档编写； 3、负责领导安排的相关工作； 福利：五险一金、全勤奖、工龄奖、员工旅游、节日福利、带薪年假 工作时间:弹性工作时间：上班8:30-9:30 下班18:00-19:00 午休12:00-13:30，双休，法定假日休息。等等。 工作地点 深圳市福田区深南大道6006号华丰大厦16F 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言",http://www.zhaopin.com/jobdetail/CZ605787980J00064015307.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
通信无线设计工程师,胜通和科技有限公司广州分公司,1.2-1.6万,北京·海淀·甘家口,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 无线通信 移动通信 招聘需求： 1、基本要求：通信计算机相关专业本科及以上学历，有通信相关行业工作经验 2、专业需求：精通4G/5G无线通信网络规划/设计/优化，具备数据分析能力/汇报能力，有联通网络滚动规划工作经验尤佳； 3、其他要求：熟悉办公软件，身体健康。 4、具备良好的沟通能力和学习能力，有较强的工作责任心以及团队合作精神； 5、薪酬：税前12000-16000元； 6、工作地点：北京。 工作地点 北京海淀区国际传播大厦b塔 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"无线通信,移动通信",http://www.zhaopin.com/jobdetail/CC702648730J40942341308.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线通信工程师—线上一轮面试,软通动力信息技术(集团)股份有限公司,9000-12000元,西安·雁塔·漳浒寨,西安,本科,1-3年,7月26日,zhilian_direct,职位描述 无线测试 移动通信测试 基站测试 自动化测试 系统测试 通信测试 工作职责： 1、参与RRU模块软特性测试； 2、参与RRU模块自动化测试编码与验证； 任职资格： 1、学信网统招本科以上学历，软件、计算机、通信工程、电子等相关专业； 2、系统测试具备脚本自动化编辑能力，了解系统，软件，特性类测试方法以及自动化验证能力； 3、线上面试，周末双休，全额五险一金。 工作地点 雁塔区西安环普国际科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"无线测试,移动通信测试,基站测试,自动化测试,系统测试,通信测试",http://www.zhaopin.com/jobdetail/CC000544460J40831001416.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线宏站设计工程师,宁波华讯通信服务有限公司,7000-11000元,上海·浦东·祝桥,上海,大专,1-3年,7月26日,zhilian_direct,职位描述 铁塔设计 宏站设计 无线通信 工作内容： 负责铁塔4G/5G宏站现场勘察、站点规划、天馈参数设计、机房配套设计；出CAD施工图纸、做概预算、报审资料、对接甲方与施工现场，跟进项目落地验收。 岗位要求： 1、通信相关专业，大专及以上，有铁塔宏站配套设计相关工作经验有先； 2、熟练掌握涉及软件和工具，能接受外勤勘察，踏实肯干、沟通顺畅。 工作地点 上海浦东国际机场上海浦东新区全区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"铁塔设计,宏站设计,无线通信",http://www.zhaopin.com/jobdetail/CC405236120J41018151504.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
嵌入式软件工程师（无线产品）,青鸟智慧控制科技股份有限公司,面议,北京·海淀·燕园,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 负责无线产品的软件开发，编写软件设计文档； 2. 编写无线产品应用层、网络层完成协议栈开发工作； 3. 负责射频芯片回片调试、外场测试、解决通讯问题； 4. 协助工厂开发质检设备； 5. 为无线现场优化提供技术支持，对现场工程师提供技术指导。 任职要求： 1. 精通C 语言，有良好编程风格； 2. 精通CPU架构，至少精通GD32、STM8L、STM32、HC32等常见MCU中的一种； 3. 熟悉无线通信组网相关的基本知识，有接触过Wifi、蓝牙、Zigbee等无线技术； 4. 有Lora、Zigbee等自组网协议栈开发经验优先，有智能物联网相关产品开发经历优先； 5. 具有良好的工作沟通能力。 工作地点 中国北京市海淀区成府路207号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"8位单片机,32位单片机,PIC单片机,C语言",http://www.zhaopin.com/jobdetail/CC145846890J40776087506.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
无线设计工程师,成都山康技术服务有限公司,6000-9000元,郑州·中原·航海西路,郑州,大专,1-3年,7月26日,zhilian_direct,职位描述 室分设计 铁塔设计 天线设计 宏站设计 无线通信 无线站点设计初级工程师岗位要求： ■1年以上无线站点或土建勘查设计经验； ■熟悉操作AutoCAD等各种画图软件以及各种地图软件； ■大专及以上学历， ■工作细致、主动，责任心和服务意识强，保密意识强； ■团队合作性好，有较好的沟通协调能力； 工作地点 郑州中原区升龙金中环财富中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"室分设计,铁塔设计,天线设计,宏站设计,无线通信",http://www.zhaopin.com/jobdetail/CCL1258186750J40831994610.htm?refcode=4019&srccode=401903&preactionid=02df593f-753d-46c4-98f7-8cb7cb6b5a6d
