job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
智能传感系统设计,四川挽星企业管理咨询有限公司,2.5-5万,上海·静安·天目西路,上海,硕士,5-10年,7月26日,zhilian_direct,职位描述 传感器 有无风电经验皆可，上海黄浦区 （一）核心聚焦 专注于风力发电机组整机传感系统（多物理量传感）的选型、集成、调试，以及整机控制架构的设计、优化与迭代，实现机组状态精准感知、控制策略优化及智能运维落地。 （二）专业要求 测控技术与仪器、自动化、机械电子工程、传感器技术、人工智能、控制工程等相关专业。 （三）核心技能 1. 熟练掌握振动、声学、温度、转速、应变、油液等多物理量传感器的原理、选型标准及部署方法，具备大型机械设备感知系统开发或现场调试经验； 2. 精通大型机械设备传感系统的集成设计，包括传感器安装、信号传输、抗干扰设计及标定规范，能完成多传感器数据同步、拼接与融合，解决传感信号采集、调理、噪声抑制等问题； 3. 具备整机控制架构设计与优化能力，熟悉风电机组主控系统（含变桨、偏航、变流协同）的需求分析、方案设计与架构搭建，了解MPPT、变桨/偏航控制、并网控制等核心控制逻辑； 4. 掌握信号处理算法、数据采集与分析技术，熟练使用MATLAB、Python等工具进行传感器接口信号调试、数据采集和数据分析，熟悉DAQ、采集仪等数据采集系统者优先； 5. 熟悉Profibus/Profinet、Modbus TCP、CAN、EtherCAT等工业通信协议，能独立完成传感系统与主控系统的通信配置与调试，确保数据高效传输； 6. 了解风力发电机组关键部件（叶片、传动链、发电机等）的特性与故障特征，能结合传感数据优化控制策略，推动机组智能诊断、故障预警等功能落地； 7. 具备良好的需求分析、方案设计、文档撰写能力，能编制传感系统设计文档、测试报告、故障分析报告等，推动技术沉淀与知识库积累。 （四）优先条件 • 有8-15年智能传感、整机控制相关工作经验，主导或参与过大型机械设备传感系统集成、控制架构优化项目者； • 具备机器学习、深度学习相关经验，能运用TensorFlow等工具实现传感数据建模、故障诊断算法开发与优化者； • 熟悉风电行业智能运维相关技术，有智慧风电场方案设计、智能感知产品开发经验者； • 具备边缘计算、轻量化算法设计经验，能实现感知算法在风机端部署与优化者； 工作地点 静安区上海站 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,传感器,http://www.zhaopin.com/jobdetail/CCL1457853100J40887928913.htm?refcode=4019&srccode=401903&preactionid=0ed9c7af-7b0d-4f9c-a47e-ee5e3b72ac65
资深智能穿戴系统与生物传感架构师（健源）,珠海市洁源电器有限公司,1.5-3万·13薪,珠海·香洲区·唐家湾镇,珠海,本科,5-10年,7月26日,zhilian_direct,职位描述 算法基础 数据结构 多线程 智能穿戴健康平台架构 生物传感器集成与优化 TINYML模型部署 职位概述 我们正在寻找一位具有远见的资深智能穿戴系统与生物传感架构师，主导我们下一代智能穿戴健康管理平台的技术研发。您将负责设计并实现核心技术架构，将人体的原始物理与生物信号转化为精准、可量化的健康洞察。 您将与团队现有的电子工程师（EE）和材料工程师紧密合作，作为核心技术带头人，全面负责传感器选型、数字信号处理（DSP）、边缘机器学习（TinyML）以及生理学建模。您的最终目标是构建一个高扩展性、模块化的穿戴式平台架构，能够支撑未来多样化的穿戴产品形态（如智能戒指、智能手环、健康微贴等）的快速开发与迭代。 核心职责平台架构设计与跨部门项目立项：定义模块化穿戴式平台的战略级架构（包括硬件抽象化固件层、可扩展的传感器总线拓扑结构以及标准化的数据载荷结构）。紧密配合市场部门，共同撰写并向管理层/高管团队进行项目提案汇报，推动新项目的立项与可行性评估，将复杂的技术方案转化为清晰的商业与产品价值。传感器选型与数据融合（Sensor Fusion）： 负责先进生物传感器（如 PPG光电容积脉搏波、EDA/GSR皮电活动、ECG心电、Bio-Z生物阻抗及 IMU惯性传感器）的性能表征、评估与集成。设计多传感器数据融合框架，有效消除运动伪影（Motion Artifacts）和环境噪声。 DSP 与算法开发： 针对资源受限的微控制器（如 ARM Cortex-M 或 RISC-V），开发低延迟、低功耗的数字信号处理（DSP）流水线，实现实时特征提取（如心率变异性 HRV、血氧饱和度 SpO2、睡眠分期、压力监测等）。 边缘机器学习与生理建模：架构并训练针对微控制器极致优化的机器学习模型（TinyML）。建立数学与生理学模型，从高噪声的真实世界数据中推导并预测核心健康/生理指标。 跨功能技术整合： 协同材料工程师优化皮肤-传感器物理界面（阻抗匹配、光学耦合等）；协同电子工程师（EE）优化整机功耗预算、信号完整性及低噪声 PCB 布局。 任职要求： 本科以上学历，5年以上相关工作经验。 能力与经验要求： 1、对光学（PPG）、电学（ECG/EDA/生物阻抗）和机械学（IMU）的传感机制有深厚的物理/底层原理理解，具备丰富的**人体-设备交互界面（Human-Device Interface）**处理经验。 2、精通数字信号处理：精通数字滤波器设计（FIR、IIR）、自适应滤波（如利用 NLMS 算法进行运动伪影消除）以及时频分析（FFT、小波变换）。 3、精通数字信号处理：精通数字滤波器设计（FIR、IIR）、自适应滤波（如利用 NLMS 算法进行运动伪影消除）以及时频分析（FFT、小波变换）。 4、熟练运用 Python 数据科学生态（NumPy、SciPy、Pandas、Scikit-Learn），并具备 TinyML 框架（如 TensorFlow Lite for Microcontrollers、Edge Impulse 或自定义定点 C 模型）的部署经验。 5、具有至少一款量产消费级或医疗级穿戴式产品从概念设计、研发到大规模量产（MP）的全周期全栈经验，并主导过其中的数据流水线设计。 6、具备优秀的跨部门沟通能力与商业敏感度，能够配合跨国产品及项目经理，将硬核的工程技术语言转化为市场与管理层易懂的商业洞察与产品路线图。 工作地点 珠海香洲区中电高科技产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"算法基础,数据结构,多线程,智能穿戴健康平台架构,生物传感器集成与优化,TINYML模型部署",http://www.zhaopin.com/jobdetail/CC710851220J40901261603.htm?refcode=4019&srccode=401903&preactionid=0ed9c7af-7b0d-4f9c-a47e-ee5e3b72ac65
系统工程师（智能传感）,安翰科技(武汉)股份有限公司,8000-10000元,无锡·滨湖·蠡园,无锡,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1、负责胃肠监测系统的系统设计，产品开发，工艺调试和测试验证等过程； 2、负责智能传感器技术如压力传感器技术、ph传感器技术、磁场传感器技术的研究与开发； 3、负责技术文档撰写及为用户提供专业技术培训。 任职要求 1、硕士及以上学历，电子工程、生物医学工程、生物化学，自动化、计算机科学与技术等相关专业，985/211院校优先。 2、具备 2 年以上工作经验，有作为系统工程师开发医疗行业机电设备或传感器相关产品的经验者优先。 3、熟悉医疗设备相关标准（如 IEC60601 系列、生物相容性相关标准），具备丰富的标准解读与验证实践经验。 4、系统掌握传感器技术如 pH 薄膜传感器、压力传感器等，具备精密传感器系统或医疗监测设备开发经验，熟悉生物医学信号处理逻辑者优先；具备胃肠道监测相关临床应用背景者更佳。 5、具备较强的问题排查能力和沟通协调能力，能快速响应并解决用户技术需求。 工作地点 无锡滨湖区530大厦-2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"内镜科器械,医疗耗材研发,医疗设备研发",http://www.zhaopin.com/jobdetail/CC853101170J40849620613.htm?refcode=4019&srccode=401903&preactionid=0ed9c7af-7b0d-4f9c-a47e-ee5e3b72ac65
高级光电传感器研发工程师,青鸟智慧控制科技股份有限公司,面议,北京·海淀·燕园,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1）负责光电传感器件的系统光路设计，仿真评估、工艺设计、开模生产，并绘制光学部品图纸等工作； 2）利用照明光学设计软件进行照明光学的建模、仿真、优化设计； 3）进行照明光学相关测试及数据分析； 4）进行光电传感产品的产品测试实验设计及数据分析； 5）对产品中与光学相关的技术问题进行分析及验证； 任职要求： 1、光学及相关专业本科及以上学历。从事至少两年光电产品设计经验，如微成像镜头、光电探测器等； 2、对光学设计理论，几何像差知识有较深理解，了解光学部品加工性能知识，有一定的光学组装经验，验证； 3、扎实的光学基础知识，对基础光学有深刻透彻的理解（照明，成像，傅里叶，衍射光学等），丰富的光学设计经验，能熟练应用光学设计软件(zemax、codev)和仿真软件(Tracepro、Lighttools)； 4、熟悉常用的结构设计软件（solidworks，proe等），能够进行光学结构设计； 薪资open，欢迎各位大佬投递~ 工作地点 中国北京市海淀区成府路207号北大青鸟楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光电探测器,探测器,研发,光路设计",http://www.zhaopin.com/jobdetail/CC145846890J40288024906.htm?refcode=4019&srccode=401903&preactionid=0ed9c7af-7b0d-4f9c-a47e-ee5e3b72ac65
高级光电传感器研发工程师,青鸟智慧控制科技股份有限公司,面议,北京·海淀·燕园,北京,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 1）负责光电传感器件的系统光路设计，仿真评估、工艺设计、开模生产，并绘制光学部品图纸等工作； 2）利用照明光学设计软件进行照明光学的建模、仿真、优化设计； 3）进行照明光学相关测试及数据分析； 4）进行光电传感产品的产品测试实验设计及数据分析； 5）对产品中与光学相关的技术问题进行分析及验证； 任职要求： 1、精通光电感烟探测原理（散射光、透射光等），熟练掌握烟感传感器设计、探测算法开发、抗干扰技术、低功耗电路设计等核心技术；具备独立解决复杂技术难题的能力。 2、有完整的光电感烟探测相关科研项目、新产品研发项目牵头经验，能独立统筹项目全流程，具备科研成果转化能力；熟悉研发流程、实验设计、性能测试方法。 3、扎实的光学基础知识，对基础光学有深刻透彻的理解（照明，成像，傅里叶，衍射光学等），丰富的光学设计经验，能熟练应用光学设计软件(zemax、codev)和仿真软件(Tracepro、Lighttools)； 薪资open，欢迎各位大佬投递~ 工作地点 中国北京市海淀区成府路207号北大青鸟楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光电探测器,探测器,研发,光路设计",http://www.zhaopin.com/jobdetail/CC145846890J40754549206.htm?refcode=4019&srccode=401903&preactionid=0ed9c7af-7b0d-4f9c-a47e-ee5e3b72ac65
物联网系统工程师实习生,四川创一智慧科技有限公司,150-250元/天,成都·青羊·文家,Guangzhou,本科,经验不限,4月10日,zhilian,岗位职责 协助工程师完成物联网终端设备的硬件设计、开发与调试辅助工作，学习外设、传感器选型及接口开发，了解各类物联网通信制式的适配方法。 在指导下，基于C、Python语言完成嵌入式软件基础开发，学习运用FreeRTOS、Zephyr、MicroPython等嵌入式系统进行简单程序编写与调试。 协助团队开展AI技术在软硬件产品中的落地应用辅助工作，了解AI底层原理，学习智能感知、边缘计算等相关功能的基础开发与调试流程。 配合团队完成软硬件协同开发相关辅助工作，了解服务器端软件架构和开发流程，参与产品开发、测试及迭代优化的基础环节。 协助排查开发过程中的简单软硬件及AI应用相关技术问题，学习撰写基础技术文档，配合团队整理开发规范。 任职要求 学历要求：211本科及以上学历，电子信息、计算机、自动化、物联网等相关专业，在校生或应届毕业生均可，无强制工作经验。 硬件能力：熟悉常用物联网通信制式，了解常用硬件接口协议，具备基础的外设和传感器开发、调试思路，愿意主动学习实操技能。 软件能力：掌握C、Python基础代码开发，熟悉FreeRTOS、Zephyr、MicroPython等至少一种嵌入式系统的基础应用；了解服务器软件架构和开发流程，具备基础的软硬协同开发意识即可。 AI能力：了解AI底层基础原理，对AI技术在软硬件开发中的应用有兴趣，愿意学习AI模型落地、调试相关技能，有相关课程实践或小型项目经验者优先。 具备良好的学习能力、问题排查意识和沟通协作能力，态度积极主动，能配合团队完成相关模块的辅助开发任务，有责任心和团队协作精神。 加分项：有嵌入式、物联网或AI相关课程设计、小型项目实践经验者优先；了解Linux嵌入式开发、网络通信相关技术者优先。 工作地点：成都市青羊区青羊工业总部基地K20栋 工作时间：早九晚六 周末双休 工作地点 成都青羊区青羊工业总部基地K区20栋三楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,C语言,Python",http://www.zhaopin.com/jobdetail/CC482914230J40946303702.htm?refcode=4019&srccode=401901&preactionid=d95e2f20-de0e-4eb2-b798-953d07706357
AI物联网测试工程师助理（绩效奖）,安阳市政创信息技术有限公司,6000-8000元,深圳·宝安·新安,Guangzhou,大专,经验不限,7月6日,zhilian,职位描述 软件测试 功能测试 Postman Jmeter AI物联网设备测试 AI算法集成测试 通信协议验证 工作职责 1. 协助完成AI物联网设备（如智能传感器、边缘计算终端）的功能测试与兼容性验证，记录测试数据与问题。 2. 参与AI算法模块的集成测试，协助验证模型在实际硬件环境中的运行效果。 3. 编写基础测试用例，维护测试文档，配合工程师完成缺陷跟踪与回归测试。 4. 协助搭建测试环境，对物联网设备的通信协议（如MQTT、CoAP）进行基础验证。 任职要求 1. 25届大专26届本科及以上学历，计算机、电子信息、自动化等相关专业优先。 2. 了解物联网基本架构，对传感器、嵌入式系统或通信协议有基础认知。 3. 具备基础的软件测试理论，能理解测试用例设计逻辑，熟练使用Excel等办公工具记录测试结果。 4. 学习能力强，能快速掌握新工具（如Postman、JMeter），具备良好的沟通能力与团队协作意识。 工作地点 深圳市-宝安区-新湖路2142号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件测试,功能测试,Postman,Jmeter,AI物联网设备测试,AI算法集成测试,通信协议验证",http://www.zhaopin.com/jobdetail/CCL1511545390J40872112109.htm?refcode=4019&srccode=401901&preactionid=d95e2f20-de0e-4eb2-b798-953d07706357
项目设计师助理,河南鑫科云信息科技有限公司,7000-12000元·13薪,深圳·南山·南头,Guangzhou,本科,经验不限,7月24日,zhilian,职位描述 工业自动化运维 智能制造数据处理 技术文档撰写 工作职责 1. 协助项目设计师完成自动化生产线、工业机器人等设备的安装调试，跟进设备日常运维的全流程执行。 2. 参与智能制造系统（如MES、PLC）的数据采集与清洗，输出结构化数据报告支撑生产决策。 3. 主导设备操作手册、维护台账等技术文档的撰写与更新，确保文档的准确性与可操作性。 4. 驻场跟进生产现场的设备运行状态，快速响应异常问题并配合设计师完成故障定位。 任职要求 1. 本科及以上学历，自动化、机械工程、智能制造等工科专业背景优先。 2. 掌握工业自动化基础原理，熟悉PLC编程逻辑或传感器应用场景者优先。 3. 具备Excel高级功能（如函数公式、数据透视表）使用能力，能独立完成数据统计分析。 4. 具备强执行力与细节把控能力，能适应多任务并行的工作节奏。 工作地点 深圳南山区南山大厦8楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工业自动化运维,智能制造数据处理,技术文档撰写",http://www.zhaopin.com/jobdetail/CCL1524196370J41024365904.htm?refcode=4019&srccode=401901&preactionid=d95e2f20-de0e-4eb2-b798-953d07706357
物联网工程师,北京嘉禾云山筑宇建筑工程有限公司,8000-16000元,洛阳·西工·唐宫路,Guangzhou,本科,经验不限,7月24日,zhilian,职位描述 物联网 通信/网络设备 计算机硬件 工作职责 1. 负责建筑工程场景下物联网系统的方案设计与实施，包括传感器部署、数据采集与传输链路搭建。 2. 对接工程业务需求，开发物联网平台功能模块，实现设备状态监控、能耗管理等智能化应用。 3. 优化物联网系统的稳定性与数据安全性，解决工程现场复杂环境下的技术问题。 4. 与工程团队协作，推动物联网技术在施工管理、设备运维等场景的落地应用。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握物联网核心技术栈，包括传感器原理、通信协议（如LoRa、NB-IoT）及数据处理技术。 3. 具备物联网平台或系统开发经验，熟悉至少一种编程语言（如Python、Java）。 4. 有工程行业或工业物联网项目经验者优先，能理解工程场景的技术需求。 工作地点 洛阳西工区万达广场(中州店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,物联网,http://www.zhaopin.com/jobdetail/CCL1514891250J40855397711.htm?refcode=4019&srccode=401901&preactionid=d95e2f20-de0e-4eb2-b798-953d07706357
自动驾驶软件开发工程师,西安鹏耀博文信息技术有限公司,6000-9000元,西安·莲湖·北院门,Guangzhou,本科,经验不限,7月25日,zhilian,职位描述 C++ Python ROS 自动驾驶系统开发 车载传感器数据处理 嵌入式性能优化 工作职责 1. 参与自动驾驶系统核心模块（如感知融合、决策规划、控制执行）的软件开发与迭代。 2. 负责车载传感器（激光雷达、摄像头、毫米波雷达）数据的实时处理与算法部署。 3. 优化自动驾驶软件在嵌入式平台的运行性能，解决低延迟、高可靠性等工程化问题。 4. 参与系统集成测试与故障排查，保障自动驾驶功能的稳定运行。 任职要求 1. 统招本科及以上学历，计算机、自动化、电子信息等相关专业。 2. 精通C++/Python编程语言，具备扎实的算法基础与数据结构功底。 3. 熟悉自动驾驶系统架构，有感知、决策或控制模块开发经验者优先。 4. 了解ROS/ROS2、CANoe等自动驾驶开发工具，具备嵌入式系统开发经验者优先。 5. 具备良好的问题分析能力与团队协作精神，能快速定位并解决技术问题。 工作地点 西安市-莲湖区-莲湖西大街81号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Python,ROS,自动驾驶系统开发,车载传感器数据处理,嵌入式性能优化",http://www.zhaopin.com/jobdetail/CCL1509995720J40850673711.htm?refcode=4019&srccode=401901&preactionid=d95e2f20-de0e-4eb2-b798-953d07706357
