job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,1.1-1.4万,武汉·洪山·花山,武汉,本科,3-5年,7月26日,zhilian_direct,职位描述 深度学习 机器学习 大模型算法 运筹优化 时间序列 PYTHON算法 大模型 【本科可查，理工科专业】--必须项！ 关键字：大模型、机器学习、深度学习、运筹优化、时间序列 有1-2项经验 本科理工类，年限2年以上 工作职责： 1、负责算法模型的效果测试、问题定位等，输出测试报告； 2、负责算法模型的工程化部署，性能提升。 3、负责多模态/NLP/CV等领域下游任务中算法数据的处理工作以及进行模型试算与训练，包括不限于OCR识别、表格还原、信息提取等。 业务技能要求： 1）熟练掌握Python/C++/C等语言中的一种或多种。 2）有算法开发、测试以及部署的经验。 3）良好的沟通学习能力，可以快速融入团队，学习新知识。 专业知识要求： 1) 3年以上工作算法相关工作经验 1）熟悉算法服务部署者优先； 2）熟悉常见的视觉AI算法模型（ResNet/ YOLO/Attention/Transfomer等）者优先。 3）熟悉Opencv、Numpy、Pandas等工具包优先 4)从事过类似文档信息抽取、要素抽取的项目 工作地点 洪山区武汉软件新城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,大模型算法,运筹优化,时间序列,PYTHON算法,大模型",http://www.zhaopin.com/jobdetail/CC000544460J40735552816.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
机器学习、视觉技术应用开发人员,山东力山特智能科技股份有限公司,1.1-1.8万,济南·历城·港沟,济南,本科,3-5年,7月26日,zhilian_direct,岗位职责： - 负责机器视觉方面技术或产品的开发。 - 熟练使用Halcon、OpenCV等视觉软件进行系统开发。 - 研究机器学习的基本算法、模型，并应用于实际项目中。 - 熟悉深度传感器的应用，对基于深度传感器的目标识别、SLAM等算法有一定研究。 - 负责机器视觉系统项目开发及机器视觉软件开发。 岗位要求： - 熟练使用至少一种视觉软件，如Halcon、OpenCV。 - 具备机器学习的基本算法、模型知识。 - 对深度传感器及其应用有深入了解。 - 有机器视觉系统项目开发、机器视觉软件开发经验者优先。 薪资待遇：薪资可面议 工作地点 济南市-历城区-高新区经十路7000号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SLAM,无人驾驶,路径规划,图像识别产品,C++,C#,C语言,HALCON,OpenCV,Open3D",http://www.zhaopin.com/jobdetail/CCL1379384340J40685999408.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,1.2-1.6万,深圳·龙岗·坂田,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 深度学习 机器学习 大模型算法 运筹优化 时间序列 PYTHON算法 大模型 【本科可查，理工科专业】--必须项！ 关键字：大模型、机器学习、深度学习、运筹优化、时间序列 有1-2项经验 本科理工类，年限2年以上 工作职责： 1、负责算法模型的效果测试、问题定位等，输出测试报告； 2、负责算法模型的工程化部署，性能提升。 3、负责多模态/NLP/CV等领域下游任务中算法数据的处理工作以及进行模型试算与训练，包括不限于OCR识别、表格还原、信息提取等。 业务技能要求： 1）熟练掌握Python/C++/C等语言中的一种或多种。 2）有算法开发、测试以及部署的经验。 3）良好的沟通学习能力，可以快速融入团队，学习新知识。 专业知识要求： 1) 2年以上工作算法相关工作经验 1）熟悉算法服务部署者优先； 2）熟悉常见的视觉AI算法模型（ResNet/ YOLO/Attention/Transfomer等）者优先。 3）熟悉Opencv、Numpy、Pandas等工具包优先 4)从事过类似文档信息抽取、要素抽取的项目 工作地点 深圳龙岗区金荣达科技工业园4栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,大模型算法,运筹优化,时间序列,PYTHON算法,大模型",http://www.zhaopin.com/jobdetail/CC000544460J40735553916.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
AI工程师-机器学习,外企德科数字技术有限公司,1.5-3万·14薪,上海·浦东·金桥,上海,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、从事机器学习算法和理论的前沿研究工作，研究领域包括：元学习、AutoML、深度学习、强化学习、贝叶斯学习等； 2、探索人工智能应用，构建智能系统，提供AI云服务； 3、面向业务的AI服务化能力构建: 完成场景化的算法模块化开发、离线测试、A/B测试、模型的工程化部署和模型的持续迭代将机器学习算法落地到研发流程及产品，助力数字化转型。协同学术界/工业界专家资源，探索具备高度适应性的高能效AI算法、架构与平台 。 岗位要求 任职要求： 1、计算机科学、机器学习、统计学、应用数学等相关专业；熟悉Linux操作系统，对常见的数据结构和算法有一定的了解 2、有良好的研究背景和成果，对算法研究兴趣浓厚，业务抽象能力强；具备创造性思维，能够将全新想法转化为工程应用；对研究工作充满热情，具备良好的团队合作精神和沟通能力； 3、具备较强的编程能力，精通主流编程语言，如C/C++ /Java /Python等；能够开发基于实时数据的高性能分布式算法者优先 4、在高水平国际会议和学术期刊发表过相关论文，或有高水平竞赛获奖经历加分。 【福利待遇】： 1、底薪(15-25k)+绩效(2-5k) (根据技术面试能力定级定薪) 2、试用期不打折，年终奖2-4个月 3、入职缴纳五险一金，公积金按底薪全额缴纳 4、入职就有导师一对一，带教半年 5、优质华为研究所办公环境和技术氛围 6、加班费、交通报销、免费宵夜、班车、健身房、下午茶，团建，带薪年假 奖金绩效 入职缴纳五险一金，公积金按底薪全额缴纳、年终奖2-4个月 工作地点 浦东新区华为技术有限公司上海研究所1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"机器视觉,图像算法,智能驾驶,Python,C++,C语言",http://www.zhaopin.com/jobdetail/CCL1480117890J40841091405.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
机器学习算法设计,湖南云箭制导航空弹药研究开发有限公司,9000-12000元,长沙·长沙·黄花,长沙,硕士,1-3年,7月26日,zhilian_direct,岗位职责: 1、负责基于业务需求设计与开发机器学习模型; 2、负责机器学习模型的训练与优化; 3、负责机器学习模型的部署与维护。 任职要求: 硕士及以上学历、应用数学、计算机、人工智能、电子信息相关专业 工作地点 长沙市-长沙县-开元东路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,船舶/航空/航天/军工,http://www.zhaopin.com/jobdetail/CC883909260J40882543005.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
机器学习算法工程师,中联重科,1.5-2.5万·15薪,长沙·望城·雷锋,长沙,硕士,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责制造业核心场景的AI算法研发，通过数据驱动实现配件预测、产品推荐、生产调度、质量检测等业务场景的智能化升级； 2、具备时序预测、运筹优化、计算机视觉中至少两个领域实战经验； 3、熟悉边缘计算与模型轻量化部署； 4、有供应链、生产制造场景项目经验等。 任职资格: 1、硕士及以上学历，计算机、数学、统计学等相关专业，扎实的机器学习理论基础； 2、熟练掌握Python及主流深度学习框架，具备完整算法落地经验； 3、熟悉工业数据特性，能解决小样本、实时性、稳定性等工程挑战； 4、具备制造业业务理解力，能将生产逻辑转化为算法问题等。 工作地点 长沙望城区中联重科智慧产业城总部大楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自然语言处理,机器视觉,图像算法",http://www.zhaopin.com/jobdetail/CC130731060J40825224711.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
AI算法/机器学习/大模型（算法工程师）,外企德科数字技术有限公司,1.5-3万·14薪,杭州·滨江·长河,杭州,本科,经验不限,7月26日,zhilian_direct,"岗位职责】 1.参与模型微调，提升大模型的语义理解、指令循、Agent调用等通用能力 2.负责NLP大模型端到端落地技术方案的设计和持续优化 3.负责行业数据集自动化构建、预处理工作。 【岗位要求】 本科及以上学历 1.熟练使用Python，了解至少一种深度学习框架比如TenorFlow,PyTorch等 2.具备NLP算法训练或推理经验，熟悉prompt调优3.有良好的学习能力和创新思维，求知欲强,能够与团队良好合作和沟通，工作积极主动，自驱力强。 【福利待遇】 1、初中高级都在招聘、薪资open+14-16薪 2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销 3、上下班有班车，园区有饭堂、免费健身房 4、资深导师一对一带教 【其他】 其他业务线： a)机器学习方向: 1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻； 2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、深度学习、强化学习及模式识别等; b)自然语言处理/语音语义方向： 1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作; 2、负责自然语言处理核心算法及平台的设计与研发,提升自然语言相关产品的核心竞争力和用户体验; c)运筹优化方向： 1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目； 2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力; d）推荐搜索方向： 1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现; 2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求; e) AI平台/性能优化方向: 1、算法优化：负责AI算法中计算在CPU/GPU/NPU等处理器上的计算性能优化，基础库设计；负责CNN/RNN/RL等模型的效果评估分析；负责持续跟踪业界最优实现，超越并创新； 2、系统平台：负责AI相关系统平台的设计、开发和优化工作，在性能和易用性等指标上做好平衡；负责持续跟踪业界最优实现，超越并创新；负责和上下游客户对接，持续提升平台的性能和表现。11:29AI算法/机器学习/大模型（算法工程师） 工作地点 滨江区华为技术有限公司杭州研究所-西区360 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户",深度学习,http://www.zhaopin.com/jobdetail/CCL1480117890J40786597305.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
机器学习算法工程师（双碳方向）,拓保软件,1.8-2.2万,广州·黄埔·联和,广州,本科,5-10年,7月26日,zhilian_direct,职位描述 南网 电力/水利/热力/燃气 核心职责： 1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型; 2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统 3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景 4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作 二、任职要求 1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业 2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验 3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等； 三、优先条件 1.熟悉双碳相关业务逻辑或电力市场交易规则 2.有南网/国网项目经验，参与过电力负荷预测、新能源发电预测 3.有国产化芯片（昇腾、海光）、操作系统（统信、麒麟）及国产化框架适配经验 4.在顶会顶刊发表过时序算法相关论文，或持有相关发明专利 5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架 6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域顶级会议有文章发表或者数据挖掘竞赛（Kaggle、天池）获奖者均优先录取。 工作地点 广州黄埔区云升科学园1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,南网,http://www.zhaopin.com/jobdetail/CC157088920J40824485216.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
水环境模型与机器学习工程师,北京远浪潮生态建设有限公司,6000-11000元,武汉·江夏·佛祖岭,武汉,硕士,经验不限,7月26日,zhilian_direct,职位描述 机器视觉 学术/科研 技术服务 人工智能 1.配合团队现有水环境模型（SAWT、Delft3D）开展应用，完成模型参数率定、验证与优化，保障模型计算精度与运行效率。 2.基于水环境/污水处理相关数据，开展数据清洗、特征提取、数据分析，支撑模型输入输出与结果解析。 3.运用机器学习/深度学习方法，搭建水质预测、故障诊断、药剂投加优化等模型，实现水环境系统智能化分析。 4.完成水环境相关项目的数据处理、编程实现、报告撰写与成果交付。 1.学历背景：环境科学与工程、环境工程、水文水资源、地理信息科学等相关专业，硕士及以上学历。 2.专业能力： （1）熟悉水环境模型基本原理，有GIS、遥感数据处理或水环境空间分析经验，有SAWT或同类水环境模型率定、验证、应用经验优先； （2）掌握机器学习/深度学习基础，能使用LSTM搭建回归、分类、预测模型； （3）至少掌握一种编程语言（Python/Matlab/C++/Fortran等），具备数据处理、数据分析、数据库基础操作能力； （4）了解水污染控制、污水处理、水质监测等水环境相关知识与流程； （5）发表过环境/机器学习相关SCI学术论文。 3.项目经验：有水环境模型应用、污水处理智能化、水质预测、智慧水务相关项目/实习经验优先。 4.综合素质：学习能力强，逻辑清晰，能独立完成数据处理与模型调试，沟通协作良好。 工作地点 武汉江夏区招商高新网谷新网谷1号楼10楼1003室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,机器视觉,http://www.zhaopin.com/jobdetail/CC149572910J41000338904.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
AI算法/机器学习/大模型（算法工程师）,外企德科数字技术有限公司,2-4万·14薪,上海·青浦·金泽,上海,本科,经验不限,7月26日,zhilian_direct,"岗位职责】 1.参与模型微调，提升大模型的语义理解、指令循、Agent调用等通用能力 2.负责NLP大模型端到端落地技术方案的设计和持续优化 3.负责行业数据集自动化构建、预处理工作。 【岗位要求】 本科及以上学历 1.熟练使用Python，了解至少一种深度学习框架比如TenorFlow,PyTorch等 2.具备NLP算法训练或推理经验，熟悉prompt调优3.有良好的学习能力和创新思维，求知欲强,能够与团队良好合作和沟通，工作积极主动，自驱力强。 【福利待遇】 1、初中高级都在招聘、薪资open+14-16薪 2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销 3、上下班有班车，园区有饭堂、免费健身房 4、资深导师一对一带教 【其他】 其他业务线： a)机器学习方向: 1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻； 2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、深度学习、强化学习及模式识别等; b)自然语言处理/语音语义方向： 1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作; 2、负责自然语言处理核心算法及平台的设计与研发,提升自然语言相关产品的核心竞争力和用户体验; c)运筹优化方向： 1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目； 2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力; d）推荐搜索方向： 1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现; 2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求; e) AI平台/性能优化方向: 1、算法优化：负责AI算法中计算在CPU/GPU/NPU等处理器上的计算性能优化，基础库设计；负责CNN/RNN/RL等模型的效果评估分析；负责持续跟踪业界最优实现，超越并创新； 2、系统平台：负责AI相关系统平台的设计、开发和优化工作，在性能和易用性等指标上做好平衡；负责持续跟踪业界最优实现，超越并创新；负责和上下游客户对接，持续提升平台的性能和表现。 工作地点 上海青浦区青浦华为练秋湖研发中心2222 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户",深度学习,http://www.zhaopin.com/jobdetail/CCL1480117890J40786607305.htm?refcode=4019&srccode=401903&preactionid=a489f9b2-e68f-4d6e-9a68-056b2d16c683
