job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
核心网工程师,外企德科数字技术有限公司,1.2-1.8万·14薪,西安·长安·郭杜,西安,本科,5-10年,7月26日,zhilian_direct,"职位描述 核心网 CS: 1. 负责核心网CS调测和问题处理，包括MSC, HSS, PCRF, MGW,STP，SBC。制作脚本，与TAC沟通方案，和客户交流，以及处理相关问题。 2. 熟悉华为CS产品如MSC/MGW/CG/SPS/DRA等和爱立信产品AXE810、BCP 8100、MSC-BC、MGW、APG43L、APG40等 3、英语沟通能力好，可以与海外客户进行沟通，具备海外交付经验； PS： 1. 负责核心网PS调测和问题处理，包括SGSN, GGSN, MME, UGW, USN等，制作脚本，与TAC沟通方案，和客户交流，以及处理相关问题。 2. 熟悉华为PS产品 3、英语沟通能力好，可以与海外客户进行沟通，具备海外交付经验； 工作地点 长安区西安高新区数字经济产业园1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户",核心网,http://www.zhaopin.com/jobdetail/CCL1480117890J40858893705.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
重庆核心网工程师,重庆中邮信科集团股份有限公司,6000-7000元,重庆·两江新区,重庆,本科,1-3年,7月26日,zhilian_direct,"职位描述 核心网工 1、熟悉基本华为云平台基础,包含:服务器,存储,网络,虚拟机以及openstack云服务架构; 2、了解k8s以及docker等;熟悉华为机架服务器和刀片服务器(x86/ARM); 3、熟悉华为交换机路由器设备； 4、5GC/IMS交付经验丰富 5、通信或计算机相关专业，应届生或毕业1年，统招本科大学，985/211优先。 工作地点 重庆两江新区一带一路商务中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",核心网工,http://www.zhaopin.com/jobdetail/CC120064570J40826673916.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,西安信意通科技有限公司,2-4万,西安·雁塔·丈八沟,西安,大专,5-10年,7月26日,zhilian_direct,岗位职责: 1、精通华为、中兴、诺基亚、爱立信等核心网（PS、CS、IMS、HLR、SEQ、USC、EPC等）主流产品的安装、配置、维护，具备系统集成能力，能独立完成交换接入、数据网络、软件平台、业务及外部系统的联调、测试工作；具备产品族内核心产品的软件升级、软件更新、网络调整的能力。 2、对华为、中兴、诺基亚、爱立信等核心网产品的组网、功能和架构有深刻的理解； 3、具备良好的沟通、协调能力和初步的软件项目管理能力。 4、能自行解决维护中出现的问题，能进行较深层次日志、消息、信令分析。 岗位要求: 1、计算机、通信等相关专业专科以上学历； 2、5年以上相关工作经验，具备厂家工作经验者优先； 3、要求具备CN-PS/EPC，IMS、UPF、5GC等产品经验，虚拟化、数通等方面知识点； 4、工作积极主动，学习能力强，良好的文档习惯，具备较好的沟通能力和团队合作精神； 福利待遇： 1， 待遇从优，薪资范围15K-50K（视证书及面试情况考核情况而定） 2， 福利体系：出差补助+五险+交通补贴+激励奖金+通讯补贴+春节福利 3， 提供宿舍 工作地点：overseas或远程支持 工作地点 西安雁塔区金桥国际广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,网络协议,Linux,核心网,HCIP",http://www.zhaopin.com/jobdetail/CC220147110J40716805903.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,南京翰华通信技术服务有限公司,8000-10000元,南京·江宁·秣陵,南京,大专,1-3年,7月26日,zhilian_direct,职位描述 5GC 电信云 核心网：5GC ；电信云； 学历】本科优先，院校清单内 【工作年限】至少1年工作经验（含实习经验） 【工作经验】通信经验，从事过开发、交付或维护工作，或者从事过友商的开发、工程维护交付或具备互联网或运营商行业运营工作经验 工作地点 南京市-江宁区-诚信大道19号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5GC,电信云",http://www.zhaopin.com/jobdetail/CC811284130J41023479804.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,北京华信东方科技有限公司,1-1.5万,北京·海淀·羊坊店,北京,大专,1年以下,7月26日,zhilian_direct,"职位描述 核心网 IMS PS 融合数据 核心网IMS融合数据 工作内容: 1、熟悉ims核心网各网元（SBC,HSS/UDM,ENUM，CSCF等），了解sip，udp/tcp等协议，了解sip呼叫流程， 2、可以处理移动核心网维护和故障分析，分析sip信令，支撑ims核心网网络的日常维护、故障定位、故障处理和网络优化，提升网络性能; 工作地点 北京海淀区华信东方科技有限公司吴家场路9号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","核心网,IMS,PS,融合数据",http://www.zhaopin.com/jobdetail/CC120472390J40106192708.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师（六险一金+周末双休）,郑州联创优聘信息科技有限公司,9000-18000元,郑州·金水·祭城路,郑州,本科,3-5年,7月26日,zhilian_direct,职位描述 通信项目管理 核心网 IT领域 英语好 C语言 网络交换技术 防火墙 DDOS WAF 数通 交付 职责： 1、能够与与客户有效沟通技术方案、项目计划和进度等，获得客户支持和认可。 2、可以正确理解、有效分析和管理客户需求，提升客户满意度。 3、可以正确理解客户的困难和问题，并做出快速反应，帮助解决。 4、有良好的职业素养，责任心强，精通通信行业流程规范、能够服从工作安排； 5、具备一定能力指导低级员工工作，并对结果负责。 技能要求： 1、熟悉核心网相关产品知识，任一个（CS/PS) 2、熟悉IT领域相关知识（服务器，存储、网络等），具有一定的数通基础知识。 3、参与过至少3-5个核心网交付项目，并且具备一定的设备日常维护、故障定界、应急处理、网络优化等能力。 4、具备主导项目网络方案实施和部署能力，能够识别网络重大隐患和风险，并采取有效措施解决或规避。 5、具备识别业务策略、规划设计、技术方案、网络安全等技术风险，采取有效措施应对并规避技术风险。 工作地点 金水区郑州市北龙湖 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"通信项目管理,核心网,IT领域,英语好,C语言,网络交换技术,防火墙,DDOS,WAF,数通,交付",http://www.zhaopin.com/jobdetail/CCL1314982440J40783138006.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,胜通和科技有限公司广州分公司,8000-12000元,呼和浩特·新城,呼和浩特,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1.负责支撑运营商相关核心网规划可研设计及支撑工作。 2.负责省级核心网项目方案设计（方案编制+勘察绘图+预算编制等），方案层面主要包括容量规划、演进策略制定及端到端解决方案输出及汇报等工作。 二、任职要求： 1.熟练掌握4G EPC、5GC、IMS网络架构及协议（如SIP、Diameter、MAP），IP承载网网络架构及协议。 2.熟悉云计算及云化技术（NFV/SDN）、虚拟化平台（OpenStack/K8S）及容器化工具（Docker）。 3.了解5G-A/6G演进、网络切片、边缘计算（MEC）等新技术。 4.熟练使用Office、AUTOCAD、概预算等工具。 三、硬性条件： 通信工程、计算机、电子信息类本科或以上学历，不少于3~5年设计项目经验，独立负责过至少3个省级运营商核心网/传输/承载网/云资源池类项目设计，具备从需求分析、方案设计到交付落地的全流程闭环能力。 四、软性素质： 1.沟通协调：独立承担客户技术交流、高层汇报及各方沟通协作。 2.问题解决：复杂问题拆解能力。 3.文档能力：熟练编写技术建议书、招投标文件、规划设计。 工作地点 呼和浩特新城区中国联通(内蒙古分公司)1F 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"核心网规划,4G EPC,5GC,AutoCAD,NFV,SDN,Openstack,网络架构,6G",http://www.zhaopin.com/jobdetail/CC702648730J40867658608.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,西安信意通科技有限公司,1.5-3万,西安·雁塔·丈八沟,西安,大专,3-5年,7月26日,zhilian_direct,职位描述 核心网 英语 1、负责IMS+CS核心网产品的操作执行和技术支持，包括设备开通调试、升级割接、故障处理、网络维护等； 2、协调客户、售前等部门沟通解决工程或产品相关问题，并提供必要的技术支持 3、总结输出开通调试维护经验和指导文档 4、与运营商进行关于产品的技术交流，问题澄清，提高客户满意度要求 工作地点 西安市-雁塔区-高新区科技路50号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"核心网,英语",http://www.zhaopin.com/jobdetail/CC220147110J40881699603.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,郑州联创优聘信息科技有限公司,1-2万·14薪,郑州·金水·祭城路,郑州,本科,3-5年,7月26日,zhilian_direct,职位描述 5GC IMS 电信云 SRE 5GC、IMS、电信云、SRE、融合数据、新通话、信令网等方向都有岗位需求 岗位信息： 1、1~2年核心网工程交付经验，具备UNC（AMF/SMF/CHF等）&UPF&UEG产品工程部署、数据配置、调测验收交付经验，熟悉信令流程并具备独立处理问题故障定位经验 2、具备5GC或者UPF&UEG基础技能知识优先 3、有中国区交付经验优先 4、具备一定的英语沟通能力 工作地点 郑州金水区龙湖北 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"5GC,IMS,电信云,SRE",http://www.zhaopin.com/jobdetail/CCL1314982440J40778914506.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
核心网工程师,电旗,5000-8000元,白城·洮北区·镇南种羊场,白城,大专,经验不限,7月26日,zhilian_direct,职位描述 5G 核心网 中兴5GC产品调测 核心网架构优化 网络故障排查 工作职责 1. 负责中兴5GC网络产品的现场调测、开局部署及割接升级工作，保障设备稳定运行。 2. 配合团队完成网络设备的日常维护与故障排查，确保网络服务质量。 任职要求 1. 具备中兴5GC网络产品调测经验，熟悉设备开局、割接、升级全流程。 2. 掌握中兴接入设备5GC产品的技术原理，能独立完成设备配置与调试。 3. 持有中兴5GC相关认证者优先；若为华为、烽火等其他厂家背景，需具备对应厂家核心网产品认证。 工作地点 洮北区中国移动(白城分公司) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5G,核心网,中兴5GC产品调测,核心网架构优化,网络故障排查",http://www.zhaopin.com/jobdetail/CC000551470J40864360907.htm?refcode=4019&srccode=401903&preactionid=59db6028-3b18-4e2f-acd5-ee36cc04e32a
