job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
深度学习算法工程师（具身智能方向）,北京天亿弘方投资管理有限公司,2-3.5万,北京·海淀·花园路,北京,硕士,经验不限,7月26日,zhilian_direct,"职位描述 图像算法 导航算法 人工神经网络 Transformer ResNet PyTorch OpenCV C++ Keras Python 多模态医学影像 医疗器械 模仿学习 人工智能 医疗设备/器械/耗材 工作职责： 1. 从事多模态医学影像的深度学习、先进图像算法、视觉导航算法的研发。 2. 参与医疗领域算法模型的预训练、监督微调、强化学习微调等工作。 3. 设计视觉导航算法模型、部署全流程方案，包含数据收集、清洗、规整，评测方案制定，完成模型效果评估与模型迭代优化。 4. 负责算法文档、开发文档撰写与维护，整理医疗AI产品注册相关文档、代码、数据规范。 5. 支持发明专利申请、SCI等学术文章发表，支持与医疗机构、科研单位的课题申请等。 岗位要求 1. 硕士以上学历，生物医学工程、人工智能、机器人、自动化、计算机等相关专业，具备相关项目开发经验优先; 2. 熟练掌握 C++/python 语言，掌握 Linux 下编程与调试相关的方法和工具使用; 3. 精通Python及主流深度学习框架(PyTorch/TensorFlow)，理解U-Net,Transformer等图像算法架构； 4. 具有医学图像处理研发和临床合作经验者优先。 工作地点 北京海淀区花园北路35号健康智谷13层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","图像算法,导航算法,人工神经网络,Transformer,ResNet,PyTorch,OpenCV,C++,Keras,Python,多模态医学影像,医疗器械,模仿学习",http://www.zhaopin.com/jobdetail/CC260422030J40791468406.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,1.2-1.6万,深圳·龙岗·坂田,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 深度学习 机器学习 大模型算法 运筹优化 时间序列 PYTHON算法 大模型 【本科可查，理工科专业】--必须项！ 关键字：大模型、机器学习、深度学习、运筹优化、时间序列 有1-2项经验 本科理工类，年限2年以上 工作职责： 1、负责算法模型的效果测试、问题定位等，输出测试报告； 2、负责算法模型的工程化部署，性能提升。 3、负责多模态/NLP/CV等领域下游任务中算法数据的处理工作以及进行模型试算与训练，包括不限于OCR识别、表格还原、信息提取等。 业务技能要求： 1）熟练掌握Python/C++/C等语言中的一种或多种。 2）有算法开发、测试以及部署的经验。 3）良好的沟通学习能力，可以快速融入团队，学习新知识。 专业知识要求： 1) 2年以上工作算法相关工作经验 1）熟悉算法服务部署者优先； 2）熟悉常见的视觉AI算法模型（ResNet/ YOLO/Attention/Transfomer等）者优先。 3）熟悉Opencv、Numpy、Pandas等工具包优先 4)从事过类似文档信息抽取、要素抽取的项目 工作地点 深圳龙岗区金荣达科技工业园4栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,大模型算法,运筹优化,时间序列,PYTHON算法,大模型",http://www.zhaopin.com/jobdetail/CC000544460J40735553916.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
深度学习算法工程师,东莞市摩视自动化科技有限公司,2-4万,东莞·长安镇,东莞,硕士,1-3年,7月26日,zhilian_direct,"岗位职责： 1. 根据产品需求，选择相应的深度学习框架，搭建修改不同模块的网络结构； 2. 对算法模型进行调参训练、指标评估、优化、本地以及服务化部署； 3. 对数据要求进行方案选择，指导数据部门进行样本清洗和标注工作； 4. 对模型进行工程化实现，与项目整体系统做集成； 岗位要求： 1、具备C/C++/python/cuda/opencv等开发经验，编程基础扎实，具有较强的技术文献收集能力，以及英文文献阅读理解能力。 2、有1-3年经验，熟悉pytorch、yolo、transformer、attention等，熟悉linux。 3、掌握深度学习的基本理论与概念，熟悉模型的训练及调参和优化。 4、 熟悉深度学习常用模型和DL开源框架，如CNN，Pytorch, TensorFlow，caffe等。 5、 熟悉了解并能够进行自定义微调使用视觉大模型，包括但不限于SD，SAM。 6、自动化行业视觉检测从业经验者优先。 7、自学能力强，有一定独立分析，技术研究能力，具有良好的团队合作精神。 职位福利：五险一金、带薪年假、周末双休 工作地点 东莞市摩视自动化科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","深度学习,图像处理,Python,C++",http://www.zhaopin.com/jobdetail/CC826760350J40275014408.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,东莞·大朗镇,东莞,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 东莞华为研发实验室1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C语言,C++,Python,Java,Shell,C#,PyTorch",http://www.zhaopin.com/jobdetail/CCL1480117890J40814934805.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,1.1-1.4万,武汉·洪山·花山,武汉,本科,3-5年,7月26日,zhilian_direct,职位描述 深度学习 机器学习 大模型算法 运筹优化 时间序列 PYTHON算法 大模型 【本科可查，理工科专业】--必须项！ 关键字：大模型、机器学习、深度学习、运筹优化、时间序列 有1-2项经验 本科理工类，年限2年以上 工作职责： 1、负责算法模型的效果测试、问题定位等，输出测试报告； 2、负责算法模型的工程化部署，性能提升。 3、负责多模态/NLP/CV等领域下游任务中算法数据的处理工作以及进行模型试算与训练，包括不限于OCR识别、表格还原、信息提取等。 业务技能要求： 1）熟练掌握Python/C++/C等语言中的一种或多种。 2）有算法开发、测试以及部署的经验。 3）良好的沟通学习能力，可以快速融入团队，学习新知识。 专业知识要求： 1) 3年以上工作算法相关工作经验 1）熟悉算法服务部署者优先； 2）熟悉常见的视觉AI算法模型（ResNet/ YOLO/Attention/Transfomer等）者优先。 3）熟悉Opencv、Numpy、Pandas等工具包优先 4)从事过类似文档信息抽取、要素抽取的项目 工作地点 洪山区武汉软件新城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,大模型算法,运筹优化,时间序列,PYTHON算法,大模型",http://www.zhaopin.com/jobdetail/CC000544460J40735552816.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
算法工程师（深度学习方向）,江苏安控智汇科技有限公司,1-1.5万,常州·溧阳·溧城,常州,本科,1-3年,7月26日,zhilian_direct,岗位职责 负责深度学习算法的调研、设计、训练及优化，推动模型、智能体落地应用； 根据项目需求，参与技术方案设计，完成核心算法模块的开发与验证； 对已有模型进行持续改进和调优，提升算法精度与推理效率； 配合团队完成算法测试、性能评估及集成交付； 撰写算法技术文档，确保研发过程可追溯、可复现。 三、薪资待遇 薪资：10-15K，每年有10%以上的增幅，缴纳五险一金；薪资结构：基本工资+加班费+项目绩效。免费提供工作餐，外市工程师免费提供商住套房； 工作时间：长白班（8小时工作制），单休（可调休）； 兼职机会：有开发和管理经验者可兼职（要求每周到公司上一天班，车旅费报销，薪资面议）； 工作地点：常州溧阳新世纪控股集团办公楼10F； 以上工作，根据自身条件和工作能力，待遇可作相应提升。有能力研发高新技术产品者也可通过多元方式与本公司合作。 公司网址：http://www.czak.net/ 工作地点 常州溧阳市新世纪控股集团 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,PyTorch",http://www.zhaopin.com/jobdetail/CCL1520619550J40828436011.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,西安·雁塔·漳浒寨,西安,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 雁塔区华为西安研究所1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Java,Python,C++,C语言,主题模型,PyTorch",http://www.zhaopin.com/jobdetail/CCL1480117890J40837808505.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
深度学习算法工程师,北京数字绿土科技股份有限公司,2-4万,武汉·洪山·花山,武汉,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 模型开发与优化：开发基于点云或图像目标检测/分割模型，完成训练调优及轻量化部署（TensorRT/ONNX），实现和优化目标的识别、提取以及单体化。 2. 数据处理与增强：构建高质量点云/图像/视频数据集，设计数据清洗、标注方案及增强策略。 3. 模型评估与改进：测试模型在真实场景的泛化性，分析Bad Case，提出改进方案并优化。 4. 技术研究：跟踪前沿科技论文，复现并验证新算法效果。 5. 配合团队完成框架前后端相关功能的开发、测试与维护工作。 6. 参与AI Agent应用开发，能将目标识别、缺陷检测等算法能力与大模型、行业知识库深度结合，构建实用的智能体应用。 任职要求： 1. 计算机/人工智能相关专业，本科及以上学历，3 年及以上深度学习算法工程化落地经验。 2. 扎实的Python基础，熟悉PyTorch及主流图像和点云模型，理解目标检测任务与评估指标。 3. 具备一定的三维点云和图像处理算法基础，掌握目标检测、语义分割、图像分割等相关算法及工程化落地方法。 4. 熟悉C/C++，了解设计模式与方法，具备良好的软件工程思想和能力。 5. 了解AI Agent大模型应用开发。 6. 具备良好的代码规范意识，熟悉Git版本控制工具，熟悉AI Coding工具，有团队协作开发经验。。 工作地点 洪山区武汉软件新城3期软件新城3期D5栋6层-8层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,机器视觉,PyTorch,Python,AI AGENT大模型应用开发",http://www.zhaopin.com/jobdetail/CC540407920J40833507507.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
深度学习工程师,唐山英莱科技有限公司,1.5-3万·13薪,苏州·吴江·松陵,苏州,硕士,3-5年,7月26日,zhilian_direct,"职位描述 C++ OpenCV Halcon TensorFlow PyTorch Keras Theano Caffe 通信/网络设备 云计算 人工智能 职责描述： 1，对复杂工况下，工件指定特征进行目标检测、识别、分割； 2，深度学习相关模型网络设计、优化及相关部署； 3，传统机器视觉算法应用，包括目标检测识别、图像定位等； 4，负责软件编写及算法文档设计，并进行实际调试. 任职要求： 1，熟悉C++语言以及常见的图像开发平台，如opencv、halcon等，熟悉图像处理方法； 2，熟悉MATLAB等仿真应用软件； 3，有较强分析和解决问题能力，善于沟通和逻辑表达。 4，精通TensorFlow、Caffe, Torch，FastRCNN、YOLO系列等框架至少其中之一，有Cudnn、经验优先； 5，对算法部署方案有自我的理解与实际工程经验. 职位福利：五险一金、绩效奖金、包吃、周末双休、补充医疗保险、出差补贴、试用期提前转正、年轻化团队 工作地点 苏州吴江区稻谷互联网产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,OpenCV,Halcon,TensorFlow,PyTorch,Keras,Theano,Caffe",http://www.zhaopin.com/jobdetail/CC708805520J40367303005.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,东莞·大朗镇,东莞,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 东莞华为研发实验室1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C语言,C++,Python,Java,C#",http://www.zhaopin.com/jobdetail/CCL1480117890J40835297705.htm?refcode=4019&srccode=401903&preactionid=63fce856-93cd-427e-a02c-455ddcf50e4c
