job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
python爬虫工程师,上海策贸科技有限公司,1.4-1.7万,上海·徐汇·龙华,上海,本科,3-5年,7月25日,zhilian_direct,岗位职责 1. 结合大模型训练需求，设计和优化高效、智能化的爬虫系统，进行多源（文本、语音、视觉）数据采集。 2. 针对大模型数据预处理要求，优化爬虫数据格式和质量，提升爬取数据对训练和推理的适用性。 3. 结合大模型场景，构建半自动/自动化定向抓取能力，推进数据抓取工作平台化建设。 4. 跟进最新的反爬技术与反制策略，持续优化爬虫架构和性能，保障数据采集的稳定性与持续性。 5. 负责数据存储方案设计与基础查询优化，确保大规模数据的高效存取。 二、职位要求 1. 本科及以上学历，计算机科学、人工智能、网络安全等相关专业，具备多年爬虫开发相关工作经验。 2. 精通Python 编程语言，熟练掌握 Scrapy、BeautifulSoup、Selenium、Playwright 等爬虫相关框架与工具。 3. 熟悉并能绕过常见的反爬技术，具备独立解决IP 代理、验证码识别、动态渲染、JS 加密等反爬问题的能力。 4. 熟悉HTTP/HTTPS 协议及常见 Web 前端技术（HTML、CSS、JavaScript），能分析动态网页加载逻辑，对复杂数据进行高效提取和清洗。 5. 熟悉大模型训练和数据处理流程，能够根据模型需求灵活调整数据抓取策略。 6. 熟悉MySQL、MongoDB 等数据库的使用，能完成数据的存储与基本的查询优化。 7. 具备良好的问题排查能力、沟通协作能力和责任心，有较强的学习能力和技术钻研精神。 三、加分项 1. 有大规模数据抓取与处理经验，尤其是针对大模型训练数据的采集和优化。 2. 有大模型或AI 相关领域的爬虫应用经验，能够理解和支持模型数据需求。 3. 熟悉数据加密与解密技术，能够破解复杂的加密算法。 具备AI 或大模型领域的技术背景，对模型训练全流程有深入理解。 工作地点 徐汇区上海库帕思科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Scrapy,BeautifulSoup,SELENIU",http://www.zhaopin.com/jobdetail/CC716548080J41022525504.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师,北京迈迪培尔信息技术有限公司,6000-12000元,北京·门头沟·永定,北京,本科,经验不限,7月23日,zhilian_direct,"岗位职责： 1. 熟悉搜索引擎和网络爬虫相关技术,有爬虫系统开发经验； 2. 熟练掌握网页抓取原理及技术，熟悉网页解析过程，具备数据的过滤、清洗、去重、结构化导入经验； 3. 熟悉分布式爬虫应用和调度策略，掌握各类网站的反爬机制和验证码机制； 4. 熟悉TCP/IP协议及HTTP协议,了解基本的前端技术，HTML、CSS、JS、Ajax等； 5. 熟练使用mysql，mongodb等数据库，熟悉mysql的各种存储引擎，熟悉索引工作原理。 任职要求： 1. 大学本科及以上学历，计算机相关专业，基础扎实； 2. 具有Python开发工作经验，熟悉Python常用函数库和包； 3. 熟练掌握python，熟悉常用爬虫框架中的一种或多种，熟悉Scrapy、Pyspider框架中的至少一种； 4. 熟悉MySql、Redis、MongoDB等数据库，对SQL优化有一定的经验； 5.熟悉网页抓取原理及技术，熟练掌握正则表达式、XPath、CSS等网页信息抽取技术； 6.具有优秀的团队合作和沟通协作能力，善于学习，能承受较大的工作压力。 公司介绍： 北京迈迪培尔信息技术有限公司（MedPeerTM）坐落于风景秀丽的京西中关村门头沟科技园，是一家专注于生物医学教育与科研服务的创新型公司，公司创始人涵盖国内著名院校、科研机构、临床医院和投资公司的业务精英，具有极其丰富的教育与科研服务实践经验，以及广泛的业务领域平台和人脉资源。公司率先在国内提出“融合型人工智能”概念，将“人工智能”、“大数据分析”和生物医学科研教育有机融合，致力于创建新型科技创新模式，促进生物医学技术研发平台整体跃升。 工作地点 北京市 门头沟区 莲石湖西路98号院801 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","数据挖掘,数据清洗,数据采集",http://www.zhaopin.com/jobdetail/CC522223780J40653913015.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
python爬虫工程师,北京碧博格尔科技服务有限公司,1.5-3万,西安·长安·郭杜,西安,硕士,1-3年,7月25日,zhilian_direct,职位描述 数据挖掘 爬虫开发 Python 1、负责辅助决策系统的数据采集全流程工作，包括数据接口开发、数据抓取、数据清洗与整理，确保数据的准确性与完整性。 2、负责28个省份辅助决策系统相关工具的开发与维护，提升数据处理与系统操作的效率。 3、负责系统数据运维工作，排查数据异常问题，优化数据处理流程，保障数据稳定供应。 4、配合研发团队与产品经理，根据业务需求开发数据相关功能，支撑系统迭代优化。 5、参与系统测试与上线工作，确保数据相关功能正常运行。 1、学历要求：硕士及以上学历，计算机、数据科学、统计学、电力系统及其自动化等相关专业优先，了解电力交易业务者加分。 2、经验要求：1-3年及以上Python应用开发经验，有数据采集、数据处理及电力行业相关系统开发经验者优先；熟悉电力交易辅助决策系统、电力市场数据特点，有相关系统Python开发经验者优先。 3、技术要求：精通Python编程语言，具备扎实的Python应用开发功底，能独立完成电力交易辅助决策系统相关的Python程序开发、调试与优化；熟悉requests、scrapy等数据采集工具，熟练操作MySQL、MongoDB等数据库；具备数据清洗、数据可视化、接口开发相关能力，能适配电力交易数据的特殊性（如实时性、准确性要求）；了解电力交易相关业务逻辑，能结合业务需求完成Python开发相关工作者优先。 4、其他要求：具备较强的问题解决能力与学习能力，能快速适应电力交易业务需求变化及系统迭代；工作认真细致，具备良好的团队协作精神；注重代码规范性与可维护性，能配合研发团队完成电力交易辅助决策系统的开发与运维工作；严格遵守电力行业数据安全相关规定，保障系统数据与交易相关信息的安全性、保密性。 工作地点 西安长安区中交科技城-东区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,爬虫开发,Python",http://www.zhaopin.com/jobdetail/CC849264270J40826789716.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师,河南策知科教有限公司,8000-12000元,郑州·金水·祭城路,郑州,本科,1-3年,7月23日,zhilian_direct,职位描述 Python requests 数据爬虫 反爬虫 多端数据源采集 分布式爬虫 GO Scrapy 爬虫系统运维优化 反爬策略落地 工作职责 1. 负责 Web 网站、微信公众号、微信小程序等数据源的采集开发与维护，根据业务需求编写、优化爬虫程序，保障数据采集的稳定性和准确性。 2. 根据目标网站变化及时调整采集策略，解决常见反爬问题（如 Cookie、请求参数、访问频率限制等），保证采集任务正常运行。 3. 负责爬虫程序的日常维护，及时排查数据异常、接口变更等问题，持续优化程序性能与采集效率。 4. 参与爬虫系统功能开发，配合完成数据解析、数据清洗及入库等相关工作。 5. 编写相关技术文档，参与团队技术交流，不断学习和提升爬虫开发能力。 任职要求 1. 1-3 年 Python 开发或爬虫开发经验，计算机相关专业优先。 2. 熟练掌握 Python，熟悉 Requests、BeautifulSoup、lxml、XPath、正则表达式等常用数据采集技术。 3. 熟悉 HTTP/HTTPS 协议，了解 Cookie、Session、Header 等基本原理。 4. 熟悉 MySQL、Redis 等常见数据库及缓存的基本使用。 5. 了解多线程、多进程或 asyncio 等并发编程方式，有一定的数据采集项目经验。 6. 具备良好的代码规范、学习能力和问题分析能力，工作认真负责。 福利待遇 早9晚6，大小周，社保、餐补、每周下午茶、生日福利、定期团建。 团队年轻有活力，公司氛围良好。 工作地点 郑州金水区永和龙子湖中央广场-A座北塔7楼708 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,requests,数据爬虫,反爬虫,多端数据源采集,分布式爬虫,GO,Scrapy,爬虫系统运维优化,反爬策略落地",http://www.zhaopin.com/jobdetail/CC801054320J40876012014.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师,浙江同洲项目管理有限公司,8000-9000元,杭州·上城·四季青,杭州,本科,1-3年,7月25日,zhilian_direct,岗位职责： 1. 负责设计和开发高效、稳定的网络爬虫系统，针对不同网站结构制定爬取策略，处理反爬机制，确保数据采集的准确性和时效性。 2. 参与爬虫系统的优化与维护，解决爬取过程中的性能瓶颈、数据去重、异常处理等问题，提升系统稳定性和爬取效率。 3. 结合业务需求，对爬取的数据进行清洗、解析和结构化处理，为后续数据分析或应用提供支持。 4.对逆向加密，算法还原，jsvmp补环境等有一定的操作基础 任职要求： 1. 本科及以上学历，计算机、软件工程等相关专业，2年以上爬虫开发经验。 2. 熟练掌握Python编程语言，精通Scrapy、BeautifulSoup、Requests等爬虫框架和工具。 3. 熟悉各类反爬机制（如验证码、IP封锁、JS混淆等），有丰富的反爬解决方案经验。 4. 具备llm部署经验，熟悉模型部署流程、性能优化及故障排查。 5. 有MCP（模型控制平台）相关开发或使用经验者优先，了解模型监控、调度等核心功能。 6. 熟悉数据库（如MySQL、MongoDB）的使用，具备数据处理和分析能力。 7. 具备良好的问题分析与解决能力，较强的沟通能力和团队协作精神。 工作地点 杭州上城区三新银座1506 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Scrapy,BeautifulSoup,requests",http://www.zhaopin.com/jobdetail/CC704600620J40831028008.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师,北京盈科千信科技有限公司,1.1-1.5万,北京·海淀·北下关,北京,本科,3-5年,7月25日,zhilian_direct,"岗位职责 1、负责公司爬虫核心技术开发，满足公司对多源数据海量、实时、高质量采集要求 2、积极主动思考探索爬虫在实际业务中的价值，参与设计数据有效利用策略，从数据合理性、完整性角度提供建议 3、把握网络爬虫核心技术研究方向，研究优化方向，提升爬虫系统的稳定性、可扩展性 4、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量 5、负责攻克实际业务中遇到的难题 任职要求 1、统招本科以上学历，3年以上爬虫项目经验 2、有丰富的web端逆向经验，对web端环境补全，算法还原有一定经验 3、熟练使用使用 App 逆向工具frida，ida，apktool，xposed, 还原算法,java 层、so 层调用等 4、熟悉linux系统，熟悉mongodb，nosql（redis/kafka/rabbitmq），elasticsearch 5、充分的耐心以及灵活的头脑 工作地点 北京海淀区九龙商务中心A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","反爬虫,数据采集,数据挖掘",http://www.zhaopin.com/jobdetail/CC589888620J40578169816.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师-海外数据方向（成都MG）,新讯数字科技(杭州)有限公司北京分公司,1.2-1.6万,成都·双流·华阳,成都,大专,3-5年,7月23日,zhilian_direct,岗位职责 1. 开发分布式爬虫，抓取海外音乐平台音频、歌词、艺人、歌单、乐评元数据，进行数据清洗及结构化； 2. 自研全套反爬方案：代理池、指纹伪装、验证码识别、IP轮换，应对各类站点高强度风控限制； 3. 处理CSR/SSR/Wasm动态页面、网页JS逆向、移动端APP抓包解密，打通全链路采集流程； 4. 设计分布式调度策略，优化海外带宽与服务器资源，保障大规模稳定采集； 任职要求 1. 计算机相关专业，精通爬虫工作，2年以上爬虫开发及数据爬取经验，有海外站点采集经验优先； 2. 熟练Python，掌握Scrapy、Playwright等采集工具；熟悉Redis、MongoDB、Kafka中间件； 3. 具备JS逆向、Frida/抓包APP解密能力，能独立破解接口加密签名； 4. 了解Celery/Airflow分布式任务调度，会Docker、K8s云原生部署； 5. 具备数据治理基础，擅长跨团队协作，主动解决采集各类线上问题； 加分项 1. 有海外流媒体、多媒体平台采集实战经验； 2. 独立搭建过高并发代理调度、实时流式ETL系统； 3. 有AI模型训练数据处理、多语种数据处理相关经验； 4. 熟悉海外跨境网络优化方案； 5. 有音乐数据标注、音乐理解、音乐生成评测、歌词/音频/多模态对齐相关经验； 工作地点 双流区海思科广场四川省成都高新区中和街道 新通南三路10号1号楼5层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"海外数据,Python,Scrapy,PLAYWRIGHT",http://www.zhaopin.com/jobdetail/CC120409680J40875741809.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
python爬虫工程师,达华工程管理（集团）有限公司,6000-9000元,北京·东城·建国门,北京,本科,1-3年,7月25日,zhilian_direct,职位描述 Python HTML CSS 数据采集 爬虫开发 反爬虫 Scrapy 房地产行业数据采集 反反爬策略优化 非结构化数据处理 工作职责 1. 负责房地产行业相关数据（如楼盘信息、市场动态、政策法规等）的爬虫系统设计与开发，实现高效、稳定的数据采集。 2. 针对目标网站的反爬机制，制定并优化反反爬策略，保障爬虫的持续可用性。 3. 对采集到的非结构化数据进行清洗、转换与结构化存储，输出符合业务需求的高质量数据集。 4. 监控爬虫运行状态，及时排查并解决数据采集过程中的异常问题，确保数据的完整性与准确性。 5. 与业务团队协作，理解数据需求，持续优化爬虫策略与数据输出形式，支撑业务决策。 任职要求 1. 本科及以上学历，计算机、软件工程等相关专业，具备扎实的编程基础。 2. 精通Python语言，熟练掌握Scrapy、BeautifulSoup、Selenium等主流爬虫框架与工具。 3. 熟悉HTTP协议、HTML/CSS解析、JavaScript渲染等前端技术，能应对动态网页的数据采集。 4. 具备反反爬经验，了解常见的反爬手段（如IP限制、验证码、UA检测等）并能提出有效解决方案。 5. 熟悉数据库（如MySQL、MongoDB）的基本操作，能独立完成数据的存储与管理。 6. 具备良好的问题分析与解决能力，能独立承担复杂爬虫项目的开发与维护。 7. 有房地产行业数据采集经验或相关领域项目经验者优先。 工作地点 北京东城区恒基中心-办公楼三座8层815 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,HTML,CSS,数据采集,爬虫开发,反爬虫,Scrapy,房地产行业数据采集,反反爬策略优化,非结构化数据处理",http://www.zhaopin.com/jobdetail/CC120896620J40831277716.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师-线上面试,深圳市法本信息技术股份有限公司,1.2-1.8万,上海·徐汇·龙华,上海,本科,经验不限,7月23日,zhilian_direct,岗位职责 1.结合大模型训练需求，设计和优化高效、智能化的爬虫系统，进行多源（文本、语音、视觉）数据采集。 2.针对大模型数据预处理要求，优化爬虫数据格式和质量，提升爬取数据对训练和推理的适用性。 3.结合大模型场景，构建半自动/自动化定向抓取能力，推进数据抓取工作平台化建设。 4.跟进最新的反爬技术与反制策略，持续优化爬虫架构和性能，保障数据采集的稳定性与持续性。 5.负责数据存储方案设计与基础查询优化，确保大规模数据的高效存取。 二、职位要求 1.本科及以上学历，计算机科学、人工智能、网络安全等相关专业，具备多年爬虫开发相关工作经验。 2.精通Python 编程语言，熟练掌握 Scrapy、BeautifulSoup、Selenium、Playwright 等爬虫相关框架与工具。 3.熟悉并能绕过常见的反爬技术，具备独立解决IP 代理、验证码识别、动态渲染、JS 加密等反爬问题的能力。 4.熟悉HTTP/HTTPS 协议及常见 Web 前端技术（HTML、CSS、JavaScript），能分析动态网页加载逻辑，对复杂数据进行高效提取和清洗。 5.熟悉大模型训练和数据处理流程，能够根据模型需求灵活调整数据抓取策略。 6.熟悉MySQL、MongoDB 等数据库的使用，能完成数据的存储与基本的查询优化。 7.具备良好的问题排查能力、沟通协作能力和责任心，有较强的学习能力和技术钻研精神。 三、加分项 1.有大规模数据抓取与处理经验，尤其是针对大模型训练数据的采集和优化。 2.有大模型或AI 相关领域的爬虫应用经验，能够理解和支持模型数据需求。 3.熟悉数据加密与解密技术，能够破解复杂的加密算法。 具备AI 或大模型领域的技术背景，对模型训练全流程有深入理解。 工作地点 上海徐汇区星云1号大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,爬虫开发,反爬虫,分布式爬虫,数据清洗,数据采集",http://www.zhaopin.com/jobdetail/CC385622410J40789399506.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
爬虫工程师,长沙麦都网络科技有限公司,6000-8000元,长沙·长沙·星沙,长沙,大专,1-3年,7月24日,zhilian_direct,"岗位职责： 1.负责数据采集与维护工作； 2.负责数据的清洗、提取、去重及入库等工作； 3.负责数据业务处理的准确性，且不断的研究与攻克相关数据业务处理上技术难点； 4.发现据业务团队工作瓶颈，利用相关技术帮助数据团队进行工作提效。 任职要求 1.专科及以上学历，1~2年爬虫开发工作经验，优秀应届毕业生亦可； 2.有分布式爬虫开发经验或熟悉PHP和go语言,有一定的后端开发经验优先； 3.熟悉linux，了解Nginx、docker，熟悉scrapy、selenium、requests等常用模块； 4.熟悉MySQL、Redis等数据库； 5.熟悉HTTP协议，熟悉网页抓取原理，熟练掌握XPath、正则表达式、bs4等提取； 6.有良好的代码习惯，逻辑性强，命名规范，责任心强。 职位福利：节日福利、五险一金、餐补、带薪年假、年底双薪 工作地点 长沙长沙县华润·置地广场一期12栋25楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","PHP,分布式爬虫,SQL,Python,GO",http://www.zhaopin.com/jobdetail/CC439286310J40415558106.htm?refcode=4019&srccode=401903&preactionid=b7625d13-5ac4-43a8-9723-56db0d315af8
