job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
物联网产品经理,青岛申特物联网科技有限公司,8000-10000元,青岛·市南·湛山,青岛,大专,3-5年,7月22日,zhilian_direct,职位描述 物联网产品 智慧城市产品 产品运营 项目管理 负责区域智能家居渠道市场的开拓及销售工作 负责自有渠道合作伙伴的关系维护及销售促进工作 负责建立全面的渠道销售战略、渠道体系规划与建设.完成各项销售指标/实现公司业绩目标 把握行业市场动态完善市场信息管理供应趋势分析和相关建议: 搜集渠道开拓及合作伙伴反馈信息明确公关目标和方案; 3年以上家居建材或智能物联网行业经验具有丰富的建材行业/智能家居渠道资源及大客户资源 了解互联网/云计算/IOT 行业有智能家居行业相关经验者优先考虑; 工作地点 市南区青岛世界贸易中心A座24D 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"物联网产品,智慧城市产品,产品运营,项目管理",http://www.zhaopin.com/jobdetail/CC573056080J40438612116.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
物联网嵌入式软件工程师,陕西宏程博运建筑安装工程有限公司,9000-11000元·13薪,西安·雁塔·长延堡,西安,本科,3-5年,7月21日,zhilian_direct,职位描述 C语言 C++ ARM处理器 32位单片机 物联网终端开发 通信协议开发调试 软硬件联调 PIC单片机 Java 云计算 通信/网络设备 新材料 工作职责 1. 负责物联网终端设备的嵌入式软件设计与开发，包括驱动程序、通信协议栈及应用层逻辑实现。 2. 参与硬件与软件的联调测试，解决设备在数据传输、功耗控制等方面的技术问题。 3. 优化嵌入式系统性能，提升设备的稳定性、响应速度及兼容性。 4. 编写技术文档，包括需求分析、设计方案、测试报告等，保障开发流程的规范性。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握C/C++编程语言，熟悉ARM、STM32等主流嵌入式平台的开发环境。 3. 具备物联网通信协议（如MQTT、LoRa、NB-IoT）的开发与调试经验。 4. 了解硬件电路原理，能独立完成嵌入式软件与硬件的协同开发。 5. 具备良好的问题分析能力与团队协作精神，能快速定位并解决技术难题。 工作地点 西安雁塔区科泰大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++,ARM处理器,32位单片机,物联网终端开发,通信协议开发调试,软硬件联调,PIC单片机,Java",http://www.zhaopin.com/jobdetail/CCL1515550280J40876764514.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
物联网销售,深圳智机物联科技有限公司,6000-12000元,深圳·龙华·龙华,深圳,大专,1-3年,7月26日,zhilian_direct,岗位职责： 1. 负责公司物联网卡产品的市场推广与销售工作，完成制定的销售业绩目标； 2. 挖掘潜在客户资源，拓展新客户、维护老客户，建立长期稳定的客户合作关系； 3. 深入了解客户需求，为客户提供专业的物联网卡产品解决方案，解答客户产品相关疑问； 4. 跟进销售订单进度，做好客户售后对接，提升客户满意度，持续挖掘客户合作潜力； 5. 收集市场及竞品信息，及时反馈市场动态，协助优化销售策略与产品服务。 任职要求： 1. 大专及以上学历，1年以上物联网/通信行业销售经验优先。 2. 具备主动拓客能力，能独立完成从线索挖掘到签单的全流程销售闭环。 3. 拥有优秀的面访沟通技巧，能快速建立客户信任并精准把握需求痛点。 4. 熟悉物联网技术应用场景（如工业物联网、智慧园区，临控安防，智慧农业），能清晰向客户传递产品价值。认可物联网行业发展前景，原意深耕本领域，遵守公司规章制度，服务工作安排。 薪资福利 1.薪资构成：底薪6000元+销售业绩提成+销售奖金，上不封顶，多劳多得，能力优秀者月薪轻松过万； 2. 基础保障：入职即购买五险； 3. 其他福利：定期团队团建、节日福利、带薪培训、清晰的晋升通道，销售主管、销售经理等管理岗位优先内部提拔。 工作地点 ： 龙华东环二路65号中佳创意园 工作地点 深圳龙华区中佳创意园C2栋5楼518 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"面销/陌拜,会议/会展销售,物联网行业销售,客户关系维护,解决方案提供",http://www.zhaopin.com/jobdetail/CC309267130J40882946503.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
电力物联网销售经理,莱格特智电物联科技(重庆)有限公司,5000-10000元,重庆·两江新区,重庆,本科,1-3年,7月8日,zhilian_direct,职位描述 企业客户 院校客户 区域销售 物联网 电力/水利/热力/燃气 工业自动化/机器人 嘿！我们正在寻找一位充满激情的销售工程师小伙伴，一起探索市场，为客户带去最棒的产品体验！ 你的冒险任务包括： 1. 结识新朋友（开发新客户）和巩固老朋友（维护老客户）的关系； 2. 用你的智慧为客户定制专属的产品解决方案； 3. 参与刺激的商务谈判，展现你的魅力； 4. 紧跟订单进展，确保每一次的收获（收款）都准时到达； 5. 去市场上收集各种情报，为我们的销售大战制定战略。 如果你： 1. 有过电力或者工业自动化的销售或客户服务的冒险经验； 2. 是一个善于沟通、有说服力的探险家； 3. 对市场有敏锐的直觉，像猎豹一样捕捉每一个机会； 4. 有责任心，不怕困难，敢于挑战。 那么，就拿起你的行囊，加入我们吧！一起开启这段充满挑战和机遇的销售冒险之旅！ 工作地点 重庆市-两江新区-悦康路6号4栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"企业客户,院校客户,区域销售",http://www.zhaopin.com/jobdetail/CC361604910J40983813804.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
消防物联网技术总工,北京奥信建筑工程设备安装有限公司,2.5-4万,北京,北京,本科,5-10年,6月25日,zhilian_direct,岗位职责 统筹公司智慧消防物联网整体技术工作，制定产品研发路线、平台整体架构，跟进消防新规、物联网前沿技术，规划产品迭代与专利申报。 负责云平台、物联网终端、消防网关软硬件研发管理，攻克设备海量接入、消防主机协议对接、监管平台数据上传等技术难题，把控产品质量与合规标准。 全权终审所有项目投标技术方案、技术响应文件；编制医院、园区、商业综合体等场景智慧消防整体解决方案，统筹项目现场技术交底、调试及验收。 把控行业消防合规要求，审核消防、电气防火检测报告，管理检测仪器校准，规避政策、检测、项目技术风险。 管理研发、方案、现场技术团队，开展专业技能培训，沉淀项目方案、故障案例库，搭建技术人才梯队。 对接消防监管单位、硬件厂商、云服务商，完成平台联网对接；配合售前客户技术答疑、现场踏勘，处理平台故障、设备批量离线等重大售后问题。 管控项目技术成本、平台网络与数据安全，提前识别各类项目技术隐患并制定应对方案。 任职要求 本科及以上学历，消防工程、电气工程、物联网、计算机、自动化相关专业； 必备一级注册消防工程师证书，持有高级电工、软考高级、高级工程师证书优先； 8 年及以上智慧消防 / 消防物联网行业技术经验，3 年以上同等总工 / 技术负责人管理经验； 精通消防全套国标规范，熟悉 NB-IoT/LoRa/4G 物联网通信、MQTT 协议，掌握海湾、利达、青鸟等主流消防主机对接； 具备大型政府、医院、商业综合体智慧消防项目全流程落地经验，可独立完成投标技术文件、整体解决方案编制； 具备团队管理、跨部门协调能力，沟通表达顺畅，能对接政企监管单位，抗压能力强。 福利：五险一金、带薪年假、节日福利等； 工作地点 北京朝阳区来广营西路5号院诚盈中心5号楼901室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"TypeScript,Java,C语言,Python,Go",http://www.zhaopin.com/jobdetail/CC141636510J41017784604.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
物联网销售经理/销售主管,深圳智机物联科技有限公司,8000-12000元,深圳·龙华·龙华,深圳,本科,经验不限,6月9日,zhilian_direct,职位描述 面销/陌拜 企业客户 区域销售 渠道销售 B端客户 监控安防 物联网 通信/网络设备 工作职责 1. 负责深圳及周边区域物联网卡、工业联网设备的市场开拓，精准触达安防、IPC、工控等垂直领域客户。 2. 深度开发系统集成商、工程商等渠道资源，建立并维护长期稳定的合作关系。 3. 全流程跟进销售项目，包括需求对接、方案报价、合同签订及回款管理，确保销售目标达成。 4. 实时收集市场动态与竞品信息，提炼客户核心需求并反馈至产品与研发团队。 任职要求 1. 具备强烈的销售驱动力，有1年销售经验，善于面销，沟通表达与谈判能力强。 2. 拥有IPC、安防监控、弱电、物联网或通信行业销售经验者优先。 3. 自带目标行业客户资源者优先考虑。 4. 具备优秀的团队协作意识与抗压能力，能独立完成销售任务。 补充说明 1. 薪酬结构：底薪+高比例提成+业绩奖金 2. 成长支持：完善的产品培训体系与销售话术指导 3. 晋升路径：销售代表→销售主管→区域经理 4. 团队氛围：轻松高效，无内卷文化，多劳多得 公司福利： 底薪+提成+五险+节假日福利 上班时间地点：单休：早上8:3-下午：18：00 龙华东环二路65号中佳创意园C2栋518 工作地点 深圳龙华区中佳创意园A4楼1楼110 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"面销/陌拜,企业客户,区域销售,渠道销售,B端客户",http://www.zhaopin.com/jobdetail/CC309267130J40880640303.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
物联网渠道销售,西安浩月腾飞物联科技有限公司,6000-12000元,西安·雁塔·丈八沟,西安,本科,1-3年,5月21日,zhilian_direct,岗位职责： 1. 根据公司业务开展商务销售工作，能独立拜访客户推动相关政策制定； 2. 负责对现有市场和客户进行维护跟进，提升客户满意度； 3. 了解市场变化并挖掘商机，发掘客户潜在需求，促成合作； 4. 与客户和内部简历友好合作伙伴关系，促进业务顺利推进。 客户对象： 运营商、地市级企事业单位。 薪资待遇： 1. 面议，底薪6K—10K（基本工资+绩效工资+年终奖） 2. 五险+节假日福利+法定节假日+生日周年庆礼物+季度奖金+年终奖 周一到周五上班，双休，国家法定节假日正常休息。 工作地点 西安雁塔区兰岛广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,运营商渠道,http://www.zhaopin.com/jobdetail/CCL1251993020J40860330509.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
电力物联网工程师,莱格特智电物联科技(重庆)有限公司,8000-10000元·14薪,重庆·北碚,重庆,本科,1-3年,4月28日,zhilian_direct,岗位职责: 1.负责公司自动化设备(仪表，保护等)的通讯调试（设备到网关，网关到平台以及平台软件的配置，页面制作，数据配置等）； 2.行业新技术的探索与研究（物联网相关产品）； 3.参与工程项目的现场调试，并为客户提供相应的培训。(适应1-3天的出差) 4.操作培训与技术交底，售后调试支持，负责相关技术文档的编制和整理归档。 5.完成公司和部门领导交办的其他事情。 岗位要求: 1.计算机、软件工程，电气自动化相关专业，有较好的沟通和理解能力; 2.有相关工作经验，2年以上工作经验者; 3.熟练掌握Word，Excel，PowerPoint，AutoCAD等办公软件;能够运用这些软件进行电气图绘制、电气设备布置图设计等; 职位福利：五险、周末双休、带薪年假、定期体检、绩效奖金、生日礼金 奖金绩效 项目考核奖金 工作地点 重庆市北碚区复兴镇两江健康科技城悦康路6号4幢1-2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"安装/调试,配电柜,开关柜,低压,中压,ABB,施耐德,西门子",http://www.zhaopin.com/jobdetail/CC361604910J40076844704.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
物联网销售工程师,深圳智机物联科技有限公司,7000-12000元,深圳·龙华·龙华,深圳,大专,1-3年,4月14日,zhilian_direct,职位描述 企业客户 区域销售 物联网解决方案 项目全周期管理 商务谈判 工作职责 1. 负责物联网行业客户的开发与深度维护，通过需求挖掘与场景分析，提供契合客户业务痛点的定制化解决方案。 2. 主导项目全周期跟进，从需求沟通、方案设计到商务谈判、合同签订，确保项目高效落地与客户满意度。 3. 收集市场动态与竞品信息，提炼关键洞察反馈至团队，助力优化产品策略与销售打法。 任职要求 1. 大专及以上学历，具备1年以上物联网或通信行业销售经验，熟悉行业客户运作模式。 2. 掌握物联网技术架构与典型应用场景，能独立完成方案讲解、技术沟通与客户需求转化。 3. 具备较强的项目推动能力与商务谈判技巧，拥有可验证的物联网项目销售成功案例。 补充说明 1. 薪资结构：6000元底薪 + 销售业绩3%提成 2. 福利政策：入职即购买社保 工作时间地点： 时间：6天制单休，上班时间早上8.30-下午18.00 地点：龙华东环二路65号中佳创意园 工作地点 深圳龙华区中佳创意园A4楼1楼110 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"企业客户,区域销售,物联网解决方案,项目全周期管理,商务谈判",http://www.zhaopin.com/jobdetail/CC309267130J40882943203.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
拔尖计划-生活物联网AI大模型技术专家,中移物联网,3-5万·16薪,重庆,重庆,硕士,5-10年,3月24日,zhilian_direct,职位描述 人工智能 物联网 工作职责 1、负责AI大模型相关基础技术研究，追踪AI大模型前沿技术方向并进行技术预研，制定技术发展计划； 2、负责开展生活物联网场景智能体的设计，负责解决其中的关键难题，确保产品在关键环节具备竞争力； 3、制定AI智能体研发规范和流程，为团队提供专业的技术指导和支持； 4、负责跨部门AI能力的协调与融合，推进项目的开展与实施； 5、完成上级领导交办的其他事项； 任职资格 1、教育背景：拥有计算机、人工智能等相关专业的硕士研究生以上学历，博士优先； 2、工作经验：具备8年以上AI大模型算法开发相关工作经验，，主导过至少2个AI项目落地 3、专业知识：精通机器学习、深度学习核心算法（如Transformer架构、自注意力机制、梯度优化等），具备扎实的数学基础，精通PyTorch/TensorFlow等主流框架，具备高性能代码实现能力； 4、素质要求：具备良好的沟通谈判及跨部门协同能力，富有拼搏精神、工匠精神和创新精神，能抗压、能自驱动开展各项工作。 工作地点 重庆市渝北区渝兴广场D2A栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,物联网",http://www.zhaopin.com/jobdetail/CC545530120J40831928010.htm?refcode=4019&srccode=401903&preactionid=782823cb-922a-41fe-9641-8a66265349d7
