job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
销售经理（工业物联网产品-白酒行业）,软通动力信息技术(集团)股份有限公司,1.3-1.5万,贵阳·观山湖·金阳,贵阳,本科,3-5年,7月26日,zhilian_direct,职位描述 KA大客户 企业客户 区域销售 物联网 软件/IT服务 薪资结构： 底薪+销售奖励提成 1、整合各渠道资源，负责翼酒保市场推广及商机转化； 2、负责翼酒保项目全流程协调、跟进，确保项目按时、保质交付。 经验要求： 具备白酒行业头部酒企丰富人脉优先 1、工作经验:具备至少3年以上白酒行业项目推广及产品销售的工作经验; 2、专业知识:具备物联网应用、信息系统建设等基础知识； 3、项目管理：拥有较强的项目管理技能，熟悉项目管理、通信及相关专的基本流程、方法、工具； 4、沟通协调:优秀的沟通和协调能力，能够与不同层级和背景的人高效沟通，团队协作能力强，个性温和; 5、工作地:贵州、山东、安徽、四川任选其一，需要本地驻点工作。 工作地点 贵阳观山湖区中国电信股份有限公司贵州分公司1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"KA大客户,企业客户,区域销售",http://www.zhaopin.com/jobdetail/CC000544460J40829532916.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网工程师,四川翔展信息技术有限公司,4000-7000元,成都·武侯·桂溪,成都,大专,经验不限,7月26日,zhilian_direct,"职位描述 网络 运维 网络安全 网络运维 硬件/设备运维 物联网 产业互联网平台 人工智能 岗位内容： 1. 维护和优化公司网络和服务器环境，确保线上服务的稳定性和可靠性。 2. 制定网络运维流程和规范，并能够针对用户需求提出改进建议。 3. 熟悉常见的网络设备和互联网应用，能够配置和管理相关服务，例如DNS、VPN、CDN等。 4. 及时响应和解决用户反馈的网络问题。 任职要求： 2. 熟悉网络硬件和软件的配置和管理，掌握常用的网络诊断和分析工具。 3. 具备较强的问题解决能力和沟通能力，能够快速响应用户反馈的问题。 4. 有较强的学习能力和自我驱动力，愿意不断学习新技术并尝试创新性解决问题。 职位描述： 1、负责物联网相关产品的代码移植,测试和支持； 2、负责和内部开发人员沟通，解答客户提出的产品相关问题，解决项目中遇到的问题，跟进项目进展并向项目经理汇报。 职位要求： 1、专科以上学历,毕业于电子/计算机/通信等相关专业； 2、熟悉Python优先； 3、良好的沟通能力，团队合作精神, 积极主动，富有责任心。 工作地点 成都武侯区天府大道北段 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","网络,运维,网络安全,网络运维,硬件/设备运维",http://www.zhaopin.com/jobdetail/CCL1501486550J40785171014.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网信息技术,杭州瑞扬建筑工程设计有限公司,7000-10000元,广州·天河·棠下,广州,本科,1-3年,7月26日,zhilian_direct,职位描述 信息系统维护 技术支持 系统规划与改进 工作内容： 1.负责硬件和软件的安装、配置和维护； 2.解决员工的技术问题，提供技术支持； 3.参与信息系统的规划与改进； 4.保障,"信息系统维护,技术支持,系统规划与改进",http://www.zhaopin.com/jobdetail/CCL1491096240J40919353508.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
工业物联网工程师助理,武汉玮丽软件技术有限公司,8000-10000元,武汉·武昌,武汉,大专,经验不限,7月26日,zhilian_direct,职位描述 工业物联网系统开发 工业协议解析适配 边缘节点部署 工作职责 1. 协助工程师完成工业物联网设备的现场调试与接入工作，包括传感器安装、网络配置等基础操作。 2. 负责工业协议（如Modbus、OPC UA）的基础解析与数据格式转换，支撑设备数据的初步采集。 3. 参与边缘计算节点的部署与维护，协助完成设备数据的本地存储与简单预处理。 4. 配合团队整理工业现场设备台账与技术文档，跟踪设备运行状态并记录异常信息。 任职要求 1. 大专及以上学历，自动化、物联网、电子信息等相关专业，基础扎实。 2. 具备工业物联网或自动化领域实习/项目经验，了解至少一种工业通信协议的基本原理。 3. 熟悉计算机网络基础，能操作常用的网络调试工具（如Wireshark）。 4. 具备良好的动手能力与团队协作意识，能快速学习新的技术工具与工业场景知识。 薪资待遇： 1. 底薪+提成+奖金+入职缴纳五险一金（出差享有出差补贴） 2. 上班时间9：00-5：30（午休1.5h） 3. 法定节假日正常休息，享受婚假，产假，陪产假等，超长年假 4. 工作氛围活跃，节日福利，员工下午茶等 5. 定期体检：公司每年至少安排一次免费员工体检 工作地点 武汉武昌区中国铁建1818中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工业物联网系统开发,工业协议解析适配,边缘节点部署",http://www.zhaopin.com/jobdetail/CC891026480J40969085302.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
Java开发-物联网控制软件方向,软通动力信息技术(集团)股份有限公司,1.7-1.8万,厦门·集美·后溪,厦门,本科,5-10年,7月26日,zhilian_direct,职位描述 JavaScript Modbus MQTT 固件 物联网 工业自动化/机器人 1.设计并实现各种上、下位机的软件更新流程，包括站控、充电机、PLC、3D线扫相机、2D视引导相机等，并主导0TA软件更新平台的架构设计、开发计划组织和任务分解、代码开发与自测。 2.主导站内硬件设备的预测性维护PHM系统架构:设计，包括易损件管理、伺服电机数据采集、数据指标管理、指标计算、消息通知、报表生成等模块;主导相关开发计划组织和任务分解、代码开发与自测 3.主导智能运维平台的整体架构设计，包括知识库管理、Agentloop、智能归因、智能分析、自动恢复等模块;主导设计智能运维Agent在站端的部署和实施。 4.负责梳理、优化系统架构、数据架构设计方法论，制定公司应用软件工程领域的架构规范，推动可扩展、可复用的先进性架构实践 5.参与现场调试与故障排查，快速定位并解决软硬件联调中的疑难问题，保障换电站正常运营。 1.学历专业:自动化、计算机、物联网工程等相关专业，本科及以上学历。 2.工作经验:5年以上Java开发经验，其中至少2年及以上物联网(IoT)、工业控制(SCADA)或机器人控制软件系统开发经验 3.Java与性能:精通Java基础，对JVM内存模型有深刻理解，熟悉Java程序上的性能调优手段(如减少Ful1GC、对象池技术) 4.熟练掌握常见Vibe coding工具的使用，了解LLM和Agent工作原理，有本地部署LLM推理服务的经验。 5.必须熟悉工业领域常见协议:Modbus RTU/TCP、CAN总线(基于Java的CAN库，如SocketCAN)、MQTT。 6.多线程与并发:极其精通Java多线程编程，能处理复杂的设备状态机流转，熟练使用锁、同步工具和并发集合，避免死锁和资源竞争。站控系统本质是一个复杂的实时并发调度系统。 7.架构思想:具备复杂状态机设计经验，能清晰定义换电流程的各个环节状态(空闲、就绪、换电中、故障等) 8.稳定性设计:深刻理解边缘计算的可靠性要求，有设计断网续传、本地数据容灾、进程守护(看门狗)的实际经验。 加分项1.有设备固件/PLC等软件OTA升级系统设计经验。有机械设备寿命预测、失效模式预测相关产品行业经验。 工作地点 时代电服科技有限公司厦门集美区软件园3期B19栋厦门集美软件园3期B09栋19楼时代电服 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"JavaScript,Modbus,MQTT,固件",http://www.zhaopin.com/jobdetail/CC000544460J40832927616.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网产品经理,青岛申特物联网科技有限公司,8000-10000元,青岛·市南·湛山,青岛,大专,3-5年,7月26日,zhilian_direct,职位描述 物联网产品 智慧城市产品 产品运营 项目管理 负责区域智能家居渠道市场的开拓及销售工作 负责自有渠道合作伙伴的关系维护及销售促进工作 负责建立全面的渠道销售战略、渠道体系规划与建设.完成各项销售指标/实现公司业绩目标 把握行业市场动态完善市场信息管理供应趋势分析和相关建议: 搜集渠道开拓及合作伙伴反馈信息明确公关目标和方案; 3年以上家居建材或智能物联网行业经验具有丰富的建材行业/智能家居渠道资源及大客户资源 了解互联网/云计算/IOT 行业有智能家居行业相关经验者优先考虑; 工作地点 市南区青岛世界贸易中心A座24D 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"物联网产品,智慧城市产品,产品运营,项目管理",http://www.zhaopin.com/jobdetail/CC573056080J40438612116.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网工程师,北京嘉禾云山筑宇建筑工程有限公司,8000-16000元,太原·小店·西温庄,太原,本科,经验不限,7月26日,zhilian_direct,职位描述 物联网 通信/网络设备 计算机硬件 工作职责 1. 负责建筑工程场景下物联网系统的方案设计与实施，包括传感器部署、数据采集与传输链路搭建。 2. 对接工程业务需求，开发物联网平台功能模块，实现设备状态监控、能耗管理等智能化应用。 3. 优化物联网系统的稳定性与数据安全性，解决工程现场复杂环境下的技术问题。 4. 与工程团队协作，推动物联网技术在施工管理、设备运维等场景的落地应用。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握物联网核心技术栈，包括传感器原理、通信协议（如LoRa、NB-IoT）及数据处理技术。 3. 具备物联网平台或系统开发经验，熟悉至少一种编程语言（如Python、Java）。 4. 有工程行业或工业物联网项目经验者优先，能理解工程场景的技术需求。 工作地点 太原小店区万达广场(昌盛店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,物联网,http://www.zhaopin.com/jobdetail/CCL1514891250J40863188311.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
售前工程师（物联网）,深圳市科皓信息技术有限公司,9000-15000元,南昌·新建·乐化,南昌,本科,经验不限,7月26日,zhilian_direct,职位描述 传感器 RTU 防汛 水文 罐区 物联网 岗位内容： 1、协助完成智慧水利相关产品的需求调研、市场分析及竞品研究，挖掘用户痛点与行业机会； 2、参与产品设计全流程，包括功能规划、原型设计、文档撰写，协调研发、设计、测试团队推进产品落地； 3、跟踪水利行业政策、技术趋势及用户反馈，为产品迭代优化提供数据支持； 4、对接水利部门、合作伙伴及客户，协助完成需求沟通与解决方案输出。 任职要求： 1、本科及以上学历，优秀应届生亦可，水利/计算机/环境工程等相关专业优先； 2、了解水利行业业务流程（如水文监测、灌区管理、防汛调度）及相关政策； 3、对物联网设备（传感器、RTU等）有基础认知。 优秀者薪资可面谈！ 双休、五险一金、年终奖、节日福利、带薪假期。 工作地点 南昌新建区江西科皓安云智慧科技有限公司万创科技城一栋901室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"传感器,RTU,防汛,水文,罐区",http://www.zhaopin.com/jobdetail/CC120081560J40758427001.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网助理工程师,河北正睿建筑工程有限公司,1.1-1.6万,石家庄·长安·河东,石家庄,大专,1年以下,7月26日,zhilian_direct,岗位职责: 1.负责公司建造师/工程师/助理工程师相关工作 2.参与项目规划、设计和施工管理 3.协助解决工程过程中的技术问题 任职要求： 1.具备良好的专业知识和技能 2.能够高效协作，具备良好的沟通能力 3.对工程工作有热情，能够承担相应的工作压力 工作地点 石家庄长安区北宋路与建华北大街交叉口 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,物联网,http://www.zhaopin.com/jobdetail/CC830384720J40720061316.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网工程师,北京嘉禾云山筑宇建筑工程有限公司,8000-16000元,洛阳·西工·唐宫路,洛阳,本科,经验不限,7月26日,zhilian_direct,职位描述 物联网 通信/网络设备 计算机硬件 工作职责 1. 负责建筑工程场景下物联网系统的方案设计与实施，包括传感器部署、数据采集与传输链路搭建。 2. 对接工程业务需求，开发物联网平台功能模块，实现设备状态监控、能耗管理等智能化应用。 3. 优化物联网系统的稳定性与数据安全性，解决工程现场复杂环境下的技术问题。 4. 与工程团队协作，推动物联网技术在施工管理、设备运维等场景的落地应用。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握物联网核心技术栈，包括传感器原理、通信协议（如LoRa、NB-IoT）及数据处理技术。 3. 具备物联网平台或系统开发经验，熟悉至少一种编程语言（如Python、Java）。 4. 有工程行业或工业物联网项目经验者优先，能理解工程场景的技术需求。 工作地点 洛阳西工区万达广场(中州店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,物联网,http://www.zhaopin.com/jobdetail/CCL1514891250J40855397711.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网嵌入式软件工程师,陕西宏程博运建筑安装工程有限公司,9000-11000元·13薪,西安·雁塔·长延堡,西安,本科,3-5年,7月26日,zhilian_direct,职位描述 C语言 C++ ARM处理器 32位单片机 物联网终端开发 通信协议开发调试 软硬件联调 PIC单片机 Java 云计算 通信/网络设备 新材料 工作职责 1. 负责物联网终端设备的嵌入式软件设计与开发，包括驱动程序、通信协议栈及应用层逻辑实现。 2. 参与硬件与软件的联调测试，解决设备在数据传输、功耗控制等方面的技术问题。 3. 优化嵌入式系统性能，提升设备的稳定性、响应速度及兼容性。 4. 编写技术文档，包括需求分析、设计方案、测试报告等，保障开发流程的规范性。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握C/C++编程语言，熟悉ARM、STM32等主流嵌入式平台的开发环境。 3. 具备物联网通信协议（如MQTT、LoRa、NB-IoT）的开发与调试经验。 4. 了解硬件电路原理，能独立完成嵌入式软件与硬件的协同开发。 5. 具备良好的问题分析能力与团队协作精神，能快速定位并解决技术难题。 工作地点 西安雁塔区科泰大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++,ARM处理器,32位单片机,物联网终端开发,通信协议开发调试,软硬件联调,PIC单片机,Java",http://www.zhaopin.com/jobdetail/CCL1515550280J40876764514.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
信息化/物联网/医疗软件/移动医疗/医疗设备-销售代表/经理/总监,昂科信息技术（上海）股份有限公司,1-1.5万,深圳·福田·莲花,深圳,大专,1-3年,7月26日,zhilian_direct,"岗位职责： 1、负责收集市场和行业信息,深入了解客户需求； 2、准确、全面掌握所辖区域内客户项目信息； 3、协助大区销售经理完成公司销售任务； 4、深刻掌握公司产品、解决方案知识，有效的传达给客户与合作伙伴 5、开拓新市场,发展新客户,开发渠道合作伙伴，增加产品销售范围； 6、维护及增进已有客户关系； 7、按要求完成工作汇报等公司各项其他任务； 任职资格： 1、专科及以上学历； 2、有医疗行业信息化、大设备或器械销售经验； 3、具有一定的网络、计算机、通信等领域的技术知识和经验； 4、有很好的商务分析判断能力，很好的人际交往和沟通能力； 5、有勤奋、不怕困难、百折不挠的开拓精神； 6、具有良好的团队协作精神； 7、敬业、诚信、学习能力强，有挑战精神，对自己要求严格； 8、有很强的自我管理能力和工作动力，积极进取，主动性强。 职位福利：五险一金、交通补助、餐补、通讯补助、带薪年假、14薪、每年多次调薪、周末双休 工作地点 深圳福田区homebase 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","物联网,软件行业,硬件行业,网络/信息安全,医疗设备/器械,渠道销售,面销,大客户（KA）",http://www.zhaopin.com/jobdetail/CC121046570J40116152306.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网工程师,北京嘉禾云山筑宇建筑工程有限公司,8000-16000元,大同·平城区·水泊寺街道,大同,本科,经验不限,7月26日,zhilian_direct,职位描述 物联网 通信/网络设备 计算机硬件 工作职责 1. 负责建筑工程场景下物联网系统的方案设计与实施，包括传感器部署、数据采集与传输链路搭建。 2. 对接工程业务需求，开发物联网平台功能模块，实现设备状态监控、能耗管理等智能化应用。 3. 优化物联网系统的稳定性与数据安全性，解决工程现场复杂环境下的技术问题。 4. 与工程团队协作，推动物联网技术在施工管理、设备运维等场景的落地应用。 任职要求 1. 本科及以上学历，计算机、电子信息、自动化等相关专业。 2. 掌握物联网核心技术栈，包括传感器原理、通信协议（如LoRa、NB-IoT）及数据处理技术。 3. 具备物联网平台或系统开发经验，熟悉至少一种编程语言（如Python、Java）。 4. 有工程行业或工业物联网项目经验者优先，能理解工程场景的技术需求。 工作地点 平城区万达广场(大同平城店)908 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,物联网,http://www.zhaopin.com/jobdetail/CCL1514891250J40862011511.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网运维开发（朝九晚六8k+）,陕西智合云图信息技术有限公司,8000-10000元,西安·雁塔·丈八沟,西安,本科,经验不限,7月26日,zhilian_direct,职位描述 Python Shell 物联网终端运维 物联网通信协议 运维自动化工具开发 工作职责 1. 负责物联网终端设备的远程监控、故障诊断与日常运维，保障设备在线率与数据传输稳定性。 2. 开发并优化运维自动化工具，实现设备批量配置、固件升级及异常告警的自动化处理。 3. 参与物联网平台的性能调优与架构迭代，解决高并发设备接入场景下的网络延迟问题。 4. 整理运维知识库，输出设备故障排查手册与最佳实践文档。 任职要求 1. 大专及以上学历，计算机、通信工程或电子信息相关专业。 2. 了解嵌入式系统原理，具备硬件设备（传感器、网关）的基础调试能力。 工作地点 西安雁塔区融城云谷科技二路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Shell,物联网终端运维,物联网通信协议,运维自动化工具开发",http://www.zhaopin.com/jobdetail/CCL1500547650J40906097603.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网与MES实施助理实习生,青岛思锐卓远信息技术有限公司,110-130元/天,青岛·黄岛·薛家岛,青岛,本科,经验不限,7月26日,zhilian_direct,职位描述 MES 物联网 岗位要求： 1.具备计算机、自动化或相关理工科专业背景，对C/C++、Java或Python等任意一种编程语言有基础认知，了解基本的数据库操作（如SQL）即可； 2.对物联网硬件（如传感器、单片机）或通信协议（如TCP/IP、Wi-Fi）有概念性了解者优先； 3.思维清晰，善于分析问题，具备主动学习的意识； 4.具备良好的沟通能力，愿意与团队协作共事； 5.能够接受项目期间的现场驻场工作； 工作地点 青岛黄岛区鑫江中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MES,物联网",http://www.zhaopin.com/jobdetail/CCL1242873720J40868859309.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网硬件助理工程师,南昌玢耀信息技术有限公司,4000-8000元,南昌·青云谱·京山,南昌,大专,经验不限,7月26日,zhilian_direct,职位描述 硬件测试 技术支持 嵌入式硬件设计 PCB布局设计 硬件调试 工作职责 1. 参与嵌入式及智能硬件项目的硬件设计、调试与测试工作，协助推进项目落地。 2. 负责硬件相关文档的编写与修订，确保技术资料的准确性与完整性。 3. 开展市场调研与技术评估，为项目提供技术支持与决策参考。 4. 执行产品性能测试，分析故障原因并制定解决方案，保障产品质量。 任职要求 1. 具备电子电路基础知识，对嵌入式系统有一定了解，有硬件开发经验者优先。 2. 熟练使用常见EDA软件进行原理图设计与PCB布局。 3. 掌握数字电路与模拟电路基础，能独立完成简单硬件模块的设计与调试。 4. 具备良好的沟通能力与团队协作意识，能高效配合项目推进。 5. 拥有独立思考与问题解决能力，能快速定位并处理硬件相关问题。 工作地点 南昌青云谱区巨成广场(巨成·金山街店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"硬件测试,技术支持,嵌入式硬件设计,PCB布局设计,硬件调试",http://www.zhaopin.com/jobdetail/CCL1468722750J40846380402.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
产品经理（物联网 ）,软通动力信息技术(集团)股份有限公司,1.1-1.2万,广州·海珠·官洲,广州,本科,5-10年,7月26日,zhilian_direct,职位描述 AI产品 软件产品 MES系统 智能问答产品 大模型产品 工业大数据平台 物联网 分别具备AI、智能硬件、大数据、工业等产品经验； 1、负责物联网平台、OMC网管系统、终端设备管理、移动端APP相关产品的整体规划、需求调研与产品设计，主导产品全生命周期管理，推进产品迭代与落地优化。 2、深度对接业务方、客户及研发团队，挖掘用户需求、业务痛点与场景诉求，完成需求梳理、需求拆解、可行性分析，输出合理的产品规划与迭代方案。 3、独立撰写产品需求文档、原型设计、交互规范，涵盖设备接入、告警管理、性能数据、拓扑管理、远程运维、OTA升级、数据报表、GIS地图可视化等核心业务模块。 4、组织开展需求评审、方案评审、迭代规划会议，协调开发、测试、运维、硬件团队资源，跟进项目开发、联调、测试全流程，保障迭代进度与交付质量。 5、负责产品交互体验优化、功能优化，梳理产品业务流程，解决产品逻辑漏洞、体验短板、流程冗余等问题，提升产品易用性与实用性。 6、跟进产品上线、落地使用与线上运行情况，收集客户、运维、一线使用反馈，迭代优化产品功能，持续提升产品竞争力与用户满意度。 7、输出产品相关手册、使用文档、功能说明，沉淀产品规范、需求规范、迭代规范，搭建产品体系，支撑项目批量交付与售后工作。 工作地点 广州市-海珠区-螺旋大道与星际一路交叉路口往东南约90米1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AI产品,软件产品,MES系统,智能问答产品,大模型产品,工业大数据平台",http://www.zhaopin.com/jobdetail/CC000544460J40824182216.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
无线通信技术工程师 物联网无线安全工程师,北京智慧云测设备技术有限公司,2.5-5万·14薪,北京·门头沟,北京,本科,1-3年,7月26日,zhilian_direct,"岗位职责: 1.负责无线物理层信号安全研究工作如解调、解码、逆向分析； 2.负责无人机无线通信协议的研究与信号分析； 3.负责无人机识别设备、反制设备的研发； 4.负责常见无线链路产品的安全研究工作； 5.技术类文档的撰写和编制。 任职要求 1.通信、密码学、无人机系统、网络攻防、无线电、电子对抗等电子信息技术相关专业； 2.熟悉C/C++/Python/Matlab等常见编程语言； 3.具备团队合作精神、积极的工作态度和较强的责任，良好的学习和沟通能力。 方向一（无线物理层安全研究）： 1.熟悉导航欺骗，如GALILEO、GPS、GLONASS、BDS ； 2.熟悉P2P通信系统原理、4G/5G空口协议及关键技术等； 3.熟练掌握SDR外设和 GNU Radio等工具的使用。 4.掌握数字通信基带算法、调制解调、同步、信道均衡、信道编解码等算法技术优先； 5.具有LTE, WIFI或者蓝牙等无线移动通信核心技术领域的研究和开发经历者优先； 方向二（无线链路产品研发）： 1.具有高增益LNA、收发信机开发经验者优先 2.对于射频收发链路，有较多的设计及调试经验； 3.熟悉Linux 下嵌入式软件开发，对linux操作系统有深入了解，熟悉Linux内核核心模块如任务调度、内存管理，io系统等实现原理，熟练掌握Linux设备树、驱动与应用开发。 4.具有针对无人机的射频模块正向开发经验者优先； 5.熟悉无线通信协议WIFI、BLE、LTE、Lora等优先。 本科以上学历，通信、密码学、无人机系统、网络攻防、无线电、电子对抗等电子信息技术相关专业优先。 工作地点 北京门头沟区石龙创新大厦7层701 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C语言,C++,5G,4G,通信协议/软件开发,无线通信,蓝牙/Wi-Fi,无人机",http://www.zhaopin.com/jobdetail/CC672576280J40792125716.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
物联网销售,深圳智机物联科技有限公司,6000-12000元,深圳·龙华·龙华,深圳,大专,1-3年,7月26日,zhilian_direct,岗位职责： 1. 负责公司物联网卡产品的市场推广与销售工作，完成制定的销售业绩目标； 2. 挖掘潜在客户资源，拓展新客户、维护老客户，建立长期稳定的客户合作关系； 3. 深入了解客户需求，为客户提供专业的物联网卡产品解决方案，解答客户产品相关疑问； 4. 跟进销售订单进度，做好客户售后对接，提升客户满意度，持续挖掘客户合作潜力； 5. 收集市场及竞品信息，及时反馈市场动态，协助优化销售策略与产品服务。 任职要求： 1. 大专及以上学历，1年以上物联网/通信行业销售经验优先。 2. 具备主动拓客能力，能独立完成从线索挖掘到签单的全流程销售闭环。 3. 拥有优秀的面访沟通技巧，能快速建立客户信任并精准把握需求痛点。 4. 熟悉物联网技术应用场景（如工业物联网、智慧园区，临控安防，智慧农业），能清晰向客户传递产品价值。认可物联网行业发展前景，原意深耕本领域，遵守公司规章制度，服务工作安排。 薪资福利 1.薪资构成：底薪6000元+销售业绩提成+销售奖金，上不封顶，多劳多得，能力优秀者月薪轻松过万； 2. 基础保障：入职即购买五险； 3. 其他福利：定期团队团建、节日福利、带薪培训、清晰的晋升通道，销售主管、销售经理等管理岗位优先内部提拔。 工作地点 ： 龙华东环二路65号中佳创意园 工作地点 深圳龙华区中佳创意园C2栋5楼518 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"面销/陌拜,会议/会展销售,物联网行业销售,客户关系维护,解决方案提供",http://www.zhaopin.com/jobdetail/CC309267130J40882946503.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
后端开发工程师（物联网 / 车路云方向）,软通动力信息技术(集团)股份有限公司,9000-10000元,武汉·洪山,武汉,本科,5-10年,7月26日,zhilian_direct,职位描述 Python Spring Hibernate Mybatis MySQL PostgreSQL Oracle Java GIT代码 计算机软件 云计算 人工智能 短期需求，项目到2026年12月31日 负责车路云、物联网平台后端服务的设计、开发与维护，保障系统高可用、高并发与稳定性。 参与物联网设备接入、数据传输与联调工作，基于 MQTT 等协议实现设备与平台的可靠通信。 基于 Flink、Kafka 等中间件构建实时数据处理链路，完成数据采集、清洗、计算与分发。 负责 ClickHouse 等数据库的设计与优化，支撑海量时序数据的高效存储与查询。 完成服务在 Linux 环境下的容器化部署、运维与监控，使用 Docker 等工具保障服务平滑交付与迭代。 参与系统架构设计与技术方案评审，协同前端、硬件、测试等团队推进项目落地，解决技术难点。 二、任职要求 本科及以上学历，计算机相关专业，3 年及以上后端开发经验，熟练掌握 Java/Go/Python 等至少一种后端开发语言。 熟悉物联网通信协议，具备MQTT 协议联调与设备接入经验者优先。 熟悉分布式消息队列、流处理框架，有Flink、Kafka等中间件实际使用经验者优先。 熟悉时序数据库 / 列式数据库，有ClickHouse数据库设计、优化与使用经验者优先。 熟悉 Linux 系统操作，具备Linux 运维、Docker 容器化部署经验者优先。 有车路云协同、智慧交通、工业物联网相关项目经验者优先。 具备良好的问题分析与解决能力，善于沟通协作，能承受一定工作压力。 工作地点 武汉洪山区文化大道555号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Spring,Hibernate,Mybatis,MySQL,PostgreSQL,Oracle,Java,GIT代码",http://www.zhaopin.com/jobdetail/CC000544460J40802356716.htm?refcode=4019&srccode=401903&preactionid=ffbb99a9-7b3d-42ea-9a70-42366a1ee6f8
售后技术支持,陕西智艾控科技有限公司,6000-9000元,西安·新城·西一路,Guangzhou,大专,经验不限,4月8日,zhilian,职位描述 电子产品 岗位内容： 1. 为客户提供专业的售后技术支持服务，包括故障排查、处理和解决方案提供。 2. 维护售后服务流程，确保按照标准流程进行，并持续优化服务品质。 3. 收集客户需求和反馈问题，积极沟通，及时解决并反馈。 任职要求： 1. 具备良好的服务意识和专业技能，技术基础扎实。 2. 具备较强的沟通协调能力和团队合作精神。 3. 积极主动、责任心强，具有较好的问题解决能力。 工作地点 西安新城区名流天地大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,电子产品,http://www.zhaopin.com/jobdetail/CCL1493853540J40842046113.htm?refcode=4019&srccode=401901&preactionid=b7fcbf87-3343-42e7-b1f7-7c0e1ce34243
