job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
电子工程师（base杭州）,南京博兰得电子科技股份有限公司,1.2-2万·13薪,杭州·拱墅·祥符,杭州,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1.要求LED驱动、电源产品经验，快速响应客户需求。 2.扎实的电力电子专业知识及较强的动手能力，熟练掌握电力电子常用拓扑电路； 3. 具有独立设计和调试能力； 4.有成本控制概念，了解安规、EMC等方面的要求。 【任职要求】 1. 本科及以上，电子相关专业； 2. 有3-5年以上独立的开发工作经验; 3. 熟悉各种电子元器件的特性及应用； 4. 有较强的责任心，团队精神，良好的规划性和条理性，较强的抗压能力。 工作地点 崇安盛世中心杭州市拱墅区萍水街303号崇安盛世中心8层818室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,电源,http://www.zhaopin.com/jobdetail/CC256910910J40647454914.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师,东莞市子堃电子科技有限公司,7000-8000元,东莞·大朗镇,东莞,学历不限,1-3年,7月26日,zhilian_direct,职位描述 测试 安装/调试 蓝牙 音箱 电力电子产品 电子设备制造 岗位内容： 1. 开发、实现和测试高性能的电子产品； 2. 监督和管理全面的产品生命周期，包括研发、测试、制造和售后支持； 3. 评估和解决产品的技术问题； 4. 提供可靠的技术支持给客户，以确保其满意度； 5. 推动不断改进流程，以提高产品质量和工作效率。 公司主要负责生产蓝牙音箱，DVD电子产品等等 任职要求： 1. 有电子产品或相关电子领域经验; 2.熟练掌握常见的电路板设计软件;拥有扎实的电子产品制造和测试经验； 3.能接受工作环境，跟着车间产线上班时间走，有一定抗压能力 工作地点 广东省东莞市大朗镇求富路聚祥一路8号1栋4楼5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"测试,安装/调试,蓝牙,音箱,电力电子产品",http://www.zhaopin.com/jobdetail/CC819996530J40708304912.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师助理,深圳市江山来电子制造有限公司,6000-9000元,深圳·宝安·燕罗,深圳,大专,1-3年,7月26日,zhilian_direct,职位描述 熟悉使用PROTEL、CAD. 检测相关电子元件和制样分析能力 能够模拟设计电路，排除电路中隐患 工作内容： 一、新产品开发 新产品立项后，制定开发计划。 1. 负责新产品 PCBA 的设计和工艺流程的设计：电路原理图(含元器件规格表)、菲林图等。 2. 负责新产品的开发：电子元件/PCB 的索样、检测、确认。 3. 负责新产品优化：从成本、制造、可靠性进行评估优化。 4. 负责设计 PCBA 的制样、试产，验证 PCBA 和相关工艺是否满足设计需求。 5. 负责提交结案报告送主管负责人审批。 6. 通过审批后发行设计输出文件：PCBA 图(含元器件规格表、技术要求)、元器件承认书、样品等交品保、 PE、采购部门。 二、老产品的改良 老产品存在异常(品质不良、售价过高等)，通知改善后制定改善计划。 1、负责改良现有设计或重新设计：相关工作参考新产品开发。 2、发行 ECN、审核 BOM 表 PCBA 项。 三、工程制样 接获业务样品单，常规机型提供制样 PCBA 方案；特殊机型按新产品开发案进行。 四、工程资料输出校核 BOM、工程文件相关电子件部分的审核。 五、技术支援 对生产、PE、市场、采购、品保等部门的相关技术请求，提供技术支援。 六、其他任务 完成上级领导交办任务。 大专以上电子或相近理工科类专业。 相关经验：一年以上马达驱动电路或电子开关电路等电子产品相关经验。 技能技巧：1.熟悉使用 Protel、CAD 或相关软件完成电路原理图、LAYOUT 图设计。 2. 能独立通过软件模拟设计电路，排除电路中隐患。 3. 有一定专业知识和动手能力检测相关电子元件和制样分析能力。 4. 有责任心和团队合作精神及承压耐力，善于沟通。 岗位工作描述：设计、开发、评估、改进、验证马达驱动电路和相关产品并提交结案报告。 工作地点 宝安区深圳市江山来电子制造有限公司厂房301 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"熟悉使用PROTEL、CAD.,检测相关电子元件和制样分析能力,能够模拟设计电路，排除电路中隐患",http://www.zhaopin.com/jobdetail/CCL1487746790J40816076302.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师,广东金宏电子技术有限公司,1.5-2.5万,惠州·惠城区·潼侨镇,惠州,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责公司新产品立项评估及开发; 2、主导完成产品设计过程，layout/调试／资料文件输出; 3、参与、指导产线的新品试产，解决生产线异常情况; 4、配合、协助公司其他部门解决技术问题; 5、制定产品测试操作流程和测试标准、产品规格书。 任职要求： 1、大专及以上学历，电子技术类专业; 2、熟练使用PCB相关软件，常用办公软件; 3、有2年以上独立的硬件设计与开发经验; 4、有多串动力电池保护板、BMS产品开发经验者优先; 5、具备一定的客户沟通和表达能力。 福利待遇： 深圳包吃住、惠州包吃（食堂：三菜一汤，每周加餐、水果；宿舍：空调，热水器，4人一间） 26天制，购买五险，年终奖，年底单程车费报销，节假日带薪放假，定期组建聚餐、每月有劳保用品发放，人性化管理。 工作地点 广东金宏电子技术有限公司---广东省惠州市惠城区潼侨镇侨兴路67号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"设计,研发,PCB设计",http://www.zhaopin.com/jobdetail/CCL1481220880J40990599904.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
音响电子工程师,东莞市子堃电子科技有限公司,8000-9000元,东莞·大朗镇,东莞,学历不限,1-3年,7月26日,zhilian_direct,职位描述 音响 音响硬件电路设计 声学系统调试优化 EMC整改 公司主要负责生产音箱，DVD电子产品等等 工作职责 1. 负责音响产品的电子电路设计，包括功放电路、电源管理、信号处理等模块的原理图与PCB版图开发。 2. 主导声学系统的调试与优化，通过频响曲线分析、失真度测试等手段提升产品音质表现。 3. 跟进产品从原型验证到量产的全流程，解决试产阶段的硬件兼容性、电磁兼容（EMC）等技术问题。 4. 与结构工程师、软件工程师协作，完成跨部门技术方案评审与产品性能迭代。 任职要求： 1. 能熟悉SMT/组装工艺及设备操作；有电子产品或相关电子领域经验优先 ; 2.熟练掌握常见的电路板设计软件；拥有扎实的电子产品制造和测试经验； 3.具备工艺问题分析与解决能力，能独立制定改善方案； 4.能接受工作内容环境，跟着产线上班时间走， 工作地点 东莞市-大朗镇求富路聚祥一路8号1栋4楼5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"音响,音响硬件电路设计,声学系统调试优化,EMC整改",http://www.zhaopin.com/jobdetail/CC819996530J40905769412.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师,上海岱腾电子科技有限公司,1.2-1.5万,中山·横栏镇,中山,大专,3-5年,7月26日,zhilian_direct,职位描述 消费电子产品 半导体/芯片 电子设备制造 电子电路基础元件/模组 职责描述： 1、根据项目具体要求进行LED电源电路设计开发工作。 2、对完成的项目进行调试、测试等相关实验，及各项记录工作。 3、负责项目的相关技术文档编制。 4、完成其他交办工作。 任职要求： 1.具有3年以上LED开关电源设计经验； 2.熟悉使用线路板制图软件； 3.掌握模拟电路、熟悉数字电路； 4.对电子元器件的特性有一定的了解； 5.有一定的EMC处理能力； 6.具备一定的与客户沟通的能力； 7.LED灯具开发经验、CAN/LIN设计经验、光学设计及模拟配光（三者达一即可）者优先考虑。 工作地点 中山广东派景智能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,消费电子产品,http://www.zhaopin.com/jobdetail/CC418975420J40656401215.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
软件电子工程师,烟台比尔电子科技有限公司,7000-12000元,烟台·福山·古现,烟台,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1、产品嵌入式软件应用开发 任职资格： 1、电子技术相关专业 2、有51单片机、ARM、DSP等处理器的项目编程工作经历 工作地点 福山区山东省烟台市开发区武汉大街18-2号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"嵌入式硬件研发,技术支持,STM32单片机",http://www.zhaopin.com/jobdetail/CC329192710J40907940008.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
汽车电子工程师,武汉华工新高理电子有限公司,8000-15000元·14薪,武汉·江夏,武汉,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、对汽车电子产品进行功能测试、软硬件测试、性能测试、调试工作，并输出测试报告； 2、对开发阶段、产线、售后出现的故障件进行排查和分析； 3、出差客户端，进行整车或产品跟测，数据采集； 4、负责汽车电子产品的电控开发项目管理，与整车厂进行技术对接； 5、解读客户技术需求，结合法规国标要求，制定产品电控技术方案； 6、负责相关软硬件的评审工作，供应商管理； 7、负责产品的测试与调试工作； 8、进行研发、生产、品质、售后的问题分析、出差； 9、进行热管理系统相关的标定工作。 任职要求： 1、本科以上学历，有工作经验者优先。 2、熟悉数电、模电相关知识。 3、熟悉CANoe、CANape、PCAN、示波器、可编程电源等基础测试工具 4、熟悉电子产品开发、测试、生产流程； 5、熟练使用原理图、PCBA layout等开发软件，熟练使用示波器、万用表、电洛铁等工具； 奖金绩效 年终奖13-15薪 工作地点 武汉江夏区孝感市孝汉大道特1号华工科技孝感产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"新能源/燃油整车研发制造,新能源汽车,半导体/芯片",http://www.zhaopin.com/jobdetail/CC202073710J40833920809.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师-欣威电子-（浙江金华）,欣旺达电子,9000-15000元,金华·兰溪市·兰江街道,金华,本科,1-3年,7月26日,zhilian_direct,"岗位职责： 1、设计资料的输出要及时准确，满足项目开发进度； 2、生产文件的输出要及时准确，满足项目试产进度； 3、按照要求和流程输出FACA报告，满足时效性和准确性； 4、根据内部良率和生产效率改善需求，及时输出DFM报告，满足合理性和可行性； 5、根据客户和内部验证需求，及时实施DOE, 满足验证数据的准确性； 6、主动关注项目重要问题点，积极反馈及解决存在的问题； 工作要求： 1、精通电子电路知识； 2、掌握电池的组装工艺及PCB工艺； 3、熟悉6sigma工具并能熟练使用； 4、拥有1-3年电池/PCB的研发项目; 5、熟练使用PADS、ORCAD、CAM350等相关设计软件，完成原理图及PCB设计工作； 6、熟练使用示波器、直流电源、负载、万用表等常规电子设备，完成功能测试及异常分析； 7、能够使用英语作为工作语言； 工作地点 浙江省金华市兰溪市雁洲路与映月路交叉路口往西北约200米1楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","设计,研发,PCB设计,消费电子产品",http://www.zhaopin.com/jobdetail/CC135947830J40802357611.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
电子工程师,浙江贝良风能电子科技有限公司,8000-15000元,温州·乐清市·盐盆街道,温州,本科,1-3年,7月26日,zhilian_direct,职位描述 电子设备制造 仪器仪表 1、电子、电气及相关专业大学本科及以上学历，有2年或2年以上电路开发经验； 2、有扎实的专业理论基础和良好的电路硬件设计，熟悉常用的电子元器件； 3、有模拟电路开发经验，熟悉常用传感器和信号检测电路，有传感器、变送器、仪器仪表电路设计经验者佳； 其他要求： 4、有良好的EMC、EMI线路设计知识，有丰富经验者佳； 5、熟练进行PCB设计，有多层板设计经验者佳； 6、较强的责任心，能够在压力下完成工作，有项目管理经验者优先。 工作职责： 1、负责项目及产品的电子硬件方案设计； 2、负责PCB电路板设计及电子元器件的选型，BOM制作等； 3、负责新产品样品的焊接及调试； 4、负责硬件产品的开发、调试、验证、优化、产品测试； 5、负责开发的产品的技术改进与技术支持与技术文件编制。 其他待遇：一经录用，待遇从优 应聘方式：面试 / 考核方式：面试 工作地点 温州乐清市经济开发区纬十二路228号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电子设备制造,仪器仪表",http://www.zhaopin.com/jobdetail/CC345814630J40696747606.htm?refcode=4019&srccode=401903&preactionid=bdf7bf1c-7c04-4574-874f-869e6d2c0e62
