job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
汽车控制器系统工程师,东风电驱动系统有限公司,6000-10000元,襄阳·襄州区·东津镇,襄阳,本科,3-5年,7月26日,zhilian_direct,职位描述 控制器 嵌入式软件研发 ECU VCU BCM 英语4级及以上 1.负责汽车电子产品的需求定义、产品软件需求分析书撰写； 2.协助项目开发的组织与推进； 3.与客户就相关技术问题进行沟通，从产品最初设计到整个生命周期的维护、升级完善、技术支持与协作，包括市场、客户相关技术问题（需求）的同步支持、排查、解答； 4.编写项目文档及文档的维护管理，包括设计的流程、标准、规范、规划的制订，并协助完成相关产品的认证工作。 工作地点 襄阳襄州区东风电驱动系统有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"控制器,嵌入式软件研发,ECU,VCU,BCM,英语4级及以上",http://www.zhaopin.com/jobdetail/CC841112970J40947265508.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师,内蒙古信息系统安全等级测评中心,4000-7000元,包头·青山区·科学路街道,包头,本科,1-3年,7月26日,zhilian_direct,岗位职责：负责根据国家网络安全等级保护技术标准，依据被测系统级别，完成测评指导书开发（主流操作系统及数据库测评指导书公司已具备），并完成对主机（操作系统、数据库、中间件）和应用的现场测评、依据公司报告模板完成后续分析报告编制。 任职要求：： 1、 熟练掌握Window、Linux操作系统。 2、 熟悉HP-UNIX、IBM-AIX操作系统命令。 3、 熟悉Oracle、MS-SQL Server、DB2等主流数据库的操作。 4、 了解数据库在不同操作系统上的基本操作。 5、 符合以上两到三项就可应聘。 福利待遇 1、工作时间 上班时间：8.30-12:00，14.00-17.30，每天共计7小时； 每周工作时间：周一-周五 2、休假 周六日双休、所有国家法定日全部休息； 入职工作满一年，享受带薪休假5天起 国家规定婚假、产假、哺乳假等执行国家标准； 3、入职及待遇 1）试用期1-3个月； 2）基础待遇：享受五险一金（或者六险一金）； 3）工资待遇：执行背靠背工资，工资严格保密，依据工作能力定义工资，固定调整：每半年进行一次工资调整；动态调整：依据平时表现不定期调整，不设上限不限次数； 4）其他待遇：普适性奖励、年终奖励、特殊性奖励（依据能力、业绩、表现决定） 5）中心提供每年一次的免费体检，重大节日福利。 职位福利：五险一金、绩效奖金、加班补助、带薪年假、定期体检、节日福利、每年多次调薪 工作地点 包头青山区正翔国际 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Linux,Oracle,MySQL",http://www.zhaopin.com/jobdetail/CC291492930J40372920704.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师,博耐尔汽车电气系统有限公司,1-1.5万,芜湖·鸠江区·芜湖经济技术开发区,芜湖,本科,3-5年,7月26日,zhilian_direct,职位描述 汽车空调系统开发 系统集成测试验证 SIMULINK仿真分析 工作职责 1. 负责汽车空调系统（覆盖新能源/燃油车应用场景）的需求分析与方案设计，输出符合行业标准的技术文档，保障系统功能与性能达标。 2. 主导空调系统的集成测试与验证工作，解决硬件组件与控制软件的兼容性问题，确保系统稳定运行。 3. 协同研发、生产及质量团队推进空调系统方案落地，跟踪项目进度并解决集成过程中的技术瓶颈，保障项目交付。 4. 参与空调系统的性能优化与故障排查，通过仿真分析（如Simulink）提升系统可靠性与用户体验。 任职要求 1. 本科及以上学历，自动化、车辆工程、热能与动力工程等相关专业。 2. 具备3年以上汽车空调系统开发或系统集成经验，熟悉汽车空调系统架构及ISO 16750等行业标准。 3. 掌握系统设计与仿真工具（如Simulink、AMESim），能独立完成空调系统建模与性能仿真分析。 4. 具备整车级系统集成思维，能快速定位并解决空调系统与整车电气架构的适配问题。 工作地点 鸠江区芜湖博耐尔汽车电气系统有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"汽车空调系统开发,系统集成测试验证,SIMULINK仿真分析",http://www.zhaopin.com/jobdetail/CC692463220J40952718615.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
地理信息系统工程师,河北卓远地理信息系统工程服务有限公司,5000-8000元,张家口·桥东区·老鸦庄镇,张家口,本科,3-5年,7月26日,zhilian_direct,职位描述 计算机软件 云计算 工程技术与设计服务 岗位内容： 1. 负责公司 IT 基础设施的规划、设计和建设。 2. 负责系统性能监测和故障排查，确保系统的高可用性。 3. 与开发团队紧密合作，支持其应用程序的部署和调试。 4. 评估和选型各种系统软件和硬件产品。 任职要求： 1. 3 年以上相关工作经验，熟悉大规模系统的设计和运维。 2. 熟悉虚拟化技术和公有云平台，如 AWS、Azure 等。 3. 熟练掌握 Shell、Python 等至少一种编程语言。 4. 具备较好的沟通和团队合作能力。 工作地点 张家口桥东区长江时代广场D座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算,工程技术与设计服务",http://www.zhaopin.com/jobdetail/CC301637930J40836622905.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师（包头、巴彦淖尔）,内蒙古信息系统安全等级测评中心,4000-8000元,包头·青山区·科学路街道,包头,本科,经验不限,7月26日,zhilian_direct,岗位职责：负责根据国家网络安全等级保护技术标准，依据被测系统级别，完成测评指导书开发（主流操作系统及数据库测评指导书公司已具备），并完成对主机（操作系统、数据库、中间件）和应用的现场测评、依据公司报告模板完成后续分析报告编制。 任职要求：： 1、 熟练掌握Window、Linux操作系统。 2、 熟悉HP-UNIX、IBM-AIX操作系统命令。 3、 熟悉Oracle、MS-SQL Server、DB2等主流数据库的操作。 4、 了解数据库在不同操作系统上的基本操作。 5、 符合以上两到三项就可应聘。 福利待遇 1、工作时间 包头上班时间：8.30-12:00，14.00-17.30，每天共计7小时； 巴彦淖尔上班时间：8.30-12:00，14.30-18.00，每天共计7小时； 每周工作时间：周一-周五 2、休假 周六日双休、所有国家法定日全部休息； 入职工作满一年，享受带薪休假5天起 国家规定婚假、产假、哺乳假等执行国家标准； 3、入职及待遇 1）试用期1-3个月； 2）基础待遇：五险一金； 3）工资待遇：执行背靠背工资，工资严格保密，依据工作能力定义工资，固定调整：每半年进行一次工资调整；动态调整：依据平时表现不定期调整，不设上限不限次数； 4）其他待遇：普适性奖励、年终奖励、特殊性奖励（依据能力、业绩、表现决定） 5）中心提供每年一次的免费体检，重大节日福利。 4、工作地点 巴彦淖尔工作地点：临河区文博大厦B1405 职位福利：五险一金、绩效奖金、加班补助、带薪年假、定期体检、员工旅游、节日福利、每年多次调薪 工作地点 包头市青山区正翔国际B7写字楼15A 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CC291492934J00187029506.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
储能系统工程师,江苏安时商用储能系统有限公司,2-4万,南京·鼓楼·下关,南京,硕士,1-3年,7月26日,zhilian_direct,职位描述 储能系统设计与开发 微电网研发 储能系统 系统集成 电气机械/电力设备 新能源 一、主要职责： 1、设计储能系统，包括电池组、能量管理系统、充放电控制系统等，以满足客户需求和特定应用场景。 2、 确定储能系统的技术规格，包括容量、电压、充放电速率等，并与客户协商确保系统满足其要求。 3、 负责储能系统与其他能源系统或电力系统的集成，确保各组件之间的协同工作。 4、进行储能系统的测试和验证，确保其性能、稳定性和安全性符合设计标准。 5、识别和解决储能系统开发和运行中的技术问题，确保系统的稳定性和可靠性。 6、 向销售团队和客户提供储能系统的技术支持，解答相关技术问题。 7、 撰写和维护储能系统的技术文档，包括设计规格、用户手册和维护指南。 8、跟踪并评估新的储能技术和创新，确保公司的产品保持竞争力。 二、岗位要求： 1、 具备深入的电气工程知识，特别是与储能系统相关的领域。 2、 对各种能量存储技术，如锂离子电池、超级电容器等有深入了解。 3、掌握最新的储能系统集成技术和工艺，对系统集成提供技术支持与指导。 4、使用仿真工具和建模技术来评估系统性能和进行优化。 5、能够识别和解决储能系统开发和运行中的问题，具备优秀的问题解决能力。 6、了解项目管理原则，能够按时交付高质量的产品。 7、 能够与其他工程师、销售团队和客户紧密合作，实现项目目标。 8、 对新兴技术和市场趋势保持敏感，具备不断学习和更新知识的意愿。 9、了解电气系统、储能系统与应用相关的标准和法规，并确保系统、应用符合相应的合规性要求。 工作地点 南京鼓楼区老学堂创意园J栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"储能系统设计与开发,微电网研发,储能系统,系统集成",http://www.zhaopin.com/jobdetail/CCL1416879130J40687399715.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师,法士特华纳智能控制系统(西安)有限责任公司,8000-12000元,咸阳·秦都区·上林街道,咸阳,本科,3-5年,7月26日,zhilian_direct,"岗位职责： 1、负责对接客户需求，同时完成电机动态台架标定工作，包括电机基本参数测量、磁通标定、偏置角标定、MTPA标定、Ld/Lq电感标定、电机外部特性标定等； 2、完成电机控制器相关功能验证的标定和测试； 3、分析测试数据，准备标定测试报告并发布最终的标定数据文件； 4、负责改进和验证电机控制器的当前控制策略； 5、负责客户反馈的电机控制软件的故障分析和故障排除； 6、负责整车减震调试及部分整车标定工作； 7、执行单元测试、集成测试和功能测试，并编写测试报告。 任职要求： 1、本科及以上学历，电气/电子/车辆或其他工程专业； 2、2年以上客户需求对接经验，能有效识别客户需求； 3、3年以上有电机测试和标定的相关经验，熟悉示波器、功率分析仪和其他测量仪器的基本用法； 4、了解MATLAB .m脚本和Simulink模型； 5、对IPMSM或ASM或SRM电机有基本的了解； 6、熟练使用CAN工具，如vector CANape, CANalyzer, ETAS INCA； 7、能够接受短期的国内出差，提供现场技术支持； 8、有PHEV/HEV/EV车辆调试经验优先。 工作地点 咸阳秦都区秦创原金融中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","电驱系统标定,新能源车,商用车",http://www.zhaopin.com/jobdetail/CCL1493157990J40771659405.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师,精诚工科汽车系统有限公司,6000-9000元·15薪,重庆·永川·陈食,重庆,学历不限,3-5年,7月26日,zhilian_direct,职位描述 Java C# SQL Server 1.承接数智化方针，提报公司内组织、技术资源需求，促进业务内部资源拉通及共享； 2.基于部门大供应链信息化实施计划 ，执行实施过程中的具体工作，确保计划目标的落地实现； 3.在指导下制定项目推动机制、规范等文件，保证项目顺利开展，按时按质完成； 4.参与业务需求调研工作，协助项目规划方案或项目建议书的编写，确保调研结果和方案建议符合业务需求； 5.负责项目具体筹备工作，如办公环境准备、日常工作物品准备等，并对项目时间、质量、成本进行控制； 6.负责系统测试环境搭建及部署工作，确保项目顺利开展，按时按质完成； 7.负责组织关键用户操作培训及系统测试工作，确保项目顺利开展，按时按质完成； 8.负责协助业务开展系统上线前的数据收集工作，确保项目顺利开展，按时按质完成； 9.负责执行系统上线切换计划，确保项目顺利开展，按时按质完成； 10.定期汇报项目的实施进度和问题，识别项目实施过程中的风险和困难，确保上级领导真实、透彻的了解项目进展情况，为上级领导决策提供支持性文件和资料。 工作地点：重庆永川 工作地点 重庆市-永川区-星光大道999号1幢重庆永川工业园区凤凰湖工业园内 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,C#,SQL Server",http://www.zhaopin.com/jobdetail/CC811481060J40768698209.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
系统工程师,富晟汽车控制系统(长春)有限公司,8000-12000元·13薪,长春·朝阳·硅谷,长春,本科,1-3年,7月26日,zhilian_direct,职位描述 新能源/燃油车零部件 新能源/燃油整车研发制造 1.负责开发商用车电控制动产品（EBS、EMB、EPB）的功能需求和技术规范： 2.设计商用车电控制动产品（EBS、EMB、EPB）的系统架构，完成系统指标的分解； 3.实现汽车电子设备在车辆上的匹配 ； 4.调研电控制动产品核心技术，市场发展趋势、竞争对手产品分析以及主流产品的技术方案调查 ； 5.跨团队、跨部门沟通合作解决产品相关问题 ； 6.指导整车集成测试、标定等； 工作地点 吉林省长春市朝阳区超强街 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"新能源/燃油车零部件,新能源/燃油整车研发制造",http://www.zhaopin.com/jobdetail/CCL1465224730J40791459708.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
AI 系统工程师,海棠人工智能行业应用系统(天津)有限公司,2.5-4万,北京·朝阳·建外,北京,本科,经验不限,7月26日,zhilian_direct,岗位职责 负责智能体 AI 功能、工具与集成方案开发，承担生产环境系统的搭建、安全防护、监控运维与持续优化，兼顾工程开发与线上运维工作。 任职要求 1.有 Claude、OpenAI、Gemini 等大模型 API 落地经验，开发上线生产级 AI 智能体（非 Demo 原型）； 2.精通 Python，熟悉 LangChain、LangGraph、CrewAI、AutoGen 等智能体开发框架； 3.可搭建包含工具调用、记忆模块、多智能体协同的复杂 AI 工作流，掌握 RAG 架构； 4.具备 CRM、邮件、数据库、第三方 API 等系统对接集成经验；精通提示工程优化大模型效果； 5.能够运维线上智能体系统，监控可用率、成功率、时延与成本，搭建日志、追踪、告警等可观测体系； 6.了解智能体安全方案：密钥管理、权限控制、提示注入防御、敏感数据处理； 7.熟悉 AWS/GCP/Azure 任一云平台，掌握 Docker 容器、CI/CD、多环境管理； 8.能够编写测试、排查偶发故障，处理线上系统应急事件； 9.计算机相关本科或同等工作经验，熟练使用 Git 协同开发； 10.适应远程办公，可并行推进多个客户项目，持续跟进 AI 智能体前沿技术。 工作地点 北京朝阳区建国路91号金地广场F1层-F2层-F3层18层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Python,http://www.zhaopin.com/jobdetail/CC883880850J40951186308.htm?refcode=4019&srccode=401903&preactionid=df97871c-0aaf-4c1a-b0e4-7a1ee97e03e1
