job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
弱电工程系统集成工程师,沈阳华盛系统集成科技有限公司,3000-6000元,沈阳·沈河·南塔,沈阳,大专,1-3年,7月26日,zhilian_direct,职位描述 弱电系统方案设计 弱电工程实施 技术支持与培训 工作职责： 1. 负责弱电系统（安防、网络、通信等）的方案设计、设备选型与成本核算。 2. 主导项目现场的安装调试、系统联调及验收交付工作，确保工程质量。 3. 解决项目实施过程中的技术问题，优化系统性能，保障系统稳定运行。 4. 编制技术文档、操作手册及维护方案，为客户提供技术支持与培训。 任职要求： 1. 大专及以上学历，计算机、电子信息、自动化等相关专业。 2. 熟悉弱电系统集成规范，掌握安防监控、综合布线、网络设备等核心技术。 3. 具备2年以上弱电工程实施经验，能独立完成中小型项目的全流程管理。 4. 持有相关职业资格证书（如弱电工程师证、安防工程师证）者优先。 工作地点 辽宁省沈阳市沈河区南塔街道南塔商圈万柳塘路111号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"弱电系统方案设计,弱电工程实施,技术支持与培训",http://www.zhaopin.com/jobdetail/CCL1415670220J40787099406.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
系统集成项目经理,中移系统集成有限公司,面议,呼和浩特,呼和浩特,本科,3-5年,7月26日,zhilian_direct,职位描述 系统集成项目 信息化项目 大数据项目 通信/网络设备 计算机软件 通信运营商/电信增值服务 工作职责： 1、负责系统集成项目整个生命周期的管理工作，对工程项目的施工质量、成本、进度负责。能够做售前技术支持。 2、负责项目核心部分的具体实施;管理、计划、指导系统集成工程师完成项目的现场实施工作;负责项目团队的管理和建设，带领团队实现工作目标，并积极配合对项目成员的绩效评估; 3、负责系统集成项目执行过程中内外协调等工作，做好上下游沟通管理。与客户建立和保持良好关系，及时提出解决问题的方法，并为客户提供技术咨询; 4、定期提交项目各类客户报告以及日常工作报告，负责整理所有项目资料，项目交付结束时统一提交客户和公司存档; 5、完成领导和部门交办的其他任务。 任职要求： 1、本科及以上学历，计算机、通信、自动化、电子工程等相关专业毕业，3年以上相关工作经验。 2、具有项目管理经验。熟悉IT硬件、平台软件及相关相关厂商，深入了解IT产品的发展趋势和市场行情熟悉; 3、熟悉项目招标整个工作流程，熟悉工程项目施工、验收流程和规范并能够独立编写工程报验资料。 4、良好的文档能力，能熟练运用AutoCAD、PPT、Visio、MSproject、offices等软件，编制项目相关材料及汇报文档者优先; 5、有较强的团队意识和服务意识，有较强的沟通能力、协调能力、团队管理能力、学习能力、责任心强，诚实敬业、能承受较大的工作压力; 6、有项目经理、建造师，机电工程师等证书、有施工设计经验、能够出施工报价者优先。 工作地点：内蒙古 工作地点 呼和浩特市-赛罕区-腾飞路45号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统集成项目,信息化项目,大数据项目",http://www.zhaopin.com/jobdetail/CC120130760J40933505202.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
高级销售经理（智能物流系统集成）,深圳中集天达物流系统工程有限公司,面议,深圳·宝安·福海,深圳,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1. 负责区域内自动化物流智能装备整体解决方案市场开拓与大客户开发； 2. 全流程主导项目跟进：前期协助客户梳理内部需求、引导建议规划方案，协助客户招标文件编制。内部投标及投标评审工作，编制投标文件、投标策略和总结;确保销售目标达成; 3. 负责销售合同签订，协调解决项目现场各类问题；维护存量客户关系，挖掘二期扩容、维保续约等复购机会，建立长期客户合作体系； 4. 分析竞品动态、行业发展、市场复盘，严格遵守集团合规与招投标管理制度。 工作地点 深圳市宝安区福永街道福园二路中集空港工业园3楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工业自动化/机器人,电气机械/电力设备",http://www.zhaopin.com/jobdetail/CC599150720J40877156014.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
系统集成设计工程师（功能安全）,北京海浩动力系统有限公司,1.5-2.5万,北京·大兴,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 负责产品功能安全认证、管理认证全流程以及编制并审核相关交付物； 2. 负责功能安全技术安全概念（TSC）、技术安全需求（TSR）、系统安全架构以及ASIL等级分解工作； 3. 负责功能安全分析，包含但不限于FMEA、FTA、DFA以及FMEDA分析； 4. 负责功能安全项目管理，推动功能安全软件、硬件、测试等相关开发，保证功能安全开发进度满足项目要求； 5. 负责功能安全开发过程中风险的识别、问题的解决，及时协调组内、组外相应资源； 6. 负责内部及客户安全审计，确保开发流程与文档满足功能安全要求。 任职要求： 1、本科及以上学历，电气工程、自动化、车辆工程、机械电子等相关专业； 2. 5年以上功能安全相关开发经验，3年以上团队管理经验，主导过至少1个功能安全开发项目； 3. 精通ISO 26262标准全流程，熟悉ASPICE、AUTOSAR及ISO21434标准； 4. 熟悉电机控制器功能安全开发方案，具备功能安全流程体系建设及产品认证经验； 5. 具备系统设计、安全分析能力，具备技术决策与风险平衡能力，具备功能安全工程师认证资质； 6. 英语流利（CET-6或同等），可编写英文技术文档。 工作地点 北京大兴区海纳川亦庄奔驰零部件园区海纳川亦庄奔驰零部件园区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,功能安全,http://www.zhaopin.com/jobdetail/CCL1469508330J41016565004.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
信息化系统集成销售经理,黔南州联合电子网络系统有限公司,4000-8000元,黔南·都匀市·小围寨街道,黔南,大专,1-3年,7月26日,zhilian_direct,职位描述 政府客户 院校客户 区域销售 信息安全 软件/IT服务 计算机硬件 工作内容：信息化产品经理、信息化项目销售，信息化服务等 职位要求： 1、优先选择：熟悉营销及管理技巧，熟悉信息化设备及项目；大专及以上学历，1年以上销售工作经验优先； 2、其他条件： 自我学习能力强，有上进心，热爱生活； 具有较强的沟通能力及交际技巧 具备一定的市场分析及判断能力，良好的客户服务意识 有责任心，能承受较大的工作压力 有团队协作精神，善于挑战，突破自己 工作地点 黔南都匀市南洲国际景华苑 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"政府客户,院校客户,区域销售",http://www.zhaopin.com/jobdetail/CC858972330J40770286712.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
弱电系统集成工程师,辽宁鼎汉奇辉电子系统工程有限公司,5000-7000元,鄂尔多斯·伊金霍洛旗·阿勒腾席热镇,鄂尔多斯,大专,1-3年,7月26日,zhilian_direct,职位描述 弱电运维 计算机硬件 岗位要求 一、 硬件方面：了解视频监控设备安装、调试、维护；具备弱电、综合布线、智能化系统等实施经验。 二、 软件方面：掌握TCP/IP协议，能对二层网络设备调试； 掌握Windows操作系统安装维护，能配置IIS、FTP等服务；熟悉SQL Server数据库。 岗位描述 一、工作环境在各大火车站内，要求适应短期出差（有相应的差旅补助），具备一定的动手能力，从事过铁路行业优先考虑。 二、执行力强、积极主动、吃苦耐劳，抗压能力强；具备良好的沟通能力和服务意识；具有优秀的分析问题、解决问题的能力和较强的沟通协调能力； 三、大专以上学历，计算机应用专业，具有1年行业相关经验，弱电运维等售后工作经验优先考虑； 四、具备电工证和登高证优先！ 工作地点 伊金霍洛旗鄂尔多斯站 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,弱电运维,http://www.zhaopin.com/jobdetail/CC193117910J40878604313.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
投标技术工程师（弱电/智能化/系统集成）,浙大网新系统工程有限公司,7000-10000元,杭州·西湖·蒋村,杭州,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、 负责公司投标技术支持工作，完成售前技术咨询、投标技术标编制等工作； 2、 根据招标文件要求，编制施工组织设计、技术方案等技术标支持工作；根据图纸及技术规格书要求，与供应商沟通询价，进行清单配置，核算项目成本，物资类项目进行清单报价编制工作； 3、协助销售部门为项目做一些招投标方面的技术支持工作； 4、积极跟踪行业新技术的应用，及时向公司提供新的系统解决方案； 5、完成部门主管交代的具体任务。 任职要求： 1、本科学历，电气自动化、建筑电气、计算机应用、通信电子类相关专业毕业； 2、3年以上行业投标技术工作经验（不限于投标方案设计、设备选型配置、成本核算）； 3、掌握弱电系统相关专业知识（安防、网络安全、音视频、数据中心机房等），熟悉国家行业技术规范、施工规范、招投标法规；了解公共交易中心挂网项目的招投标流程，熟悉电子投标流程； 4、熟练编制技术方案、施工组织设计，设备选型配置及成本核算，熟悉招投标标书编制； 5、掌握OFFICE、梦龙、CAD等软件编制技术方案，施工进度计划； 6、要求学习能力和主动性强，勤于思考、善于发现问题、分析问题、具有良好的团队协作配合能力。 职位福利：员工旅游、高温补贴、餐补、五险一金、交通补助、通讯补助、带薪年假、补充医疗保险 工作地点 杭州西湖区云起中心6幢 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"招标,投标,招标代理,标书制作",http://www.zhaopin.com/jobdetail/CC257131810J40555863011.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
网络系统集成售前工程师,威发系统(中国)有限公司,1.5-2万,北京·东城·东华门,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： • 项目跟踪与推进，制定系统设计方案，项目招投标相关工作内容； • 与客户建立和保持良好关系，主动发掘项目需求，并为客户提供技术咨询； • 熟练、准确地了解公司产品的技术指标和技术性能，做好项目售前支持工作； • 了解公司产品情况和客户反映，及时提供意见供领导参考； • 完成领导交办的其它临时性任务。 岗位技能要求： • 具有正规院校计算机或相关专业的本科以上学历，3年以上系统集成工作经验； • 精通R/S、安全、协作、计算&存储、虚拟化等至少两个方向技术，具有大中型系统集成方面的项目工作经验，具有HCIE或同级别资格证书优先； • 熟悉通用AI基础及大模型主流核心技术，具备AI项目POC与交付经验； • 能够独立提供解决方案，同时具有技术培训能力 ； • 能进行英语口语交流，用英文达到良好的沟通； • 身体健康、敬业勤奋、诚实协作、责任心强；良好的服务意识、团队合作意识，高度的责任感和使命感； 工作地点 北京东城区东长安街1号东方广场W1座306 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,网络、服务器与存储、AI大模型,http://www.zhaopin.com/jobdetail/CC131247800J40955512815.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
弱电系统集成售后运维工程师,辽宁鼎汉奇辉电子系统工程有限公司,5000-8000元,呼和浩特·新城,呼和浩特,大专,1-3年,7月26日,zhilian_direct,职位描述 弱电运维 岗位要求 一、 硬件方面：了解视频监控设备安装、调试、维护；具备弱电、综合布线、智能化系统等实施经验。 二、 软件方面：掌握TCP/IP协议，能对二层网络设备调试； 掌握Windows操作系统安装维护，能配置IIS、FTP等服务；熟悉SQL Server数据库。 岗位描述 一、工作环境在各大火车站内，要求适应短期出差（有相应的差旅补助），具备一定的动手能力，从事过铁路行业优先考虑。 二、执行力强、积极主动、吃苦耐劳，抗压能力强；具备良好的沟通能力和服务意识；具有优秀的分析问题、解决问题的能力和较强的沟通协调能力； 三、大专以上学历，计算机应用专业，具有1年行业相关经验，弱电运维等售后工作经验优先考虑； 四、具备电工证和登高证优先！ 这个岗位现在目前工作主要集中在薛家湾，并没有住宿，如果可以租房子的房租可以商量！看好投递！ 工作地点 新城区呼和浩特东站 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,弱电运维,http://www.zhaopin.com/jobdetail/CC193117910J40806061313.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
市场开发岗（系统集成、弱电智能化、信息化、工业自动化方向）,天津市中环系统工程有限责任公司,8000-15000元,天津·河西·尖山,天津,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1.市场开发与客户维护：开拓系统集成、弱电智能化等相关工程潜在客户、销售公司自有产品，协调客户与技术团队的沟通，跟踪项目进度至合同签署以及协助项目回款等； 2.商务与技术支持：协助解决客户前期商务及部分技术问题； 3.市场拓展：负责公司自有产品推广、行业资源整合、新领域及新客户开发； 4.项目的持续跟进：已有项目和现有客户关系的维护。 任职资格： 1.本科及以上学历，不少于3年从事产品销售、系统集成、智能化领域的市场开发、商务合作等相关工作经验； 2.熟悉行业市场动态，掌握市场营销、商务谈判知识，能专业解读公司产品技术优势； 3.具备市场调研分析、商务谈判、客户开发维护及跨部门沟通协调能力，能快速响应市场变化； 4.持有一级 / 二级建造师、信息系统项目管理师等相关证书者优先； 5.责任心强、具团队合作精神，能承受高强度工作压力，严守商业机密并勇于开拓创新。 工作地点 河西区天津市中环系统工程有限责任公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统集成,弱电智能化,市场拓展",http://www.zhaopin.com/jobdetail/CC236188810J40920432012.htm?refcode=4019&srccode=401903&preactionid=ab586c9d-9e3c-40ef-afb5-2a5bdc49e6a0
