job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
网络安全工程师,广东安联网络安全技术有限公司,8000-15000元,广州·天河·天河南,广州,本科,1-3年,7月26日,zhilian_direct,岗位职责 1. 安全服务交付与实施 1）主导或参与客户现场及远程安全服务项目，高质量完成安全巡检、漏洞扫描、配置核查、安全评估、渗透测试、系统加固等任务。 2）负责安全事件的应急响应，包括快速定位、遏制威胁、溯源分析及损失评估，并协助客户完成系统恢复。 2. 项目支持与客户协同 1）高效解决项目实施过程中的关键技术问题，确保项目按期优质交付。 2）作为技术接口，与客户保持顺畅沟通，准确理解需求并提供专业建议与技术支持，建立并维护良好的客户信任关系。 3. 文档与知识沉淀 1）负责编写各类技术服务文档，包括技术方案、项目实施报告、渗透测试报告、应急响应报告及项目总结等。 二、 任职要求 1）基础学历： 网络工程、网络安全、计算机科学等相关专业，本科及以上学历。 2）沟通能力： 具备出色的沟通与协调能力，能清晰、专业地向客户及团队主管阐述技术问题与解决方案。 3）法规标准： 熟悉国家网络安全法律法规、网络安全等级保护制度及相关行业政策规范。 4）技术基础： 扎实掌握TCP/IP协议栈等网络基础，了解路由器、交换机、防火墙等网络设备的配置与原理。 精通Windows、Linux及国产化操作系统（如麒麟）的安全配置、管理与加固。 熟悉防火墙、IDS/IPS、WAF、态势感知等主流安全设备的工作原理与策略配置。 5）安全能力： 深入理解OWASP Top 10、CWE Top 25等常见安全漏洞的原理、利用及修复方法。 熟练掌握Burp Suite、SQLMap、Metasploit、Cobalt Strike等主流渗透测试与安全评估工具。 具备基础的应急响应处置与安全事件分析能力。 6）个人素质： 责任心强，细心严谨，具备出色的团队合作精神，同时能独立承担任务；具备良好的文字表达能力，能胜任技术方案与报告的撰写。 三、优先考虑 1.实战经验： 有大型攻防演练（如“护网”行动）参与经验，并熟悉其整体流程与战术打法者优先。 2.专业认证： 持有CISSP、CISP-PTE、Security+、软考（信息安全方向）等行业权威认证者优先。 3.技术特长： 具备代码审计能力，能阅读并分析Java/Python/PHP/.NET等至少一种编程语言代码；具备数据安全风险评估能力，能熟悉数据安全风险评估相关标准、实施流程、现场实施、风险分析、报告编辑等内容。 4.能力证明： 在各大SRC或漏洞平台有高质量漏洞提交记录，或在CTF比赛中取得过良好名次。 公司福利： 1.福利保障：五险一金，定期体检、专业培训、享受法定节假日等各类带薪假期； 2.日常福利：定期团建、节日礼品、生日福利、下午茶； 3.办公环境：年轻化团队氛围，工作氛围轻松融洽。 工作地点 广州天河区三新大厦21FG 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网络安全,CISSP,CISA,软考证书",http://www.zhaopin.com/jobdetail/CCL1348749700J40849971513.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
销售总监（网络安全与系统集成方向）,山东同域网络安全技术有限公司,8000-15000元,威海·环翠区·田和街道,威海,本科,5-10年,7月26日,zhilian_direct,岗位职责 1. 销售战略制定与执行 （1）根据公司年度经营目标，制定针对网络安全服务（等保、渗透、运维）、软件定制开发及系统集成业务的销售策略与市场拓展计划。 （2）分析行业趋势（如政务、医疗、教育、能源等行业政策导向），挖掘客户潜在需求，推动公司解决方案在目标行业的落地。 2. 客户拓展与重大项目攻关 （1）主导大客户（To B/G）开发工作，重点攻克政务、国企、大型企事业单位的信息化建设项目。 （2）梳理并跟进项目线索，协调内外部资源（售前技术、产品研发）进行方案设计与报价，负责项目招投标、商务谈判及合同签订的全流程管理。 3. 渠道与生态合作管理：拓展并维护渠道合作伙伴（如硬件厂商、行业ISV等），建立稳固的生态合作体系，通过资源互换与联合方案推广，扩大业务覆盖面。 4. 团队建设与管理 （1）组建并管理销售团队，制定考核激励机制，提升团队的销售技能与行业认知（如网络安全政策法规、软件产品逻辑）。 （2）协助团队成员进行重点客户跟进，把控项目风险，确保销售回款目标的达成。 二、 任职资格 1. 经验要求 （1）学历专业： 本科及以上学历，计算机、信息安全、市场营销或相关专业优先。 （2）从业背景： 5年以上IT/B2B行业销售经验，其中至少2年网络安全、系统集成或软件销售相关行业背景。 （3）成功案例： 具备独立运作系统集成项目（如数据中心建设、网络改造）或网络安全服务项目（如等保测评、安全运维）的成功经验。 2. 核心能力 （1）商务谈判： 精通大客户公关技巧，具备优秀的沟通能力和应变能力，能够与客户高层进行有效对话。 （2）解决方案思维： 理解网络安全产品（如防火墙、态势感知）或软件系统的底层逻辑，能够引导客户需求，输出针对性方案。 （3）资源整合： 具备良好的跨部门协作能力，能有效协调技术、实施团队确保项目落地。 3. 行业认知 （1）了解网络安全相关政策法规（如等保2.0、数据安全法）及行业趋势，熟悉政府、医疗或教育行业的项目决策链。 （2）@拥有相关行业客户资源或渠道资源者优先考虑。 工作地点 环翠区哈尔滨工业大学(威海校区) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CCL1478645330J40878343505.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全售后工程师-青海,北京天融信网络安全技术有限公司,6000-10000元·14薪,西宁·城西区·古城台街道,西宁,大专,3-5年,7月26日,zhilian_direct,"职位描述 网站安全 主机安全 售后支持工程师 售后工程师 信息安全 工作内容： 1、负责公司项目和产品的实施； 2、负责项目的售后维护，应急响应，故障排除等工作； 3、针对用户网络环境，制定合理的网络安全方案及实施方案； 4、在客户现场进行产品的测试、实施、故障调查、技术分析，并提供解决方案或建议。 任职要求： 1、计算机网络及相关专业，专科及专科以上学历； 2、拥有H3C,TCSP或思科等网络认证者优先； 3、熟悉常见的各种路由交换协议，熟悉主流网络安全产品； 4、熟悉路由器，交换机，防火墙等网络及安全设备的工作原理和特性，并能熟练配置； 5、具备UNIX、Linux、Windows操作系统的系统管理经验者优先考虑； 6、具备交换机、服务器应用系统维护经验者优先考虑； 7、具备较强的事业心、责任感以及良好的沟通表达能力和团队协作精神； 8、具有网络信息安全行业相关经验优先。 工作地点 西宁城西区水电大厦10楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","网站安全,主机安全,售后支持工程师,售后工程师",http://www.zhaopin.com/jobdetail/CC380206280J40742895814.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全等保测评师,山西赛盾网络安全测评技术有限公司,4000-8000元,太原·小店·平阳路,太原,本科,1-3年,7月26日,zhilian_direct,职位描述 等保测评师 信息安全 1.负责网络安全等级保护测评、风险评估、应急相应等技术服务和咨询； 2.对测评信息系统进行网络安全等级保护测评； 3.编制网络安全等级保护测评方案，出具网络安全等级保护测评报告。 任职要求： 1.计算机技术、网络工程、数学类、通信或电子工程等相关专业毕业，本科及以上学历； 2.有一年以上的网络安全或大型网络运维相关行业从业经验优先； 3.了解网络设备（路由器、交换机等）、服务器（Windows、Linux等）、数据库（SQL Server、Mysql、Oracle等）、安全设备（防火墙、堡垒机、入侵防御等）等相关设备工作原理及配置； 4.熟练掌握word、excel等办公软件的使用； 5.有较强的文字表达能力和学习能力； 6.能接受山西省内出差； 7.有网络安全等级保护测评师证书者，待遇从优。 工作地点 太原小店区智创城A座16层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,等保测评师,http://www.zhaopin.com/jobdetail/CCL1244599580J40808080407.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
CERT网络安全应急驻场工程师,山东同域网络安全技术有限公司,6000-8000元,济南·市中·四里村,济南,大专,1-3年,7月26日,zhilian_direct,岗位职责： （一）日常安全值守与监测运维 1. 负责日常网络安全驻场值守，实时监控网络、业务系统及安全设备告警，甄别并处理各类基础安全风险告警。 2. 定期开展全网安全日常巡检，排查网络、服务器、业务系统安全隐患，整理巡检记录，输出日常巡检报告并上报。 3. 负责安全设备日常基础运维，保障设备正常运行，定期梳理优化基础防护策略。 （二）漏洞管理与风险整改 1. 配合开展全网漏洞扫描、风险排查工作，梳理漏洞及安全风险台账，对安全风险进行分级整理。 2. 对接各业务、运维部门，跟进漏洞修复、安全配置加固工作，全程跟进问题整改闭环，整理整改相关资料。 （三）网络安全事件应急处置 1. 负责处置日常各类基础网络安全事件，包括病毒感染、异常访问、网页异常等常见安全问题，及时隔离、清除安全隐患，恢复业务正常运行。 2. 完整记录安全事件处置全过程，撰写处置报告，总结问题并提出优化建议。 3. 配合上级主管部门完成安全核查、事件上报等相关工作。 （五）安全保障与专项工作 1. 负责重大节假日、重要会议等关键时期的网络安全重保值守工作，保障重保期间网络与业务安全稳定。 2. 协助客户完成网络安全自查、等级保护合规整改、安全审计等各类合规工作，整理相关资料。 3. 配合开展安全应急演练、安全培训等相关工作，优化基础安全防护流程。 （六）文档体系与知识沉淀 1. 规范整理日常值守、巡检、整改、应急处置等各类工作台账及文档，保证工作可追溯。 2. 积累日常安全工作经验，汇总常见问题处置方法，提升基础安全服务能力。 3. 完成客户交办的其他网络安全相关日常及临时保障工作。 岗位要求： 1. 大专及以上学历，计算机网络、网络安全相关专业，有相关网络安全、运维驻场工作经验即可。 2. 掌握基础网络安全常识，了解服务器、终端基础安全操作，会使用常规安全运维工具，能识别基础安全风险。 3. 了解基础网络安全事件处置流程，能够配合完成安全问题排查、处理、记录与上报工作。 4. 了解网络安全合规基础要求，熟悉安全巡检、漏洞整理、风险台账梳理等基础工作。 5. 持有CISP、CCNP证书优先考虑。 6. 思维灵活、学习能力强，愿意主动学习网络安全相关知识，能快速适配岗位工作。 工作地点 济南市中区八一立交桥 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CCL1478645330J40881473605.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全高级工程师,天津展望互联网络安全系统技术开发有限公司,1-1.1万,天津·南开·学府,天津,大专,3-5年,7月26日,zhilian_direct,职位描述 信息安全 熟悉渗透测试，熟悉红蓝队对抗，熟悉病毒种类，能够进行溯源分析 工作地点 天津市-南开区-鞍山西道259号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CC239158310J40788761806.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全项目经理（合肥）,北京天融信网络安全技术有限公司,1-1.5万·13薪,合肥·包河,合肥,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、基础运维与账号权限管理：包含资产梳理、VPN 账号及认证、政务外网准入平台账号管理、基线策略运营调整。 2、日常安全监测与审计分析：涵盖日常安全监测、日志分析、安全审计、预警通告。 3、风险检测、验证与加固整改：包括漏洞验证、渗透测试、安全加固、“两网通联” 扫描、APP 合规隐私检测、仿钓鱼社工测试。 4、专项安全服务与应急保障：涉及攻防演习、风险评估、应急响应、应急演练、重要时期安全保障。 5、体系建设、咨询培训与新兴安全服务：包含安全管理、安全管理制度编制与咨询、安全培训、大模型安全评估、高质量数据集建设。 任职要求： 1. 本科及以上学历，3年以上网络安全相关工作经验；拥有网络安全运营中心、电子政务外网运维、政府单位大型项目经验者优先。 2. 具备优秀项目管理能力，可独立统筹项目全生命周期，负责进度管控、成本与风险管理、内外部资源协调、质量监督及验收；熟练开展方案设计、落地管控与客户对接工作。 3. 精准拆解客户需求并完成技术转化，擅长方案编制、汇报展示，具备良好的跨部门沟通协调能力。 4. 可组织团队处置各类安全事件，有攻防演练、重要时期安全重保相关实战经验。 5. 熟悉防火墙、IPS/IDS、WAF、SIEM、漏洞扫描、渗透测试、风险评估、防社工钓鱼等主流安全产品及服务。 6. 持有CISP、CISAW、信息安全工程师等相关资质证书者优先。 工作地点 合肥包河区百大心悦城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CC380206280J40874546314.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全运营总监/经理,山东同域网络安全技术有限公司,9000-18000元,济南·历下,济南,本科,5-10年,7月26日,zhilian_direct,岗位职责 1.负责公司网络安全运营体系的规划、建设与优化，制定安全管理制度与操作流程。 2.组织开展日常安全监控、漏洞管理、安全审计等工作，及时发现并处置安全事件。 3.主导安全合规建设，推动等保测评、数据安全治理等工作的落地。 4.负责安全团队的管理与培养，提升团队整体作战能力。 5.跟踪网络安全技术发展趋势，引入适合企业的安全技术与工具。 岗位要求： 1.计算机、网络安全、信息安全等相关专业本科及以上学历，部分经验丰富者可放宽至大专。 2.需具备5年以上网络安全领域工作经验，其中3年以上管理岗位经验；熟悉网络安全运营全流程，包括安全监控、事件响应、漏洞管理等核心模块。 3.持有CISSP（注册信息系统安全师）、CISP（注册信息安全专业人员）、CISA（注册信息系统审计师）、CCSP（注册云安全专家）等专业认证者优先。 4.精通常见攻击手段与防御策略，如入侵检测、防火墙配置、漏洞扫描与修复、渗透测试等，能够独立完成安全事件的分析与处置。 5.熟练掌握各类安全设备（防火墙、IDS/IPS、WAF、SIEM等）的配置与维护，熟悉主流安全分析工具（如Splunk、ELK、Nessus等）的使用。 6.了解云计算、大数据、物联网等新技术环境下的安全防护体系，具备云安全（AWS、Azure、阿里云等）管理经验者优先。 7.熟悉国家网络安全法律法规（如《网络安全法》《数据安全法》）及行业标准（如等保2.0、PCI DSS），能够主导安全合规评估与风险治理工作。 8.具备搭建和管理安全运营团队的经验，能与研发、运维、业务等部门有效沟通，推动安全措施在业务全流程的落地。 9.根据企业业务需求，制定中长期网络安全运营战略，提升企业整体安全防护能力。 10.具备较强的书面与口头表达能力，能够向管理层汇报安全态势与风险情况，向业务部门解读安全要求。 11.面对复杂安全事件时，能够快速定位问题根源并制定解决方案，具备较强的抗压能力与应急处理能力。 12持续关注网络安全领域的新技术、新威胁，能够快速掌握并应用于实际工作中。 工作地点 济南历下区山东警察学院(文化东路校区) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"网站安全,CISP,CISSP",http://www.zhaopin.com/jobdetail/CCL1478645330J40860711605.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全服务工程师,天津展望互联网络安全系统技术开发有限公司,6000-8000元,天津·南开·学府,天津,学历不限,3-5年,7月26日,zhilian_direct,职位描述 信息安全 熟练使用安全设备比如防火墙，IPS，Waf，上网行为管理设备等，会配置安全策略，有三年以上工作经验 工作地点 天津市-南开区-鞍山西道259号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CC239158310J40786927006.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
网络安全行业销售经理-河北各地市,北京天融信网络安全技术有限公司,8000-16000元·24薪,石家庄·新华·东焦,石家庄,大专,3-5年,7月26日,zhilian_direct,职位描述 信息化行业 计算机硬件 云计算 信息安全 工作内容： 1、负责公司在河北的石家庄（公安行业、教育行业等）或地市：保定、唐山、张家口、邢台、邯郸地区的销售； 2、依据河北办事处及公司销售要求，在客户处制定销售策略及实施； 3、开拓新市场，发展新客户，增加产品销售范围； 4、挖掘并逐步引导行业需求，树立公司产品在该行业的品牌和产品优势地位。 任职要求： 1、3年及3年以上直接客户的销售经验，熟悉网安产品或计算机专业优先考虑； 2、各地区有对应的办事处，河北总部在石家庄，优先考虑在当地有对应客户资源的人选； 3、熟悉行业市场状况与市场需求，精通项目运作，具备相当的销售公关及市场拓展能力； 4、拥有上述行业的良好背景资源积累、良好的客户资源者优先，能吃苦、勤奋、积极的工作，有团队精神； 职位福利：六险一金、交通补助、餐补、通讯补助、带薪年假、节日福利、年底奖金 工作地点 石家庄新华区中储广场A座1602 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息化行业,http://www.zhaopin.com/jobdetail/CC380206280J40567257814.htm?refcode=4019&srccode=401903&preactionid=f984ba7f-d24c-43cd-be2e-a3ab54715574
