job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
自动化测试工程师,河南月贝凡电子科技有限公司,7000-13000元,郑州·中原·航海西路,郑州,大专,经验不限,7月26日,zhilian_direct,岗位职责： 1.负责自动化测试流程的设计与实施； 2.对测试实施过程中发现的问题进行准确描述，并反馈开发； 3.编写和执行测试用例，确保测试的准确性和效率性； 任职要求： 1.大专及以上学历，学信网可查； 2.具备良好的逻辑思维能力和问题解决能力； 3.对互联网领域有浓厚兴趣； 工作地点 郑州市-中原区-文化宫路陇海路小岗刘新城1号楼607 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,C/C++,Linux",http://www.zhaopin.com/jobdetail/CC203699730J40887187503.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
系统自动化测试工程师,杭州众萃人力资源服务有限公司,1.2-1.4万·13薪,杭州·滨江·彭埠,杭州,高中,经验不限,7月26日,zhilian_direct,职位描述 自动化测试 岗位内容： 1. 设计测试用例并执行测试计划，对软件功能、性能、稳定性等进行全面测试。 2. 编写测试报告和Bug汇报，跟踪Bug的解决过程，并及时反馈BUG情况给研发团队。 3. 参与产品设计和需求评审，提供测试意见和建议。 4. 熟悉自动化测试框架或工具，并进行相关测试工作。 任职要求： 1. 本科以上学历，计算机相关专业，有3年以上测试经验。 2. 熟悉软件测试流程和常用的测试方法、工具，熟悉至少一种自动化测试工具。 3. 具备较强的测试分析和问题定位能力，能够独立制定测试计划和测试用例。 4. 具备良好的沟通协调能力和团队合作精神。 工作地点 杭州滨江区九环路6号A楼-7-1043 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,自动化测试,http://www.zhaopin.com/jobdetail/CCL1512077500J40897788713.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
【欧美大连】自动化测试工程师（Android 产品 Automation）,东软集团(大连)有限公司,8000-15000元,大连·甘井子·凌水,大连,本科,3-5年,7月26日,zhilian_direct,职位描述 Python Linux Android测试 英语 欧美 蓝牙/WIFI 安卓自动化测试 工作职责 1.负责 Android 产品自动化测试平台的测试开发、维护及测试执行，保障测试环境稳定运行。 2.基于 Python 开发和维护自动化测试脚本，持续提升测试覆盖率和执行效率。 3.负责 WiFi、Bluetooth 等 Connectivity 场景的自动化测试及稳定性验证，分析测试结果并推动问题闭环。 4.独立完成问题定位与分析，包括 Log 分析、问题复现及 Root Cause 初步定位，并协同研发推动问题解决。 5.与海外客户及跨团队进行日常技术沟通，支持需求确认、测试进展同步及质量问题跟踪。 6.持续优化测试流程和自动化方案，提升测试平台的稳定性及测试效率。 岗位要求 1.计算机相关专业，本科及以上学历。 2.熟悉 Linux 系统及常用命令，具备良好的脚本开发能力。 3.熟练掌握 Python，具备自动化测试开发经验者优先。 4.熟悉 Android 系统架构，有 Android或嵌入式产品测试经验者优先；具备WiFi/Bluetooth 等 Connectivity 测试经验者优先。 5.具备较强的逻辑思维能力、问题分析与定位能力，能够独立处理复杂测试问题。 6.具有良好的创新意识和持续改进意识，工作积极主动，能够主动发现问题并推动优化。 7.具备良好的沟通协调能力和团队合作精神，责任心强，能够适应跨团队协作。 8.英语听说读写能力良好，能够独立与海外客户进行日常技术沟通及会议交流者优先。 人选推荐建议： 经验者3~5年，Android自动化测开经验，系统架构经验，一定的python能力，英语能作为工作语言；（WiFi/Bluetooth 经验者较佳） 海归应届生：计算机相关专业，具有嵌入式相关经验；英语能作为工作语言；创新意识，主动性佳，学习能力强 工作地点 大连甘井子区东软河口软件园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Linux,Android测试,英语,欧美,蓝牙/WIFI",http://www.zhaopin.com/jobdetail/CC120399300J40957535015.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试工程师,软通动力信息技术(集团)股份有限公司,1.4-1.5万,北京·丰台·太平桥,北京,本科,5-10年,7月26日,zhilian_direct,"岗位职责 1.设计、开发和维护自动化测试框架（Pytest优先）。 2.编写自动化测试脚本（Python优先），覆盖UI、API、性能等测试类型。 3.集成自动化测试到CI/CD流程（Jenkins），实现持续测试。 4.分析测试结果，定位缺陷并与开发团队协作解决问题。 5.优化测试用例，提升测试覆盖率和执行效率。 任职要求 硬性技能： 1.编程语言：熟练掌握Python编程语言。 2.测试工具： 1.UI自动化：Selenium、Playwright 2.API测试：Postman、JMeter 3.性能测试：JMeter 3.框架/平台：Pytest、Jenkins、Docker、Kubernetes。 4.版本控制：Git/GitHub/GitLab。 5.有互联网产品测试经验或通信/网络设备相关行业从业经验优先。 加分项： 牵头测试工具开发或测试平台搭建。 软技能： 逻辑清晰，具备分析和解决问题的能力。 良好的团队协作和沟通能力。 学历与经验 5年经验，有2年以上自动化测试经验。 计算机科学、软件工程、电子信息等相关专业，统招本科及以上学历。"" 工作地点 北京丰台区中国通信服务大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Python,UI自动化测试,接口自动化测试,UiAutomator,Selenium,Appium",http://www.zhaopin.com/jobdetail/CC000544460J40833178616.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
初级自动化测试工程师,厦门久唯人力资源有限公司,1.1-1.3万,长沙·长沙·观沙岭,长沙,学历不限,经验不限,7月26日,zhilian_direct,职位描述 硬件测试 软件测试 岗位内容： 1. 负责软件测试的规划、设计、执行、跟踪和总结工作。 2. 协助研发人员进行问题定位和解决，确保软件品质。 3. 掌握各类测试技术手段，通过持续集成、自动化测试等方式不断提高测试效率和质量。 4. 参与产品评审，积极提供改进建议，推动产品质量的提升。 任职要求： 1. 本科以上学历，计算机相关专业，有2年以上软件测试相关工作经验。 2. 熟练掌握至少一种测试管理工具，如JIRA、TestLink等，并能灵活运用。 3. 精通常用的测试方法、技术和工具，熟悉自动化测试工具的使用和开发，并有实际项目经验。 4. 具备良好的沟通协调能力和团队合作精神，具备较强的自我学习能力和问题解决能力。 工作地点 长沙县湖南省长沙市岳麓区茶子山东路39号189号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"硬件测试,软件测试",http://www.zhaopin.com/jobdetail/CCL1512022740J40791377506.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试工程师,北京捷科智诚科技有限公司上海分公司,1.1-1.5万,北京·昌平·史各庄,北京,本科,1-3年,7月26日,zhilian_direct,职位描述 Java Python 测试开发 接口自动化测试 1、统招本科毕业，计算机相关专业； 2、2年以上自动化测试经验，能用Java、Python编写脚本； 3、能接受外派工作模式； 4、沟通表达良好； 工作地点 北京市昌平区科学园路21-1号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Python,测试开发,接口自动化测试",http://www.zhaopin.com/jobdetail/CCL1405333700J40674411505.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试工程师,重庆安于诺财税服务有限公司,1.1-1.3万·13薪,重庆·江北,重庆,本科,1-3年,7月26日,zhilian_direct,职位描述 Python Java 接口自动化测试 UI自动化测试 性能测试 Selenium Appium Jmeter 财税业务测试 自动化测试框架搭建 测试流程优化 工作职责： 1. 负责财税服务系统的自动化测试框架设计与搭建，覆盖接口、UI及性能测试场景。 2. 针对核心业务模块（如税务申报、发票管理）编写自动化测试用例，提升回归测试效率。 3. 参与需求评审与测试计划制定，识别业务风险点并输出测试报告。 4. 推动测试流程优化，引入自动化工具与技术，降低人工测试成本。 任职要求： 1. 本科及以上学历，计算机、软件工程等相关专业，2年以上自动化测试经验。 2. 精通至少一种自动化测试框架（如Selenium、Appium、JUnit），熟悉Python/Java等编程语言。 3. 掌握接口测试工具（Postman、JMeter），具备性能测试与问题定位能力。 4. 具备良好的逻辑分析能力，能快速理解财税业务需求并转化为测试用例。 工作地点 江北区重庆国华金融中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,接口自动化测试,UI自动化测试,性能测试,Selenium,Appium,Jmeter,财税业务测试,自动化测试框架搭建,测试流程优化",http://www.zhaopin.com/jobdetail/CCL1511500440J40923179712.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试工程师,重庆翎昀智建筑工程有限公司,1.1-1.3万·13薪,重庆·两江新区,重庆,本科,1-3年,7月26日,zhilian_direct,职位描述 Python Java 接口自动化测试 性能测试 UI自动化测试 Selenium Appium 自动化测试框架搭建 测试流程优化 敏捷测试 云计算 工作职责 1. 负责项目全生命周期的自动化测试方案设计，覆盖接口、UI及性能测试场景。 2. 搭建并维护自动化测试框架，提升测试用例的复用率与执行效率。 3. 与开发团队协作，推动接口规范化与测试左移，从源头降低缺陷率。 4. 分析测试结果并输出报告，推动问题闭环，持续优化测试流程。 任职要求 1. 本科及以上学历，计算机相关专业，具备扎实的软件测试理论基础。 2. 掌握至少一种主流自动化测试工具（如Selenium、Appium、Postman）。 3. 熟悉Python/Java等至少一门编程语言，能独立编写测试脚本。 4. 具备接口测试经验，熟悉RESTful API、HTTP协议及数据库操作。 5. 有敏捷开发环境下的测试经验，能快速响应需求变更。 工作地点 重庆两江新区高科总部广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,接口自动化测试,性能测试,UI自动化测试,Selenium,Appium,自动化测试框架搭建,测试流程优化,敏捷测试",http://www.zhaopin.com/jobdetail/CCL1515542730J40791345206.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试专员/包吃住,重庆简工人力资源服务有限公司,8000-11000元,贵阳·观山湖·金华园,贵阳,大专,1-3年,7月26日,zhilian_direct,职位描述 Python Java Selenium Appium 接口自动化测试 UI自动化测试 性能测试 自动化测试框架搭建 测试流程优化 跨团队协作 工作职责： 1. 负责公司软件产品的自动化测试方案设计与执行，搭建并维护自动化测试框架。 2. 编写、优化自动化测试用例，覆盖功能、接口及性能测试场景，提升测试覆盖率。 3. 与开发团队协作，参与需求评审与缺陷跟踪，推动问题高效解决。 4. 持续优化测试流程，引入新工具与技术，提升团队整体测试效率。 任职要求： 1. 大专及以上学历，计算机相关专业，1年以上自动化测试经验。 2. 精通至少一种自动化测试工具（如Selenium、Appium、Postman），熟悉Python/Java等编程语言。 3. 掌握接口测试、UI测试的核心方法，具备测试用例设计与缺陷分析能力。 4. 具备良好的沟通能力与团队协作精神，能快速融入项目节奏。 补充说明 1. 福利：包吃住 工作地点 观山湖区贵阳富力中心2036 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Python,Java,Selenium,Appium,接口自动化测试,UI自动化测试,性能测试,自动化测试框架搭建,测试流程优化,跨团队协作",http://www.zhaopin.com/jobdetail/CCL1520840930J40952614908.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
自动化测试工程师,上海广顺恒建筑有限公司,1.4-1.6万·13薪,上海·黄浦·小东门,上海,本科,经验不限,7月26日,zhilian_direct,职位描述 Python Java Selenium Appium 接口自动化测试 UI自动化测试 性能测试 工程类软件测试 自动化测试框架搭建 全链路业务测试 电力/水利/热力/燃气 工作职责 1. 负责工程施工类软件系统的自动化测试框架搭建与维护，覆盖接口、UI及性能测试场景。 2. 设计并执行自动化测试用例，针对工程数据交互、流程审批等核心业务模块进行全链路验证。 3. 参与测试需求分析与评审，输出高质量的测试报告，推动问题闭环与系统优化。 4. 持续优化自动化测试流程，提升测试效率与覆盖率，支撑项目快速迭代。 任职要求 1. 本科及以上学历，计算机、软件工程等相关专业，具备扎实的软件测试理论基础。 2. 熟练掌握至少一种自动化测试工具（如Selenium、Appium、Postman），熟悉Python/Java等编程语言。 3. 熟悉测试流程与方法论，能独立设计复杂业务场景的测试用例，具备问题定位与分析能力。 4. 有工程类、企业级软件测试经验者优先，具备性能测试或安全测试经验者加分。 工作地点 上海黄浦区BFC外滩金融中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,Selenium,Appium,接口自动化测试,UI自动化测试,性能测试,工程类软件测试,自动化测试框架搭建,全链路业务测试",http://www.zhaopin.com/jobdetail/CCL1509514500J40876793210.htm?refcode=4019&srccode=401903&preactionid=c3b77a46-b901-4426-b8fe-0b3663505ed0
