job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
芯片工程师,厦门银科启瑞半导体科技有限公司,8000-11000元,厦门·同安·五显,厦门,本科,1-3年,7月26日,zhilian_direct,职位描述 光刻工艺 蚀刻工艺 镀膜工艺 研磨工艺 清洗工艺 湿法刻蚀工艺 1. 负责站点新材料和新机台的工艺验证与验收； 2. 负责工艺DOE实验，工艺验证； 3. 负责站点工艺优化，改善工艺制程能力； 4. 组织生产流程培训，提高生产作业人员水平； 5. 负责作业流程指导书（SOP）等文件编辑； 6. 负责工艺异常处理，不良分析和解决，并及时出具异常改善报告（8D报告）； 7. 协助芯片主管对工艺生产线的管理。 任职要求： 1. 本科以上学历，光电、微电子或相关理工科专业； 2. 熟练使用office办公软件、英语阅读能力较强； 3. 1年以上半导体行业工艺经验； 4. 有ULVAC、富临、光驰镀膜机工艺调试经验者优先。 工作地点 厦门同安区火炬石墨烯新材料产业园(A区)866-8号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"光刻工艺,蚀刻工艺,镀膜工艺,研磨工艺,清洗工艺,湿法刻蚀工艺",http://www.zhaopin.com/jobdetail/CCL1379422960J40482322914.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
tmbs整合芯片工程师,扬州国宇电子有限公司,6000-12000元·13薪,扬州·邗江区·施桥镇,扬州,本科,1-3年,7月26日,zhilian_direct,职位描述 整合 半导体 芯片 汽车电子 整合工艺 通信设备 半导体/芯片 1.熟练掌握TMBS所有工序设计工艺及整合工艺。 2.负责编写和修订、更新本工序各工艺文件、作业指导书、控制计划、点检规范等相关工作。 3.监督操作人员的操作行为，督促其遵守设备操作规程，严格工艺纪律，认真执行工艺文件和标准作业文件，给出相应的分析和措施，确保文实相符。 4.负责处理本工序产品发生的各种工艺异常，完成原因分析，给出预防措施，及时更新和优化相关文件。 5.根据订立的各条件管理项目、规范，对所在工序的条件管理、SPC、CPK情况进行检查、调控，给出相应的分析和措施，确保条件管理及时、正确。 6.参与涉及所在工序产品工艺方案和工艺实施计划的讨论，负责好安排的工艺试验，保质保量按时完成各项任务； 7.完成所在区域负责的质量指标，并提供相应的周、月度数据统计、分析报告。 8.负责所在区域节能降耗工作的落实实施。实施公司组织的职业安全健康、QC080000相关工作。 9.领导安排的其他工作。 工作地点 邗江区扬州经济技术开发区吴州东路188号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"整合,半导体,芯片,汽车电子,整合工艺,通信设备",http://www.zhaopin.com/jobdetail/CC229329210J40835128401.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
类器官芯片工程师/科学家,重庆嘉士腾医药有限公司,2-3万,重庆·大渡口·八桥,重庆,博士,1-3年,7月26日,zhilian_direct,职位描述 器官芯片 芯片研发 医疗设备研发 核心职责： 1、产品设计与研发：负责设计具有行业先进水平的类器官芯片技术与产品。 2、产品制备：完成设计开发出的类器官芯片产品的制备，熟练掌握3D打印、光刻、注塑等类器官芯片的制备工艺，具备生产线设计与建设能力。 3、产品验证：具备生物学、材料学领域的知识、经验与能力。能够独立完成类器官芯片产品的应用验证，使产品顺利达到稳定的应用条件。 任职要求： 1、微流控、生物医学工程、机械工程等相关领域硕士或博士学历。 2、硬核技术： 精通微流控芯片、微阵列芯片、多细胞互作芯片等方向的设计与至少两种先进的主流制备工艺；具备细胞/类器官与芯片结合的成功研发经验者优先。 3、具备电化学传感器与生物传感相关工作经验。 4、熟练使用3D建模软件（SolidWorks / AutoCAD 等）。 5、具备流体仿真经验（COMSOL / ANSYS Fluent 等）。 6、对技术落地充满热情，具备创新思维和强烈的结果导向意识、优秀的团队合作精神。 工作地点 重庆大渡口区天安数码城·云谷5幢15楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"器官芯片,芯片研发,医疗设备研发",http://www.zhaopin.com/jobdetail/CCL1241532370J40887774912.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
芯片工程师(J10033),江苏省精创电气股份有限公司,1.5-3万,南京·雨花台·赛虹桥,南京,本科,5-10年,7月26日,zhilian_direct,职位描述 RFID 芯片 数字芯片 工作职责 1. 负责 RFID + 温度传感器芯片委外开发全流程跟进，对接外部研发承接方，把控需求、方案、进度与交付质量； 2. 统筹芯片供应链管理，对接晶圆、封测、测试等外部厂商，负责工艺对接、流片计划、量产导入落地； 3. 负责芯片样品验证、可靠性测试、量产良率跟进及问题协调闭环； 4. 搭建并沉淀芯片供应链资源、工艺流程库，支撑后续数字温度传感器业务拓展； 任职资格 1. 精通芯片从设计、流片、封装测试到量产的完整流程与工艺逻辑； 2. 熟悉晶圆厂、封测厂对接流程，能独立对接外部承接方开展技术评审、进度管控； 3. 熟悉芯片工艺选型、流片排期、样品验证、量产导入及良率分析； 4. 了解 RFID 芯片或者数字温度类芯片设计、工艺、量产供应链逻辑优先； 5. 具备项目统筹、供应商管理能力，能沉淀供应链资源与流程规范。 工作地点 南京雨花台区精创电气 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"RFID 芯片,数字芯片",http://www.zhaopin.com/jobdetail/CC143355760J40850517511.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
模拟芯片工程师,天健九方(西安)毫米波设计研究院有限公司,1.5-1.6万,成都·武侯·桂溪,成都,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责系统与芯片的设计研发工作，为研发成果直接负责。 2、负责射频微波系统芯片的功能与性能指标分解。 3、负责单功能芯片的功能与性能指标制定。 4、负责制定芯片测试与封装方案。 5、独立完成芯片仿真、调试、测试等。 6、领导临时交办的其它事项。 任职要求： 1.电子信息工程、微电子、射频微波等电子类专业方向硕士以上学历（有流片经验、能力优秀者可放宽到本科学历）。 2.三年以上卫星通信、雷达信号处理、射频微波等芯片设计研发经验、有电磁场仿真经验优先考虑、具备有源电路设计经验者优先考虑，如射频功放、低噪放等。 3.英文技术类文献读写流畅。 4.射频微波理论实践基础扎实，熟悉毫米波芯片设计（不限于）：功分器、均衡器、滤波器、射频微波开关、低噪声放大器、射频微波功率放大器、倍频器、分频器、混频器等。对各种结构与电路有自己深入见解。熟练运用HFSS和EM仿真，熟悉ADS、Cadence等设计软件，熟悉射频微波测试设备，如信号源、频谱仪、网络分析仪等。 5、具有良好的学习、分析和创新能力，能独立完成系统与电路设计。 6、认真细心、责任心强，有较强的敬业精神和团队合作意识，并能承受工作压力。 工作地点 成都武侯区新希望国际-C座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"滤波器,射频前端",http://www.zhaopin.com/jobdetail/CCL1209418560J40812685610.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
芯片工程师,远山新材料科技有限公司,9000-17000元,南昌·青山湖,南昌,本科,经验不限,7月26日,zhilian_direct,职位描述 芯片 黄光、课时工艺 1、工艺编制：负责站点芯片制造工艺流程和操作规程；负责站点作业指导书的编制及OP培训； 2、生产监控：负责站点生产中的工艺监控、异常处理及分析；负责站点产品工艺优化及工艺参数异常的调整； 3、新工艺导入：新产品、新工艺的量产导入；负责芯片新工艺的测试和验证。 4、培训：定期负责站点OP培训 5、熟悉半导体器件的电器特性量测 6、配合研发部进行工艺测试、流片验证等。 7、有黄光、刻蚀、镀膜、切割等相关经验与知识。 工作地点 南昌青山湖区晶能光电股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"芯片,黄光、课时工艺",http://www.zhaopin.com/jobdetail/CC615853580J40894654813.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
存算一体芯片工程师,重庆博金斯科技有限公司,1.5-3万,重庆·北碚·天生,重庆,本科,经验不限,7月26日,zhilian_direct,职位描述 存储芯片 数字芯片 传感器芯片 数字前端设计 芯片设计与开发：负责存算一体IP的存储器单元、阵列的电路设计工作，参与芯片的架构定义与设计，包括存储单元、读写路径、IO规划等。开发存算一体芯片的阵列外围电路模块，如驱动、译码、冗余等电路，并进行存储器建模、设计、仿真验证和测试。 • 技术文档与项目管理：编写设计文档，跟踪技术演进方向，制定全面的芯片项目研究计划，负责与代工厂的沟通、进度跟踪和质量控制，确保项目顺利推进。 • 协同与合作：联动工艺、设计、算法、架构等团队，规划芯片方案，推动存算一体芯片开发，与其他团队成员紧密合作，解决设计和开发过程中出现的问题。 任职要求: • 教育背景：微电子、电子工程、计算机、集成电路等相关专业本科与硕士以上学历。 • 专业技能：具备一定的模拟电路和数字电路基础，熟练掌握Verilog硬件描述语言，熟悉IC设计流程，熟练使用Synopsys等EDA工具。 • 项目经验：具备SRAM或者忆阻器存储器设计经验或存算一体电路设计经验者优先，有成功流片经验和芯片调试经验者更佳。 • 其他能力：了解数据结构、神经网络、机器学习算法等相关知识，具有良好的英文读、写能力，有较强的沟通能力和团队精神。 工作地点 重庆北碚区天生路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"存储芯片,数字芯片,传感器芯片,数字前端设计",http://www.zhaopin.com/jobdetail/CCL1500659430J40854142503.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
芯片工程师(J10374),卡莱特云科技股份有限公司,3-4万·14薪,北京·海淀·清华园,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责: 1.FPGA 验证框架搭建 设计可复用的 AI 推理芯片 FPGA 验证框架，支持芯片快速集成、功能 / 性能验证； 2.FPGA 原型验证与调试 完成 RTL 集成、时钟 / 接口 / 存储模块适配，搭建系统级验证环境；运行 AI 推理模型（CNN/YOLO/ 轻量大模型），完成功能与算力验证； 3.RTL 代码 ASIC 化优化 消除 FPGA 专用依赖，完成 RTL 代码重构；针对中小算力推理芯片做面积、功耗、时序预优化，满足 ASIC 后端设计要求； 4.自动化测试与 Bug 修复 开发自动化测试脚本，搭建回归测试体系；定位并解决 RTL 功能 Bug、时序问题，输出验证报告； 5.文档与交付 编写验证规范、测试报告，为芯片 bring-up、客户推理部署提供技术支撑。 任职要求: 1.本科及以上，微电子 / 电子工程 / 计算机相关专业，3 年以上 FPGA 开发 / SoC 原型验证经验； 2.精通 Verilog/SystemVerilog，熟练使用 Vivado/Quartus/VCS/Verdi 等工具； 3.熟悉 AXI/DDR/PCIe/MIPI 等总线接口，有AI 推理 / NPU 芯片 FPGA 验证经验优先； 4.了解 CNN/YOLO/ 轻量大模型推理流程，能完成模型上板验证； 5.掌握 C/C++/Python，可开发自动化测试脚本，具备强上板调试与问题定位能力； 6.严谨细致，有良好文档编写与团队协作能力。 工作地点 北京海淀区搜狐网络大厦602 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数字前端设计,http://www.zhaopin.com/jobdetail/CC462571410J40849660011.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
有源硅光芯片工程师,徐州光引科技发展有限公司,3-5万·13薪,上海·浦东·张江,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 传感器芯片 CMOS工艺 职位描述： 1. 负责有源硅基光器件的设计仿真和性能优化，如电/热相位调制器、微环/MZI等； 2. 负责有源硅光芯片的原理验证、版图设计和性能改进； 3. 负责制定有源器件的测试方案，并对测试数据进行处理分析，以指导设计改进； 4. 与电路/算法工程师合作，参与控制算法设计和电路验证； 5. 跟进产品开发需求和业界发展动态，协助制定硅基有源器件的技术发展规划； 职位要求： 1. 本科及以上学历，光电子、微电子等相关专业； 2. 具备有源硅光器件的优化设计经验，例如相位调制器、探测器； 3. 熟练使用至少一种光电仿真软件，如Lumerical、COMSOL、HFSS； 4. 熟悉有源硅光器件的常用测试流程和测试方法，熟悉相关测试设备； 5. 具备片上光开关阵列优化设计经验者优先； 6. 有源调制理论扎实者优先，尤其是硅基材料的电光效应和等离子色散效应、传输线理论、信号完整性基础理论； 7. 具备良好Python编程能力者优先； 8. 具备良好英文沟通能力者优先； 奖金绩效 13-14薪 工作地点 上海浦东新区科海大楼-1号楼9楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"传感器芯片,CMOS工艺",http://www.zhaopin.com/jobdetail/CCL1347051750J40845378811.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
射频芯片工程师,斯凯瑞利(北京)科技有限公司,2.5-3.5万·14薪,北京·海淀·上地,北京,硕士,3-5年,7月26日,zhilian_direct,职位描述 射频电路设计 PCB设计 射频开发 毫米波雷达 芯片 微波雷达 半导体/芯片 通信/网络设备 职位描述: 作为一名射频IC设计工程师，将负责根据规范设计和实施CMOS关键电路功能模块的工作。在规定期限内，完成进行模拟，并指导版图工程师完成版图布局，配合测试工程师完成芯片的测试。 1.对于无线系统需要有基本的知识。 2.对射频系统设计和权衡有良好的理解，对射频收发系统链路预算有较为深刻的理解。 3.对射频子系统有丰富的设计经验，如LNA，Mixer，VCO，PA等 4.对于封装的联合设计和权衡有良好的理解。 5.必须具备基本的IC布局技能，能够与定制的IC布局设计师合作进行平面规划，并为布局后模拟仿真进行寄生提取。进行寄生提取，进行布局后模拟。 6.具备测试/调试知识，制定测试计划和可测试性设计。 7.熟练使用各种EM仿真工具。 任职资格： 硕士学位；博士学位者优先 工作地点 北京海淀区海国瑞业科技园-A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"射频电路设计,PCB设计,射频开发,毫米波雷达,芯片,微波雷达",http://www.zhaopin.com/jobdetail/CC282805480J40827873605.htm?refcode=4019&srccode=401903&preactionid=7e014987-de76-43f3-8219-57f4f9a2d6f9
