job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
智能体开发与运维工程师,浙江新世纪人才开发有限公司,7000-10000元,杭州·上城·笕桥,杭州,本科,1-3年,7月26日,zhilian_direct,岗位职责 基于大语言模型设计、开发AI智能体（Agent），实现任务拆解、工具调用、RAG检索、记忆管理等核心功能。 负责GPU推理环境的日常运维，包括驱动检查、容器部署、服务监控、故障排查，保障模型推理服务的稳定可用。 对接模型推理接口（API），编写高效的提示词与结构化输出解析，完成智能体与业务系统的集成。 使用Docker/K8s管理推理服务，配合算法团队完成模型版本更新、性能测试与资源调配。 持续优化智能体的响应质量与推理服务的资源效率（如并发、显存、延迟）。 任职要求 基本条件 计算机、人工智能、软件工程等相关专业，本科及以上学历。 1年以上项目开发经验，熟悉Linux操作系统及常用命令，熟悉常见的vibe coding智能体工具。 专业能力（开发侧） 熟悉LangChain、LlamaIndex等至少一种Agent开发框架，能独立搭建一个具备工具调用能力的智能体。 熟悉大模型API调用（含Function Calling），掌握提示词工程与结构化输出解析。 了解RAG基本流程，能结合向量数据库实现知识库检索。 专业能力（运维侧） 熟悉GPU服务器的基础运维：查看驱动版本、GPU状态、显存温度，排查常见故障（如掉卡、OOM、驱动加载失败）。 熟练使用Docker，能编写Dockerfile将模型推理服务容器化，解决容器内GPU设备映射问题。 了解Kubernetes基本概念（Pod、Deployment、Service），能部署和更新推理服务。 熟悉常见的分布式存储系统原理，具备一定的管理能力。 实战能力（满足其一） 在个人项目或工作中完整实现过一个AI智能体应用（附代码或演示链接）。 独立维护过GPU推理集群（至少2台），处理过线上故障并形成文档。 软素质 学习能力强，能适应混合型工作内容（开发+运维），愿意快速掌握新的AI生态技术。 良好的文档习惯和问题复盘能力，能适应项目的灵活响应机制。 额外加分项 开源与社区贡献 有个人自建博客 近一年撰写技术笔记超50篇 GitHub 近一年提交次数超过 100 次 参与过大型开源项目，并有多次 merge 记录 在 GitHub、个人博客或项目中展示过 AI Agent 相关作品 竞赛与项目实践 在 Kaggle、天池、AI Agent 相关黑客松中有获奖作品或高质量参赛经历 有参与企业级 AI 应用开发的实战经验 自主设计开发过多个 vibe-coding 项目 熟悉一款过程管理/项目管理软件 熟悉git分支模型 前端与交互 了解前端技术（Vue/React），可实现简单的对话交互界面 模型优化与推理加速 有过模型微调经验 熟悉推理加速框架（如 vLLM、Triton）或模型量化技术 AI 安全与安全素养 对提示词注入、安全护栏等 Agent 安全措施有认识 掌握常见Web安全漏洞（如注入、XSS、CSRF、SSRF、文件上传漏洞）的原理与基本防护措施 熟悉Linux系统安全加固（SSH配置、防火墙/iptables、SELinux/AppArmor、定期补丁更新） 理解网络隔离与访问控制（VPC、安全组、NetworkPolicy），能合理规划GPU服务的内外网访问策略 具备密钥与凭证管理意识：禁止硬编码，使用环境变量、配置中心或K8s Secret 熟悉容器环境安全（非root运行、只读根文件系统、避免特权容器、镜像漏洞扫描） 了解基础的日志审计与入侵检测思路（如分析/var/log、使用auditd或 Falco） 具备应急响应基础能力（如识别异常进程、网络连接，快速隔离故障节点） 应聘材料要求 (1) 个人简历（突出开发或Linux/GPU运维方面的经历）。 (2) 简述一个你完成的AI智能体或大模型项目（200字内）。 工作地点 杭州市-上城区-德胜中路298号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,人工智能,http://www.zhaopin.com/jobdetail/CC148971830J40856134211.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
AGI具身智能-运维开发工程师,上海思芮信息科技有限公司,1.9-2万,北京·石景山·苹果园,北京,本科,3-5年,7月26日,zhilian_direct,"岗位职责 负责具身机器人数据采集设备（含机器人本体、传感器、遥操作设备、算力服务器等）的日常运维、故障排查与稳定性优化，保障数据采集产能持续达标； 负责机器人软硬件系统集成对接与联调，配合研发团队完成ROS2节点通信、TF坐标变换、多传感器标定及数据同步等调试工作； 基于Python/Shell开发自动化运维脚本和巡检工具，实现设备状态监控、异常预警、数据落盘与备份自动化； 对数据采集链路中的系统性问题进行根因分析，输出故障复盘报告与改进方案，持续优化设备可用率； 配合算法与产品团队完成新功能迭代、场景落地测试及版本上线交付，输出运维手册与集成文档。 任职要求 本科及以上学历，计算机、自动化、机器人、电子工程等相关专业； 熟悉Linux系统操作与服务部署，具备扎实的Python开发能力，能独立开发运维脚本； 熟悉ROS/ROS2通信机制（Topic/Service/Action）、TF坐标变换，掌握CAN/RS485/TCP等常用机器人通信协议； 具备机器人软硬件故障独立排查能力，了解多传感器（相机、激光雷达、IMU、力传感器）硬件架构与调试方法； 具备清晰的沟通能力和逻辑缜密性，较强的抗压能力与现场问题响应速度。"" 工作地点 石景山区北京银行保险产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Python,Shell,ROS2",http://www.zhaopin.com/jobdetail/CC302179380J40909656903.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
AGI具身智能-运维开发工程师,合肥鼠宝信息服务有限公司,1-1.7万,北京·石景山·苹果园,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 LINUX运维 Python ROS/ROS2通信机制 传感器 机器人数据采集设备 自动化运维脚本 人工智能 1. 负责具身机器人数据采集设备（含机器人本体、传感器、遥操作设备、算力服务器等）的日常运维、故障排查与稳定性优化，保障数据采集产能持续达标； 2. 负责机器人软硬件系统集成对接与联调，配合研发团队完成ROS2节点通信、TF坐标变换、多传感器标定及数据同步等调试工作； 3. 基于Python/Shell开发自动化运维脚本和巡检工具，实现设备状态监控、异常预警、数据落盘与备份自动化； 4. 对数据采集链路中的系统性问题进行根因分析，输出故障复盘报告与改进方案，持续优化设备可用率； 5. 配合算法与产品团队完成新功能迭代、场景落地测试及版本上线交付，输出运维手册与集成文档。 职位要求： 1. 本科及以上学历，计算机、自动化、机器人、电子工程等相关专业； 2. 熟悉Linux系统操作与服务部署，具备扎实的Python开发能力，能独立开发运维脚本； 3. 熟悉ROS/ROS2通信机制（Topic/Service/Action）、TF坐标变换，掌握CAN/RS485/TCP等常用机器人通信协议； 4. 具备机器人软硬件故障独立排查能力，了解多传感器（相机、激光雷达、IMU、力传感器）硬件架构与调试方法； 5. 具备清晰的沟通能力和逻辑缜密性，较强的抗压能力与现场问题响应速度。 工作地点 北京石景山区银保产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"LINUX运维,Python,ROS/ROS2通信机制,传感器",http://www.zhaopin.com/jobdetail/CCL1357468140J40923258812.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
运维开发工程师,重庆翎昀智建筑工程有限公司,1.3-1.5万·13薪,重庆·南岸·南坪,重庆,本科,经验不限,7月26日,zhilian_direct,职位描述 系统运维 云运维 数据库运维 Python GoLang Shell 自动化运维工具开发 监控体系搭建 DEVOPS流程落地 Zabbix Nagios Jenkins 信息安全 通信运营商/电信增值服务 咨询服务 工作职责 1. 负责公司基础设施的自动化运维工具开发，包括但不限于CI/CD流水线、配置管理平台等，提升运维效率。 2. 设计并搭建系统监控体系，实现关键指标的实时告警与故障快速定位，保障业务系统稳定性。 3. 参与云资源（如服务器、数据库）的自动化管理，优化资源配置，降低运营成本。 4. 与研发团队协作，推动DevOps流程落地，打通开发、测试、部署全链路。 任职要求 1. 本科及以上学历，计算机相关专业，具备扎实的编程基础。 2. 熟练掌握至少一种编程语言（Python/Go/Shell优先），能独立完成自动化脚本或工具开发。 3. 熟悉Linux系统运维，掌握常见服务（Nginx、MySQL、Redis）的部署与调优。 4. 了解云平台（如阿里云、腾讯云）的基础服务，具备云资源管理经验者优先。 5. 具备较强的问题分析能力，能快速定位并解决运维过程中的技术问题。 工作地点 重庆南岸区长江国际写字楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统运维,云运维,数据库运维,Python,GoLang,Shell,自动化运维工具开发,监控体系搭建,DEVOPS流程落地,Zabbix,Nagios,Jenkins",http://www.zhaopin.com/jobdetail/CCL1515542730J40791346206.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
自动化运维开发工程师,重庆安于诺财税服务有限公司,1.3-1.5万·13薪,重庆·渝中·解放碑,重庆,本科,3-5年,7月26日,zhilian_direct,职位描述 Python GoLang Shell Ansible Jenkins Prometheus 云运维 运维自动化工具开发 财税系统运维 容器化技术 服务器运维 系统运维 商务服务业 软件/IT服务 财务/审计/税务 工作职责 1. 负责财税系统运维自动化工具的设计与开发，提升系统部署、监控及故障处理的效率。 2. 构建并优化运维自动化平台，支持财务数据处理、税务申报等核心业务流程的自动化执行。 3. 参与系统监控体系建设，通过日志分析与告警机制保障财税系统的稳定运行。 4. 与业务团队协作，理解财税业务需求，将重复性工作转化为自动化解决方案。 任职要求 1. 本科及以上学历，计算机、软件工程等相关专业，具备扎实的编程基础。 2. 精通至少一种编程语言（如Python、Go），熟悉Shell脚本开发。 3. 掌握自动化运维工具（如Ansible、Jenkins、Prometheus）的使用与二次开发。 4. 具备云平台（如阿里云、腾讯云）运维经验，了解容器化技术（Docker、K8s）优先。 5. 具备较强的问题分析能力，能独立排查并解决系统运维中的技术问题。 工作地点 重庆渝中区海航保利国际中心-43栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,GoLang,Shell,Ansible,Jenkins,Prometheus,云运维,运维自动化工具开发,财税系统运维,容器化技术,服务器运维,系统运维",http://www.zhaopin.com/jobdetail/CCL1511500440J40923184112.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
运维开发工程师,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,2-2.5万,北京·朝阳·呼家楼,北京,本科,3-5年,7月26日,zhilian_direct,"职位描述 Java Vmware Jenkins Kubernetes Oracle 3-5年运维开发经验，其中要有一定后台开发经验。做过企业级开发； Key Responsibilities Deploy, configure, adapt, and maintain enterprise applications in China and global environments. Adapt and validate applications across public cloud platforms (AWS and Azure) and private cloud environments to ensure compatibility, reliability, and compliance. Perform application testing, verification, deployment, and release activities to ensure high-quality software delivery. Monitor application health and system performance, proactively identify issues, and support production incident resolution. Troubleshoot application, infrastructure, and database-related issues across development, testing, and production environments. Maintain and optimize cloud resources, application infrastructure, middleware, and databases to support business-critical operations. Collaborate with global software development teams to support application onboarding, deployment, and lifecycle management and Local third party support team on issue tracking and issue solving. Contribute to operational documentation, knowledge sharing, and continuous improvement initiatives. We believe that you bring: Academic degree within Computer Science, Software Engineering, Information Technology, or similar relevant experience. 3–5 years of professional experience in backend software development and application operations. Needed Competence 3–5 years of enterprise-level Java development experience. Hands-on experience with public cloud platforms such as AWS and/or Microsoft Azure. Experience with private cloud or virtualization technologies, especially VMware. Strong experience with Kubernetes (K8s) for application deployment, scaling, and lifecycle management. Experience with CI/CD tools such as Jenkins. Solid database knowledge and hands-on experience with Oracle, AWS Aurora, or AWS RDS. Experience in application deployment, testing, validation, and production support. Familiarity with IT op","Java,Vmware,Jenkins,Kubernetes,Oracle",http://www.zhaopin.com/jobdetail/CC134310320J40791321406.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
自动化运维开发工程师,南昌瞬声建筑有限公司,1.1-1.3万·13薪,南昌·东湖·大院,南昌,本科,3-5年,7月26日,zhilian_direct,职位描述 Python GoLang Shell Ansible Jenkins Prometheus 运维自动化工具开发 运维平台架构设计 建筑行业运维经验 服务器运维 数据库运维 云运维 工程专业服务 软件/IT服务 工业自动化/机器人 工作职责： 1. 负责建筑行业运维系统的自动化工具开发，覆盖设备监控、配置管理、故障自愈等核心场景。 2. 设计并落地运维平台架构，提升项目现场设备与后台系统的稳定性及响应效率。 3. 优化运维流程，通过脚本开发与工具集成，降低人工操作成本，减少系统故障时长。 4. 参与运维数据的分析与可视化，为系统优化提供数据支撑。 任职要求： 1. 本科及以上学历，计算机、自动化或相关专业，基础扎实。 2. 具备3年以上运维开发经验，精通Python/Go等至少一种编程语言，熟悉Shell脚本编写。 3. 掌握主流运维工具（如Ansible、Jenkins、Prometheus），有自动化平台搭建经验优先。 4. 了解建筑行业IT系统架构（如BIM、项目管理系统）者优先，具备跨部门协作与问题解决能力。 工作地点 南昌东湖区武商洲际酒店 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,GoLang,Shell,Ansible,Jenkins,Prometheus,运维自动化工具开发,运维平台架构设计,建筑行业运维经验,服务器运维,数据库运维,云运维",http://www.zhaopin.com/jobdetail/CCL1511487790J40957410115.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
大数据运维开发工程师,深圳市睿服科技有限公司,1.1-1.2万,广州·黄埔·联和,广州,本科,3-5年,7月26日,zhilian_direct,职位描述 系统运维 Python Shell Grafana Prometheus 大数据集群运维 自动化运维工具开发 大数据平台调优 工作职责 1. 负责公司大数据集群（Hadoop、Spark、Flink等）的日常运维与监控，保障系统高可用与性能优化。 2. 开发自动化运维工具与脚本，提升集群部署、故障排查及资源调度的效率。 3. 参与大数据平台架构升级与容量规划，解决数据存储、计算过程中的性能瓶颈。 4. 制定并落地数据安全与灾备策略，确保数据完整性与业务连续性。 任职要求 1. 本科及以上学历，计算机、软件工程等相关专业，3年以上大数据运维或开发经验。 2. 精通Linux系统操作，熟悉Shell/Python/Go等至少一种编程语言，具备自动化工具开发能力。 3. 深入理解Hadoop生态组件（HDFS、YARN、Hive、Spark）的底层原理与调优方法。 4. 掌握Prometheus、Grafana等监控工具，具备故障快速定位与解决能力。 5. 具备良好的问题分析能力与团队协作精神，能独立承担复杂运维任务。 工作地点 广州黄埔区云升科学园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统运维,Python,Shell,Grafana,Prometheus,大数据集群运维,自动化运维工具开发,大数据平台调优",http://www.zhaopin.com/jobdetail/CC603465980J40876287809.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
运维开发工程师,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,2-2.5万,北京·朝阳·呼家楼,北京,本科,3-5年,7月26日,zhilian_direct,"职位描述 IDC/机房运维 云运维 Java 云计算 Needed Competence • 3–5 years of enterprise-level Java development experience. • Hands-on experience with public cloud platforms such as AWS and/or Microsoft Azure. • Experience with private cloud or virtualization technologies, especially VMware. • Strong experience with Kubernetes (K8s) for application deployment, scaling, and lifecycle management. • Experience with CI/CD tools such as Jenkins. • Solid database knowledge and hands-on experience with Oracle, AWS Aurora, or AWS RDS. • Experience in application deployment, testing, validation, and production support. • Familiarity with IT operational best practices and service reliability principles. • Strong problem-solving, analytical, and troubleshooting skills. • Experience working in Agile development environments. • Good communication skills and fluent English, both written and spoken. Valuable Competence • Python • Docker and Kubernetes ecosystem. • Linux administration and Shell scripting. • Experience with cloud migration or application adaptation across different cloud platforms. • Experience supporting applications. 工作地点 北京朝阳区光华路SOHO2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","IDC/机房运维,云运维,Java",http://www.zhaopin.com/jobdetail/CC134310320J40791274006.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
运维开发工程师,长安通信科技有限责任公司,9000-16000元·14薪,北京·朝阳·安贞,北京,本科,经验不限,7月26日,zhilian_direct,职位描述 系统运维 Python Java Shell Grafana Saltstack Nagios 软件/IT服务 主要职责： 1.负责公司产品的维护工作，确保高质量的用户体验。 2.编写自动化运维脚本，优化运维流程，提高运维效率。 3.跟进项目中的问题与缺陷，持续改进产品性能与功能。 4.编写项目文档，包括维护文档、立项文档、使用手册等。 5.参与项目全流程工作，包括需求分析、UI设计、代码开发、测试、部署及文档编写。 6.保障数据中心大型动环监控系统的稳定运行，完成系统日常维护工作和简单故障处理，协助专业维护单位完成复杂故障处置。 职位要求： 1. 本科或以上学历。 2.掌握至少一种前端主流框架，不限于React、Vue.js、Angular，掌握其生态和相关工具。 3. 熟悉可视化框架，如d3.js、ECharts、AntV等，有可视化大屏开发经验。 4.掌握至少一门后端语言（Java、Python等）及对应框架（Spring、Django、Flask等）。 5.熟悉数据库基本原理，具备使用主流数据库（如MySQL、PostgreSQL等）及数据库管理工具的经验。 加分项： 1.具备实际的软件开发与运维经验，能够快速定位并解决问题。 2.具备良好的文档编写经验，能够清晰、准确地记录项目信息。 工作地点 北京朝阳区裕民路甲3号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"系统运维,Python,Java,Shell,Grafana,Saltstack,Nagios",http://www.zhaopin.com/jobdetail/CC537276620J40917459612.htm?refcode=4019&srccode=401903&preactionid=3ddd39fb-18d1-4bbc-aad7-ed36d22c1d03
