job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
聘造价咨询项目经理（施工单位全过程控制项目）,重庆市以存项目管理有限公司,8000-15000元,重庆·垫江·桂阳,重庆,大专,5-10年,7月26日,zhilian_direct,岗位职责 1、负责团队的搭建与管理、部门会议召开等； 2、全面负责项目的全过程控制，制定造价管控方案与实施计划，确保项目目标按期、保质达成。 3、统筹工作进度，对项目整体质量与成果负责。 4、负责施工单位项目部、业主方、监理单位、设计单位等各方的日常沟通与商务协调。 5、参与施工图纸会审，编制或审核施工图预算、工程量清单，进行成本测算与风险预判，提出优化建议。 6、协助施工方编制投标报价、进行成本分析与报价策略制定。 7、参与成果文件编制与审核，负责各项风险预测与把控，制定风险应对措施。 8、负责项目相关的文件签发与审核。 9、建立完整的造价档案体系，确保所有签证、变更、函件、台账等资料可追溯、闭环管理。 10、完成领导下达的其他任务。 二、任职要求 1、持有一级造价工程师证，工程造价、土木工程、工程管理等相关专业毕业； 2、从事造价咨询工作8年及以上，有施工单位商务经理经验3年及以上(重庆地区工作经验)； 3、精通土建、装饰、市政专业，会房建安装，对公路、水利专业有一定的了解； 4、具备组织协调能力； 5、具备高度责任感和职业素养； 6、接受重庆垫江办公和短期出差。 三、工作时间：8:30-12:00，14:00-18:00 工作地点：重庆市垫江县温州商贸城B2栋111号 薪资：底薪8000+提成 四、面试请带上简历，简历内容需包含过往项目经历（公司有可能会做背调）。 简历接收邮箱：**************** 本公司是造价咨询公司，欢迎符合要求的朋友投递简历。 工作地点 垫江县重庆市以存项目管理有限公司(垫江分公司) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"土建工程,一级注册造价师",http://www.zhaopin.com/jobdetail/CCL1465364980J41024099304.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
招标代理项目经理,沈阳恒晟亿隆项目管理咨询有限公司,7000-10000元,沈阳·皇姑,沈阳,大专,3-5年,7月26日,zhilian_direct,岗位职责 1. 独立负责招标代理全流程工作，包括项目对接、招标文件编制、公告发布、开评标组织、结果公示、档案归档等全流程管控； 2. 对接货物类、服务类、工程类及院校、政府、企事业单位等客户，跟进项目需求，维护客户关系； 3. 严格按照招投标法律法规开展工作，把控项目风险，处理项目过程中的异议、质疑等事宜； 4. 协调业主、评标专家、监督部门及各投标单位，保障项目合法合规、高效推进； 任职要求 1. 大专及以上学历，招投标、工程管理、法学等相关专业优先； 2. 熟悉《招标投标法》《政府采购法》及相关条例、法规，熟悉电子招投标平台操作； 3. 有货物、服务、工程类项目实操经验，拥有院校、政府、企事业单位等客户资源者优先； 4. 工作严谨细致，沟通协调能力强，责任心强，能承受一定工作压力。 5.有辽西地区政企资源优先。 薪资福利 - 薪资：无责底薪+提成+年终奖 - 福利：五险一金、带薪年假、节日福利、团建活动、专业培训、良好晋升空间 -工作时间：8:30-17:30 午休12:00-13:00 周末双休 工作地点 沈阳皇姑区怒江街77号科创工场909 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"招标,招标代理,工程招投标项目,采购招投标项目,货物招投标项目",http://www.zhaopin.com/jobdetail/CCL1469813830J40861980805.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
招标代理项目经理,中通服项目管理咨询有限公司,6000-11000元,长沙·芙蓉·东岸,长沙,大专,3-5年,7月26日,zhilian_direct,"岗位职责： 1、熟悉招标代理工作流程;与招标人能够做好良好沟通。 2、能够独立实施招标代理业务工作 3、主持采购文件会审并编写会议纪要、主持开评标工作; 4、编制发售招标文件、组织投标人员踏勘现场及答疑等各项工作; 5、对项目过程中反馈的意见进行收集、整理、 反馈，向业主提出改良意见; 6、管控项目实施并合理规避风险,对项目团队内部项目执行交叉检查; 7、完成其他上级交办和团队协作的各项工作; . 岗位要求： 1、大专及以上学历,有运营商项目经验，有三年及以上招标代理经验； 2、工作地点：长沙 3、责任心强，沟通协同能力良好。 工作地点 长沙芙蓉区湖南通服大楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",通信运营商/电信增值服务,http://www.zhaopin.com/jobdetail/CC654305220J40750618201.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
造价项目经理（土建）,华伦博邦项目管理有限公司,8000-10000元,长沙·芙蓉·韭菜园,长沙,大专,5-10年,7月26日,zhilian_direct,职位描述 土建工程 一级注册造价师 咨询服务 任职资格： 1、至少5年及以上咨询公司造价土建专业工作经验，独立完成项目，对接甲方； 2、专科及以上学历。持有一级造价师证或者二级造价师（优先）； 3、有丰富的房建项目工作经验；有全过程造价咨询工作经验优先； 4、具有良好的沟通能力，有责任心，工作积极主动。 周末双休，带薪年假 工作地点 芙蓉区八一中路383号正东方向130米壹号座品长沙市八一路壹号座品B座10层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"土建工程,一级注册造价师",http://www.zhaopin.com/jobdetail/CC288383180J40802267915.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
安装工程造价项目经理（烟台）,众兴工程项目管理咨询(山东)有限公司,7000-9000元,烟台·芝罘·奇山,烟台,大专,5-10年,7月26日,zhilian_direct,职位描述 电气工程 给排水工程 暖通工程 安装工程 工程技术与设计服务 咨询服务 技能要求： 1.负责安装工程造价，熟悉并掌握常用定额，了解人工费、材料和设备市场价格； 2.熟悉掌握工程量计算规则；熟悉掌握和运用多种计价方式，清单计价、定额计价等方式； 3.负责编制、审核招标清单、招标控制价、工程概（预）算、竣工结算； 4.服从公司对工作的机动安排、完成领导交办的其它工作。 任职要求： 1.大专以上学历，工程造价、工程类相关专业，有注册造价师证者优先考虑； 2.五年以上相关工作经验，有一线地产公司项目经历的优先，能独立完成工程预结算，变更签证等工作； 3.爱岗敬业，责任心强，耐心细致，踏实肯干，具有良好的团队合作意识。 福利待遇： 1. 双休，节假日根据国家规定休息 2. 五险一金，工龄补贴、激励奖金、节假日福利 3.薪资面议 4.能适应短期或阶段性出差 5.一级造价师优先 工作地点 烟台芝罘区莱山区第二实验小学 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电气工程,给排水工程,暖通工程,安装工程",http://www.zhaopin.com/jobdetail/CCL1322803540J40907480403.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
市政项目经理,四川中达旭建设项目管理有限责任公司,1.2-1.5万,泸州·江阳区·华阳街道,泸州,大专,5-10年,7月26日,zhilian_direct,岗位职责 1.负责市政项目（含污水厂项目）的现场施工管理，组织施工班组按图施工； 2.编制施工进度计划，跟踪落实各工序节点，确保工期目标达成； 3.负责现场技术交底、测量放线、质量检查及隐蔽工程验收； 4.协调施工过程中与甲方、监理、设计单位的关系，处理现场技术问题； 5.监督施工安全，落实安全技术措施，排查现场安全隐患； 6.负责施工日志、检验批资料等工程资料的编制与整理； 7.参与材料进场验收、工程量核算及成本控制工作。 任职要求 1.学历要求：大专及以上学历，市政工程、土木工程、给排水等相关专业； 2.证书要求：持有一级建造师（市政公用工程）及以上执业资格证书；持有3.安全员B证（建安B证）；且可注册至公司使用 4.经验要求：3年以上市政项目施工管理经验，有污水厂项目施工经验者优先； 5.技能要求：熟悉市政工程施工规范及验收标准，能熟练使用CAD、测量仪器及办公软件； 6.其他要求：责任心强，具备良好的沟通协调能力和现场应变能力，能适应项目驻场工作 工作地点 泸州市-江阳区-S307(康城路一段)21楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"施工管理,二级建造师（市政公用）,中级市政工程师职称,安B,主管/经理",http://www.zhaopin.com/jobdetail/CCL1484945800J40862866301.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
招标代理项目经理,中杰齐晟项目管理有限公司,4000-6000元,淄博·张店区·马尚街道,淄博,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1. 独立开展招标代理项目，负责项目的全面管理。 2. 制定项目计划，确保项目按期完成。 3. 负责与客户沟通，准确把握客户需求，提供专业建议。 4. 监督项目执行过程，确保项目质量。 5. 完成项目总结和归档工作。 岗位要求： 1. 具备招标代理相关工作经验，熟悉相关法律法规和操作流程。 2. 具备良好的沟通协调能力和团队协作精神。 3. 具备较强的项目管理能力和解决问题的能力。 4. 有独立开展项目的能力。 工作地点 淄博张店区创业大厦9楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"工程招投标项目,采购招投标项目,货物招投标项目",http://www.zhaopin.com/jobdetail/CC834368730J40824687116.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
招标项目经理,陕西中诚天和项目管理有限公司,6000-12000元,西安·雁塔·丈八沟,西安,大专,3-5年,7月26日,zhilian_direct,职位描述 招标代理 1、熟悉省内各地市交易中心业务办理流程，能独立开展政府采购类招标工作; 2、负责审核招标公告、投标邀请书，起草、审核和报送招标文件、资格预审文件的等相关资料。负责招标资料的收集和整理，检查审核相关资料是否齐全; 3、负责招标代理业务的受理、按业主要求安排招标时间并推进项目、办理进场、发布公告文件、落实线上线下开评标工作、整理标后资料、归档报送及各环节相关备案工作; 4、负责组织开标、评标工作及现场处理突发状况。审核把关开标结果以及中标通知书的发放; 5、完成上级交办和团队协作的各项工作职位要求; 任职要求 1、大学专科及以上学历；负责招标业务的管理工作 2、具有较强的语言、文字表达能力，能独立编制各项文件等； 3、熟悉招标代理专业知识、相关法律法规及招标流程和交易中心业务办理流程； 4、管理协作经验丰富，表达能力强，思维清晰，擅长沟通，具备良好的职业道德和团队协作精神，外联能力、处理突发问题能力及工作责任心强。 地址:西安市高新区锦业一路宝德云谷国际B座1406-6室 工作地点 陕西省西安市雁塔区南三环雁塔区宝德.云谷国际商务云中心B座(南三环北)14层1408室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,招标代理,http://www.zhaopin.com/jobdetail/CCL1465708280J40682580212.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
项目经理,四川中达旭建设项目管理有限责任公司,8000-12000元,泸州·江阳区·华阳街道,泸州,大专,3-5年,7月26日,zhilian_direct,岗位职责 1.项目管理与统筹 全面负责项目施工的组织、协调与管理工作，确保项目按计划推进； 编制项目施工进度计划，合理调配人、材、机等资源，保障工期目标达成。 2.质量与安全管理 严格执行国家及行业质量标准，把控施工质量，组织质量检查与验收； 落实安全生产责任制，监督现场安全文明施工，杜绝安全事故发生。 3.成本控制 配合成控部门做好项目成本管控，审核现场用料计划，控制材料损耗； 配合斗拱云系统完成人、材、机械成本的线上录入与系统化管控。 4.劳务班组管理 负责劳务班组的日常管理与协调，监督班组施工质量与进度； 配合完成劳务班组招采及合同签订工作。 5.对外协调 负责与甲方、监理、设计单位等外部关系的沟通与协调； 处理施工过程中的变更、签证及索赔事宜。 6.资料管理 组织项目施工资料的收集、整理与归档，确保资料完整、准确、及时； 配合完成安全资料、劳资实名资料等管理工作。 二、任职要求 1.学历与专业：大专及以上学历，建筑工程、土木工程、工程管理等相关专业优先； 2.工作经验：3年以上房建装修项目现场管理经验，有完整项目管理经验者，有财政医院项目经验优先； 3.证书要求：持有二级建造师（建筑工程）及以上资格证书优先； 专业技能： 熟悉房建装修施工工艺、流程及验收标准； 熟悉施工图纸，具备较强的现场问题处理能力； 了解斗拱云等工程管理系统操作者优先； 综合素质： 具备较强的组织协调能力和团队管理能力； 责任心强，抗压能力好，能适应项目现场工作节奏； 具备良好的沟通能力和商务谈判能力 工作地点 泸州市-江阳区-S307(康城路一段) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"土建工程,房建工程,二级建造师,医疗建筑",http://www.zhaopin.com/jobdetail/CCL1484945800J40866147201.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
招标项目经理,广东华阳项目管理有限公司,8000-12000元·13薪,广州·越秀·大塘,广州,大专,1-3年,7月26日,zhilian_direct,岗位职责： 1、负责编写招标采购文件，跟进项目从发布公告、开标、评标到项目归档的全过程工作； 2、跟踪、更新和学习与各咨询业务相关的法律法规、政策文件、行业知识； 3、负责与客户联络和协调，准确把握客户需求，为客户决策提供技术咨询等； 4、了解并发掘客户需求，为客户提供详尽、专业的采购代理咨询服务，协同市场人员进行项目洽谈，提供业务支持； 5、掌握招标采购专业领域知识，承接公司采购咨询项目的实施，进行项目全流程服务，包括市场调查、数据搜集与分析、方案编制、报告编制等。 任职要求： 1、大专及以上学历，有2年以上招标代理工作，招标、采购或工程相关专业的优先考虑。 2、熟练运用office办公软件，具有一定的文字处理能力； 3、具有良好的沟通协调能力、抗压能力； 4、从事各行业项目招标经验资历的优秀人才可通过培训指导上岗； 5、熟悉采购项目流程，具有招标师资格证书、政府采购项目和公共资源交易中心项目招标代理工作经验优先考虑。 福利待遇： （1）月薪：面议 （2）上班时间：八小时工作制（双休，法定节假日休息） （3）福利：购买社保、节日福利、年终奖等。 工作地点 广州越秀区东照大厦2805 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"招标代理,招标,采购招投标项目,货物招投标项目,技术服务招投标项目",http://www.zhaopin.com/jobdetail/CCL1280283670J40527383411.htm?refcode=4019&srccode=401903&preactionid=134667b8-65a7-418b-8585-0e85deeaabfd
