job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大模型风控算法工程师,智联招聘,3-4万·14薪,北京·朝阳·望京,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1，风险识别与预警：通过分析用户行为模式、发布内容、企业画像等多维数据，主动发现虚假招聘、诈骗、违规等风险岗位和问题企业； 2，安全策略制定：辅助制定业务的风控策略和处置规则，平衡用户体验与平台安全； 3，关注前沿技术，参与下一代智能风控技术探索与建设，并在工业上落地应用。为用户提供更好的体验。 岗位要求： 1，有过风控算法经验，扎扎实实解决了问题、在用户体验上有体现。技术上有一定的先进性； 2，有大模型落地经验者优先； 3，简单可依赖、沟通良好，能持续学习； 工作地点 北京朝阳区首开广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自然语言处理,流量反欺诈,营销反欺诈",http://www.zhaopin.com/jobdetail/CCL1501502560J40873964814.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控算法工程师（信贷风险建模）全额,慧博云通科技股份有限公司,2-2.6万,北京·昌平·回龙观,北京,本科,1-3年,7月26日,zhilian_direct,职位描述 风控建模 风控算法 金融信贷 金融科技/数字金融 岗位说明 1、负责支持金融信贷的风险算法研发，深刻理解具体的业务场景，设计研发具备良好区分度和解释性的模型； 2、深度挖掘海量平台数据及外部数据，开发有风险区分度的有效变量； 3、负责三方联合建模，包括需求沟通、模型开发、模型部署、模型回溯等全流程工作。 任职要求 1、本科及以上学历，数学、统计、计算机、金融等相关专业优先； 2、1年及以上金融机构（银行、信用卡中心、互联网金融等）算法相关工作经验，对信贷产品的风险模型和风险策略有一定了解。 3、掌握常见机器学习相关算法，优秀的编程能力； 4、工作细致、有责任心、自我驱动，具备良好的沟通能力与团队协作精神。 工作地点 北京昌平区万科天空之城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"风控建模,风控算法,金融信贷",http://www.zhaopin.com/jobdetail/CCL1254757260J40882289005.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控模型算法工程师（15-20k）,中数智创科技有限公司,1.5-2万,石家庄·长安·谈固,石家庄,硕士,经验不限,7月26日,zhilian_direct,职位描述 大模型算法 DOLPHINSCHEDULER SEATUNNEL CLICKHOUS 岗位描述： 1.模型构建与优化：承担信用风险模型的建模任务，涵盖样本合理选择、特征工程实施、算法优化以及联合建模等工作 2.模型与应用协调：负责模型和策略应用之间的协调沟通，依据实际业务需求，灵活运用不同算法定制相应模型。 3.数据分析与监控：承担模型相关的各类数据分析工作，完善模型生命周期的监控和质量保证。需要对模型运行过程中的数据进行持续分析，及时发现模型可能存在的问题，保障模型在整个生命周期内的稳定性和可靠性。 4.创新性研究：参与创新性研究，快速学习并将新方法应用到信贷风控工作中。 岗位要求 1.专业与学历：要求计算机、统计、金融、物理等相关专业背景，且学历为硕士及以上。 2.领域经验：在信贷风控、数据分析、机器学习、深度学习等相关领域有1 - 2年及以上经验优先。 3.编程与工具：具备良好的编程基础，熟练掌握至少一门编程语言（如python，c++，java等），有大数据处理经验（如hive，hadoop，spark）者优先。 4.技术与兴趣：对大数据技术有热情，熟悉并掌握常见的机器学习、深度学习算法，同时对金融相关感兴趣者优先。 工作地点 石家庄长安区中数智创科技有限公司8楼人资部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,DOLPHINSCHEDULER,SEATUNNEL,CLICKHOUS",http://www.zhaopin.com/jobdetail/CC872191990J40907439415.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控模型算法工程师,海南泽山软件科技有限责任公司北京分公司,2-4万,深圳·南山·粤海,深圳,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、通过数据挖掘技术，分析客户行为，开发风险预测模型； 2、协调各相关部门，推动模型的上线、投产、追踪、评估等工作； 3、结合模型与内外部数据，制定准入管理、客群管理、额度管理、定价管理等策略； 4、负责业务部门数据采集和分析工作，并定期出具风险报告，监控公司信贷资产质量； 岗位要求： 1、本科或以上学历，金融、数学、计算机、统计类相关专业毕业； 2、熟悉基本的数据挖掘模型，如回归、决策树、聚类、GBDT等算法模型； 3、2年以上数据挖掘工作经验，有消费信贷评分卡开发经验； 4、熟悉MySQL、Oracle等数据库； 5、熟悉Python语言，了解numpy， sicpy者优先； 6、工作积极主动，抗压能力强；能够熟练阅读英文专业资料优先； 7、出色的书面和口头沟通技巧，能够以清晰简洁的方式向各种受众呈现复杂的数据和信息 工作地点 南山区深圳湾科技生态园-10B号楼8楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,机器学习算法,数据挖掘,数据分析,风控建模,金融反欺诈",http://www.zhaopin.com/jobdetail/CCL1391902410J40861787914.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控模型算法工程师,海南泽山软件科技有限责任公司北京分公司,1.5-1.6万,北京·海淀,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、通过数据挖掘技术，分析客户行为，开发风险预测模型； 2、协调各相关部门，推动模型的上线、投产、追踪、评估等工作； 3、结合模型与内外部数据，制定准入管理、客群管理、额度管理、定价管理等策略； 4、负责业务部门数据采集和分析工作，并定期出具风险报告，监控公司信贷资产质量； 岗位要求： 1、本科或以上学历，金融、数学、计算机、统计类相关专业毕业； 2、熟悉基本的数据挖掘模型，如回归、决策树、聚类、GBDT等算法模型； 3、2年以上数据挖掘工作经验，有消费信贷评分卡开发经验； 4、熟悉MySQL、Oracle等数据库； 5、熟悉Python语言，了解numpy， sicpy者优先； 6、工作积极主动，抗压能力强；能够熟练阅读英文专业资料优先； 7、出色的书面和口头沟通技巧，能够以清晰简洁的方式向各种受众呈现复杂的数据和信息 工作地点 北京市海淀区龙岗路奥北科技园29号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,机器学习算法,数据挖掘,数据分析,风控建模,金融反欺诈",http://www.zhaopin.com/jobdetail/CCL1391902410J40873952314.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
算法工程师岗位（风控方向）,安徽淘才人才发展集团有限公司,3-4.5万·13薪,合肥·蜀山·南岗,合肥,博士,1-3年,7月26日,zhilian_direct,岗位职责： 1、风控模型研究与升级：基于业务场景（如信贷风控、反欺诈、合规监控等），探索研究科学的风险评估策略，持续迭代优化模型效果。 2、知识图谱应用与创新：结合知识图谱技术，挖掘实体关系网络中的潜在风险关联，牵头构建行业知识图谱支持动态风险识别，提升复杂风险场景的风险识别能力和预测能力。 3、掌握机器学习算法，线性模型(LR/逻辑回归)、树模型(XGBoost/LightGBM)、RNN系列(LSTM/GRU)、图模型(GCN/HGT)等，掌握scikit-learn、pytorch 4、掌握Neo4j或Nebula Graph图数据库构建，并能基于知识图谱应用图算法进行风控风险计算，包括关联关系挖掘、团伙检测、风险传播评分、异常社区识别等 5、具有预训练模型微调(Linear Probe/Adapter/LoRA)、领域迁移经验 二、任职要求： 1、博士学历，计算机科学、数学、统计学、信息工程、金融工程等相关专业。（特别优秀者可放宽至硕士） 2、熟练掌握Python/SQL，熟悉机器学习框架（如Scikit-learn、TensorFlow/PyTorch）。 3、熟悉图数据库（Neo4j、JanusGraph等）、图算法（社区发现、路径分析等）；有知识图谱构建（实体抽取、关系挖掘、图谱推理）或应用经验优先（如反欺诈关联网络）。 4、熟悉风控建模全流程（样本设计、模型开发、监控调优），掌握LR、GBDT、XGBoost等常用算法。 5、1年以上风控建模或知识图谱相关工作经验（优秀应届生可放宽）；有金融、互联网、电商等行业风控项目经验者优先。 工作地点 合肥蜀山区安徽科大国创慧联运科技有限公司18楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,金融反欺诈,http://www.zhaopin.com/jobdetail/CC696533430J40879212505.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控总监,深圳市国升投资有限公司,2-4万,上海·浦东·陆家嘴,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 金融业 风控建模 风控算法 合规审查 内部控制 风险管理 反洗钱 FRM金融风险管理师二级 基金 必须：有在中国基金业协会备案过 合规风控负责人 1.法律、经济、金融类等相关专业，有多年私募基金的合规工作，具有3年以上的风控经历 2.具有在证券公司、银行、保险等金融行业工作经验优先； 3.具有丰富的证券、股票和基金相关的金融基础知识，基本面研究工夫扎实； 职位福利：五险一金、绩效奖金 工作地点 上海浦东新区世纪大道100号19楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"金融业,风控建模,风控算法,合规审查,内部控制,风险管理,反洗钱,FRM金融风险管理师二级",http://www.zhaopin.com/jobdetail/CCL1344119780J40164571107.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控模型算法工程师,海南泽山软件科技有限责任公司北京分公司,1.5-1.6万,深圳·南山·粤海,深圳,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、通过数据挖掘技术，分析客户行为，开发风险预测模型； 2、协调各相关部门，推动模型的上线、投产、追踪、评估等工作； 3、结合模型与内外部数据，制定准入管理、客群管理、额度管理、定价管理等策略； 4、负责业务部门数据采集和分析工作，并定期出具风险报告，监控公司信贷资产质量； 岗位要求： 1、本科或以上学历，金融、数学、计算机、统计类相关专业毕业； 2、熟悉基本的数据挖掘模型，如回归、决策树、聚类、GBDT等算法模型； 3、2年以上数据挖掘工作经验，有消费信贷评分卡开发经验； 4、熟悉MySQL、Oracle等数据库； 5、熟悉Python语言，了解numpy， sicpy者优先； 6、工作积极主动，抗压能力强；能够熟练阅读英文专业资料优先； 7、出色的书面和口头沟通技巧，能够以清晰简洁的方式向各种受众呈现复杂的数据和信息 工作地点 南山区深圳湾科技生态园-10B号楼8楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,机器学习算法,数据挖掘,数据分析,风控建模,金融反欺诈",http://www.zhaopin.com/jobdetail/CCL1391902410J40873952214.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
算法工程师（电力大厂）,科锐尔人力资源服务(苏州)有限公司,1-2万,北京·西城·金融街,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责】 1．负责结合新能源数据进行风电/光伏功率预测算法的算法、模型研究设计，进行风电/光伏功率预测的模型、算法准确率提升优化改进； 2．负责风电/光伏功率预测模型在生产应用中的准确率监控、偏差分析、效率改进等； 3．负责项目交付中出现的模型算法相关问题的解决； 4. 负责风电/光伏功率预测技术方案的设计、编写，售前支持等； 岗位基本要求: 1、熟悉数据挖掘、数据分析等相关知识；具有机器学习等算法建模相关工作1年以上经验； 2、熟悉常用的统计方法、优化算法等机器学习方法，具备智能算法相关数据处理、特征提取和模型训练技能；具备数据挖掘和建模相关的核心算法和代码实现技能； 3、较好的沟通能力，能够熟练阅读英文文献，为人诚恳踏实，动手能力强，具备良好的逻辑思考和学习能力，以及良好的分析解决问题的能力； 工作地点 北京西城区中国华能大厦大厦内 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"机器学习,深度学习,强化学习,风控算法,优化算法,推荐算法",http://www.zhaopin.com/jobdetail/CC453635220J40909398803.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控总监,深圳市国升投资有限公司,2-4万,杭州·下沙,杭州,本科,3-5年,7月26日,zhilian_direct,职位描述 基金从业资格证 内部控制 风控建模 风控算法 风险管理 尽职调查 不良资产处置 合规审查 基金 必须：有在中国基金业协会备案过 合规风控负责人 1.法律、经济、金融类等相关专业，有多年私募基金的合规工作，具有3年以上的风控经历 2.具有在证券公司、银行、保险等金融行业工作经验优先； 3.具有丰富的证券、股票和基金相关的金融基础知识，基本面研究工夫扎实； 职位福利：五险一金、绩效奖金 工作地点 杭州金沙大道836号12楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"基金从业资格证,内部控制,风控建模,风控算法,风险管理,尽职调查,不良资产处置,合规审查",http://www.zhaopin.com/jobdetail/CCL1344119780J40164569707.htm?refcode=4019&srccode=401903&preactionid=959f198c-c7bd-4a71-871a-22e2dcc9877a
风控管培生,平安国际融资租赁有限公司,8000-12000元·20薪,上海·浦东·潍坊新村,Guangzhou,本科,经验不限,11月28日,zhilian,职位描述 融资租赁风控 金融技术风控 1、负责金融产品的风险数据分析，通过大数据管理，建立零售信贷业务风控评分模型，用于金融服务和信贷业务的发展。 2、从个人征信数据、行为数据、互联网数据等出发，构建大数据金融模型用于贷款自动化授信 3、负责数据驱动模型立项、数据清洗及衍生、开发、督促布置上线等工作，监控场景及业务变化，及时发现问题推进模型修复迭代，并撰写代码进行落地； 任职要求： 1、统计、数学、计量经济、金融工程、计算机专业等量化方向本科以上学历优先； 2、了解熟悉SAS、C/C++，Linux/Unix Shell，Python，PHP工具，了解决策树构建等软件； 3、意愿往金融风控方向发展，对在线风控技术，对大数据征信和在线信用评审具有一定的关注和兴趣。 工作地点 上海浦东新区平安财富大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"融资租赁风控,金融技术风控",http://www.zhaopin.com/jobdetail/CC362140510J40854033712.htm?refcode=4019&srccode=401901&preactionid=150ddf84-d10a-45c1-822a-f649d2763b26
风控,支付宝(杭州)数字服务技术有限公司,5000-6000元·14薪,长沙·岳麓·洋湖,Guangzhou,本科,1-3年,6月2日,zhilian,职位描述 保理风控 银行业风控 基金业风控 证券业风控 信托风控 反舞弊 反作弊 反洗钱 反欺诈 贷款风控 银行信息风控 反洗钱审核服务部：对蚂蚁集团体系内的洗钱风险进行分析防控，及时上报相关洗钱风险情况，满足合规监管需要，善尽金融持牌机构义务。 一、职位描述（接受可能会排晚班） 1、熟悉各项反洗钱监管法规和工作要求，可基于监管要求完成客户可疑交易上报等工作； 2、熟悉各类洗钱手法特征和业务模式，分析和挖掘客户或交易中的洗钱及相关上游犯罪行为； 3、负责对可疑交易进行人工甄别分析，能够在标准流程指引下独立完成反洗钱风险分析任务审理； 4、保持对国内外监管政策和新型洗钱手法高度关注，并在日常工作中识别重点可疑交易线索，积极发现挖掘各类新型风险及未知风险。 二、职位要求（接受可能会排晚班） 1. 本科以上学历，金融等相关专业，1年以上工作经验，有反洗钱对口工作经验最佳，； 2. 能接受后续可能会轮班排晚班，有SQL等数据分析能力优先（非硬性要求）； 3.优先考虑银行背景，接受财务、审计、投资、基金等经验，提供培训； 4 有较强的风险意识、业务敏感度、能发现业务中的风险点和可优化点； 5. 有较强抗压能力，能高效能工作，能够并行处理多项工作任务，有灵活的协调沟通能力。 工作地点 长沙岳麓区恒伟星中心11楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"保理风控,银行业风控,基金业风控,证券业风控,信托风控,反舞弊,反作弊,反洗钱,反欺诈,贷款风控,银行信息风控",http://www.zhaopin.com/jobdetail/CC690041820J40485398309.htm?refcode=4019&srccode=401901&preactionid=150ddf84-d10a-45c1-822a-f649d2763b26
